query	publisher	facomponent_id	title	date	cote	fonds	status	reason
lettre chiffree	34633 (AN)	efa17d6260e732ac4ee2821f088259788d4b8e00	Vaulgrenant to Partyet, Madrid	1737	Fol. 202-202v	consular correspondence, Cadix	kept	AN6
lettre chiffree	34633 (AN)	bee123557020d0b8a8d7be885f0de188c52fdd8e	Poirel to Sartine, Cadix, Cordoba squadron armament	1779	Fol. 71-71v	consular correspondence, Cadix (inferred)	kept	AN7
lettre chiffree	34633 (AN)	-	Guilleragues to Duquesne / La Haye to Colbert, Constantinople cluster	1670-1682	various F folios	Ottoman/consular diplomatic correspondence	lead-only	snippet does not show "en partie chiffree" in the visible extract; dossier-level match not confirmed per-piece
lettre chiffree	34566 (AAE)	-	-	-	-	-	no-hits	0 results
dechiffrement	34633 (AN)	-	-	-	-	-	excluded-noise	68 hits, dominated by 20th-c. cryptology-policy and judicial (Malek B. QPC) records
dechiffrement	34566 (AAE)	14069e564401d1472e6f1d042ddf80cf1f8cddf4	Correspondance secrete de Berlin: Mirabeau to Goltz, Dechiffrement de cinq lettres	1786-1787	53MD/1884	Memoires et Documents / France	dropped-deciphered	catalogue states a decipherment of five letters already exists; Mirabeau's own 1789 print likely covers it
en partie chiffree	34633 (AN)	2f27ba2e061839210236a6a0bfb09fb9b0f14542	Hoche to Clarke, re Morard de Galles	1796-11-09 (19 brumaire an V)	Piece 84	AF/III/169-201, same box as Piece 66	kept	AN1
en partie chiffree	34633 (AN)	7b5caf5270cc1b711363d0dac9ff0f5fffcd476d	Hoche to Clarke, re arrival of [Wolfe Tone]	an V (1796-97)	Piece 108	AF/III/169-201, same box	kept	AN2
en partie chiffree	34633 (AN)	1e04ee8911569679db3ebfa7439fde199ba2a699	Moltzan to Chancellor Duprat (et dechiffree)	1519-02-27	Piece n57	-	dropped-deciphered	catalogue says "et dechiffree"; likely cross-reference to ciphers/dupuy468-anhalt (M7)
en partie chiffree	34566 (AAE)	-	-	-	-	-	unreachable	first attempt returned "Page not found" (token-redirect fault); one-attempt rule, not retried
