catalogue	reference	title_or_desc	date	held_by_or_source	verdict	cipher_note	decipher_note	digitised	edition_risk	score
TNA Discovery	SP 87/13/76	Newcastle to Carteret (original partially in cipher): the battle [Dettingen] may lead to open war...	1743 Jul 01	The National Archives, Kew	survives					
TNA Discovery	SP 87/23/51	Chesterfield to Cumberland, partly in cipher: the king's decision on Saxe's letter will be delayed...	28 July 1747	The National Archives, Kew	survives					
TNA Discovery	SP 105/60/121	Folio 121. To Paget. Acknowledges letter from Constantinople, cover given in cipher, but has not...	1693 Nov 17/27	The National Archives, Kew	survives	Initial paras [hand of Plantamour].		false	medium	33
TNA Discovery	SP 87/40/60	Bute to Prince Ferdinand of Brunswick, partially in cipher: he has referred Ferdinand's memorandum on...	15 May 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/39/22	Holdernesse to Clavering, partially in cipher: his pleasure at the Prussian victory over General Laudohn....	26 August 1760	The National Archives, Kew	survives					
TNA Discovery	SP 87/39/7	Clavering to Holdernesse, mostly in cipher: the landgrave's fears that he will be of no...	2 July 1760	The National Archives, Kew	survives					
TNA Discovery	SP 87/40/15	Prince Ferdinand of Brunswick to Holderness, partly in cipher, enclosing a continuation of the journal...	21 February 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/39/34	Clavering to Holdernesse, partially in cipher, enclosing an account of an affair 'this side the...	23 September 1760	The National Archives, Kew	survives					
TNA Discovery	SP 87/43/3	Clavering to Bute, partly in cipher: he defends his conduct in persuading the duke of...	7 July 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/40/142	Prince Ferdinand of Brunswick to Bute, partly in cipher and enclosing states of the different...	26 November 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/40/45	Prince Ferdinand of Brunswick to Bute, mainly in cipher: he has detached the hereditary prince...	17 April 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/43/96	Clavering to Bute, partly in cipher; the count de Goes, imperial minister in Sweden, has...	20 November 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/40/139	Prince Ferdinand of Brunswick to Bute, partly in cipher: failure of a Russian attack on...	14 November 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/39/30	Clavering to Holdernesse, partially in cipher: French demands for rations and contributions from Hesse have...	9 September 1760	The National Archives, Kew	survives					
TNA Discovery	SP 89/37/121	Folio 308: `Father Agostino to Rialjo.' Translation of an intercepted letter (partly in cipher) relating...	1734 Oct 29	The National Archives, Kew	survives	Copy.			not assessed	
TNA Discovery	SP 87/40/31	Prince Ferdinand of Brunswick to Holdernesse, partly in cipher: progress of the siege of Cassel...	15 March 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/40/129	Prince Ferdinand of Brunswick to Bute, partially in cipher: Major General Lückner and Prince Frederick...	18 October 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/40/53	Prince Ferdinand of Brunswick to Bute, partially in cipher: he encloses a memorandum on the...	5 May 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/44/121	Clavering to Grenvile, partly in cipher: the landgrave of Hesse intends to remove to Rinteln....	31 August 1762	The National Archives, Kew	survives					
TNA Discovery	SP 87/43/85	Clavering to Bute, partly in cipher: difficulties in recruiting and remounting the Hessians. Mr Kurtzrock...	23 October 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/43/87	Clavering to Bute in cipher: gifts of money to Donop and Schmerfeldt. Orders have been...	27 October 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/13/85	Newcastle to Carteret (private and particular, original in cipher), enclosing a letter to '101' [undeciphered]....	1743 Sep 02	The National Archives, Kew	survives					
TNA Discovery	SP 87/4/234	Series of intercepted letters from Namur, partly in cipher, concerning the French plenipotentiaries to the...	1712 Jan 01-1712 Dec 31	The National Archives, Kew	survives				medium (high for the SP 87/8 Stair items specifically)	33
TNA Discovery	SP 89/37/110	Folio 274: Lord Tyrawly to Charles Delafaye. Has received a dispatch partly in cipher from...	1734 Feb 19	The National Archives, Kew	survives				medium	29
TNA Discovery	SP 87/42/67	Clavering to Holdernesse, partly in cipher: the landgrave of Hesse's desire for a secularized bishopric....	6 March 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/43/13	Bute to Clavering, partly in cipher, clarifying how he should behave towards Prince Ferdinand. Congratulations...	24 July 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/43/49	Clavering to Bute in cipher, on the shortcomings of the landgrave of Hesse. Dated at...	1 September 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/32/115	To Granby from Holdernesse, partly in cipher, stating the reasons why it is impossible to...	26 August 1760	The National Archives, Kew	survives				medium (high for the SP 87/8 Stair items specifically)	33
TNA Discovery	SP 87/42/138	Clavering to Bute in cipher, explaining that the assurances he gave the duke of Brunswick...	16 June 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/42/130	Clavering to Bute, partly in cipher: the duke of Brunswick has resolved to withdraw the...	22 May 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/36/23	Prince Ferdinand of Brunswick to Holdernesse (partially in cipher): de Broglie seems not to want...	8 November 1759	The National Archives, Kew	survives					
TNA Discovery	SP 87/36/40	Prince Ferdinand of Brunswick to Holdernesse (partially in cipher), enclosing establishments for the five free...	7 December 1759	The National Archives, Kew	survives					
TNA Discovery	SP 87/44/96	Clavering to Grenvile, partly in cipher: the landgrave of Hesse is thinking of seeking employment...	16 July 1762	The National Archives, Kew	survives					
TNA Discovery	SP 87/17/58	Harrington to Cumberland [original partly in cipher]: he has signed a treaty with the king...	1745 Jun 17	The National Archives, Kew	survives				medium (high for the SP 87/8 Stair items specifically)	33
TNA Discovery	SP 87/44/95	Clavering to Grenvile, partly in cipher: the landgrave of Hesse and the extraordinary subsidy. The...	6 July 1762	The National Archives, Kew	survives					
TNA Discovery	SP 87/40/6	Prince Ferdinand of Brunswick to Holdernesse, partially in cipher: a sharp frost has benefited his...	22 January 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/45/92	Halifax to Clavering, partly in cipher, acknowledging his description of the landgrave of Hesse in...	31 May 1763	The National Archives, Kew	survives			false	medium (high for the SP 87/8 Stair items specifically)	33
TNA Discovery	SP 87/44/6	Clavering to Bute in cipher on the reasons for the landgrave of Hesse's decision to...	1 January 1762	The National Archives, Kew	survives					
TNA Discovery	SP 87/43/60	Clavering to Bute in cipher: speculations on the intentions of the landgrave of Hesse. Dated...	13 September 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/43/64	Bute to Clavering in cipher: he is to urge the landgrave of Hesse and his...	25 September 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/37/72	Holdernesse to Prince Ferdinand of Brunswick, partially in cipher: he is sending Colonel Boyd orders...	1760 April 22	The National Archives, Kew	survives					
TNA Discovery	SP 87/40/28	Prince Ferdinand of Brunswick to Holdernesse, partially in cipher: he awaits the king's instructions on...	8 March 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/43/50	Bute to Clavering, partly in cipher, enclosing copies of a letter of the king to...	11  September 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/37/12	Holdernesse to Prince Ferdinand of Brunswick, partly in cipher: regarding the five free battalions he...	1760 February 8	The National Archives, Kew	survives					
TNA Discovery	SP 87/38/38	Prince Ferdinand of Brunswick to Holdernesse, in cipher, informing him that Cassel has been captured...	1760 August 1	The National Archives, Kew	survives					
TNA Discovery	SP 87/43/36	Clavering to Bute, partly in cipher: he is convinced that the landgrave's letter to the...	21 August 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/43/67	Clavering to Bute in cipher: the landgrave of Hesse has resoved to go to Hamburg...	24 September 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/36/25	Holdernesse to Prince Ferdinand of Brunswick (partially in cipher): adverse winds have delayed the response...	20 November 1759	The National Archives, Kew	survives					
TNA Discovery	SP 87/42/148	Bute to Clavering, partly in cipher: Clavering is to ascertain on what terms the duke...	30 June 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/23/70	Cumberland to Chesterfield, partly in cipher, enclosing a letter of his to the prince of...	14 August 1747	The National Archives, Kew	survives					
TNA Discovery	SP 87/43/39	Bute to Clavering in cipher: Alt's instructions on Hanau were in the style of the...	1 September 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/44/43	Clavering to Bute, partly in cipher: the landgrave has sent a memorial demanding payment for...	26 March 1762	The National Archives, Kew	survives					
TNA Discovery	SP 87/40/70	Prince Ferdinand of Brunswick to Bute, mainly in cipher: he is certain that the French...	28 May 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/40/117	Prince Ferdinand of Brunswick to Bute, mainly in cipher: movements of de Broglie in the...	10 September 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/40/125	Prince Ferdinand of Brunswick to Bute, mainly in cipher, enclosing relations of the doings of...	13 October 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/42/131	Clavering to Bute in cipher: the duke has begun to strengthen to fortifications of Brunswick....	26 May 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/44/12	Clavering to Bute in cipher: the landgrave of Hesse is threatening to begin a process...	15 January 1762	The National Archives, Kew	survives					
TNA Discovery	SP 87/38/118	Holdernesse to Prince Ferdinand of Brunswick, partially in cipher: the king's regret at the setbacks...	30 December 1760	The National Archives, Kew	survives					
TNA Discovery	SP 87/38/56	Prince Ferdinand of Brunswick to Holdernesse, partially in cipher: he appreciates the reasons why no...	8 September 1760	The National Archives, Kew	survives					
TNA Discovery	SP 87/43/62	Bute to Clavering in cipher: he is to use every means to persuade the landgrave...	23 September 1761	The National Archives, Kew	survives					
TNA Discovery	PRO 30/55/33/65	3868. [Clinton to General Haldimand] in cypher.	1781 Nov  12	The National Archives, Kew	survives					
TNA Discovery	PRO 30/55/19/98	2380. Clinton to Haldimand. Letter in cypher.	1779 Oct 22	The National Archives, Kew	survives					
TNA Discovery	SP 35/53/17	Folios 35-36. Letter Number 18, without signature or address, in cypher and French.	1724 Oct 14	The National Archives, Kew	survives				high	29
TNA Discovery	SP 36/37/44	Folio 44. Andrew Stone to [Newcastle]. The Dutch post brought a letter in cypher from...	1735 Nov. 14	The National Archives, Kew	survives				not assessed	
TNA Discovery	PRO 30/55/33/7	3813. Cornwallis to Clinton. Letter (part in cypher) relating to the situation at York Town,...	1781 Oct  3	The National Archives, Kew	survives					
TNA Discovery	SP 87/21/45	Harrington to Ligonier, partially in cypher, enclosing a list [ SP 87/21/46 ] of officers...	1746 Oct 03	The National Archives, Kew	survives				medium (high for the SP 87/8 Stair items specifically)	33
TNA Discovery	SP 78/181/29	Folio 38: H. Walpole to Delafaye. St. Saphorin has sent a piece in cypher for...	1725 Mar 10	The National Archives, Kew	survives				medium	27
TNA Discovery	ADM 1/1665/176	Folios 518-519: Philip Carteret, HMS Pomone, Cape Finisterre. Written in cypher code and decrypted.	1813 Nov 4	The National Archives, Kew	survives		cataloguer notes a decipherment/decode present		high	
TNA Discovery	SP 35/53/76	Folio 162. Letter Number 19, without signature or address, in cypher and French, dated 25...	1724 Nov 25	The National Archives, Kew	survives				high	29
TNA Discovery	SP 35/56/34	Folio 68. A list of correspondence, some in cypher, [sent] in a packet to [Thomas]...	1725 June 5	The National Archives, Kew	survives				high	29
TNA Discovery	SP 42/27/73	Copy of an intercepted letter (in cypher) taken by HMS Hound (dated 24 February 1744),...	1744 May 24	The National Archives, Kew	survives			false	medium	30
TNA Discovery	PRO 30/55/42/120	4833. Haldimand to Carleton. Quebec, Canada. Number 2. Enclosed is a duplicate letter in cypher...	1782 June 23	The National Archives, Kew	survives					
TNA Discovery	PRO 30/55/24/76	2894. [Letter in cypher, no date or names however it was found by comparison to...	1780	The National Archives, Kew	survives					
TNA Discovery	PRO 30/55/32/2	3689. Cornwallis to Clinton. York Town [Yorktown], Virginia. [Original written in cypher]. No detachment can...	1781 Aug 16	The National Archives, Kew	survives					
TNA Discovery	SP 35/49/6	Folios 9-10. Anonymous letter in cypher, without signature or address, with decypher written over. The...	1724 Apr 7	The National Archives, Kew	survives				high	29
TNA Discovery	SP 35/50/51	Part 1, Folios 119-120. Anonymous letter marked Number 12 in cypher and French without signature...	1724 June 18	The National Archives, Kew	survives				high	29
TNA Discovery	SP 106/42	Parchment sheet entitled 'For writing in cypher'; two parchment sheets entitled 'For Decyphering', numbers 1-1800,...	18th century	The National Archives, Kew	survives	API error on lookup			not assessed	
TNA Discovery	SP 35/45/78	Part 2, Folios 14-15. Place: Bullin [?Boulogne]. Letter in cypher to Mr Thomas Compton at...	1723 Oct 7	The National Archives, Kew	survives				high	29
TNA Discovery	SP 35/50/23B	Part 1, Folios 57-58. Letter in cypher, without signature or address, with decypher in French...	1724 June 17	The National Archives, Kew	survives				high	29
TNA Discovery	PRO 30/55/33/47	3853. Major-General James Robertson [writing in Clinton's absence] to Haldimand. [A second letter in cypher...	1781 Oct  31	The National Archives, Kew	survives					
TNA Discovery	SP 35/19/70	Three pages of an anonymous letter addressed to 'Madam', containing foreign and domestic news. Some...	[1719]	The National Archives, Kew	survives				high	29
TNA Discovery	SP 8/6/65	Folio 208. Letter from Major d'Ehrenstein to Monsiuer de Bernsdorff regarding Monsieur de Guldenstolp partly...	[1689]	The National Archives, Kew	survives				not assessed	
TNA Discovery	SP 36/9/118	Folios 118-119. Note from (Newcastle) to the King. Finding upon a second reading of Mr....	1728 Dec. 19	The National Archives, Kew	survives				not assessed	
TNA Discovery	SP 14/1/38	Edward Reynoldes to Owen Reynoldes. Purposes to labour to be admitted in the office of...	1603 April 20	The National Archives, Kew	survives			false	not assessed	
TNA Discovery	PRO 30/24/7/505	Draft of letter from Lord Shaftesbury to Mr. Percivall, also of one to Mr. Perkins,...	1682 June 6	The National Archives, Kew	survives	API error on lookup			not assessed	
TNA Discovery	SP 89/44/63	Folio 133: Champigny to Comte de Maurepas. Necessity of military and naval reinforcements for Martinique....	1745 Feb 6	The National Archives, Kew	survives	Enclosed in f.131. Mostly in cypher.		false	medium	30
TNA Discovery	PRO 30/55/53/10	6012. [Major] F[red] M[ackenzie] to Major General James Patterson. Is directed by the Commander-in-Chief to...	1782 Oct  26	The National Archives, Kew	survives					
TNA Discovery	SP 89/16/15	Folio 31: Charles Fanshaw to Sir Leoline Jenkins. French hope for Charles II's support in...	1684 Feb 14, NS	The National Archives, Kew	survives	In cypher.		false	medium	30
TNA Discovery	SP 36/61/53	Folio 53. St. Quentin to [the Pretender] with news of the general situation concerning the...	1743 June 3	The National Archives, Kew	survives	French. Part in cypher.			not assessed	
TNA Discovery	SP 35/31/23	Folios 33-34. Extract of a letter from Spain directed to Monsieur Dumville, Procureur and enclosed...	1722 Apr 16	The National Archives, Kew	survives				high	29
TNA Discovery	SP 35/33/182	Folio 316. Draft of an examination of Edward Jernegan [Jerningham] concerning the Duke of Norfolk...	1722 Oct 25	The National Archives, Kew	survives				high	29
TNA Discovery	SP 89/39/153	Folio 347: Lord Tyrawly to Benjamin Keene. Savy alias Wall's confession of Spanish designs on...	1737 Nov 26	The National Archives, Kew	survives	Enclosed in f.343. Copy.			medium	29
TNA Discovery	SP 89/44/64	Folio 137: Champigny to Comte de Maurepas. Acknowledges information about English naval plans. All indications...	1745 Feb 6	The National Archives, Kew	survives	Enclosed in f.131. Mostly in cypher.		false	medium	30
TNA Discovery	SP 89/16/33	Folio 64: Charles Fanshaw to Sir Leoline Jenkins. St. Romain, French Ambassador, not yet made...	1684 Apr 10	The National Archives, Kew	survives	Partly in cypher		false	medium	30
TNA Discovery	SP 89/14/131	Folio 228: Charles Fanshaw to Sir Leoline Jenkins. Now virtually certain that the projected marriage...	1682 Sept 3, NS	The National Archives, Kew	survives	Partly in cypher.		false	medium	30
TNA Discovery	SP 78/205/95	Folio 146: Waldegrave to Delafaye. He managed to see a paper carelessly left on a...	1734 July 21	The National Archives, Kew	survives				not assessed	
TNA Discovery	SP 89/16/2	Folio 5: Charles Fanshaw to Sir Leoline Jenkins. French ambassador, Saint Romain, asks whether Fanshaw...	1684 Jan 17, NS	The National Archives, Kew	survives	Partly in cypher.		false	medium	30
TNA Discovery	SP 89/80/42	Folio 118: Lord Grantham to R. Walpole. Spanish Court has taken great umbrage at Portuguese...	1775 Sept 18	The National Archives, Kew	survives	Enclosure to f.108. Copy.			medium	29
TNA Discovery	SP 87/13/18	Newcastle to Carteret: he encloses instructions for [a spy who is to go by the...	1743 May 06	The National Archives, Kew	survives					
TNA Discovery	SP 87/40/78	Bute to Prince Ferdinand of Brunswick, partly in cipher: the king approves the advice Ferdinand...	29 June 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/40/61	Prince Ferdinand of Brunswick to Bute, partly in cipher: the second embarkation of reinforcements has...	8 May 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/40/36	Prince Ferdinand of Brunswick to Holdernesse, partly in cipher: seeing the impossibility of maintaining his...	30 March 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/23/41	Chesterfield to Cumberland, partly in cipher: the king's surprise that the prince of Orange has...	21 July  1747	The National Archives, Kew	survives					
TNA Discovery	SP 87/36/5	Holdernesse to Prince Ferdinand of Brunswick, partly in cipher: he is working to have Contades'...	9 October 1759	The National Archives, Kew	survives					
TNA Discovery	SP 54/25/8B	Letters, partly in cipher, from Burnet [Charles Edward Stuart]; found in the possession of Sir...	[1745 Apr 27]	The National Archives, Kew	survives	3 papers Copy			high	27
TNA Discovery	SP 87/43/81	Clavering to Bute, partly in cipher: difficulties of recruiting Hessians. The whole court of Brunswick...	13 October 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/43/104	Bute to Clavering, partly in cipher: the king's pleasure at the duke of Brunswick's sentiments....	15 December 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/17/122	Harrington to Fawkener [original partly in cipher]: acknowledges letters from Cumberland, Dunmore, Ligonier and Fawkener....	1745 Aug 04	The National Archives, Kew	survives				medium (high for the SP 87/8 Stair items specifically)	33
TNA Discovery	SP 87/40/145	Bute to Prince Ferdinand of Brunswick, partly in cipher: the king is content for him...	15 December 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/43/90	Clavering to Bute, partly in cipher: Mr Kurtzrock has arrived in Hamburg; the landgrave of...	3 November 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/40/153	Prince Ferdinand of Brunswick to Bute, partly in cipher: as the French have not passed...	29 December 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/8/59	Thomas Villiers to Stair, on relations between Prussia, France and Saxony. Partly in cipher. Dated...	1742 May 13	The National Archives, Kew	survives			false	medium (high for the SP 87/8 Stair items specifically)	33
TNA Discovery	SP 87/42/149	Clavering to Bute, partly in cipher: [General] Donop has asked him to sound the king's...	26 June 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/42/144	Clavering to Bute, partly in cipher, enclosing a letter to the king from the landgravine...	23  June 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/40/82	Prince Ferdinand of Brunswick to Bute, partly in cipher: his pleasure at the news from...	25 June 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/42/126	Clavering to Bute, partly in cipher: the landgrave's council is debating whether he should send...	19 May 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/40/81	Bute to Prince Ferdinand of Brunswick, partly in cipher: he has instructed Colonel Clavering to...	30 June 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/44/7	Clavering to Bute, partly in cipher: concern at the declaration of war on Spain. He...	8 January 1762	The National Archives, Kew	survives					
TNA Discovery	SP 87/42/132	Bute to Clavering, partly in cipher: Clavering should not have assured the duke of Brunswick...	2 June 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/43/95	Clavering to Bute, partly in cipher: the retreat of the French from Brunswick has permitted...	17 November 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/45/36	Clavering to Halifax, partly in cipher: a messenger from the army has told the landgrave...	12 November 1762	The National Archives, Kew	survives			false	medium (high for the SP 87/8 Stair items specifically)	33
TNA Discovery	SP 87/43/92	Clavering to Bute, partly in cipher, enclosing a memorial on the irregularities committed by the...	10 November 1761	The National Archives, Kew	survives					
TNA Discovery	SP 87/30/4	Boyd to Holdernesse, partly in cipher: he quotes from a letter found on a captured...	23 February 1758	The National Archives, Kew	survives				medium (high for the SP 87/8 Stair items specifically)	33
TNA Discovery	SP 87/16/13	Duplicate (partly in cipher) of SP 87/16/11, with additional advices from Maubeuge and Cambrai. Dated...	1745 Jan 21	The National Archives, Kew	survives				medium (high for the SP 87/8 Stair items specifically)	33
TNA Discovery	SP 87/16/12	Duplicate (partly in cipher) of SP 87/16/10, with additional paragraph on the state of Ostend....	1745 Jan 23	The National Archives, Kew	survives				medium (high for the SP 87/8 Stair items specifically)	33
TNA Discovery	SP 87/43/7	Clavering to Bute, partly in cipher, enclosing a project of a convention [SP 87/43/8] and...	10 July 1761	The National Archives, Kew	survives					
TNA Discovery	PRO 30/53/11/42	[?] to Mrs Horesse	1717 Dec 4	The National Archives, Kew	survives	API error on lookup			not assessed	
TNA Discovery	SP 84/165/102	Folio 174: [Chauran] to [Williamson?]. Financial arrangements.	1662 Apr 16	The National Archives, Kew	survives					
TNA Discovery	PRO 30/25/13	Despatch of [?Venetian Ambassador to France].	1634 Aug. 10	The National Archives, Kew	survives	6pp Partly in cipher.		false	low-medium	27
TNA Discovery	PRO 30/53/11/43	Letter in the same hand to Mrs Horesse	1717 Dec 4	The National Archives, Kew	survives	API error on lookup			not assessed	
TNA Discovery	SP 84/165/66	Folio 108: [Chauran] to [Williamson]. Requests payment. Spanish letters forthcoming.	1662 nd	The National Archives, Kew	survives					
TNA Discovery	SP 84/165/75	Folio 122: [Chauran] to [Williamson]. Transmits ciphers. Plea for payment.	1662 Mar 22	The National Archives, Kew	survives					
TNA Discovery	SP 84/165/111	Folio 186: [Chauran] to [Williamson?]. Recovery of his accomplice. Financial requests.	1662 [Apr -]	The National Archives, Kew	survives					
TNA Discovery	SP 84/165/23	Folio 36: [Chauran] to [Williamson]. Concern about movement and secrecy of correspondence.	1662 [Jan 11/21]	The National Archives, Kew	survives					
TNA Discovery	SP 90/8/84	Folio 84: Whitworth to Stanhope. From Berlin	1719 May 19/20	The National Archives, Kew	survives	Translation of SP 90/8 Folio 80. Partly in cipher. French.		false	medium-high (high for /358 specifically)	30
TNA Discovery	PRO 30/25/14	Letters of the council of Ten to Agostino de Canali, Proveditor and Captain of Coreyra....	1605 May 25	The National Archives, Kew	survives	30pp			not assessed	
TNA Discovery	SP 84/165/87	Folio 144: [Chauran] to [Williamson?]. Acknowledges receipt of payment. Arrangements for ciphering and security of...	1662 Apr 2	The National Archives, Kew	survives					
TNA Discovery	SP 89/12/74	Folio 124: Francis Parry to Lord Arlington. Original of f.123. Date and place: 1672 July...	1672 July 29/Aug 3	The National Archives, Kew	survives	Partly in cipher		false	medium	28
TNA Discovery	SP 90/2/335	Folio 335: Raby to [Hedges]. Receipt of cipher. No news from Prague. Stepney's qualifications for...	1704 Apr. 29	The National Archives, Kew	survives					
TNA Discovery	SP 90/2/409v	Folio 409v: [Reichart] to [Berlepsch]. Arranging a rendezvous at Günzburg. From Wibling, near Ulm	1704 June 3	The National Archives, Kew	survives					
TNA Discovery	SP 84/165/70	Folio 115: [Chauran] to [Williamson]. Insists on payment before he sends remaining Spanish papers. Fears...	1662 Mar 19	The National Archives, Kew	survives					
TNA Discovery	SP 87/8/45	Earl of Hyndford to Stair reporting on his mediation between Maria Theresa and the king...	1742 Apr 30	The National Archives, Kew	survives			false	medium (high for the SP 87/8 Stair items specifically)	33
TNA Discovery	SP 87/8/51	Lord Hyndford to Stair: perfidy of the king of Prussia. He encloses a letter from...	1742 May 05	The National Archives, Kew	survives			false	medium (high for the SP 87/8 Stair items specifically)	33
TNA Discovery	SP 90/3/358	Folio 358: Raby to Harley. Frederick I secretly negotiating a treaty with Sweden. Ambassadorial ceremonials;...	1705 Aug. 1	The National Archives, Kew	survives	Partly in cipher.		false	medium-high (high for /358 specifically)	30
TNA Discovery	SP 78/232/44	Folio 103: Yorke to Bedford. Albermarle's appointment is welcomed. The answer about Townsend is enclosed....	1749 Mar 8/20	The National Archives, Kew	survives	Partly in cipher.		false	not assessed	
TNA Discovery	SP 84/165/103	Folio 175: [Chauran] to [Williamson?]. His accomplice is too unwell to travel. Letters received by...	1662 [Apr 9]	The National Archives, Kew	survives					
