catalogue	reference	title_or_desc	date	held_by_or_source	verdict
TNA Discovery	DE/Bb/O1/1	2nd Lord Clive, governor of Madras, concerning specie to be sent to India, army about to take the field under Gen Harris, relations between Turkey and France [partly in cipher]	[7 Jan 1799]	Hertfordshire Archives and Local Studies	not-record-level
TNA Discovery	G52/2/19/38	Letter from 'LB', an agent, to [?Sir Edward Nicholas]; Thanking him for his kindness and assuring him of his readiness to carry out the King's commands. Original note, partly in cipher; endorsement an	11 Feb 1651	Surrey History Centre	not-record-level
TNA Discovery	G52/2/19/47	Letter from Mr M [?Lert], The Hague, to Sir Edward Nicholas. Received 20 Jan; Mr Bruce has informed him of the arrest of the Earl of Glencairn and others in Scotland; Bruce is determined to leave Scot	17 Jan 1656	Surrey History Centre	not-record-level
TNA Discovery	G52/2/19/43	Letter from '757', The Hague, to Sir Edward Nicholas; News of activities on the continent and in England of royalist supporters, including Sir R Page, Major Strachan, Lord Culpeper, Lieutenant General	15 Jun 1655	Surrey History Centre	not-record-level
TNA Discovery	G85/5/2/29	Letter from Robert Thomson senior [Nicholas Oudart] to [?Sir Edward Nicholas]: 'J A' has told him that among the concessions the King has agreed to he will name two secretaries from the Commons, but E	6 Aug 1647	Surrey History Centre	not-record-level
TNA Discovery	G85/5/2/30	Letter from Mr [?Bellem] de Garde, London, to Sir Edward Nicholas, Caen 'J A' urges Giles Robinson [EN] to compound as the Commons have passed an Act limiting the time for compositions to be made; 'J 	18 Jan 1649	Surrey History Centre	not-record-level
TNA Discovery	1700m-0/C/P/453	Devon Record Office	1796	Devon Archives and Local Studies Service (South West Heritage Trust)	not-record-level
TNA Discovery	1700m-0/C/P/398	Devon Record Office	1795	Devon Archives and Local Studies Service (South West Heritage Trust)	not-record-level
TNA Discovery	YBRY/3/ff3	Holograph letter of the Duke of York	[1648]	The National Archives, Kew	not-record-level
TNA Discovery	PRO 30/11/4/213-214	Camden. Rawdon to Cornwallis. He could spare more troops for Cornwallis; trouble in filling out...	1780 Nov 27	The National Archives, Kew	excluded
TNA Discovery	YHL/PO/JO/10/1/183/5	Letter from the Queen to the King from Newark	27 June 1643	The National Archives, Kew	not-record-level
TNA Discovery	SP 91/5/58	Folio 58: Whitworth to Harley. Denial of rumours of peace between Sweden and Muscovy, from...	1707 Feb 23	The National Archives, Kew	excluded
BL Archives and Manuscripts	Add MS 10035	 Collection of verbs from a Calepino dictionary, written in cipher 	3rd quarter of the 16th century	Western Manuscripts	excluded
BL Archives and Manuscripts	Add MS 4200		1645-1661	Western Manuscripts	excluded
BL Archives and Manuscripts	Add MS 18983	 Original letters from King Charles I to Prince Rupert, 8 Mar 1643-4 Aug 1645 	8 Mar 1643-4 Aug 1645	Western Manuscripts	excluded
BL Archives and Manuscripts	Add MS 32652	Transactions between Scotland and England, September–October 1543	1 Sep 1543-31 Oct 1543	Western Manuscripts	excluded
BL Archives and Manuscripts	Add MS 4136		1560-1587	Western Manuscripts	excluded
BL Archives and Manuscripts	Harley MS 286	State papers and letters relating to England, 1559-1648	1559-1648	Western Manuscripts	excluded
BL Archives and Manuscripts	Sloane MS 3188	John Dee's conferences with angels	1581-1693	Western Manuscripts	excluded
BL Archives and Manuscripts	Add MS 38238		Oct 1802-Sep 1803	Western Manuscripts	excluded
BL Archives and Manuscripts	Add MS 72438	Cipher-keys and intercepted royalist correspondence from the papers of Georg Rudolph Weckherlin, government official, 1625-1647	1625-1647	Western Manuscripts	excluded
BL Archives and Manuscripts	Add MS 33591	 Correspondence and papers of Sir Ralph Sadler, Volume I (1554-1559) 	1554-1559	Western Manuscripts	excluded
BL Archives and Manuscripts	Add MS 18982	Royalist correspondence, primarily addressed to Prince Rupert, 1645-1658	1645-1658	Western Manuscripts	excluded
BL Archives and Manuscripts	Add MS 18980	Royalist correspondence, addressed primarily to Prince Rupert, 1642-1643	1642-1643	Western Manuscripts	excluded
BL Archives and Manuscripts	Harley MS 287	 Letters and papers from the reigns of Elizabeth I, James I and VI, and Charles I 	Late 16th century-mid 17th century	Western Manuscripts	excluded
BL Archives and Manuscripts	Cotton MS Galba B V	Records and papers concerning England and Burgundy, 1516–1519	1st quarter 16th century-1st half 17th century	Western Manuscripts	excluded
BL Archives and Manuscripts	Add MS 33596	 Official papers of King Charles I, 1633-1646; captured royalist correspondence of George Digby, Baron Digby, 1645; royalist cipher keys; articles of surrender of Scottish royalists to General George 	13 May 1633-18 May 1655	Western Manuscripts	excluded
BL Archives and Manuscripts	Cotton MS Vespasian C III	Correspondence concerning England and Spain, February 1525–December 1526	1525-1st half of the 17th century	Western Manuscripts	excluded
BL Archives and Manuscripts	Add MS 48078	Correspondence of Thomas Sackville as envoy to the Netherlands, 1583-1598	1583-1598	Western Manuscripts	excluded
BL Archives and Manuscripts	Add MS 33531	 State papers and correspondence relating to England and Scotland 	1449-c 1594	Western Manuscripts	excluded
BL Archives and Manuscripts	Add MS 32091	State papers and documents, 1087-1575	12th century-1575	Western Manuscripts	excluded
BL Archives and Manuscripts	Add MS 25114	 Original state papers, 1527–1545 	1527-1545	Western Manuscripts	excluded
BL Archives and Manuscripts	Harley MS 6988	 Royal letters and warrants, 1625-1655 	1625-1655	Western Manuscripts	excluded
BL Archives and Manuscripts	Cotton MS Galba B III	Records and papers concerning England and Burgundy, 1510–1515	1510-1515	Western Manuscripts	excluded
BL Archives and Manuscripts	Cotton MS Vespasian C II	Correspondence (originals and transcripts) concerning England and Spain, April 1522–October 1524	1522-1st half of the 17th century	Western Manuscripts	excluded
BL Archives and Manuscripts	Harley MS 6345	 Copybook of Cardinal Wolsey's letters 	c 1627	Western Manuscripts	excluded
BL Archives and Manuscripts	Add MS 8294	 MISCELLANEOUS COLLECTION of letters, papal instructions, and political treatises relating to Spain, Sweden, Savoy, France, Ethiopia, Genoa, and Venice, mainly during the papacies of Gregory XIV (Nicc	17th century	Western Manuscripts	excluded
BL Archives and Manuscripts	Harley MS 7001	 Letters and state warrants 	1633-1724	Western Manuscripts	excluded
BL Archives and Manuscripts	Harley MS 1582	 State papers, 1553-1596 	1553-1596	Western Manuscripts	excluded
BL Archives and Manuscripts	Add MS 32657	Transactions between Scotland and England, May 1547-May 1590 (Hamilton Papers)	30 May 1547-27 May 1590	Western Manuscripts	excluded
BL Archives and Manuscripts	Cotton MS Caligula C VII	Records and papers (originals and copies) concerning England and Scotland, 1582–1584, including correspondence of Mary, Queen of Scots	1582-1631	Western Manuscripts	excluded
BL Archives and Manuscripts	Harley MS 260	 Letter-Book of Francis Walsingham as Ambassador to France, 26 Jan 1571-1 April 1573, with the reply to the French Ambassador, 20 Aug 1573 	1619-1628	Western Manuscripts	excluded
BL Archives and Manuscripts	Add MS 18980-18982	" ORIGINAL LETTERS, relating to the Civil Wars; addressed principally to Prince Rupert; 1642-1658. [Many of them are printed in Eliot Warburton's ""Memoirs of Prince Rupert.""] In three volumes. The writ"	1642-1658	Western Manuscripts	excluded
BL Archives and Manuscripts	Add MS 20359-20361	 LETTERS of the Abbé Jean d'Estrées [nephew of Card. d'Estrées, and French Ambassador in Spain] to Card. Gualterio; Madrid, Paris, etc., 21 Jan. 1703-28 Feb. 1718. Fr. Partly holograph, but mostly in 	21 Jan 1703-28 Feb 1718	Western Manuscripts	excluded
BL Archives and Manuscripts	Harley MS 290	 Papers relating to Mary Queen of Scots 	Mid 16th century-mid 17th century	Western Manuscripts	excluded
BL Archives and Manuscripts	Cotton MS Caligula B IX/2	Records and papers concerning England and Scotland 1556-1579	1556-1579	Western Manuscripts	excluded
BL Archives and Manuscripts	Harley MS 289	 Sixteenth-century letters and papers relating to Scotland and England 	16th century	Western Manuscripts	excluded
BL Archives and Manuscripts	Add MS 20620		1 Jan 1744-4 Sep 1753	Western Manuscripts	excluded
BL Archives and Manuscripts	Cotton MS Caligula C II	Records and papers (primarily originals) concerning England and Scotland, 1569–1572.	1570-1st half of the 17th century	Western Manuscripts	excluded
BL Archives and Manuscripts	Add MS 32653	Transactions between Scotland and England, November 1543-February 1544 (Hamilton Papers)	1 Nov 1543-[28 Feb 1544]	Western Manuscripts	excluded
BL Archives and Manuscripts	Cotton MS Vespasian C IV	 Records and papers concerning England and Spain, 1527-1529 	1527-1529	Western Manuscripts	excluded
BL Archives and Manuscripts	Add MS 32093		1625-May 1660	Western Manuscripts	excluded
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b525240150	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	Bibliothèque nationale de France. Département des Manuscrits. Français 2988	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b9059908w	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	Bibliothèque nationale de France. Département des Manuscrits. Français 2988	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b10032556x	Espagnol 132	1501-1600	Bibliothèque nationale de France. Département des Manuscrits. Espagnol 132	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b52509819x	Recueil de pièces originales, la plupart en chiffre, relatives aux affaires de la Ligue, à la fin du règne de Henri III et au commencement du règne de Henri IV.	1501-1600	Bibliothèque nationale de France. Département des manuscrits. Français 4715	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b9060138r	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	Bibliothèque nationale de France. Département des Manuscrits. Français 3013	excluded
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b90600370	Recueil de lettres originales et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	Bibliothèque nationale de France. Département des Manuscrits. Français 3034	excluded
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b52503046q	Espagnol 318	1401-1600	Bibliothèque nationale de France. Département des Manuscrits. Espagnol 318	excluded
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b9059406b	Collection Mémoires de la Ligue. Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	Bibliothèque nationale de France. Département des Manuscrits. Français 3983	excluded
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b9060086g	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	Bibliothèque nationale de France. Département des Manuscrits. Français 3015	excluded
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b9060633d	Collection Mémoires de la Ligue. Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	Bibliothèque nationale de France. Département des Manuscrits. Français 3984	excluded
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b90598719	Recueil de lettres originales et de copies indiquées comme telles dans le dépouillement qui suit.	1501-1600	Bibliothèque nationale de France. Département des Manuscrits. Français 3029	excluded
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b100325613	Espagnol 336	1501-1700	Bibliothèque nationale de France. Département des Manuscrits. Espagnol 336	excluded
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b9059471x	Recueil de copies de pièces contenant les dépêches et mémoires adressés et reçus par le duc de Rohan, « lieutenant general du roy, en son armée, aux Grisons », du 19 juillet 1635 au 30 décembre 1636.	1601-1700	Bibliothèque nationale de France. Département des manuscrits. Français 5190	excluded
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b9060546p	Collection Mémoires de la Ligue. Recueil de lettres et pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	Bibliothèque nationale de France. Département des Manuscrits. Français 3977	excluded
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b9060172s	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	Bibliothèque nationale de France. Département des Manuscrits. Français 3126	excluded
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b9060253s	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	Bibliothèque nationale de France. Département des Manuscrits. Français 3091	excluded
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b525094217	Recueil de chiffres diplomatiques (1688-1713).	1601-1800	Bibliothèque nationale de France. Département des Manuscrits. Français 6204	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b9060205q	Recueil de lettres originales.	1601-1700	Bibliothèque nationale de France. Département des manuscrits. Français 3669	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b52523722c	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1700	Bibliothèque nationale de France. Département des Manuscrits. Français 3484	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b52508089f	Recueil de lettres originales.	1501-1600	Bibliothèque nationale de France. Département des manuscrits. Français 3641	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b90601432	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme tellés dans le dépouillement qui suit.	1501-1600	Bibliothèque nationale de France. Département des Manuscrits. Français 3053	excluded
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b52524713r	Clé de chiffres employés pour différentes correspondances politiques du XVIe siècle.	1801-1900	Bibliothèque nationale de France. Département des Manuscrits. NAF 4206	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b10029562n	Petrus Lombardus, Commentarius in Psalmos.	1201-1300	Bibliothèque nationale de France. Département des Manuscrits. Latin 411	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b55007166n	Psautier français de Claude Gouffier, marquis de Boissy, grand écuyer de France, duc de Roannais	1501-1600	Bibliothèque nationale de France. Bibliothèque de l'Arsenal. Ms-5095 réserve	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b100391845	Leviticus cum glossa ordinaria, pars.	1101-1200	Bibliothèque nationale de France. Département des Manuscrits. Latin 536	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b6001334t	Concilium Constantiense.	1401-1500	Bibliothèque nationale de France. Département des manuscrits. Latin 1484	dropped:query-too-broad(numbering,not-cipher)
