term	date_bucket	ark	shelfmark	catalogue_text	resolution
avec chiffres	1700-1799	ark:/12148/cc104971r/cN116235	1-1039	Ms_311 . Lettres reçues par Séguier des libraires et commissionnaires chargés par lui de l'achat de livres pour sa bibliothèque. > Ms_311_5 . Lettres à Séguier.	not cipher: Nimes Ms_311, letters to Seguier -- no chiffre word visible
avec chiffres	1700-1799	ark:/12148/cc104971r/cN116738	1-1039	Ms_312 . Lettres reçues par Séguier des libraires et commissionnaires chargés par lui de l'achat de livres pour sa bibliothèque. > Ms_312_3 . Lettres à Séguier.	not cipher: Nimes Ms_312, letters to Seguier -- no chiffre word visible
avec chiffres	1700-1799	ark:/12148/cc104971r/cN80024	1-1039	Ms_130 . Recueil Séguier n° 9. > Ms_130_16 . « Copie d'une lettre écrite par Mr l'abbé Chaupy à Mr Deservières ».	not cipher: Nimes Ms_130 (Recueil Seguier), copy of a letter -- no chiffre word visible
avec chiffres	1700-1799	ark:/12148/cc104971r/cN80121	1-1039	Ms_130 . Recueil Séguier n° 9. > Ms_130_18 . « Copie d'une lettre écrite par M. le Baron de Servières à Mr Germain ancien Chancellier... ».	not cipher: Nimes Ms_130, copy of a letter -- no chiffre word visible
avec chiffres	1700-1799	ark:/12148/cc104971r/cN80220	1-1039	Ms_130 . Recueil Séguier n° 9. > Ms_130_20 . « Copie d'une lettre écrite par Mr Hosten à Mr De Servières ».	not cipher: Nimes Ms_130, copy of a letter -- no chiffre word visible
avec chiffres	1700-1799	ark:/12148/cc104971r/cN80598	1-1039	Ms_130 . Recueil Séguier n° 9. > Ms_130_28 . « Copie d'une Lettre Ecrite Par Mr Le baron de Servières A Mr L'abbé de la Barthe. ».	not cipher: Nimes Ms_130, copy of a letter -- no chiffre word visible
avec chiffres	1700-1799	ark:/12148/cc104971r/cN85270	1-1039	Ms_141 . Lettres reçues par Séguier. > Ms_141_23 . Lettres à Séguier.	not cipher: Nimes Ms_141, letters to Seguier -- no chiffre word visible
avec chiffres	1700-1799	ark:/12148/cc104971r/cN85405	1-1039	Ms_141 . Lettres reçues par Séguier. > Ms_141_27 . Lettres à Séguier.	not cipher: Nimes Ms_141, letters to Seguier -- no chiffre word visible
avec chiffres	1700-1799	ark:/12148/cc1253086/cb592		"Ms 820/1 - Ms 828/219 . Autographes > Autographes de la série ""Hommes célèbres de la Révolution"" > Ms 825/118 . Lettre autographe de Honoré-Gabriel Riquetti, comte de Mirabeau"	not cipher: Nantes Ms 825/118, Mirabeau autograph letter -- no chiffre word visible
avec chiffres	1700-1799	ark:/12148/cc125148r/cN74301	Archives et manuscrits de la Bibliothèque universitaire des Langues et Civilisations	Manuscrits turcs > MS.TURC.115 . Recueil de pièces diverses > Copie d’une lettre où il est question du même ambassadeur d'Espagne	not cipher: BULAC MS.TURC.115, Turkish recueil item mentioning an ambassador of Spain -- no chiffre word visible
