id	shelfmark	folio	date	sender	recipient	language	status	neighbour_id	neighbour_folio	neighbour_date	neighbour_status	why_matched	bourdeau_id_hit	bourdeau_volume_hit	aym_id_hit	aym_volume_hit	queue_hit	verdict
9887	brah_signatura-9/31	18		Luis Fernández		Spanish	Non-decrypted	9890	21	1524	Decrypted	adjacent folio (f.18 vs f.21, diff 3)		sessa1524[read in part]		catalogue/decode-ranked.md	id	excluded:bourdeau-volume
9886	brah_signatura-9/31	17		Luis Fernández		Spanish	Non-decrypted	9884	15	1424	Decrypted	adjacent folio (f.17 vs f.15, diff 2)		sessa1524[read in part]		catalogue/decode-ranked.md	id	excluded:bourdeau-volume
9885	brah_signatura-9/31	16		Luis Fernández		Spanish	Non-decrypted	9884	15	1424	Decrypted	adjacent folio (f.16 vs f.15, diff 1)		sessa1524[read in part]		catalogue/decode-ranked.md	id	excluded:bourdeau-volume
9883	brah_signatura-9/31	14	1424-4	Luis Fernández		Spanish	Non-decrypted	9884	15	1424	Decrypted	adjacent folio (f.14 vs f.15, diff 1)		sessa1524[read in part]		catalogue/decode-ranked.md	id	excluded:bourdeau-volume
9882	brah_signatura-9/31	13	1424-4	Lope Hurtado de Mendoza		Spanish	Non-decrypted	9884	15	1424	Decrypted	adjacent folio (f.13 vs f.15, diff 2)		sessa1524[read in part]		catalogue/decode-ranked.md	id	excluded:bourdeau-volume
9880	brah_signatura-9/31	11	1424-4	Luis Fernández		Spanish	Non-decrypted	9881	12	1424	Decrypted	adjacent folio (f.11 vs f.12, diff 1)		sessa1524[read in part]		catalogue/decode-ranked.md	id	excluded:bourdeau-volume
9879	brah_signatura-9/31	10	1424-4	Luis Fernández		Spanish	Non-decrypted	9881	12	1424	Decrypted	adjacent folio (f.10 vs f.12, diff 2)		sessa1524[read in part]		catalogue/decode-ranked.md	id	excluded:bourdeau-volume
9878	brah_signatura-9/31	9	1424-4	Luis Fernández		Spanish	Non-decrypted	9881	12	1424	Decrypted	adjacent folio (f.9 vs f.12, diff 3)	sessa1524[read in part]			catalogue/decode-ranked.md	id	excluded:bourdeau-id
9875	brah_signatura-9/31	6		Luis Fernández?		Spanish	Non-decrypted	9872	3		Decrypted	adjacent folio (f.6 vs f.3, diff 3)		sessa1524[read in part]		catalogue/decode-ranked.md	id	excluded:bourdeau-volume
9873	brah_signatura-9/31	4		Luis Fernández?		Spanish	Non-decrypted	9872	3		Decrypted	adjacent folio (f.4 vs f.3, diff 1)	sessa1524[read in part]			catalogue/decode-ranked.md	id	excluded:bourdeau-id
9868	brah_signatura-9/30	8		Lope Hurtado de Mendoza		Spanish	Non-decrypted	9848	5		Decrypted	adjacent folio (f.8 vs f.5, diff 3)	lopehurtado1523[read in part]	soria1523[read in part]		catalogue/decode-ranked.md		excluded:bourdeau-id
9866	brah_signatura-9/30	6		Lope Hurtado de Mendoza		Spanish	Non-decrypted	9848	5		Decrypted	adjacent folio (f.6 vs f.5, diff 1)	lopehurtado1523[read in part]	soria1523[read in part]		catalogue/decode-ranked.md		excluded:bourdeau-id
9846	brah_signatura-9/30	3		Lope Hurtado de Mendoza		Spanish	Non-decrypted	9848	5		Decrypted	adjacent folio (f.3 vs f.5, diff 2)	lopehurtado1523[read in part]	soria1523[read in part]		catalogue/decode-ranked.md		excluded:bourdeau-id
9843	brah_signatura-9/29	11	1523	Luis Fernández		Spanish	Non-decrypted	9841	9	1523	Decrypted	adjacent folio (f.11 vs f.9, diff 2)				catalogue/decode-ranked.md		survives:aym-volume
9842	brah_signatura-9/29	10	1523-10	Luis Fernández		Spanish	Non-decrypted	9841	9	1523	Decrypted	adjacent folio (f.10 vs f.9, diff 1)				catalogue/decode-ranked.md		survives:aym-volume
9840	brah_signatura-9/29	8	1523	Luis Fernández		Spanish	Non-decrypted	9841	9	1523	Decrypted	adjacent folio (f.8 vs f.9, diff 1)				catalogue/decode-ranked.md		survives:aym-volume
9839	brah_signatura-9/29	7	1523	Luis Fernández		Spanish	Non-decrypted	9841	9	1523	Decrypted	adjacent folio (f.7 vs f.9, diff 2)				catalogue/decode-ranked.md		survives:aym-volume
9838	brah_signatura-9/29	6	1523-10	Luis Fernández		Spanish	Non-decrypted	9841	9	1523	Decrypted	adjacent folio (f.6 vs f.9, diff 3)				catalogue/decode-ranked.md		survives:aym-volume
9837	brah_signatura-9/29	5	1523-9	Luis Fernández		Spanish	Non-decrypted	9834	2		Decrypted	adjacent folio (f.5 vs f.2, diff 3); same sender (author) named	sessa1524[read in part]			catalogue/decode-ranked.md		excluded:bourdeau-id
9835	brah_signatura-9/29	3		Luis Fernández		Spanish	Non-decrypted	9834	2		Decrypted	adjacent folio (f.3 vs f.2, diff 1); same sender (author) named	sessa1524[read in part]			catalogue/decode-ranked.md		excluded:bourdeau-id
9833	brah_signatura-9/29	1		Luis Fernández?		Spanish	Non-decrypted	9834	2		Decrypted	adjacent folio (f.1 vs f.2, diff 1); same sender (author) named	sessa1524[read in part]			catalogue/decode-ranked.md		excluded:bourdeau-id
9775	brah_signatura-9/28	44	1523-8	Luis Fernández?		Spanish	Non-decrypted	9787	46	1523-8	Partially decrypted	adjacent folio (f.44 vs f.46, diff 2); date within 0 days; same sender (author) named		lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]		catalogue/decode-ranked.md		excluded:bourdeau-volume
9771	brah_signatura-9/28	42	1523	Luis Fernández		Spanish	Non-decrypted	9772	43	1523-8	Partially decrypted	adjacent folio (f.42 vs f.43, diff 1); same sender (author) named		lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]		catalogue/decode-ranked.md		excluded:bourdeau-volume
9770	brah_signatura-9/28	41	1523-8	Alonso Sánchez		Spanish	Non-decrypted	9772	43	1523-8	Partially decrypted	adjacent folio (f.41 vs f.43, diff 2); date within 0 days	sanchez1523[already solved]	lopehurtado1523[read in part];soria1523[read in part]		catalogue/decode-ranked.md		excluded:bourdeau-id
9769	brah_signatura-9/28	40	1523-8	Alonso Sánchez		Spanish	Non-decrypted	9772	43	1523-8	Partially decrypted	adjacent folio (f.40 vs f.43, diff 3); date within 0 days	sanchez1523[already solved]	lopehurtado1523[read in part];soria1523[read in part]		catalogue/decode-ranked.md		excluded:bourdeau-id
9767	brah_signatura-9/28	38	1523-8	Alonso Sánchez		Spanish	Non-decrypted	9768	39	1523	Decrypted	adjacent folio (f.38 vs f.39, diff 1)	sanchez1523[already solved];soria1523[read in part]	lopehurtado1523[read in part]		catalogue/decode-ranked.md		excluded:bourdeau-id
9765	brah_signatura-9/28	36	1523-7	Luis Fernández		Spanish	Non-decrypted	9768	39	1523	Decrypted	adjacent folio (f.36 vs f.39, diff 3)	soria1523[read in part]	lopehurtado1523[read in part];sanchez1523[already solved]		catalogue/decode-ranked.md		excluded:bourdeau-id
9764	brah_signatura-9/28	35	1523-7	Luis Fernández		Spanish	Non-decrypted	9766	37	1523	Decrypted	adjacent folio (f.35 vs f.37, diff 2)		lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]		catalogue/decode-ranked.md		excluded:bourdeau-volume
9695	brah_signatura-9/28	33	1523-6	Lope Hurtado de Mendoza		Spanish	Non-decrypted	9693	32	1523	Decrypted	adjacent folio (f.33 vs f.32, diff 1)	lopehurtado1523[read in part]	sanchez1523[already solved];soria1523[read in part]		catalogue/decode-ranked.md		excluded:bourdeau-id
9694	brah_signatura-9/28	34	1523-6	Luis Fernández		Spanish	Non-decrypted	9766	37	1523	Decrypted	adjacent folio (f.34 vs f.37, diff 3)		lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]		catalogue/decode-ranked.md		excluded:bourdeau-volume
9692	brah_signatura-9/28	31	1523-6	Luis Fernández		Spanish	Non-decrypted	9693	32	1523	Decrypted	adjacent folio (f.31 vs f.32, diff 1)		lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]		catalogue/decode-ranked.md		excluded:bourdeau-volume
9690	brah_signatura-9/28	29	1523-6	Alonso Sánchez		Spanish	Non-decrypted	9693	32	1523	Decrypted	adjacent folio (f.29 vs f.32, diff 3)	sanchez1523[already solved]	lopehurtado1523[read in part];soria1523[read in part]		catalogue/decode-ranked.md		excluded:bourdeau-id
9689	brah_signatura-9/28	28	1523-6	Alonso Sánchez		Spanish	Non-decrypted	9691	30	1523	Decrypted	adjacent folio (f.28 vs f.30, diff 2)	sanchez1523[already solved]	lopehurtado1523[read in part];soria1523[read in part]		catalogue/decode-ranked.md		excluded:bourdeau-id
9688	brah_signatura-9/28	27	1523-6	Luis Fernández?		Spanish	Non-decrypted	9691	30	1523	Decrypted	adjacent folio (f.27 vs f.30, diff 3)		lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]		catalogue/decode-ranked.md		excluded:bourdeau-volume
9687	brah_signatura-9/28	26	1523-6	Luis Fernández?		Spanish	Non-decrypted	9787	46	1523-8	Partially decrypted	same sender (author) named		lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]		catalogue/decode-ranked.md		excluded:bourdeau-volume
9686	brah_signatura-9/28	25	1523-6	Luis Fernández?		Spanish	Non-decrypted	9787	46	1523-8	Partially decrypted	same sender (author) named		lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]		catalogue/decode-ranked.md		excluded:bourdeau-volume
9685	brah_signatura-9/28	24	1523-6	Luis Fernández?		Spanish	Non-decrypted	9676	21	1523	Decrypted	adjacent folio (f.24 vs f.21, diff 3)		lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]		catalogue/decode-ranked.md		excluded:bourdeau-volume
9684	brah_signatura-9/28	23	1523-6-30	Luis Fernández?		Spanish	Non-decrypted	9676	21	1523	Decrypted	adjacent folio (f.23 vs f.21, diff 2)		lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]		catalogue/decode-ranked.md		excluded:bourdeau-volume
9683	brah_signatura-9/28	22	1523-6	Lope Hurtado de Mendoza		Spanish	Non-decrypted	9676	21	1523	Decrypted	adjacent folio (f.22 vs f.21, diff 1)	lopehurtado1523[read in part]	sanchez1523[already solved];soria1523[read in part]		catalogue/decode-ranked.md		excluded:bourdeau-id
9677	brah_signatura-9/28	22	1523	Alonso Sánchez		Spanish	Non-decrypted	9676	21	1523	Decrypted	adjacent folio (f.22 vs f.21, diff 1)	sanchez1523[already solved]	lopehurtado1523[read in part];soria1523[read in part]		catalogue/decode-ranked.md		excluded:bourdeau-id
9675	brah_signatura-9/28	20	1523-5-23	Luis Fernández?		Spanish	Non-decrypted	9676	21	1523	Decrypted	adjacent folio (f.20 vs f.21, diff 1)		lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]		catalogue/decode-ranked.md		excluded:bourdeau-volume
9674	brah_signatura-9/28	19		Alonso Sánchez		Spanish	Non-decrypted	9676	21	1523	Decrypted	adjacent folio (f.19 vs f.21, diff 2)	sanchez1523[already solved]	lopehurtado1523[read in part];soria1523[read in part]		catalogue/decode-ranked.md		excluded:bourdeau-id
9672	brah_signatura-9/28	17	5	Alonso Sánchez		Spanish	Non-decrypted	9673	18		Decrypted	adjacent folio (f.17 vs f.18, diff 1)	sanchez1523[already solved]	lopehurtado1523[read in part];soria1523[read in part]		catalogue/decode-ranked.md		excluded:bourdeau-id
9671	brah_signatura-9/28	16	5	Alonso Sánchez		Spanish	Non-decrypted	9673	18		Decrypted	adjacent folio (f.16 vs f.18, diff 2)	sanchez1523[already solved]	lopehurtado1523[read in part];soria1523[read in part]		catalogue/decode-ranked.md		excluded:bourdeau-id
9670	brah_signatura-9/28	15	1523-5	Alonso Sánchez		Spanish	Non-decrypted	9673	18		Decrypted	adjacent folio (f.15 vs f.18, diff 3)	sanchez1523[already solved]	lopehurtado1523[read in part];soria1523[read in part]		catalogue/decode-ranked.md		excluded:bourdeau-id
9669	brah_signatura-9/28	14		Luis Fernández?		Spanish	Non-decrypted	9787	46	1523-8	Partially decrypted	same sender (author) named		lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]		catalogue/decode-ranked.md		excluded:bourdeau-volume
9668	brah_signatura-9/28	13		Luis Fernández?		Spanish	Non-decrypted	9787	46	1523-8	Partially decrypted	same sender (author) named		lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]		catalogue/decode-ranked.md		excluded:bourdeau-volume
9493	brah_signatura-9/28	6	1523-7-20	Lope de Soria	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9787	46	1523-8	Partially decrypted	date within 12 days	soria1523[read in part]	lopehurtado1523[read in part];sanchez1523[already solved]		catalogue/decode-ranked.md		excluded:bourdeau-id
9659	brah_signatura-9/26	28		Lope Hurtado de Mendoza		Spanish	Non-decrypted	9652	21	1522-11	Partially decrypted	same sender (author) named	lopehurtado[read in part];sanchez1522[read in part]	r9658[already solved]		catalogue/decode-ranked.md	id	excluded:bourdeau-id
9656	brah_signatura-9/26	25	1522-11	Lope Hurtado de Mendoza		Spanish	Non-decrypted	9652	21	1522-11	Partially decrypted	date within 0 days; same sender (author) named	lopehurtado[read in part];sanchez1522[read in part]	r9658[already solved]		catalogue/decode-ranked.md	id	excluded:bourdeau-id
9655	brah_signatura-9/26	24	1522-11	Alonso Sánchez		Spanish	Non-decrypted	9652	21	1522-11	Partially decrypted	adjacent folio (f.24 vs f.21, diff 3); date within 0 days	lopehurtado[read in part];sanchez1522[read in part]	r9658[already solved]		catalogue/decode-ranked.md	id	excluded:bourdeau-id
9654	brah_signatura-9/26	23	1522-11-20	Alonso Sánchez		Spanish	Non-decrypted	9652	21	1522-11	Partially decrypted	adjacent folio (f.23 vs f.21, diff 2); date within 19 days	lopehurtado[read in part];sanchez1522[read in part]	r9658[already solved]		catalogue/decode-ranked.md	id	excluded:bourdeau-id
9653	brah_signatura-9/26	22	1522-11-20	Alonso Sánchez		Spanish	Non-decrypted	9652	21	1522-11	Partially decrypted	adjacent folio (f.22 vs f.21, diff 1); date within 19 days	lopehurtado[read in part];sanchez1522[read in part]	r9658[already solved]		catalogue/decode-ranked.md	id	excluded:bourdeau-id
9651	brah_signatura-9/26	20		Alonso Sánchez?		Spanish	Non-decrypted	9652	21	1522-11	Partially decrypted	adjacent folio (f.20 vs f.21, diff 1)	lopehurtado[read in part];sanchez1522[read in part]	r9658[already solved]		catalogue/decode-ranked.md	id	excluded:bourdeau-id
9649	brah_signatura-9/26	18	1522-11-9	Lope Hurtado de Mendoza?		Spanish	Non-decrypted	9652	21	1522-11	Partially decrypted	adjacent folio (f.18 vs f.21, diff 3); date within 8 days; same sender (author) named	lopehurtado[read in part];sanchez1522[read in part]	r9658[already solved]		catalogue/decode-ranked.md	id	excluded:bourdeau-id
9648	brah_signatura-9/26	17	1522-11-9	Lope Hurtado de Mendoza		Spanish	Non-decrypted	9650	19	1522	Decrypted	adjacent folio (f.17 vs f.19, diff 2)	lopehurtado[read in part];sanchez1522[read in part]	r9658[already solved]		catalogue/decode-ranked.md	id	excluded:bourdeau-id
9647	brah_signatura-9/26	16	1522	Alonso Sánchez?		Spanish	Non-decrypted	9650	19	1522	Decrypted	adjacent folio (f.16 vs f.19, diff 3)	lopehurtado[read in part];sanchez1522[read in part]	r9658[already solved]		catalogue/decode-ranked.md	id	excluded:bourdeau-id
9646	brah_signatura-9/26	15		Lope Hurtado de Mendoza?		Spanish	Non-decrypted	9644	13		Decrypted	adjacent folio (f.15 vs f.13, diff 2)	lopehurtado[read in part];sanchez1522[read in part]	r9658[already solved]		catalogue/decode-ranked.md	id	excluded:bourdeau-id
9645	brah_signatura-9/26	14	11	Lope Hurtado de Mendoza		Spanish	Non-decrypted	9644	13		Decrypted	adjacent folio (f.14 vs f.13, diff 1)	lopehurtado[read in part];sanchez1522[read in part]	r9658[already solved]		catalogue/decode-ranked.md	id	excluded:bourdeau-id
9643	brah_signatura-9/26	12	1522-10	Alonso Sánchez?		Spanish	Non-decrypted	9644	13		Decrypted	adjacent folio (f.12 vs f.13, diff 1)	lopehurtado[read in part];sanchez1522[read in part]	r9658[already solved]		catalogue/decode-ranked.md	id	excluded:bourdeau-id
9641	brah_signatura-9/26	9	1522-10	Alonso Sánchez?		Spanish	Non-decrypted	9638	6	1522	Decrypted	adjacent folio (f.9 vs f.6, diff 3)	lopehurtado[read in part];sanchez1522[read in part]	r9658[already solved]		catalogue/decode-ranked.md	id	excluded:bourdeau-id
9640	brah_signatura-9/26	8	1522-10	Alonso Sánchez?		Spanish	Non-decrypted	9638	6	1522	Decrypted	adjacent folio (f.8 vs f.6, diff 2)	lopehurtado[read in part];sanchez1522[read in part]	r9658[already solved]		catalogue/decode-ranked.md	id	excluded:bourdeau-id
9639	brah_signatura-9/26	7	1522-10	Alonso Sánchez		Spanish	Non-decrypted	9638	6	1522	Decrypted	adjacent folio (f.7 vs f.6, diff 1)	lopehurtado[read in part];sanchez1522[read in part]	r9658[already solved]		catalogue/decode-ranked.md	id	excluded:bourdeau-id
9637	brah_signatura-9/26	5	1522-10	Alonso Sánchez?		Spanish	Non-decrypted	9638	6	1522	Decrypted	adjacent folio (f.5 vs f.6, diff 1)	lopehurtado[read in part];sanchez1522[read in part]	r9658[already solved]		catalogue/decode-ranked.md	id	excluded:bourdeau-id
9636	brah_signatura-9/26	4		Alonso Sánchez		Spanish	Non-decrypted	9638	6	1522	Decrypted	adjacent folio (f.4 vs f.6, diff 2)	lopehurtado[read in part];sanchez1522[read in part]	r9658[already solved]		catalogue/decode-ranked.md	id	excluded:bourdeau-id
9635	brah_signatura-9/26	3	1522	Alonso Sánchez		Spanish	Non-decrypted	9638	6	1522	Decrypted	adjacent folio (f.3 vs f.6, diff 3)	lopehurtado[read in part];sanchez1522[read in part]	r9658[already solved]		catalogue/decode-ranked.md	id	excluded:bourdeau-id
9634	brah_signatura-9/26	2	1522-9	Lope Hurtado de Mendoza		Spanish	Non-decrypted	9652	21	1522-11	Partially decrypted	same sender (author) named	lopehurtado[read in part];sanchez1522[read in part]	r9658[already solved]		catalogue/decode-ranked.md	id	excluded:bourdeau-id
9632	brah_signatura-9/25	14	1522-8	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9625	7	1522	Decrypted	same sender (author) named	lopehurtado[read in part];sanchez1522[read in part]			catalogue/decode-ranked.md		excluded:bourdeau-id
9631	brah_signatura-9/25	13	1522-8	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9625	7	1522	Decrypted	same sender (author) named	lopehurtado[read in part];sanchez1522[read in part]			catalogue/decode-ranked.md		excluded:bourdeau-id
9630	brah_signatura-9/25	12	1522-8	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9625	7	1522	Decrypted	same sender (author) named	lopehurtado[read in part];sanchez1522[read in part]			catalogue/decode-ranked.md		excluded:bourdeau-id
9629	brah_signatura-9/25	11	1522-8	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9625	7	1522	Decrypted	same sender (author) named	lopehurtado[read in part];sanchez1522[read in part]			catalogue/decode-ranked.md		excluded:bourdeau-id
9628	brah_signatura-9/25	10		Alonso Sánchez		Spanish	Non-decrypted	9625	7	1522	Decrypted	adjacent folio (f.10 vs f.7, diff 3); same sender (author) named	lopehurtado[read in part];sanchez1522[read in part]			catalogue/decode-ranked.md		excluded:bourdeau-id
9626	brah_signatura-9/25	8		Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9625	7	1522	Decrypted	adjacent folio (f.8 vs f.7, diff 1); same sender (author) named	lopehurtado[read in part];sanchez1522[read in part]			catalogue/decode-ranked.md		excluded:bourdeau-id
9623	brah_signatura-9/25	5	1522-7-19	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9625	7	1522	Decrypted	adjacent folio (f.5 vs f.7, diff 2); same sender (author) named	lopehurtado[read in part];sanchez1522[read in part]			catalogue/decode-ranked.md		excluded:bourdeau-id
9622	brah_signatura-9/25	4	1522-7-19	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9625	7	1522	Decrypted	adjacent folio (f.4 vs f.7, diff 3); same sender (author) named	lopehurtado[read in part];sanchez1522[read in part]			catalogue/decode-ranked.md		excluded:bourdeau-id
9621	brah_signatura-9/25	3	1522-7-19	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9625	7	1522	Decrypted	same sender (author) named	lopehurtado[read in part];sanchez1522[read in part]			catalogue/decode-ranked.md		excluded:bourdeau-id
9620	brah_signatura-9/25	2	1522-7	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9625	7	1522	Decrypted	same sender (author) named	lopehurtado[read in part];sanchez1522[read in part]			catalogue/decode-ranked.md		excluded:bourdeau-id
9619	brah_signatura-9/25	1	1522-7-10	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9625	7	1522	Decrypted	same sender (author) named	lopehurtado[read in part];sanchez1522[read in part]			catalogue/decode-ranked.md		excluded:bourdeau-id
9616	brah_signatura-9/24	25		Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9613	22	1522	Decrypted	adjacent folio (f.25 vs f.22, diff 3)	lopehurtado[read in part];sanchez1522[read in part];sanchez1523[already solved]			catalogue/decode-ranked.md		excluded:bourdeau-id
9615	brah_signatura-9/24	24	1522-6	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9613	22	1522	Decrypted	adjacent folio (f.24 vs f.22, diff 2)	lopehurtado[read in part];sanchez1522[read in part];sanchez1523[already solved]			catalogue/decode-ranked.md		excluded:bourdeau-id
9614	brah_signatura-9/24	23	1522-6	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9613	22	1522	Decrypted	adjacent folio (f.23 vs f.22, diff 1)	lopehurtado[read in part];sanchez1522[read in part];sanchez1523[already solved]			catalogue/decode-ranked.md		excluded:bourdeau-id
9612	brah_signatura-9/24	21	1522-6	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9613	22	1522	Decrypted	adjacent folio (f.21 vs f.22, diff 1)	lopehurtado[read in part];sanchez1522[read in part];sanchez1523[already solved]			catalogue/decode-ranked.md		excluded:bourdeau-id
9611	brah_signatura-9/24	20	1522-6	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9613	22	1522	Decrypted	adjacent folio (f.20 vs f.22, diff 2)	lopehurtado[read in part];sanchez1522[read in part];sanchez1523[already solved]			catalogue/decode-ranked.md		excluded:bourdeau-id
9610	brah_signatura-9/24	19	1522-6	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9613	22	1522	Decrypted	adjacent folio (f.19 vs f.22, diff 3)	lopehurtado[read in part];sanchez1522[read in part];sanchez1523[already solved]			catalogue/decode-ranked.md		excluded:bourdeau-id
9607	brah_signatura-9/24	16	1522-5	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9605	14	1522	Decrypted	adjacent folio (f.16 vs f.14, diff 2)	lopehurtado[read in part];sanchez1522[read in part];sanchez1523[already solved]			catalogue/decode-ranked.md		excluded:bourdeau-id
9604	brah_signatura-9/24	13	1522-5	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9605	14	1522	Decrypted	adjacent folio (f.13 vs f.14, diff 1)	lopehurtado[read in part];sanchez1522[read in part];sanchez1523[already solved]			catalogue/decode-ranked.md		excluded:bourdeau-id
9603	brah_signatura-9/24	12	1522-5	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9605	14	1522	Decrypted	adjacent folio (f.12 vs f.14, diff 2)	lopehurtado[read in part];sanchez1522[read in part];sanchez1523[already solved]			catalogue/decode-ranked.md		excluded:bourdeau-id
9595	brah_signatura-9/23	24	1522-3	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9592	21	1522	Decrypted	adjacent folio (f.24 vs f.21, diff 3)	lopehurtado[read in part];sanchez1522[read in part]			catalogue/decode-ranked.md		excluded:bourdeau-id
9594	brah_signatura-9/23	23	1522	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9592	21	1522	Decrypted	adjacent folio (f.23 vs f.21, diff 2)	lopehurtado[read in part];sanchez1522[read in part]			catalogue/decode-ranked.md		excluded:bourdeau-id
9587	asn_ministerio.degli.affari.esteri.2337	38	1816-10-23	Marchese di Ciscello? Principe di Castelcicala?		Italian	Non-decrypted	9590	41	1830	Decrypted	adjacent folio (f.38 vs f.41, diff 3)	castelcicala1816[read in part]			CATALOGUE.md	id	excluded:bourdeau-id
9584	asn_ministerio.degli.affari.esteri.2337	35	1819-7-13	Principe di Castelcicala		Italian	Non-decrypted	9581	32	1860	Decrypted	adjacent folio (f.35 vs f.32, diff 3)	castelcicala1816[read in part]			CATALOGUE.md	id	excluded:bourdeau-id
9583	asn_ministerio.degli.affari.esteri.2337	34	1819-4-3	Principe di Castelcicala		Italian	Non-decrypted	9581	32	1860	Decrypted	adjacent folio (f.34 vs f.32, diff 2)	castelcicala1816[read in part]			CATALOGUE.md	id	excluded:bourdeau-id
