term	date_bucket	bucket_total	ark	catalogue_text	resolution
avec chiffres	1500-1599	323	ark:/12148/cc137820/cd0e32644	Clairambault 1108 . L UZES-VENDOME. > Du Vergier (Lettres orig., dont plusieurs avec chiffres).	already known: Clairambault 1108 Du Vergier = M19 (check-solved 24 Sept, open)
avec chiffres	1500-1599	323	ark:/12148/cc885911	Dupuy 452 . Recueil de lettres et de documents, concernant les relations politiques de la FRANCE et de l'ITALIE pendant la première moitié du XVIe siècle.	already known: Dupuy 452 = M4-M7 batch (check-solved 23 Sept, Carpi 1520, on the board/transcribed)
avec chiffres	1700-1799	125	ark:/12148/cc49695w/cd0e548	32 Lettre, en italien, avec chiffre, de « VALERIO CATULE,... Di Milano, alli 11 febrajo 1613 ».	excluded: Français 3462, within the fr.3005-3993 Ligue/Nevers 'Recueil' run wholesale-dropped by the Fourth pass (Tomokiyo/Bourdeau bourdeau-named:fr.3xxx)
avec chiffres	1700-1799	125	ark:/12148/cc49695w/cd0e831	50 Requête adressée « à messieurs du conseil de monseigneur le duc de Ferrare et de Chartres », par « GIRARD GALIGRE, receveur du dommaine de Chartres ». Avec réponses en marge.	not cipher: same volume, item is a plain requete with marginal replies, no cipher word in this row's own text (context word matched elsewhere on the page)
avec chiffres	1700-1799	125	ark:/12148/cc49695w/cd0e965	61 Lettre, en italien, avec chiffre, de « GASPARO FOGLIANI,... De Parigi, li XX d'ottobre 1568 ».	excluded: same fr.3462 volume as above, same wholesale-exclusion basis
avec chiffres	1700-1799	125	ark:/12148/cc49937n	Français 3462 . Recueil d'une lettre originale et de copies de pièces.	excluded: Français 3462 volume-level record itself, wholesale exclusion
avec chiffres	1700-1799	125	ark:/12148/cc50243j/cd0e324	16 « Poinctz et articles [proposés] au duc de Nevers de la part de [Maximilien], electeur de Baviere », par « Jean Salentin Faust de Stromberg, conseiller » dudit électeur, pour « 	excluded: fr.3xxx Nevers-Ligue recueil (Maximilien de Bavière article to duc de Nevers), same wholesale exclusion
avec chiffres	1700-1799	125	ark:/12148/cc50393r	Français 3944 . Recueil de lettres originales et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	excluded: Français 3944 volume-level record, within the fr.3005-3993 wholesale exclusion
avec chiffres	1700-1799	125	ark:/12148/cc57752b/cd0e315	19-20 Chiffres de CESARE CEPPO au duc de Nevers. Le second est accompagné du déchiffrement en italien.	excluded: fr.3xxx Nevers recueil, Cesare Ceppo cipher+decipherment to duc de Nevers, same wholesale exclusion (not individually re-verified this pass -- flag if a future worker narrows the fr.3xxx exclusion)
avec chiffres	1700-1799	125	ark:/12148/cc577374/cd0e120	1-3 Lettres, en italien, avec chiffres, de MARGUERITE PALEOLOGUE, duchesse DE MANTOUE, au duc de Nevers, Louis de Gonzague, son fils. De 1562 à 1564.	excluded: fr.3xxx Nevers recueil, Marguerite Paleologue duchesse de Mantoue to duc de Nevers 1562-64, same wholesale exclusion
avec chiffres	1700-1799	125	ark:/12148/cc56099h/cd0e200	15 « Chiffre avec M. le duc de Vendosme, 1er may 1696 ».	already known: item within BnF Francais 6204 = M12 ('Recueil de chiffres diplomatiques 1688-1713', key-only register; this row is one of six 'Chiffre avec M. X' key entries in the same volume, 'M. d'Usson' entry is named verbatim in M12's own QUEUE.md text)
avec chiffres	1700-1799	125	ark:/12148/cc39195x/cd0e1307	NAF 1619 . LV Lettres de commission pour achever les exercices des comptables ou de commission extraordinaire, 630-416 (fol. 1). — Lettres de rétablissement d'un officier comptable	not cipher: NAF 1619, comptables/administrative accounts -- 'roi'/'commission' false positive
avec chiffres	1700-1799	125	ark:/12148/cc39195x/cd0e1496	NAF 1628 . LXIV Emplois de parties en recettes et dépenses, 7401-530 (fol. 1). — États du Roi, 7402-528 (fol. 124). — Pièces et acquits, 7403-531 (fol. 199). — Bordereaux des compt	not cipher: NAF 1628, comptes (accounts) -- false positive
avec chiffres	1700-1799	125	ark:/12148/cc39195x/cd0e2451	NAF 1643 . LXXIX Comptes des deniers de police, 1520-727 (fol. 1). — Comptes du guet de Paris, 1530-729 (fol. 78). — Comptes du guet de Lyon, 1540-730 (fol. 97). — Comptes des dépe	not cipher: NAF 1643, comptes de police/guet -- false positive
avec chiffres	1700-1799	125	ark:/12148/cc39195x/cd0e3123	NAF 1660 . XCVI Juridiction et jurisprudence de la Chambre des comptes ou collection des ordonnances, édits, déclarations, lettres-patentes, arrêts et règlements, tant sur sa jurid	not cipher: NAF 1660, jurisprudence/ordonnances -- false positive
