cs2_id	section	id_and_url	title	date	shelfmark	his_status	image_route	copy_free_or_order	our_match
CS2-12	c	catalogue item 152 (catalogue.html)	Pandolfo Malatesta, archbishop of Patras, to Gianfrancesco Gonzaga	22 Apr 1428	Archivio di Stato di Mantova, Archivio Gonzaga, DECODE R1854	attempted, open (262 letter-like signs; not simple/homophonic substitution in Latin or Italian against controls; R1853 register keys don't fit)	DECODE only (thumbnail)	copy-order	none
CS2-13	c	catalogue item 161 (catalogue.html)	Bavarian key volume: dot grille (1583) and letter to Duke Wilhelm V	1583	BayHStA Kurbayern Aeusseres Archiv 4591 f.96-114, 274-277, DECODE R9319/R9424	attempted, open (12 of 14 records in this entry already read; R9319 dot grille not imaged by DECODE; R9424 monoalphabetic by IoC but no key found)	DECODE only for R9424; R9319's cover letters not imaged at all	copy-order	none
CS2-14	c	catalogue item 169 (catalogue.html)	Elia da Cortona pseudo-Elian alchemical codex (Beinecke Mellon MS 29)	1 Jan 1525 (assigned)	Beinecke Rare Book & MS Library, Mellon MS 29, DECODE R2877	attempted, open (not a letter -- alchemical codex; cipher only ff.1v-2v, ~234 letters; simple/homophonic/progressive/Vigenere/Alberti all fail)	Beinecke online viewer not checked this pass; DECODE thumbnail only	copy-order (unconfirmed)	none
CS2-15	c	catalogue item 170 (catalogue.html)	Hieronimo Ranzo (Venice) to unknown recipient	1520s	BnF fr. 2988 ff.9-11 (Ancien Fonds), DECODE R1894	attempted, open (same initial-letter+number code as CS2-01/Garbino letter; non-alphabetical numbering; annealer recovers only function words)	BnF fr. 2988 likely on Gallica; ark not confirmed this pass	copy-order (unconfirmed, check Gallica fr.2988)	none
CS2-16	c	catalogue item 183 (catalogue.html)	Dinteville (Langres) to Duke of Nivernois	3 Jul 1592	BnF Francais 3621 no.116 f.130, DECODE R9451	attempted, open (~10 lines cipher + clear postscript; sibling f.128 has interlinear decipherment, ~150 signs, but no one-sign-one-letter key fits; likely code signs)	Gallica ark btv1b52524472n (view 269; sibling f.128 view 265)	copy-free	none
CS2-17	b,c	catalogue item 184 (catalogue.html); vieuville1587 (https://dbourdeau.github.io/cyphersolver/vieuville1587.html)	Nevers to La Vieuville	30 Sep 1587	BnF Francais 3975 ff.101r-102v, DECODE R4289	not solved (Nevers key no.16, from Tomokiyo's fr.3995 f.32v, reads the code numbers; 3 runs / 33 symbols not deciphered; clear text only 30-40% legible on the microfilm)	Gallica ark btv1b90605473 (views 185-188) -- but a black-and-white microfilm scan; Bourdeau's own note: 'a colour scan or the original at the BnF is needed'	copy-free (poor-quality scan)	none
CS2-18	b,c	catalogue item 214,223 (catalogue.html); hellen1752 (https://dbourdeau.github.io/cyphersolver/hellen1752.html)	W.B. von der Hellen to Frederick II of Prussia, 8 ciphertexts	4 Jan 1752-5 Jul 1763	KHA Prins Willem V inv.196 (+ inv. related), DECODE R1045-R1049,R1060,R1061,R1953,R1046	not solved (transcription audited/corrected; no key or plaintext verified; strongest lead is Fagel inv. 5206, digitised decipherments of 1752-53 Hellen letters, scans not retrieved)	DECODE thumbnails only; Fagel inv. 5206 not retrieved	copy-order (target: KHA Fagel inv. 5206)	none
CS2-19	b,c	catalogue item 219 (catalogue.html); fagel1804 (https://dbourdeau.github.io/cyphersolver/fagel1804.html)	Robert Fagel to William V	18 Jun 1804	KHA Prins Willem V inv.337, DECODE R2238	not solved (128 numerical groups, 99 distinct, large syllabic French nomenclator; every reachable key -- Grand Chiffre R1024, KHA and Fagel-family keys, BL 1798-1805 French codes, Uppsala R5160 -- ruled out; too short for ciphertext-only)	DECODE thumbnail only; likely key home is KHA A31-902 (no scans)	copy-order (target: KHA A31-902)	none
CS2-20	c	catalogue item 218 (catalogue.html)	Willem Frederik (Hereditary Prince) to Prince William V	1795-1796	KHA Prins Willem V inv.337, DECODE R2236	attempted, open (4pp Dutch copies to ~390 and to 2835; sibling R2239 read 21 Sept 2026 but R2236 uses a different word list)	DECODE only (thumbnail)	copy-order	none
CS2-21	c	catalogue item 226 (catalogue.html)	Van Spaen tot Voorstonden to Van der Goes	14-15 Jan 1808	NA The Hague 02.01.08 inv.281, DECODE R1941	attempted, open (228+75 groups, plain numerical code 15-1339; no key on DECODE, 1798/1803 Croiset books don't fit)	DECODE only (thumbnail)	copy-order	none
CS2-22	c	catalogue item 233 (catalogue.html)	Willem Frederik Roell to Van Dedem tot de Gelder	9 Feb 1809	NA The Hague legatie Turkije inv.804, DECODE R1469-R1470	attempted, open (2,585 groups/931 distinct, heavily homophonic; not the 1788-93 Dedem code, Spaen 1808 or Fagel 1804 codes; no key)	DECODE only (thumbnail)	copy-order	none
CS2-23	c	catalogue item 239 (catalogue.html)	Nuncios Ormanetto and Clementino to the Secretariat	9 Jan 1576	ASV Segretario di Stato doss.10, DECODE R117/R118	attempted, open (R118: 389 digits; the Antonio Perez note tested as crib, does not fit against shuffled controls; no Spain nunciature key on DECODE)	DECODE only (thumbnail)	copy-order	none
CS2-24	c	catalogue item 259 (catalogue.html)	Philip II to nuncio Ormanetto (copy to Cardinal of Como)	spring 1573	ASV Segretario di Stato doss.7, DECODE R116	attempted, open (1,098 dotted/marked digits, same system as R118/CS2-23; Lasry's 1568 Spain key and Meister's Crivelli/Como keys ruled out)	DECODE only (thumbnail)	copy-order	none
CS2-25	c	catalogue item 262 (catalogue.html)	Farnese chancery cipher Spagna 1A (companion of Vatican Challenge 5)	Dec 1541	AAV Segr. Stato Spagna 1A, DECODE R91/R92	attempted, open (2,956 digits; different key/design from the solved companion IA-2/R92; no key sheet, no decipherment)	DECODE only (thumbnail)	copy-order	none
CS2-26	c	catalogue item 277 (catalogue.html)	Nevers to Villeroy, Saint-Quentin	16 Aug 1595	BnF fr. 3993 no.102 f.148	attempted, open (17 runs, 753 signs; key not in fr.3995; homophonic ruled out against a matched control; Tomokiyo 2019 lists it undeciphered)	Gallica ark btv1b9059229n	copy-free	none
CS2-27	c	catalogue item 280 (catalogue.html)	Mniszech to Jakub Dunin, Crown regent	1714	Archiwum Narodowe Krakow, Archiwum Sanguszkow ASang_teka_290/6, DECODE R7524	attempted, open (232 cipher tokens, separate numerical system; solver failed its own synthetic control, so the negative is inconclusive)	DECODE only (thumbnail); archive's own online viewer not checked this pass	copy-order (unconfirmed)	none
CS2-28	c	catalogue item 284 (catalogue.html)	Desiderio l'Abbe to Nevers, Prague and Breslau	2 Mar & 2 May 1577	BnF fr. 3198 nos.30, 37	attempted, open (834 + 77 digits; substitution/grouping tests failed; March letter's clear prose reports a cipher copy sent 24 Feb)	Gallica ark btv1b9060073v	copy-free	none
CS2-29	c	catalogue item 298 (catalogue.html)	Nuncio Bagno, Paris, to the Secretariat	5 Jan 1652	AAV Segr. Stato Francia 104, DECODE R5622	attempted, open (unseparated decimal figures + clear Italian; Lasry's Francia 346 key structurally excluded, its separator digit 6 recurs as 66/666 in R5622)	DECODE only (thumbnail)	copy-order	none
CS2-30	b,c	catalogue item 320 (catalogue.html); rohan1636 (https://dbourdeau.github.io/cyphersolver/rohan1636.html)	Rohan papers and Louis XIII's Franco-Dutch correspondence	30 Jun 1635-27 May 1636	BnF Francais 5190 nos.171-172,214-215; Francais 3758 nos.100,104	not solved (fr.3758 clear text transcribed in full, cipher passages remain; Savoy/Canisy 1636 letters printed deciphered in Memoires et lettres 1758 III but their ciphertext, and d'Emery's 25 Jan letter, lie beyond the Gallica scan of fr.5190, which stops at manuscript p.80)	fr.3758 copy-free (Gallica ark btv1b9058223v, complete); fr.5190's relevant folios NOT digitised (Gallica ark btv1b9059471x stops at p.80, before ff.171-172/214-215) -- second witness Bibliotheque Ste-Genevieve MS 3338 also not available	copy-order (target: BnF fr.5190 folios 171-172, 214-215, or Ste-Genevieve MS 3338)	none
CS2-31	b	estrada1503 (https://dbourdeau.github.io/cyphersolver/estrada1503.html)	Isabella of Castile to the Duke of Estrada	20 Aug 1503	AGS Patronato Real leg.53 doc.69 (PARES)	known key applied, partial 50% (Tomokiyo's Cifra general/Galende Diaz key decodes every code group -- ~480 groups; about half of 154 letter-symbol runs unread because on the PARES images at 988px a symbol is 8-10px high)	PARES online (988px, low-res) -- Bourdeau: 'a higher-resolution copy from Simancas' needed for the rest	copy-free (low-res; full read needs a better scan)	none; low priority, already ~50% read by Bourdeau with the key already named
CS2-32	b	affry1757 (https://dbourdeau.github.io/cyphersolver/affry1757.html)	Comte d'Affry's intercepted letters to Rouille/Bernis	1757-58	KHA Prins Willem V inv.192, DECODE R1052-R1076,R2067	key from adjacent plaintext, partial 86% (Lyonet's 8 sibling clear decipherments, imaged alongside the cipher, gave a 651-group key; 9 of 11 previously 'not decrypted' records now read 60-95%; checked against print, Bussemaker 1906 and Coquelle 1904)	DECODE thumbnails only (imaged alongside the cipher per record, not a separate library scan)	copy-order (unconfirmed at full size)	none; low priority, already 86% read by Bourdeau with the key already named; remainder is just R1071 (unread) and R1072 (78%)
