key_id	label	kind	by	year	cited_sources	n_targets	reads	note
k-lasry-gl	Lasry's French keys (Cryptiana GL.htm)	scholar's key	George Lasry	1529	George Lasry	11	gramont1529[Gramont, Mâcon and Langeac to Montmorency, 1529–1537, 1529–37; read unchanged] | rome1536[The cardinal de Mâcon in Rome to Montmorency, 1536–1537, 1536–37; read unchanged] | sormano1529[Sormano and Passano from Ferrara to François I, 1529, 1529; read unchanged] | vasto1527[Del Vasto to Charles V, and a letter to “Garbino”, 1527–28, 1527–28; read unchanged] | charlesixducroc[Charles IX to Philibert du Croc, 1565–67 or 1572; partial] | marechaux1520[Cardinal Campeggio’s conclave articles for Francis I, c. 1534, c. 1534; adapted] | bizozola1520[Ambrogio Bizozola to Maximilian Sforza, Bologna, 4 November 1529, 1529; read unchanged] | mercoeur1587[Guise to Mercœur, 16 April 1587, 1587; adapted] | visconti1528[Galeazzo Visconti to Montmorency, Landriano, 30 August 1528, 1528; adapted] | guise1587[Guise to Mercœur, May–June 1587, 1587; adapted] | visconti1529[Galeazzo Visconti to Angelo Bolano and to Francis I, 1528–1529, 1528–1529; adapted]	Tables from 2022-23 on Tomokiyo's GL.htm page.
k-lasry-esp318	Lasry's Esp 318 key	scholar's key	George Lasry	1500	George Lasry	1	esp318[BnF Espagnol 318: five ciphered letters, 1497–1504, 1497–1504; partial]	Applied by machine to no. 95.
k-lasry-bergamo	Lasry's key (Bergamo)	scholar's key	George Lasry	1585	George Lasry	1	bergamo1585[Paris nunciature despatches, Francia 18, 1585–87, 1585–87; partial]	Nunciature key with some codes missing.
k-meister	Meister's nunciature key	scholar's key	A. Meister	1588		1	morosini1588[Cardinal Morosini to Cardinal Montalto, 1588–89, 1588–89; read unchanged]	On the DECODE record, used with a language-model segmenter.
k-bb6956	Biermann–Bosbach Barb. Lat. 6956 key	scholar's key	Biermann & Bosbach	1629		1	pallotto1629[Giovanni Battista Pallotto to Francesco Barberini, 1629, 1629; read unchanged]	Recovered 2018; Lasry: same key as Barb. Lat. 6960.
k-tomokiyo-1522	Tomokiyo's Sánchez/Manuel 1522 key	scholar's key	Satoshi Tomokiyo	1522	Satoshi Tomokiyo	2	sanchez1522[Alonso Sánchez at Venice to Charles V, 1522, 1522; read unchanged] | sanchez1523[Alonso Sánchez at Venice to Charles V, May–August 1523, 1523; read unchanged]	Published Sept 2025.
k-tomokiyo-r10024	Tomokiyo's R10024 key	scholar's key	Satoshi Tomokiyo	1516	Satoshi Tomokiyo	1	ayala1516[Diego López de Ayala to Cardinal Cisneros, 30 August 1516, 1516; read unchanged]	Rebuilt from a 19th-century decipherment.
k-tomokiyo-norris	Tomokiyo's Cecil–Norris table	scholar's key	Satoshi Tomokiyo	1567	Satoshi Tomokiyo	1	norreys1567[Sir Henry Norreys to Cecil, 1567–68, 1567–68; partial]	Partial table from Cabala.
k-tomokiyo-rennes	Tomokiyo's Bishop of Rennes key	scholar's key	Satoshi Tomokiyo	1563	Satoshi Tomokiyo	1	rennes1563[Catherine de Médicis and the bishop of Rennes: four cipher letters, 1562–1564, 1562–64; adapted]	Reconstructed key image CharlesIX_Rennes.
k-tomokiyo-pelissier	Tomokiyo's Pelissier key	scholar's key	Satoshi Tomokiyo	1592	Satoshi Tomokiyo	1	pelissier1592[A. Pelissier to Pierre Jeannin, Burgos, 13 September 1592, 1592; adapted]	Rebuilt from nos. 45/46.
k-tomokiyo-segur	Tomokiyo's f. 321 key	scholar's key	Satoshi Tomokiyo	1586	Satoshi Tomokiyo	1	segur[Henry of Navarre to Ségur, 1585–86, 1585–86; read unchanged]	Henry of Navarre's cipher.
k-tomokiyo-1529	Tomokiyo's 1529 key	scholar's key	Satoshi Tomokiyo	1529	Satoshi Tomokiyo	1	raince[Nicolas Raince to Montmorency, Rome, 1526, 1526; read unchanged]	Francis I cipher table.
k-tomokiyo-clair	Tomokiyo's Henri III table	scholar's key	Satoshi Tomokiyo	1586	Satoshi Tomokiyo	1	clair357[An anonymous letter to a League leader, 28 October 1586, 1586; adapted]	Table henryiii_Anonymous.
k-somogyi2016	Somogyi's 1489 key	scholar's key	Judit W. Somogyi	2016	Judit W. Somogyi	1	buda1489[Maffeo da Treviglio at Buda to Ludovico Sforza, 1489–1490, 1489–90; adapted]	Numeric key, re-anchored to signs here.
k-somogyi2025	Somogyi's 2025 decipherments	scholar's key	W. Somogyi	2025	Judit W. Somogyi	1	caprile1519[Giuliano Caprile and Alfonso Cistarelli at Eger, 1519–21, 1519–21; rebuilt from]	Two printed decipherments used as cribs.
k-lope1523	Lope Hurtado R9846 clear	contemporary key		1523		1	lopehurtado1523[Lope Hurtado de Mendoza at Rome to Charles V and Gattinara, 1523–24, 1523–24; rebuilt from]	Bound clear copy f. 133r used as crib.
k-lyonet	Lyonet's decipherments	contemporary key	Pieter Lyonet	1757		1	affry1757[The comte d’Affry’s intercepted letters from The Hague, 1757–58, 1757–58; rebuilt from]	Imaged as 'clear pages' on DECODE.
k-r936	DECODE R936 (1761 Saxon key)	DECODE key record		1761	DECODE database	1	kauderbach1754[Johann Heinrich Kauderbach’s despatches from The Hague, 1754–56, 1754–56; adapted]	Its vocabulary was the annealing target.
k-kurtz	R3811 glosses	contemporary key		1639		1	kurtz1639[Kurz von Senftenau to Trauttmansdorff, Hamburg 1639, 1639; rebuilt from]	Syllable-table key from interlinear glosses.
k-cobham	Harley 287 glosses	contemporary key		1588		2	cobham1588[Lord Cobham to Walsingham, May–June 1588, 1588; rebuilt from] | harley287[Lord Cobham at Ostend to Walsingham, 20–22 March 1588, 1588; rebuilt from]	Key rebuilt from glossed sibling letters in the volume.
k-r9262	DECODE R9262 (Add MS 4136 keys)	DECODE key record	Throckmorton's secretariat	1560	DECODE database	1	throckmorton[Throckmorton’s ciphered extracts, 1560–63, 1560–63; partial]	key sheet at Add MS 4136 ff.177-190
k-r9261	DECODE R9261 Smith's cipher	DECODE key record	Thomas Smith	1563	DECODE database	1	smith1562[Sir Thomas Smith to Cecil and the Queen, 1562–1566, 1562–66; read unchanged]	Add MS 4136 f.179
k-woodard-r413	Woodard's R413 key	scholar's key	Woodard (DECODE)	2021	DECODE database	1	boswell1628[Sir Ralph Boswell to William Boswell, December 1627, 1627–28; read unchanged]	posted on DECODE R413
k-waldispuhl-kopal	Waldispühl & Kopal's Heusner key	scholar's key	Waldispühl & Kopal	2024		1	heusner1637[Sigismund Heusner von Wandersleben to Axel Oxenstierna, 1637, 1637; read unchanged]	HistoCrypt 2024
k-pitt-forster	Pitt's Forster key	scholar's key	Robert Pitt (Lasry, Biermann earlier)	2026		1	forster[Sir Richard Forster, cipher passage of 13 May 1644, 1644; read unchanged]	GitHub robertpitt/forster-cipher
k-bazeries-1691	Bazeries' Grand Chiffre 1691	scholar's key	Étienne Bazeries	1893		1	catinat1691[Louis XIV and Louvois to Catinat, July–September 1691, 1691; read unchanged]	Le Masque de fer
k-rommel-hesse	Rommel's printed Hesse key	contemporary key	Rommel (from van der Kemp)	1846		1	hesse1603[Henri IV to Landgrave Maurice of Hesse-Kassel, 1602–1609, 1602–09; adapted]	printed 1846; corrected here
k-gabbrielli	Gabbrielli's key 1	scholar's key	Gabbrielli	1863		1	florence1429[Galeotto da Ricasoli to the Dieci di Balía, Urbino 1425, 1425; partial]	tabulated key, on film
k-lasry-sormano	Lasry's Sormano key	scholar's key	George Lasry	2023	George Lasry	1	sormano[Sormano and de Vaulx to François I, Ferrara 1529, 1529; adapted]	Cryptiana; three corrections here
k-breves-fr3462	BnF fr. 3462 f. 103 key	contemporary key		1603		1	breves1603[Henri IV to Savary de Brèves at Constantinople, 1603, 1603; partial]	Brèves's original key
k-manchester1699	Manchester's cypher copy (Yale)	contemporary key	Deciphering office copy	1699		1	yard1699[Robert Yard to the Earl of Manchester, 12 and 16 October 1699, 1699; read unchanged]	Copy of the E. of Manchester's Cypher, Yale 2046948
k-r596	DECODE R596	DECODE key record		1758	DECODE database	1	eichel1758[Mr Eichel’s cipher sheet, 1758, 1758; explained]	SP 106 key; R594 ruled out
k-tomokiyo-mary	Tomokiyo's Mary–Norfolk key	scholar's key	Satoshi Tomokiyo		Satoshi Tomokiyo	1	norfolk1570[Mary Queen of Scots to Norfolk, “the 20th”, 1570, 1570; partial]	rebuilt from Cotton Caligula C II ff. 66/69/75
k-tomokiyo-maisse	Tomokiyo's Maisse keys	scholar's key	Satoshi Tomokiyo		Satoshi Tomokiyo	1	maisse1592[Henri IV to André Hurault de Maisse at Venice, 1592–93, 1592–93; adapted]	rebuilt from sibling letters in fr. 16093
k-champagne-f36	Key bound on f. 36r	contemporary key		1590		1	champagne1590[Champagne news letters to the duc de Nevers, 1590–91, 1590–93; read unchanged]	the letter's own small-number key
k-tomokiyo-nevers46	Tomokiyo's Nevers cipher no. 46	scholar's key	Satoshi Tomokiyo		Satoshi Tomokiyo	1	nevers1593[Nevers to Pisany and Revol, 1593, 1593; read unchanged]	Nevers key book
k-tomokiyo-nevers60	Tomokiyo's Nevers cipher no. 60 (Court symbols)	scholar's key	Satoshi Tomokiyo	1593	Satoshi Tomokiyo	1	nevers1593[Nevers to Pisany and Revol, 1593, 1593; read unchanged]	fr. 3995 ff. 108-110
k-tomokiyo-cg13	Tomokiyo's Cg.13 fragment	scholar's key	Satoshi Tomokiyo	1587	Satoshi Tomokiyo	1	mendoza1589[Philip II to Bernardino de Mendoza, 7 September 1589, 1589; partial]	partial Spanish general cipher table
k-r7537	DECODE R7537 (English key for Bordeaux)	DECODE key record	Deciphering Branch	1653	DECODE database	1	bordeaux1653[Bordeaux to Brienne, London, 30 May 1653, 1653; read unchanged]	BL Add MS 32263 f. 1
k-tomokiyo-ibarra92	Tomokiyo's Spanish cipher 1592-93	scholar's key	Satoshi Tomokiyo	1592	Satoshi Tomokiyo	1	sessa1593[Spanish despatches of 1593: Miranda, Sessa, Ibarra, 1593; adapted]	key92.tsv; office copy at BnF fr. 3995 f. 97
k-r1035	DECODE R1035 codebook 1803	DECODE key record	Legatie Rusland	1803	DECODE database	1	r1942[Dirk van Hogendorp to Maarten van der Goes, 5 July 1803, 1803; partial]	NA 1.02.13 inv. 228
k-lasry-adfgvx	Lasry et al. ADFGVX keys	scholar's key	Lasry, Niebel, Kopal, Wacker		George Lasry	1	adfgvx[Twenty-two garbled ADFGVX messages of November 1918, 1918; read unchanged]	fourteen published three-day keys
k-tomokiyo-nevers35	Tomokiyo's Nevers cipher no. 35 (BnF fr. 3995 f. 64)	contemporary key	Nevers's chancery; listed by Satoshi Tomokiyo	1590		1	gonzaga1590[Vincenzo Gonzaga, Duke of Mantua, to Nevers, 1590, 1590; read unchanged]	Per Cavare 1590, used by the Duke of Mantua
k-tomokiyo-savoy1593	Tomokiyo's Savoy key (1593)	published table	S. Tomokiyo	2017		1	lebel1593[Lebel to Charles Emmanuel I of Savoy, 1593, 1593; adapted]	Rebuilt from fr. 3983 no. 80 and fr. 3984 f. 182; cryptiana savoy.htm.
k-luo-c38	Luo's Cifrario 38 (Charles V–Caracciolo)	scholar's key	Wanruo Luo	2021	Wanruo Luo	1	caracciolo1537[Cardinal Caracciolo to Charles V, 14 November 1537, 1537; read unchanged]	Reconstructed from AGS Estado leg. 38 doc. 190 in Luo's 2021 thesis.
k-r609	R609 R&aacute;k&oacute;czi syllabic key (G15 C 43/56)	DECODE key record	R&aacute;k&oacute;czi chancery	1705		1	bay1706[András Bay to Rákóczi, Jászvásár, 8 March 1706, 1706; read unchanged]	Hungarian two-digit syllabary with nomenclator 149-293
k-windebank	Windebank family cipher (Deciphering Branch reconstruction, Add MS 32256 f. 4)	archive key	Deciphering Branch	1641		1	harley7001[Robert Reade to his cousin, Paris, 19 April 1641, 1641; read unchanged]	DECODE R9115, headed Windebank to his Son, Paris, March 1642; letters 1-100 with odd nulls, symbol letters, alphabetical code to ~735.
k-r1211	Bornemisza sign key (DECODE R1211)	DECODE key record		1556		1	r1212[Pál Bornemisza to Ferdinand I on the Kendi treason, Transylvania, c. 1556, c. 1556; read unchanged]	Homophonic graphic-sign alphabet with codes 34 Transsylvania, 27 Petrovics; HHStA Chiffrenschlüssel Kt. 13 Fasc. 20 f. 37.
k-r354	Wotton's French embassy key, 1554 (DECODE R354)	DECODE key record		1554		1	harley1582r8499[Nicholas Wotton to Queen Mary, Soissons, 13 June 1554, 1554; adapted]	TNA SP 106/2 f. 162, 'France 1554': homophonic sign alphabet, nulls, ~140-entry nomenclator (Carew, the rebels, the Constable, Lady Elizabeth).
k-r672	Teleki collection key no. 12, reversed alphabet (DECODE R672)	DECODE key record		1660		1	wesselenyi1664[Ferenc Wesselényi to Leopold I, c. 1663–64, c. 1663–64; partial]	MNL OL P 1238 Teleki Mihály collection, cipher keys 12 (1660–90): alphabet 24 = a … 1 = z, syllables Ba–Zu at 25–119, names from 120.
k-kaa4591-sysA	KAA 4591 System A′ key, from the contemporary gloss on R9410/R9427	key rebuilt from a glossed sibling	Daniel Bourdeau	1535		1	augurelio1535[Jörg Weinmeister to the Dukes of Bavaria, spring 1533, 1533; adapted]	Homophonic signs and numerals of the Bavarian ducal chancery's 1534–35 Hungarian letters; the key is written between the lines of R9427 and R9410 by a contemporary hand and was rebuilt from there.
k-tomokiyo-fr15564f33	Tomokiyo's key for BnF fr. 15564 f. 33 (Catherine de Médicis → Villeroy, 1581)	scholar's key	Satoshi Tomokiyo	1581		1	r4157[Catherine de Médicis to Villeroy, 7 February 1581, 1581; adapted]	Reconstructed from the contemporary decipherment on the page (cryptiana henryiii.htm, image henryiii1.png); last line left unread.
k-tomokiyo-nevers11	Nevers cipher no. 11 (BnF fr. 3995 f. 23)	contemporary key	Nevers's chancery; listed by Satoshi Tomokiyo	1586		1	nevers1587[A correspondent at Randan to the Duke of Nevers, 1587, 1587; read unchanged]	alphabet, word capitals, ~100 names with a virgule; Auvergne and Lyonnais names
k-kaa4591-sysL	King John–Bavaria sign cipher, "System L" (KAA 4591, rebuilt here)	key rebuilt from a glossed sibling	this project	1533		2	kaa4591b[Łaski, King John and a Bavarian at Wardein to the Dukes of Bavaria, 1531–1537, 1531–1537; rebuilt from] | sperantio1534[King John of Hungary and an agent at Buda to the dukes of Bavaria, 1534, 1534; read unchanged]	Homophonic substitution on the graphic sign set of KAA 4591, with pair signs (2o = et/und, r+ = sch). Rebuilt for R9415 (1533) and again, independently, from the interlinear decipherment of R9411 (1534): the values agree.
k-tomokiyo-nevers16	Nevers cipher no. 16 (BnF fr. 3995 f. 32v)	contemporary key	Nevers's chancery; listed by Satoshi Tomokiyo	1587		1	vieuville1587[Nevers to La Vieuville, 30 September 1587, 1587; partial]	homophonic alphabet of digits and letter-forms, plain code numbers 10-100, barred numbers 1-81 for provinces and persons; transcribed in vieuville1587/key16.txt
k-silentiumdei	Silentium Dei secret script (p. 83)	contemporary key		1798		1	mellon136[Das zweyte Silentium Dei, an alchemical book of 1798, 1798; read unchanged]	Pigpen-type Rosicrucian alphabet with ligature table, drawn on p. 83 of Mellon MS 136; reads every passage unchanged.
k-cifra-general	Cifra general de los Reyes Católicos (RAH 9/15)	printed	Galende Díaz	1994		2	esp318[BnF Espagnol 318: five ciphered letters, 1497–1504, 1497–1504; partial] | estrada1503[Isabella of Castile to the Duke of Estrada, 20 August 1503, 1503; read unchanged]	Printed by Galende Díaz 1994, app. doc. 1; transcribed in esp318/keys/cifra_general.txt.
k-tomokiyo-selve	Tomokiyo's Selve key	scholar's key	Satoshi Tomokiyo	1536		1	selve1535[Georges de Selve at Venice to Francis I, 1535–1536, 1535–36; adapted]	Reconstructed from BnF fr. 3045 ff. 42-49 (cryptiana francis.htm); table only.
k-nevers-piles	Nevers-Piles alphabet (Tomokiyo)	partial table	Satoshi Tomokiyo, from BnF fr. 3612	1586		2	r2276[A letter from Reims on the chapter’s postulation, 19 June 1589, 1589; adapted] | orbais[A letter from Rome to the abbé d’Orbais, 23 August 1589, 1589; adapted]	Symbol alphabet with homophones, nulls and a few codes, used by Jean de Piles and the Guise-Nevers circle; extended here from BnF fr. 4715 f. 2 and from R2276 itself.
