line	position	value	grade	reason
f110-35	40	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-36	4	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-36	14	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-36	17	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-36	20	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-36	24	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-36	28	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-36	39	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-36	40	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-37	2	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-1	9	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-1	13	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-1	18	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-1	20	y	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-1	21	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-2	8	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-2	18	o	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-2	22	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-2	25	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-3	2	m	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-3	5	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-3	14	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-3	15	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-3	16	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-3	27	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-4	1	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-4	3	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-4	14	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-4	17	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-4	22	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-4	25	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-4	30	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-5	1	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-5	8	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-5	15	y	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-5	18	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-5	21	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-6	6	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-6	15	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-6	18	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-6	30	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-6	32	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-7	1	o	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-7	2	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-7	7	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-7	11	y	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-7	12	m	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-7	15	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-7	20	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-7	23	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-8	4	m	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-8	5	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-8	23	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-8	28	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-8	31	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-9	1	m	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-9	2	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-9	7	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-9	13	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-9	14	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-9	23	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-9	26	o	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-9	28	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-9	32	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-10	8	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-10	9	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-10	12	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-10	21	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-10	24	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-10	26	m	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-10	29	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-11	2	o	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-11	11	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-11	22	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-11	31	m	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-12	1	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-12	2	m	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-12	14	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-12	15	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-12	27	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-13	6	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-13	9	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-13	10	o	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-13	21	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-13	23	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-13	24	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-13	32	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-14	19	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-14	23	o	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-15	3	m	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-15	5	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-15	22	m	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-15	29	m	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-15	30	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-16	4	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-16	5	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-16	11	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-16	16	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-16	20	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-16	26	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-16	28	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-17	14	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-17	17	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-17	19	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-18	6	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-18	8	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-18	13	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-18	16	y	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-18	28	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-18	29	m	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-19	5	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-19	12	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-19	22	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-19	23	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-19	24	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-19	30	o	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-19	31	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-19	34	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-20	3	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-20	5	o	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-20	12	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-20	18	m	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-20	25	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-20	26	y	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-20	28	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-21	8	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-21	10	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-21	28	y	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-21	31	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-22	8	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-22	14	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-22	28	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-23	15	y	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-23	16	y	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-23	21	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f123r-24	1	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
