code	value	grade	source	note
R	p	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
M	f	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
4+	m	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
T=	m|mm	M	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
b	e	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
8	g	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
3	e	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
12	il	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	code group (word/phrase value)
13	qui	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	code group (word/phrase value)
14	que	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	code group (word/phrase value)
47	tous	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	code group (word/phrase value)
49	+	U	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	unresolved in Bourdeau's key as of this commit
76	*	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
82	*	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
84	*	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
98	*	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
17	car	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	code group (word/phrase value)
25	nous	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	code group (word/phrase value)
26	uous	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	code group (word/phrase value)
34	ainsi	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	code group (word/phrase value)
35	parceque	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	code group (word/phrase value)
40	lui	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	code group (word/phrase value)
43	point	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	code group (word/phrase value)
48	aussi	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	code group (word/phrase value)
51	pas	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	code group (word/phrase value)
52	plustost	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	code group (word/phrase value)
24	nostre	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	code group (word/phrase value)
S	u|c	M	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
dd	e|g	M	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
P	p	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
lam	b	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
b-	e|u	M	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
fh	c|u|s	M	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
S6	e|u	M	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
33	+	U	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	unresolved in Bourdeau's key as of this commit
36	+	U	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	unresolved in Bourdeau's key as of this commit
46	+	U	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	unresolved in Bourdeau's key as of this commit
62	+	U	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	unresolved in Bourdeau's key as of this commit
54	+	U	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	unresolved in Bourdeau's key as of this commit
88	+	U	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	unresolved in Bourdeau's key as of this commit
star	+	U	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	unresolved in Bourdeau's key as of this commit
hash	+	U	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	unresolved in Bourdeau's key as of this commit
104	+	U	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	unresolved in Bourdeau's key as of this commit
cent	a	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
44	+	U	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	unresolved in Bourdeau's key as of this commit
15	+	U	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	unresolved in Bourdeau's key as of this commit
27	+	U	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	unresolved in Bourdeau's key as of this commit
68	+	U	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	unresolved in Bourdeau's key as of this commit
BOX	+	U	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	unresolved in Bourdeau's key as of this commit
79	+	U	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	unresolved in Bourdeau's key as of this commit
19	+	U	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	unresolved in Bourdeau's key as of this commit
53	+	U	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	unresolved in Bourdeau's key as of this commit
23	+	U	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	unresolved in Bourdeau's key as of this commit
Ze	t	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
e	r	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
X	a	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
