line	pos	script_code	script_marks	share
7	1	eps		1.00
7	2	+		1.00
7	3	_		0.61
7	4	_		0.80
7	5	_		1.00
7	6	_		1.00
7	7	_		0.82
7	8	_		0.80
7	9	_		1.00
7	10	_		0.80
7	11	_		0.81
7	12	_		1.00
7	13	rz		1.00
7	14	tee		0.81
7	15	Z	dot	1.00
7	16	Z		1.00
7	17	w		1.00
7	18	Z		0.62
7	19	lam		1.00
7	20	g	5	1.00
7	21	Z		1.00
7	22	H	5	1.00
7	23	_		0.79
7	24	_		0.80
7	25	_		1.00
7	26	_		1.00
7	27	_		1.00
8	1	_		1.00
8	2	_		1.00
8	3	v		0.54
8	4	_		0.45
8	5	_		1.00
8	6	S		1.00
8	7	lam		1.00
8	8	_		1.00
8	9	_		1.00
8	10	_		1.00
8	11	_		1.00
8	12	_	dot	1.00
8	13	_		0.81
8	14	_		1.00
8	15	#		0.39
8	16	_		1.00
8	17	_		1.00
8	18	_		0.61
8	19	tee		0.60
8	20	_		0.82
8	21	S		1.00
8	22	tee		1.00
8	23	_		1.00
8	24	a		1.00
8	25	_		1.00
8	26	_		0.66
8	27	lam		0.60
9	1	dl		1.00
9	2	Lx		1.00
9	3	[	dot	0.61
9	4	S7		1.00
9	5	_		1.00
9	6	+	dot	0.40
9	7	]		0.80
9	8	w	dot|#	0.61
9	9	y		1.00
9	10	nt		0.80
9	11	bh		1.00
9	12	w		1.00
9	13	e		1.00
9	14	f		1.00
9	15	w		1.00
9	16	y		1.00
9	17	_		1.00
9	18	tee		1.00
9	19	K		1.00
9	20	phi		1.00
9	21	_		1.00
9	22	rz		1.00
9	23	tee		0.58
10	1	_		0.60
10	2	y		0.42
10	3	_		1.00
10	4	g		1.00
10	5	S7	1	1.00
10	6	#	dot	1.00
10	7	_	5	1.00
10	8	S7		1.00
10	9	_		1.00
10	10	tee		1.00
10	11	Lx		0.59
10	12	e	#	1.00
10	13	g	~	1.00
10	14	y		1.00
10	15	Z	ot	1.00
10	16	S7		1.00
10	17	lam		1.00
10	18	H	o|1	1.00
10	19	eps	#	1.00
10	20	S7		1.00
10	21	eps		1.00
10	22	_		0.41
10	23	nt		1.00
10	24	e		1.00
10	25	_	5	0.40
11	1	Z	dot	1.00
11	2	y		1.00
11	3	nt		1.00
11	4	bh		1.00
11	5	Z		0.80
11	6	S7		0.61
11	7	p		1.00
11	8	S7		0.81
11	9	phi		1.00
11	10	f		0.41
11	11	w	dot	0.42
11	12	_		1.00
11	13	eps		0.78
11	14	+		1.00
11	15	_		1.00
11	16	_		1.00
11	17	S7		0.60
11	18	_		1.00
11	19	S4		1.00
11	20	y		1.00
11	21	S		1.00
11	22	]	o	1.00
11	23	eps	1	1.00
11	24	m	7	1.00
11	25	_		0.41
11	26	_		1.00
12	1	L		1.00
12	2	_		1.00
12	3	[		0.80
12	4	S7		1.00
12	5	#		1.00
12	6	w	1	1.00
12	7	psi		0.42
12	8	]	ot	1.00
12	9	#	ot	1.00
12	10	e		1.00
12	11	tee		1.00
12	12	K		1.00
12	13	g		1.00
12	14	nt		1.00
12	15	y		1.00
12	16	S4		1.00
12	17	Lx		1.00
12	18	S		1.00
12	19	_		1.00
12	20	_		1.00
12	21	_		1.00
12	22	ch		1.00
12	23	_		0.82
12	24	N		1.00
12	25	eps		1.00
12	26	#		1.00
12	27	p		1.00
12	28	_		1.00
13	1	_		1.00
13	2	_	dot	1.00
13	3	eps		1.00
13	4	tee		0.81
13	5	_		1.00
13	6	Lx		0.41
13	7	_	dot	1.00
13	8	_		1.00
13	9	+		0.82
13	10	Lx		1.00
13	11	y		1.00
13	12	S		1.00
13	13	]	o	1.00
13	14	S7	dot|dot	1.00
13	15	U		1.00
13	16	w		1.00
13	17	o.		1.00
13	18	S7		0.41
13	19	_	7	0.41
13	20	m	~	1.00
13	21	phi		0.65
13	22	y		0.82
13	23	S		1.00
13	24	]	o	0.80
13	25	tee		1.00
13	26	f		1.00
13	27	_		0.42
13	28	bh		1.00
14	1	_		0.41
14	2	N		0.81
14	3	_		0.80
14	4	a		1.00
14	5	_		0.79
14	6	_		1.00
14	7	_		1.00
14	8	y		0.52
14	9	_		0.35
14	10	_		1.00
14	11	S4		1.00
14	12	dl		1.00
14	13	Lx		1.00
14	14	H	o|1	1.00
14	15	]	o	1.00
14	16	g	5	1.00
14	17	]		1.00
14	18	g	ot	1.00
14	19	psi		0.81
14	20	e	#	1.00
14	21	L	~	0.51
14	22	g		1.00
14	23	Z		0.64
14	24	phi		1.00
14	25	_		0.80
15	1	bh		1.00
15	2	_		0.61
15	3	g		1.00
15	4	Z	ot	1.00
15	5	g		1.00
15	6	tee		1.00
15	7	Z		0.82
15	8	H	1	1.00
15	9	S4	o	1.00
15	10	dl		1.00
15	11	_		0.74
15	12	f		0.40
15	13	_		1.00
15	14	_		1.00
15	15	_		1.00
15	16	_		0.61
15	17	eps		1.00
15	18	+		0.82
15	19	_		1.00
15	20	w		0.57
15	21	eps		0.82
15	22	+		0.77
15	23	p		0.80
15	24	_		1.00
16	1	lam		0.40
16	2	g		0.57
16	3	S		1.00
16	4	_		1.00
16	5	S7		0.59
16	6	_		0.40
16	7	Lx		0.41
16	8	psi		0.81
16	9	_		0.80
16	10	lam		0.80
16	11	_		1.00
16	12	_		1.00
16	13	_	1	1.00
16	14	_	dot	0.80
16	15	_	dot	1.00
16	16	_		1.00
16	17	N		1.00
16	18	_		1.00
16	19	_		1.00
16	20	_		1.00
16	21	_	1	1.00
16	22	psi		0.52
16	23	_		0.84
16	24	_		0.63
17	1	m		0.59
17	2	_		1.00
17	3	_		1.00
17	4	_		1.00
17	5	_		1.00
17	6	_		0.60
17	7	ch		1.00
17	8	e		1.00
17	9	_		1.00
17	10	_		1.00
17	11	_		1.00
17	12	p		1.00
17	13	_		0.40
17	14	_		1.00
17	15	eps		1.00
17	16	+		1.00
17	17	_		1.00
17	18	_		1.00
17	19	_	dot	1.00
18	1	S4		1.00
18	2	dl		1.00
18	3	+		0.64
18	4	_		1.00
18	5	y		0.82
18	6	lam	1	1.00
18	7	H	1|o	1.00
18	8	Z	ot	0.82
18	9	_		0.81
18	10	tee		1.00
18	11	_		1.00
18	12	bh		1.00
18	13	Z		0.65
18	14	g	dot	1.00
18	15	lam		1.00
18	16	y		0.83
18	17	L		1.00
18	18	g		1.00
18	19	y	~	1.00
18	20	tee		1.00
18	21	K		1.00
18	22	o.		1.00
18	23	S7		1.00
18	24	bh		1.00
18	25	_		0.66
18	26	S7		1.00
18	27	o.		1.00
18	28	g	5	0.81
18	29	phi		1.00
18	30	Z		1.00
18	31	_		1.00
19	1	o.		1.00
19	2	bh		1.00
19	3	S7		1.00
19	4	#		1.00
19	5	L		1.00
19	6	g	~	1.00
19	7	m	1	1.00
19	8	g		1.00
19	9	S7	~	1.00
19	10	lam		1.00
19	11	e	dot|+	1.00
19	12	eps	5	1.00
19	13	S7		1.00
19	14	_		1.00
19	15	phi		0.83
19	16	Z		1.00
19	17	tee		0.59
19	18	e	+	1.00
19	19	e	#	1.00
19	20	S7		1.00
19	21	#	dot|ot	1.00
19	22	bh		1.00
19	23	w		1.00
19	24	Z	dot	1.00
19	25	e	#	1.00
19	26	nt		1.00
19	27	psi		0.62
19	28	_	dot	0.80
