design	N_tokens	seed	symbols	symbol_types	token_acc	letter_acc	best_score	true_score	info	time
cm	2820	3	2820	196	13.1%	13.1%	-7779.6	-6622.8	{"K": 196, "key_K": 223, "noise": 0.2, "tol": 0.2, "free": 151, "key_only_tok": "13.3%", "leaves": "_all", "restarts": 24}	165s
cm	2820	2	2820	185	40.3%	40.3%	-7726.6	-6622.8	{"K": 185, "key_K": 223, "noise": 0.2, "tol": 0.2, "free": 154, "key_only_tok": "41.6%", "leaves": "_all", "restarts": 24}	165s
cm	2820	3	2820	194	58.3%	58.3%	-7177.2	-6622.5	{"K": 194, "key_K": 223, "noise": 0.1, "robust": 0.1, "leaves": "_all", "restarts": 24}	466s
cm	2820	1	2820	195	41.5%	41.5%	-7347.4	-6622.5	{"K": 195, "key_K": 223, "noise": 0.1, "robust": 0.1, "leaves": "_all", "restarts": 24}	478s
cm	2820	3	2820	196	37.8%	37.8%	-7541.8	-6709.8	{"K": 196, "key_K": 223, "noise": 0.2, "robust": 0.2, "leaves": "_all", "restarts": 24}	479s
cm	2820	1	2820	190	25.3%	25.3%	-7586.6	-6709.8	{"K": 190, "key_K": 223, "noise": 0.2, "robust": 0.2, "leaves": "_all", "restarts": 24}	486s
cm	2820	2	2820	188	42.8%	42.8%	-7299.9	-6622.5	{"K": 188, "key_K": 223, "noise": 0.1, "robust": 0.1, "leaves": "_all", "restarts": 24}	486s
cm	2820	2	2820	185	29.9%	29.9%	-7646.6	-6709.8	{"K": 185, "key_K": 223, "noise": 0.2, "robust": 0.2, "leaves": "_all", "restarts": 24}	488s
cmc	2820	1	2820	111	48.8%	48.8%	-7653.8	-6622.8	{"K": 111, "key_K": 223, "noise": 0.1, "leaves": "_all", "restarts": 24}	867s
cmc	2820	3	2820	109	2.7%	2.7%	-8049.2	-6622.8	{"K": 109, "key_K": 223, "noise": 0.2, "leaves": "_all", "restarts": 24}	886s
cmc	2820	1	2820	107	30.8%	30.8%	-7947.0	-6622.8	{"K": 107, "key_K": 223, "noise": 0.2, "leaves": "_all", "restarts": 24}	893s
cmc	2820	2	2820	106	47.1%	47.1%	-7736.9	-6622.8	{"K": 106, "key_K": 223, "noise": 0.1, "leaves": "_all", "restarts": 24}	899s
cmc	2820	3	2820	106	51.5%	51.5%	-7653.9	-6622.8	{"K": 106, "key_K": 223, "noise": 0.1, "leaves": "_all", "restarts": 24}	900s
cmc	2820	2	2820	103	18.5%	18.5%	-8068.1	-6622.8	{"K": 103, "key_K": 223, "noise": 0.2, "leaves": "_all", "restarts": 24}	902s
