line	pos	script_code	script_marks	share
7	8	_		0.80
7	9	dl		1.00
7	10	L		0.41
7	11	nt		1.00
7	12	S7	+	1.00
7	13	bh		1.00
7	14	nt		1.00
7	15	y		1.00
7	16	g		1.00
7	17	bh		1.00
7	18	S7		1.00
7	19	_		0.82
7	20	g	1	1.00
7	21	w		1.00
7	22	g		0.41
7	23	_		1.00
7	24	S7		1.00
7	25	]	o	1.00
7	26	]	?	0.77
8	1	Z		1.00
8	2	_		1.00
8	3	bh		1.00
8	4	sq	o	0.63
8	5	w	#	1.00
8	6	rz		1.00
8	7	lam		1.00
8	8	g	1|~	1.00
8	9	]		1.00
8	10	y	ot	1.00
8	11	lam		1.00
8	12	lam		1.00
8	13	g		1.00
8	14	bh		1.00
8	15	phi		0.82
8	16	e		1.00
8	17	g		1.00
8	18	bh		1.00
8	19	[		1.00
8	20	_		1.00
8	21	_		0.63
8	22	m	~	1.00
8	23	w		1.00
8	24	m	~	1.00
8	25	lam		1.00
8	26	bh	7	1.00
8	27	phi		1.00
8	28	y		1.00
8	29	g		1.00
8	30	Z		1.00
8	31	g		1.00
8	32	Z		1.00
9	1	m	~	1.00
9	2	w		1.00
9	3	y		1.00
9	4	a	7	1.00
9	5	_	5	1.00
9	6	_		1.00
9	7	L		0.81
9	8	w		1.00
9	9	tee		1.00
9	10	_		1.00
9	11	nt		1.00
9	12	bh		1.00
9	13	]	ot	1.00
9	14	nt		1.00
9	15	_		1.00
9	16	H		0.60
9	17	w		1.00
9	18	o.		1.00
9	19	S7		1.00
9	20	eps	7	1.00
9	21	m	~	1.00
9	22	rz		1.00
9	23	tee		0.81
9	24	a	1	1.00
9	25	_		1.00
9	26	bh		1.00
9	27	g		1.00
9	28	Z		1.00
9	29	phi		1.00
9	30	[		0.41
10	1	y		0.40
10	2	w		1.00
10	3	tee		1.00
10	4	o.		1.00
10	5	bh		1.00
10	6	g	~	1.00
10	7	H		1.00
10	8	L		1.00
10	9	Lx		0.42
10	10	o.		0.82
10	11	a	1	1.00
10	12	o.		1.00
10	13	e		1.00
10	14	nt		1.00
10	15	S7		1.00
10	16	lam	dot	0.38
10	17	_	dot	1.00
10	18	eps	5	1.00
10	19	tee		1.00
10	20	sq	?	0.60
10	21	]	ot	1.00
10	22	y		0.34
10	23	dl		1.00
10	24	p		1.00
10	25	H		0.40
10	26	_		0.63
10	27	_	1|dot	1.00
11	1	_		1.00
11	2	_	dot	1.00
11	3	S		1.00
11	4	_		1.00
11	5	_		0.44
11	6	_		0.81
11	7	_		1.00
11	8	_		1.00
11	9	phi		1.00
11	10	S7	#	1.00
11	11	_		1.00
11	12	f		1.00
11	13	w		1.00
11	14	_		1.00
11	15	m		1.00
11	16	_		0.60
11	17	_		0.60
11	18	rz		1.00
11	19	H	1	1.00
11	20	e	dot|+	1.00
11	21	L		1.00
11	22	w		1.00
11	23	tee		1.00
11	24	_		1.00
11	25	nt		1.00
12	1	Z	dot	1.00
12	2	phi		0.82
12	3	_		1.00
12	4	dl		1.00
12	5	eps		1.00
12	6	_		0.81
12	7	_		1.00
12	8	_	dot	1.00
12	9	_		0.60
12	10	_		0.59
12	11	a		1.00
12	12	p		0.60
12	13	#	dot	0.61
12	14	_		1.00
12	15	_		1.00
12	16	_	?	0.79
12	17	_		1.00
12	18	_	dot	1.00
12	19	_		1.00
12	20	g	dot	0.60
12	21	_		1.00
12	22	tee		1.00
12	23	_		1.00
12	24	tee	dot	0.40
12	25	_		1.00
12	26	_		1.00
12	27	Lx		0.41
12	28	N		1.00
12	29	eps		1.00
12	30	+		0.82
12	31	p		1.00
12	32	m		0.81
12	33	_		1.00
12	34	_		1.00
12	35	bh		1.00
13	1	e	#	0.58
13	2	eps		0.61
13	3	lam		1.00
13	4	w		1.00
13	5	eps	5	1.00
13	6	H		1.00
13	7	eps		1.00
13	8	w		1.00
13	9	lam		1.00
13	10	L	7	0.82
13	11	eps	5	1.00
13	12	tee		0.60
13	13	g		0.40
13	14	H	1|o	1.00
13	15	tee		1.00
13	16	bh		1.00
13	17	K		1.00
13	18	v	#|1	1.00
13	19	m	1	1.00
13	20	w		1.00
13	21	]	o	1.00
13	22	Z		1.00
13	23	m	~	1.00
13	24	_		1.00
13	25	g		1.00
13	26	o.		1.00
13	27	S7		1.00
13	28	y		1.00
13	29	tee		1.00
13	30	f		1.00
13	31	g		0.61
13	32	S		1.00
13	33	y		0.59
14	1	nt		1.00
14	2	H	1|o	1.00
14	3	o.		1.00
14	4	S7		1.00
14	5	U	ot	0.62
14	6	psi		1.00
14	7	lam		1.00
14	8	S4	5	1.00
14	9	phi		1.00
14	10	S4		1.00
14	11	S		0.83
14	12	_		1.00
14	13	y		0.36
14	14	N		1.00
14	15	_		1.00
14	16	_		1.00
14	17	_		1.00
14	18	_		1.00
14	19	_		1.00
14	20	N		1.00
14	21	w		0.82
14	22	nt		0.82
14	23	rz		1.00
14	24	g	~	1.00
14	25	nt		1.00
14	26	S7		1.00
14	27	#		0.81
14	28	lam	dot	1.00
14	29	S		0.84
14	30	_		1.00
14	31	S7		1.00
15	1	_		1.00
15	2	_		1.00
15	3	_		1.00
15	4	a		1.00
15	5	_		1.00
15	6	_		1.00
15	7	_		0.59
15	8	S7		0.81
15	9	Lx		0.40
15	10	_		1.00
15	11	_		1.00
15	12	a	5	1.00
15	13	tee		1.00
15	14	lam		1.00
15	15	m	5|~	1.00
15	16	g	7	1.00
15	17	eps	5	1.00
15	18	]		1.00
15	19	g	ot	1.00
15	20	phi		1.00
15	21	S4		1.00
15	22	dl		1.00
15	23	_		1.00
15	24	_		1.00
15	25	_		1.00
15	26	p		0.58
15	27	_		1.00
15	28	_		1.00
15	29	_		1.00
16	1	S7		0.81
16	2	_		0.81
16	3	a		0.60
16	4	_	dot	1.00
16	5	_		1.00
16	6	S4		1.00
16	7	Lx		0.83
16	8	sq	ot	0.81
16	9	y		0.81
16	10	lam		1.00
16	11	g		1.00
16	12	]	o	1.00
16	13	g		1.00
16	14	eps	5	1.00
16	15	S7		1.00
16	16	_	#	0.82
16	17	a		1.00
16	18	_	~	1.00
16	19	rz		1.00
16	20	S4		1.00
16	21	Lx		1.00
16	22	_		0.61
16	23	_		1.00
16	24	_		0.83
16	25	_	dot	1.00
16	26	eps		1.00
16	27	_		0.60
16	28	_		1.00
16	29	_		1.00
16	30	S7		0.61
16	31	_		0.82
17	1	a		1.00
17	2	_		1.00
17	3	_		1.00
17	4	p		0.82
17	5	_		0.83
17	6	_		1.00
17	7	_	dot	1.00
17	8	_		1.00
17	9	_		1.00
17	10	S4		1.00
17	11	dl		1.00
17	12	+		0.81
17	13	v	1|#	1.00
17	14	g		0.60
17	15	lam		1.00
17	16	K		1.00
17	17	rz	#	0.81
17	18	nt		1.00
17	19	g		1.00
17	20	S7		1.00
17	21	lam		1.00
17	22	phi	5	1.00
17	23	S4		1.00
17	24	dl		1.00
17	25	_	dot	0.81
17	26	_	dot	1.00
18	1	_		0.81
18	2	N		1.00
18	3	_		1.00
18	4	_	1	0.41
18	5	N		1.00
18	6	bh		0.59
18	7	_		0.38
18	8	N		1.00
18	9	_		1.00
18	10	_		1.00
18	11	a		1.00
18	12	_		1.00
18	13	_		1.00
18	14	_		0.65
18	15	_		1.00
18	16	_		0.82
18	17	_		1.00
18	18	_		1.00
18	19	_		1.00
18	20	_		1.00
18	21	_	1	1.00
18	22	_		1.00
18	23	_		0.60
18	24	S7		0.41
18	25	_		1.00
18	26	_		0.80
18	27	S4	dot	0.61
18	28	dl		1.00
18	29	+		0.62
18	30	Lx		1.00
19	1	bh	dot	1.00
19	2	g		1.00
19	3	w		1.00
19	4	Z	ot	1.00
19	5	g	~	1.00
19	6	]	o	1.00
19	7	L		0.80
19	8	e		1.00
19	9	e		1.00
19	10	bh		0.70
19	11	e	#	1.00
19	12	g	1	1.00
19	13	a	5	1.00
19	14	tee		1.00
19	15	_	5	0.86
19	16	Z	ot	0.80
19	17	S7	#	0.61
19	18	g	dot	0.79
19	19	_		0.60
19	20	psi		1.00
19	21	eps	5	1.00
19	22	g	5	1.00
19	23	Z		0.81
19	24	w		1.00
19	25	g		1.00
19	26	a	1	1.00
19	27	_	1	1.00
