line	pos	code	marks	source	reason
14	23	dl		B	clear rounded "a"-like letter shape, not blank; closest established cluster is dl, low share (.61 on _) already flagged this as uncertain
14	26	_		B	second flag-mark cross, followed by a colon
14	27	_		B	A capital, start of a short annotation word
14	29	_		B	loop/descender continuing the word, reads roughly "Adi" or "Adij" -- possible dateline-style annotation ("a di", "on the day")
15	1	_		B	s of "sonr/sono" ("I am"), plain Italian cursive opening the line
15	3	_		B	n of "sonr/sono", low share (.62) already flagged this
15	4	_		B	final flourish/"r" of the same word
15	5	_		B	v. abbreviation (v.s. = "vostra signoria", Your Lordship)
15	6	_		B	. dot after v, low share (.60) already flagged this
15	8	_		B	descender "p" of "per", low share (.62) already flagged this
15	11	_		B	s of "sappia" ("[may] know"), low share (.60) already flagged this
15	14	_		B	Tironian "et" ligature ("and")
15	15	_		B	continuation of the "et" mark
15	16	_		B	P capital of "Pensi" ("think")
15	17	_		B	ensi body of "Pensi", low share (.62) already flagged this
15	18	_		B	quello ("that"), q-loop start
15	25	_		B	final "p[?]" word start at line end
16	5	_		B	C of "Certo" ("certain"), misread as sign Lx despite high share
16	6	_		B	er/"rt" tall ligature of "Certo", misread as sign H
16	7	_		B	to ending of "Certo", misread as sign tee
17	12	_		B	S of "Sopra" ("about/concerning"), misread as sign N
17	18	_		B	m of "medesima" ("same"), coincides with cipher code m
17	21	_		B	im continuing "medesima", low share (.60) already flagged this
17	23	_		B	m of "materia" ("matter/subject"), coincides with cipher code S
17	25	_		B	er of "materia", misread as sign N
17	27	_		B	mi ("to me"), low share (.59) already flagged this
19	27	_		B	cr of "credo" ("[I] believe"), misread as sign despite very low share (.40) already flagged this
