figure	plaintext	grade	n	positions	source
797	avec	C	1	100	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
799	vous	M	1	65	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
803	courier	M	1	62	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
804	dier	M	1	60	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
806	pas	C	1	200	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
812	ti	C	1	23	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
814	z / ?	M	2	70,232	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
819	bres	M	1	2	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
828	votre	C	1	103	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
834	des	C	1	111	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
835	ne	M	1	84	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
842	ner	M	1	150	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
854	rent|d'	M	1	7	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
860	ment	C	2	36,166	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
864	elle	C	2	165,197	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
872	que	C	2	122,189	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
874	le	C	4	26,101,123,135	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
880	pre	M	1	191	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
881	assure	M	1	96	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
886	n	M	1	161	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
892	ce	C	3	89,184,203	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
894	et	C	1	31	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
896	a	C	2	108,209	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
903	ce	C	2	175,181	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
905	est	C	2	163,199	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
909	lui	C	1	116	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
912	parti	M	1	185	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
913	qu'	M	1	118	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
919	al	M	1	11	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
921	de	C	3	37,71,88	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
937	pou / po	C	2	38,90	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
953	cette	C	1	153	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
957	roit	M	1	107	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
959	on / tions	C	3	24,142,174	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
960	con|congres	C	2	4,136	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
965	j'	M	1	145	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
967	eux	C	1	45	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
971	a|bord	M	1	9	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
975	cli	M	1	149	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
983	jusques	M	1	182	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
986	roit	C	2	188,205	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
992	tes(te)	M	1	27	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
999	sorte	C	1	152	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
1002	treze	C	1	112	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
1010	avec	C	1	131	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
1012	ces	C	1	126	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
1019	ameri	C	2	159,229	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
1022	l'	C	1	157	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
1023	don|pouvoit / don	M	2	138,206	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
1032	e	M	1	219	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
1050	t	M	1	47	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
1052	char	M	1	78	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
1062	con	M	1	105	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
1077	mesures	C	1	127	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
1092	tee	M	1	202	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
1094	paroissoit	M	1	121	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
1096	une / un	C	3	19,43,215	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
1098	est	M	1	73	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
1117	che	M	1	69	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
1123	laisse	C	1	130	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
1163	e	M	1	162	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
1171	an	M	1	40	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
1173	dan / dan(s)	C	4	16,25,32,220	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
1177	mais	C	1	114	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
1183	d'	C	2	18,44	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
1185	vous	M	1	58	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
1198	premier	M	1	34	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
1199	etre	C	1	129	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
