line	pos	group	conf	alt
mssDE108A_p2_L12	1	486	H	
mssDE108A_p2_L12	2	331	H	
mssDE108A_p2_L12	3	680	H	
mssDE108A_p2_L12	4	1082	H	
mssDE108A_p2_L12	5	139	H	
mssDE108A_p2_L12	6	961	H	
mssDE108A_p2_L12	7	416	H	
mssDE108A_p2_L12	8	80	H	
mssDE108A_p2_L12	9	337	H	
mssDE108A_p2_L12	10	962	H	
mssDE108A_p2_L12	11	890	H	
mssDE108A_p3_L01	1	830	H	
mssDE108A_p3_L01	2	912	H	
mssDE108A_p3_L01	3	1181	M	1151
mssDE108A_p3_L01	4	32	H	
mssDE108A_p3_L01	5	555	H	
mssDE108A_p3_L01	6	30	H	
mssDE108A_p3_L01	7	933	H	
mssDE108A_p3_L01	8	888	H	
mssDE108A_p3_L01	9	310	M	510
mssDE108A_p3_L01	10	947	H	
mssDE108A_p3_L01	11	29	H	
mssDE108A_p3_L02	1	30	H	
mssDE108A_p3_L02	2	931	H	
mssDE108A_p3_L02	3	202	H	
mssDE108A_p3_L02	4	10	H	
mssDE108A_p3_L02	5	232	H	
mssDE108A_p3_L02	6	595	M	395
mssDE108A_p3_L02	7	888	H	
mssDE108A_p3_L02	8	551	M	331
mssDE108A_p3_L02	9	333	H	
mssDE108A_p3_L02	10	301	H	
mssDE108A_p3_L02	11	10	H	
mssDE108A_p3_L02	12	64	H	
mssDE108A_p3_L03	1	808	H	
mssDE108A_p3_L03	2	1129	H	
mssDE108A_p3_L03	3	868	H	
mssDE108A_p3_L03	4	608	H	
mssDE108A_p3_L03	5	878	H	
mssDE108A_p3_L03	6	1074	H	
mssDE108A_p3_L03	7	500	M	300
mssDE108A_p3_L03	8	858	H	
mssDE108A_p3_L03	9	80	H	
mssDE108A_p3_L03	10	608	H	
mssDE108A_p3_L04	1	645	H	
mssDE108A_p3_L04	2	151	H	
mssDE108A_p3_L04	3	30	H	
mssDE108A_p3_L04	4	1199	H	
mssDE108A_p3_L04	5	389	H	
mssDE108A_p3_L04	6	947	H	
mssDE108A_p3_L04	7	555	H	
mssDE108A_p3_L04	8	1074	H	
mssDE108A_p3_L04	9	486	H	
mssDE108A_p3_L04	10	66	H	
mssDE108A_p3_L05	1	1125	H	
mssDE108A_p3_L05	2	947	H	
mssDE108A_p3_L05	3	682	H	
mssDE108A_p3_L05	4	587	H	
mssDE108A_p3_L05	5	646	H	
mssDE108A_p3_L05	6	1181	H	
mssDE108A_p3_L05	7	574	H	
mssDE108A_p3_L05	8	816	H	
mssDE108A_p3_L05	9	434	H	
mssDE108A_p3_L05	10	13	H	
mssDE108A_p3_L05	11	281	H	
mssDE108A_p3_L06	1	266	H	
mssDE108A_p3_L06	2	947	H	
mssDE108A_p3_L06	3	443	H	
mssDE108A_p3_L06	4	1181	H	
mssDE108A_p3_L06	5	628	H	
mssDE108A_p3_L06	6	425	H	
mssDE108A_p3_L06	7	1068	H	
mssDE108A_p3_L06	8	1181	H	
mssDE108A_p3_L06	9	626	H	
mssDE108A_p3_L06	10	49	H	
mssDE108A_p3_L07	1	1161	H	
mssDE108A_p3_L07	2	824	H	
mssDE108A_p3_L07	3	4	H	
mssDE108A_p3_L07	4	961	H	
mssDE108A_p3_L07	5	169	H	
mssDE108A_p3_L07	6	878	H	
mssDE108A_p3_L07	7	50	M	150
mssDE108A_p3_L07	8	402	H	
mssDE108A_p3_L07	9	878	H	
mssDE108A_p3_L07	10	525	H	
mssDE108A_p3_L08	1	381	H	
mssDE108A_p3_L08	2	480	H	
mssDE108A_p3_L08	3	444	H	
mssDE108A_p3_L08	4	824	H	
mssDE108A_p3_L08	5	878	H	
mssDE108A_p3_L08	6	542	H	
mssDE108A_p3_L08	7	997	H	
mssDE108A_p3_L08	8	947	H	
mssDE108A_p3_L08	9	1133	H	
mssDE108A_p3_L08	10	626	H	
mssDE108A_p3_L09	1	1010	H	
mssDE108A_p3_L09	2	947	H	
mssDE108A_p3_L09	3	830	H	
mssDE108A_p3_L09	4	880	H	
mssDE108A_p3_L09	5	983	H	
mssDE108A_p3_L09	6	519	H	
mssDE108A_p3_L09	7	444	H	
mssDE108A_p3_L09	8	460	H	
mssDE108A_p3_L09	9	941	H	
mssDE108A_p3_L09	10	771	M	71
mssDE108A_p3_L10	1	195	H	
mssDE108A_p3_L10	2	80	H	
mssDE108A_p3_L10	3	135	H	
mssDE108A_p3_L10	4	991	H	
mssDE108A_p3_L10	5	976	H	
mssDE108A_p3_L10	6	646	H	
mssDE108A_p3_L10	7	1151	H	
mssDE108A_p3_L10	8	381	H	
mssDE108A_p3_L10	9	858	H	
mssDE108A_p3_L10	10	1181	H	
mssDE108A_p3_L11	1	628	H	
mssDE108A_p3_L11	2	8	H	
mssDE108A_p3_L11	3	309	H	
mssDE108A_p3_L11	4	10	H	
mssDE108A_p3_L11	5	216	H	
mssDE108A_p3_L11	6	1113	H	
mssDE108A_p3_L11	7	4	H	
mssDE108A_p3_L11	8	816	H	
mssDE108A_p3_L11	9	6	H	
mssDE108A_p3_L11	10	1147	H	
mssDE108A_p3_L11	11	941	H	
mssDE108A_p3_L11	12	1181	H	
mssDE108A_p3_L12	1	414	H	
mssDE108A_p3_L12	2	741	H	
mssDE108A_p3_L12	3	542	H	
mssDE108A_p3_L12	4	884	H	
mssDE108A_p3_L12	5	1159	H	
mssDE108A_p3_L12	6	177	M	77
mssDE108A_p3_L12	7	402	H	
mssDE108A_p3_L12	8	913	H	
mssDE108A_p3_L12	9	10	H	
mssDE108A_p3_L12	10	1159	M	
mssDE108A_p3_L12	11	267	H	
mssDE108A_p4_L01	1	96	H	
mssDE108A_p4_L01	2	220	H	
mssDE108A_p4_L01	3	341	H	
mssDE108A_p4_L01	4	981	H	
mssDE108A_p4_L01	5	381	H	
mssDE108A_p4_L01	6	878	H	
mssDE108A_p4_L01	7	831	H	
mssDE108A_p4_L01	8	868	H	
mssDE108A_p4_L01	9	521	M	321
mssDE108A_p4_L01	10	1002	H	
mssDE108A_p4_L01	11	452	H	
mssDE108A_p4_L02	1	80	H	
mssDE108A_p4_L02	2	466	H	
mssDE108A_p4_L02	3	116	H	
mssDE108A_p4_L02	4	608	H	
mssDE108A_p4_L02	5	931	H	
mssDE108A_p4_L02	6	10	H	
mssDE108A_p4_L02	7	1018	H	
mssDE108A_p4_L02	8	185	H	
mssDE108A_p4_L02	9	80	H	
mssDE108A_p4_L02	10	256	H	
mssDE108A_p4_L02	11	476	H	
mssDE108A_p4_L02	12	415	H	
mssDE108A_p4_L03	1	25	M	725
mssDE108A_p4_L03	2	165	H	
mssDE108A_p4_L03	3	1193	H	
mssDE108A_p4_L03	4	620	H	
mssDE108A_p4_L03	5	599	H	
mssDE108A_p4_L03	6	947	H	
mssDE108A_p4_L03	7	594	H	
mssDE108A_p4_L03	8	947	H	
mssDE108A_p4_L03	9	443	H	
mssDE108A_p4_L03	10	628	H	
mssDE108A_p4_L04	1	153	H	
mssDE108A_p4_L04	2	486	H	
mssDE108A_p4_L04	3	1082	H	
mssDE108A_p4_L04	4	1151	H	
mssDE108A_p4_L04	5	232	H	
mssDE108A_p4_L04	6	626	H	
mssDE108A_p4_L04	7	337	H	
mssDE108A_p4_L04	8	617	H	
mssDE108A_p4_L04	9	1185	H	
mssDE108A_p4_L04	10	983	H	
mssDE108A_p4_L05	1	202	H	
mssDE108A_p4_L05	2	890	H	
mssDE108A_p4_L05	3	28	H	
mssDE108A_p4_L05	4	983	H	
mssDE108A_p4_L05	5	428	H	
mssDE108A_p4_L05	6	838	H	
mssDE108A_p4_L05	7	462	H	
mssDE108A_p4_L05	8	802	H	
mssDE108A_p4_L05	9	818	H	
mssDE108A_p4_L05	10	947	H	
mssDE108A_p4_L06	1	309	H	
mssDE108A_p4_L06	2	62	H	
mssDE108A_p4_L06	3	1	M	01
mssDE108A_p4_L06	4	1181	H	
mssDE108A_p4_L06	5	620	H	
mssDE108A_p4_L06	6	202	H	
mssDE108A_p4_L06	7	40	H	
mssDE108A_p4_L06	8	165	H	
mssDE108A_p4_L06	9	947	H	
mssDE108A_p4_L06	10	697	M	697
mssDE108A_p4_L06	11	557	M	337
mssDE108A_p4_L07	1	1068	H	
mssDE108A_p4_L07	2	430	H	
mssDE108A_p4_L07	3	1181	H	
mssDE108A_p4_L07	4	99	H	
mssDE108A_p4_L07	5	1088	H	
mssDE108A_p4_L07	6	10	H	
mssDE108A_p4_L07	7	888	H	
mssDE108A_p4_L07	8	247	H	
mssDE108A_p4_L07	9	940	H	
mssDE108A_p4_L07	10	888	H	
mssDE108A_p4_L08	1	853	M	843
mssDE108A_p4_L08	2	961	H	
mssDE108A_p4_L08	3	579	H	
mssDE108A_p4_L08	4	1125	H	
mssDE108A_p4_L08	5	880	H	
mssDE108A_p4_L08	6	151	H	
mssDE108A_p4_L08	7	381	H	
mssDE108A_p4_L08	8	96	H	
mssDE108A_p4_L08	9	1125	H	
mssDE108A_p4_L08	10	352	H	
mssDE108A_p4_L08	11	555	H	
mssDE108A_p4_L09	1	472	H	
mssDE108A_p4_L09	2	107	H	
mssDE108A_p4_L09	3	460	H	
mssDE108A_p4_L09	4	6	H	
mssDE108A_p4_L09	5	1004	H	
mssDE108A_p4_L09	6	961	H	
mssDE108A_p4_L09	7	1199	H	
mssDE108A_p4_L09	8	216	H	
mssDE108A_p4_L09	9	408	H	
mssDE108A_p4_L09	10	97	H	
mssDE108A_p4_L09	11	626	H	
mssDE108A_p4_L10	1	1151	H	
mssDE108A_p4_L10	2	32	H	
mssDE108A_p4_L10	3	947	H	
mssDE108A_p4_L10	4	1165	H	
mssDE108A_p4_L10	5	517	H	
mssDE108A_p4_L10	6	40	H	
mssDE108A_p4_L10	7	10	H	
mssDE108A_p4_L10	8	217	H	
mssDE108A_p4_L10	9	324	H	
mssDE108A_p4_L10	10	187	H	
mssDE108A_p4_L10	11	1084	M	
mssDE108A_p4_L10	12	216	H	
mssDE108A_p4_L11	1	357	M	557
mssDE108A_p4_L11	2	1058	H	
mssDE108A_p4_L11	3	444	H	
mssDE108A_p4_L11	4	622	H	
mssDE108A_p4_L11	5	402	H	
mssDE108A_p4_L11	6	777	M	
mssDE108A_p4_L11	7	1151	H	
mssDE108A_p4_L11	8	888	H	
mssDE108A_p4_L11	9	740	H	
mssDE108A_p4_L12	1	890	H	
mssDE108A_p4_L12	2	680	H	
mssDE108A_p4_L12	3	686	H	
mssDE108A_p4_L12	4	105	H	
mssDE108A_p4_L12	5	122	H	
mssDE108A_p4_L12	6	940	H	
mssDE108A_p4_L12	7	1004	H	
mssDE108A_p4_L12	8	727	M	
mssDE108A_p4_L12	9	692	H	
mssDE108A_p4_L12	10	301	H	
mssDE108A_p4_L12	11	330	H	
mssDE108A_p5_L01	1	744	H	
mssDE108A_p5_L01	2	713	H	
mssDE108A_p5_L01	3	832	H	
mssDE108A_p5_L01	4	935	H	
mssDE108A_p5_L01	5	38	H	
mssDE108A_p5_L01	6	98	H	
mssDE108A_p5_L01	7	1173	H	
mssDE108A_p5_L01	8	1068	H	
mssDE108A_p5_L01	9	579	H	
mssDE108A_p5_L01	10	771	M	71
mssDE108A_p5_L02	1	1113	H	
mssDE108A_p5_L02	2	165	H	
mssDE108A_p5_L02	3	36	H	
mssDE108A_p5_L02	4	6	H	
mssDE108A_p5_L02	5	474	H	
mssDE108A_p5_L02	6	713	H	
mssDE108A_p5_L02	7	486	H	
mssDE108A_p5_L02	8	490	H	
mssDE108A_p5_L02	9	10	H	
mssDE108A_p5_L02	10	890	H	
mssDE108A_p5_L02	11	830	H	
mssDE108A_p5_L03	1	683	H	
mssDE108A_p5_L03	2	1028	H	
mssDE108A_p5_L03	3	381	H	
mssDE108A_p5_L03	4	480	H	
mssDE108A_p5_L03	5	444	H	
mssDE108A_p5_L03	6	947	H	
mssDE108A_p5_L03	7	267	H	
mssDE108A_p5_L03	8	997	H	
mssDE108A_p5_L03	9	32	H	
mssDE108A_p5_L03	10	850	H	
mssDE108A_p5_L04	1	480	H	
mssDE108A_p5_L04	2	460	H	
mssDE108A_p5_L04	3	707	H	
mssDE108A_p5_L04	4	1193	H	
mssDE108A_p5_L04	5	941	H	
mssDE108A_p5_L04	6	626	H	
mssDE108A_p5_L04	7	202	H	
mssDE108A_p5_L04	8	1032	H	
mssDE108A_p5_L04	9	831	H	
mssDE108A_p5_L04	10	868	H	
mssDE108A_p5_L04	11	1199	H	
mssDE108A_p5_L05	1	389	H	
mssDE108A_p5_L05	2	642	H	
mssDE108A_p5_L05	3	480	H	
mssDE108A_p5_L05	4	816	H	
mssDE108A_p5_L05	5	169	H	
mssDE108A_p5_L05	6	116	H	
mssDE108A_p5_L05	7	518	H	
mssDE108A_p5_L05	8	1175	H	
mssDE108A_p5_L05	9	1181	H	
mssDE108A_p5_L05	10	544	H	
mssDE108A_p5_L05	11	460	H	
mssDE108A_p5_L06	1	266	H	
mssDE108A_p5_L06	2	878	H	
mssDE108A_p5_L06	3	680	H	
mssDE108A_p5_L06	4	1174	H	
mssDE108A_p5_L06	5	1107	H	
mssDE108A_p5_L06	6	12	H	
mssDE108A_p5_L06	7	642	H	
mssDE108A_p5_L06	8	767	M	
mssDE108A_p5_L06	9	434	H	
mssDE108A_p5_L06	10	608	H	
mssDE108A_p5_L07	1	818	H	
mssDE108A_p5_L07	2	8	H	
mssDE108A_p5_L07	3	551	M	331
mssDE108A_p5_L07	4	227	H	
mssDE108A_p5_L07	5	525	H	
mssDE108A_p5_L07	6	1151	H	
mssDE108A_p5_L07	7	1129	H	
mssDE108A_p5_L07	8	656	M	
mssDE108A_p5_L07	9	733	H	
mssDE108A_p5_L07	10	301	H	
mssDE108A_p5_L08	1	165	H	
mssDE108A_p5_L08	2	36	H	
mssDE108A_p5_L08	3	620	H	
mssDE108A_p5_L08	4	626	H	
mssDE108A_p5_L08	5	49	H	
mssDE108A_p5_L08	6	324	H	
mssDE108A_p5_L08	7	884	H	
mssDE108A_p5_L08	8	1028	H	
mssDE108A_p5_L08	9	1181	H	
mssDE108A_p5_L08	10	387	H	
mssDE108A_p5_L09	1	145	H	
mssDE108A_p5_L09	2	570	H	
mssDE108A_p5_L09	3	233	H	
mssDE108A_p5_L09	4	626	H	
mssDE108A_p5_L09	5	151	H	
mssDE108A_p5_L09	6	683	H	
mssDE108A_p5_L09	7	162	H	
mssDE108A_p5_L09	8	1151	H	
mssDE108A_p5_L09	9	110	H	
mssDE108A_p5_L09	10	878	H	
mssDE108A_p5_L10	1	969	M	
mssDE108A_p5_L10	2	832	H	
mssDE108A_p5_L10	3	975	H	
mssDE108A_p5_L10	4	10	H	
mssDE108A_p5_L10	5	990	H	
mssDE108A_p5_L10	6	665	H	
mssDE108A_p5_L10	7	202	H	
mssDE108A_p5_L10	8	878	M	
mssDE108A_p5_L10	9	1181	H	
mssDE108A_p5_L10	10	799	H	
mssDE108A_p5_L11	1	355	H	
mssDE108A_p5_L11	2	868	H	
mssDE108A_p5_L11	3	1060	H	
mssDE108A_p5_L11	4	479	H	
mssDE108A_p5_L11	5	538	H	
mssDE108A_p5_L11	6	707	H	
mssDE108A_p5_L11	7	112	H	
mssDE108A_p5_L11	8	1066	H	
mssDE108A_p5_L11	9	1010	H	
mssDE108A_p5_L11	10	486	H	
mssDE108A_p6_L01	1	460	H	
mssDE108A_p6_L01	2	1125	H	
mssDE108A_p6_L01	3	1043	H	
mssDE108A_p6_L01	4	551	M	331
mssDE108A_p6_L01	5	941	H	
mssDE108A_p6_L01	6	479	H	
mssDE108A_p6_L01	7	170	H	
mssDE108A_p6_L01	8	1022	H	
mssDE108A_p6_L01	9	946	H	
mssDE108A_p6_L01	10	626	H	
mssDE108A_p6_L02	1	208	H	
mssDE108A_p6_L02	2	579	H	
mssDE108A_p6_L02	3	357	H	
mssDE108A_p6_L02	4	832	H	
mssDE108A_p6_L02	5	80	H	
mssDE108A_p6_L02	6	145	H	
mssDE108A_p6_L02	7	878	H	
mssDE108A_p6_L02	8	141	H	
mssDE108A_p6_L02	9	648	H	
mssDE108A_p6_L02	10	872	H	
mssDE108A_p6_L02	11	787	M	
mssDE108A_p6_L03	1	480	H	
mssDE108A_p6_L03	2	666	H	
mssDE108A_p6_L03	3	10	H	
mssDE108A_p6_L03	4	267	H	
mssDE108A_p6_L03	5	645	H	
mssDE108A_p6_L03	6	940	H	
mssDE108A_p6_L03	7	527	H	
mssDE108A_p6_L03	8	1188	H	
mssDE108A_p6_L03	9	347	H	
mssDE108A_p6_L03	10	108	H	
mssDE108A_p6_L03	11	949	H	
mssDE108A_p6_L04	1	888	H	
mssDE108A_p6_L04	2	232	H	
mssDE108A_p6_L04	3	1161	H	
mssDE108A_p6_L04	4	60	H	
mssDE108A_p6_L04	5	890	H	
mssDE108A_p6_L04	6	741	H	
mssDE108A_p6_L04	7	381	H	
mssDE108A_p6_L04	8	915	H	
mssDE108A_p6_L04	9	149	H	
mssDE108A_p6_L04	10	122	H	
mssDE108A_p6_L04	11	824	H	
mssDE108A_p6_L05	1	919	H	
mssDE108A_p6_L05	2	357	H	
mssDE108A_p6_L05	3	1173	H	
mssDE108A_p6_L05	4	839	H	
mssDE108A_p6_L05	5	6	H	
mssDE108A_p6_L05	6	381	H	
mssDE108A_p6_L05	7	651	H	
mssDE108A_p6_L05	8	884	H	
mssDE108A_p6_L05	9	32	H	
mssDE108A_p6_L05	10	1076	H	
mssDE108A_p6_L05	11	415	H	
mssDE108A_p6_L05	12	1181	H	
mssDE108A_p6_L06	1	355	H	
mssDE108A_p6_L06	2	381	H	
mssDE108A_p6_L06	3	830	H	
mssDE108A_p6_L06	4	1143	M	
mssDE108A_p6_L06	5	880	H	
mssDE108A_p6_L06	6	202	H	
mssDE108A_p6_L06	7	560	M	660
mssDE108A_p6_L06	8	993	H	
mssDE108A_p6_L06	9	890	H	
mssDE108A_p6_L06	10	262	H	
mssDE108A_p6_L06	11	707	H	
mssDE108A_p6_L07	1	697	H	
mssDE108A_p6_L07	2	109	H	
mssDE108A_p6_L07	3	463	H	
mssDE108A_p6_L07	4	402	H	
mssDE108A_p6_L07	5	947	H	
