item	page	line	pos	group	gloss	hand	struck	grade
mssDE68	p2	L01	7	880	pres	ink	0	C
mssDE68	p2	L01	8	391	tes	ink	0	C
mssDE68	p2	L01	9	202	a	ink	0	C
mssDE68	p2	L01	10	610	etre	ink	0	C
mssDE68	p2	L02	1	455	change	ink	0	C
mssDE68	p2	L02	2	460	es	ink	0	C
mssDE68	p2	L02	3	599	sur	ink	0	C
mssDE68	p2	L02	4	947	les	ink	0	C
mssDE68	p2	L02	5	341	fre	ink	0	C
mssDE68	p2	L02	6	981	ga	ink	0	C
mssDE68	p2	L02	7	391	tes	ink	0	C
mssDE68	p2	L02	8	109	du	ink	0	C
mssDE68	p2	L02	9	463	roy	ink	0	C
mssDE68	p2	L02	10	331	a	ink	0	C
mssDE68	p2	L02	11	220	quelques	ink	0	C
mssDE68	p2	L03	1	80	e	ink	0	C
mssDE68	p2	L03	2	1074	po	ink	0	C
mssDE68	p2	L03	3	884	que	ink	0	C
mssDE68	p2	L03	4	594	quelle	ink	0	C
mssDE68	p2	L03	5	1181	se	ink	0	C
mssDE68	p2	L03	6	730	presente	ink	0	M
mssDE68	p2	L03	7	976	.	ink	0	C
mssDE68	p2	L03	8	1188	Mr	ink	0	C
mssDE68	p2	L03	9	1105	ho	ink	0	C
mssDE68	p2	L03	10	434	l	ink	0	C
mssDE68	p2	L04	1	585	ke	ink	0	C
mssDE68	p2	L04	2	626	r	ink	0	C
mssDE68	p2	L04	3	950	vien	ink	0	C
mssDE68	p2	L04	4	10	de	ink	0	C
mssDE68	p2	L04	5	1181	se	ink	0	C
mssDE68	p2	L04	6	415	rendre	ink	0	M
mssDE68	p2	L04	7	202	a	ink	0	C
mssDE68	p2	L04	8	165	bal?	ink	0	M
mssDE68	p2	L04	9	434	l	ink	0	C
mssDE68	p2	L04	10	1193	ti	ink	0	C
mssDE68	p2	L04	11	678	mo	ink	0	C
mssDE68	p2	L05	1	555	re	ink	0	C
mssDE68	p2	L05	2	850	pour	ink	0	C
mssDE68	p2	L05	3	808	s	ink	0	C
mssDE68	p2	L05	4	712	assurer	ink	0	C
mssDE68	p2	L05	5	997	que	ink	0	C
mssDE68	p2	L05	6	947	les	ink	0	C
mssDE68	p2	L05	7	1133	ma	ink	0	C
mssDE68	p2	L05	8	981	ga	ink	0	C
mssDE68	p2	L05	9	1125	si	ink	0	C
mssDE68	p2	L05	10	517	ns	ink	0	C
mssDE68	p2	L05	11	30	quels	ink	0	M
mssDE68	p2	L06	1	931	y	ink	0	C
mssDE68	p2	L06	2	202	a	ink	0	C
mssDE68	p2	L06	3	744	fait	ink	0	C
mssDE68	p2	L06	4	355	ras	ink	0	C
mssDE68	p2	L06	5	534	semble	ink	0	C
mssDE68	p2	L06	6	626	r	ink	0	C
mssDE68	p2	L06	7	628	sont	ink	0	C
mssDE68	p2	L06	8	713	en	ink	0	C
mssDE68	p2	L06	9	45	bons	ink	0	C
mssDE68	p2	L07	1	507	etat	ink	0	C
mssDE68	p2	L07	2	1002	da	ink	0	C
mssDE68	p2	L07	3	1187	nul	ink	0	C
mssDE68	p2	L08	1	890	la	ink	0	C
mssDE68	p2	L08	2	435	resolution	ink	0	C
mssDE68	p2	L08	3	6	que	ink	0	C
mssDE68	p2	L08	4	32	vous	ink	0	C
mssDE68	p2	L08	5	202	a	ink	0	C
mssDE68	p2	L08	6	806	vez	ink	0	C
mssDE68	p2	L08	7	416	pris	ink	0	C
mssDE68	p2	L08	8	482	e	ink	0	C
mssDE68	p2	L08	9	10	de	ink	0	C
mssDE68	p2	L08	10	177	faire	ink	0	C
mssDE68	p2	L08	11	658	cro	ink	0	C
mssDE68	p2	L09	1	214	is	ink	0	C
mssDE68	p2	L09	2	991	er	ink	0	C
mssDE68	p2	L09	3	1159	vos	ink	0	C
mssDE68	p2	L09	4	341	fre	ink	0	C
mssDE68	p2	L09	5	981	ga	ink	0	C
mssDE68	p2	L09	6	391	te	ink	0	C
mssDE68	p2	L09	7	599	sur	ink	0	C
mssDE68	p2	L09	8	725	les	ink	0	C
mssDE68	p2	L09	9	103	co	ink	0	C
mssDE68	p2	L09	10	391	tes	ink	0	C
mssDE68	p2	L09	11	531	dela	ink	0	M
mssDE68	p3	L01	1	677	virginie	ink	0	C
mssDE68	p3	L01	2	96	et	ink	0	C
mssDE68	p3	L01	3	337	dela	ink	0	C
mssDE68	p3	L01	4	1033	delaware?	ink	0	M
mssDE68	p3	L01	5	545	ne	ink	0	C
mssDE68	p3	L01	6	771	peut	ink	0	C
mssDE68	p3	L01	7	6	que	ink	0	C
mssDE68	p3	L01	8	610	etre	ink	0	C
mssDE68	p3	L01	9	896	in	ink	0	C
mssDE68	p3	L01	10	250	fi	ink	0	C
mssDE68	p3	L02	1	945	ni	ink	0	C
mssDE68	p3	L02	2	620	ment	ink	0	C
mssDE68	p3	L02	3	125	a	ink	0	C
mssDE68	p3	L02	4	511	gre	ink	0	C
mssDE68	p3	L02	5	252	able	ink	0	C
mssDE68	p3	L02	6	331	a	ink	0	C
mssDE68	p3	L02	7	383	nos	ink	0	C
mssDE68	p3	L02	8	640	allies	ink	0	C
mssDE68	p3	L02	9	460	es	ink	0	C
mssDE68	p3	L02	10	824	et	ink	0	C
mssDE68	p3	L03	1	919	je	ink	0	C
mssDE68	p3	L03	2	545	ne	ink	0	C
mssDE68	p3	L03	3	946	doute	ink	0	C
mssDE68	p3	L03	4	60	pas	ink	0	C
mssDE68	p3	L03	5	594	quelles	ink	0	C
mssDE68	p3	L03	6	941	ne	ink	0	C
mssDE68	p3	L03	7	837	produisent	ink	0	C
mssDE68	p3	L03	8	1181	se	ink	0	C
mssDE68	p3	L03	9	10	de	ink	0	C
mssDE68	p3	L03	10	959	tres	ink	0	C
mssDE68	p3	L04	1	45	bons	ink	0	C
mssDE68	p3	L04	2	1	effets	ink	0	C
mssDE68	p3	L04	3	394	nul	ink	0	C
mssDE68	p3	L04	4	848	nul	ink	0	C
mssDE37	p1	L01	1	835	chez	ink	0	C
mssDE37	p1	L01	2	947	les	ink	0	C
mssDE37	p1	L01	3	443	anglais	ink	0	C
mssDE37	p1	L01	4	950	comman	ink	1	M
mssDE37	p1	L01	5	608	da?	ink	0	M
mssDE37	p1	L01	6	468	entier	ink	0	C
mssDE37	p1	L01	7	476	s?	ink	0	M
mssDE37	p1	L01	8	415	rendre	ink	0	M
mssDE37	p1	L01	9	878	une	ink	0	C
mssDE37	p1	L02	1	787	pe	ink	0	C
mssDE37	p1	L02	2	1193	ti	ink	0	C
mssDE37	p1	L02	3	444	te	ink	0	C
mssDE37	p1	L02	4	831	expedi	ink	0	C
mssDE37	p1	L02	5	868	tion	ink	0	C
mssDE37	p1	L02	6	1053	entiere	ink	0	C
mssDE37	p1	L02	7	830	plus	ink	0	C
mssDE37	p1	L02	8	518	avant	ink	0	C
mssDE37	p1	L02	9	222	ne?	ink	0	M
mssDE37	p1	L02	10	80	e	ink	0	C
mssDE37	p1	L03	1	80	e	ink	0	C
mssDE37	p1	L03	2	6	que	ink	0	C
mssDE37	p1	L03	3	48	celle	ink	0	C
mssDE37	p1	L03	4	608	d	ink	0	C
mssDE37	p1	L03	5	642	ar	ink	0	C
mssDE37	p1	L03	6	767	no	ink	0	C
mssDE37	p1	L03	7	434	l	ink	0	C
mssDE37	p1	L03	8	628	d	ink	0	C
mssDE37	p1	L03	9	940	.	ink	0	C
mssDE37	p1	L03	10	456	ils	ink	0	C
mssDE37	p1	L04	1	961	ont	ink	0	C
mssDE37	p1	L04	2	555	re	ink	0	C
mssDE37	p1	L04	3	789	mon	ink	0	C
mssDE37	p1	L04	4	444	te	ink	0	C
mssDE37	p1	L04	5	890	la	ink	0	C
mssDE37	p1	L04	6	480	ri	ink	0	C
mssDE37	p1	L04	7	832	vi	ink	0	C
mssDE37	p1	L04	8	991	ere	ink	0	C
mssDE37	p1	L04	9	109	du	ink	0	C
mssDE37	p1	L04	10	763	ca	ink	0	C
mssDE37	p1	L05	1	476	p	ink	1	M
mssDE37	p1	L05	2	886	fe	ink	0	C
mssDE37	p1	L05	3	642	ar	ink	0	C
mssDE37	p1	L05	4	1081	jusqu	ink	0	C
mssDE37	p1	L05	5	202	a	ink	0	C
mssDE37	p1	L05	6	4	wilm?	ink	1	M
mssDE37	p1	L05	7	4	_	none	0	U
mssDE37	p1	L05	8	1068	ils	ink	0	C
mssDE37	p1	L05	9	682	mis	ink	0	C
mssDE37	p1	L05	10	686	n?	ink	0	M
mssDE37	p1	L06	1	1048	to	ink	0	C
mssDE37	p1	L06	2	589	n	ink	0	C
mssDE37	p1	L06	3	940	.	ink	0	C
mssDE37	p1	L06	4	1068	ils	ink	0	C
mssDE37	p1	L06	5	931	y	ink	0	C
mssDE37	p1	L06	6	538	avoient?	ink	0	M
mssDE37	p1	L06	7	301	au?	ink	0	M
mssDE37	p1	L06	8	1103	huit	ink	0	M
mssDE37	p1	L06	9	157	fevrier	ink	0	C
mssDE37	p2	L01	1	890	la	ink	0	C
mssDE37	p2	L01	2	341	fre	ink	0	C
mssDE37	p2	L01	3	981	ga	ink	0	C
mssDE37	p2	L01	4	444	te	ink	0	C
mssDE37	p2	L01	5	890	la	ink	0	C
mssDE37	p2	L01	6	204	charlo?	ink	0	M
mssDE37	p2	L01	7	686	n?	ink	0	M
mssDE37	p2	L01	8	1151	de	ink	0	C
mssDE37	p2	L01	9	10	de	ink	0	C
mssDE37	p2	L01	10	365	30?	ink	0	M
mssDE37	p2	L02	1	903	deux	ink	0	C
mssDE37	p2	L02	2	981	le	ink	0	C
mssDE37	p2	L02	3	10	de	ink	0	C
mssDE37	p2	L02	4	587	li	ink	0	C
mssDE37	p2	L02	5	614	g	ink	0	C
mssDE37	p2	L02	6	1046	n	ink	0	C
mssDE37	p2	L02	7	484	e	ink	0	C
mssDE37	p2	L02	8	96	et	ink	0	C
mssDE37	p2	L02	9	10	de	ink	0	C
mssDE37	p2	L02	10	1155	seize?	ink	0	M
mssDE37	p2	L03	1	824	et	ink	0	C
mssDE37	p2	L03	2	890	la	ink	0	C
mssDE37	p2	L03	3	981	ga	ink	0	M
mssDE37	p2	L03	4	381	le	ink	0	C
mssDE37	p2	L03	5	555	re	ink	0	C
mssDE37	p2	L03	6	890	la	ink	0	C
mssDE37	p2	L03	7	98	com	ink	0	C
mssDE37	p2	L03	8	579	etc?	ink	1	M
mssDE37	p2	L03	9	976	.	ink	0	C
mssDE37	p2	L04	1	888	leurs	ink	0	C
mssDE37	p2	L04	2	309	forces	ink	0	C
mssDE37	p2	L04	3	10	de	ink	0	C
mssDE37	p2	L04	4	779	terre	ink	0	C
mssDE37	p2	L04	5	149	se?	ink	1	M
mssDE37	p2	L04	6	628	sont	ink	0	C
mssDE37	p2	L04	7	608	d	ink	0	C
mssDE37	p2	L04	8	339	en	ink	0	C
mssDE37	p2	L04	9	832	vi	ink	0	C
mssDE37	p2	L04	10	92	ron	ink	0	C
mssDE37	p2	L05	1	1175	trois	ink	0	C
mssDE37	p2	L05	2	1131	cent	ink	0	C
mssDE37	p2	L05	3	863	hommes	ink	0	C
mssDE37	p2	L05	4	824	et	ink	0	C
mssDE37	p2	L05	5	1179	l'on	ink	1	M
mssDE37	p2	L05	6	643	croit	ink	0	C
mssDE37	p2	L05	7	884	que	ink	0	C
mssDE37	p2	L05	8	888	leurs	ink	0	C
mssDE37	p2	L05	9	88	plan	ink	0	C
mssDE37	p2	L06	1	717	est	ink	0	C
mssDE37	p2	L06	2	608	d	ink	0	C
mssDE37	p2	L06	3	931	y	ink	0	C
mssDE37	p2	L06	4	878	une	ink	0	C
mssDE37	p2	L06	5	425	etablir	ink	0	C
mssDE37	p2	L06	6	1151	de	ink	0	C
mssDE37	p2	L06	7	220	quelques	ink	0	C
mssDE37	p2	L06	8	109	du	ink	0	C
mssDE37	p2	L06	9	149	re?	ink	1	M
mssDE37	p2	L06	10	80	e	ink	0	C
mssDE37	p2	L07	1	1001	affin	ink	0	C
mssDE37	p2	L07	2	10	de	ink	0	C
mssDE37	p2	L07	3	1109	tenir	ink	0	C
mssDE37	p2	L07	4	383	nos	ink	0	C
mssDE37	p2	L07	5	640	alies	ink	0	C
mssDE37	p2	L07	6	460	es	ink	0	C
mssDE37	p2	L07	7	1022	en	ink	0	C
mssDE37	p2	L07	8	955	ec	ink	0	C
mssDE37	p2	L07	9	1137	ha	ink	0	M
mssDE37	p2	L07	10	989	e	ink	0	C
mssDE37	p2	L08	1	599	sur	ink	0	C
mssDE37	p2	L08	2	489	differents	ink	0	C
mssDE37	p2	L08	3	870	points	ink	0	C
mssDE55	p1	L01	1	835	cher	ink	0	C
mssDE55	p1	L01	2	1086	de	ink	0	C
mssDE55	p1	L02	1	529	cette	ink	0	C
mssDE55	p1	L02	2	512	premiere	ink	0	C
mssDE55	p1	L02	3	831	expedition	ink	0	C
mssDE55	p1	L02	4	597	_	none	0	U
mssDE55	p1	L02	5	549	nous	ink	0	C
mssDE55	p1	L02	6	436	vous	ink	0	C
mssDE55	p1	L02	7	14	fla	ink	0	C
mssDE55	p1	L02	8	1149	tt	ink	1	M
mssDE55	p1	L02	9	1048	to	ink	0	C
mssDE55	p1	L02	10	517	ns	ink	0	C
mssDE55	p1	L03	1	789	mon	ink	0	C
mssDE55	p1	L03	2	836	sieur	ink	0	C
mssDE55	p1	L03	3	997	que	ink	0	C
mssDE55	p1	L03	4	543	la	ink	0	C
mssDE55	p1	L03	5	952	seconde	ink	0	C
mssDE55	p1	L03	6	941	ne	ink	0	C
mssDE55	p1	L03	7	1070	sera?	ink	0	M
mssDE55	p1	L03	8	202	a	ink	0	C
mssDE55	p1	L03	9	593	pas	ink	0	C
mssDE55	p1	L04	1	680	moi	ink	0	C
mssDE55	p1	L04	2	517	ns	ink	0	C
mssDE55	p1	L04	3	1197	glo	ink	0	C
mssDE55	p1	L04	4	480	ri	ink	0	C
mssDE55	p1	L04	5	454	euse	ink	0	C
mssDE55	p1	L04	6	940	.	ink	0	C
mssDE55	p1	L04	7	464	c'	ink	0	C
mssDE55	p1	L04	8	717	est	ink	0	C
mssDE55	p1	L04	9	1053	enleve?	ink	0	M
mssDE55	p1	L04	10	1183	ici	ink	0	C
mssDE55	p1	L05	1	561	une	ink	0	C
mssDE55	p1	L05	2	247	secret?	ink	0	M
mssDE55	p1	L05	3	311	im	ink	0	C
mssDE55	p1	L05	4	787	pe	ink	0	C
mssDE55	p1	L05	5	545	ne	ink	0	C
mssDE55	p1	L05	6	1165	tra	ink	0	C
mssDE55	p1	L05	7	36	ble	ink	0	C
mssDE55	p1	L05	8	976	.	ink	0	C
mssDE55	p1	L05	9	723	le	ink	0	C
mssDE55	p1	L05	10	1051	congres	ink	0	C
mssDE55	p1	L06	1	589	n'	ink	0	C
mssDE55	p1	L06	2	713	en	ink	0	C
mssDE55	p1	L06	3	1070	ser	ink	0	C
mssDE55	p1	L06	4	331	a	ink	0	C
mssDE55	p1	L06	5	631	instruit	ink	0	C
mssDE55	p1	L06	6	1096	et	ink	1	M
mssDE55	p1	L06	7	997	que	ink	0	C
mssDE55	p1	L06	8	12	lors	ink	0	C
mssDE55	p1	L06	9	884	que	ink	0	C
mssDE55	p1	L07	1	1024	j'	ink	0	C
mssDE55	p1	L07	2	703	avt?	ink	0	M
mssDE55	p1	L07	3	355	ra?	ink	0	M
mssDE55	p1	L07	4	217	nouvelle	ink	0	C
mssDE55	p1	L07	5	531	dela	ink	0	C
mssDE55	p1	L07	6	642	ar	ink	0	C
mssDE55	p1	L07	7	480	ri	ink	0	C
mssDE55	p1	L07	8	446	ve	ink	0	C
mssDE55	p1	L07	9	80	e	ink	0	C
mssDE55	p1	L07	10	428	des	ink	0	C
mssDE55	p1	L08	1	267	yache?	ink	0	M
mssDE55	p1	L08	2	976	.	ink	0	C
mssDE55	p1	L08	3	1188	Mr	ink	0	C
mssDE55	p1	L08	4	531	dela	ink	0	C
mssDE55	p1	L08	5	1066	fa	ink	0	C
mssDE55	p1	L08	6	931	y	ink	0	C
mssDE55	p1	L08	7	905	ette	ink	0	C
mssDE55	p1	L08	8	444	tc?	pencil	0	M
mssDE55	p1	L08	9	717	est	pencil	0	M
mssDE55	p1	L09	1	651	_	none	0	U
mssDE55	p1	L09	2	137	fr?	pencil	0	M
mssDE55	p1	L09	3	713	en	pencil	0	M
mssDE55	p1	L09	4	743	_	none	0	U
mssDE55	p1	L09	5	1137	_	none	0	U
mssDE55	p1	L09	6	163	_	none	0	U
mssDE55	p1	L09	7	317	_	none	0	U
mssDE55	p1	L09	8	24	_	none	0	U
mssDE55	p1	L09	9	173	_	none	0	U
mssDE55	p1	L09	10	402	avec	pencil	0	M
mssDE55	p1	L10	1	561	_	none	0	U
mssDE55	p1	L10	2	127	_	none	0	U
mssDE55	p1	L10	3	1151	de	pencil	0	M
mssDE55	p1	L10	4	94	_	none	0	U
mssDE55	p1	L10	5	1131	cent	pencil	0	M
mssDE55	p1	L10	6	863	hommes	pencil	0	M
mssDE55	p1	L10	7	1151	de	pencil	0	M
mssDE55	p1	L10	8	1092	_	none	0	U
mssDE55	p1	L10	9	444	te	pencil	0	M
mssDE55	p1	L11	1	1174	_	none	0	U
mssDE55	p1	L11	2	456	ils	pencil	0	M
mssDE55	p1	L11	3	1070	ser	pencil	0	M
mssDE55	p1	L11	4	331	a	pencil	0	M
mssDE55	p1	L11	5	583	_	none	0	U
mssDE55	p1	L11	6	122	_	none	0	U
mssDE55	p1	L11	7	357	_	none	0	U
mssDE55	p1	L11	8	832	vi	pencil	0	M
mssDE55	p1	L11	9	466	_	none	0	U
mssDE55	p1	L12	1	761	_	none	0	U
mssDE55	p1	L12	2	1151	de	pencil	0	M
mssDE55	p1	L12	3	56	_	none	0	U
mssDE55	p1	L12	4	1086	de	pencil	0	M
mssDE55	p1	L12	5	1111	onze	pencil	0	M
mssDE55	p1	L12	6	1131	cent	pencil	0	M
mssDE55	p1	L12	7	863	hommes	pencil	0	M
mssDE55	p1	L12	8	1086	de	pencil	0	M
mssDE55	p1	L12	9	895	_	none	0	U
mssDE55	p1	L12	10	603	_	none	0	U
mssDE55	p1	L13	1	52	ent?	pencil	0	M
mssDE55	p1	L13	2	636	_	none	0	U
mssDE55	p1	L13	3	563	_	none	0	U
mssDE55	p1	L13	4	903	de?	pencil	0	M
mssDE55	p1	L13	5	341	fre	pencil	0	M
mssDE55	p1	L13	6	981	ga	pencil	0	M
mssDE55	p1	L13	7	391	tes	pencil	0	M
mssDE55	p1	L13	8	729	_	none	0	U
mssDE55	p1	L13	9	346	ordres	pencil	0	M
mssDE55	p1	L13	10	608	d'	pencil	0	M
mssDE55	p2	L01	1	537	_	none	0	U
mssDE55	p2	L01	2	745	_	none	0	U
mssDE55	p2	L01	3	391	tes	pencil	0	M
mssDE55	p2	L01	4	202	a	pencil	0	M
mssDE55	p2	L01	5	40	_	none	0	U
mssDE55	p2	L01	6	331	a	pencil	0	M
mssDE55	p2	L01	7	643	_	none	0	U
mssDE55	p2	L01	8	367	_	none	0	U
mssDE55	p2	L01	9	953	_	none	0	U
mssDE55	p2	L01	10	381	le?	pencil	0	M
mssDE55	p2	L02	1	557	_	none	0	U
mssDE55	p2	L02	2	729	_	none	0	U
mssDE55	p2	L02	3	771	peu	pencil	0	M
mssDE55	p2	L02	4	553	_	none	0	U
mssDE55	p2	L02	5	153	_	none	0	U
mssDE55	p2	L02	6	846	venir?	pencil	0	M
mssDE55	p2	L02	7	725	les	pencil	0	M
mssDE55	p2	L02	8	697	_	none	0	U
mssDE55	p2	L02	9	626	r	pencil	0	M
mssDE55	p2	L02	10	525	ce	pencil	0	M
mssDE55	p2	L03	1	1070	ser	pencil	0	M
mssDE55	p2	L03	2	761	_	none	0	U
mssDE55	p2	L03	3	743	_	none	0	U
mssDE55	p2	L03	4	725	les	pencil	0	M
mssDE55	p2	L03	5	40	_	none	0	U
mssDE55	p2	L03	6	703	au	pencil	0	M
mssDE55	p2	L03	7	346	ordres	pencil	0	M
mssDE55	p2	L03	8	531	dela	pencil	0	M
mssDE55	p2	L03	9	1180	_	none	0	U
mssDE55	p2	L03	10	336	_	none	0	U
mssDE55	p2	L04	1	818	qui	pencil	0	M
mssDE55	p2	L04	2	227	_	none	0	U
mssDE55	p2	L04	3	355	ra	pencil	0	M
mssDE55	p2	L04	4	466	_	none	0	U
mssDE55	p2	L04	5	890	la	pencil	0	M
mssDE55	p2	L04	6	165	ba	pencil	0	M
mssDE55	p2	L04	7	361	_	none	0	U
mssDE55	p2	L04	8	248	_	none	0	U
mssDE55	p2	L04	9	940	.	pencil	0	M
mssDE55	p2	L04	10	757	_	none	0	U
mssDE55	p2	L05	1	650	che	pencil	0	M
mssDE55	p2	L05	2	745	_	none	0	U
mssDE55	p2	L05	3	553	_	none	0	U
mssDE55	p2	L05	4	501	_	none	0	U
mssDE55	p2	L05	5	500	_	none	0	U
mssDE55	p2	L05	6	408	l?	pencil	0	M
mssDE55	p2	L05	7	442	_	none	0	U
mssDE55	p2	L05	8	894	s?	pencil	0	M
mssDE55	p2	L05	9	1161	_	none	0	U
mssDE55	p2	L05	10	122	_	none	0	U
mssDE55	p2	L05	11	993	_	none	0	U
mssDE55	p2	L06	1	997	que	pencil	0	M
mssDE55	p2	L06	2	729	_	none	0	U
mssDE55	p2	L06	3	743	_	none	0	U
mssDE55	p2	L06	4	355	ra	pencil	0	M
mssDE55	p2	L06	5	385	port	pencil	0	M
mssDE55	p2	L06	6	595	_	none	0	U
mssDE55	p2	L06	7	561	_	none	0	U
mssDE55	p2	L06	8	103	ce	pencil	0	M
mssDE55	p2	L06	9	420	_	none	0	U
mssDE55	p2	L06	10	1076	_	none	0	U
mssDE55	p2	L07	1	1173	_	none	0	U
mssDE55	p2	L07	2	821	_	none	0	U
mssDE55	p2	L07	3	846	_	none	0	U
mssDE55	p2	L07	4	383	nos	pencil	0	M
mssDE55	p2	L07	5	645	_	none	0	U
mssDE55	p2	L07	6	713	en	pencil	0	M
mssDE55	p2	L07	7	1151	de	pencil	0	M
mssDE55	p2	L07	8	1018	_	none	0	U
mssDE55	p2	L07	9	214	is	pencil	0	M
mssDE55	p2	L07	10	490	_	none	0	U
mssDE55	p2	L08	1	642	ar	pencil	0	M
mssDE55	p2	L08	2	767	no	pencil	0	M
mssDE55	p2	L08	3	785	_	none	0	U
mssDE55	p2	L08	4	1169	_	none	0	U
mssDE55	p2	L08	5	1171	_	none	0	U
mssDE55	p2	L08	6	757	_	none	0	U
mssDE55	p2	L08	7	751	_	none	0	U
mssDE55	p2	L08	8	127	_	none	0	U
mssDE55	p2	L08	9	643	croi	pencil	0	M
mssDE55	p2	L08	10	935	_	none	0	U
mssDE55	p2	L08	11	915	ge	pencil	0	M
mssDE55	p2	L09	1	1038	_	none	0	U
mssDE55	p2	L09	2	1161	_	none	0	U
mssDE55	p2	L09	3	1171	_	none	0	U
mssDE55	p2	L09	4	1056	_	none	0	U
mssDE55	p2	L09	5	602	_	none	0	U
mssDE55	p2	L09	6	1193	ti	pencil	0	M
mssDE55	p2	L09	7	832	vi	pencil	0	M
mssDE55	p2	L09	8	444	te	pencil	0	M
mssDE55	p2	L09	9	1086	de	pencil	0	M
mssDE55	p2	L10	1	1159	vos	pencil	0	M
mssDE55	p2	L10	2	89	_	none	0	U
mssDE55	p2	L10	3	779	terre	pencil	0	M
mssDE55	p2	L10	4	682	_	none	0	U
mssDE55	p2	L10	5	234	_	none	0	U
mssDE55	p2	L10	6	739	l'	pencil	0	M
mssDE55	p2	L10	7	529	_	none	0	U
mssDE55	p2	L10	8	892	_	none	0	U
mssDE55	p2	L10	9	1135	_	none	0	U
mssDE55	p2	L10	10	939	_	none	0	U
mssDE55	p2	L11	1	149	re?	pencil	0	M
mssDE55	p2	L11	2	1197	_	none	0	U
mssDE55	p2	L11	3	480	ri	pencil	0	M
mssDE55	p2	L11	4	454	_	none	0	U
mssDE55	p2	L11	5	976	_	none	0	U
mssDE55	p2	L11	6	441	_	none	0	U
mssDE55	p2	L11	7	1102	_	none	0	U
mssDE55	p2	L11	8	848	_	none	0	U
mssDE55	p2	L11	9	1187	nul	pencil	0	M
