line	pos	code	marks_match	a_marks	b_marks
10	4	g	True	~	~
10	5	psi	True		
10	6	lam	True		
10	7	lam	True		
10	8	S	True		
10	9	[	True		
10	10	g	True		
10	11	Z	True		
10	12	]	True	o	o
10	13	m	True	5	5
10	14	nt	True		
10	15	rz	True		
10	16	nt	True	dot	dot
10	18	]	True	o	o
10	19	g	True		
10	20	m	True	~	~
10	21	g	True	7	7
10	22	bh	True		
10	23	S7	True		
10	24	g	True	#|7	#|7
10	25	lam	True		
10	26	H	True	1|o	1|o
11	3	U	True		
11	4	g	True	~	~
11	5	lam	True		
11	6	S7	True	~	~
11	7	e	False	#	
11	8	m	True	~	~
11	9	w	True		
11	11	nt	True		
11	12	rz	True		
11	13	g	True	~	~
11	15	lam	True		
11	16	nt	True	~	~
11	17	y	True		
11	18	p	True		
11	19	g	True	?	?
11	20	y	True	7	7
11	21	Z	True		
11	22	]	True	dot|ot	dot|ot
11	23	g	True		
11	24	y	True	5	5
11	25	S	True		
11	26	]	True	ot	ot
11	27	#	True	~	~
11	28	S7	True	#	#
12	4	Z	True	dot	dot
12	5	nt	True		
12	6	g	True	1	1
12	7	a	True	~	~
12	8	S7	True		
12	9	lam	True		
12	10	e	True	#	#
12	11	wd	True		
12	12	bh	True		
12	13	K	True		
12	15	tee	True		
12	16	v	True	1	1
12	17	y	True	5	5
12	18	]	True	o	o
12	19	rz	True		
12	20	S7	True	+	+
12	21	g	True	~	~
12	22	lam	True		
12	23	nt	True	~	~
12	24	y	True		
12	25	e	True		
12	27	m	True	~	~
12	28	g	True	7	7
12	29	bh	True		
13	1	rz	True	?|?|1	?|?|1
13	3	g	True	dot	dot
13	4	w	True		
13	5	S7	True		
13	6	o.	True		
13	7	rz	True		
13	8	g	True	1	1
13	10	w	True		
13	11	bh	True		
13	12	Z	True	?	?
13	13	g	True	~	~
13	14	sq	True	~	~
14	2	H	True	o|1	o|1
14	3	]	True	ot	ot
14	4	nt	True		
14	5	rz	True		
14	6	g	True	~	~
14	7	g	True	~	~
14	8	psi	True		
14	9	Lx	True		
14	11	lam	True	1	1
14	12	]	True	o	o
14	13	m	False	5	
14	14	nt	True		
14	15	rz	True		
14	16	nt	True		
14	17	phi	True		
14	18	S7	True	#	#
14	20	y	True		
14	21	y	True		
14	22	lam	True		
14	23	S4	True		
14	24	m	True		
14	25	a	True		
14	26	#	True		
15	8	S4	True		
15	9	e	True	dot|+	dot|+
15	10	a	True	5	5
15	11	e	True	#	#
15	12	S7	True	dot|+	dot|+
15	13	dl	True		
16	16	eps	True	1|1	1|1
16	24	eps	True		
17	1	S	True		
17	4	K	True		
17	5	a	True	1	1
17	6	S7	True		
17	7	eps	True	1	1
17	8	nt	True		
17	9	Z	True		
17	10	phi	True		
17	11	]	True	o	o
17	12	U	True		
17	13	w	True		
17	14	bh	True		
17	15	m	True	5	5
17	16	psi	True		
17	17	lam	True		
17	18	e	True	#	#
17	19	wd	True		
17	20	o.	True		
17	21	e	True	dot|+	dot|+
17	22	y	True	dot	dot
17	23	S4	True		
17	24	dl	True		
18	2	v	True	dot	dot
18	3	p	True		
18	4	w	True		
18	5	S4	True		
18	6	e	True	dot|+	dot|+
18	7	K	True		
18	9	w	True		
18	11	S7	True	#	#
18	12	eps	True	5	5
18	13	S7	True		
18	14	L	True		
18	15	w	True		
18	16	a	True	~	~
18	17	y	True		
18	18	S	True		
19	20	Lx	True		
19	21	U	True		
19	22	w	True		
19	23	bh	True		
19	24	a	True	~	~
19	26	]	True	o	o
19	27	e	True	ot	ot
