# Independent blind transcription pass A (RD03C, 25 Sept 2026), subagent session a2fc0b5b98c276e9c.
# Full raw hand-back, clauses B/D/E/F of images/2007a_nota_af_block.jpg aligned against 2007B's clean
# plaintext (scratch_2007b_nota_plain.txt). Kept verbatim for the record; only two positions (Eerste pos3
# "6"->s, Tweede pos1 "4"->w) were cross-checked against pass B and promoted to key.tsv grade C. Everything
# else here is single-pass and NOT asserted -- word segmentation disagrees with pass B in several places
# (heavy, inconsistent cipher/plaintext compression), see NOTES.md "Reading (VX-RD03C, 25 Sept 2026)".
line	pos	sign	gloss_word	conf
nota_pD_w2	1	[beak-loop]	Fregatten	medium
nota_pD_w2	2	[o-plain]	Fregatten	medium
nota_pD_w2	3	[o-plain]	Fregatten	medium
nota_pD_w2	4	c	Fregatten	high
nota_pD_w2	5	[loop9]	Fregatten	medium
nota_pD_w2	6	[delta]	Fregatten	high
nota_pD_w2	7	?	Fregatten	low
nota_pD_digit2	1	PLAIN-7	(numeral, before Koopvaerders)	high
nota_pD_w3	1	[b-lit]	Koopvaerders	high
nota_pD_w3	2	[hash]	Koopvaerders	high
nota_pD_w3	3	[tick]	Koopvaerders	low
nota_pD_w3	4	[q-loop]	Koopvaerders	medium
nota_pD_w3	5	[o-plain]	Koopvaerders	medium
nota_pD_w3	6	[delta]	Koopvaerders	medium
nota_pD_w3	7	[o-plain]	Koopvaerders	low
nota_pD_w3	8	y	Koopvaerders	medium
nota_pD_w3	9	0	Koopvaerders	low
nota_pD_w3	10	6	Koopvaerders	medium
nota_pD_digit3	1	PLAIN-2	(numeral, before brigantijnen)	high
nota_pD_w4	1	[d-flourish]	brigantijnen	medium
nota_pD_w4	2	[o-plain]	brigantijnen	medium
nota_pD_w4	3	[m-lit]	brigantijnen	high
nota_pD_w4	4	[delta]	brigantijnen	high
nota_pD_w4	5	[l-bare]	brigantijnen	medium
nota_pD_w4	6	[l-bare]	brigantijnen	low
nota_pD_w4	7	[d-flourish]	brigantijnen	low
nota_pD_w4	8	[l-bare]	brigantijnen	medium
nota_pD_w4	9	3	brigantijnen	high
nota_pD_w4	10	[h-loop]	brigantijnen	high
nota_pD_conn	1	&	(="en", before the numeral 1)	high
nota_pD_digit4	1	PLAIN-1	(numeral, before uytlegger)	high
nota_pD_w5	1	c	uytlegger	high
nota_pD_w5	2	[tick2]	uytlegger	low
nota_pD_w5	3	λ	uytlegger	high
nota_pD_w5	4	[q-loop]	uytlegger	medium
nota_pD_w5	5	3	uytlegger	high
nota_pD_w5	6	[loop9]	uytlegger	high
nota_pD_w5	7	[loop9]	uytlegger	high
nota_pD_w5	8	3	uytlegger	low
nota_pD_w5	9	[o-plain]	uytlegger	medium
nota_pE_w1	1	λ	Tweede	high
nota_pE_w1	2	4	Tweede	high
nota_pE_w1	3	3	Tweede	high
nota_pE_w1	4	[delta]	Tweede	medium
nota_pE_w1	5	[l-bare]	Tweede	medium
nota_pE_w1	6	3	Tweede	high
nota_pE_w2	1	[l-bare]	dispositie/van/een/koopvaardijschip (compressed span)	medium
nota_pE_w2	2	[b-lit]	"	medium
nota_pE_w2	3	[hash]	"	high
nota_pE_w2	4	[tick]	"	low
nota_pE_w2	5	[q-loop]	"	medium
nota_pE_w2	6	[o-plain]	"	medium
nota_pE_w2	7	[delta]	"	medium
nota_pE_w2	8	[x-cross]	"	medium
nota_pE_w2	9	[o-plain]	"	medium
nota_pE_w2	10	5	"	medium
nota_pE_w2	11	[t-lit]	"	medium
nota_pE_w3	1	[psi-trident]	minder	medium
nota_pE_w3	2	[gamma-hook]	minder	low
nota_pE_w3	3	[o-plain]	minder	low
nota_pE_w3	4	[f-lit]	minder	medium
nota_pE_w3	5	3	minder	medium
nota_pE_w4	1	ÿ	echter	medium
nota_pE_w4	2	[o-plain]	echter	medium
nota_pE_w4	3	[l-bare]	echter	medium
nota_pE_w4	4	y	echter	medium
nota_pE_w4	5	Ö	echter	medium
nota_pE_w4	6	3	echter	high
nota_pE_digit1	1	PLAIN-2	(numeral, before vlotbatterijen)	high
nota_pE_w5	1	5	vlotbatterijen	high
nota_pE_w5	2	[loop9]	vlotbatterijen	low
nota_pE_w5	3	[hash]	vlotbatterijen	high
nota_pE_w5	4	λ	vlotbatterijen	high
nota_pE_w5	5	[d-flourish]	vlotbatterijen	medium
nota_pE_w5	6	[delta]	vlotbatterijen	medium
nota_pE_w5	7	[r-lit]	vlotbatterijen	high
nota_pE_w5	8	[t-lit]	vlotbatterijen	high
nota_pE_w5	9	7	vlotbatterijen	high
nota_pE_w5	10	[l-bare]	vlotbatterijen	medium
nota_pE_w5	11	[hash]	vlotbatterijen	high
nota_pE_w5	12	[loop9]	vlotbatterijen	medium
nota_pE_w5	13	[loop9]	vlotbatterijen	medium
nota_pE_w5	14	[o-plain]	vlotbatterijen	medium
nota_pE_tail	1	?	op ligte ponten waarvan de Canons van elk Caliber (low zoom only)	low
nota_pE_wlast	1	9	zijn	low
nota_pE_wlast	2	0	zijn	low
nota_pE_wlast	3	3	zijn	medium
nota_pE_wlast	4	0	zijn	low
nota_pE_wlast	5	y	zijn	medium
nota_pE_wlast	6	[t-lit]	zijn	medium
nota_pE_wlast	7	[h-loop]	zijn	high
nota_pF_w1	1	[delta-hook]	Dispositie	low
nota_pF_w1	2	[m-lit]	Dispositie	medium
nota_pF_w1	3	6	Dispositie	medium
nota_pF_w1	4	[o-plain]	Dispositie	medium
nota_pF_w1	5	[hash]	Dispositie	medium
nota_pF_w1	6	[psi-trident]	Dispositie	medium
nota_pF_w1	7	8	Dispositie	medium
nota_pF_w1	8	λ	Dispositie	high
nota_pF_w1	9	[phi-loop]	Dispositie	low
nota_pF_w1	10	[ezh-dot]	Dispositie	medium
nota_pF_w2	1	[gamma-hook]	zo	low
nota_pF_w2	2	[hash]	zo	medium
nota_pF_w3	1	[delta]	als	high
nota_pF_w3	2	[loop9]	als	medium
nota_pF_w3	3	6	als	medium
nota_pF_w4	1	[o-plain]	de	low
nota_pF_w4	2	[ezh-dot]	de	low
nota_pF_w5	1	[psi-trident]	Scheepen	medium
nota_pF_w5	2	[gamma-hook]	Scheepen	low
nota_pF_w5	3	[ezh-dot]	Scheepen	medium
nota_pF_w5	4	[d-flourish]	Scheepen	low
nota_pF_w5	5	[delta]	Scheepen	low
nota_pF_w5	6	[loop9]	Scheepen	low
nota_pF_w5	7	λ	Scheepen	low
nota_pF_w6	1	λ	thans	high
nota_pF_w6	2	[d-flourish]	thans	medium
nota_pF_w6	3	[phi-loop]	thans	low
nota_pF_w6	4	[delta]	thans	high
nota_pF_w6	5	[h-loop]	thans	high
nota_pF_w6	6	6	thans	high
nota_pF_w7	1	[loop9]	leggen	medium
nota_pF_w7	2	[o-plain]	leggen	medium
nota_pF_w7	3	[eta-loop]	leggen	low
nota_pF_w7	4	[gamma-hook]	leggen	low
nota_pF_w7	5	[gamma-hook]	leggen	low
nota_pF_w7	6	λ	leggen	low
nota_pF_w8	1	[d-flourish]	behalven	low
nota_pF_w8	2	[l-bare]	behalven	low
nota_pF_w8	3	[o-plain]	behalven	low
nota_pF_w8	4	[delta]	behalven	medium
nota_pF_w8	5	[loop9]	behalven	medium
nota_pF_w8	6	[o-plain]	behalven	low
nota_pF_w8	7	[o-plain]	behalven	low
nota_pF_w8	8	λ	behalven	low
nota_pF_w9	1	[l-bare]	eene	low
nota_pF_w9	2	[delta]	eene	low
nota_pF_w9	3	[x-cross]	eene	low
nota_pF_w9	4	[o-plain]	eene	low
nota_pF_w10	1	[loop9]	Brigantijn	medium
nota_pF_w10	2	[hash]	Brigantijn	medium
nota_pF_w10	3	λ	Brigantijn	high
nota_pF_w10	4	[d-flourish]	Brigantijn	medium
nota_pF_w10	5	[delta]	Brigantijn	medium
nota_pF_w10	6	λ	Brigantijn	medium
nota_pF_w10	7	[r-lit]	Brigantijn	medium
nota_pF_w10	8	[t-lit]	Brigantijn	medium
nota_pF_w11	1	[l-bare]	en	low
nota_pF_w12	1	[f-lit]	eene	low
nota_pF_w12	2	3	eene	medium
nota_pF_w13	1	[delta]	vlotbatterij	medium
nota_pF_w13	2	[d-flourish]	vlotbatterij	low
nota_pF_w13	3	[loop9]	vlotbatterij	medium
nota_pF_w13	4	[b-lit]	vlotbatterij	medium
nota_pF_w13	5	[o-plain]	vlotbatterij	medium
nota_pF_w13	6	[o-plain]	vlotbatterij	medium
nota_pF_w13	7	[a-plain]	vlotbatterij	low
nota_pF_w13	8	λ	vlotbatterij	low
nota_pF_w14	1	[l-bare]	die	medium
nota_pF_w14	2	[f-lit]	die	medium
nota_pF_w14	3	3	die	high
nota_pF_w15	1	[delta]	afgekeurd	high
nota_pF_w15	2	[d-flourish]	afgekeurd	medium
nota_pF_w15	3	[loop9]	afgekeurd	high
nota_pF_w15	4	[a-plain]	afgekeurd	medium
nota_pF_w15	5	[b-lit]	afgekeurd	medium
nota_pF_w15	6	[o-plain]	afgekeurd	medium
nota_pF_w15	7	[o-plain]	afgekeurd	medium
nota_pF_w15	8	[a-plain]	afgekeurd	low
nota_pF_w15	9	λ	afgekeurd	low
nota_pF_w16	1	[gamma-hook]	zijn	low
nota_pF_w16	2	[t-lit]	zijn	low
nota_pF_w16	3	[h-loop]	zijn	high
