page	line	col	A	B	decision	note
05811_p2	05811_p2_L06	15	20	26	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L07	1	26	28	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L07	3	1	2	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L07	9	109	102	CROSS-PAGE	chosen 109 (other doc reads 109)
05811_p2	05811_p2_L08	1	35	55	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L08	6	79	78	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L08	7	61	62	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L10	8	11	1	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L10	17	01		GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L11	10	12	22	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L11	19	31	81	CROSS-PAGE	chosen 31 (other doc reads 31)
05811_p2	05811_p2_L12	6	37	33	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L13	10	114	119	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L13	15	14	19	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L13	17	70	30	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L14	3	37	77	CROSS-PAGE	chosen 37 (other doc reads 37)
05811_p2	05811_p2_L14	10	=S'r		GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L14	11	=Eschange	=sachez	M	clear-word disagreement, not attempted
05811_p2	05811_p2_L24	3	=Dordrecht		GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L24	6	=Apuril	=d'Apvril	M	clear-word disagreement, not attempted
05811_p2	05811_p2_L26	1	16	-	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L26	2	37	-	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L26	3	61	-	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L26	4	2	-	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L26	5	32	-	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L26	6	63	-	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L26	7	81	-	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L26	8	51	-	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L26	9	3	-	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L26	10	76	-	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L26	11	100	-	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L26	12	6	-	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L26	13	38	-	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L26	14	84	-	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L26	15	4	-	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L27	1		16	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L27	2	2	37	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L27	3	83	61	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L27	5	84	32	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L27	6	87	63	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L27	7	64	81	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L27	8	34	51	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L27	9	113	3	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L27	10	77	76	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L27	11	21	100	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L27	13	-	38	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L27	15	76	-	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L27	16	85	4	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L28	2	65	2	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L28	3	115	83	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L28	4	114	2	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L28	6	-	87	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L28	7	-	64	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L28	8	-	39	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L28	9	-	113	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L28	10	-	77	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L28	12	72	-	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L28	13	8	6	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L28	14	116	84	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L28	15	118	76	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L28	16	82	85	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L29	2	37	-	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L29	3	27	-	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L29	4	28	65	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L29	5	51	115	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L29	6	104	114	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L29	7	81	84	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L29	8	85	21	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L29	9	82	72	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L29	10	22	8	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L29	11	6	116	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L29	12	105	118	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L29	13	27	82	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L30	2	6	37	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L30	4	82	-	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L30	5	12	28	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L30	6	113	51	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L30	7	37	104	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L30	8	26	81	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L30	9	92	85	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L30	10	23	82	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L30	11	61	22	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L30	12	2	6	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L30	13	77	105	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L30	14	81	27	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L31	2	101	6	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L31	4	2	-	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L31	5	8	82	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L31	6	58	12	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L31	7	87	113	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L31	8	7	37	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L31	9	28	26	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L31	10	71	92	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L31	11	82	23	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L31	12	27	61	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L31	14	-	77	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L31	15	82	81	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L32	2	-	101	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L32	3	-	27	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L32	4	31	2	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L32	5	62	8	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L32	6	28	58	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L32	7	27	87	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L32	8	81	7	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L32	9	59	28	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L32	10	66	71	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L32	11	61	82	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L32	13	-	2	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L32	14	-	82	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L33	2	-	31	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L33	3	-	62	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L33	4	-	28	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L33	5	73	27	M	no structural or cross-page signal; needs image (blocker)
05811_p2	05811_p2_L33	7	-	59	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L33	8	-	66	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L33	9	-	61	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L34	1	-		GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L34	2	-	73	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L34	3	-	81	GAP	needs image, not attempted (resolution blocker)
05811_p2	05811_p2_L34	4	-	27	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L03	1	=ce	-	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L03	2	=ce	-	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L03	3	=jourdhuy	-	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L03	4	=matin	-	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L03	5	=mest	-	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L03	6	=venue	-	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L03	7	=une	-	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L03	8	=autre	-	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L03	9	=du	-	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L03	10	8e	-	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L04	8	91	81	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L04	11	91	81	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L04	16	9		GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L04	17	29	28	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L05	1	76	55	CROSS-PAGE	chosen 76 (other doc reads 76)
05811_p5	05811_p5_L05	4	54	94	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L05	6	109	100	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L05	14	5	6	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L05	17	63	83	CROSS-PAGE	chosen 63 (other doc reads 63)
05811_p5	05811_p5_L05	20	71	91	CROSS-PAGE	chosen 71 (other doc reads 71)
05811_p5	05811_p5_L06	11	28	20	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L06	15	64	84	CROSS-PAGE	chosen 64 (other doc reads 64)
05811_p5	05811_p5_L06	20	90	80	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L06	21	82	80	CROSS-PAGE	chosen 82 (other doc reads 82)
05811_p5	05811_p5_L07	2	85	87	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L07	10	90	50	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L07	19	90	80	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L08	1	129	125	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L08	12	29	35	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L08	20	=le	-	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L08	21	=bien	-	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L09	1	=de	-	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L09	2	=Franoix	-	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L09	3	=lestat	-	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L09	4	=tant	-	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L09	5	=de	-	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L09	6	=ma	-	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L09	7	=sante	-	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L09	8	=que	-	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L09	9	=de	-	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L09	10	=bos	-	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L09	11	=affaires	-	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L10	1	84	64	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L10	2	93	53	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L10	7	94	74	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L10	9	39	35	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L10	22	89	80	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L11	4	91	81	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L11	5	8	6	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L11	10	89	80	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L11	11	9	6	CROSS-PAGE	chosen 9 (other doc reads 9)
05811_p5	05811_p5_L12	5	89	80	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L12	6	90	50	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L12	12	62	82	CROSS-PAGE	chosen 62 (other doc reads 62)
05811_p5	05811_p5_L12	13	25	29	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L12	20	81	80	CROSS-PAGE	chosen 81 (other doc reads 81)
05811_p5	05811_p5_L13	5	89	80	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L14	2	8	5	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L14	10	9	0	STRUCTURAL	chosen 9
05811_p5	05811_p5_L14	12	37	39	CROSS-PAGE	chosen 37 (other doc reads 37)
05811_p5	05811_p5_L15	6	8	9	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L15	10	8	5	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L15	18	18	15	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L15	20	82	85	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L15	22	2	3	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L16	7	-	8	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L16	8	839	39	STRUCTURAL	chosen 39
05811_p5	05811_p5_L16	9	29	27	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L16	16	9	5	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L16	17	109	108	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L17	3	89	85	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L17	9	91	81	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L17	13	18	15	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L18	4	-	29	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L18	6	28	80	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L18	8	89	-	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L18	12	22	23	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L18	19	28	38	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L19	2	23	22	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L19	9	89	85	CROSS-PAGE	chosen 89 (other doc reads 89)
05811_p5	05811_p5_L19	11	109	100	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L19	17	135	130	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L19	19	9	-	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L20	8	89	85	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L20	15	93	53	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L20	20	89	99	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L20	24	8	85	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L21	4	92	82	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L21	17	92	32	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L21	21	=le	-	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L22	1	-	=le	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L22	7	89	80	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L22	12	93	83	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L22	15	92	02	STRUCTURAL	chosen 92
05811_p5	05811_p5_L22	18	28	26	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L22	20	90	76	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L23	1	93	83	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L23	8	94	84	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L24	3	109	100	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L24	9	27	29	CROSS-PAGE	chosen 27 (other doc reads 27)
05811_p5	05811_p5_L24	12	92	82	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L25	4	93	92	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L25	13	37	39	CROSS-PAGE	chosen 37 (other doc reads 37)
05811_p5	05811_p5_L25	19	18	15	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L25	22	9	-	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L26	4	37	39	CROSS-PAGE	chosen 37 (other doc reads 37)
05811_p5	05811_p5_L26	14	91	81	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L26	18	38	28	CROSS-PAGE	chosen 38 (other doc reads 38)
05811_p5	05811_p5_L27	16	29	-	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L27	17	90	20	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L28	1	92	82	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L28	12	89	99	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L28	14	9	8	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L28	21	113	11	CROSS-PAGE	chosen 113 (other doc reads 113)
05811_p5	05811_p5_L29	6	98	88	CROSS-PAGE	chosen 98 (other doc reads 98)
05811_p5	05811_p5_L29	14	37	39	CROSS-PAGE	chosen 37 (other doc reads 37)
05811_p5	05811_p5_L30	1	109	100	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L30	16	92	82	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L30	23	92	82	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L31	5	109	100	CROSS-PAGE	chosen 109 (other doc reads 109)
05811_p5	05811_p5_L31	16	91	81	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L31	23	109	100	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L32	12	-	8	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L32	14	117	119	CROSS-PAGE	chosen 117 (other doc reads 117)
05811_p5	05811_p5_L32	16	91	81	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L32	20	12	19	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L33	10	37	39	CROSS-PAGE	chosen 37 (other doc reads 37)
05811_p5	05811_p5_L33	20	92	82	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L33	22	92	82	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L33	23	12	19	CROSS-PAGE	chosen 12 (other doc reads 12)
05811_p5	05811_p5_L34	14	92	82	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L34	15	37	39	CROSS-PAGE	chosen 37 (other doc reads 37)
05811_p5	05811_p5_L35	4	92	82	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L35	14	91	81	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L36	3	37	39	CROSS-PAGE	chosen 37 (other doc reads 37)
05811_p5	05811_p5_L36	8	8	9	M	no structural or cross-page signal; needs image (blocker)
05811_p5	05811_p5_L36	12	37	39	CROSS-PAGE	chosen 37 (other doc reads 37)
05811_p5	05811_p5_L36	17	=Quant	-	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L36	18	=au	-	GAP	needs image, not attempted (resolution blocker)
05811_p5	05811_p5_L36	19	=Lieutenant	-	GAP	needs image, not attempted (resolution blocker)
