line	segment	group_index	tokens
f277r_C2	3	3	[hash] [spike]
f277r_C2	3	4	w n [tribar] ~
f277r_C2	4	1	~ [tribar] r
f277r_C2	4	2	[PLAIN:"?????ht the Crowne"]
f277v_L1	1	1	[PLAIN:"I know? se before y"] ~
f277v_L1	2	1	~ [PLAIN:"?y?"]
f277v_L1	2	2	[theta] [theta]
f277v_L1	2	3	z l [aster] r o g
f277v_L1	2	4	[dbar] ~
f277v_L1	3	1	~ [dbar]
f277v_L1	3	2	c l b o [theta] [eps] [pi2]
f277v_L1	3	3	Q 5 n
f277v_L1	3	4	D m ~

# legend: [eps] = an open, backward "3"/epsilon-like curl (a mirrored open "e", like a small Greek epsilon), distinct from the plain digit 3
# legend: [aster] = a dense, multi-stroke crossed/star mark (like a thick 5-6 point asterisk), heavier and more crossed than a plain letter x
# legend: [theta] = a circle bisected by a horizontal bar (like Greek theta)
# legend: [hash] = a plain crosshatch "#" (two verticals crossed by two horizontals)
# legend: [grid] = a denser crosshatch of three or more strokes, like a small lattice, heavier than [hash]
# legend: [box] = a closed square or rectangle shape
# legend: [dbltilde] = two stacked wavy horizontal squiggles, like a doubled tilde mark, drawn as its own symbol
# legend: [tribar] = three stacked short horizontal strokes
# legend: [dbar] = two stacked short horizontal strokes (like an equals sign), shorter than [tribar]
# legend: [pi2] = two vertical strokes joined by a horizontal bar at the top (like Greek capital Pi)
# legend: [tallyII] = two parallel vertical strokes with no joining top bar (like Roman numeral II)
# legend: [tally3] = three vertical tally strokes whose tops are linked by a light connecting stroke
# legend: [spike] = a tall vertical stroke topped with a point and crossed by a short stroke near its foot (like an arrow or dagger)
# legend: [delta] = a loop with a curling ascender/tail, like a script delta or a "d" merged with an extra loop
# legend: [gamma] = a right-angle hook shape (like Greek Gamma, or an upside-down L)
# legend: [lambda] = a check-mark/hook shape (like Greek lambda)
# legend: [infin] = a sideways figure-8 (infinity-sign shape), distinct from the digit 8
# legend: [loop-3] = a looping flourish resembling a stylized "2" or "3", used as its own initial glyph
# legend: [wavy-m] = an "m"-like shape drawn with an extra wavy squiggle beneath it
# legend: [s-hook] = a shape like a cursive "6" or an open "S"/"Ϛ"
# legend: [rev-l] = a mirrored/reversed "L" hook shape
# legend: [pi-sag] = a "W/M"-like shape whose middle stroke sags into a dip (three humps, middle one lower)
# legend: [amp] = an ampersand-like looping mark
# legend: [bar-above] = a straight horizontal stroke drawn over the base symbol
# legend: [bar-loop] = a horizontal stroke with a small loop/squiggle above it, drawn over the base symbol
# legend: [underline] = a straight horizontal line drawn beneath the base symbol
# legend: [dot-in] = a dot written inside a circular base symbol
# legend: [tick-above] = a small diagonal tick/accent above the base symbol
# legend: [x-above] = a small "x" mark drawn above the base symbol
# note: f277r_L1 s1-s2 read as ordinary cursive handwriting distinct in character from the cipher body that follows in s3-s4; possibly a later archival/docket annotation (numerals plus words that may read "offerte", "agro"); this reading is very uncertain and may not even be English.
# note: plaintext stretches at f277r_L4 s3, f277r_C1 s1-s2, f277r_B3 s2, f277r_C2 s4, f277v_L1 s1-s2 are faint and/or in a difficult cursive hand; letters marked "?" are genuinely illegible rather than tentative guesses, and even the non-"?" letters in these stretches carry real uncertainty.
# note: f277r_C2 s1's group is crossed out with a single horizontal stroke through the whole cluster in the manuscript; recorded with [struck] as its first token.
# note: rare glyph codes used only once or twice ([pi-sag], [wavy-m], [s-hook], [rev-l], [amp], [loop-3], [box], [grid]) have lower-confidence identifications than the frequently repeated ones ([eps], [aster], [theta], [delta], [hash], [tribar]/[dbar]).
# note: ink is faint and image resolution limits precision throughout; densely packed clusters (e.g. f277r_L2 s1 group 3, f277r_C1 s1 group 1, f277r_L3 s1 group 2) may contain a misidentified or omitted glyph or two.
# note: at the top of f277r_L1 s4 a faint marginal foliation number ("277") with cancelled marks above the transcribed line was visible; excluded as it belongs to a line/annotation above the one being transcribed, not to f277r_L1 itself.
# note: connecting flourish strokes (short dashes linking adjacent letters within a cluster, e.g. between two "o" shapes) were treated as ligatures/pen-lifts and not tokenized separately unless they looked like a deliberate mark on a specific letter.
