line	pos	group	plain
f226v_C10	1	_91	du
f226v_C10	2	9	go
f226v_C10	3	rr	u
f226v_C10	4	75	ue
f226v_C10	5	X	r
f226v_C10	6	39	ne
f226v_C10	7	81	nt
f226v_C10	8	_88	de
f226v_C10	9	40	ni
f226v_C10	10	75	ue
f226v_C10	11	X	r
f226v_C10	12	41	no
f226v_C11	1	~	i
f226v_C11	2	Z	s
f226v_C11	3	65	le
f226v_C11	4	v	t
f226v_C11	5	62	ro
f226v_C11	6	rr	u
f226v_C11	7	75	ue
f226v_C11	8	59	ra
f226v_C11	9	_100	fo
f226v_C11	10	X	r
f226v_C11	11	71	t
f226v_C11	12	m	i
f226v_C12	1	_99	fi
f226v_C12	2	9_	e
f226v_C12	3	_91	du
f226v_C12	4	39	ne
f226v_C12	5	50	po
f226v_C12	6	Z	s
f226v_C12	7	65	se
f226v_C12	8	2#	s
f226v_C12	9	66	si
f226v_C12	10	q	o
f226v_C12	11	y_	n
f226v_C12	12	102	0
f226v_C13	1	31	ma
f226v_C13	2	~	i
f226v_C13	3	y_	n
f226v_C13	4	70	te
f226v_C13	5	42	nu
f226v_C13	6	9_	e
f226v_C13	7	_88	de
f226v_C13	8	51	pu
f226v_C13	9	~	i
f226v_C13	10	Z	s
f226v_C14	1	67	so
f226v_C14	2	y_	n
f226v_C14	3	w	a
f226v_C14	4	y	b
f226v_C14	5	65	se
f226v_C14	6	y_	n
f226v_C14	7	_82	ce
f226v_C14	8	_91	du
f226v_C14	9	62	ro
f226v_C14	10	h_	y
f226v_C14	11	_71	au
f226v_C14	12	32	me
f227r_C01	1	54	qua
f227r_C01	2	y_	n
f227r_C01	3	v	t
f227r_C01	4	_71	au
f227r_C01	5	L	d
f227r_C01	6	62	ro
f227r_C01	7	~	i
f227r_C01	8	d	c
f227r_C01	9	v	t
f227r_C02	1	9_	e
f227r_C02	2	y_	n
f227r_C02	3	_91	fa
f227r_C02	4	75	ue
f227r_C02	5	rr	u
f227r_C02	6	X	r
f227r_C02	7	_92	des
f227r_C02	8	_91	du
f227r_C02	9	d	c
f227r_C02	10	9	s
f227r_C02	11	_88	de
f227r_C03	1	40	ni
f227r_C03	2	75	ue
f227r_C03	3	X	r
f227r_C03	4	41	no
f227r_C03	5	~	i
f227r_C03	6	Z	s
f227r_C03	7	56	qui
f227r_C03	8	ff	l
f227r_C03	9	65	se
f227r_C03	10	62	ro
f227r_C03	11	~	i
f227r_C03	12	v	t
f227r_C04	1	~	i
f227r_C04	2	y	m
f227r_C04	3	50	po
f227r_C04	4	Z	s
f227r_C04	5	66	si
f227r_C04	6	y	b
f227r_C04	7	24	le
f227r_C04	8	_88	de
f227r_C04	9	24	le
f227r_C04	10	32	me
f227r_C04	11	v	t
f227r_C04	12	x	t
f227r_C04	13	60	re
f227r_C05	1	9_	e
f227r_C05	2	y_	n
f227r_C05	3	_90	do
f227r_C05	4	rr	u
f227r_C05	5	y	b
f227r_C05	6	70	te
f227r_C05	7	_94	0
f227r_C05	8	w	a
f227r_C05	9	~	i
f227r_C05	10	y_	n
f227r_C05	11	66	sy
f227r_C05	12	9_	e
f227r_C05	13	y_	n
f227r_C06	1	23	la
f227r_C06	2	48	pe
f227r_C06	3	y_	n
f227r_C06	4	65	se
f227r_C06	5	9_	e
f227r_C06	6	_88	de
f227r_C06	7	24	le
f227r_C06	8	75	ua
f227r_C06	9	y_	n
f227r_C06	10	L	d
f227r_C06	11	60	re
f227r_C07	1	80	uo
f227r_C07	2	31	s
f227r_C07	3	18	t
f227r_C07	4	Z	re
f227r_C07	5	70	Mate
f227r_C07	6	v	t
f227r_C07	7	62	ro
f227r_C07	8	rr	u
f227r_C07	9	75	ue
f227r_C07	10	62	ro
f227r_C07	11	~	i
f227r_C07	12	v	t
f227r_C08	1	_88	de
f227r_C08	2	23	la
f227r_C08	3	89	di
f227r_C08	4	w	f
f227r_C08	5	_99	fi
f227r_C08	6	85	cu
f227r_C08	7	ff	l
f227r_C08	8	70	te
f227r_C08	9	31	ma
f227r_C08	10	~	i
f227r_C08	11	Z	s
f227r_C09	1	52	pour
f227r_C09	2	65	se
f227r_C09	3	24	le
f227r_C09	4	_86	con
f227r_C09	5	65	se
f227r_C09	6	X	r
f227r_C09	7	75	ue
f227r_C09	8	X	r
f227r_C09	9	22	il
f227r_C09	10	h_	y
f227r_C09	11	w	a
f227r_C10	1	rr	u
f227r_C10	2	y_	n
f227r_C10	3	9_	e
f227r_C10	4	m+	x
f227r_C10	5	9_	e
f227r_C10	6	>	m
f227r_C10	7	oo	p
f227r_C10	8	24	le
f227r_C10	9	56	u
f227r_C10	10	5	ifait
f227r_C10	11	52	po
f227r_C10	12	103	ur
f227r_C11	1	9_	e
f227r_C11	2	ff	l
f227r_C11	3	24	le
f227r_C11	4	9_	e
f227r_C11	5	y_	n
f227r_C11	6	_82	ce
f227r_C11	7	55	que
f227r_C11	8	26	ero
f227r_C11	9	h_	y
f227r_C11	10	w	a
f227r_C11	11	h_	y
f227r_C11	12	o	a
f227r_C12	1	y_	n
f227r_C12	2	v	t
f227r_C12	3	_71	au
f227r_C12	4	v	t
f227r_C12	5	60	re
f227r_C12	6	_100	fo
f227r_C12	7	~	i
f227r_C12	8	Z	s
f227r_C12	9	52	pour
f227r_C12	10	75	ue
f227r_C12	11	rr	u
f227r_C13	1	_71	au
f227r_C13	2	_91	du
f227r_C13	3	d	c
f227r_C13	4	_88	de
f227r_C13	5	39	ne
f227r_C13	6	75	ue
f227r_C13	7	X	r
f227r_C13	8	Z	s
f227r_C13	9	103	0
f227r_C13	10	102	0
f227r_C14	1	_88	de
f227r_C14	2	28	luy
f227r_C14	3	oo	p
f227r_C14	4	62	ro
f227r_C14	5	32	me
f227r_C14	6	v	t
f227r_C14	7	x	t
f227r_C14	8	60	re
f227r_C14	9	24	le
f227r_C14	10	60	re
f227r_C14	11	oo	g
f227r_C14	12	60	re
f227r_C14	13	Z	s
