# rah-canada-1869 cipher lines as read by the aligner (R8) from the page images; generated by build_align.py.
# sign: glyphs/atlas.md codes; / = word break, . , = punctuation (not tokens)
line	idx	sign	conf
p302_c06	27	4	
p302_c06	28	[loopn]	
p302_c06	29	[circledot]	
p302_c06	30	[loopn]	
p302_c06	31	[bigloop]	
p302_c06	32	9	
p302_c07	0	9	
p302_c07	1	[g06]	
p302_c07	2	[g01]	
p302_c07	3	[plus]	
p302_c07	4	[g03]	
p302_c07	5	[cross]	
p302_c07	6	7	
p302_c07	7	9	
p302_c07	8	/	
p302_c07	9	[loopn]	
p302_c07	10	/	
p302_c07	11	[g01]	
p302_c07	12	[cross]	
p302_c07	13	/	
p302_c07	14	[g05]	
p302_c07	15	[loopn]	
p302_c07	16	[dot]	
p302_c07	17	6	
p302_c07	18	7	
p302_c07	19	[dash]	
p302_c07	20	[cross]	
p302_c07	21	[circledot]	
p302_c07	22	[loopn]	
p302_c07	23	[dot]	
p302_c07	24	/	
p302_c07	25	[g07]	
p302_c07	26	/	
p302_c07	27	[g06]	
p302_c07	28	[cross]	
p302_c07	29	[plus]	
p302_c07	30	3	
p302_c07	31	/	
p302_c07	32	[loopn]	
p302_c07	33	0	
p302_c07	34	7	
p302_c07	35	[g02]	
p302_c07	36	9	
p302_c08	0	[plus]	
p302_c08	1	[circledot]	
p302_c08	2	/	
p302_c08	3	[dash]	
p302_c08	4	9	
p302_c08	5	3	
p302_c08	6	[bigloop]	
p302_c08	7	[plus]	
p302_c08	8	/	
p302_c08	9	[bigloop]	
p302_c08	10	[plus]	
p302_c08	11	/	
p302_c08	12	[circledot]	
p302_c08	13	[loopn]	
p302_c08	14	/	
p302_c08	15	[dash]	
p302_c08	16	[loopn]	
p302_c08	17	4	
p302_c08	18	[loopn]	
p302_c08	19	[bigloop]	
p302_c08	20	[loopn]	
p302_c09	0	[g01]	
p302_c09	1	[plus]	
p302_c09	2	4	
p302_c09	3	9	
p302_c09	4	[dot]	
p302_c09	5	[loopn]	
p302_c10	0	6	
p302_c10	1	[plus]	
p302_c10	2	3	
p302_c10	3	[g02]	
p302_c10	4	9	
p302_c10	5	/	
p302_c10	6	[plus]	
p302_c10	7	[circledot]	
p302_c10	8	/	
p302_c10	9	0	
p302_c10	10	[loopn]	
p302_c10	11	[g01]	
p302_c10	12	/	
p302_c10	13	[loopn]	
p302_c10	14	[circledot]	
p302_c10	15	6	
p302_c10	16	9	
p302_c10	17	/	
p302_c10	18	[g04]	
p302_c10	19	9	
p302_c10	20	3	
p302_c10	21	9	
p302_c10	22	[dot]	
p302_c10	23	/	
p302_c10	24	[plus]	
p302_c10	25	3	
p302_c10	26	/	
p302_c10	27	[equals]	
p302_c10	28	[plus]	
p302_c10	29	[circledot]	
p302_c10	30	7	
p302_c10	31	[dash]	
p302_c10	32	7	
p302_c10	33	6	
p302_c10	34	[loopn]	
p302_c10	35	[dot]	
p302_c11	0	0	
p302_c11	1	[cross]	
p302_c11	2	[g07]	
p302_c11	3	/	
p302_c11	4	[dash]	
p302_c11	5	9	
p302_c11	6	[dot]	
p302_c11	7	[bigloop]	
p302_c11	8	7	
p302_c11	9	[loopn]	
p302_c11	10	[circledot]	
p302_c11	11	0	
p302_c11	12	[plus]	
p302_c11	13	3	
p302_c11	14	6	
p302_c11	15	[plus]	
p302_c11	16	/	
p302_c11	17	[loopn]	
p302_c11	18	/	
p302_c11	19	5	
p302_c11	20	[cross]	
p302_c11	21	[plus]	
p302_c11	22	[g01]	
p302_c11	23	6	
p302_c11	24	[dot]	
p302_c11	25	[loopn]	
p302_c11	26	/	
p302_c11	27	0	
p302_c11	28	[loopn]	
p302_c11	29	[g02]	
p302_c11	30	[plus]	
p302_c11	31	[g01]	
p302_c11	32	6	
p302_c11	33	[loopn]	
p302_c11	34	[bigloop]	
p302_c12	0	[plus]	
p302_c12	1	3	
p302_c12	2	/	
p302_c12	3	[plus]	
p302_c12	4	[circledot]	
p302_c12	5	/	
p302_c12	6	[bigloop]	
p302_c12	7	7	
p302_c12	8	[loopn]	
p302_c12	9	/	
p302_c12	10	[bigloop]	
p302_c12	11	[plus]	
p302_c12	12	/	
p302_c12	13	[g01]	
p302_c12	14	[cross]	
p302_c12	15	,	
p302_c12	16	/	
p302_c12	17	[g01]	
p302_c12	18	[loopn]	
p302_c12	19	3	
p302_c12	20	6	
p302_c12	21	9	
p302_c12	22	.	
p302_c12	23	/	
p302_c12	24	[dot]	
p302_c12	25	[plus]	
p302_c12	26	7	
p302_c12	27	6	
p302_c12	28	[plus]	
p302_c12	29	[dot]	
p302_c12	30	[loopn]	
p302_c12	31	3	
p302_c12	32	[bigloop]	
p302_c12	33	9	
p302_c12	34	/	
p302_c12	35	[g03]	
p302_c12	36	[cross]	
p302_c12	37	[plus]	
p302_c12	38	/	
p302_c12	39	[plus]	
p302_c12	40	[circledot]	
p302_c13	0	[plus]	
p302_c13	1	3	
p302_c13	2	/	
p302_c13	3	[g03]	
p302_c13	4	[cross]	
p302_c13	5	[plus]	
p302_c13	6	/	
p302_c13	7	[g05]	
p302_c13	8	[cross]	
p302_c13	9	[plus]	
p302_c13	10	[bigloop]	
p302_c13	11	[loopn]	
p302_c13	12	/	
p302_c13	13	[g04]	
p302_c13	14	[loopn]	
p302_c13	15	[dash]	
p302_c13	16	[plus]	
p302_c13	17	[dot]	
p302_c13	18	[circledot]	
p302_c13	19	9	
p302_c13	20	/	
p302_c13	21	[plus]	
p302_c13	22	3	
p302_c13	23	/	
p302_c13	24	[plus]	
p302_c13	25	[g01]	
p302_c13	26	6	
p302_c13	27	[plus]	
p302_c13	28	/	
p302_c13	29	[g05]	
p302_c13	30	[loopn]	
p302_c13	31	7	
p302_c13	32	[g01]	
p302_c13	33	/	
p302_c13	34	[g07]	
p302_c13	35	/	
p302_c13	36	[g01]	
p302_c13	37	[plus]	
p302_c13	38	3	
p302_c14	0	6	
p302_c14	1	[loopn]	
p302_c14	2	[bigloop]	
p302_c14	3	[loopn]	
p302_c14	4	/	
p302_c14	5	5	
p302_c14	6	[cross]	
p302_c14	7	[plus]	
p302_c14	8	[g01]	
p302_c14	9	6	
p302_c14	10	[dot]	
p302_c14	11	[loopn]	
p302_c14	12	/	
p302_c14	13	0	
p302_c14	14	[loopn]	
p302_c14	15	[g02]	
p302_c14	16	[plus]	
p302_c14	17	[g01]	
p302_c14	18	6	
p302_c14	19	[loopn]	
p302_c14	20	[bigloop]	
p302_c14	21	/	
p302_c14	22	[plus]	
p302_c14	23	3	
p302_c14	24	/	
p302_c14	25	[plus]	
p302_c14	26	[circledot]	
p302_c14	27	/	
p302_c14	28	6	
p302_c14	29	[dot]	
p302_c14	30	9	
p302_c14	31	3	
p302_c14	32	9	
p302_c14	33	/	
p302_c14	34	[bigloop]	
p302_c14	35	[plus]	
p302_c15	0	[g01]	
p302_c15	1	[loopn]	
p302_c15	2	3	
p302_c15	3	/	
p302_c15	4	[equals]	
p302_c15	5	[plus]	
p302_c15	6	[dot]	
p302_c15	7	3	
p302_c15	8	[loopn]	
p302_c15	9	3	
p302_c15	10	[bigloop]	
p302_c15	11	9	
p302_c15	12	/	
p302_c15	13	[g01]	
p302_c15	14	[plus]	
p302_c15	15	[dot]	
p302_c15	16	[loopn]	
p302_c15	17	/	
p302_c15	18	[plus]	
p302_c15	19	[circledot]	
p302_c15	20	/	
p302_c15	21	0	
p302_c15	22	[loopn]	
p302_c15	23	[g01]	
p302_c15	24	/	
p302_c15	25	[equals]	
p302_c15	26	[plus]	
p302_c15	27	[circledot]	
p302_c15	28	7	
p302_c15	29	[loopm]	
p302_c15	30	/	
p302_c15	31	[bigloop]	
p302_c15	32	[plus]	
p302_c16	0	0	
p302_c16	1	7	
p302_c16	2	/	
p302_c16	3	5	
p302_c16	4	7	
p302_c16	5	[bigloop]	
p302_c16	6	[loopn]	
p302_c17	0	0	
p302_c17	1	[plus]	
p302_c17	2	/	
p302_c17	3	[g05]	
p302_c17	4	[plus]	
p302_c17	5	[dot]	
p302_c17	6	0	
p302_c17	7	7	
p302_c17	8	6	
p302_c17	9	9	
p302_c17	10	/	
p302_c17	11	7	
p302_c17	12	3	
p302_c17	13	[bigloop]	
p302_c17	14	7	
p302_c17	15	[dash]	
p302_c17	16	[loopn]	
p302_c17	17	[dot]	
p302_c17	18	/	
p302_c17	19	[dot]	
p302_c17	20	[plus]	
p302_c17	21	[g01]	
p302_c17	22	[g05]	
p302_c17	23	[plus]	
p302_c17	24	6	
p302_c17	25	[cross]	
p302_c17	26	9	
p302_c17	27	[g01]	
p302_c17	28	[loopn]	
p302_c17	29	0	
p302_c17	30	[plus]	
p302_c17	31	3	
p302_c17	32	6	
p302_c17	33	[plus]	
p302_c17	34	/	
p302_c17	35	[loopn]	
p302_c18	0	5	
p302_c18	1	[cross]	
p302_c18	2	[plus]	
p302_c18	3	[g01]	
p302_c18	4	6	
p302_c18	5	[dot]	
p302_c18	6	[loopn]	
p302_c18	7	/	
p302_c18	8	0	
p302_c18	9	[loopn]	
p302_c18	10	[g02]	
p302_c18	11	[plus]	
p302_c18	12	[g01]	
p302_c18	13	6	
p302_c18	14	[loopn]	
p302_c18	15	[bigloop]	
p302_c18	16	/	
p302_c18	17	[g03]	
p302_c18	18	[cross]	
p302_c18	19	[g09]	
p302_c18	20	/	
p302_c18	21	[g02]	
p302_c18	22	[loopn]	
p302_c18	23	3	
p302_c18	24	[loopn]	
p302_c18	25	/	
p302_c18	26	[g05]	
p302_c18	27	9	
p302_c18	28	[dot]	
p302_c18	29	/	
p302_c18	30	0	
p302_c18	31	9	
p302_c18	32	0	
p302_c18	33	[plus]	
p302_c18	34	3	
p302_c18	35	6	
p302_c18	36	9	
p302_c18	37	[g01]	
p302_c19	0	[circledot]	
p302_c19	1	[loopn]	
p302_c19	2	/	
p302_c19	3	7	
p302_c19	4	[bigloop]	
p302_c19	5	[plus]	
p302_c19	6	[loopn]	
p302_c19	7	/	
p302_c19	8	[bigloop]	
p302_c19	9	[plus]	
p302_c19	10	/	
p302_c19	11	[circledot]	
p302_c19	12	[loopn]	
p302_c19	13	/	
p302_c19	14	2	
p302_c19	15	[cross]	
p302_c19	16	[g01]	
p302_c19	17	6	
p302_c19	18	7	
p302_c19	19	[g01]	
p302_c19	20	7	
p302_c19	21	0	
p302_c19	22	[loopn]	
p302_c19	23	/	
p302_c19	24	[dot]	
p302_c19	25	[plus]	
p302_c19	26	[g01]	
p302_c19	27	6	
p302_c19	28	[loopn]	
p302_c19	29	[cross]	
p302_c19	30	[dot]	
p302_c19	31	[loopn]	
p302_c19	32	[dash]	
p302_c19	33	7	
p302_c19	34	9	
p302_c19	35	3	
p302_c20	0	[g07]	
p302_c20	1	/	
p302_c20	2	[g03]	
p302_c20	3	[cross]	
p302_c20	4	[plus]	
p302_c20	5	/	
p302_c20	6	3	
p302_c20	7	[loopn]	
p302_c20	8	[bigloop]	
p302_c20	9	7	
p302_c20	10	[plus]	
p302_c20	11	/	
p302_c20	12	0	
p302_c20	13	[plus]	
p302_c20	14	/	
p302_c20	15	[loopn]	
p302_c20	16	5	
p302_c20	17	[plus]	
p302_c20	18	3	
p302_c20	19	6	
p302_c20	20	[loopn]	
p302_c20	21	2	
p302_c20	22	[loopn]	
p302_c20	23	/	
p302_c20	24	[plus]	
p302_c20	25	3	
p302_c20	26	/	
p302_c20	27	[bigloop]	
p302_c20	28	[plus]	
p302_c20	29	[g01]	
p302_c20	30	[plus]	
p302_c20	31	9	
p302_c20	32	[g01]	
p302_c20	33	/	
p302_c20	34	[bigloop]	
p302_c20	35	[plus]	
p302_c21	0	[g01]	
p302_c21	1	[plus]	
p302_c21	2	[dot]	
p302_c21	3	/	
p302_c21	4	[cross]	
p302_c21	5	3	
p302_c21	6	9	
p302_c21	7	/	
p302_c21	8	[bigloop]	
p302_c21	9	[plus]	
p302_c21	10	/	
p302_c21	11	[circledot]	
p302_c21	12	9	
p302_c21	13	[g01]	
p302_c21	14	/	
p302_c21	15	[g05]	
p302_c21	16	[dot]	
p302_c21	17	7	
p302_c21	18	0	
p302_c21	19	[plus]	
p302_c21	20	[dot]	
p302_c21	21	9	
p302_c21	22	[g01]	
p302_c21	23	/	
p302_c21	24	[g03]	
p302_c21	25	[cross]	
p302_c21	26	[plus]	
p302_c21	27	/	
p302_c21	28	[g01]	
p302_c21	29	[plus]	
p302_c21	30	/	
p302_c21	31	2	
p302_c21	32	[cross]	
p302_c21	33	[plus]	
p302_c21	34	[g02]	
p302_c21	35	[cross]	
p302_c21	36	[plus]	
p302_c21	37	3	
p303_c22	0	[g01]	
p303_c22	1	[cross]	
p303_c22	2	/	
p303_c22	3	5	
p303_c22	4	7	
p303_c22	5	[bigloop]	
p303_c22	6	[loopn]	
p303_c22	7	/	
p303_c22	8	[g05]	
p303_c22	9	9	
p303_c22	10	[dot]	
p303_c22	11	/	
p303_c22	12	[circledot]	
p303_c22	13	[circledot]	
p303_c22	14	[plus]	
p303_c22	15	5	
p303_c22	16	[loopn]	
p303_c22	17	[dot]	
p303_c22	18	[circledot]	
p303_c22	19	[loopn]	
p303_c22	20	/	
p303_c22	21	[loopn]	
p303_c22	22	/	
p303_c22	23	[equals]	
p303_c22	24	[plus]	
p303_c22	25	[circledot]	
p303_c22	26	7	
p303_c22	27	[loopm]	
p303_c22	28	/	
p303_c22	29	6	
p303_c22	30	[plus]	
p303_c22	31	[dot]	
p303_c22	32	0	
p303_c22	33	7	
p303_c22	34	3	
p303_c22	35	9	
p303_c23	0	[g01]	
p303_c23	1	[plus]	
p303_c23	2	4	
p303_c23	3	9	
p303_c23	4	[dot]	
p303_c23	5	[loopn]	
p303_c24	0	[loopn]	
p303_c24	1	[circledot]	
p303_c24	2	9	
p303_c24	3	[g01]	
p303_c24	4	/	
p303_c24	5	[dot]	
p303_c24	6	[plus]	
p303_c24	7	[loopn]	
p303_c24	8	[circledot]	
p303_c24	9	[plus]	
p303_c24	10	[plus]	
p303_c24	11	[g01]	
p303_c24	12	/	
p303_c24	13	[g05]	
p303_c24	14	7	
p303_c24	15	[plus]	
p303_c24	16	[g01]	
p303_c24	17	/	
p303_c24	18	[bigloop]	
p303_c24	19	[plus]	
p303_c24	20	/	
p303_c24	21	5	
p303_c24	22	[cross]	
p303_c24	23	[plus]	
p303_c24	24	[g01]	
p303_c24	25	6	
p303_c24	26	[dot]	
p303_c24	27	[loopn]	
p303_c24	28	[g01]	
p303_c25	0	0	
p303_c25	1	[loopn]	
p303_c25	2	[g02]	
p303_c25	3	[plus]	
p303_c25	4	[g01]	
p303_c25	5	6	
p303_c25	6	[loopn]	
p303_c25	7	[bigloop]	
p303_c25	8	[plus]	
p303_c25	9	[g01]	
p303_c25	10	/	
p303_c25	11	[g07]	
p303_c25	12	/	
p303_c25	13	[dot]	
p303_c25	14	[plus]	
p303_c25	15	[loopn]	
p303_c25	16	[circledot]	
p303_c25	17	/	
p303_c25	18	[equals]	
p303_c25	19	[loopn]	
p303_c25	20	0	
p303_c25	21	7	
p303_c25	22	[circledot]	
p303_c25	23	7	
p303_c25	24	[loopn]	
p303_c25	25	/	
p303_c25	26	[dash]	
p303_c25	27	9	
p303_c25	28	3	
p303_c25	29	/	
p303_c25	30	[plus]	
p303_c25	31	[circledot]	
p303_c26	0	0	
p303_c26	1	[loopn]	
p303_c26	2	[g01]	
p303_c26	3	/	
p303_c26	4	[g05]	
p303_c26	5	[dot]	
p303_c26	6	9	
p303_c26	7	[equals]	
p303_c26	8	[cross]	
p303_c26	9	3	
p303_c26	10	[bigloop]	
p303_c26	11	9	
p303_c26	12	/	
p303_c26	13	[dot]	
p303_c26	14	[plus]	
p303_c26	15	[g01]	
p303_c26	16	[g05]	
p303_c26	17	[plus]	
p303_c26	18	6	
p303_c26	19	9	
p303_c26	20	/	
p303_c26	21	[g07]	
p303_c26	22	/	
p303_c26	23	5	
p303_c26	24	[plus]	
p303_c26	25	3	
p303_c26	26	[plus]	
p303_c26	27	[dot]	
p303_c26	28	[loopn]	
p303_c26	29	[dash]	
p303_c26	30	7	
p303_c26	31	9	
p303_c26	32	3	
