# plaintext letter each cipher sign is aligned to (abbreviations expanded as enciphered); generated by build_align.py
line	pos	value
p303_c22	35	o
p303_c23	0	s
p303_c23	1	e
p303_c23	2	ñ
p303_c23	3	o
p303_c23	4	r
p303_c23	5	a
p303_c24	0	a
p303_c24	1	l
p303_c24	2	o
p303_c24	3	s
p303_c24	5	r
p303_c24	6	e
p303_c24	7	a
p303_c24	8	l
p303_c24	9	e
p303_c24	11	s
p303_c24	13	p
p303_c24	14	i
p303_c24	15	e
p303_c24	16	s
p303_c24	18	d
p303_c24	19	e
p303_c24	21	v
p303_c24	22	u
p303_c24	23	e
p303_c24	24	s
p303_c24	25	t
p303_c24	26	r
p303_c24	27	a
p303_c24	28	s
p303_c25	0	m
p303_c25	1	a
p303_c25	2	g
p303_c25	3	e
p303_c25	4	s
p303_c25	5	t
p303_c25	6	a
p303_c25	7	d
p303_c25	8	e
p303_c25	9	s
p303_c25	11	y
p303_c25	13	r
p303_c25	14	e
p303_c25	15	a
p303_c25	16	l
p303_c25	18	f
p303_c25	19	a
p303_c25	20	m
p303_c25	21	i
p303_c25	22	l
p303_c25	23	i
p303_c25	24	a
p303_c25	26	c
p303_c25	27	o
p303_c25	28	n
p303_c25	30	e
p303_c25	31	l
p303_c26	0	m
p303_c26	1	a
p303_c26	2	s
p303_c26	4	p
p303_c26	5	r
p303_c26	6	o
p303_c26	7	f
p303_c26	8	u
p303_c26	9	n
p303_c26	10	d
p303_c26	11	o
p303_c26	13	r
p303_c26	14	e
p303_c26	15	s
p303_c26	16	p
p303_c26	17	e
p303_c26	18	t
p303_c26	19	o
p303_c26	21	y
p303_c26	23	v
p303_c26	24	e
p303_c26	25	n
p303_c26	26	e
p303_c26	27	r
p303_c26	28	a
p303_c26	29	c
p303_c26	30	i
p303_c26	31	o
p303_c26	32	n
