line	position	sign
hstam_4_h_1411_0003_L28_s1	3	74
hstam_4_h_1411_0003_L28_s1	4	73
hstam_4_h_1411_0003_L28_s1	5	66
hstam_4_h_1411_0003_L28_s1	6	38
hstam_4_h_1411_0003_L28_s1	7	36
hstam_4_h_1411_0003_L28_s1	8	94
hstam_4_h_1411_0003_L28_s1	9	11
hstam_4_h_1411_0003_L28_s1	10	30
hstam_4_h_1411_0003_L28_s1	11	84
hstam_4_h_1411_0003_L28_s1	12	37
hstam_4_h_1411_0003_L28_s1	13	66
hstam_4_h_1411_0003_L28_s1	14	97
hstam_4_h_1411_0003_L28_s1	15	94
hstam_4_h_1411_0003_L28_s1	16	73
hstam_4_h_1411_0003_L28_s1	17	22
hstam_4_h_1411_0003_L28_s1	18	79
hstam_4_h_1411_0003_L28_s1	19	31
hstam_4_h_1411_0003_L28_s1	20	11
hstam_4_h_1411_0003_L28_s1	21	26
hstam_4_h_1411_0003_L29_s1	1	39
hstam_4_h_1411_0003_L29_s1	2	31
hstam_4_h_1411_0003_L29_s1	3	50
hstam_4_h_1411_0003_L29_s1	4	70
hstam_4_h_1411_0003_L29_s1	5	22
hstam_4_h_1411_0003_L29_s1	6	54
hstam_4_h_1411_0003_L29_s1	7	16
hstam_4_h_1411_0003_L29_s1	8	22
hstam_4_h_1411_0003_L29_s1	9	90
hstam_4_h_1411_0003_L29_s1	10	71
hstam_4_h_1411_0003_L29_s1	11	55
hstam_4_h_1411_0003_L29_s1	12	19
hstam_4_h_1411_0003_L29_s1	13	26
hstam_4_h_1411_0003_L29_s1	14	11
hstam_4_h_1411_0003_L29_s1	15	36
hstam_4_h_1411_0003_L29_s1	16	79
hstam_4_h_1411_0003_L29_s1	17	31
hstam_4_h_1411_0003_L29_s1	18	23
hstam_4_h_1411_0003_L29_s1	19	32
hstam_4_h_1411_0003_L29_s1	20	36
hstam_4_h_1411_0003_L29_s1	21	74
hstam_4_h_1411_0003_L29_s1	22	79
hstam_4_h_1411_0003_L29_s1	23	56
hstam_4_h_1411_0003_L29_s1	24	36
hstam_4_h_1411_0003_L29_s1	25	26
hstam_4_h_1411_0003_L30_s1	1	40
hstam_4_h_1411_0003_L30_s1	2	11
hstam_4_h_1411_0003_L30_s1	3	54
hstam_4_h_1411_0003_L30_s1	4	84
hstam_4_h_1411_0003_L30_s1	5	57
hstam_4_h_1411_0003_L30_s1	6	52
hstam_4_h_1411_0003_L30_s1	7	71
hstam_4_h_1411_0003_L30_s1	8	54
hstam_4_h_1411_0003_L30_s1	9	48
hstam_4_h_1411_0003_L30_s1	10	7
hstam_4_h_1411_0003_L30_s1	11	61
hstam_4_h_1411_0003_L30_s1	12	16
hstam_4_h_1411_0003_L30_s1	13	29
hstam_4_h_1411_0003_L30_s1	14	55
hstam_4_h_1411_0003_L30_s1	15	30
hstam_4_h_1411_0003_L30_s1	16	91
hstam_4_h_1411_0003_L30_s1	17	36
hstam_4_h_1411_0003_L30_s1	18	16
hstam_4_h_1411_0003_L30_s1	19	15
hstam_4_h_1411_0003_L30_s1	20	32
hstam_4_h_1411_0003_L30_s1	21	79
hstam_4_h_1411_0003_L30_s1	22	30
hstam_4_h_1411_0003_L30_s1	23	73
hstam_4_h_1411_0003_L30_s1	24	18
hstam_4_h_1411_0003_L30_s1	25	49
hstam_4_h_1411_0003_L30_s1	26	43
hstam_4_h_1411_0003_L30_s1	27	61
hstam_4_h_1411_0003_L30_s1	28	63
hstam_4_h_1411_0003_L31_s1	1	20
hstam_4_h_1411_0003_L31_s1	2	84
hstam_4_h_1411_0003_L31_s1	3	70
hstam_4_h_1411_0003_L31_s1	4	29
hstam_4_h_1411_0003_L31_s1	5	20
hstam_4_h_1411_0003_L31_s1	6	21
hstam_4_h_1411_0003_L31_s1	7	73
hstam_4_h_1411_0003_L31_s1	8	83
hstam_4_h_1411_0003_L31_s1	9	4
hstam_4_h_1411_0003_L31_s1	10	26
hstam_4_h_1411_0003_L31_s1	11	36
hstam_4_h_1411_0003_L31_s1	12	43
hstam_4_h_1411_0003_L31_s1	13	77
hstam_4_h_1411_0003_L31_s1	14	83
hstam_4_h_1411_0012_L44_s1	1	47
hstam_4_h_1411_0012_L44_s1	2	60
hstam_4_h_1411_0012_L44_s1	3	93
hstam_4_h_1411_0012_L44_s1	4	54
hstam_4_h_1411_0012_L44_s1	5	61
hstam_4_h_1411_0012_L44_s1	6	7
hstam_4_h_1411_0012_L44_s1	7	97
hstam_4_h_1411_0012_L44_s1	8	95
hstam_4_h_1411_0012_L44_s1	9	20
hstam_4_h_1411_0012_L44_s1	10	16
hstam_4_h_1411_0012_L44_s1	11	63
hstam_4_h_1411_0012_L44_s1	12	28
hstam_4_h_1411_0012_L44_s1	13	61
hstam_4_h_1411_0012_L44_s1	14	83
hstam_4_h_1411_0012_L44_s1	15	76
hstam_4_h_1411_0012_L44_s1	16	42
hstam_4_h_1411_0012_L44_s1	17	51
hstam_4_h_1411_0012_L44_s1	18	35
hstam_4_h_1411_0012_L44_s1	19	22
hstam_4_h_1411_0012_L44_s1	20	11
hstam_4_h_1411_0012_L44_s1	21	29
hstam_4_h_1411_0012_L44_s1	22	58
hstam_4_h_1411_0012_L44_s1	23	89
hstam_4_h_1411_0012_L44_s1	24	31
hstam_4_h_1411_0012_L44_s1	25	91
hstam_4_h_1411_0012_L44_s1	26	35
hstam_4_h_1411_0012_L44_s1	27	42
hstam_4_h_1411_0012_L44_s1	28	49
hstam_4_h_1411_0012_L44_s1	29	63
hstam_4_h_1411_0012_L45_s1	1	63
hstam_4_h_1411_0012_L45_s1	2	58
hstam_4_h_1411_0012_L45_s1	3	22
hstam_4_h_1411_0012_L45_s1	4	56
hstam_4_h_1411_0012_L45_s1	5	84
hstam_4_h_1411_0012_L45_s1	6	85
hstam_4_h_1411_0012_L45_s1	7	55
hstam_4_h_1411_0012_L45_s1	8	10
hstam_4_h_1411_0012_L45_s1	9	48
hstam_4_h_1411_0012_L45_s1	10	97
hstam_4_h_1411_0012_L45_s1	11	46
hstam_4_h_1411_0012_L45_s1	12	61
hstam_4_h_1411_0012_L45_s1	13	42
hstam_4_h_1411_0012_L45_s1	14	97
hstam_4_h_1411_0012_L45_s1	15	35
hstam_4_h_1411_0012_L45_s1	16	42
hstam_4_h_1411_0012_L45_s1	17	69
hstam_4_h_1411_0012_L45_s1	18	7
hstam_4_h_1411_0012_L45_s1	19	61
hstam_4_h_1411_0012_L45_s1	20	63
hstam_4_h_1411_0012_L45_s1	21	92
hstam_4_h_1411_0012_L45_s1	22	45
hstam_4_h_1411_0012_L45_s1	23	83
hstam_4_h_1411_0012_L45_s1	24	66
hstam_4_h_1411_0012_L45_s1	25	29
hstam_4_h_1411_0012_L45_s1	26	49
hstam_4_h_1411_0012_L45_s1	27	63
hstam_4_h_1411_0012_L45_s1	28	92
hstam_4_h_1411_0012_L45_s1	29	49
hstam_4_h_1411_0012_L45_s1	30	42
hstam_4_h_1411_0012_L46_s1	1	61
hstam_4_h_1411_0012_L46_s1	2	31
hstam_4_h_1411_0012_L46_s1	3	27
hstam_4_h_1411_0012_L46_s1	4	36
hstam_4_h_1411_0012_L46_s1	5	13
hstam_4_h_1411_0012_L46_s1	6	99
hstam_4_h_1411_0012_L46_s1	7	91
hstam_4_h_1411_0012_L46_s1	8	61
hstam_4_h_1411_0012_L46_s1	9	22
hstam_4_h_1411_0012_L46_s1	10	44
hstam_4_h_1411_0012_L46_s1	11	89
hstam_4_h_1411_0012_L46_s1	12	98
hstam_4_h_1411_0012_L46_s1	13	45
hstam_4_h_1411_0012_L46_s1	14	22
hstam_4_h_1411_0012_L46_s1	15	84
hstam_4_h_1411_0012_L46_s1	16	44
hstam_4_h_1411_0012_L46_s1	17	43
hstam_4_h_1411_0012_L46_s1	18	24
hstam_4_h_1411_0012_L46_s1	19	60
hstam_4_h_1411_0012_L46_s1	20	49
hstam_4_h_1411_0012_L46_s1	21	83
hstam_4_h_1411_0012_L46_s1	22	86
hstam_4_h_1411_0012_L46_s1	23	97
hstam_4_h_1411_0012_L46_s1	24	95
hstam_4_h_1411_0012_L46_s1	25	27
hstam_4_h_1411_0012_L46_s1	26	61
hstam_4_h_1411_0012_L46_s1	27	63
hstam_4_h_1411_0012_L46_s1	28	61
hstam_4_h_1411_0012_L46_s1	29	30
hstam_4_h_1411_0012_L47_s1	1	21
hstam_4_h_1411_0012_L47_s1	2	28
hstam_4_h_1411_0012_L47_s1	3	99
hstam_4_h_1411_0012_L47_s1	4	41
hstam_4_h_1411_0012_L47_s1	5	61
hstam_4_h_1411_0012_L47_s1	6	63
hstam_4_h_1411_0012_L47_s1	7	13
hstam_4_h_1411_0012_L47_s1	8	35
hstam_4_h_1411_0012_L47_s1	9	99
hstam_4_h_1411_0012_L47_s1	10	60
hstam_4_h_1411_0012_L47_s1	11	84
hstam_4_h_1411_0012_L47_s1	12	83
hstam_4_h_1411_0012_L47_s1	13	42
hstam_4_h_1411_0012_L47_s1	14	66
hstam_4_h_1411_0012_L47_s1	15	46
hstam_4_h_1411_0012_L47_s1	16	49
hstam_4_h_1411_0012_L47_s1	17	97
hstam_4_h_1411_0012_L47_s1	18	98
hstam_4_h_1411_0012_L47_s1	19	58
hstam_4_h_1411_0012_L47_s1	20	65
hstam_4_h_1411_0012_L47_s1	21	67
hstam_4_h_1411_0012_L47_s1	22	49
hstam_4_h_1411_0012_L47_s1	23	42
hstam_4_h_1411_0012_L47_s1	24	39
hstam_4_h_1411_0012_L47_s1	25	63
hstam_4_h_1411_0012_L47_s1	26	27
hstam_4_h_1411_0012_L47_s1	27	71
hstam_4_h_1411_0012_L47_s1	28	97
hstam_4_h_1411_0012_L48_s1	1	39
hstam_4_h_1411_0012_L48_s1	2	81
hstam_4_h_1411_0012_L48_s1	3	70
hstam_4_h_1411_0012_L48_s1	4	30
hstam_4_h_1411_0012_L48_s1	5	26
hstam_4_h_1411_0012_L48_s1	6	52
hstam_4_h_1411_0012_L48_s1	7	58
hstam_4_h_1411_0012_L48_s1	8	45
hstam_4_h_1411_0012_L48_s1	9	46
hstam_4_h_1411_0012_L48_s1	10	48
hstam_4_h_1411_0012_L48_s1	11	65
hstam_4_h_1411_0012_L48_s1	12	99
hstam_4_h_1411_0012_L48_s1	13	88
hstam_4_h_1411_0012_L48_s1	14	76
hstam_4_h_1411_0012_L48_s1	15	49
hstam_4_h_1411_0012_L48_s1	16	19
hstam_4_h_1411_0012_L48_s1	17	92
hstam_4_h_1411_0012_L48_s1	18	60
hstam_4_h_1411_0012_L48_s1	19	30
hstam_4_h_1411_0012_L48_s1	20	70
hstam_4_h_1411_0012_L48_s1	21	80
hstam_4_h_1411_0012_L48_s1	22	60
hstam_4_h_1411_0012_L48_s1	23	61
hstam_4_h_1411_0012_L48_s1	24	63
hstam_4_h_1411_0012_L48_s1	25	49
hstam_4_h_1411_0012_L48_s1	26	83
hstam_4_h_1411_0012_L49_s1	1	99
hstam_4_h_1411_0012_L49_s1	2	55
hstam_4_h_1411_0012_L49_s1	3	79
hstam_4_h_1411_0012_L49_s1	4	63
hstam_4_h_1411_0023_L14	1	98
hstam_4_h_1411_0023_L14	2	79
hstam_4_h_1411_0023_L14	3	78
hstam_4_h_1411_0023_L14	4	16
hstam_4_h_1411_0023_L14	5	84
hstam_4_h_1411_0023_L14	6	25
hstam_4_h_1411_0023_L14	7	39
hstam_4_h_1411_0023_L14	8	19
hstam_4_h_1411_0023_L14	9	48
hstam_4_h_1411_0023_L14	10	30
hstam_4_h_1411_0023_L14	11	31
hstam_4_h_1411_0023_L14	12	58
hstam_4_h_1411_0023_L14	13	42
hstam_4_h_1411_0023_L14	14	56
hstam_4_h_1411_0023_L14	15	11
hstam_4_h_1411_0023_L14	16	97
hstam_4_h_1411_0023_L14	17	13
hstam_4_h_1411_0023_L14	18	27
hstam_4_h_1411_0023_L14	19	49
hstam_4_h_1411_0023_L14	20	42
hstam_4_h_1411_0023_L14	21	23
hstam_4_h_1411_0023_L14	22	58
hstam_4_h_1411_0023_L14	23	83
hstam_4_h_1411_0023_L14	24	27
hstam_4_h_1411_0023_L14	25	70
hstam_4_h_1411_0023_L14	26	57
hstam_4_h_1411_0023_L14	27	16
hstam_4_h_1411_0023_L14	28	44
hstam_4_h_1411_0023_L14	29	80
hstam_4_h_1411_0023_L14	30	27
hstam_4_h_1411_0023_L14	31	55
hstam_4_h_1411_0023_L14	32	27
hstam_4_h_1411_0023_L15	1	72
hstam_4_h_1411_0023_L15	2	84
hstam_4_h_1411_0023_L15	3	97
hstam_4_h_1411_0023_L15	4	92
hstam_4_h_1411_0023_L15	5	28
hstam_4_h_1411_0023_L15	6	83
hstam_4_h_1411_0023_L15	7	31
hstam_4_h_1411_0023_L15	8	83
hstam_4_h_1411_0023_L15	9	11
hstam_4_h_1411_0023_L15	10	94
hstam_4_h_1411_0023_L15	11	98
hstam_4_h_1411_0023_L15	12	49
hstam_4_h_1411_0023_L15	13	80
hstam_4_h_1411_0023_L15	14	97
hstam_4_h_1411_0023_L15	15	95
hstam_4_h_1411_0023_L15	16	84
hstam_4_h_1411_0023_L15	17	42
hstam_4_h_1411_0023_L15	18	61
hstam_4_h_1411_0023_L15	19	63
hstam_4_h_1411_0023_L15	20	91
hstam_4_h_1411_0023_L15	21	81
hstam_4_h_1411_0023_L15	22	30
hstam_4_h_1411_0023_L15	23	35
hstam_4_h_1411_0023_L15	24	88
hstam_4_h_1411_0023_L15	25	11
hstam_4_h_1411_0023_L15	26	70
hstam_4_h_1411_0023_L15	27	22
hstam_4_h_1411_0023_L15	28	42
hstam_4_h_1411_0023_L15	29	66
hstam_4_h_1411_0023_L15	30	97
hstam_4_h_1411_0023_L15	31	16
hstam_4_h_1411_0023_L15	32	94
hstam_4_h_1411_0023_L15	33	13
hstam_4_h_1411_0023_L15	34	27
hstam_4_h_1411_0023_L15	35	66
hstam_4_h_1411_0023_L15	36	74
hstam_4_h_1411_0023_L15	37	81
hstam_4_h_1411_0023_L15	38	64
hstam_4_h_1411_0023_L15	39	98
hstam_4_h_1411_0023_L15	40	11
hstam_4_h_1411_0023_L16	1	30
hstam_4_h_1411_0023_L16	2	61
hstam_4_h_1411_0023_L16	3	60
hstam_4_h_1411_0023_L16	4	44
hstam_4_h_1411_0023_L16	5	36
hstam_4_h_1411_0023_L16	6	26
hstam_4_h_1411_0023_L16	7	13
hstam_4_h_1411_0023_L16	8	29
hstam_4_h_1411_0023_L16	9	48
hstam_4_h_1411_0023_L16	10	61
hstam_4_h_1411_0023_L16	11	29
hstam_4_h_1411_0023_L16	12	63
hstam_4_h_1411_0023_L16	13	18
hstam_4_h_1411_0023_L16	14	95
hstam_4_h_1411_0023_L16	15	99
hstam_4_h_1411_0023_L16	16	98
hstam_4_h_1411_0023_L16	17	11
hstam_4_h_1411_0023_L16	18	25
hstam_4_h_1411_0023_L16	19	55
hstam_4_h_1411_0023_L16	20	10
hstam_4_h_1411_0023_L16	21	61
hstam_4_h_1411_0023_L16	22	30
hstam_4_h_1411_0023_L16	23	47
hstam_4_h_1411_0023_L16	24	84
hstam_4_h_1411_0023_L16	25	97
hstam_4_h_1411_0023_L16	26	42
hstam_4_h_1411_0023_L16	27	44
hstam_4_h_1411_0023_L16	28	49
hstam_4_h_1411_0023_L16	29	22
hstam_4_h_1411_0023_L16	30	27
hstam_4_h_1411_0023_L16	31	55
hstam_4_h_1411_0023_L16	32	46
hstam_4_h_1411_0023_L16	33	70
hstam_4_h_1411_0023_L16	34	77
hstam_4_h_1411_0023_L16	35	18
hstam_4_h_1411_0023_L16	36	73
hstam_4_h_1411_0023_L17	1	97
hstam_4_h_1411_0023_L17	2	79
hstam_4_h_1411_0023_L17	3	16
hstam_4_h_1411_0023_L17	4	19
hstam_4_h_1411_0023_L17	5	96
hstam_4_h_1411_0023_L17	6	66
hstam_4_h_1411_0023_L17	7	71
hstam_4_h_1411_0023_L17	8	84
hstam_4_h_1411_0023_L17	9	42
hstam_4_h_1411_0023_L17	10	61
hstam_4_h_1411_0023_L17	11	22
hstam_4_h_1411_0023_L17	12	60
hstam_4_h_1411_0023_L17	13	83
hstam_4_h_1411_0023_L17	14	58
hstam_4_h_1411_0023_L17	15	97
hstam_4_h_1411_0023_L17	16	27
hstam_4_h_1411_0023_L17	17	66
hstam_4_h_1411_0023_L17	18	16
hstam_4_h_1411_0023_L17	19	24
hstam_4_h_1411_0023_L17	20	79
hstam_4_h_1411_0023_L17	21	97
hstam_4_h_1411_0023_L17	22	43
hstam_4_h_1411_0023_L17	23	16
hstam_4_h_1411_0023_L17	24	15
hstam_4_h_1411_0023_L17	25	60
hstam_4_h_1411_0023_L17	26	24
hstam_4_h_1411_0023_L17	27	83
hstam_4_h_1411_0023_L17	28	43
hstam_4_h_1411_0023_L17	29	48
hstam_4_h_1411_0023_L17	30	47
hstam_4_h_1411_0023_L17	31	89
hstam_4_h_1411_0023_L17	32	97
hstam_4_h_1411_0023_L17	33	27
hstam_4_h_1411_0023_L17	34	36
hstam_4_h_1411_0023_L17	35	29
hstam_4_h_1411_0023_L17	36	72
hstam_4_h_1411_0023_L17	37	84
hstam_4_h_1411_0023_L17	38	50
hstam_4_h_1411_0023_L18	1	61
hstam_4_h_1411_0023_L18	2	15
hstam_4_h_1411_0023_L18	3	13
hstam_4_h_1411_0023_L18	4	72
hstam_4_h_1411_0023_L18	5	55
hstam_4_h_1411_0023_L18	6	91
hstam_4_h_1411_0023_L18	7	16
hstam_4_h_1411_0023_L18	8	65
hstam_4_h_1411_0023_L18	9	62
hstam_4_h_1411_0023_L18	10	31
hstam_4_h_1411_0023_L18	11	43
hstam_4_h_1411_0023_L18	12	61
hstam_4_h_1411_0023_L18	13	82
hstam_4_h_1411_0023_L18	14	61
hstam_4_h_1411_0023_L18	15	98
hstam_4_h_1411_0023_L18	16	99
hstam_4_h_1411_0023_L18	17	77
hstam_4_h_1411_0023_L18	18	22
hstam_4_h_1411_0023_L18	19	49
hstam_4_h_1411_0023_L18	20	82
hstam_4_h_1411_0023_L18	21	55
hstam_4_h_1411_0023_L18	22	44
hstam_4_h_1411_0023_L18	23	71
hstam_4_h_1411_0023_L18	24	30
hstam_4_h_1411_0023_L18	25	11
hstam_4_h_1411_0023_L18	26	23
hstam_4_h_1411_0023_L18	27	60
hstam_4_h_1411_0023_L18	28	29
hstam_4_h_1411_0023_L18	29	16
hstam_4_h_1411_0023_L18	30	15
hstam_4_h_1411_0023_L18	31	66
hstam_4_h_1411_0023_L18	32	27
hstam_4_h_1411_0023_L18	33	32
hstam_4_h_1411_0023_L18	34	16
hstam_4_h_1411_0023_L18	35	97
hstam_4_h_1411_0023_L18	36	61
hstam_4_h_1411_0023_L18	37	16
hstam_4_h_1411_0023_L19	1	27
hstam_4_h_1411_0023_L19	2	55
hstam_4_h_1411_0023_L19	3	31
hstam_4_h_1411_0023_L19	4	71
hstam_4_h_1411_0023_L19	5	28
hstam_4_h_1411_0023_L19	6	30
hstam_4_h_1411_0023_L19	7	23
hstam_4_h_1411_0023_L19	8	15
hstam_4_h_1411_0023_L19	9	11
hstam_4_h_1411_0023_L19	10	26
hstam_4_h_1411_0023_L19	11	61
hstam_4_h_1411_0023_L19	12	94
hstam_4_h_1411_0023_L19	13	79
hstam_4_h_1411_0023_L19	14	25
hstam_4_h_1411_0023_L19	15	13
hstam_4_h_1411_0023_L19	16	26
hstam_4_h_1411_0023_L19	17	39
hstam_4_h_1411_0023_L19	18	49
hstam_4_h_1411_0023_L19	19	74
hstam_4_h_1411_0023_L19	20	73
hstam_4_h_1411_0023_L19	21	37
hstam_4_h_1411_0023_L19	22	35
hstam_4_h_1411_0023_L19	23	78
hstam_4_h_1411_0023_L19	24	97
hstam_4_h_1411_0023_L19	25	26
hstam_4_h_1411_0023_L19	26	39
hstam_4_h_1411_0023_L19	27	15
hstam_4_h_1411_0023_L19	28	13
hstam_4_h_1411_0023_L19	29	37
hstam_4_h_1411_0023_L19	30	78
hstam_4_h_1411_0023_L19	31	29
hstam_4_h_1411_0023_L19	32	11
hstam_4_h_1411_0023_L19	33	22
hstam_4_h_1411_0023_L19	34	1
hstam_4_h_1411_0023_L19	35	50
hstam_4_h_1411_0023_L20	1	16
hstam_4_h_1411_0023_L20	2	30
hstam_4_h_1411_0023_L20	3	66
hstam_4_h_1411_0023_L20	4	84
hstam_4_h_1411_0023_L20	5	94
hstam_4_h_1411_0023_L20	6	35
hstam_4_h_1411_0023_L20	7	36
hstam_4_h_1411_0023_L20	8	57
hstam_4_h_1411_0023_L20	9	72
hstam_4_h_1411_0023_L20	10	66
hstam_4_h_1411_0023_L20	11	24
hstam_4_h_1411_0023_L20	12	72
hstam_4_h_1411_0023_L20	13	16
hstam_4_h_1411_0023_L20	14	25
hstam_4_h_1411_0023_L20	15	90
hstam_4_h_1411_0023_L20	16	66
hstam_4_h_1411_0023_L20	17	82
hstam_4_h_1411_0023_L20	18	61
hstam_4_h_1411_0023_L20	19	31
hstam_4_h_1411_0023_L20	20	32
hstam_4_h_1411_0023_L20	21	30
hstam_4_h_1411_0023_L20	22	56
hstam_4_h_1411_0023_L20	23	54
hstam_4_h_1411_0023_L20	24	48
hstam_4_h_1411_0023_L20	25	72
hstam_4_h_1411_0023_L20	26	49
hstam_4_h_1411_0023_L20	27	83
hstam_4_h_1411_0023_L20	28	90
hstam_4_h_1411_0023_L20	29	58
hstam_4_h_1411_0023_L20	30	72
hstam_4_h_1411_0023_L20	31	16
hstam_4_h_1411_0023_L20	32	40
hstam_4_h_1411_0023_L20	33	55
hstam_4_h_1411_0023_L20	34	15
hstam_4_h_1411_0023_L20	35	79
hstam_4_h_1411_0023_L20	36	22
hstam_4_h_1411_0023_L21	1	0
hstam_4_h_1411_0023_L21	2	62
hstam_4_h_1411_0023_L21	3	79
hstam_4_h_1411_0023_L21	4	29
hstam_4_h_1411_0023_L21	5	16
hstam_4_h_1411_0023_L21	6	50
hstam_4_h_1411_0023_L21	7	70
hstam_4_h_1411_0023_L21	8	22
hstam_4_h_1411_0023_L21	9	54
hstam_4_h_1411_0023_L21	10	61
hstam_4_h_1411_0023_L21	11	31
hstam_4_h_1411_0023_L21	12	84
hstam_4_h_1411_0023_L21	13	52
hstam_4_h_1411_0023_L21	14	71
hstam_4_h_1411_0023_L21	15	15
hstam_4_h_1411_0023_L21	16	35
hstam_4_h_1411_0023_L21	17	72
hstam_4_h_1411_0023_L21	18	48
hstam_4_h_1411_0023_L21	19	83
hstam_4_h_1411_0023_L21	20	71
hstam_4_h_1411_0023_L21	21	79
hstam_4_h_1411_0023_L21	22	30
hstam_4_h_1411_0023_L21	23	16
hstam_4_h_1411_0023_L21	24	72
hstam_4_h_1411_0023_L21	25	25
hstam_4_h_1411_0023_L21	26	71
hstam_4_h_1411_0023_L21	27	22
hstam_4_h_1411_0023_L21	28	54
hstam_4_h_1411_0023_L21	29	61
hstam_4_h_1411_0023_L21	30	44
hstam_4_h_1411_0023_L21	31	52
hstam_4_h_1411_0023_L21	32	58
hstam_4_h_1411_0023_L21	33	29
hstam_4_h_1411_0023_L21	34	61
hstam_4_h_1411_0023_L21	35	10
hstam_4_h_1411_0023_L21	36	49
hstam_4_h_1411_0023_L21	37	22
hstam_4_h_1411_0023_L22	1	28
hstam_4_h_1411_0023_L22	2	22
hstam_4_h_1411_0023_L22	3	27
hstam_4_h_1411_0023_L22	4	11
hstam_4_h_1411_0023_L22	5	84
hstam_4_h_1411_0023_L22	6	91
hstam_4_h_1411_0023_L22	7	4
