line	pos	token	conf	note
r14	17	2	h	
r14	18	6	h	
r14	19	14	h	
r14	20	2	h	
r14	21	32	h	
r14	22	19	h	
r15	1	28	h	
r15	2	18	h	
r15	3	28	h	
r15	4	19	h	
r15	5	14	h	
r15	6	7	m	same ambiguous mark/digit
r15	7	23	h	
r15	8	5	h	
r15	9	16	h	
r15	10	18	h	
r15	11	12	h	
r15	12	5	h	
r15	13	17	h	
r15	14	32	h	
r15	15	16	h	
r15	16	18	h	
r15	17	32	h	
r15	18	12	h	
r15	19	27	h	
r15	20	5	h	
r16	1	22	h	
r16	2	13	h	
r16	3	19	h	
r16	4	2	h	
r16	5	32	h	
r16	6	19	h	
r16	7	2	h	
r16	8	3	h	
r16	9	25	h	
r16	10	5	h	
r16	11	10	h	
r16	12	16	h	
r16	13	28	h	
r16	14	2	h	
r16	15	32	h	
r16	16	12	h	
r16	17	8	h	
r16	18	5	h	
r16	19	22	h	
r16	20	6	h	
r16	21	72	m	"large value; could be ""7"" + ""2"" as two codes instead of one ""72"""
r17	1	5	h	
r17	2	20	h	
r17	3	6	h	
r17	4	25	h	
r17	5	19	h	
r17	6	30	h	
r17	7	10	h	
r17	8	5	h	
r17	9	18	h	
r17	10	52	m	"large value, could be ""5"" ""2"" as two codes"
r17	11	30	h	
r17	12	10	h	
r17	13	13	h	
r17	14	23	h	
r17	15	5	h	
r17	16	3	h	
r17	17	17	h	
r17	18	5	h	
r17	19	10	h	
r17	20	48	m	"large value, could be ""4"" ""8"" as two codes"
r17	21	31	h	
r18	1	18	h	
r18	2	32	h	
r18	3	6	h	
r18	4	18	h	
r18	5	26	h	
r18	6	19	h	
r18	7	30	h	
r18	8	12	h	
r18	9	31	h	
r18	10	10	h	
r18	11	32	h	
r18	12	14	h	
r18	13	10	h	
r18	14	5	h	
r18	15	7	m	same ambiguous mark/digit
r18	16	17	h	
r18	17	6	h	
r18	18	16	h	
r18	19	18	h	
r18	20	14	h	
r18	21	5	h	
r19	1	18	h	
r19	2	19	h	
r19	3	32	h	
r19	4	14	h	
r19	5	31	h	
r19	6	34	h	
r19	7	4	h	
r19	8	8	h	
r19	9	19	h	
r19	10	25	h	
r19	11	10	h	
r19	12	32	h	
r19	13	14	h	
r19	14	2	h	
r19	15	32	h	
r19	16	19	h	
r19	17	6	h	
r19	18	7	m	same ambiguous mark/digit
r19	19	10	h	
r19	20	13	h	
r20	1	28	h	
r20	2	18	h	
r20	3	6	h	
r20	4	3	h	
r20	5	5	h	
r20	6	2	m	"pass B joined this with the next digit as one code ""23"""
r20	7	3	m	"pass B joined this with the previous digit as one code ""23"""
r20	8	29	h	
r20	9	32	h	
r20	10	16	h	
r20	11	5	h	
r20	12	18	h	
r20	13	26	h	
r20	14	6	h	
r20	15	48	m	"could be ""4"" ""8"" as two codes"
r20	16	19	h	
r20	17	6	h	
r20	18	26	h	
r20	19	6	h	
r20	20	18	h	
r20	21	3	h	
r21	1	33	h	
r21	2	5	h	
r21	3	30	h	
r21	4	26	h	
r21	5	7	m	same ambiguous mark/digit
r21	6	21	h	
r21	7	5	h	
r21	8	10	h	
r21	9	6	h	
r21	10	18	h	
r21	11	28	h	
r21	12	18	h	
r21	13	8	h	
r21	14	10	h	
r21	15	32	h	
r21	16	7	m	same ambiguous mark/digit
r21	17	19	h	
r21	18	32	h	
r21	19	19	h	
r21	20	32	h	
r22	1	10	h	
r22	2	4	h	
r22	3	8	h	
r22	4	18	h	
r22	5	28	h	
r22	6	3	h	
r22	7	10	h	
r22	8	26	h	
r22	9	6	h	
r22	10	7	m	same ambiguous mark/digit
r22	11	5	h	
r22	12	18	h	
r22	13	6	h	
r22	14	30	h	
r22	15	31	h	
r22	16	28	h	
r22	17	24	h	
r22	18	2	h	
r22	19	30	h	
r22	20	12	h	
r22	21	5	h	
r23	1	18	m	originally read as one 3-digit code 186; pass B and re-inspection favor two 2-digit codes, matching the rest of the leaf's range (max elsewhere ~72)
r23	2	6	m	see pos1 note
r23	3	16	h	
r23	4	18	h	
r23	5	21	h	
r23	6	32	h	
r23	7	20	h	
r23	8	10	h	
r23	9	32	h	
r23	10	7	m	same ambiguous mark/digit
r23	11	18	h	
r23	12	5	h	
r23	13	31	h	
r23	14	17	h	
r23	15	18	h	
r23	16	32	h	
r23	17	16	h	
r23	18	23	h	
r23	19	6	h	
r23	20	23	h	
r24	1	7	m	same ambiguous mark/digit
r24	2	5	h	
r24	3	18	h	
r24	4	65	m	"could be ""6"" ""5"" as two codes"
r24	5	18	h	
r24	6	22	h	
r24	7	21	h	
r24	8	30	h	
r24	9	31	h	
r24	10	18	h	
r24	11	32	h	
r24	12	7	m	same ambiguous mark/digit
r24	13	26	h	
r24	14	13	h	
r24	15	14	h	
r24	16	29	h	
r24	17	32	h	
r24	18	4	h	
r24	19	8	h	
r24	20	18	h	
v01	1	14	m	first line of verso, top-margin crop, lower confidence
v01	2	2	h	
v01	3	32	h	
v01	4	16	h	
v01	5	31	h	
v01	6	[MARK:frac]	m	"non-standard symbol, unclear form (looks like ""1 1/2"" or a distinct nomenclator mark); pass B independently flagged it as a distinct mark too ([MARK:loop]), exact shape needs eye-check"
v01	7	21	h	
v01	8	2	h	
v01	9	32	h	
v01	10	18	h	
v01	11	6	h	
v01	12	13	h	
v01	13	10	h	
v01	14	28	h	
v01	15	19	h	
v01	16	10	h	
v01	17	30	h	
v01	18	17	h	
v01	19	5	h	
v01	20	18	h	
v02	1	30	m	"written ""Bo""-like ligature, read as 30"
v02	2	34	h	
v02	3	13	h	
v02	4	29	h	
v02	5	5	h	
v02	6	6	h	
v02	7	21	h	
v02	8	4	h	
v02	9	8	h	
v02	10	18	h	
v02	11	5	h	
v02	12	5	h	
v02	13	10	h	
v02	14	18	h	
v02	15	32	h	
v02	16	14	h	
v02	17	10	h	
v02	18	5	h	
v02	19	22	h	
v02	20	17	h	
v03	1	18	h	
v03	2	16	h	
v03	3	18	h	
v03	4	28	h	
v03	5	28	h	
v03	6	10	h	
v03	7	13	h	
v03	8	4	h	
v03	9	8	h	
v03	10	18	h	
v03	11	14	h	dot-separated from following 2 in source
v03	12	2	h	
v03	13	5	h	
v03	14	5	h	
v03	15	10	h	
v03	16	3	h	
v03	17	2	h	
v03	18	5	h	
v03	19	6	h	
v03	20	8	h	
v04	1	32	h	
v04	2	2	h	
v04	3	28	h	
v04	4	10	h	
v04	5	16	h	
v04	6	31	h	
v04	7	5	h	
v04	8	18	h	
v04	9	15	m	
v04	10	7	m	same ambiguous mark/digit
v04	11	32	h	
v04	12	2	h	
v04	13	32	h	
v04	14	13	h	
v04	15	6	h	
v04	16	21	m	small superscript mark above this token in source, unclear function -- possible correction/insertion, not transcribed separately
v04	17	31	h	
v04	18	8	h	
v04	19	15	m	crop edge, low confidence
v05	1	10	m	crop edge, low confidence, continues v04's row
v05	2	6	h	
v05	3	18	h	
v05	4	5	h	
v05	5	10	h	
v05	6	30	h	
v05	7	17	h	
v05	8	6	h	
v05	9	14	h	dot-separated from following 2 in source
v05	10	2	h	
v05	11	32	h	
v05	12	8	h	
v05	13	18	h	recovered from the full-page image, line ran past this pass's crop boundary
v05	14	32	h	recovered from the full-page image, line ran past this pass's crop boundary
v05	15	31	h	recovered from the full-page image, line ran past this pass's crop boundary
v05	16	18	h	recovered from the full-page image, line ran past this pass's crop boundary
v05	17	32	h	recovered from the full-page image, line ran past this pass's crop boundary
v05	18	7	m	same ambiguous mark/digit; recovered from the full-page image, line ran past this pass's crop boundary
v06	1	10	h	
v06	2	5	h	
v06	3	29	h	
v06	4	7	m	same ambiguous mark/digit
v06	5	5	h	
v06	6	17	h	
v06	7	7	m	same ambiguous mark/digit
v06	8	10	h	
v06	9	32	h	
v06	10	7	m	same ambiguous mark/digit
v06	11	17	h	
v06	12	22	h	
v06	13	18	h	recovered from the full-page image, line ran past this pass's crop boundary
v06	14	32	h	recovered from the full-page image, line ran past this pass's crop boundary
v06	15	7	m	same ambiguous mark/digit; recovered from the full-page image, line ran past this pass's crop boundary
v06	16	18	h	recovered from the full-page image, line ran past this pass's crop boundary
v06	17	16	h	recovered from the full-page image, line ran past this pass's crop boundary
v06	18	18	h	recovered from the full-page image, line ran past this pass's crop boundary
v07	1	4	h	
v07	2	8	h	
v07	3	18	h	
v07	4	10	h	
v07	5	17	h	
v07	6	28	h	
v07	7	18	h	
v07	8	8	h	
v07	9	10	h	
v07	10	32	h	
v07	11	7	m	same ambiguous mark/digit
v07	12	17	h	recovered from the full-page image, line ran past this pass's crop boundary
v07	13	16	h	recovered from the full-page image, line ran past this pass's crop boundary
v07	14	10	h	recovered from the full-page image, line ran past this pass's crop boundary
v07	15	7	m	same ambiguous mark/digit; recovered from the full-page image, line ran past this pass's crop boundary
v07	16	22	h	recovered from the full-page image, line ran past this pass's crop boundary
v08	1	16	h	
v08	2	29	h	
v08	3	28	h	
v08	4	17	h	
v08	5	13	h	
v08	6	18	h	
v08	7	32	h	
v08	8	6	h	
v08	9	8	h	
v08	10	28	h	
v08	11	8	h	
v08	12	22	h	recovered from the full-page image, line ran past this pass's crop boundary
v08	13	10	h	recovered from the full-page image, line ran past this pass's crop boundary
v08	14	5	h	recovered from the full-page image, line ran past this pass's crop boundary
v08	15	28	h	recovered from the full-page image, line ran past this pass's crop boundary
v08	16	18	h	recovered from the full-page image, line ran past this pass's crop boundary
v08	17	8	h	recovered from the full-page image, line ran past this pass's crop boundary
v08	18	10	h	recovered from the full-page image, line ran past this pass's crop boundary
v09	1	17	h	
v09	2	5	h	
v09	3	29	h	
v09	4	7	m	same ambiguous mark/digit
v09	5	5	h	
v09	6	10	h	
v09	7	[PLAIN:y]	m	"read as a numeric code in first pass; pass B independently read this as the word ""y"" before ""Caso""; adopted"
v09	8	[PLAIN:Caso]	h	
v09	9	[PLAIN:que]	h	
v09	10	[PLAIN:le]	h	
v09	11	[PLAIN:paresca]	h	
v09	12	[PLAIN:que]	h	
v09	13	[PLAIN:esta]	h	
v09	14	[PLAIN:materia]	h	
v09	15	[PLAIN:no]	h	
v09	16	[PLAIN:convenga]	m	word cut at crop edge, continues below
v10	1	[PLAIN:Corra]	h	
v10	2	[PLAIN:por]	h	
v10	3	[PLAIN:su]	h	
v10	4	[PLAIN:mano]	h	
v10	5	[PLAIN:le]	h	
v10	6	[PLAIN:preguntareis]	h	
v10	7	[PLAIN:a]	h	
v10	8	[PLAIN:que]	h	
v10	9	[PLAIN:persona]	h	
v10	10	[PLAIN:se]	h	
v10	11	[PLAIN:podria]	h	
v10	12	[PLAIN:encargar]	h	
v11	1	[PLAIN:se]	h	
v11	2	[PLAIN:pudiese]	h	
v11	3	[PLAIN:caminar]	h	
v11	4	[PLAIN:en]	h	
v11	5	[PLAIN:ello]	h	
v11	6	[PLAIN:sin]	h	
v11	7	[PLAIN:perder]	h	
v11	8	[PLAIN:tiempo.]	h	
v11	9	13	h	
v11	10	6	h	
v11	11	18	h	
v11	12	14	h	
v11	13	2	h	
v11	14	32	h	
v11	15	6	h	
v12	1	8	h	
v12	2	21	h	
v12	3	18	h	
v12	4	6	h	
v12	5	18	h	
v12	6	19	h	
v12	7	28	h	
v12	8	20	h	
v12	9	5	h	
v12	10	8	h	
v12	11	7	m	same ambiguous mark/digit
v12	12	29	h	
v12	13	16	h	
v12	14	18	h	
v12	15	7	m	same ambiguous mark/digit
v12	16	18	h	
v12	17	32	h	
v12	18	18	h	
v12	19	5	h	
v13	1	7	m	same ambiguous mark/digit
v13	2	10	h	
v13	3	22	h	
v13	4	18	h	
v13	5	32	h	
v13	6	7	m	same ambiguous mark/digit
v13	7	19	h	
v13	8	[PLAIN:En]	h	
v13	9	[PLAIN:todo]	h	
v13	10	[PLAIN:os]	h	
v13	11	[PLAIN:encargo]	h	
v13	12	[PLAIN:la]	h	
v13	13	[PLAIN:brevedad]	h	
v13	14	[PLAIN:porque]	h	
v14	1	[PLAIN:qualquiera]	m	word cut at crop edge, plausible restoration from parallel phrase on recto r07
v14	2	[PLAIN:dilacion]	h	
v14	3	[PLAIN:que]	h	
v14	4	[PLAIN:aya]	h	
v14	5	[PLAIN:es]	h	
v14	6	[PLAIN:summamente]	h	
v14	7	[PLAIN:danosa]	h	
v14	8	[PLAIN:y]	h	
v14	9	[PLAIN:de]	h	
v14	10	[PLAIN:nuestro]	h	
v14	11	[PLAIN:zelo]	m	"could be ""Selo""/""Celo"""
v14	12	[PLAIN:fio]	h	
v14	13	[PLAIN:aten...]	m	continues past crop edge onto next band, not captured this pass
v15	1	[PLAIN:...a]	m	crop-edge continuation of v14's last word
v15	2	[PLAIN:ello]	h	
v15	3	[PLAIN:con]	h	
v15	4	[PLAIN:el]	h	
v15	5	[PLAIN:Cuydado]	h	
v15	6	[PLAIN:que]	h	
v15	7	[PLAIN:Conviene]	h	
v15	8	[PLAIN:vos]	m	"could be ""gos"" or an abbreviation"
v15	9	[PLAIN:encargo]	h	
v15	10	[PLAIN:Barneton]	h	place name matches the letter's closing dateline
v15	11	[PLAIN:a]	h	
v15	12	[PLAIN:seis]	h	crossed-out word before it in source, not transcribed (scribal deletion)
v16	1	[PLAIN:Junio]	h	closing dateline, own short line, underlined flourish beneath
v16	2	[PLAIN:de]	h	
v16	3	[PLAIN:1648]	h	
