# KEY-DESIGN-PRIORS.tsv -- tools/design_prior.py --unkeyed: every ciphertext in an open/partial folder that no usable key claims as its own text. A design prior to choose the first attack family, never a reading. Lead = nearest key in the same office (shared name or folder), same decade, same sign inventory.
ciphertext_path	folder	status	decade	n_tokens	distinct	inventory	plausible	excluded	not_above_null	class_ranking	family_ranking_advisory	fp_rate	nearest_keys	nearest_office_decade	same_office_decade_lead	note
ciphers/colbert26-lathuillerie-1644/ciphertext.tsv	colbert26-lathuillerie-1644	open	1640s	519	129	mixed	multi-sign (homophonic/nomenclator/syllabary),mixed (partial table)	letter-for-letter		multi-sign (homophonic/nomenclator/syllabary)=0.33; code=1.39; mixed (partial table)=1.49; letter-for-letter=1.63	homophonic=0.33; nomenclator=0.44; syllabary=0.92; code numbers=1.39; mixed=1.49; alphabet substitution=1.63	0.045	ciphers/lodewijk-van-nassau-1573-74/key_7205.tsv [homophonic; Nassau-Orange chancery (Lodewijk van Nassau <-> William of O; 1573-1574 (four lett; d=0.30; synthetic; inv=digits; num_in_range=1.00] || ciphers/lodewijk-van-nassau-1573-74/key_5801.tsv [homophonic; Nassau-Orange chancery (Lodewijk van Nassau <-> William of O; 1573-1574 (four lett; d=0.34; synthetic; inv=digits; num_in_range=0.99] || ciphers/jan-van-nassau-1572-75/key_5549.tsv [homophonic; Nassau-Orange chancery (Jan van Nassau <-> William of Orange; within 1572-1575 spa; d=0.36; real; inv=digits; num_in_range=0.99]	Nassau-Orange chancery (Lodewijk van Nassau <-> William of Orange) (1570s) d=0.30 || Nassau-Orange chancery (Jan van Nassau <-> William of Orange) (1570s) d=0.36 || Duke of Nevers' Rome embassy (seeking Henri IV's papal absolution) (1590s) d=0.40		
ciphers/debosnys-1883/ciphertext.txt	debosnys-1883	open	1880s	1038	306	mixed	letter-for-letter	mixed (partial table)	multi-sign (homophonic/nomenclator/syllabary)	multi-sign (homophonic/nomenclator/syllabary)=1.71; code=1.95; letter-for-letter=2.53; mixed (partial table)=3.73	homophonic=1.75; code numbers=1.95; nomenclator=1.99; syllabary=2.49; alphabet substitution=2.53; mixed=3.73	0.055	ciphers/orange-nassau-1572/key_nepveu.tsv [alphabet substitution; William of Orange's secretariat, "Nepveu" cipher; 1572; d=0.73; real; inv=digits; num_in_range=0.25] || ciphers/thurloe-printed/key_fauconberg.tsv [homophonic; Cromwellian Secretary of State's intelligence network (John ; 1658; d=1.31; real; inv=digits; num_in_range=1.00] || ciphers/vanbeuningen-dewitt-1657/key.tsv [nomenclator; Dutch States-General diplomatic circle around the Grand Pens; 19/29 Sept 1657; d=1.89; synthetic; inv=mixed]	William of Orange's secretariat, "Nepveu" cipher (1570s) d=0.73 || Cromwellian Secretary of State's intelligence network (John Thurloe's  (1650s) d=1.31 || Dutch States-General diplomatic circle around the Grand Pensionary (1650s) d=1.89		
ciphers/decode-4450-bnf-fr20506-1525/ciphertext_f136.tsv	decode-4450-bnf-fr20506-1525	open	1520s	749	320	mixed	letter-for-letter	mixed (partial table)	multi-sign (homophonic/nomenclator/syllabary)	multi-sign (homophonic/nomenclator/syllabary)=1.51; code=2.32; letter-for-letter=2.82; mixed (partial table)=3.86	nomenclator=1.77; homophonic=1.81; code numbers=2.32; syllabary=2.66; alphabet substitution=2.82; mixed=3.86	0.045	ciphers/vanbeuningen-dewitt-1657/key.tsv [nomenclator; Dutch States-General diplomatic circle around the Grand Pens; 19/29 Sept 1657; d=1.05; real; inv=mixed] || ciphers/orange-nassau-1572/key_nepveu.tsv [alphabet substitution; William of Orange's secretariat, "Nepveu" cipher; 1572; d=1.22; real; inv=digits] || ciphers/jan-van-nassau-1572-75/key_5549.tsv [homophonic; Nassau-Orange chancery (Jan van Nassau <-> William of Orange; within 1572-1575 spa; d=1.66; real; inv=digits]	Dutch States-General diplomatic circle around the Grand Pensionary (1650s) d=1.05 || William of Orange's secretariat, "Nepveu" cipher (1570s) d=1.22 || Nassau-Orange chancery (Jan van Nassau <-> William of Orange) (1570s) d=1.66		
ciphers/decode-4450-bnf-fr20506-1525/ciphertext_f137_138.tsv	decode-4450-bnf-fr20506-1525	open	1520s	1027	460	mixed			letter-for-letter,multi-sign (homophonic/nomenclator/syllabary),mixed (partial table)	multi-sign (homophonic/nomenclator/syllabary)=2.92; code=3.16; letter-for-letter=3.72; mixed (partial table)=4.88	homophonic=2.95; code numbers=3.16; nomenclator=3.18; alphabet substitution=3.72; syllabary=3.73; mixed=4.88	0.060	ciphers/orange-nassau-1572/key_nepveu.tsv [alphabet substitution; William of Orange's secretariat, "Nepveu" cipher; 1572; d=1.88; real; inv=digits] || ciphers/thurloe-printed/key_fauconberg.tsv [homophonic; Cromwellian Secretary of State's intelligence network (John ; 1658; d=2.63; real; inv=digits] || ciphers/lodewijk-van-nassau-1573-74/key_5801.tsv [homophonic; Nassau-Orange chancery (Lodewijk van Nassau <-> William of O; 1573-1574 (four lett; d=3.04; synthetic; inv=digits]	William of Orange's secretariat, "Nepveu" cipher (1570s) d=1.88 || Cromwellian Secretary of State's intelligence network (John Thurloe's  (1650s) d=2.63 || Nassau-Orange chancery (Lodewijk van Nassau <-> William of Orange) (1570s) d=3.04		
ciphers/destaing-gerard-1779/ciphertext.tsv	destaing-gerard-1779	open	1770s	216	104	digits	letter-for-letter		multi-sign (homophonic/nomenclator/syllabary),mixed (partial table)	multi-sign (homophonic/nomenclator/syllabary)=0.26; letter-for-letter=1.12; code=1.25; mixed (partial table)=1.50	homophonic=0.31; nomenclator=0.39; syllabary=0.77; alphabet substitution=1.12; code numbers=1.25; mixed=1.50	0.055	ciphers/jan-van-nassau-1572-75/key_5549.tsv [homophonic; Nassau-Orange chancery (Jan van Nassau <-> William of Orange; within 1572-1575 spa; d=0.23; real; inv=digits; num_in_range=0.60] || ciphers/lodewijk-van-nassau-1573-74/key_7205.tsv [homophonic; Nassau-Orange chancery (Lodewijk van Nassau <-> William of O; 1573-1574 (four lett; d=0.25; synthetic; inv=digits; num_in_range=1.00] || ciphers/vanbeuningen-dewitt-1657/key.tsv [nomenclator; Dutch States-General diplomatic circle around the Grand Pens; 19/29 Sept 1657; d=0.29; real; inv=mixed]	Nassau-Orange chancery (Jan van Nassau <-> William of Orange) (1570s) d=0.23 || Nassau-Orange chancery (Lodewijk van Nassau <-> William of Orange) (1570s) d=0.25 || Dutch States-General diplomatic circle around the Grand Pensionary (1650s) d=0.29		
ciphers/destaing-gerard-1779/ciphertext.txt	destaing-gerard-1779	open	1770s	276	133	mixed			letter-for-letter,multi-sign (homophonic/nomenclator/syllabary),mixed (partial table)	multi-sign (homophonic/nomenclator/syllabary)=0.31; letter-for-letter=1.33; code=1.50; mixed (partial table)=1.66	nomenclator=0.37; homophonic=0.56; syllabary=0.94; alphabet substitution=1.33; code numbers=1.50; mixed=1.66	0.085	ciphers/vanbeuningen-dewitt-1657/key.tsv [nomenclator; Dutch States-General diplomatic circle around the Grand Pens; 19/29 Sept 1657; d=0.09; real; inv=mixed] || ciphers/thurloe-printed/key_montagu.tsv [mixed; Cromwellian Secretary of State's intelligence network (John ; 1650s; d=0.33; real; inv=digits; num_in_range=0.97] || ciphers/thurloe-printed/key_montagu_extended.tsv [nomenclator; Cromwellian Secretary of State's intelligence network (John ; 1650s; d=0.33; real; inv=digits; num_in_range=1.00]	Dutch States-General diplomatic circle around the Grand Pensionary (1650s) d=0.09 || Cromwellian Secretary of State's intelligence network (John Thurloe's  (1650s) d=0.33 || Nassau-Orange chancery (Jan van Nassau <-> William of Orange) (1570s) d=0.50		
ciphers/eckert-1862/ciphertext.txt	eckert-1862	partial	1860s	396	99	letters	letter-for-letter,mixed (partial table)		multi-sign (homophonic/nomenclator/syllabary)	multi-sign (homophonic/nomenclator/syllabary)=0.39; code=0.44; letter-for-letter=1.20; mixed (partial table)=1.43	code numbers=0.44; homophonic=0.49; nomenclator=0.68; syllabary=0.71; alphabet substitution=1.20; mixed=1.43	0.065	ciphers/thurloe-printed/key_fauconberg.tsv [homophonic; Cromwellian Secretary of State's intelligence network (John ; 1658; d=0.35; real; inv=digits; num_in_range=0.90] || ciphers/oxenstierna-gustav-adolf-1632/key.tsv [homophonic; Swedish crown <-> Chancellor (Thirty Years' War field corres; 23 July 1632 (Nurnbe; d=0.41; real; inv=digits; num_in_range=0.86] || ciphers/dupuy452-carpi-1520/key.tsv [nomenclator; French embassy to Rome (Francois Ier's diplomatic correspond; 1520-1528 (fonds spa; d=0.42; real; inv=letters; num_in_range=0.19]	Cromwellian Secretary of State's intelligence network (John Thurloe's  (1650s) d=0.35 || Swedish crown <-> Chancellor (Thirty Years' War field correspondence) (1630s) d=0.41 || French embassy to Rome (Francois Ier's diplomatic correspondence re Ca (1520s) d=0.42		
ciphers/eckert-1864/ciphertext-no2.txt	eckert-1864	partial	1860s	135	58	letters	letter-for-letter,multi-sign (homophonic/nomenclator/syllabary)		mixed (partial table)	multi-sign (homophonic/nomenclator/syllabary)=0.16; code=0.46; letter-for-letter=0.96; mixed (partial table)=1.02	syllabary=0.17; homophonic=0.33; nomenclator=0.35; code numbers=0.46; alphabet substitution=0.96; mixed=1.02	0.075	ciphers/fr5160-letellier-1653/key_1659_f86only.tsv [syllabary; French Secretaire d'Etat aux Affaires Etrangeres (Brienne, p; 1653-1661 (volume sp; d=0.14; real; inv=mixed; num_in_range=0.40] || ciphers/clair1067-brienne-poland-1646/key_1646.tsv [syllabary; French Secretaire d'Etat aux Affaires Etrangeres (Brienne, p; 1646; d=0.15; real; inv=mixed; num_in_range=0.20] || ciphers/dupuy452-carpi-1520/key.tsv [nomenclator; French embassy to Rome (Francois Ier's diplomatic correspond; 1520-1528 (fonds spa; d=0.19; real; inv=letters; num_in_range=0.00]	French Secretaire d'Etat aux Affaires Etrangeres (Brienne, pere et fil (1650s) d=0.14 || French Secretaire d'Etat aux Affaires Etrangeres (Brienne, pere) (1640s) d=0.15 || French embassy to Rome (Francois Ier's diplomatic correspondence re Ca (1520s) d=0.19		
ciphers/eckert-1864/ciphertext.txt	eckert-1864	partial	1860s	521	151	letters	mixed (partial table)	letter-for-letter	multi-sign (homophonic/nomenclator/syllabary)	multi-sign (homophonic/nomenclator/syllabary)=0.57; code=0.86; letter-for-letter=1.45; mixed (partial table)=1.54	homophonic=0.69; nomenclator=0.78; code numbers=0.86; syllabary=0.98; alphabet substitution=1.45; mixed=1.54	0.055	ciphers/thurloe-printed/key_fauconberg.tsv [homophonic; Cromwellian Secretary of State's intelligence network (John ; 1658; d=0.32; real; inv=digits; num_in_range=0.28] || ciphers/orange-nassau-1572/key_nepveu.tsv [alphabet substitution; William of Orange's secretariat, "Nepveu" cipher; 1572; d=0.42; real; inv=digits; num_in_range=0.14] || ciphers/vanbeuningen-dewitt-1657/key.tsv [nomenclator; Dutch States-General diplomatic circle around the Grand Pens; 19/29 Sept 1657; d=0.59; real; inv=mixed]	Cromwellian Secretary of State's intelligence network (John Thurloe's  (1650s) d=0.32 || William of Orange's secretariat, "Nepveu" cipher (1570s) d=0.42 || Dutch States-General diplomatic circle around the Grand Pensionary (1650s) d=0.59		
ciphers/fr2933-salviati-1525/ciphertext_f54r.tsv	fr2933-salviati-1525	open	1520s	509	37	mixed	letter-for-letter,mixed (partial table)		multi-sign (homophonic/nomenclator/syllabary)	letter-for-letter=0.92; multi-sign (homophonic/nomenclator/syllabary)=1.02; mixed (partial table)=1.12; code=2.35	alphabet substitution=0.92; nomenclator=1.02; mixed=1.12; homophonic=1.41; syllabary=1.41; code numbers=2.35	0.055	ciphers/wvo-hessen-1564/key.tsv [alphabet substitution; (folder) wvo-hessen-1564; 1564; d=0.90; synthetic; inv=letters] || ciphers/fr2751-dediou-mayenne/key_mayenne_1592-93_polyphonic.tsv [mixed; Catholic League military/political correspondence (duc de Ma; 1592-93; d=0.90; synthetic; inv=mixed] || ciphers/willem-van-hessen-1567/siblings/key_1069.tsv [alphabet substitution; Nassau-Orange chancery (Willem van Hessen <-> William of Ora; 23 Mar 1563 (briefnr; d=0.91; synthetic; inv=glyphs]	(folder) wvo-hessen-1564 (1560s) d=0.90 || Catholic League military/political correspondence (duc de Mayenne's of (1590s) d=0.90 || Nassau-Orange chancery (Willem van Hessen <-> William of Orange), Grum (1560s) d=0.91		
ciphers/fr2933-salviati-1525/ciphertext_f54v.tsv	fr2933-salviati-1525	open	1520s	508	35	mixed	mixed (partial table)		letter-for-letter,multi-sign (homophonic/nomenclator/syllabary)	letter-for-letter=1.10; multi-sign (homophonic/nomenclator/syllabary)=1.25; mixed (partial table)=1.28; code=2.46	alphabet substitution=1.10; nomenclator=1.25; mixed=1.28; syllabary=1.55; homophonic=1.65; code numbers=2.46	0.045	ciphers/fr2751-dediou-mayenne/key_mayenne_1592-93_polyphonic.tsv [mixed; Catholic League military/political correspondence (duc de Ma; 1592-93; d=1.02; synthetic; inv=mixed] || ciphers/willem-van-hessen-1567/siblings/key_1069.tsv [alphabet substitution; Nassau-Orange chancery (Willem van Hessen <-> William of Ora; 23 Mar 1563 (briefnr; d=1.03; synthetic; inv=glyphs] || ciphers/wvo-hessen-1564/key.tsv [alphabet substitution; (folder) wvo-hessen-1564; 1564; d=1.11; synthetic; inv=letters]	Catholic League military/political correspondence (duc de Mayenne's of (1590s) d=1.02 || Nassau-Orange chancery (Willem van Hessen <-> William of Orange), Grum (1560s) d=1.03 || (folder) wvo-hessen-1564 (1560s) d=1.11		
ciphers/fr2933-salviati-1525/ciphertext_f55r.tsv	fr2933-salviati-1525	open	1520s	553	37	mixed			letter-for-letter,multi-sign (homophonic/nomenclator/syllabary),mixed (partial table)	letter-for-letter=1.25; multi-sign (homophonic/nomenclator/syllabary)=1.40; mixed (partial table)=1.42; code=2.59	alphabet substitution=1.25; nomenclator=1.40; mixed=1.42; syllabary=1.70; homophonic=1.78; code numbers=2.59	0.050	ciphers/fr2751-dediou-mayenne/key_mayenne_1592-93_polyphonic.tsv [mixed; Catholic League military/political correspondence (duc de Ma; 1592-93; d=1.17; synthetic; inv=mixed] || ciphers/willem-van-hessen-1567/siblings/key_1069.tsv [alphabet substitution; Nassau-Orange chancery (Willem van Hessen <-> William of Ora; 23 Mar 1563 (briefnr; d=1.17; synthetic; inv=glyphs] || ciphers/wvo-hessen-1564/key.tsv [alphabet substitution; (folder) wvo-hessen-1564; 1564; d=1.26; synthetic; inv=letters]	Catholic League military/political correspondence (duc de Mayenne's of (1590s) d=1.17 || Nassau-Orange chancery (Willem van Hessen <-> William of Orange), Grum (1560s) d=1.17 || (folder) wvo-hessen-1564 (1560s) d=1.26		
ciphers/fr2933-salviati-1525/ciphertext_f55v.tsv	fr2933-salviati-1525	open	1520s	499	37	mixed			letter-for-letter,multi-sign (homophonic/nomenclator/syllabary),mixed (partial table)	letter-for-letter=1.38; multi-sign (homophonic/nomenclator/syllabary)=1.54; mixed (partial table)=1.55; code=2.62	alphabet substitution=1.38; mixed=1.55; nomenclator=1.56; syllabary=1.78; homophonic=1.95; code numbers=2.62	0.055	ciphers/fr2751-dediou-mayenne/key_mayenne_1592-93_polyphonic.tsv [mixed; Catholic League military/political correspondence (duc de Ma; 1592-93; d=1.28; synthetic; inv=mixed] || ciphers/willem-van-hessen-1567/siblings/key_1069.tsv [alphabet substitution; Nassau-Orange chancery (Willem van Hessen <-> William of Ora; 23 Mar 1563 (briefnr; d=1.29; synthetic; inv=glyphs] || ciphers/wvo-hessen-1564/key.tsv [alphabet substitution; (folder) wvo-hessen-1564; 1564; d=1.41; synthetic; inv=letters]	Catholic League military/political correspondence (duc de Mayenne's of (1590s) d=1.28 || Nassau-Orange chancery (Willem van Hessen <-> William of Orange), Grum (1560s) d=1.29 || (folder) wvo-hessen-1564 (1560s) d=1.41		
