# KEY-DESIGN-CAL.tsv -- tools/design_prior.py --calibrate, leave-folder-out, duplicates of the true key dropped, 200 shuffled draws per pair. DESIGN CLASS (operative): true class in the top two for 25 of 29 rankable pairs (chance 14.7 of 29); shuffled-input false-positive rate 0.070 (mean share of draws called plausible for any class); true class wrongly excluded in 2 of 29. FINE FAMILY (advisory, fails the top-two bar): 15 of 29 (chance 9.7); fp 0.086; wrongly excluded 7. Frequency statistics do not separate homophonic, nomenclator and syllabary tables from each other.
tier	key_path	ciphertext_path	n_tokens	true_class	class_rank	class_verdict	class_ranking	true_family	family_rank	family_ranking	note
print	ciphers/clair1067-brienne-poland-1646/key_1646.tsv	ciphers/clair1067-brienne-poland-1646/ciphertext.txt	338	multi-sign (homophonic/nomenclator/syllabary)	1	plausible	multi-sign (homophonic/nomenclator/syllabary)=0.22; code=0.71; letter-for-letter=1.08; mixed (partial table)=1.26	syllabary	2	homophonic=0.39; syllabary=0.41; nomenclator=0.57; code numbers=0.71; alphabet substitution=1.08; mixed=1.26	
print	ciphers/fr5160-letellier-1653/key_1659_f86only.tsv	ciphers/fr5160-letellier-1653/ciphertext_f86.tsv	280	multi-sign (homophonic/nomenclator/syllabary)	1	plausible	multi-sign (homophonic/nomenclator/syllabary)=0.20; code=0.71; letter-for-letter=1.06; mixed (partial table)=1.20	syllabary	1	syllabary=0.20; homophonic=0.37; nomenclator=0.51; code numbers=0.71; alphabet substitution=1.06; mixed=1.20	
print	ciphers/huntington-luzerne-destouches-1781/key.tsv	ciphers/huntington-luzerne-destouches-1781/ciphertext.tsv	719	multi-sign (homophonic/nomenclator/syllabary)	1	not above null	multi-sign (homophonic/nomenclator/syllabary)=1.48; code=2.43; letter-for-letter=2.84; mixed (partial table)=3.86	syllabary	4	nomenclator=1.72; homophonic=1.75; code numbers=2.43; syllabary=2.63; alphabet substitution=2.84; mixed=3.86	
print	ciphers/rah-canada-1869/key.tsv	ciphers/rah-canada-1869/ciphertext.tsv	667	letter-for-letter	2	plausible	multi-sign (homophonic/nomenclator/syllabary)=0.27; letter-for-letter=0.28; mixed (partial table)=0.61; code=1.72	alphabet substitution	2	nomenclator=0.27; alphabet substitution=0.28; mixed=0.61; homophonic=0.65; syllabary=0.66; code numbers=1.72	
print	ciphers/clair349-este-guise-1556/key_decode.tsv	ciphers/clair349-este-guise-1556/ciphertext.tsv	1020	multi-sign (homophonic/nomenclator/syllabary)	1	plausible	multi-sign (homophonic/nomenclator/syllabary)=0.26; letter-for-letter=1.09; code=1.25; mixed (partial table)=1.33	nomenclator	3	syllabary=0.26; homophonic=0.53; nomenclator=0.77; alphabet substitution=1.09; code numbers=1.25; mixed=1.33	
print	ciphers/gunther-van-schwarzburg-1561/key.tsv	ciphers/gunther-van-schwarzburg-1561/ciphertext.tsv	953	multi-sign (homophonic/nomenclator/syllabary)	1	not above null	multi-sign (homophonic/nomenclator/syllabary)=0.52; letter-for-letter=1.07; mixed (partial table)=1.29; code=1.34	homophonic	2	syllabary=0.54; homophonic=0.63; nomenclator=0.66; alphabet substitution=1.07; mixed=1.29; code numbers=1.34	
print	ciphers/szembek-bk1560/key.tsv	ciphers/szembek-bk1560/ciphertext.tsv	434	letter-for-letter	1	plausible	letter-for-letter=0.23; multi-sign (homophonic/nomenclator/syllabary)=0.24; mixed (partial table)=0.87; code=1.55	alphabet substitution	1	alphabet substitution=0.23; nomenclator=0.26; homophonic=0.56; syllabary=0.59; mixed=0.87; code numbers=1.55	
print	ciphers/rah-morillo-1817/key_5186.tsv	ciphers/rah-morillo-1817/ciphertext_5186.tsv	97	letter-for-letter	2	plausible	multi-sign (homophonic/nomenclator/syllabary)=0.26; letter-for-letter=0.28; code=0.77; mixed (partial table)=0.88	alphabet substitution	1	alphabet substitution=0.28; homophonic=0.32; nomenclator=0.32; syllabary=0.50; code numbers=0.77; mixed=0.88	
print	ciphers/trew-posthius-1614-18/key.tsv	ciphers/trew-posthius-1614-18/ciphertext_1614.tsv	69	letter-for-letter	2	not above null	multi-sign (homophonic/nomenclator/syllabary)=0.15; letter-for-letter=0.24; mixed (partial table)=0.84; code=1.34	alphabet substitution	2	nomenclator=0.15; alphabet substitution=0.24; homophonic=0.36; syllabary=0.55; mixed=0.84; code numbers=1.34	
print	ciphers/antt-fcc-costacabral-1865/key.tsv	ciphers/antt-fcc-costacabral-1865/ciphertext.tsv	84	code	4	no reference	multi-sign (homophonic/nomenclator/syllabary)=0.34; mixed (partial table)=0.64; letter-for-letter=1.00; code=1.16	code numbers	6	homophonic=0.36; nomenclator=0.38; syllabary=0.57; mixed=0.64; alphabet substitution=1.00; code numbers=1.16	
print	ciphers/bowes-walsingham-1583/key.tsv	ciphers/bowes-walsingham-1583/ciphertext.txt	101	letter-for-letter	3	not above null	multi-sign (homophonic/nomenclator/syllabary)=0.17; code=0.48; letter-for-letter=0.56; mixed (partial table)=1.00	alphabet substitution	5	homophonic=0.22; nomenclator=0.30; syllabary=0.35; code numbers=0.48; alphabet substitution=0.56; mixed=1.00	
print	ciphers/thurloe-printed/key_montagu.tsv	ciphers/thurloe-printed/P11/ciphertext.txt	227	mixed (partial table)	3	excluded	multi-sign (homophonic/nomenclator/syllabary)=0.21; letter-for-letter=1.12; mixed (partial table)=3.04	mixed	5	homophonic=0.22; nomenclator=0.34; syllabary=0.92; alphabet substitution=1.12; mixed=3.04	
