target	title	years	langs	shelfmarks	class	fraction_read	profile_tokens	tok_unit	trans_files	file_tokens	gaps	outcome_notes	prior_solution_exists	prior_solution_where	prior_solution_used	system_summary	verification
castelcicala1816	Principe di Castelcicala (London, Paris) to the Marchese di Circello and Cavaliere de' Medici, Naples, 1816-1823: numeric-code despatches (ASNa Esteri 2337, DECODE R9553-R9588; catalogue 166, 167)	1816;1817;1819;1823;unknown	Italian	ASNa, Ministero degli affari esteri, busta 2337; DECODE R9553;ASNa, Ministero degli affari esteri, busta 2337; DECODE R9554;ASNa, Ministero degli affari esteri, busta 2337; DECODE R9555;ASNa, Ministero degli affari esteri, busta 2337; DECODE R9556;ASNa, Ministero degli affari esteri, busta 2337; DECODE R9557;ASNa, Ministero degli affari esteri, busta 2337; DECODE R9558;ASNa, Ministero degli affari esteri, busta 2337; DECODE R9559;ASNa, Ministero degli affari esteri, busta 2337; DECODE R9560;ASNa, Ministero degli affari esteri, busta 2337; DECODE R9561;ASNa, Ministero degli affari esteri, busta 2337; DECODE R9562;ASNa, Ministero degli affari esteri, busta 2337; DECODE R9563;ASNa, Ministero degli affari esteri, busta 2337; DECODE R9564;ASNa, Ministero degli affari esteri, busta 2337; DECODE R9565;ASNa, Ministero degli affari esteri, busta 2337; DECODE R9566;ASNa, Ministero degli affari esteri, busta 2337; DECODE R9567;ASNa, Ministero degli affari esteri, busta 2337; DECODE R9569;ASNa, Ministero degli affari esteri, busta 2337; DECODE R9570;ASNa, Ministero degli affari esteri, busta 2337; DECODE R9571;ASNa, Ministero degli affari esteri, busta 2337; DECODE R9579;ASNa, Ministero degli affari esteri, busta 2337; DECODE R9582;ASNa, Ministero degli affari esteri, busta 2337; DECODE R9583;ASNa, Ministero degli affari esteri, busta 2337; DECODE R9584;ASNa, Ministero degli affari esteri, busta 2337; DECODE R9585;ASNa, Ministero degli affari esteri, busta 2337; DECODE R9586;ASNa, Ministero degli affari esteri, busta 2337; DECODE R9587;ASNa, Ministero degli affari esteri, busta 2337; DECODE R9588;ASNa, Ministero degli affari esteri, busta 2337; DECODE R9589	read in part	0.429	10397	code groups	castelcicala1816/cipher/R9554.txt(841);castelcicala1816/cipher/R9558.txt(296);castelcicala1816/cipher/R9559.txt(207);castelcicala1816/cipher/R9560.txt(329);castelcicala1816/cipher/R9561.txt(1310);castelcicala1816/cipher/R9562.txt(262);castelcicala1816/cipher/R9563.txt(620);castelcicala1816/cipher/R9564.txt(864);castelcicala1816/cipher/R9565.txt(725);castelcicala1816/cipher/R9566.txt(993);castelcicala1816/cipher/R9567.txt(662);castelcicala1816/cipher/R9570.txt(80);castelcicala1816/cipher/R9579.txt(647);castelcicala1816/cipher/R9587.txt(218);castelcicala1816/cipher/R9588.txt(432);castelcicala1816/cipher/R9569.txt(258);castelcicala1816/cipher/R9571.txt(131);castelcicala1816/cipher/R9589.txt(113);castelcicala1816/cipher/R9553.txt(254);castelcicala1816/cipher/R9555.txt(164);castelcicala1816/cipher/R9556.txt(124);castelcicala1816/cipher/R9557.txt(78);castelcicala1816/cipher/R9582.txt(74);castelcicala1816/cipher/R9583.txt(50);castelcicala1816/cipher/R9584.txt(19);castelcicala1816/cipher/R9585.txt(109);castelcicala1816/cipher/R9586.txt(537)	1310	main-code groups without a value (55% of target groups): open-codes (two-part code of ~2,450 groups; 162 values from four interlinear cribs; solve.py LM scoring did not ) | R9586 and R9588 (different code, values 100-1100): not-attempted (faint pencil syllabic glosses noted but not attacked) | the 1816-19 Cifra della Segreteria di Stato codebook: needs-physical-access (not on DECODE (R9532-R9541 are 1859-60 keys); ASNa Esteri)	fraction_read = share of main-code groups in the target letters of catalogue 166 and 167 with any key value (key.tsv grades G/X/I; about a third of the values are unconfirmed inferences). No letter reads through; sender/recipient, dates and code stru	partial	Contemporary interlinear decipherments on R9566 p3 (first ten lines), R9569, R9571 and R9589, in ASNa busta 2337; no printed decipherment found.	True	Two-part numeric code of about 2,450 groups for syllables, words and names, homophonic, with local alphabetical runs and 5-figure nulls.	contemporary decipherment
censorship	WW2 British postal-censorship manual steganograms, TNA KV 2/2424 (Schmeh Top 50 no. 33)	1943	German;unknown	TNA KV 2/2424, manual p. 14, Illustration No. 13;TNA KV 2/2424, manual p. 17, Illustration No. 14	not read	0	None	symbols		0		Blocked on image resolution; needs a 1,200 dpi scan of pp. 14 and 17 from Kew.	partial	The manual states both plaintexts but not the mechanics; blog readers read AATHUT (2016) and Arras in the signature (2020)	True	Steganographic Morse in pen marks beside map tram lines, the German plaintext Caesar-shifted by -11; the drawing hides Morse in dress trims and Duployé shorthand in the signature.	none
champagne1590	Champagne news-letters to Nevers 1590-91 and Laurière to Nevers 1593, BnF fr. 3623 and fr. 3625 (catalogue item 30)	1590;1591;1593	French	BnF fr. 3623 no. 23, ff. 35-36 (Gallica btv1b525245007 canvases 79-81; DECODE R9453);BnF fr. 3623 no. 78, f. 111 (DECODE R9460);BnF fr. 3623 nos. 24 (f. 37), 25 (f. 38), 60 (f. 88) (DECODE R9454, R9455, R9459);BnF fr. 3625 no. 55, f. 66r (Gallica btv1b52511322v canvas 143)	read in part	0.418	196	symbols;code groups	champagne1590/ct_3623_twodigit.txt(193);champagne1590/ct_3623_78.txt(22);champagne1590/ct_3625_55.txt(192)	193	Fr. 3625 no. 55 (f. 66r), 67 of 86 groups: open-codes (syllabic nomenclator; the seven glossed runs of no. 10 give only 12 table entries because the clerk ) | Nos. 24/25/60 code numbers 12, 16, 17, 19, 39, 89, 99 and the plain numbers of no. 24 (22, 51, 84, 44): open-codes (no key bound with these letters; the alphabetical two-digit table covers letters only) | No. 24 two passages, first half of the no. 25 'qu'on dict' passage, the name in no. 60 ('de la V?an'): open-codes (values fall outside the anchored slots of the alphabetical table (30-39, 48, 92-99 uncertain); no gl) | No. 78 (f. 111r), one group of about six mixed signs: too-short (a single group, probably a name, in a different mixed code)	No. 23 read in full from its key; nos. 24/25/60 about three quarters of runs read; no. 55 19 of 86 groups from no. 10's glosses; no. 78 open. fraction_read 0.45 is an estimate from the notes (cipher tokens: about 70 of 104 two-digit figures, 19 of 86	partial	no. 23 key slip bound with the letter (f. 36r); interlinear glosses in no. 25 and no. 60	True	No. 23: a small name code with its key bound in; nos. 24/25/60: a two-digit homophonic alphabet in alphabetical order with a few code numbers.	key confirms;contemporary decipherment;historical consistency
charlesi	Charles I in the Isle of Wight, the two unread cipher letters of 22 May and 1 August 1648	1648	English	Printed in John Albin, History of the Isle of Wight (1795) p. 237;Printed in Original Letters	not read	0	200	code groups		0		Two candidate keys excluded; the letters are too short and non-repeating for ciphertext-only analysis.	no	Solvers in 2021 read four other letters only; Albin calls these 'totally unintelligible'	False	Numeric nomenclator of unknown key; the 22 May cipher gives consecutive numbers as homophones of one letter and uses 1-97 and 204-416 only.	matched control
chaulnes	Louis XIV to the duc de Chaulnes, Versailles, 10 July 1690 (300-group one-part code)	1690	French	Private (offered by Traces Écrites, Paris, 2017, ref. 11273)	not read	0	311	code groups	chaulnes/ciphertext.txt(523)	523		300 groups do not determine a 116-entry nomenclator; needs the minute in AE Rome Corr. 331-332.	no	No printed plaintext found; Klausis Krypto Kolumne 2019 thread unbroken	False	One-part Croissy foreign-office code of at least 535 entries: low numbers for letters, then a ten-column table with each consonant's syllables down a column at steps of 10.	matched control
cobham1588	Lord Cobham to Walsingham, May-June 1588 (BL Harley MS 287, DECODE R8490/R8492/R8495/R8496)	1588	English	BL Harley MS 287 f. 88 (DECODE R8492);BL Harley MS 287 ff. 80-81 (DECODE R8490);BL Harley MS 287 ff. 92-93 (DECODE R8495);BL Harley MS 287 ff. 96-97 (DECODE R8496)	read in part	0.35	None	symbols		0	f. 80r-81r (R8490) long run f.80g, codes 22, 27 and the square sign: open-codes (22, 27 and the square are unglossed in the siblings R8481/R8488/R8489/R8493; run 80g gives no word e) | f. 88r (R8492): name after 'captain', word after 'haven of', lines 3-6 and the seven cipher words of ll. 12-20 (recurring 'Tnn'): open-codes (signs K, upsilon, rho, W not glossed on any sibling; polyphonic signs (wedge s/t/a, gamma r/y, c o/a) | f. 92r (R8495) runs 92a-d: open-codes (solver finds no word with two edits; same unglossed and polyphonic signs) | ff. 96r-97r (R8496), all but a few words (e.g. f. 96v line 4): open-codes (only 'passed', 'within France', 'servants', 'priests' read; the rest turns on the same signs; f. 97r)	Sign inventory and codes fixed from glossed siblings; about a third of cipher words read (H/M); remaining runs have polyphonic or unglossed signs.	partial	Contemporary interlinear decipherments of sibling letters (DECODE R8488, R8493); these four letters not deciphered anywhere found; not in CSP Foreign vol. 21 pt 4	True	Substitution in Greek-like letters and signs with homophones (o, l, r, i, u), shared signs (s/t, r/y), nulls and a few code signs, set into clear English; the same system as the glossed March-April 15	contemporary decipherment
cocquet	Cocquet to Mangot, Rome, 13? November 1616, BnF Clairambault 369 ff. 316-317	1616	French	BnF Clairambault 369 f. 317 (Gallica btv1b9000782k, canvas 329)	not read	0	None	symbols		0		Closed at the gate; reopen only with a second Cocquet letter or the embassy key.	no	Tomokiyo: not deciphered; no DECODE record	False	Letter shapes, ligatures and a few figures in nine short runs inside clear French; system not established.	none
colbert	Colbert correspondence ciphers: Charost (Calais, 3 July 1675) and Gravel to Maulevrier (Mainz, 16 Aug 1674), Mélanges de Colbert 172 and 168bis	1675	French	BnF Mélanges de Colbert 172 ff. 23-24 (DECODE R2734) and 168bis ff. 553-554 (DECODE R2733)	not read	0	106	code groups	colbert/ct_shared.txt(218)	218		Needs Maulevrier's key or a clear copy of the 3 July 1675 news.	no	DECODE lists both as non-decrypted	False	Plain figure groups 52-489 without diacritics, shared by Charost and Gravel (probably Maulevrier's key); alphabetical letter-and-syllable designs excluded, perhaps a word nomenclator.	matched control
conley1652	Royalist letters in Abraham Cowley's hand ('Mr. Conleys Hand'), Paris 28 Dec 1652 and 3 May 1653 (BL Harley MS 7003 ff. 314-315; DECODE R7768, R7769)	1652;1653	English	BL Harley MS 7003 ff. 314r-314v; DECODE R7768;BL Harley MS 7003 ff. 314v-315r; DECODE R7769	not read	0	23	code groups	conley1652/codes_l1.txt(22);conley1652/codes_l2.txt(1)	22		Clear text read; the 23 code numbers are too few for a ciphertext-only attack and no Jermyn/Queen key of 1652-53 was found.	no	Not in Miscellanea Aulica (1702), Cowley's printed letters to Bennet; no other print found. Clarendon State Papers calendar not checked.	False	Colon-separated numbers up to 248 inside clear English: a few code words and names apparently spelled letter by letter.	
copenhagen	Copenhagen cryptogram (Schmeh Top 50 no. 23), slip found behind an 1835 portrait of a Danish general	unknown	unknown	unknown (scan Danish-General-Cryptogram.jpg, Cipherbrain; original slip lost)	not read	0	107	symbols	copenhagen/cipher.txt(253)	253		Closed from the only scan; needs the original slip, the painting's identity, or a non-substitution model.	no	Schmeh's Cipherbrain posts and comments; Matthew Brown's Danish hill-climb also failed	False	Three lines of digits, letters, dotted strokes and carets (20 or 25 symbols); not a simple substitution of any of ten languages tested.	matched control
dagapeyeff	D'Agapeyeff challenge cipher, Codes and Ciphers (OUP, 1939) p. 158	1939	unknown	D'Agapeyeff, Codes and Ciphers (1939, first edition) p. 158	not read	0	196	symbols		0		Concluded the encipherment was botched and there is no recoverable plaintext; heavy null insertion not excluded.	no		False	Digit pairs with first digit in {6,7,8,9,0} and second in {1-5}, i.e. a 5x5 Polybius square; 18 of 25 cells used; no English signal under any tested variant.	matched control
debosnys	The Debosnys cryptograms, Essex County NY jail, 1882-83 (Schmeh Top 50 no. 3)	unknown	unknown	Debosnys papers, 'monographe verse' (images c4a.png, c4b.png);Debosnys papers, page No. 10 cipher lines (c3.png);Debosnys papers, passage No. 9 (c2a.png, c2b.png)	not read	0	975	symbols		0		Too short for a crib-free attack on a syllabary; needs a known plaintext (Essex County Historical Society papers).	no	Sektu blog 2017 (structure only), Schmeh, Pelling	False	Composite invented glyphs, about 333 types in 969 tokens; line lengths and couplet rhymes point to a French syllabary, not proven.	matched control
dedem1788	Van Dedem (Constantinople) to Van de Spiegel and the Agent van Staat, 1788-1799 (DECODE R2120, R2122, R2131, R1895)	1788;1789;1793	Dutch	NA The Hague, 3.01.26 (Van de Spiegel), inv. 212	not read	0	941	code groups	dedem1788/tx/R2121_cipher.txt(987);dedem1788/tx/R2122_cipher.txt(450);dedem1788/tx/R2131_cipher.txt(71)	987		R2120 was already read at the time (R2121). R2122, R2131 and R1895 are unread; the codebook or more Dutch cribs are needed.	partial	R2120: the contemporary clear decipherment was filed as R2121. R2122 and R2131: none found.	True	A homophonic one-word-per-group code, numbers 2-3839, shared with Van Dedem's 1789 French despatches; R1895 (1799) uses a different marked system.	contemporary decipherment
desmarets1710	Desmarets to an unnamed correspondent, Marly, 4 June 1710 (DECODE R10198)	1710	French	DECODE R10198 (Desmaretz_1); holding library not given	not read	0	471	code groups	desmarets1710/transcription.txt(943)	943		Leads: Boislisle, Correspondance des controleurs generaux III; AE CP Hollande 1710.	unknown	DECODE marks it 'Partially decrypted', apparently counting the clear prose lines; no printed text found	False	Numerical code of about 570 values (groups 1-568), probably a homophonic syllabic nomenclator, interleaved line by line with clear French prose.	unknown
destaing	D'Estaing to Gérard, Fort Royal (Martinique), 30 April 1779, Clements Library, Clinton Papers 64:14	1779	French	William L. Clements Library, Clinton Papers vol. 64:14	not read	0	217	code groups	destaing/destaing_cryptiana.txt(491)	491		Skipped: 217 tokens of a 600-group code with no key material; needs the AAE copy.	unknown	Possible deciphered copy in AAE or TNA, not checked	False	French numeric code of about 600 elements (letters, syllables, words), two cipher blocks around a clear passage.	none
dinteville1592	Dinteville (Langres) to the Duke of Nevers, 3 July 1592, BnF Français 3621 no. 116 f. 130 (DECODE R9451)	1592	French	BnF Français 3621 f. 128 (Gallica view 265), probably no. 114;BnF Français 3621 no. 116 f. 130 (DECODE R9451; Gallica btv1b52524472n view 269)	not read	None	None	symbols		0		Crib found on f. 128 but key not rebuilt; needs a careful sign transcription of ff. 128 and 130.	no		False	Letter-and-sign substitution with apparent code signs for words; a one-sign-one-letter homophonic mapping does not fit the f. 128 crib.	none
ducroc	Catherine de Médicis to Philibert du Croc, Saint-Maur, 27 April 1567 (Destray 1924, facsimile plate)	1567	French	Archives départementales de la Nièvre (original); facsimile in P. Destray, Philibert du Croc (1924), plate after p. 56, Gallica bpt6k932364m f61	not read	0	166	symbols	ducroc/ct.txt(166)	166		Transcribed, attempted, not solved: needs cribs (du Croc's April 1567 letters, Catherine's letters of the month) or evidence that the dots/ticks are word separators.	no	No reading found: Cipherbrain 2021 thread, Tomokiyo's unsolved list, Destray 1924.	False	Symbol cipher of Latin letters, a few digits and graphic signs (40 distinct), with sparse dots of unknown function; system not established.	none
enigma	"KR Blitz" Enigma message, OB Oberrhein IIa to OKW, 10 January 1945 (Schmeh 2019; TARGETS no. 19)	1945	German	Funkspruch form no. 86, photo supplied by Hptm. Wolfgang Schmidt (Bundeswehr museum, Feldafing), published by Klaus Schmeh 7 Jan 2019	not read	0	97	letters	enigma/NOTES.md(1307)	1307		Status in NOTES: attempt in progress. Remaining passes: the 28 unfinished wheel orders, left-wheel step variants, the 92-letter variant, UKW C; historically the OKW copy or BA-MA RH 19 XIV could hold the clear text.	no	Schmeh 2019 and 2021 list it unsolved; Tomokiyo unsolved.htm; Friederes 2023 thesis attack found nothing.	False	Presumed Army/Luftwaffe Enigma I (UKW B assumed) with plugboard, Grundstellung HIQ and enciphered message key RST; machine settings unknown.	none
esp318	BnF Espagnol 318, the five ciphered letters of the Catholic Monarchs' correspondence, 1497-1504 (catalogue item 9)	1497;1500;1503;1504	Italian;Spanish	BnF Espagnol 318 no. 5, ff. 5-6v;BnF Espagnol 318 no. 92, f. 116r-v;BnF Espagnol 318 no. 93, f. 118r-v;BnF Espagnol 318 no. 94, ff. 120r-121v;BnF Espagnol 318 no. 95, f. 122r-v	read in part	0.4	1979	symbols;mixed	esp318/ct93_eye.txt(1053)	1053	No. 92 (f. 116r-v), about a quarter of the words: open-codes (both pages transcribed and read in part (f116_reading.md); 5 code groups (bog, zeb, zems, xob, bue) ) | No. 93 (f. 118r-v), whole letter: no-key-material (CVC nomenclator with atomic groups (homophonic anneal on ct93_eye.txt failed, -3.5 vs -1.8 nats); th) | No. 94 (ff. 120r-121v), whole letter: not-attempted (never transcribed; Bergenroth's Gran-cifra list not tested against it (next steps 1-2 in the notes)) | No. 95 f. 122r, about a third of the glyphs: illegible (eye, cluster-hybrid and tiling readings agree on the same two thirds; touching signs at 4100 px full)	No. 5 already solved; no. 92 both pages transcribed and about three quarters read (21 Sept 2026); no. 95 about two thirds; nos. 93-94 unread, blocked on BNE MSS 20.211/52. fraction_read 0.3 is an estimate by letter from the notes (no. 5 read in print	partial	No. 5 printed by Parisi 2020; no. 95 solved by Lasry 2022 (GL.htm: 'is solved'; alphabet published as an image, no plaintext); no. 92 key printed by Galende Díaz 1994 and partial interlinear gloss; no	True	Secretariat ciphers of Ferdinand: homophonic sign alphabet interleaved with three-letter CVC nomenclator groups, a different key per letter.	contemporary decipherment;key confirms
fagel1804	Robert Fagel (The Hague) to Prince William V, 18 June 1804 (KHA A31 PWV inv. 337; DECODE R2238)	1804	French	Koninklijk Huisarchief, The Hague, A31 Prins Willem V, inv. nr. 337; DECODE R2238	not read	0	128	code groups	fagel1804/ciphertext.txt(271)	271		Key not located. The code (about 2500 groups) is too large for 128 groups of text to yield a unique exact reading without the key. Best physical target: KHA A31-902 (court cipher papers), followed by A31-2307/2308 (and A31-2292/2293) plus NA 1.10.29 	no	DECODE status non-decrypted; no decipherment on the letter	False	Numerical code of 2-4 digit groups up to 2510, commas between words and dots joining groups within a word, clear endings (t, e, s) appended to some groups, embedded in a clear French letter.	
florence1414	Letters to the Signoria of Florence in the "Cifra Decemviri di Balìa 1414" (ASF, Signori responsive, old filza 1; key: Chiavi delle cifre II, pars 3 no. 1)	1414	unknown	ASF, 'Lettere della Signoria risponsive, filza 1' (Gabbrielli/Meister, old numbering); now probably Signori, Responsive 7 or 8, or Signori-Dieci-Otto, Legazioni e commissarie, missive e responsive 8; exact letters unknown	offline only	0	None	symbols		0	all 1414 letters in the cipher (sender and number unknown): needs-physical-access ()	Blocked: no image of any 1414 letter is online. Next: ASF photographs of Gabbrielli vol. II pars 3 no. 1 (key page with his list of letters used) and index, then the letters.	partial	Gabbrielli's partial key (ASF Chiavi delle cifre II, pars 3 no. 1, 1864), printed by Meister 1902 p. 49; the letters are not printed and no continuous reading is known	True	Homophonic substitution on invented signs and Latin letters, with three word signs (per, et, che), as rebuilt by Gabbrielli from a few words; the full system (nulls, nomenclator) is unknown.	none
foix1563	Coligny to Elizabeth, 12 Jan 1563, and Catherine de' Medici to Paul de Foix, 15 Jan 1563, BL Add MS 4136 ff. 142-143, 148v-149 (DECODE R9238, R9241)	1563	French;unknown	BL Add MS 4136 ff. 142-143 (DECODE R9238);BL Add MS 4136 ff. 148v-149 (DECODE R9241)	read in part	0.0	1007	symbols;mixed	foix1563/qm2_tokens.txt(1055)	1055	R9241 Catherine de' Medici to Paul de Foix, 15 Jan 1563: no-key-material (No decipherment or clear copy found; homophonic annealing negative on a first-pass transcription. Ne)	Catalogue 92. R9238 closed as already solved (in print); R9241 attempted, open. Status: in progress.	in print	R9238 only: Forbes, Full View ii (1741) 272-274; CSP Foreign vi (1869) no. 76. R9241: none known.	True	R9238: Coligny's graphic-sign cipher, about 60 signs, deciphered at the time. R9241: Latin letters, digits, ligatures and a few two-digit numbers with clear null words (pour, car); not one of Forbes's	contemporary decipherment;historical consistency
geertruidenberg	Torcy to the plenipotentiaries at Geertruidenberg (3 Apr 1710) and Villars to Polignac (1 Jun 1710), BL Add MS 61575	1710	unknown	BL Add MS 61575 f. 44 (DECODE R8756);BL Add MS 61575 ff. 38-41 (DECODE R8755)	offline only	None	None	code groups		0		Nothing attempted; needs the DECODE transcription or the BL images.	no		False	Numeric codes (Torcy's with groups to at least 821); Tomokiyo says the two letters use different ciphers.	none
