target	jstor_row	query	host	hits	date
ciphers/fr2980-gramont	7	"Lasry AND (Gramont OR ""Francis I"") in Cryptologia 2022-2026"	api.crossref.org	George Lasry's actual Cryptologia bibliography located: 'Analysis of a late 19th century french cipher created by Major Josse' (2023, 10.1080/01611194.2021.1996484); 'Cryptanalysis of columnar transposition cipher with long keys' (2016, with Kopal/Wacker). NEITHER is about Gramont or Francis I's 1530 diplomatic ciphers -- confirms no Cryptologia journal article on the Gramont 1530 key exists; Lasry's Gramont work is published only via Tomokiyo's web pages, as AUDIT.md already states	2026-09-24
ciphers/fr2980-gramont	7	"Lasry AND (Gramont OR ""Francis I"") in Cryptologia 2022-2026"	www.persee.fr	noise only: unrelated 'Claude Lasry' name-list entries, unrelated Enigma/Poland-1931-40 article, unrelated Castile chivalric-translation article -- no Cryptologia/Gramont hit (Persee does not index Cryptologia)	2026-09-24
ciphers/fr2980-gramont	7	"Lasry AND (Gramont OR ""Francis I"") in Cryptologia 2022-2026"	api.archives-ouvertes.fr	0 hits	2026-09-24
ciphers/fr2980-gramont	7	"Lasry AND (Gramont OR ""Francis I"") in Cryptologia 2022-2026"	Google Scholar (via WebSearch)	Confirms Lasry's known bibliography (2023 Mary Stuart paper with Tomokiyo/Biermann; 2023 Major Josse paper; 2014 Mexican Federal Republic ciphers paper) -- none on Gramont/Francis I. No Cryptologia article on this target located by any host	2026-09-24
ciphers/bowes-walsingham-1583	8	"""Bowes"" AND ""Walsingham"" AND 1583 AND (cipher OR cypher)"	api.openalex.org	no hits [unreachable (anonymous daily budget for this container's shared egress IP exhausted -- api.openalex.org returned 429 'Insufficient budget ... $0 remaining; resets at midnight UTC' on 8 attempts with pauses; no OPENALEX API key set in this environment)]	2026-09-24
ciphers/bowes-walsingham-1583	8	"""Bowes"" AND ""Walsingham"" AND 1583 AND (cipher OR cypher)"	api.semanticscholar.org	no hits [unreachable (api.semanticscholar.org returned 429 'Too Many Requests' on 6 attempts with pauses, no key set)]	2026-09-24
ciphers/bowes-walsingham-1583	8	"""Bowes"" AND ""Walsingham"" AND 1583 AND (cipher OR cypher)"	api.crossref.org	noise only: 'Letters from Sir F. Walsingham, 1583' (a Hakluyt-society primary-source reprint, not a study); 'The Walsingham Gambit' (2022, a board-game/strategy-studies chapter); Richard Bowes on Berlioz notation (Musical Times, surname collision); Journal of Sir Francis Walsingham 1570-83 (Camden Soc reprint) -- none discuss the Cotton Calig. C VII cipher fragments	2026-09-24
ciphers/bowes-walsingham-1583	8	"""Bowes"" AND ""Walsingham"" AND 1583 AND (cipher OR cypher)"	www.persee.fr	noise only: unrelated Old French saint's-life text (Simon de Walsingham, 12th c.), 1961 pharmacy-history article on an English ambassador and a Paris apothecary 1582-84 (adjacent period, different topic), unrelated 2014 article -- no Bowes/cipher hit	2026-09-24
ciphers/bowes-walsingham-1583	8	"""Bowes"" AND ""Walsingham"" AND 1583 AND (cipher OR cypher)"	api.archives-ouvertes.fr	0 hits	2026-09-24
ciphers/bowes-walsingham-1583	8	"""Bowes"" AND ""Walsingham"" AND 1583 AND (cipher OR cypher)"	Google Scholar (via WebSearch)	Confirms known facts (Bowes ambassador to Scotland 1577-83; reported Fowler's cipher letters to Erroll/'Assuerus the Painter', an unrelated episode) and surfaces Lasry/Biermann/Tomokiyo's 2023 Cryptologia Mary Stuart paper, which quotes a DIFFERENT Bowes-to-Walsingham letter of 28 March ('one of the ciphers found with Holte is confessed to have been given forth by the Scottish Queen') -- not our target's 7 April or 31 July letters. No hit on Cotton Calig. C VII ff.196/299 or the F1-F11 fragments specifically	2026-09-24
ciphers/bowes-walsingham-1583	9	"""Smallet"" AND (""Maineville"" OR ""Mainville"")"	api.openalex.org	no hits [unreachable (anonymous daily budget for this container's shared egress IP exhausted -- api.openalex.org returned 429 'Insufficient budget ... $0 remaining; resets at midnight UTC' on 8 attempts with pauses; no OPENALEX API key set in this environment)]	2026-09-24
ciphers/bowes-walsingham-1583	9	"""Smallet"" AND (""Maineville"" OR ""Mainville"")"	api.semanticscholar.org	no hits [unreachable (api.semanticscholar.org returned 429 'Too Many Requests' on 6 attempts with pauses, no key set)]	2026-09-24
ciphers/bowes-walsingham-1583	9	"""Smallet"" AND (""Maineville"" OR ""Mainville"")"	api.crossref.org	no hits	2026-09-24
ciphers/bowes-walsingham-1583	9	"""Smallet"" AND (""Maineville"" OR ""Mainville"")"	www.persee.fr	noise only: unrelated 18th-c Andely commune donation record, Paul Deschamps obituary, unrelated marriage/office history article -- none mention Smallet or Maineville	2026-09-24
ciphers/bowes-walsingham-1583	9	"""Smallet"" AND (""Maineville"" OR ""Mainville"")"	api.archives-ouvertes.fr	1 hit, false positive: Simon Mallet (modern, unrelated), 'Instabilite genomique et reparation de l'ADN chez les mammiferes resistants au cancer' (2026 conference paper) -- a surname near-match to 'Smallet'/'Mallet', not the code-name	2026-09-24
ciphers/bowes-walsingham-1583	9	"""Smallet"" AND (""Maineville"" OR ""Mainville"")"	Google Scholar (via WebSearch)	Confirms Francois de Rocherolles, sieur de Mainville, was the French agent sent to Scotland Dec 1582 (already the identification NOTES.md/AUDIT.md use for the cipher's 'Maineville'/'Mainville'); finds a March 1583 report that Castelnau sent letters to Mainville via a gentlewoman from Gravesend, and that Bowes reported the French agent believed the letters unread -- adjacent context, not a hit naming 'Smallet' anywhere. No source anywhere (any host) uses the code-name 'Smallet'	2026-09-24
ciphers/bowes-walsingham-1583	10	"""Caligula C. VII"" AND (cipher OR decipher*)"	api.openalex.org	no hits [unreachable (anonymous daily budget for this container's shared egress IP exhausted -- api.openalex.org returned 429 'Insufficient budget ... $0 remaining; resets at midnight UTC' on 8 attempts with pauses; no OPENALEX API key set in this environment)]	2026-09-24
ciphers/bowes-walsingham-1583	10	"""Caligula C. VII"" AND (cipher OR decipher*)"	api.semanticscholar.org	no hits [unreachable (api.semanticscholar.org returned 429 'Too Many Requests' on 6 attempts with pauses, no key set)]	2026-09-24
ciphers/bowes-walsingham-1583	10	"""Caligula C. VII"" AND (cipher OR decipher*)"	api.crossref.org	noise only: keyword collisions on 'Caligula' (the Roman emperor) and 'decipherment' (Linear B, the Voynich/Roger Bacon cipher, a 1979 German WWII strip-cipher report) -- no hit on the Cotton Caligula C VII manuscript	2026-09-24
ciphers/bowes-walsingham-1583	10	"""Caligula C. VII"" AND (cipher OR decipher*)"	www.persee.fr	noise only: same Caligula/decipherment keyword collisions (Suetone's Caligula, Linear B, moyen-neerlandais corpus, Tiberius Julius Alexander edict) -- no Cotton-manuscript hit	2026-09-24
ciphers/bowes-walsingham-1583	10	"""Caligula C. VII"" AND (cipher OR decipher*)"	api.archives-ouvertes.fr	0 hits	2026-09-24
ciphers/bowes-walsingham-1583	10	"""Caligula C. VII"" AND (cipher OR decipher*)"	Google Scholar (via WebSearch)	No hit naming 'Caligula C VII' as a shelfmark in connection with a cipher study; only the Bourdeau/dbourdeau cyphersolver repo (already known, community list, not scholarship) surfaced adjacently	2026-09-24
ciphers/bowes-walsingham-1583	11	Tomokiyo AND Bowes	api.openalex.org	no hits [unreachable (anonymous daily budget for this container's shared egress IP exhausted -- api.openalex.org returned 429 'Insufficient budget ... $0 remaining; resets at midnight UTC' on 8 attempts with pauses; no OPENALEX API key set in this environment)]	2026-09-24
ciphers/bowes-walsingham-1583	11	Tomokiyo AND Bowes	api.semanticscholar.org	no hits [unreachable (api.semanticscholar.org returned 429 'Too Many Requests' on 6 attempts with pauses, no key set)]	2026-09-24
ciphers/bowes-walsingham-1583	11	Tomokiyo AND Bowes	api.crossref.org	Tomokiyo's own peer-reviewed bibliography located: 'How I reconstructed a Spanish cipher from 1591' (Cryptologia 2018, 10.1080/01611194.2017.1370038) -- NOT about Bowes; confirms his Bowes material exists only on his cryptiana web pages, not in a journal, consistent with AUDIT.md	2026-09-24
ciphers/bowes-walsingham-1583	11	Tomokiyo AND Bowes	www.persee.fr	noise only (surname collisions: a Japanese-dictionary entry 'Ban Nobutomo', unrelated bow-and-arrow archaeology articles, a James-I-of-Scotland court-culture article that happens to discuss a different 'Bower') -- no hit	2026-09-24
ciphers/bowes-walsingham-1583	11	Tomokiyo AND Bowes	api.archives-ouvertes.fr	0 hits	2026-09-24
ciphers/bowes-walsingham-1583	11	Tomokiyo AND Bowes	Google Scholar (via WebSearch)	Confirms Tomokiyo/Biermann/Lasry 2023 Cryptologia paper on Mary Stuart's letters to Castelnau (already known, unrelated manuscript) as his most prominent recent publication; nothing Bowes-specific in any indexed venue	2026-09-24
ciphers/courten-diary	12	"""William Courten"" AND diary AND cipher"	api.openalex.org	no hits [unreachable (anonymous daily budget for this container's shared egress IP exhausted -- api.openalex.org returned 429 'Insufficient budget ... $0 remaining; resets at midnight UTC' on 8 attempts with pauses; no OPENALEX API key set in this environment)]	2026-09-24
ciphers/courten-diary	12	"""William Courten"" AND diary AND cipher"	api.semanticscholar.org	no hits [unreachable (api.semanticscholar.org returned 429 'Too Many Requests' on 6 attempts with pauses, no key set)]	2026-09-24
ciphers/courten-diary	12	"""William Courten"" AND diary AND cipher"	api.crossref.org	noise only: four separate ODNB biographical entries for different Courtens (William Courten 1642-1702; William/Curteene 1572-1636; another William Courten c.1568-1636 merchant; and the naturalist/collector entry for 'Courten [alias Charleton], William (1642-1702)') -- biographical reference entries, not scholarship on the Add MS 4956 diary or its cipher	2026-09-24
ciphers/courten-diary	12	"""William Courten"" AND diary AND cipher"	www.persee.fr	noise only (across all 4 Courten-related queries this row and rows 13-14): 18th-c Convention-nationale procedural records and unrelated topics that happen to match on 'Courten'/'Charleton' substrings -- no article on William Courten's own diary or cipher	2026-09-24
ciphers/courten-diary	12	"""William Courten"" AND diary AND cipher"	api.archives-ouvertes.fr	0 hits	2026-09-24
ciphers/courten-diary	12	"""William Courten"" AND diary AND cipher"	Google Scholar (via WebSearch)	Confirms Add MS 4956 is catalogued (Digital Ark project, drc.usask.ca) as linked to William Courten 'as Author' -- matches the BL catalogue identification already in NOTES.md, not new. CAUTION: the search engine's own summary asserted 'Medical advice given to William Courten in 1698, mostly recorded in cipher, can be found in ... Add. MS 4956' -- this specific characterisation (that the cipher passages are medical advice) could NOT be independently verified: the Digital Ark page itself only lists the manuscript as a linked item with no content description, and a follow-up targeted search found no independent source repeating this claim. Flagged as an UNCONFIRMED characterisation, not to be relied on or repeated, pending a direct look at the manuscript image or a source that states it	2026-09-24
ciphers/courten-diary	13	Courten AND Sloane AND cipher AND Charleton	api.openalex.org	no hits [unreachable (anonymous daily budget for this container's shared egress IP exhausted -- api.openalex.org returned 429 'Insufficient budget ... $0 remaining; resets at midnight UTC' on 8 attempts with pauses; no OPENALEX API key set in this environment)]	2026-09-24
ciphers/courten-diary	13	Courten AND Sloane AND cipher AND Charleton	api.semanticscholar.org	no hits [unreachable (api.semanticscholar.org returned 429 'Too Many Requests' on 6 attempts with pauses, no key set)]	2026-09-24
ciphers/courten-diary	13	Courten AND Sloane AND cipher AND Charleton	api.crossref.org	ODNB entries noise (as row 12) plus 'Charleton, Robert (1809-1872)' and 'Charleton, Walter, M.D. (1619-1707)' -- both DIFFERENT Charletons, false positives by surname; a 1680 Royal Society poison-experiment paper co-authored by 'the late William Courten Esq' -- genuine but unrelated to the cipher diary	2026-09-24
ciphers/courten-diary	13	Courten AND Sloane AND cipher AND Charleton	www.persee.fr	noise (see row 12)	2026-09-24
ciphers/courten-diary	13	Courten AND Sloane AND cipher AND Charleton	api.archives-ouvertes.fr	0 hits	2026-09-24
ciphers/courten-diary	13	Courten AND Sloane AND cipher AND Charleton	Google Scholar (via WebSearch)	Confirms (already known per NOTES.md's check-solved pass) that William Courten/Charleton used a SEPARATE short numeric cipher on tiny paper labels in the Sloane Herbarium (Natural History Museum) recording specimen provenance, and that a modern researcher named Scott has decoded many of these labels -- this is the herbarium-label cipher, a different and much shorter corpus from the Add MS 4956 diary's own cipher passages, as NOTES.md's edition-risk section already distinguishes. No new source connects the herbarium-label work to the diary's cipher or to Madden's f.66 key	2026-09-24
ciphers/courten-diary	14	"""William Charleton"" Middle Temple naturalist collection 17th century"	api.openalex.org	no hits [unreachable (anonymous daily budget for this container's shared egress IP exhausted -- api.openalex.org returned 429 'Insufficient budget ... $0 remaining; resets at midnight UTC' on 8 attempts with pauses; no OPENALEX API key set in this environment)]	2026-09-24
ciphers/courten-diary	14	"""William Charleton"" Middle Temple naturalist collection 17th century"	api.semanticscholar.org	no hits [unreachable (api.semanticscholar.org returned 429 'Too Many Requests' on 6 attempts with pauses, no key set)]	2026-09-24
ciphers/courten-diary	14	"""William Charleton"" Middle Temple naturalist collection 17th century"	api.crossref.org	Genuine hit, already flagged as unfetched in NOTES.md, NOW FETCHED: 'William Courten's lists of Things Bought from the late seventeenth century', Journal of the History of Collections 29/1 (2018) pp.1-24, Oxford Academic 10.1093/jhc/fhv039-style record (abstract page academic.oup.com/jhc/article-abstract/29/1/1/2503279); the Cambridge repository copy (api.repository.cam.ac.uk bitstream, 8pp PDF, fetched 200 OK 287KB) is the article's accepted manuscript/preprint. This is about Courten's PURCHASE LISTS (naturalia/artificialia acquisitions, prices, sellers), a different manuscript from Add MS 4956's diary+cipher -- confirms the collection context (viewable at Middle Temple from c.1685) already in NOTES.md but is not about the cipher passages	2026-09-24
ciphers/courten-diary	14	"""William Charleton"" Middle Temple naturalist collection 17th century"	www.persee.fr	noise (unrelated 'Temple' archaeology hits -- Amon temple at Dangeil, Ain Ghazal, Sambor Prei Kuk -- 'Temple' matched as a place-name/architecture term, not Middle Temple London)	2026-09-24
ciphers/courten-diary	14	"""William Charleton"" Middle Temple naturalist collection 17th century"	api.archives-ouvertes.fr	0 hits	2026-09-24
ciphers/courten-diary	14	"""William Charleton"" Middle Temple naturalist collection 17th century"	Google Scholar (via WebSearch)	Same JHC 2018 'Things Bought' article as the CrossRef hit (cross-confirmed); also surfaces Walter Charleton (1619-1707), a different, unrelated 17th-c natural philosopher sometimes confused by surname with William Courten alias Charleton -- confirmed as a namesake, not connected to Add MS 4956	2026-09-24
ciphers/courten-diary	15	"""Frederic Madden"" AND manuscript AND key AND cipher AND cataloguing"	api.openalex.org	no hits [unreachable (anonymous daily budget for this container's shared egress IP exhausted -- api.openalex.org returned 429 'Insufficient budget ... $0 remaining; resets at midnight UTC' on 8 attempts with pauses; no OPENALEX API key set in this environment)]	2026-09-24
ciphers/courten-diary	15	"""Frederic Madden"" AND manuscript AND key AND cipher AND cataloguing"	api.semanticscholar.org	no hits [unreachable (api.semanticscholar.org returned 429 'Too Many Requests' on 6 attempts with pauses, no key set)]	2026-09-24
ciphers/courten-diary	15	"""Frederic Madden"" AND manuscript AND key AND cipher AND cataloguing"	api.crossref.org	noise only: Madden's own (unrelated) Catalogue of the Manuscript Music in the British Museum (1842, with Thomas Oliphant); 'The Voynich Cipher Manuscript of Roger Bacon: Sketch of Its History' (1928, keyword collision on 'cipher manuscript', unrelated to Madden or Courten); ODNB entries for two different Maddens (Sir Frederic 1801-1873, and Frederic William 1839-1904, his relative) -- no source on Madden's f.66 key to the Courten diary	2026-09-24
ciphers/courten-diary	15	"""Frederic Madden"" AND manuscript AND key AND cipher AND cataloguing"	www.persee.fr	noise only ('cle'/'key' keyword collisions: Pontifical de Poitiers manuscript, Jane Eyre/Thornfield-Hall literary criticism, a 1970 semiotics article 'La cle des songes', a WWI-memoir article) -- no Madden/Courten hit	2026-09-24
ciphers/courten-diary	15	"""Frederic Madden"" AND manuscript AND key AND cipher AND cataloguing"	api.archives-ouvertes.fr	0 hits	2026-09-24
ciphers/courten-diary	15	"""Frederic Madden"" AND manuscript AND key AND cipher AND cataloguing"	Google Scholar (via WebSearch)	Confirms Madden's general career (assistant keeper of MSS at the British Museum from 1828; catalogued the Holkham MSS with William Roscoe 1825-28; his own diaries/papers 1822-70 held at the British Library, Archives Hub gb133-mad) -- no mention anywhere of his work on the Courten diary or the f.66 cipher key specifically. The Archives Hub finding aid for the Frederic Madden Collection (not yet checked directly by this pass) may be worth a future look for a diary entry describing why he added the key, per AUDIT.md's 'steps from N3' item 4 equivalent for this target's REQUEST.md	2026-09-24
ciphers/fr20140-danzay-1557	16	"""Danzay"" AND 1557 AND (chiffre OR cipher)"	api.openalex.org	no hits [unreachable (anonymous daily budget for this container's shared egress IP exhausted -- api.openalex.org returned 429 'Insufficient budget ... $0 remaining; resets at midnight UTC' on 8 attempts with pauses; no OPENALEX API key set in this environment)]	2026-09-24
ciphers/fr20140-danzay-1557	16	"""Danzay"" AND 1557 AND (chiffre OR cipher)"	api.semanticscholar.org	no hits [unreachable (api.semanticscholar.org returned 429 'Too Many Requests' on 6 attempts with pauses, no key set)]	2026-09-24
ciphers/fr20140-danzay-1557	16	"""Danzay"" AND 1557 AND (chiffre OR cipher)"	api.crossref.org	Sergey Ryabov, 'Secrets of the Foreign Policy of the Last Valois in Northern Europe: The Diplomatic Cipher of Charles de Danzay', Quaestio Rossica 13/4 (2025) pp.1487-1508, 10.15826/qr... -- ALREADY KNOWN per AUDIT.md section (d): reconstructs a DIFFERENT cipher, from letters of 14 Oct 1574 and 28 Feb 1578, not fr.20140 f.35 or the 1557 letter. Not a new source. Other hits noise (Wolfgang Rihm 'Chiffre Cycle', a music-theory book, keyword collision on 'chiffre')	2026-09-24
ciphers/fr20140-danzay-1557	16	"""Danzay"" AND 1557 AND (chiffre OR cipher)"	www.persee.fr	noise only (top 6): two articles on Jean Sauvage's 1586 Russia voyage (unrelated Norman navigator, different 'Sauvage'), a Duplessis-Mornay/Protestant-synods article, a Fourquevaux/Philip-II diplomacy article, two 1911-12 book-notice snippets -- none on fr.20140 or the 1557 letter	2026-09-24
ciphers/fr20140-danzay-1557	16	"""Danzay"" AND 1557 AND (chiffre OR cipher)"	api.archives-ouvertes.fr	0 hits for the combined query; a bare 'Danzay' query (1 term) returns exactly the Daussy 2004 paper (2 records) -- see row 19	2026-09-24
ciphers/fr20140-danzay-1557	16	"""Danzay"" AND 1557 AND (chiffre OR cipher)"	Google Scholar (via WebSearch)	Confirms Danzay's known biography (credentials to Christian III, 28 Nov 1548; returned to Paris 1557) -- already in AUDIT.md via Richard 1910. No hit on fr.20140, f.35, or a 1557 cipher letter	2026-09-24
ciphers/fr20140-danzay-1557	17	"""Dançay"" AND ""cardinal de Lorraine"""	api.openalex.org	no hits [unreachable (anonymous daily budget for this container's shared egress IP exhausted -- api.openalex.org returned 429 'Insufficient budget ... $0 remaining; resets at midnight UTC' on 8 attempts with pauses; no OPENALEX API key set in this environment)]	2026-09-24
