group	letters	years	shelfmarks_arks	estimated_signs	known_key	copy_free_share	read_by	source_files
lodovico birago to nevers	1	1571-1571	birago-nevers-1571	529	keys reconstructed for Birago's other 1570-1572 letters do not solve	0/1	Bourdeau, Tomokiyo, us	ciphers/birago-nevers-1571/NOTES.md
moray wood	1	1568-1568	moray-wood-1568	464	key-shuffle z = 17	0/1	Aymeloglu, Tomokiyo, us	ciphers/moray-wood-1568/NOTES.md
maurice to rupert	1	1645-1645	maurice-rupert-1645	346	keys do not fit; the key would be in BL Add MS 18980-82 or 72438, digitised but offline since the 2023 attack	0/1	Bourdeau, us	ciphers/maurice-rupert-1645/NOTES.md
sp53 f52	1	unknown	sp53-22-f52	206	key at f	0/1	Aymeloglu, Tomokiyo, us	ciphers/sp53-22-f52/NOTES.md
intercepted royalist	1	1646-1646	intercepted-royalist-1646	188	key no	0/1	Aymeloglu, Bourdeau, Tomokiyo, us	ciphers/intercepted-royalist-1646/NOTES.md
ormond to arran	1	1678-1678	ormond-arran-1678	175	keys in charlesii2	0/1	Bourdeau, us	ciphers/ormond-arran-1678/NOTES.md
george stepney to earl manchester	1	1702-1702	stepney-manchester-1702	175	key nearby:** Other undeciphered letters in the Manchester Papers can be read with a key preserved with them in which THE =	0/1	Aymeloglu, Bourdeau, Tomokiyo, us	ciphers/stepney-manchester-1702/NOTES.md
[DECODE:Biblioteca de la Real Academia de la Historia] to signatura	133	1521-1525	BRAH_Signatura-9/23_1; BRAH_Signatura-9/23_10; BRAH_Signatura-9/23_11; BRAH_Signatura-9/23_12; BRAH_Signatura-9/23_13; BRAH_Signatura-9/23_14; BRAH_Signatura-9/23_15; BRAH_Signatura-9/23_16 ...	unknown (~749 pages on record, not signs)	none (DECODE non-decrypted)	0/133	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliotheca Apostolica Vaticana] to barb lat	98	1628-1629	BAV_Barb.lat_6956-1; BAV_Barb.lat_6956-10; BAV_Barb.lat_6956-11; BAV_Barb.lat_6956-12; BAV_Barb.lat_6956-13; BAV_Barb.lat_6956-14; BAV_Barb.lat_6956-15; BAV_Barb.lat_6956-16 ...	unknown (~542 pages on record, not signs)	none (DECODE non-decrypted)	0/98	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to cotton vespanian	46	1526-1529	BL_Cotton_MS_Vespanian_C_III_227; BL_Cotton_MS_Vespanian_C_III_228; BL_Cotton_MS_Vespanian_C_III_229; BL_Cotton_MS_Vespanian_C_III_232; BL_Cotton_MS_Vespanian_C_III_238; BL_Cotton_MS_Vespanian_C_III_244; BL_Cotton_MS_Vespanian_C_III_245; BL_Cotton_MS_Vespanian_C_III_304 ...	unknown (~132 pages on record, not signs)	none (DECODE non-decrypted)	0/46	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Vatican Secret Archive] to 1025	45	1717-1720	ASV_i1025_SdS_Spain_364C-1; ASV_i1025_SdS_Spain_364C-12; ASV_i1025_SdS_Spain_364C-13; ASV_i1025_SdS_Spain_364C-14; ASV_i1025_SdS_Spain_364C-17; ASV_i1025_SdS_Spain_364C-18; ASV_i1025_SdS_Spain_364C-2; ASV_i1025_SdS_Spain_364C-26 ...	unknown (~186 pages on record, not signs)	none (DECODE non-decrypted)	0/45	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Algemeen Rijksarchief] to secretairerie lsquot	44	1674-1678	ARA_Brus_SEG_inr.2559_Carpio_to_Fuenmayor_1677Dec04; ARA_Brus_SEG_inr.2559_Carpio_to_Fuenmayor_1677Dec11; ARA_Brus_SEG_inr.2559_Carpio_to_Fuenmayor_1677Nov13; ARA_Brus_SEG_inr.2559_Carpio_to_Fuenmayor_1677Nov20; ARA_Brus_SEG_inr.2559_Carpio_to_Fuenmayor_1677Oct02; ARA_Brus_SEG_inr.2559_Carpio_to_Fuenmayor_1677Oct09; ARA_Brus_SEG_inr.2559_Carpio_to_Fuenmayor_1677Oct16; ARA_Brus_SEG_inr.2559_Carpio_to_Fuenmayor_1677Sep18 ...	unknown (~186 pages on record, not signs)	none (DECODE non-decrypted)	0/44	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Vatican Secret Archive] to 1025	44	1580-1589	ASV_i1025_SdS_France_17-1; ASV_i1025_SdS_France_17-2; ASV_i1025_SdS_France_18-1; ASV_i1025_SdS_France_18-2; ASV_i1025_SdS_France_18-3; ASV_i1025_SdS_France_22-1; ASV_i1025_SdS_France_22-10; ASV_i1025_SdS_France_22-11 ...	unknown (~193 pages on record, not signs)	none (DECODE non-decrypted)	0/44	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Biblioteca de la Real Academia de la Historia] to signatura	38	unknown	BRAH_Signatura-9/24_17; BRAH_Signatura-9/24_25; BRAH_Signatura-9/25_10; BRAH_Signatura-9/25_6; BRAH_Signatura-9/25_8; BRAH_Signatura-9/25_9; BRAH_Signatura-9/26_1; BRAH_Signatura-9/26_14 ...	unknown (~278 pages on record, not signs)	none (DECODE non-decrypted)	0/38	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Florence State Archives]	36	1401-1500	Dieci_di_Balia_Responsive 8_082; Dieci_di_Balia_Responsive 8_111; Dieci_di_Balia_Responsive_22_243; Dieci_di_Balia_Responsive_22_244; Dieci_di_Balia_Responsive_2_171; Dieci_di_Balia_Responsive_3_021; Dieci_di_Balia_Responsive_3_096; Dieci_di_Balia_Responsive_3_097 ...	unknown (~43 pages on record, not signs)	none (DECODE non-decrypted)	0/36	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
lodewijk nassau to willem oranje	34	1572-1574	ARAB; ARAB ; KHAG; GB ; GPA ; KHAG; GB ; GPA ; KHAG ; MOBG; GPA ; KHAG; GPAS ; KHAG; KHAG	unknown	printed: Groen van Prinsterer	0/34	none on record	sources/wvo/cipher-letters-2026-09-24.tsv
[DECODE:British Library] to add 4136	29	1560-1567	BL_Add_MS_4136_100-101; BL_Add_MS_4136_123; BL_Add_MS_4136_129; BL_Add_MS_4136_133; BL_Add_MS_4136_134; BL_Add_MS_4136_134_2; BL_Add_MS_4136_135; BL_Add_MS_4136_136 ...	unknown (~70 pages on record, not signs)	none (DECODE non-decrypted)	0/29	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Vatican Secret Archive] to 1025	29	1566-1572	ASV_i1025_SdS_Spain_6_I-1; ASV_i1025_SdS_Spain_6_I-10; ASV_i1025_SdS_Spain_6_I-2; ASV_i1025_SdS_Spain_6_I-3; ASV_i1025_SdS_Spain_6_I-4; ASV_i1025_SdS_Spain_6_I-5; ASV_i1025_SdS_Spain_6_I-6; ASV_i1025_SdS_Spain_6_I-7 ...	unknown (~43 pages on record, not signs)	none (DECODE non-decrypted)	0/29	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
jan nassau to willem oranje	27	1572-1577	GPA ; KHAG; GPA ; KHAG ; NAC; GPAS ; KHAG; KHAG	unknown	printed: Groen van Prinsterer; printed: Groen van Prinsterer;Nepveu tot Ameyde; printed: Nepveu tot Ameyde	0/27	none on record	sources/wvo/cipher-letters-2026-09-24.tsv
[DECODE:Koninklijk Huisarchief (KHA)] to prins willem	26	1751-1758	KHA_A31_PWV_inr.201_J.H..Kauderbach_to_ August Wilhelm II_1755-06-20; KHA_A31_PWV_inr.201_J.H..Kauderbach_to_ August Wilhelm II_1755-07-08; KHA_A31_PWV_inr.201_J.H..Kauderbach_to_ August Wilhelm II_1755-07-22; KHA_A31_PWV_inr.201_J.H..Kauderbach_to_ August Wilhelm II_1755-08-12; KHA_A31_PWV_inr.201_J.H..Kauderbach_to_ August Wilhelm II_1755-08-15; KHA_A31_PWV_inr.201_J.H..Kauderbach_to_ August Wilhelm II_1758-08-05_; KHA_A31_PWV_inr192_L.A._d&lsquot;Affry_to_A.L._Rouille_1757-01-25; KHA_A31_PWV_inr192_L.A._d&lsquot;Affry_to_A.L._Rouille_1757-02-03 ...	unknown (~81 pages on record, not signs)	none (DECODE non-decrypted)	0/26	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to sloane 3188	23	unknown	BL_Sloane_MS_3188_109; BL_Sloane_MS_3188_112; BL_Sloane_MS_3188_114; BL_Sloane_MS_3188_138; BL_Sloane_MS_3188_140; BL_Sloane_MS_3188_142; BL_Sloane_MS_3188_144; BL_Sloane_MS_3188_146 ...	unknown (~67 pages on record, not signs)	none (DECODE non-decrypted)	0/23	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliotheque nationale de France (BnF)] to français 3029	21	1530-1540	BNF_Français_3029_100; BNF_Français_3029_102-103; BNF_Français_3029_105; BNF_Français_3029_134-135; BNF_Français_3029_162; BNF_Français_3029_166; BNF_Français_3029_168; BNF_Français_3029_172 ...	unknown (~40 pages on record, not signs)	none (DECODE non-decrypted)	0/21	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bavaria Main State Archive] to kurbayern äußeres	20	1475-1625	BayHStA_KAA_4591_036; BayHStA_KAA_4591_096; BayHStA_KAA_4591_121; BayHStA_KAA_4591_123; BayHStA_KAA_4591_129; BayHStA_KAA_4591_169; BayHStA_KAA_4591_226; BayHStA_KAA_4591_232 ...	unknown (~84 pages on record, not signs)	none (DECODE non-decrypted)	0/20	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
charles henri to willem iii	19	1695-1699	not resolved this pass (NA collection/invnr not identified for this edition's underlying manuscripts)	unknown	--; = HU6, already promoted to ciphers/vaudemont-willemiii-1699/, open/recovery; OPENED -- plain French, NOT cipher (ordinary courtesy letter to the king); OPENED -- plain French, NOT cipher (ordinary	0/19	none on record	sources/huygens/cipher-letters-round2-2026-09-24.tsv
[DECODE:Archivio di Stato di Napoli] to ministerio degli	15	1816-1819	ASN_Ministerio.degli.affari.esteri.2337_10; ASN_Ministerio.degli.affari.esteri.2337_11; ASN_Ministerio.degli.affari.esteri.2337_12; ASN_Ministerio.degli.affari.esteri.2337_13; ASN_Ministerio.degli.affari.esteri.2337_30; ASN_Ministerio.degli.affari.esteri.2337_33; ASN_Ministerio.degli.affari.esteri.2337_34; ASN_Ministerio.degli.affari.esteri.2337_35 ...	unknown (~32 pages on record, not signs)	none (DECODE non-decrypted)	0/15	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:State Archives of Modena] to ambasciatori	15	1482-1486	SAMo_Amb_b_1_10_13; SAMo_Amb_b_1_10_20; SAMo_Amb_b_1_10_20a; SAMo_Amb_b_1_10_21; SAMo_Amb_b_1_10_24a; SAMo_Amb_b_1_10_25; SAMo_Amb_b_1_10_27; SAMo_Amb_b_1_10_4 ...	unknown (~36 pages on record, not signs)	none (DECODE non-decrypted)	0/15	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliothèque nationale de France (BnF)] to 1583	14	1446-1446	BnF_1583_075; BnF_1583_089; BnF_1583_090; BnF_1583_110; BnF_1583_112; BnF_1583_134; BnF_1583_135; BnF_1583_136 ...	unknown (~17 pages on record, not signs)	none (DECODE non-decrypted)	0/14	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:National Archives of Hungary] to g15 caps	13	1704-1708	NAH_G15_CAPS_C_FASC_33_140; NAH_G15_CAPS_C_FASC_33_34; NAH_G15_CAPS_C_FASC_36_18; NAH_G15_CAPS_C_FASC_36_5; NAH_G15_CAPS_C_FASC_39_115; NAH_G15_CAPS_C_FASC_39_277; NAH_G15_CAPS_C_FASC_39_312; NAH_G15_CAPS_C_FASC_39_346 ...	unknown (~47 pages on record, not signs)	none (DECODE non-decrypted)	0/13	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Vatican Secret Archive] to 1025	13	1624-1625	ASV_i1025_SdS_France_62-1; ASV_i1025_SdS_France_62-2; ASV_i1025_SdS_France_62-3; ASV_i1025_SdS_France_64-1; ASV_i1025_SdS_France_64-10; ASV_i1025_SdS_France_64-2; ASV_i1025_SdS_France_64-3; ASV_i1025_SdS_France_64-4 ...	unknown (~91 pages on record, not signs)	none (DECODE non-decrypted)	0/13	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to add 4136	11	1559-1568	BL_Add_MS_4136_032; BL_Add_MS_4136_033; BL_Add_MS_4136_110; BL_Add_MS_4136_111; BL_Add_MS_4136_112; BL_Add_MS_4136_116; BL_Add_MS_4136_118; BL_Add_MS_4136_120 ...	unknown (~23 pages on record, not signs)	none (DECODE non-decrypted)	0/11	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to harley 287	11	1587-1588	BL_Harley_MS_287_039; BL_Harley_MS_287_070r; BL_Harley_MS_287_070v; BL_Harley_MS_287_071r; BL_Harley_MS_287_071v; BL_Harley_MS_287_072r; BL_Harley_MS_287_072v; BL_Harley_MS_287_080 ...	unknown (~16 pages on record, not signs)	none (DECODE non-decrypted)	0/11	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:The National Archives] to state papers	11	1645-1646	TNA_SP106/10_UND_(0207-0210); TNA_SP106/10_UND_(0213-0215); TNA_SP106/10_UND_(0216-0217); TNA_SP106/10_UND_(0223-0228); TNA_SP106/10_UND_(0230-0232); TNA_SP106/10_UND_(0233-0234); TNA_SP106/10_UND_(0235-0236); TNA_SP106/10_UND_(0238-0240) ...	unknown (~27 pages on record, not signs)	none (DECODE non-decrypted)	0/11	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Vatican Secret Archive] to 1025	11	1736-1736	ASV_i1025_SdS_Spain_423-1; ASV_i1025_SdS_Spain_423-10; ASV_i1025_SdS_Spain_423-11; ASV_i1025_SdS_Spain_423-2; ASV_i1025_SdS_Spain_423-3; ASV_i1025_SdS_Spain_423-4; ASV_i1025_SdS_Spain_423-5; ASV_i1025_SdS_Spain_423-6 ...	unknown (~26 pages on record, not signs)	none (DECODE non-decrypted)	0/11	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Vatican Secret Archive] to 1025	10	1573-1581	ASV_i1025_SdS_France_6-1; ASV_i1025_SdS_France_7-1; ASV_i1025_SdS_Portugal_8-1; ASV_i1025_SdS_Portugal_8-2; ASV_i1025_SdS_Portugal_8-3; ASV_i1025_SdS_Portugal_8-4; ASV_i1025_SdS_Portugal_8-5; ASV_i1025_SdS_Spain_10-1 ...	unknown (~36 pages on record, not signs)	none (DECODE non-decrypted)	0/10	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:State Archives of Modena] to amb ung	10	1491-1493	SAMo_Amb_Ung_b_2_20_12; SAMo_Amb_Ung_b_2_20_16; SAMo_Amb_Ung_b_2_20_44; SAMo_Amb_Ung_b_2_20_6; SAMo_Amb_Ung_b_2_20_7; SAMo_Amb_Ung_b_2_21_8; SAMo_Amb_Ung_b_2_22_5; SAMo_Amb_Ung_b_2_22_6 ...	unknown (~33 pages on record, not signs)	none (DECODE non-decrypted)	0/10	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to harley 260	9	1571-1572	BL_Harley_MS_260_112; BL_Harley_MS_260_143; BL_Harley_MS_260_262; BL_Harley_MS_260_264; BL_Harley_MS_260_365; BL_Harley_MS_260_367; BL_Harley_MS_260_395; BL_Harley_MS_260_398 ...	unknown (~25 pages on record, not signs)	none (DECODE non-decrypted)	0/9	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Státní oblastní archiv v Plzni] to pracoviště klášter	9	1638-1639	SOAP_Rd_Trauttmansdorff_inv.nr.200_Kurtz_to_Trauttmansdorff_1638-02-03; SOAP_Rd_Trauttmansdorff_inv.nr.200_Kurtz_to_Trauttmansdorff_1639-01-17; SOAP_Rd_Trauttmansdorff_inv.nr.200_Kurtz_to_Trauttmansdorff_1639-01-27; SOAP_Rd_Trauttmansdorff_inv.nr.200_Kurtz_to_Trauttmansdorff_1639-02-06; SOAP_Rd_Trauttmansdorff_inv.nr.200_Kurtz_to_Trauttmansdorff_1639-02-10; SOAP_Rd_Trauttmansdorff_inv.nr.200_Kurtz_to_Trauttmansdorff_1639-02-13; SOAP_Rd_Trauttmansdorff_inv.nr.200_Kurtz_to_Trauttmansdorff_1639-04-08; SOAP_Rd_Trauttmansdorff_inv.nr.200_Kurtz_to_Trauttmansdorff_1639-04-14 ...	unknown (~106 pages on record, not signs)	none (DECODE non-decrypted)	0/9	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to add 4200	9	1645-1661	Add-MS-4200_11; Add-MS-4200_12; Add-MS-4200_14; Add-MS-4200_15; Add-MS-4200_16; Add-MS-4200_17; Add-MS-4200_18; Add-MS-4200_19 ...	unknown (~11 pages on record, not signs)	none (DECODE non-decrypted)	0/9	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:State Archives of Modena] to ambasciatori	9	1512-1519	SAMo_Amb_b_4_12_12; SAMo_Amb_b_4_12_4; SAMo_Amb_b_4_12_6; SAMo_Amb_b_4_22_5; SAMo_Amb_b_4_22_6; SAMo_Amb_b_4_23_1; SAMo_Amb_b_4_23_10a; SAMo_Amb_b_4_23_5a ...	unknown (~29 pages on record, not signs)	none (DECODE non-decrypted)	0/9	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
anna elisabeth to willem iii	8	1696-1699	not given in the index; needs the volume's own letter list; not resolved this pass (NA collection/invnr not identified for this edition's underlying manuscripts)	unknown	OPENED -- plain French, NOT cipher (papal-envoy letter, footnotes are person-ID notes only); not opened this pass; solved sibling stated to exist in the same Vaudemont circle -- not yet located/read	0/8	none on record	sources/huygens/cipher-letters-2026-09-24.tsv; sources/huygens/cipher-letters-round2-2026-09-24.tsv
[DECODE:Archivo de la Corona de Aragón] to diversos	8	1495-1498	ACA_Diversos_Sástago_193(Lío B)_1; ACA_Diversos_Sástago_193(Lío B)_2; ACA_Diversos_Sástago_193(Lío B)_3; ACA_Diversos_Sástago_193(Lío B)_4; ACA_Diversos_Sástago_193(Lío B)_5; ACA_Diversos_Sástago_193(Lío B)_6; ACA_Diversos_Sástago_193(Lío B)_7; ACA_Diversos_Sástago_193(Lío B)_8	unknown (~21 pages on record, not signs)	none (DECODE non-decrypted)	0/8	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliotheque nationale de France (BnF)] to français 3053	8	1536-1537	BNF_Français_3053_006; BNF_Français_3053_016; BNF_Français_3053_021; BNF_Français_3053_032; BNF_Français_3053_035; BNF_Français_3053_040; BNF_Français_3053_077; BNF_Français_3053_085	unknown (~37 pages on record, not signs)	none (DECODE non-decrypted)	0/8	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Österreichisches Staatsarchiv] to haus	8	1684-1877	ÖStA_HHStA_Stk_Int_Chiffrenschlüssel_fasc_27_018-019; ÖStA_HHStA_Stk_Int_Chiffrenschlüssel_fasc_27_054; ÖStA_HHStA_Stk_Int_Chiffrenschlüssel_fasc_27_057-058; ÖStA_HHStA_Stk_Int_Chiffrenschlüssel_fasc_27_059; ÖStA_HHStA_Stk_Int_Chiffrenschlüssel_fasc_27_060-063; ÖStA_HHStA_Stk_Int_Chiffrenschlüssel_fasc_27_064-067; ÖStA_HHStA_Stk_Int_Chiffrenschlüssel_fasc_altad_27_002; ÖStA_HHStA_Stk_Int_Chiffrenschlüssel_fasc_altad_27_003	unknown (~29 pages on record, not signs)	none (DECODE non-decrypted)	0/8	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Vatican Secret Archive] to 1025	8	1757-1761	ASV_i1025_SdS_Portugal_117-1; ASV_i1025_SdS_Portugal_117-2; ASV_i1025_SdS_Portugal_117-3; ASV_i1025_SdS_Portugal_117-4; ASV_i1025_SdS_Portugal_117-5; ASV_i1025_SdS_Portugal_117-6; ASV_i1025_SdS_Portugal_117-7; ASV_i1025_SdS_Portugal_117-8	unknown (~10 pages on record, not signs)	none (DECODE non-decrypted)	0/8	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Archivo General de Simancas] to sec estado	7	1531-1537	AGS_EST_LEG_1184; AGS_EST_LEG_496_2; AGS_EST_LEG_496_3; AGS_EST_LEG_496_4; AGS_EST_LEG_853_1; AGS_EST_LEG_853_3; AGS_EST_LEG_862	unknown (~48 pages on record, not signs)	none (DECODE non-decrypted)	0/7	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Archivio di Stato di Napoli] to ministerio degli	7	unknown	ASN_Ministerio.degli.affari.esteri.2337_14; ASN_Ministerio.degli.affari.esteri.2337_15; ASN_Ministerio.degli.affari.esteri.2337_16; ASN_Ministerio.degli.affari.esteri.2337_17; ASN_Ministerio.degli.affari.esteri.2337_18; ASN_Ministerio.degli.affari.esteri.2337_37; ASN_Ministerio.degli.affari.esteri.2337_5	unknown (~29 pages on record, not signs)	none (DECODE non-decrypted)	0/7	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Státní oblastní archiv v Plzni] to pracoviště klášter	7	1720-1722	SOAP_Rd_Windischgraetz_inv.nr.1433_L._V._von_Windischgraetz_to_E._F._von_Windischgraetz_1721-11-18; SOAP_Rd_Windischgraetz_inv.nr.5_Karl_VI._to_L._V._von_Windischgraetz_1720-02-03; SOAP_Rd_Windischgraetz_inv.nr.5_Karl_VI._to_L._V._von_Windischgraetz_1720-04-13; SOAP_Rd_Windischgraetz_inv.nr.5_Karl_VI._to_L._V._von_Windischgraetz_1720-07-24; SOAP_Rd_Windischgraetz_inv.nr.5_Karl_VI._to_L._V._von_Windischgraetz_1722-04-11; SOAP_Rd_Windischgraetz_inv.nr.694_Karl_VI._to_L._V._von_Windischgraetz_1720-02-03; SOAP_Rd_Windischgraetz_inv.nr.694_Karl_VI._to_L._V._von_Windischgraetz_1720-04-13	unknown (~30 pages on record, not signs)	none (DECODE non-decrypted)	0/7	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:The National Archives] to state papers	7	1558-1714	TNA_SP106/10_UND_(0128-0138); TNA_SP106/10_UND_(0139-0140); TNA_SP106/10_UND_(0167-0169); TNA_SP106/10_UND_(0186-0187); TNA_SP106/10_UND_(0188-0189); TNA_SP106/10_UND_(0190-0192); TNA_SP106/10_UND_(0249)	unknown (~22 pages on record, not signs)	none (DECODE non-decrypted)	0/7	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:The National Archives] to state papers	7	unknown	TNA_SP106/10_UND_(0020); TNA_SP106/10_UND_(0125); TNA_SP106/10_UND_(0141-0143); TNA_SP106/10_UND_(0164-0166); TNA_SP106/10_UND_(0170-0171); TNA_SP106/10_UND_(0175-0177); TNA_SP106/10_UND_(0181-0182)	unknown (~15 pages on record, not signs)	none (DECODE non-decrypted)	0/7	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
willem hessen to willem oranje	6	1563-1567	GPA ; HHSAWB ; HSAM ; KHAG ; SAD; GPA ; HSAM ; KHAG; HSAM; HSAM ; KHAG; willem-van-hessen-1567	unknown	key source for the circle's cipher design (same correspondent as 1127, the; printed: Groen van Prinsterer	1/6	us	ciphers/willem-van-hessen-1567/NOTES.md; sources/wvo/cipher-letters-2026-09-24.tsv
[DECODE:Biblioteca de la Real Academia de la Historia] to signatura	6	1424-1424	BRAH_Signatura-9/31_10; BRAH_Signatura-9/31_11; BRAH_Signatura-9/31_13; BRAH_Signatura-9/31_14; BRAH_Signatura-9/31_8; BRAH_Signatura-9/31_9	unknown (~24 pages on record, not signs)	none (DECODE non-decrypted)	0/6	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to stowe 166	6	1592-1594	BL_Stowe_MS_166_050; BL_Stowe_MS_166_056; BL_Stowe_MS_166_058; BL_Stowe_MS_166_060; BL_Stowe_MS_166_109; BL_Stowe_MS_166_111	unknown (~19 pages on record, not signs)	none (DECODE non-decrypted)	0/6	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
