# XMATCH-CAL gate: max(z_ngram, z_valuefreq) vs 20 class-shuffled-value keys >= 3.292 for ciphertexts with >= 100 tokens and coverage >= 0.5. Admits 13 of 13 verified pairs in that stratum; shuffled-value null draws passing: 3 of 260 (rate 0.0115, null p99 3.498, margin -0.206). Admit-all gate (every verified pair, any length): >= -0.582, null pass 336 of 360 (rate 0.9333). Print-tier admitted 6 of 7. Token-order-shuffled own decodes passing 50 of 65 (see KEY-CROSSMATCH.md).
tier	why	key_path	ciphertext_path	lang	coverage	n_tokens	N_letters	score	z_ng	z_vf	stat	lang_pos	in_stratum	admitted	null_max	null_pass	order_pass
verified	N4 two audits	ciphers/august-van-saksen-1561-64/key_74.tsv	ciphers/august-van-saksen-1561-64/ciphertext_57.tsv	de	0.983	300	310	-1.183	6.742	4.084	6.742	0.387	True	True	1.804	0	2
verified	N4 two audits	ciphers/august-van-saksen-1561-64/key_98.tsv	ciphers/august-van-saksen-1561-64/ciphertext_126.tsv	de	0.983	240	251	-1.155	11.208	4.765	11.208	0.411	True	True	3.414	1	5
verified	N3 two audits (5551)	ciphers/jan-van-nassau-1572-75/key_1572.tsv	ciphers/jan-van-nassau-1572-75/ciphertext_5551.tsv	fr	0.500	32	58	-1.287	-0.582	-0.806	-0.582	0.589	False	False	1.745	0	0
verified	N3 two audits	ciphers/espagnol142-mercy-1648/key.tsv	ciphers/espagnol142-mercy-1648/ciphertext.tsv	fr	1.000	522	520	-1.267	14.678	3.916	14.678	0.623	True	True	2.092	0	4
verified	N3/N4 two audits	ciphers/antt-linhares-chave/key.tsv	ciphers/antt-linhares-chave/ciphertext.tsv	pt	1.000	26	102	-1.147	0.754	0.000	0.754	0.945	False	False	2.341	0	0
verified	N1/N3 two audits	ciphers/vanbeuningen-dewitt-1657/key.tsv	ciphers/vanbeuningen-dewitt-1657/ciphertext.tsv	nl	0.999	862	2408	-1.529	0.692	6.489	6.489	0.051	True	True	2.307	0	5
verified	N4 two audits	ciphers/huntington-blathwayt-madrid-1728/key.tsv	ciphers/huntington-blathwayt-madrid-1728/ciphertext_targets.tsv	fr	0.878	172	448	-0.902	3.493	5.614	5.614	0.998	True	True	2.362	0	5
verified	named verified in the XMATCH-CAL brief	ciphers/oxenstierna-gustav-adolf-1632/key.tsv	ciphers/oxenstierna-gustav-adolf-1632/ciphertext_key.tsv	fr	0.900	771	694	-1.558	9.262	3.381	9.262	0.321	True	True	2.609	0	1
print	N0	ciphers/clair1067-brienne-poland-1646/key_1646.tsv	ciphers/clair1067-brienne-poland-1646/ciphertext.txt	fr	1.000	338	531	-0.989	8.648	3.273	8.648	0.920	True	True	2.155	0	4
print	N0	ciphers/fr5160-letellier-1653/key_1659_f86only.tsv	ciphers/fr5160-letellier-1653/ciphertext_f86.tsv	fr	0.957	280	404	-1.148	9.742	2.257	9.742	0.702	True	True	1.563	0	1
print	N0	ciphers/huntington-luzerne-destouches-1781/key.tsv	ciphers/huntington-luzerne-destouches-1781/ciphertext.tsv	fr	0.797	719	1707	-0.971	4.073	4.960	4.960	0.923	True	True	3.054	0	5
print	N0	ciphers/rah-canada-1869/key.tsv	ciphers/rah-canada-1869/ciphertext.tsv	es	1.000	667	665	-0.908	16.336	3.488	16.336	0.965	True	True	2.472	0	2
print	N0	ciphers/clair349-este-guise-1556/key_decode.tsv	ciphers/clair349-este-guise-1556/ciphertext.tsv	fr	0.942	1020	1195	-1.225	14.308	4.350	14.308	0.650	True	True	1.723	0	3
print	N0	ciphers/gunther-van-schwarzburg-1561/key.tsv	ciphers/gunther-van-schwarzburg-1561/ciphertext.tsv	de	0.913	953	885	-1.478	3.276	2.898	3.276	0.147	True	False	2.973	0	0
print	N0	ciphers/szembek-bk1560/key.tsv	ciphers/szembek-bk1560/ciphertext.tsv	it	1.000	434	434	-1.431	8.215	2.173	8.215	0.423	True	True	3.173	0	1
print	N0	ciphers/trew-posthius-1614-18/key.tsv	ciphers/trew-posthius-1614-18/ciphertext_1614.tsv	la	1.000	69	69	-1.885	2.491	2.002	2.491	-1.055	False	False	2.420	0	1
print	N0	ciphers/antt-fcc-costacabral-1865/key.tsv	ciphers/antt-fcc-costacabral-1865/ciphertext.tsv	pt	0.976	84	189	-1.000	4.060	0.206	4.060	1.130	False	False	2.127	0	0
skipped	no scoring corpus for language '?'	ciphers/rah-morillo-1817/key_5186.tsv	ciphers/rah-morillo-1817/ciphertext_5186.tsv														
skipped	no scoring corpus for language '?'	ciphers/bowes-walsingham-1583/key.tsv	ciphers/bowes-walsingham-1583/ciphertext.txt														
skipped	no scoring corpus for language 'en16'	ciphers/thurloe-printed/key_montagu.tsv	ciphers/thurloe-printed/P11/ciphertext.txt														
