folder	status	blocker	cost_band	near_row	last_touched	next_step
courten-diary	open	runnable	S	n	25 Sep	api.archives-ouvertes.fr 8 (4 combined-query 0-hit attempts, 4 narrower follow-ups).
cylob-c1995	open	runnable	S	n	25 Sep	
debosnys-1883	open	runnable	M	n	25 Sep	**Limits, stated plainly.** (a) The eye labels are one pass by one session, graded by that session's own confidence; the H/M/L shares above are self-assessed, and the matched check is the blind pass…
decode-1162-modena-ambung-1492	open	runnable	S	n		## DECODE image-check follow-up answered, 24 September 2026
decode-1168-modena-costabili-1492	partial	runnable	S	n		QUEUE.md row **DC10** placed this in the "DECODE non-decrypted records with images" section (which pools both Non-decrypted and Partially-decrypted rows from the underlying crawl, per `sources/decode…
decode-1411-hhsta-vienna-1600	open	runnable	S	n		
decode-2678-bnf-colbert127-gravel-1665	open	runnable	S	n		
decode-2754-bnf-baluze156-1636	open	runnable	S	n		Next step for a future worker: match the cipher's doubled-letter tokens (tt, ll, nn, ff) against Lasry's letter-symbol table by shape, and/or search for a nomenclator with a different number range be…
decode-4450-bnf-fr20506-1525	open	runnable	S	n		Per D2's own flagged follow-up ("check fr.20506's neighbouring canvases for a continuation before assuming the copy is deliberately partial"): fetched the 4 Gallica canvases after f136v (canvas 276)…
decode-9970-simancas-1527	open	runnable	S	n		
della-torre-olanda-1690	open	runnable	S	n		
destaing-gerard-1779	open	runnable	S	n	25 Sep	
eckert-1862	partial	runnable	S	n		- Follow-up suggestion (verifier, 24 Sept 2026, not done): the reading.md summary sentence "the only variants are clerical" should be corrected by the solver lane to name the T10 variants (AUDIT.md s…
eckert-1864	partial	runnable	S	n		
erba-2006	open	runnable	S	n	25 Sep	
esp318-sicilia-1503	open	runnable	S	n	26 Sep	No other canvases (453-455) cropped in this job -- one sample page is enough for the image step; the next job cuts the remaining three.
espagnol142-mercy-1648	partial	runnable	M	n	26 Sep	**What this means for NEAR.md.** The "pools first" next step named for this target is now answered negatively within Espagnol 142-144: there is no second ciphered leaf under this 38-value code in the…
fair-game-2010	open	runnable	S	n	25 Sep	
florence-dieci-responsive	blocked	runnable	S	n		## Next steps (not done here, budget/window)
fr15564-mercoeur-1586	blocked	runnable	S	n		
fr16092-maisse-1582	blocked	runnable	S	n	25 Sep	**Snippets cannot fully answer the row's question**, per the row's own instruction for that case, but they substantially narrow it: the right book is now known to be partially queryable, and the next…
fr2933-salviati-1525	open	runnable	S	n	26 Sep	Missing ingredient, named as the next step rather than a further tuning of this family: the untranscribed plain-Italian boxes between runs -- with the context words on disk, a code type would be scor…
fr2980-gramont	partial	runnable	M	n		A key-image check against the Lasry and Tomokiyo tables is the next step for eh, Tb and the crosses.
fr2988-ranzo-1520s	open	runnable	S	n	24 Sep	
fr3022-garbino-1528	open	runnable	S	n	24 Sep	
fr3151-noailles-1558	open	runnable	S	n	26 Sep	Not a next step for this job (brief: transcribe, align, gate, stop).
fr3151-seure-1558	blocked	runnable	M	n	24 Sep	Suggested next step: a worker with a larger cap either (a) re-runs the atlas with a trimmed region and works through f75L's remaining lines against the existing classified box list, or (b) captures i…
fr3198-labbe-1577	blocked	runnable	S	n	24 Sep	
fr3621-dinteville-1592	open	runnable	S	n	24 Sep	
fr3625-lauriere-1593	open	runnable	S	n	26 Sep	### Next step
fr3789-mariedemedicis-savary-1610	blocked	runnable	M	n	25 Sep	**Follow-up (not in this brief, one line only):** a settling pass on `disagreements.tsv` against the image would sharpen `ciphertext_draft.tsv` into a citable `ciphertext.tsv`; separately, per Bourde…
fr3975-vieuville-1587	blocked	runnable	S	n		
fr3984-sega-1593	blocked	runnable	M	n		**Not independently confirmed and flagged for whoever picks this up:** (1) this pass did not fetch the fr.3985 Gallica leaf itself (canvas range c.6-13, `btv1b90606498`) to check the date and hand ag…
fr3985-nevers-revol-1593	blocked	runnable	M	n		Next: LANE R5 G builds a no.60 sign atlas from the interlined leaves of the same copyist (fr.3985 f.126-130, fr.3986 f.151/152) and re-runs F1's leaves; if that passes 80%, this letter follows.
fr3986-nevers-revol-1593	blocked	runnable	M	n		Next: LANE R5 G builds a no.60 sign atlas from the interlined leaves of the same copyist (fr.3985 f.126-130, fr.3986 f.151/152) and re-runs F1's leaves; if that passes 80%, this letter follows.
fr3987-nevers-revol-1593	blocked	runnable	M	n		Next: LANE R5 G builds a no.60 sign atlas from the interlined leaves of the same copyist (fr.3985 f.126-130, fr.3986 f.151/152) and re-runs F1's leaves; if that passes 80%, this letter follows.
fr3989-nevers-revol-1594	blocked	runnable	M	n		Next: LANE R5 G builds a no.60 sign atlas from the interlined leaves of the same copyist (fr.3985 f.126-130, fr.3986 f.151/152) and re-runs F1's leaves; if that passes 80%, this letter follows.
fr3990-nevers-henri4-1594	blocked	runnable	M	n		Next: LANE R5 G builds a no.60 sign atlas from the interlined leaves of the same copyist (fr.3985 f.126-130, fr.3986 f.151/152) and re-runs F1's leaves; if that passes 80%, this letter follows.
fr3993-villeroy-1595	open	runnable	S	n	24 Sep	
fr4687-paleologue-nevers	blocked	runnable	S	n	25 Sep	Suggested follow-ups: that block; a nomenclator-aware solver (units allowed to stand for syllables or words); crib tests anchored on `suofratel` with 6 restarts and a matched control whose true crib…
fr5160-letellier-1653	open	runnable	S	n		**Follow-up, not attempted here (stop when the brief is met):** if a later worker wants to close the "no cipher in item 2" question more firmly than a 9-canvas sample, the remaining ~135 canvases of…
fr5761-election-1519	open	runnable	M	n		This needs f105-f109 atlas-coded before it can be answered for the document as a whole -- flagged as the next step for a worker extending the atlas past f104/f110, not concluded here either way.
fr7129-villeroy-bongars-1604	blocked	runnable	S	n		Follow-up suggestion (not pursued, out of this brief's scope): a ±10-folio thumbnail scan of fr.7129 around f.268 for an unlisted duplicate or minute (Luzerne-rule sweep), and a look at fr.15571-73 (…
gla-claudiamedici-1633	open	needs-edition	M	n	24 Sep	**Recommended next steps (not run this pass):** (1) finish the Tiroler Landesarchiv / Claudia de' Medici edition check before any solving; (2) open *Briefe und Akten zur Geschichte des Dreißigjährige…
goldbar-1933	open	runnable	S	n	25 Sep	
harley-287-1587	partial	runnable	S	n	25 Sep	
heinsius-dopff-1702	open	runnable	S	n		Brief `.claude/briefs/runs/2026-09-24-lane-n2-csHU2.md` (LANE N2, follow-up to csHU).
heinsius-hermitage-1704	open	runnable	M	n	24 Sep	2317 (the candidate key) should be requested together, since comparing them is the actual next step, not two separate visits.
heinsius-vanhaersolte-1703	open	runnable	S	n	24 Sep	Brief `.claude/briefs/runs/2026-09-24-lane-n2-csHU3.md` (LANE N2, follow-up to scHU2's round-2 harvest).
hellen-frederick-1752	open	runnable	S	n	25 Sep	LANE OX worker OX-HEL (session_01CVGMSmAMAL3MFLp3mTVTJw) claimed this target at 02:01 UTC to do this check but stalled on an AskUserQuestion call and pushed nothing (see ROOM.md); this is its success…
hessen-1824	partial	runnable	S	n	26 Sep	See `tools/data/de19/README.md` for the full search log and the follow-up this leaves (adding Kleist's actual novellas and Hoffmann once their clean ebook IDs are confirmed).
hessen-daenemark-1672	partial	runnable	M	n	26 Sep	Next step (not run here, out of a breadth worker's $2.5 cap): a dedicated transcription pass reading every gloss and every code occurrence at full native resolution (crops under `images/`, already fe…
hstas-osiander-1627	open	runnable	M	n	24 Sep	**Recommended next steps (not run this pass):** (1) search Württembergische Vierteljahrshefte für Landesgeschichte's own index for "Osiander" + "Diarium"/"Tagebuch"; (2) re-test LABW's viewer for J 7…
huntington-blathwayt-madrid-1728	partial	runnable	S	n	24 Sep	Follow-ups (suggestions, not done): HMC *Polwarth* V (1961); TNA SP 36/13/129, SP 36/14/184 (Marchmont's covering letters from Cessnock, July/Aug 1729, "enclosures not forthcoming"), SP 54/19/98A-B (…
huntington-luzerne-destouches-1781	open	runnable	S	n		**Suggested follow-ups (not started):** a second filler on the 68 control to test whether the 50 percent is the method or this filler; compare the R16 fills with the later pencil glosses on 108(A) it…
hza-hohenlohe-1679	open	runnable	M	n	24 Sep	**Recommended next steps (not run this pass):** (1) read the *Archiv für hohenlohische Geschichte* Wolfgang Julius article for any mention of these reports, "Chiffre", Melchior, Pape or Köhler; (2) c…
jan-van-nassau-1572-75	open	runnable	M	n	24 Sep	**Verdict: status open** for the pre-postscript body (408+129 = 537 raw groups, no known circle key confirmed to cover it; testing key_1572 and the partial 1575 nomenclator against it is the natural…
kaliningrad-2015	open	runnable	S	n	26 Sep	**Next steps.** Every convention-B Latin-alphabet language tried so far (German not tried at B; Russian S1/S3' already negative; nl/da/en/fr/it/es/pl/ru-s3 all now control-backed negatives) leaves Po…
koehler-1944	open	runnable	S	n	26 Sep	## Next steps (one-line suggestions only, per Usage rule 7 -- not run here)
konstanz-talleyrand-sieyes-1798	open	runnable	S	n		
la-garde-1577	open	runnable	S	n	25 Sep	**Left for whoever picks this up:** (1) whether "justifier le faict de Gand" belongs in `ciphertext_6467_v2.tsv`/a plaintext file as a C-grade (known-plaintext) clear-text insertion at this point in…
lambeth-bacon-649	open	runnable	S	n		
lambeth-casenowe-1586	open	runnable	S	n		
lodewijk-van-nassau-1573-74	partial	runnable	S	n	26 Sep	**Next step for a successor:** either (i) score each candidate by its *mean* excess per character rather than the *sum*, so a 3-character trigram must average better than a 1-character letter, not me…
lope-hurtado-1522	partial	needs-person	S	n	26 Sep	Not a LOCAL-QUEUE row (no paywall or login was hit); a next step, not run here, is checking whether Universitat de València holds a separate, longer 2017 doctoral deposit (a second Teseo/RODERIC reco…
malsburg-hessen-1636	partial	runnable	S	n	26 Sep	One-line follow-up suggestion (out of this job's scope): the "G.G./A.A./K.K." three-monogram list and the f.32 diamond sigil are candidate codename labels for a nomenclator crib if a fourth occurrenc…
matignon-mayenne-1586	partial	runnable	M	n	26 Sep	**What would settle the target now (next step, not done).** Hand alignment against the margin crib has now failed three known-answer controls.
maurice-rupert-1645	open	runnable	S	n	25 Sep	
mccormick-1999	open	runnable	S	n	25 Sep	## Cheap test 4 (25 Sept 2026, LANE B3 bMCC4) -- token/nomenclator test, NEAR.md's named next step
mlh-1976	open	runnable	M	n	25 Sep	### Where this leaves cheap test 2 (spec's next step, not run this pass)
moray-wood-1568	partial	runnable	S	n	25 Sep	This target's own status is therefore set to **`partial`** here (matching Aymeloglu's own word), crediting them, with the explicit next step (per the existing NOTES.md "Ideas" line, unchanged) that a…
mornington-1798	partial	runnable	S	n	25 Sep	
moustier-altars	open	runnable	S	n	25 Sep	Suggested follow-ups (one line each, not run): - A closer/better-lit photo of altar 2 (Moustier-212.jpg was too oblique) would help settle the `Λ`-vs-`A` question by eye rather than by cross-referenc…
na-janssens-java-1811	partial	runnable	M	n		**Single best next step for a future lane**: a full page-by-page read of the ~185 still-sparsely-sampled leaves of this 233-leaf bundle (1-179, 218-233) for a "Numero Un" decipherment -- leaf 188 is…
na-oldenbarnevelt-2442-1605	open	runnable	M	n		Successor tasks, one line each: (a) clear B and C1's 60% reconciliation gate with a further image pass on their remaining low-confidence tokens (B: 42 unresolved of 86; C1: 30 of 53, the weakest bloc…
na-raad-azie-1800	open	runnable	S	n		## Suggested next step (not this job's scope)
na-schonenberg-1678-1716	partial	runnable	M	n		**Suggested next step** (not run here, brief did not name it): a third, targeted transcription pass over just the dense L04-L05/L07-L14 stretch, cross-checked position-by-position against the image t…
na-suriname-map-1781	partial	runnable	S	n		**Single best next step for a future lane:** settle the "van" vs "PAN" disagreement on 2039's cartouche line 2 with one more independent, high-zoom read of that specific 3-glyph position (this is a f…
naf14913-rousseau-venice-1743	open	needs-person	S	n		If pursued at all, the next step is a print-check worker with JSTOR/Cairn access reading the 2015 Archives de Philosophie article in full and checking Labro's 2012 edition (via WorldCat/library) for…
newcastle-stone-1728	open	runnable	S	n		**open**, stage 2 verified unsolved (conditional: Coxe's two 1798/1802 Walpole memoir volumes are named, readily available editions from exactly this circle and period that have not actually been ful…
nla-heinrich-braunschweig-1519	open	runnable	M	n	24 Sep	**Recommended next steps (not run this pass):** (1) open Havemann vol.
oldenbarnevelt-brederode-1605	open	runnable	S	n		**This closes the route B lead as stated in the brief.** A successor could walk the bundle's other year-folders (order 1-259 for 1602-1604, order 350-624 for 1607-1613) if a duplicate is still wanted…
ormond-arran-1678	open	runnable	S	n	25 Sep	
pollaky-1865-1875	partial	runnable	S	y	25 Sep	
pro30-shaftesbury-1682	open	needs-image	S	n		**Recommended next step:** a TNA page-copy order for PRO 30/24/7/505; separately, the indorsement's "my lord's book of letters, entered November 1682" implies a fair-copy letter-book that may survive…
pro3053-horesse-1717	open	runnable	S	n	24 Sep	The correspondent(s) — sender "[?]" and recipient "Mrs Horesse" — remain unidentified; resolving either name (a Herbert-family genealogy, or "Horesse" as a possible code name or garbled surname) woul…
pro3055-clinton-1779	partial	runnable	S	n	26 Sep	**Next step per item:** 2380 — no further HMC-print lead, only the BM copy fo.105 (unconfirmed plain/cipher); 2894 — locate PRO 30/55/11 (old numbering) item "117" in modern Discovery, and separately…
ra-celsing-dohsson-1779	open	runnable	S	n		
ra-celsing-sillen-1755	open	runnable	S	n		
ra-crusenstolpe-1809	open	needs-edition	M	n		It was not read cover-to-cover this pass — that is an edition-search job for a solver/verifier, not this check-solved sweep — but its existence is recorded as the standing candidate for a facing-page…
ra-karlxi-fullmakt-1677	open	needs-edition	S	n	25 Sep	## Check-solved (LANE CX2, 25 Sep 2026) -- print-question follow-up
ra-morner-welin	open	runnable	S	n		
ra-vellingk-1713	open	runnable	M	n		Not checked on HathiTrust this pass (no HTRC Extracted Features run for "Vellingk" — should be the next step given both editions are far more likely to be a HathiTrust-only German/Swedish scholarly s…
rah-morillo-1817	partial	runnable	S	n	26 Sep	V9's finer split (C 86 / M 5 / U 6: 5 tokens in the six tentatively glossed groups at M) is not yet applied -- it needs a per-group exceptions file, left as a one-line next step.
rah-salazar-soria-sanchez-1524-28	blocked	runnable	S	n	26 Sep	A Google Books API search found only `NO_PAGES`/`PARTIAL` snippets of the same work and its 2024 published successor.
rayburn-2004	open	runnable	S	n	25 Sep	
riksarkivet-r4282-1628	open	runnable	S	n	26 Sep	
roell-vandedem-1809	open	runnable	S	n	25 Sep	
rubin-1953	open	runnable	S	n	25 Sep	
rumpf-vandebie-heinsius-1716-19	open	runnable	S	n		Follow-up suggestions (one line each): (1) the NA originals of letters 309 (H.A.
sachsstaatsarchiv-manteuffel-1712	blocked	runnable	M	n		**Recommended next steps (not run this pass):** (1) run *Neues Archiv für sächsische Geschichte* vols.
salvago-caraffa-1691	open	runnable	S	n		
sanguszkow-mniszech-dunin-1714	blocked	runnable	S	n		
scorpion-1991	open	runnable	M	n	25 Sep	## Follow-ups (one-line suggestions, not run this pass)
siena-concistoro-2308	open	runnable	M	n	26 Sep	Next step (not run this pass): Bourdeau's own escalation log names "a single-hand re-transcription with a fixed sign inventory" as the way forward for both pools -- that needs the DECODE images, bloc…
sp105-paget-1693	open	runnable	M	n		Per this run's host rules, the TNA Discovery API was **not** called at all, including for the SP 106 key search the row itself recommends as the cheapest next step — that step is gated on another wor…
sp35-townshend-key-1719	open	runnable	S	n	25 Sep	
sp36-ball-1745	open	runnable	M	n	24 Sep	**Recommended next steps (not run this pass):** (1) search TNA Discovery for an SP 106 (Deciphering Branch) key or decipher tied to this correspondent or to Nov.
sp36-stquentin-pretender-1743	open	runnable	M	n	24 Sep	**Recommended next steps (not run this pass):** (1) identify "St Quentin" via the Windsor Royal Archives' own online Stuart Papers finding aid or a Jacobite prosopography, since a name match would op…
sp53-16-78	blocked	runnable	S	n	25 Sep	
sp53-16-79	blocked	runnable	S	n		
sp53-22-f52	open	runnable	S	n	25 Sep	
sp54-maclean-1745	open	runnable	S	n	25 Sep	
sp77-nicholas-1659	open	needs-image	S	n		**Recommended next step:** a TNA page-copy order for f.289; separately, a BL-capable worker should check Egerton MS.
sp78-cesy-1628	open	needs-image	M	n		**Recommended next step:** confirm digitisation status via TNA Discovery (not run this pass); if undigitised, order a page copy of f.147 (REQUEST.md); separately, check whether the Halphen 1904 editi…
sp78-doncaster-1621	open	needs-image	M	n		**Recommended next step:** a single TNA page-copy order covering f.142, f.144, f.146, f.214 and f.222; if f.144's "French titles" turns out to be a real substitution/nomenclator key, this converts fr…
sp78-france-1583	open	runnable	S	n		
sp78-waldegrave-delafaye-1734	open	runnable	S	n		
sp78-yorke-1749	open	needs-image	S	n		**Recommended next step:** a TNA page-copy order for f.103; separately, a future worker with Discovery budget to spare should check the `note` field of every item in SP 78/232 individually (not by ke…
sp8-ehrenstein-1689	open	runnable	M	n	24 Sep	**Recommended next steps (not run this pass):** (1) a full page-by-page read of CSP Domestic William and Mary vol.
sp81-roe-1638	open	runnable	S	n	24 Sep	A follow-up query for all "Roe" items in the piece (`tools/discovery_items.py "SP 81" "SP 81/44" Roe`) lists the surrounding correspondence (Oxenstierna, the Palatine, Scudamore, Boswell, Windebank,…
sp81-stanning-1631	open	runnable	M	n	24 Sep	**Recommended next steps (not run this pass):** (1) identify "Mr Stanning" — a Merchant Adventurers or Eastland Company agent in the Baltic/German trade is plausible given the context, not checked th…
sp81-wroth-1596	open	runnable	S	n		
sp87-brunswick-1759	open	runnable	S	n	25 Sep	
sp87-chesterfield-1747	open	runnable	S	n	25 Sep	A follow-up query `"Cronstrom" "Waldeck"` surfaced *A Selection from the Papers of the Earls of Marchmont* (1831, ids `88ugXhe4sPMC`/`q88LAAAAYAAJ`, ALL_PAGES) with a longer passage — "Cronstrom and…
sp87-further-1712	open	runnable	S	n	25 Sep	
sp87-newcastle-1743	open	runnable	S	n	25 Sep	
sp90-raby-1704	open	runnable	S	n	25 Sep	A separate phrase search for "decipher" restricted to record series "SP 90" (1 request, 16 hits across the whole class) returns items only from **SP 90/5 (1709, 1711) and SP 90/6 (1713-14)** — Raby's…
sp90-raby-whitworth-1705	open	runnable	S	n	25 Sep	1722 (Add MS 37389) — none covers 1716-17, so SP 90/7/149,212 (dated 1716-17 in the QUEUE row) falls entirely outside this range regardless of content.** The correct BL range for that correspondence…
sp99-wotton-1622	open	runnable	M	n	24 Sep	**Recommended next steps (not run this pass):** (1) resolve whether "159" in the description is a correspondent code-name or a folio cross-reference — read folio 159 itself ("Nys to [Carleton]") once…
ss-radio-lippert-1944	open	runnable	S	n	25 Sep	
stas-waldburg-1653	open	runnable	M	n	24 Sep	**Recommended next steps (not run this pass):** (1) search for a Waldburg-Trauchburg family archive Regesten or Zeitschrift für Hohenzollerische Geschichte covering 1653-54; (2) resolve the catalogue…
sufi-fiddle	open	runnable	S	n	25 Sep	
taurello-roma-1527	open	runnable	S	n		
thurloe-printed	partial	needs-person	S	n	26 Sep	### L24 follow-up (ASKS row 30), 26 Sept 2026
ula-degeer-1644	open	runnable	S	n		
untersberg-code	open	runnable	S	n	26 Sep	This closes the "align symA against the witnesses" step of NEAR.md's named next step for this target with a control-backed negative, consistent with bUNT5/bUNT7's prior finding that no Herzog witness…
vanbeuningen-dewitt-1657	partial	needs-edition	M	n	25 Sep	**Key recovery was not attempted**, per this worker's brief -- the next step is a solver session using `ciphertext.tsv`, `plaintext_print.txt` (the known plaintext, pp.405-406 of the printed edition)…
vanspaen-vandergoes-1808	open	runnable	S	n		
viganego-torino-1717	open	runnable	S	n		
wallis-emus203-undeciphered	blocked	runnable	S	n		
wellington-maitland-1812	partial	runnable	S	n	25 Sep	## Next step
whitworth-1707	blocked	needs-image	S	n		Nothing can be done from published sources; the next step is the copy order in `REQUEST.md`.
willem-van-hessen-1567	open	runnable	M	n	26 Sep	A successor should: (a) start from a fresh 600dpi render (the command is in this section's own hosts note below) and grid-overlay candidate crop regions *before* cutting, per point 2's lesson; (b) tr…
wvo-hessen-1564	open	runnable	M	n	26 Sep	**Next step for a successor, not pursued this pass (out of box/budget):** a tight per-glyph atlas for 1109 itself (same fix already named for 1069 in `willem-van-hessen-1567/NOTES.md`), which would l…
yogtze-1984	open	runnable	S	n	25 Sep	
zbz-busbecq-1587	open	runnable	S	n		
zeschau-seebach-1841	blocked	runnable	M	n	26 Sep	## Next step (not run this pass)
# 180 rows -- needs-edition=5 needs-image=8 needs-person=3 runnable=164
