line	sign
21	u
21	i
21	n
21	x
21	w
21	e
21	w
21	e
21	n
21	w
21	e
21	x
21	t
21	s
21	s
21	c
21	i
21	d
21	i
21	k
21	e
21	x
21	e
21	e
21	l
21	x
21	n
21	s
21	n'
21	e
21	h
21	d'
21	e
21	n
21	i
22	a
22	i
22	n
22	d
22	n'
22	e
22	ê
22	a
22	i
22	n
22	A
22	l
22	l
22	o
22	t'
22	l
22	f'
22	l
22	a
22	e
22	f
22	d
22	l
22	n
22	m'
22	n'
22	e
22	e
22	v
22	s'
22	e
22	e
22	e
22	d
22	-'
22	a
23	t
23	e
23	k
23	e
23	z
23	w
23	n
23	n
23	i
23	e
23	e
23	e
23	n
23	n'
23	m
23	n
23	n
23	d
23	e
23	w
23	g
23	i
23	u
23	n
23	n
23	x
23	f
23	x
23	e
23	s
23	s
23	i
23	s
23	x'
23	e
23	e
23	i
23	d
23	e
24	a
24	i
24	f
24	z
24	d'
24	l
24	n
24	u
24	m
24	f
24	d
24	x
24	f
24	n
24	x
24	n
24	x'
24	e
24	n
24	i
24	u
24	x
24	e
24	n
24	t
24	w
24	e
24	h
24	d
24	m
24	n
24	n
24	u
24	e
24	s
24	l'
24	e
24	s
25	f
25	e
25	f
25	n
25	d'
25	e
25	w
25	n'
25	ê
25	d
25	d
25	x
25	e
25	s
25	m
25	x
25	d
25	e
25	g
25	o
25	n'
25	x
25	t
25	i
25	w
25	ê
25	x
25	w
25	w
25	x
25	i
25	x
25	e
25	h
25	e
25	u
26	e
26	i
26	m
26	a
26	t
