leaf	line	pos	token	conf	layer	alt	note
f253L	R05	9	c'est	H	clear		
f253L	R05	10	avec	H	clear		
f253L	R06	1	assez	H	clear		last group blotted at page edge
f253L	R06	2	de	H	clear		
f253L	R06	3	raison	H	clear		
f253L	R06	4	que	H	clear		
f253L	R06	5	195	H	cipher		
f253L	R06	6	20	H	cipher		
f253L	R06	7	161	H	cipher		
f253L	R06	8	142	H	cipher		
f253L	R06	9	10	H	cipher		
f253L	R06	10	24	H	cipher		
f253L	R06	11	267	H	cipher		
f253L	R06	12	277	M	cipher		
f253L	R07	1	50	H	cipher		281 29 carry no gloss
f253L	R07	2	32	H	cipher		
f253L	R07	3	25	H	cipher		
f253L	R07	4	267	H	cipher		
f253L	R07	5	30	H	cipher		
f253L	R07	6	259	H	cipher		
f253L	R07	7	11	H	cipher		
f253L	R07	8	48	H	cipher		
f253L	R07	9	24	H	cipher		
f253L	R07	10	266	H	cipher		
f253L	R07	11	290	H	cipher		
f253L	R07	12	116	H	cipher		
f253L	R07	13	12	H	cipher		
f253L	R07	14	196	H	cipher		
f253L	R07	15	281	H	cipher		
f253L	R07	16	29	H	cipher		
f253L	R08	1	195	H	cipher		
f253L	R08	2	119	H	cipher		
f253L	R08	3	30	H	cipher		
f253L	R08	4	289	H	cipher		
f253L	R08	5	133	H	cipher		
f253L	R08	6	42	H	cipher		
f253L	R08	7	18	H	cipher		
f253L	R08	8	50	H	cipher		
f253L	R08	9	32	H	cipher		
f253L	R08	10	a	H	clear		
f253L	R08	11	cause	H	clear		
f253L	R08	12	des	H	clear		
f253L	R08	13	155	H	cipher		
f253L	R08	14	29	H	cipher		
f253L	R08	15	117	H	cipher		
f253L	R08	16	30	H	cipher		
f253L	R09	1	259	H	cipher		725 = one group (7xx names)
f253L	R09	2	725	H	cipher		
f253L	R09	3	a	H	clear		
f253L	R09	4	mises	H	clear		
f253L	R09	5	de	H	clear		
f253L	R09	6	ce	H	clear		
f253L	R09	7	costé	H	clear		
f253L	R09	8	la	H	clear		
f253L	R09	9	et	H	clear		
f253L	R09	10	qu'il	H	clear		
f253L	R09	11	seroit	H	clear		
f253L	R09	12	a	H	clear		
f253L	R10	1	present	H	clear		
f253L	R10	2	necessaire	H	clear		
f253L	R10	3	de	H	clear		
f253L	R10	4	289	H	cipher		
f253L	R10	5	17	H	cipher		
f253L	R10	6	289	H	cipher		
f253L	R10	7	28	H	cipher		
f253L	R10	8	196	H	cipher		
f253L	R10	9	133	H	cipher		
f253L	R10	10	107	H	cipher		
f253L	R10	11	28	H	cipher		
f253L	R10	12	259	H	cipher		
f253L	R11	1	211	H	cipher		
f253L	R11	2	137	H	cipher		
f253L	R11	3	195	H	cipher		
f253L	R11	4	25	H	cipher		
f253L	R11	5	269	H	cipher		
f253L	R11	6	302	H	cipher		
f253L	R11	7	17	H	cipher		
f253L	R11	8	117	H	cipher		
f253L	R11	9	16	H	cipher		
f253L	R11	10	38	H	cipher		
f253L	R11	11	52	H	cipher		
f253L	R11	12	29	H	cipher		
f253L	R11	13	42	H	cipher		
f253L	R11	14	237	H	cipher		
f253L	R11	15	282	H	cipher		
f253L	R12	1	24	H	cipher		
f253L	R12	2	267	H	cipher		
f253L	R12	3	30	H	cipher		
f253L	R12	4	259	H	cipher		
f253L	R12	5	291	H	cipher		
f253L	R12	6	35	H	cipher		
f253L	R12	7	30	H	cipher		
f253L	R12	8	196	H	cipher		
f253L	R12	9	30	H	cipher		
f253L	R12	10	175	H	cipher		
f253L	R12	11	266	H	cipher		
f253L	R12	12	30	H	cipher		
f253L	R12	13	16	H	cipher		
f253L	R12	14	105	H	cipher		
f253L	R12	15	et	H	clear		
f253L	R12	16	ou	H	clear		
f253L	R13	1	par	H	clear		
f253L	R13	2	consequent	H	clear		
f253L	R13	3	238	H	cipher		
f253L	R13	4	32	H	cipher		
f253L	R13	5	269	H	cipher		
f253L	R13	6	34	H	cipher		
f253L	R13	7	301	H	cipher		
f253L	R13	8	275	H	cipher		
f253L	R13	9	33	H	cipher		
f253L	R13	10	196	H	cipher		
f253L	R13	11	30	H	cipher		
f253L	R13	12	14	H	cipher		
f253L	R13	13	176	H	cipher		
f253L	R14	1	300	H	cipher		
f253L	R14	2	35	H	cipher		
f253L	R14	3	37	H	cipher		
f253L	R14	4	224	H	cipher		
f253L	R14	5	117	H	cipher		
f253L	R14	6	30	H	cipher		
f253L	R14	7	277	H	cipher		
f253L	R14	8	44	H	cipher		
f253L	R14	9	267	H	cipher		
f253L	R14	10	30	H	cipher		
f253L	R14	11	251	H	cipher		
f253L	R14	12	46	H	cipher		
f253L	R14	13	104	H	cipher		
f253L	R14	14	18	H	cipher		
f253L	R14	15	237	H	cipher		
f253L	R14	16	112	H	cipher		
f253L	R15	1	137	H	cipher		192|142 last group
f253L	R15	2	34	H	cipher		
f253L	R15	3	224	H	cipher		
f253L	R15	4	133	H	cipher		
f253L	R15	5	30	H	cipher		
f253L	R15	6	24	H	cipher		
f253L	R15	7	269	H	cipher		
f253L	R15	8	302	H	cipher		
f253L	R15	9	17	H	cipher		
f253L	R15	10	117	H	cipher		
f253L	R15	11	30	H	cipher		
f253L	R15	12	133	H	cipher		
f253L	R15	13	13	H	cipher		
f253L	R15	14	237	H	cipher		
f253L	R15	15	192	M	cipher		
f253L	R16	1	parceque	H	clear		
f253L	R16	2	le	H	clear		
f253L	R16	3	pays	H	clear		
f253L	R16	4	38	H	cipher		
f253L	R16	5	142	H	cipher		
f253L	R16	6	10	H	cipher		
f253L	R16	7	113	H	cipher		
f253L	R16	8	132	H	cipher		
f253L	R16	9	50	H	cipher		
f253L	R16	10	33	H	cipher		
f253L	R16	11	133	H	cipher		
f253L	R16	12	259	H	cipher		
f253L	R16	13	13	H	cipher		
f253L	R16	14	104	H	cipher		
f253L	R17	1	18	H	cipher		
f253L	R17	2	38	H	cipher		
f253L	R17	3	281	H	cipher		
f253L	R17	4	12	H	cipher		
f253L	R17	5	279	H	cipher		
f253L	R17	6	30	H	cipher		
f253L	R17	7	289	H	cipher		
f253L	R17	8	275	H	cipher		
f253L	R17	9	32	H	cipher		
f253L	R17	10	10	H	cipher		
f253L	R17	11	11	H	cipher		
f253L	R17	12	278	H	cipher		
f253L	R17	13	211	H	cipher		
f253L	R17	14	ou	H	clear		
f253L	R17	15	mesme	H	clear		
f253L	R18	1	de	H	clear		
f253L	R18	2	161	H	cipher		
f253L	R18	3	195	H	cipher		
f253L	R18	4	133	H	cipher		
f253L	R18	5	30	H	cipher		
f253L	R18	6	117	H	cipher		
f253L	R18	7	17	H	cipher		
f253L	R18	8	33	H	cipher		
f253L	R18	9	137	H	cipher		
f253L	R18	10	117	H	cipher		
f253L	R18	11	30	H	cipher		
f253L	R18	12	16	H	cipher		
f253L	R18	13	150	H	cipher		
f253L	R18	14	197	H	cipher		
f253L	R18	15	150	H	cipher		
f253L	R18	16	10	H	cipher		
f253L	R18	17	195	H	cipher		
f253R	R01	1	155	H	cipher		155 44 30 continue f253L R18 and carry no gloss
f253R	R01	2	44	H	cipher		
f253R	R01	3	30	H	cipher		
f253R	R01	4	et	H	clear		
f253R	R01	5	pour	H	clear		
f253R	R01	6	cela	H	clear		
f253R	R01	7	133	H	cipher		
f253R	R01	8	161	H	cipher		
f253R	R01	9	18	H	cipher		
f253R	R01	10	48	H	cipher		
f253R	R01	11	107	H	cipher		
f253R	R01	12	29	H	cipher		
f253R	R01	13	259	H	cipher		
f253R	R01	14	28	H	cipher		
f253R	R01	15	10	H	cipher		
f253R	R02	1	12	H	cipher		last group at page edge
f253R	R02	2	29	H	cipher		
f253R	R02	3	142	H	cipher		
f253R	R02	4	196	H	cipher		
f253R	R02	5	30	H	cipher		
f253R	R02	6	294	H	cipher		
f253R	R02	7	30	H	cipher		
f253R	R02	8	133	H	cipher		
f253R	R02	9	30	H	cipher		
f253R	R02	10	290	H	cipher		
f253R	R02	11	224	H	cipher		
f253R	R02	12	18	H	cipher		
f253R	R02	13	30	H	cipher		
f253R	R02	14	251	H	cipher		
f253R	R02	15	46	H	cipher		
f253R	R02	16	237	H	cipher		
f253R	R02	17	142	H	cipher		
f253R	R03	1	143	H	cipher		290|190: ink blot on first digit; same run '133 30 290 224 18 30 251' as R02
f253R	R03	2	10	H	cipher		
f253R	R03	3	116	H	cipher		
f253R	R03	4	195	H	cipher		
f253R	R03	5	11	H	cipher		
f253R	R03	6	30	H	cipher		
f253R	R03	7	117	H	cipher		
f253R	R03	8	13	H	cipher		
f253R	R03	9	196	H	cipher		
f253R	R03	10	30	H	cipher		
f253R	R03	11	133	H	cipher		
f253R	R03	12	30	H	cipher		
f253R	R03	13	290	M	cipher		
f253R	R03	14	224	H	cipher		
f253R	R03	15	18	H	cipher		
f253R	R03	16	30	H	cipher		
f253R	R03	17	251	H	cipher		
f253R	R04	1	38	H	cipher		
f253R	R04	2	52	H	cipher		
f253R	R04	3	29	H	cipher		
f253R	R04	4	42	H	cipher		
f253R	R04	5	voila	H	clear		
f253R	R04	6	Monseigneur	H	clear		
f253R	R04	7	280	H	cipher		
f253R	R04	8	17	H	cipher		
f253R	R04	9	24	H	cipher		
f253R	R04	10	269	H	cipher		
f253R	R04	11	186	H	cipher		
f253R	R04	12	32	H	cipher		
f253R	R05	1	il	H	clear		
f253R	R05	2	peut	H	clear		
f253R	R05	3	y	H	clear		
f253R	R05	4	avoir	H	clear		
f253R	R05	5	quelque	H	clear		
f253R	R05	6	chose	H	clear		
f253R	R05	7	de	H	clear		
f253R	R05	8	bon	H	clear		
f253R	R05	9	mais	H	clear		
f253R	R05	10	ie	H	clear		
f253R	R05	11	ne	H	clear		
f253R	R06	1	say	H	clear		
f253R	R06	2	si	H	clear		
f253R	R06	3	l'execution	H	clear		
f253R	R06	4	n'en	H	clear		
f253R	R06	5	seroit	H	clear		
f253R	R06	6	pas	H	clear		
f253R	R06	7	plus	H	clear		
f253R	R06	8	difficile	H	clear		
f253R	R06	9	que	H	clear		
f253R	R07	1	du	H	clear		
f253R	R07	2	premier	H	clear		
f253R	R08	1	d'ailleurs	H	clear		
f253R	R08	2	191	H	cipher		
f253R	R08	3	119	H	cipher		
f253R	R08	4	15	H	cipher		
f253R	R08	5	24	H	cipher		
f253R	R08	6	289	H	cipher		
f253R	R08	7	281	H	cipher		
f253R	R08	8	29	H	cipher		
f253R	R08	9	195	H	cipher		
f253R	R08	10	154	H	cipher		
f253R	R08	11	133	H	cipher		
f253R	R08	12	197	H	cipher		
f253R	R08	13	289	H	cipher		
f253R	R08	14	133	H	cipher		
f253R	R09	1	249	H	cipher		
f253R	R09	2	44	H	cipher		
f253R	R09	3	18	H	cipher		
f253R	R09	4	35	H	cipher		
f253R	R09	5	28	H	cipher		
f253R	R09	6	30	H	cipher		
f253R	R09	7	245	H	cipher		
f253R	R09	8	29	H	cipher		
f253R	R09	9	28	H	cipher		
f253R	R09	10	224	H	cipher		
f253R	R09	11	30	H	cipher		
f253R	R09	12	137	H	cipher		
f253R	R09	13	117	H	cipher		
f253R	R09	14	244	H	cipher		
f253R	R09	15	38	H	cipher		
f253R	R09	16	30	H	cipher		
f253R	R09	17	195	H	cipher		
f253R	R10	1	et	H	clear		
f253R	R10	2	ie	H	clear		
f253R	R10	3	veux	H	clear		
f253R	R10	4	bien	H	clear		
f253R	R10	5	le	H	clear		
f253R	R10	6	croire	H	clear		
f253R	R10	7	mais	H	clear		
f253R	R10	8	ie	H	clear		
f253R	R10	9	iuge	H	clear		
f253R	R10	10	par	H	clear		
f253R	R10	11	tout	H	clear		
f253R	R11	1	ce	H	clear		
f253R	R11	2	que	H	clear		
f253R	R11	3	i'entends	H	clear		
f253R	R11	4	dire	H	clear		
f253R	R11	5	et	H	clear		
f253R	R11	6	a	H	clear		
f253R	R11	7	luy	H	clear		
f253R	R11	8	et	H	clear		
f253R	R11	9	aux	H	clear		
f253R	R11	10	autres	H	clear		
f253R	R11	11	qu'ils	H	clear		
f253R	R11	12	n'y	H	clear		
f253R	R12	1	ont	H	clear		
f253R	R12	2	guere	H	clear		
f253R	R12	3	134	H	cipher		
f253R	R12	4	17	H	cipher		
f253R	R12	5	289	H	cipher		
f253R	R12	6	13	H	cipher		
f253R	R12	7	197	H	cipher		
f253R	R12	8	165	H	cipher		
f253R	R12	9	50	H	cipher		
f253R	R12	10	117	H	cipher		
f253R	R12	11	225	H	cipher		
f253R	R12	12	221	H	cipher		
f253R	R12	13	133	H	cipher		
f253R	R12	14	125	H	cipher		
f253R	R13	1	122	H	cipher		
f253R	R13	2	191	H	cipher		
f253R	R13	3	30	H	cipher		
f253R	R13	4	224	H	cipher		
f253R	R13	5	50	H	cipher		
f253R	R13	6	267	H	cipher		
f253R	R13	7	119	H	cipher		
f253R	R13	8	11	H	cipher		
f253R	R13	9	301	H	cipher		
f253R	R13	10	228	H	cipher		
f253R	R13	11	10	H	cipher		
f253R	R13	12	35	H	cipher		
f253R	R13	13	120	H	cipher		
f253R	R13	14	224	H	cipher		
f253R	R13	15	232	H	cipher		
f253R	R14	1	225	H	cipher		
f253R	R14	2	244	H	cipher		
f253R	R14	3	28	H	cipher		
f253R	R14	4	195	H	cipher		
f253R	R14	5	183	H	cipher		
f253R	R14	6	225	H	cipher		
f253R	R14	7	132	H	cipher		
f253R	R14	8	11	H	cipher		
f253R	R14	9	13	H	cipher		
f253R	R14	10	196	H	cipher		
f253R	R14	11	35	H	cipher		
f253R	R14	12	29	H	cipher		
f253R	R14	13	30	H	cipher		
f253R	R14	14	et	H	clear		
f253R	R14	15	tout	H	clear		
f253R	R14	16	ce	H	clear		
f253R	R15	1	qu'ils	H	clear		last two groups squeezed at page edge, '18 29' or '1829'
f253R	R15	2	en	H	clear		
f253R	R15	3	apprennent	H	clear		
f253R	R15	4	leur	H	clear		
f253R	R15	5	vient	H	clear		
f253R	R15	6	136	H	cipher		
f253R	R15	7	14	H	cipher		
f253R	R15	8	176	H	cipher		
f253R	R15	9	300	H	cipher		
f253R	R15	10	197	H	cipher		
f253R	R15	11	18	M	cipher		
f253R	R15	12	29	M	cipher		
f253R	R16	1	166	H	cipher		
f253R	R16	2	266	H	cipher		
f253R	R16	3	28	H	cipher		
f253R	R16	4	134	H	cipher		
f253R	R16	5	17	H	cipher		
f253R	R16	6	qui	H	clear		
f253R	R16	7	est	H	clear		
f253R	R16	8	un	H	clear		
f253R	R16	9	44	H	cipher		
f253R	R16	10	29	H	cipher		
f253R	R16	11	195	H	cipher		
f253R	R16	12	17	H	cipher		
f253R	R16	13	135	H	cipher		
f253R	R16	14	11	H	cipher		
f253R	R16	15	30	H	cipher		
f253R	R16	16	18	H	cipher		
f253R	R16	17	288	H	cipher		
f253R	R17	1	12	H	cipher		
f253R	R17	2	197	H	cipher		
f253R	R17	3	10	H	cipher		
f253R	R17	4	136	H	cipher		
f253R	R17	5	17	H	cipher		
f253R	R17	6	259	H	cipher		
f253R	R17	7	28	H	cipher		
f253R	R17	8	259	H	cipher		
f253R	R18	1	Je	H	clear		
f253R	R18	2	suis	H	clear		
f253R	R18	3	avec	H	clear		
f253R	R18	4	un	H	clear		
f253R	R18	5	proffond	H	clear		
f253R	R18	6	respect	H	clear		
f253R	R19	1	Monseigneur	H	clear		
f253R	R19	2	Vostre	H	clear		
f253R	R19	3	tres	H	clear		
f253R	R19	4	humble	H	clear		
f253R	R19	5	et	H	clear		
f253R	R19	6	tres	H	clear		
f253R	R19	7	obeissant	H	clear		
f253R	R19	8	serviteur	H	clear		
f253R	R20	1	Vergier	H	clear		signature
f265L	R01	1	cet	H	clear		letter in pale ink throughout f265; glosses in dark ink
f265L	R01	2	advis	H	clear		
f265L	R01	3	d'ennuy	H	clear		
f265L	R01	4	et	H	clear		
f265L	R01	5	d'inquietude	H	clear		
f265L	R01	6	de	H	clear		
f265L	R01	7	ma	H	clear		
f265L	R01	8	part	H	clear		
f265L	R02	1	plustost	H	clear		
f265L	R02	2	que	H	clear		
f265L	R02	3	de	H	clear		
f265L	R02	4	prudence	H	clear		
f265L	R02	5	et	H	clear		
f265L	R02	6	de	H	clear		
f265L	R02	7	bon	H	clear		
f265L	R02	8	conseil	H	clear		
f265L	R03	1	cependant	H	clear		
f265L	R03	2	cela	H	clear		
f265L	R03	3	me	H	clear		
f265L	R03	4	frapoit	H	clear		
f265L	R03	5	depuis	H	clear		
f265L	R03	6	long	H	clear		
f265L	R03	7	temps	H	clear		
f265L	R03	8	et	H	clear		
f265L	R04	1	surtout	H	clear		
f265L	R04	2	depuis	H	clear		
f265L	R04	3	qu'on	H	clear		
f265L	R04	4	sait	H	clear		
f265L	R04	5	icy	H	clear		
f265L	R04	6	qu'on	H	clear		
f265L	R04	7	arme	H	clear		
f265L	R04	8	a	H	clear		
f265L	R05	1	Dunkerque	M	clear		'utile' written over an erased word
f265L	R05	2	ou	M	clear		
f265L	R05	3	ie	M	clear		
f265L	R05	4	pourrois	M	clear		
f265L	R05	5	estre	M	clear		
f265L	R05	6	utile	M	clear		
f265L	R05	7	pendant	M	clear		
f265L	R06	1	que	H	clear		
f265L	R06	2	l'on	H	clear		
f265L	R06	3	me	H	clear		
f265L	R06	4	voit	H	clear		
f265L	R06	5	tres	H	clear		
f265L	R06	6	inutile	H	clear		
f265L	R06	7	icy	H	clear		
f265L	R06	8	c'est	H	clear		
f265L	R06	9	pourquoy	H	clear		
f265L	R07	1	ie	H	clear		
f265L	R07	2	n'ay	H	clear		
f265L	R07	3	pas	H	clear		
f265L	R07	4	cru	H	clear		
f265L	R07	5	devoir	H	clear		
f265L	R07	6	essayer	H	clear		
f265L	R07	7	d'y	H	clear		
f265L	R07	8	rester	H	clear		
f265L	R07	9	davantage	H	clear		
f265L	R08	1	i'ay	H	clear		
f265L	R08	2	seulement	H	clear		
f265L	R08	3	donné	H	clear		
f265L	R08	4	10	H	cipher		
f265L	R08	5	208	H	cipher		
f265L	R08	6	17	H	cipher		
f265L	R08	7	133	H	cipher		
f265L	R08	8	244	H	cipher		
f265L	R08	9	28	H	cipher		
f265L	R08	10	32	H	cipher		
f265L	R08	11	34	H	cipher		
f265L	R08	12	50	H	cipher		
f265L	R09	1	291	H	cipher		720 = one group (7xx names)
f265L	R09	2	34	H	cipher		
f265L	R09	3	29	H	cipher		
f265L	R09	4	260	H	cipher		
f265L	R09	5	223	H	cipher		
f265L	R09	6	250	H	cipher		
f265L	R09	7	133	H	cipher		
f265L	R09	8	25	H	cipher		
f265L	R09	9	199	H	cipher		
f265L	R09	10	10	H	cipher		
f265L	R09	11	34	H	cipher		
f265L	R09	12	720	H	cipher		
f265L	R09	13	et	H	clear		
f265L	R09	14	que	H	clear		
f265L	R09	15	ie	H	clear		
f265L	R10	1	croy	H	clear		
f265L	R10	2	que	H	clear		
f265L	R10	3	vous	H	clear		
f265L	R10	4	ne	H	clear		
f265L	R10	5	desaprouverés	H	clear		
f265L	R10	6	pas	H	clear		
f265L	R10	7	186	H	cipher		
f265L	R10	8	200	H	cipher		
f265L	R10	9	10	H	cipher		
f265L	R10	10	38	H	cipher		
f265L	R11	1	152	H	cipher		206|200 (passB 20 206: read as one group)
f265L	R11	2	10	H	cipher		
f265L	R11	3	33	H	cipher		
f265L	R11	4	18	H	cipher		
f265L	R11	5	50	H	cipher		
f265L	R11	6	289	H	cipher		
f265L	R11	7	17	H	cipher		
f265L	R11	8	16	H	cipher		
f265L	R11	9	267	H	cipher		
f265L	R11	10	259	H	cipher		
f265L	R11	11	206	M	cipher		
f265L	R11	12	303	H	cipher		
f265L	R11	13	38	H	cipher		
f265L	R11	14	10	H	cipher		
f265L	R11	15	228	H	cipher		
f265L	R11	16	44	H	cipher		
f265L	R11	17	118	H	cipher		
f265L	R12	1	11	H	cipher		
f265L	R12	2	17	H	cipher		
f265L	R12	3	34	H	cipher		
f265L	R12	4	290	H	cipher		
f265L	R12	5	196	H	cipher		
f265L	R12	6	251	H	cipher		
f265L	R12	7	280	H	cipher		
f265L	R12	8	17	H	cipher		
f265L	R12	9	278	H	cipher		
f265L	R12	10	29	H	cipher		
f265L	R12	11	302	H	cipher		
f265L	R12	12	117	H	cipher		
f265L	R12	13	i'avois	H	clear		
f265L	R12	14	demmendé	H	clear		
f265L	R13	1	il	H	clear		300 retouched in dark ink
f265L	R13	2	y	H	clear		
f265L	R13	3	a	H	clear		
f265L	R13	4	quelque	H	clear		
f265L	R13	5	temps	H	clear		
f265L	R13	6	10	H	cipher		
f265L	R13	7	210	H	cipher		
f265L	R13	8	300	H	cipher		
f265L	R13	9	245	H	cipher		
f265L	R13	10	267	H	cipher		
f265L	R13	11	245	H	cipher		
f265L	R13	12	29	H	cipher		
f265L	R13	13	207	H	cipher		
f265L	R13	14	30	H	cipher		
f265L	R14	1	279	H	cipher		
f265L	R14	2	238	H	cipher		
f265L	R14	3	133	H	cipher		
f265L	R14	4	206	H	cipher		
f265L	R14	5	50	H	cipher		
f265L	R14	6	267	H	cipher		
f265L	R14	7	291	H	cipher		
f265L	R14	8	35	H	cipher		
f265L	R14	9	29	H	cipher		
f265L	R14	10	224	H	cipher		
f265L	R14	11	28	H	cipher		
f265L	R14	12	10	H	cipher		
f265L	R14	13	136	H	cipher		
f265L	R14	14	50	H	cipher		
f265L	R14	15	259	H	cipher		
f265L	R14	16	28	H	cipher		
f265L	R15	1	259	H	cipher		{16} struck through; 601 checked on image, pale letter ink, one group
f265L	R15	2	251	H	cipher		
f265L	R15	3	38	H	cipher		
f265L	R15	4	10	H	cipher		
f265L	R15	5	38	H	cipher		
f265L	R15	6	133	H	cipher		
f265L	R15	7	28	H	cipher		
f265L	R15	8	10	H	cipher		
f265L	R15	9	16	M	cipher-struck		
f265L	R15	10	601	H	cipher		
f265L	R15	11	10	H	cipher		
f265L	R15	12	300	H	cipher		
f265L	R15	13	17	H	cipher		
f265L	R15	14	117	H	cipher		
f265L	R15	15	29	H	cipher		
f265L	R15	16	195	H	cipher		
f265L	R15	17	29	H	cipher		
f265L	R15	18	206	H	cipher		
f265L	R16	1	211	H	cipher		
f265L	R16	2	et	H	clear		
f265L	R16	3	qu'il	H	clear		
f265L	R16	4	m'a	H	clear		
f265L	R16	5	repondu	H	clear		
f265L	R16	6	que	H	clear		
f265L	R16	7	si	H	clear		
f265L	R16	8	ie	H	clear		
f265L	R16	9	me	H	clear		
f265L	R16	10	croyois	H	clear		
f265L	R17	1	11	H	cipher		
f265L	R17	2	17	H	cipher		
f265L	R17	3	35	H	cipher		
f265L	R17	4	290	H	cipher		
f265L	R17	5	196	H	cipher		
f265L	R17	6	10	H	cipher		
f265L	R17	7	110	H	cipher		
f265L	R17	8	35	H	cipher		
f265L	R17	9	198	H	cipher		
f265L	R17	10	21	H	cipher		
f265L	R17	11	224	H	cipher		
f265L	R17	12	186	H	cipher		
f265L	R17	13	247	H	cipher		
f265L	R17	14	35	H	cipher		
f265L	R17	15	303	H	cipher		
f265L	R17	16	11	H	cipher		
f265L	R17	17	30	H	cipher		
f265L	R18	1	m'en	H	clear		
f265L	R18	2	retourner	H	clear		
f265L	R18	3	a	H	clear		
f265L	R18	4	Dunkerque	H	clear		
f265L	R18	5	pourveuque	H	clear		
f265L	R18	6	196	H	cipher		
f265L	R18	7	275	H	cipher		
f265L	R18	8	16	H	cipher		
f265L	R18	9	105	H	cipher		
f265L	R19	1	10	H	cipher		
f265L	R19	2	24	H	cipher		
f265L	R19	3	269	H	cipher		
f265L	R19	4	34	H	cipher		
f265L	R19	5	300	H	cipher		
f265L	R19	6	30	H	cipher		
f265L	R19	7	33	H	cipher		
f265L	R19	8	208	H	cipher		
f265L	R19	9	17	H	cipher		
f265L	R19	10	133	H	cipher		
f265L	R19	11	244	H	cipher		
f265L	R19	12	29	H	cipher		
f265L	R19	13	32	H	cipher		
f265L	R19	14	259	H	cipher		
f265L	R19	15	221	H	cipher		
f265L	R20	1	191	M	cipher		'610': a pale 6, a second 6 overwritten, then 10 in darker ink (66 10|6 10); 601 checked on image
f265L	R20	2	205	M	cipher		
f265L	R20	3	303	M	cipher		
f265L	R20	4	11	M	cipher		
f265L	R20	5	32	M	cipher		
f265L	R20	6	fait	M	clear		
f265L	R20	7	l'honneur	M	clear		
f265L	R20	8	de	M	clear		
f265L	R20	9	206	M	cipher		
f265L	R20	10	8	M	cipher		
f265L	R20	11	610	M	cipher		
f265L	R20	12	601	M	cipher		
f265L	R20	13	206	M	cipher		
f265L	R21	1	32	H	cipher		
f265L	R21	2	33	H	cipher		
f265L	R21	3	267	H	cipher		
f265L	R21	4	280	H	cipher		
f265L	R21	5	35	H	cipher		
f265L	R21	6	30	H	cipher		
f265L	R21	7	278	H	cipher		
f265L	R21	8	30	H	cipher		
f265L	R21	9	52	H	cipher		
f265L	R21	10	28	H	cipher		
f265L	R21	11	16	H	cipher		
f265L	R21	12	267	H	cipher		
f265L	R21	13	30	H	cipher		
f265L	R21	14	ie	H	clear		
f265L	R21	15	ne	H	clear		
f265L	R21	16	devois	H	clear		
f265L	R22	1	161	H	cipher		
f265L	R22	2	10	H	cipher		
f265L	R22	3	34	H	cipher		
f265L	R22	4	120	H	cipher		
f265L	R22	5	50	H	cipher		
f265L	R22	6	208	H	cipher		
f265L	R22	7	35	H	cipher		
f265L	R22	8	301	H	cipher		
f265L	R22	9	211	H	cipher		
f265L	R22	10	285	H	cipher		
f265L	R22	11	280	H	cipher		
f265L	R22	12	17	H	cipher		
