line	pos	token	conf
f253L_R08	6	42	H
f253L_R08	7	18	H
f253L_R08	8	50	H
f253L_R08	9	32	H
f253L_R08	10	w:a	H
f253L_R08	11	w:cause	H
f253L_R08	12	w:des	H
f253L_R08	13	155	H
f253L_R08	14	29	H
f253L_R08	15	117	H
f253L_R08	16	30	H
f253L_R09	1	259	H
f253L_R09	2	725	H
f253L_R09	3	w:a	H
f253L_R09	4	w:mises	H
f253L_R09	5	w:de	H
f253L_R09	6	w:ce	H
f253L_R09	7	w:costé	H
f253L_R09	8	w:la	H
f253L_R09	9	w:et	H
f253L_R09	10	w:qu'il	H
f253L_R09	11	w:seroit	H
f253L_R09	12	w:a	H
f253L_R10	1	w:present	H
f253L_R10	2	w:necessaire	H
f253L_R10	3	w:de	H
f253L_R10	4	289	H
f253L_R10	5	17	H
f253L_R10	6	289	H
f253L_R10	7	28	H
f253L_R10	8	196	H
f253L_R10	9	133	H
f253L_R10	10	107	H
f253L_R10	11	28	H
f253L_R10	12	259	H
f253L_R11	1	211	H
f253L_R11	2	137	H
f253L_R11	3	195	H
f253L_R11	4	25	H
f253L_R11	5	269	H
f253L_R11	6	302	H
f253L_R11	7	17	H
f253L_R11	8	117	H
f253L_R11	9	16	H
f253L_R11	10	38	H
f253L_R11	11	52	H
f253L_R11	12	29	H
f253L_R11	13	42	H
f253L_R11	14	237	H
f253L_R11	15	282	H
f253L_R12	1	24	H
f253L_R12	2	267	H
f253L_R12	3	30	H
f253L_R12	4	259	H
f253L_R12	5	291	H
f253L_R12	6	35	H
f253L_R12	7	30	H
f253L_R12	8	196	H
f253L_R12	9	30	H
f253L_R12	10	175	H
f253L_R12	11	266	H
f253L_R12	12	30	H
f253L_R12	13	16	H
f253L_R12	14	105	H
f253L_R12	15	w:et	H
f253L_R12	16	w:ou	H
f253L_R13	1	w:par	H
f253L_R13	2	w:consequent	H
f253L_R13	3	238	H
f253L_R13	4	32	H
f253L_R13	5	269	H
f253L_R13	6	34	H
f253L_R13	7	301	H
f253L_R13	8	275	H
f253L_R13	9	33	H
f253L_R13	10	196	H
f253L_R13	11	30	H
f253L_R13	12	14	H
f253L_R13	13	176	H
f253L_R14	1	300	H
f253L_R14	2	35	H
f253L_R14	3	37	H
f253L_R14	4	224	H
f253L_R14	5	117	H
f253L_R14	6	30	H
f253L_R14	7	277	H
f253L_R14	8	44	H
f253L_R14	9	267	H
f253L_R14	10	30	H
f253L_R14	11	251	H
f253L_R14	12	46	H
f253L_R14	13	104	H
f253L_R14	14	18	H
f253L_R14	15	237	H
f253L_R14	16	112	H
f253L_R15	1	137	H
f253L_R15	2	34	H
f253L_R15	3	224	H
f253L_R15	4	133	H
f253L_R15	5	30	H
f253L_R15	6	24	H
f253L_R15	7	269	H
f253L_R15	8	302	H
f253L_R15	9	17	H
f253L_R15	10	117	H
f253L_R15	11	30	H
f253L_R15	12	133	H
f253L_R15	13	13	H
f253L_R15	14	237	H
f253L_R15	15	192	M
f253L_R16	1	w:parceque	H
f253L_R16	2	w:le	H
f253L_R16	3	w:pays	H
f253L_R16	4	38	H
f253L_R16	5	142	H
f253L_R16	6	10	H
f253L_R16	7	113	H
f253L_R16	8	132	H
f253L_R16	9	50	H
f253L_R16	10	33	H
f253L_R16	11	133	H
f253L_R16	12	259	H
f253L_R16	13	13	H
f253L_R16	14	104	H
f253L_R17	1	18	H
f253L_R17	2	38	H
f253L_R17	3	281	H
f253L_R17	4	12	H
f253L_R17	5	279	H
f253L_R17	6	30	H
f253L_R17	7	289	H
f253L_R17	8	275	H
f253L_R17	9	32	H
f253L_R17	10	10	H
f253L_R17	11	11	H
f253L_R17	12	278	H
f253L_R17	13	211	H
f253L_R17	14	w:ou	H
f253L_R17	15	w:mesme	H
f253L_R18	1	w:de	H
f253L_R18	2	161	H
f253L_R18	3	195	H
f253L_R18	4	133	H
f253L_R18	5	30	H
f253L_R18	6	117	H
f253L_R18	7	17	H
f253L_R18	8	33	H
f253L_R18	9	137	H
f253L_R18	10	117	H
f253L_R18	11	30	H
f253L_R18	12	16	H
f253L_R18	13	150	H
f253L_R18	14	197	H
f253L_R18	15	150	H
f253L_R18	16	10	H
f253L_R18	17	195	H
f253R_R01	1	155	H
f253R_R01	2	44	H
f253R_R01	3	30	H
f253R_R01	4	w:et	H
f253R_R01	5	w:pour	H
f253R_R01	6	w:cela	H
f253R_R01	7	133	H
f253R_R01	8	161	H
f253R_R01	9	18	H
f253R_R01	10	48	H
f253R_R01	11	107	H
f253R_R01	12	29	H
f253R_R01	13	259	H
f253R_R01	14	28	H
f253R_R01	15	10	H
f253R_R02	1	12	H
f253R_R02	2	29	H
f253R_R02	3	142	H
f253R_R02	4	196	H
f253R_R02	5	30	H
f253R_R02	6	294	H
f253R_R02	7	30	H
f253R_R02	8	133	H
f253R_R02	9	30	H
f253R_R02	10	290	H
f253R_R02	11	224	H
f253R_R02	12	18	H
f253R_R02	13	30	H
f253R_R02	14	251	H
f253R_R02	15	46	H
f253R_R02	16	237	H
f253R_R02	17	142	H
f253R_R03	1	143	H
f253R_R03	2	10	H
f253R_R03	3	116	H
f253R_R03	4	195	H
f253R_R03	5	11	H
f253R_R03	6	30	H
f253R_R03	7	117	H
f253R_R03	8	13	H
f253R_R03	9	196	H
f253R_R03	10	30	H
f253R_R03	11	133	H
f253R_R03	12	30	H
f253R_R03	13	290	M
f253R_R03	14	224	H
f253R_R03	15	18	H
f253R_R03	16	30	H
f253R_R03	17	251	H
f253R_R04	1	38	H
f253R_R04	2	52	H
f253R_R04	3	29	H
f253R_R04	4	42	H
f253R_R04	5	w:voila	H
f253R_R04	6	w:Monseigneur	H
f253R_R04	7	280	H
f253R_R04	8	17	H
f253R_R04	9	24	H
f253R_R04	10	269	H
f253R_R04	11	186	H
f253R_R04	12	32	H
f253R_R05	1	w:il	H
f253R_R05	2	w:peut	H
f253R_R05	3	w:y	H
f253R_R05	4	w:avoir	H
f253R_R05	5	w:quelque	H
f253R_R05	6	w:chose	H
f253R_R05	7	w:de	H
f253R_R05	8	w:bon	H
f253R_R05	9	w:mais	H
f253R_R05	10	w:ie	H
f253R_R05	11	w:ne	H
f253R_R06	1	w:say	H
f253R_R06	2	w:si	H
f253R_R06	3	w:l'execution	H
f253R_R06	4	w:n'en	H
f253R_R06	5	w:seroit	H
f253R_R06	6	w:pas	H
f253R_R06	7	w:plus	H
f253R_R06	8	w:difficile	H
f253R_R06	9	w:que	H
f253R_R07	1	w:du	H
f253R_R07	2	w:premier	H
f253R_R08	1	w:d'ailleurs	H
f253R_R08	2	191	H
f253R_R08	3	119	H
f253R_R08	4	15	H
f253R_R08	5	24	H
f253R_R08	6	289	H
f253R_R08	7	281	H
f253R_R08	8	29	H
f253R_R08	9	195	H
f253R_R08	10	154	H
f253R_R08	11	133	H
f253R_R08	12	197	H
f253R_R08	13	289	H
f253R_R08	14	133	H
f253R_R09	1	249	H
f253R_R09	2	44	H
f253R_R09	3	18	H
f253R_R09	4	35	H
f253R_R09	5	28	H
f253R_R09	6	30	H
f253R_R09	7	245	H
f253R_R09	8	29	H
f253R_R09	9	28	H
f253R_R09	10	224	H
f253R_R09	11	30	H
f253R_R09	12	137	H
f253R_R09	13	117	H
f253R_R09	14	244	H
f253R_R09	15	38	H
f253R_R09	16	30	H
f253R_R09	17	195	H
f253R_R10	1	w:et	H
f253R_R10	2	w:ie	H
f253R_R10	3	w:veux	H
f253R_R10	4	w:bien	H
f253R_R10	5	w:le	H
f253R_R10	6	w:croire	H
f253R_R10	7	w:mais	H
f253R_R10	8	w:ie	H
f253R_R10	9	w:iuge	H
f253R_R10	10	w:par	H
f253R_R10	11	w:tout	H
f253R_R11	1	w:ce	H
f253R_R11	2	w:que	H
f253R_R11	3	w:i'entends	H
f253R_R11	4	w:dire	H
f253R_R11	5	w:et	H
f253R_R11	6	w:a	H
f253R_R11	7	w:luy	H
f253R_R11	8	w:et	H
f253R_R11	9	w:aux	H
f253R_R11	10	w:autres	H
f253R_R11	11	w:qu'ils	H
f253R_R11	12	w:n'y	H
f253R_R12	1	w:ont	H
f253R_R12	2	w:guere	H
f253R_R12	3	134	H
f253R_R12	4	17	H
f253R_R12	5	289	H
f253R_R12	6	13	H
f253R_R12	7	197	H
f253R_R12	8	165	H
f253R_R12	9	50	H
f253R_R12	10	117	H
f253R_R12	11	225	H
f253R_R12	12	221	H
f253R_R12	13	133	H
f253R_R12	14	125	H
f253R_R13	1	122	H
f253R_R13	2	191	H
f253R_R13	3	30	H
f253R_R13	4	224	H
f253R_R13	5	50	H
f253R_R13	6	267	H
f253R_R13	7	119	H
f253R_R13	8	11	H
f253R_R13	9	301	H
f253R_R13	10	228	H
f253R_R13	11	10	H
f253R_R13	12	35	H
f253R_R13	13	120	H
f253R_R13	14	224	H
f253R_R13	15	232	H
f253R_R14	1	225	H
f253R_R14	2	244	H
f253R_R14	3	28	H
f253R_R14	4	195	H
f253R_R14	5	183	H
f253R_R14	6	225	H
f253R_R14	7	132	H
f253R_R14	8	11	H
f253R_R14	9	13	H
f253R_R14	10	196	H
f253R_R14	11	35	H
f253R_R14	12	29	H
f253R_R14	13	30	H
f253R_R14	14	w:et	H
f253R_R14	15	w:tout	H
f253R_R14	16	w:ce	H
f253R_R15	1	w:qu'ils	H
f253R_R15	2	w:en	H
f253R_R15	3	w:apprennent	H
f253R_R15	4	w:leur	H
f253R_R15	5	w:vient	H
f253R_R15	6	136	H
f253R_R15	7	14	H
f253R_R15	8	176	H
f253R_R15	9	300	H
f253R_R15	10	197	H
f253R_R15	11	18	M
f253R_R15	12	29	M
f253R_R16	1	166	H
f253R_R16	2	266	H
f253R_R16	3	28	H
f253R_R16	4	134	H
f253R_R16	5	17	H
f253R_R16	6	w:qui	H
f253R_R16	7	w:est	H
f253R_R16	8	w:un	H
f253R_R16	9	44	H
f253R_R16	10	29	H
f253R_R16	11	195	H
f253R_R16	12	17	H
f253R_R16	13	135	H
f253R_R16	14	11	H
f253R_R16	15	30	H
f253R_R16	16	18	H
f253R_R16	17	288	H
f253R_R17	1	12	H
f253R_R17	2	197	H
f253R_R17	3	10	H
f253R_R17	4	136	H
f253R_R17	5	17	H
f253R_R17	6	259	H
f253R_R17	7	28	H
f253R_R17	8	259	H
f253R_R18	1	w:Je	H
f253R_R18	2	w:suis	H
f253R_R18	3	w:avec	H
f253R_R18	4	w:un	H
f253R_R18	5	w:proffond	H
f253R_R18	6	w:respect	H
f253R_R19	1	w:Monseigneur	H
f253R_R19	2	w:Vostre	H
f253R_R19	3	w:tres	H
f253R_R19	4	w:humble	H
f253R_R19	5	w:et	H
f253R_R19	6	w:tres	H
f253R_R19	7	w:obeissant	H
f253R_R19	8	w:serviteur	H
f253R_R20	1	w:Vergier	H
f265L_R01	1	w:cet	H
f265L_R01	2	w:advis	H
f265L_R01	3	w:d'ennuy	H
f265L_R01	4	w:et	H
f265L_R01	5	w:d'inquietude	H
f265L_R01	6	w:de	H
f265L_R01	7	w:ma	H
f265L_R01	8	w:part	H
f265L_R02	1	w:plustost	H
f265L_R02	2	w:que	H
f265L_R02	3	w:de	H
f265L_R02	4	w:prudence	H
f265L_R02	5	w:et	H
f265L_R02	6	w:de	H
f265L_R02	7	w:bon	H
f265L_R02	8	w:conseil	H
f265L_R03	1	w:cependant	H
f265L_R03	2	w:cela	H
f265L_R03	3	w:me	H
f265L_R03	4	w:frapoit	H
f265L_R03	5	w:depuis	H
f265L_R03	6	w:long	H
f265L_R03	7	w:temps	H
f265L_R03	8	w:et	H
f265L_R04	1	w:surtout	H
f265L_R04	2	w:depuis	H
f265L_R04	3	w:qu'on	H
f265L_R04	4	w:sait	H
f265L_R04	5	w:icy	H
f265L_R04	6	w:qu'on	H
f265L_R04	7	w:arme	H
f265L_R04	8	w:a	H
f265L_R05	1	w:Dunkerque	M
f265L_R05	2	w:ou	M
f265L_R05	3	w:ie	M
f265L_R05	4	w:pourrois	M
f265L_R05	5	w:estre	M
f265L_R05	6	w:utile	M
f265L_R05	7	w:pendant	M
f265L_R06	1	w:que	H
f265L_R06	2	w:l'on	H
f265L_R06	3	w:me	H
f265L_R06	4	w:voit	H
f265L_R06	5	w:tres	H
f265L_R06	6	w:inutile	H
f265L_R06	7	w:icy	H
f265L_R06	8	w:c'est	H
f265L_R06	9	w:pourquoy	H
f265L_R07	1	w:ie	H
f265L_R07	2	w:n'ay	H
f265L_R07	3	w:pas	H
f265L_R07	4	w:cru	H
f265L_R07	5	w:devoir	H
f265L_R07	6	w:essayer	H
f265L_R07	7	w:d'y	H
f265L_R07	8	w:rester	H
f265L_R07	9	w:davantage	H
f265L_R08	1	w:i'ay	H
f265L_R08	2	w:seulement	H
f265L_R08	3	w:donné	H
f265L_R08	4	10	H
f265L_R08	5	208	H
f265L_R08	6	17	H
f265L_R08	7	133	H
f265L_R08	8	244	H
f265L_R08	9	28	H
f265L_R08	10	32	H
f265L_R08	11	34	H
f265L_R08	12	50	H
f265L_R09	1	291	H
f265L_R09	2	34	H
f265L_R09	3	29	H
f265L_R09	4	260	H
f265L_R09	5	223	H
f265L_R09	6	250	H
f265L_R09	7	133	H
f265L_R09	8	25	H
f265L_R09	9	199	H
f265L_R09	10	10	H
f265L_R09	11	34	H
f265L_R09	12	720	H
f265L_R09	13	w:et	H
f265L_R09	14	w:que	H
f265L_R09	15	w:ie	H
f265L_R10	1	w:croy	H
f265L_R10	2	w:que	H
f265L_R10	3	w:vous	H
f265L_R10	4	w:ne	H
f265L_R10	5	w:desaprouverés	H
f265L_R10	6	w:pas	H
f265L_R10	7	186	H
f265L_R10	8	200	H
f265L_R10	9	10	H
f265L_R10	10	38	H
f265L_R11	1	152	H
f265L_R11	2	10	H
f265L_R11	3	33	H
f265L_R11	4	18	H
f265L_R11	5	50	H
f265L_R11	6	289	H
f265L_R11	7	17	H
f265L_R11	8	16	H
f265L_R11	9	267	H
f265L_R11	10	259	H
f265L_R11	11	206	M
f265L_R11	12	303	H
f265L_R11	13	38	H
f265L_R11	14	10	H
f265L_R11	15	228	H
f265L_R11	16	44	H
f265L_R11	17	118	H
f265L_R12	1	11	H
f265L_R12	2	17	H
f265L_R12	3	34	H
f265L_R12	4	290	H
f265L_R12	5	196	H
f265L_R12	6	251	H
f265L_R12	7	280	H
f265L_R12	8	17	H
f265L_R12	9	278	H
f265L_R12	10	29	H
f265L_R12	11	302	H
f265L_R12	12	117	H
f265L_R12	13	w:i'avois	H
f265L_R12	14	w:demmendé	H
f265L_R13	1	w:il	H
f265L_R13	2	w:y	H
f265L_R13	3	w:a	H
f265L_R13	4	w:quelque	H
f265L_R13	5	w:temps	H
f265L_R13	6	10	H
f265L_R13	7	210	H
f265L_R13	8	300	H
f265L_R13	9	245	H
f265L_R13	10	267	H
f265L_R13	11	245	H
f265L_R13	12	29	H
f265L_R13	13	207	H
f265L_R13	14	30	H
f265L_R14	1	279	H
f265L_R14	2	238	H
f265L_R14	3	133	H
f265L_R14	4	206	H
f265L_R14	5	50	H
f265L_R14	6	267	H
f265L_R14	7	291	H
f265L_R14	8	35	H
f265L_R14	9	29	H
f265L_R14	10	224	H
f265L_R14	11	28	H
f265L_R14	12	10	H
f265L_R14	13	136	H
f265L_R14	14	50	H
f265L_R14	15	259	H
f265L_R14	16	28	H
f265L_R15	1	259	H
f265L_R15	2	251	H
f265L_R15	3	38	H
f265L_R15	4	10	H
f265L_R15	5	38	H
f265L_R15	6	133	H
f265L_R15	7	28	H
f265L_R15	8	10	H
f265L_R15	9	w:16	M
f265L_R15	10	601	H
f265L_R15	11	10	H
f265L_R15	12	300	H
f265L_R15	13	17	H
f265L_R15	14	117	H
f265L_R15	15	29	H
f265L_R15	16	195	H
f265L_R15	17	29	H
f265L_R15	18	206	H
f265L_R16	1	211	H
f265L_R16	2	w:et	H
f265L_R16	3	w:qu'il	H
f265L_R16	4	w:m'a	H
f265L_R16	5	w:repondu	H
f265L_R16	6	w:que	H
f265L_R16	7	w:si	H
f265L_R16	8	w:ie	H
f265L_R16	9	w:me	H
f265L_R16	10	w:croyois	H
f265L_R17	1	11	H
f265L_R17	2	17	H
f265L_R17	3	35	H
f265L_R17	4	290	H
f265L_R17	5	196	H
f265L_R17	6	10	H
f265L_R17	7	110	H
f265L_R17	8	35	H
f265L_R17	9	198	H
f265L_R17	10	21	H
f265L_R17	11	224	H
f265L_R17	12	186	H
f265L_R17	13	247	H
f265L_R17	14	35	H
f265L_R17	15	303	H
f265L_R17	16	11	H
f265L_R17	17	30	H
f265L_R18	1	w:m'en	H
f265L_R18	2	w:retourner	H
f265L_R18	3	w:a	H
f265L_R18	4	w:Dunkerque	H
f265L_R18	5	w:pourveuque	H
f265L_R18	6	196	H
f265L_R18	7	275	H
f265L_R18	8	16	H
f265L_R18	9	105	H
f265L_R19	1	10	H
f265L_R19	2	24	H
f265L_R19	3	269	H
f265L_R19	4	34	H
f265L_R19	5	300	H
f265L_R19	6	30	H
f265L_R19	7	33	H
f265L_R19	8	208	H
f265L_R19	9	17	H
f265L_R19	10	133	H
f265L_R19	11	244	H
f265L_R19	12	29	H
f265L_R19	13	32	H
f265L_R19	14	259	H
f265L_R19	15	221	H
f265L_R20	1	191	M
f265L_R20	2	205	M
f265L_R20	3	303	M
f265L_R20	4	11	M
f265L_R20	5	32	M
f265L_R20	6	w:fait	M
f265L_R20	7	w:l'honneur	M
f265L_R20	8	w:de	M
f265L_R20	9	206	M
f265L_R20	10	8	M
f265L_R20	11	610	M
f265L_R20	12	601	M
f265L_R20	13	206	M
f265L_R21	1	32	H
f265L_R21	2	33	H
f265L_R21	3	267	H
f265L_R21	4	280	H
f265L_R21	5	35	H
f265L_R21	6	30	H
f265L_R21	7	278	H
f265L_R21	8	30	H
f265L_R21	9	52	H
f265L_R21	10	28	H
f265L_R21	11	16	H
f265L_R21	12	267	H
f265L_R21	13	30	H
f265L_R21	14	w:ie	H
f265L_R21	15	w:ne	H
f265L_R21	16	w:devois	H
f265L_R22	1	161	H
f265L_R22	2	10	H
f265L_R22	3	34	H
f265L_R22	4	120	H
f265L_R22	5	50	H
f265L_R22	6	208	H
f265L_R22	7	35	H
f265L_R22	8	301	H
f265L_R22	9	211	H
f265L_R22	10	285	H
f265L_R22	11	280	H
f265L_R22	12	17	H
f265L_R22	13	235	H
f265L_R22	14	18	H
f265L_R22	15	36	H
f265L_R22	16	24	H
f265L_R23	1	267	H
f265L_R23	2	30	H
f265L_R23	3	191	H
f265L_R23	4	205	H
f265L_R23	5	244	H
f265L_R23	6	270	H
f265L_R23	7	155	H
f265L_R23	8	28	H
f265L_R23	9	32	H
f265L_R23	10	291	H
f265L_R23	11	34	H
f265L_R23	12	14	H
f265L_R23	13	176	H
f265L_R23	14	133	H
f265R_R01	1	117	H
f265R_R01	2	33	H
f265R_R01	3	289	H
f265R_R01	4	178	H
f265R_R01	5	224	H
f265R_R01	6	30	H
f265R_R01	7	289	H
f265R_R01	8	8	H
f265R_R01	9	289	H
f265R_R01	10	133	H
f265R_R01	11	210	H
f265R_R01	12	133	H
f265R_R01	13	247	H
f265R_R01	14	17	H
f265R_R01	15	33	H
f265R_R02	1	14	H
f265R_R02	2	175	H
f265R_R02	3	28	H
f265R_R02	4	32	H
f265R_R02	5	266	H
f265R_R02	6	11	H
f265R_R02	7	17	H
f265R_R02	8	143	H
f265R_R02	9	133	H
f265R_R02	10	208	H
f265R_R02	11	50	H
f265R_R02	12	w:empressement	H
f265R_R03	1	w:pour	H
f265R_R03	2	w:son	H
f265R_R03	3	w:service	H
f265R_R03	4	w:car	H
f265R_R03	5	191	H
f265R_R03	6	142	H
f265R_R03	7	298	H
f265R_R03	8	245	H
f265R_R03	9	28	H
f265R_R03	10	281	H
f265R_R03	11	10	H
f265R_R03	12	133	H
f265R_R04	1	259	H
f265R_R04	2	195	H
f265R_R04	3	28	H
f265R_R04	4	206	H
f265R_R04	5	211	H
f265R_R04	6	133	H
f265R_R04	7	136	H
f265R_R04	8	17	H
f265R_R04	9	259	H
f265R_R04	10	28	H
f265R_R04	11	250	H
f265R_R04	12	267	H
f265R_R04	13	29	H
f265R_R04	14	133	H
f265R_R05	1	277	H
f265R_R05	2	133	H
f265R_R05	3	30	H
f265R_R05	4	117	H
f265R_R05	5	50	H
f265R_R05	6	289	H
f265R_R05	7	143	H
f265R_R05	8	135	H
f265R_R05	9	11	H
f265R_R05	10	32	H
f265R_R05	11	278	H
f265R_R05	12	188	H
f265R_R05	13	11	H
f265R_R05	14	50	H
f265R_R05	15	16	H
f265R_R05	16	267	H
f265R_R06	1	10	H
f265R_R06	2	210	H
f265R_R06	3	w:de	H
f265R_R06	4	w:Chasteaurenaut	H
f265R_R06	5	w:et	H
f265R_R06	6	w:il	H
f265R_R06	7	w:m'a	H
f265R_R06	8	w:dit	H
f265R_R06	9	w:qu'il	H
f265R_R07	1	w:croyoit	H
f265R_R07	2	w:qu'effectivement	H
f265R_R07	3	w:ie	H
f265R_R07	4	w:serois	H
f265R_R07	5	w:plus	H
f265R_R07	6	w:utile	H
f265R_R07	7	w:a	H
f265R_R08	1	w:Dunkerque	H
f265R_R08	2	w:d'ailleurs	H
f265R_R08	3	w:monseigneur	H
f265R_R08	4	186	H
f265R_R08	5	281	H
f265R_R08	6	11	H
f265R_R08	7	30	H
f265R_R09	1	w:parfaitement	H
f265R_R09	2	10	H
f265R_R09	3	301	H
f265R_R09	4	14	H
f265R_R09	5	722	H
f265R_R09	6	143	H
f265R_R09	7	10	H
f265R_R09	8	301	H
f265R_R09	9	14	H
f265R_R09	10	291	H
f265R_R09	11	34	H
f265R_R09	12	32	H
f265R_R10	1	117	H
f265R_R10	2	260	H
f265R_R10	3	46	H
f265R_R10	4	38	H
f265R_R10	5	10	H
f265R_R10	6	11	H
f265R_R10	7	118	H
f265R_R10	8	16	H
f265R_R10	9	700	H
f265R_R10	10	35	H
f265R_R10	11	17	H
f265R_R10	12	245	H
f265R_R10	13	34	H
f265R_R10	14	w:considerable	H
f265R_R11	1	w:mot	M
f265R_R11	2	w:estant	H
f265R_R11	3	w:avec	H
f265R_R11	4	150	H
f265R_R11	5	19	M
f265R_R11	6	17	M
f265R_R11	7	119	H
f265R_R11	8	32	H
f265R_R11	9	289	H
f265R_R11	10	268	H
f265R_R11	11	18	H
f265R_R11	12	188	H
f265R_R11	13	34	H
f265R_R11	14	29	H
f265R_R11	15	223	H
f265R_R12	1	197	H
f265R_R12	2	18	H
f265R_R12	3	267	H
f265R_R12	4	133	H
f265R_R12	5	8	H
f265R_R12	6	133	H
f265R_R12	7	107	H
f265R_R12	8	34	H
f265R_R12	9	14	H
f265R_R12	10	176	H
f265R_R12	11	143	M
f265R_R12	12	133	H
f265R_R12	13	24	H
f265R_R12	14	195	H
f265R_R12	15	11	H
f265R_R12	16	279	H
f265R_R12	17	28	H
f265R_R13	1	w:Je	H
f265R_R13	2	w:n'ay	H
f265R_R13	3	w:rien	H
f265R_R13	4	w:remarqué	H
f265R_R13	5	18	H
f265R_R13	6	17	H
f265R_R13	7	722	H
f265R_R13	8	w:qui	H
f265R_R13	9	w:ne	H
f265R_R13	10	w:me	H
f265R_R13	11	w:confirme	H
f265R_R14	1	w:ce	H
f265R_R14	2	w:que	H
f265R_R14	3	w:i'ay	H
f265R_R14	4	w:eu	H
f265R_R14	5	w:l'honneur	H
f265R_R14	6	w:de	H
f265R_R14	7	w:vous	H
f265R_R14	8	w:en	H
f265R_R14	9	w:marquer	H
f265R_R14	10	w:en	H
f265R_R15	1	w:dernier	H
f265R_R15	2	w:lieu	H
f265R_R16	1	w:Je	H
f265R_R16	2	w:suis	H
f265R_R16	3	w:avec	H
f265R_R16	4	w:un	H
f265R_R16	5	w:proffond	H
f265R_R16	6	w:respect	H
f265R_R17	1	w:Monseigneur	H
f265R_R18	1	w:Votre	H
f265R_R18	2	w:tres	H
f265R_R18	3	w:humble	H
f265R_R18	4	w:et	H
f265R_R18	5	w:tres	H
f265R_R18	6	w:obeissant	H
f265R_R18	7	w:serviteur	H
f265R_R19	1	w:Vergier	H
