line	pos	group	plain	span
f265L_R09	7	133	des	B01
f265L_R09	8	25	p	B01
f265L_R09	9	199	le	B01
f265L_R09	10	10	a	B01
f265L_R09	11	34	u	B01
f265L_R09	12	720	Roy d'Angleterre	B01
f265L_R10	7	186	ie	B02
f265L_R10	8	200	uy	B02
f265L_R10	9	10	a	B02
f265L_R10	10	38	y	B02
f265L_R11	1	152	f	B02
f265L_R11	2	10	a	B02
f265L_R11	3	33	it	B02
f265L_R11	4	18	e	B02
f265L_R11	5	50	n	B02
f265L_R11	6	289	te	B02
f265L_R11	7	17	n	B02
f265L_R11	8	16	d	B02
f265L_R11	9	267	re	B02
f265L_R11	10	259	que	B02
f265L_R11	11	206	me	B02
f265L_R11	12	303	uo	B02
f265L_R11	13	38	y	B02
f265L_R11	14	10	a	B02
f265L_R11	15	228	nt	B02
f265L_R11	16	44	i	B02
f265L_R11	17	118	cy	B02
f265L_R12	1	11	i	B02
f265L_R12	2	17	n	B02
f265L_R12	3	34	u	B02
f265L_R12	4	290	ti	B02
f265L_R12	5	196	le	B02
f265L_R12	6	251	pour	B02
f265L_R12	7	280	so	B02
f265L_R12	8	17	n	B02
f265L_R12	9	278	se	B02
f265L_R12	10	29	r	B02
f265L_R12	11	302	ui	B02
f265L_R12	12	117	ce	B02
f265L_R13	6	10	a	B03
f265L_R13	7	210	m	B03
f265L_R13	8	300	uostre	B03
f265L_R13	9	245	pe	B03
f265L_R13	10	267	re	B03
f265L_R13	11	245	pe	B03
f265L_R13	12	29	r	B03
f265L_R13	13	207	mi	B03
f265L_R13	14	30	s	B03
f265L_R14	1	279	si	B03
f265L_R14	2	238	on	B03
f265L_R14	3	133	de	B03
f265L_R14	4	206	me	B03
f265L_R14	5	50	n	B03
f265L_R14	6	267	re	B03
f265L_R14	7	291	to	B03
f265L_R14	8	35	u	B03
f265L_R14	9	29	r	B03
f265L_R14	10	224	ne	B03
f265L_R14	11	28	r	B03
f265L_R14	12	10	a	B03
f265L_R14	13	136	du	B03
f265L_R14	14	50	n	B03
f265L_R14	15	259	ke	B03
f265L_R14	16	28	r	B03
f265L_R15	1	259	que	B03
f265L_R15	2	251	pour	B03
f265L_R15	3	38	y	B03
f265L_R15	4	10	a	B03
f265L_R15	5	38	y	B03
f265L_R15	6	133	de	B03
f265L_R15	7	28	raa	B03
f265L_R15	8	10	cerlarm	B03
f265L_R16	1	211	ment	B03
f265L_R17	1	11	i	B04
f265L_R17	2	17	n	B04
f265L_R17	3	35	u	B04
f265L_R17	4	290	ti	B04
f265L_R17	5	196	le	B04
f265L_R17	6	10	a	B04
f265L_R17	7	110	bo	B04
f265L_R17	8	35	u	B04
f265L_R17	9	198	lo	B04
f265L_R17	10	21	g	B04
f265L_R17	11	224	ne	B04
f265L_R17	12	186	ie	B04
f265L_R17	13	247	po	B04
f265L_R17	14	35	u	B04
f265L_R17	15	303	rro	B04
f265L_R17	16	11	i	B04
f265L_R17	17	30	s	B04
f265L_R18	6	196	le	B05
f265L_R18	7	275	ro	B05
f265L_R18	8	16	d	B05
f265L_R18	9	105	Angleterre	B05
f265L_R19	1	10	a	B05
f265L_R19	2	24	p	B05
f265L_R19	3	269	ro	B05
f265L_R19	4	34	u	B05
f265L_R19	5	300	ua	B05
f265L_R19	6	30	s	B05
f265L_R19	7	33	t	B05
f265L_R19	8	208	mo	B05
f265L_R19	9	17	n	B05
f265L_R19	10	133	des	B05
f265L_R19	11	244	pa	B05
f265L_R19	12	29	r	B05
f265L_R19	13	32	t	B05
f265L_R19	14	259	que	B05
f265L_R19	15	221	me	B05
f265L_R20	1	191	il	B05
f265L_R20	2	205	ma	B05
f265L_R20	3	303	uo	B05
f265L_R20	4	11	i	B05
f265L_R20	5	32	t	B05
f265L_R20	9	206	me	B06
f265L_R20	10	8	0	B06
f265L_R20	11	610	m	B06
f265L_R20	12	601	0	B06
f265L_R20	13	206	e	B06
f265L_R21	1	32	t	B06
f265L_R21	2	33	t	B06
f265L_R21	3	267	re	B06
f265L_R21	4	280	so	B06
f265L_R21	5	35	u	B06
f265L_R21	6	30	s	B06
f265L_R21	7	278	se	B06
f265L_R21	8	30	s	B06
f265L_R21	9	52	o	B06
f265L_R21	10	28	r	B06
f265L_R21	11	16	d	B06
f265L_R21	12	267	re	B06
f265L_R21	13	30	s	B06
f265L_R22	1	161	faire	B07
f265L_R22	2	10	a	B07
f265L_R22	3	34	u	B07
f265L_R22	4	120	cu	B07
f265L_R22	5	50	n	B07
f265L_R22	6	208	mo	B07
f265L_R22	7	35	u	B07
f265L_R22	8	301	ue	B07
f265L_R22	9	211	ment	B07
f265L_R22	10	285	sans	B07
f265L_R22	11	280	so	B07
f265L_R22	12	17	n	B07
f265L_R22	13	235	ordre	B07
f265L_R22	14	18	e	B07
f265L_R22	15	36	x	B07
f265L_R22	16	24	p	B07
f265L_R23	1	267	re	B07
f265L_R23	2	30	s	B07
f265L_R23	3	191	il	B07
f265L_R23	4	205	ma	B07
f265L_R23	5	244	pa	B07
f265L_R23	6	270	ru	B07
f265L_R23	7	155	fo	B07
f265L_R23	8	28	r	B07
f265L_R23	9	32	t	B07
f265L_R23	10	291	to	B07
f265L_R23	11	34	chedece	B07
f265L_R23	12	14	ttehon	B07
f265L_R23	13	176	nestete	B07
f265L_R23	14	133	de	B07
f265R_R01	11	210	m	B08
f265R_R01	12	133	de	B08
f265R_R01	13	247	po	B08
f265R_R01	14	17	n	B08
f265R_R01	15	33	t	B08
f265R_R02	1	14	c	B08
f265R_R02	2	175	ha	B08
f265R_R02	3	28	r	B08
f265R_R02	4	32	t	B08
f265R_R02	5	266	ra	B08
f265R_R02	6	11	i	B08
f265R_R02	7	17	n	B08
f265R_R02	8	143	et	B08
f265R_R02	9	133	de	B08
f265R_R02	10	208	mo	B08
f265R_R02	11	50	n	B08
f265R_R03	5	191	il	B09
f265R_R03	6	142	est	B09
f265R_R03	7	298	tres	B09
f265R_R03	8	245	pe	B09
f265R_R03	9	28	r	B09
f265R_R03	10	281	su	B09
f265R_R03	11	10	a	B09
f265R_R03	12	133	de	B09
f265R_R04	1	259	que	B09
f265R_R04	2	195	la	B09
f265R_R04	3	28	r	B09
f265R_R04	4	206	me	B09
f265R_R04	5	211	ment	B09
f265R_R04	6	133	de	B09
f265R_R04	7	136	du	B09
f265R_R04	8	17	n	B09
f265R_R04	9	259	ke	B09
f265R_R04	10	28	r	B09
f265R_R04	11	250	ue	B09
f265R_R04	12	267	re	B09
f265R_R04	13	29	r	B09
f265R_R04	14	133	de	B09
f265R_R05	1	277	la	B09
f265R_R05	2	133	de	B09
f265R_R05	3	30	s	B09
f265R_R05	4	117	ce	B09
f265R_R05	5	50	n	B09
f265R_R05	6	289	te	B09
f265R_R05	7	143	et	B09
f265R_R05	8	135	do	B09
f265R_R05	9	11	i	B09
f265R_R05	10	32	t	B09
f265R_R05	11	278	se	B09
f265R_R05	12	188	io	B09
f265R_R05	13	11	i	B09
f265R_R05	14	50	n	B09
f265R_R05	15	16	d	B09
f265R_R05	16	267	re	B09
f265R_R06	1	10	a	B09
f265R_R06	2	210	m	B09
f265R_R08	4	186	ie	B10
f265R_R08	5	281	su	B10
f265R_R08	6	11	i	B10
f265R_R08	7	30	s	B10
f265R_R09	2	10	a	B11
f265R_R09	3	301	ue	B11
f265R_R09	4	14	c	B11
f265R_R09	5	722	Milord Myddleton	B11
f265R_R09	6	143	et	B11
f265R_R09	7	10	a	B11
f265R_R09	8	301	ue	B11
f265R_R09	9	14	c	B11
f265R_R09	10	291	to	B11
f265R_R09	11	34	u	B11
f265R_R09	12	32	t	B11
f265R_R10	1	117	ce	B11
f265R_R10	2	260	qui	B11
f265R_R10	3	46	l	B11
f265R_R10	4	38	y	B11
f265R_R10	5	10	a	B11
f265R_R10	6	11	i	B11
f265R_R10	7	118	cy	B11
f265R_R10	8	16	d	B11
f265R_R10	9	700	angloi	B11
f265R_R10	10	35	u	B11
f265R_R10	11	17	n	B11
f265R_R10	12	245	pe	B11
f265R_R10	13	34	u	B11
f265R_R11	4	150	eux	B12
f265R_R11	5	19	e	B12
f265R_R11	6	17	n	B12
f265R_R11	7	119	co	B12
f265R_R11	8	32	0	B12
f265R_R11	9	289	te	B12
f265R_R11	10	268	ri	B12
f265R_R11	11	18	e	B12
f265R_R11	12	188	io	B12
f265R_R11	13	34	u	B12
f265R_R11	14	29	r	B12
f265R_R11	15	223	na	B12
f265R_R12	1	197	li	B12
f265R_R12	2	18	e	B12
f265R_R12	3	267	re	B12
f265R_R12	4	133	de	B12
f265R_R12	5	8	0	B12
f265R_R12	6	133	des	B12
f265R_R12	7	107	ba	B12
f265R_R12	8	34	u	B12
f265R_R12	9	14	c	B12
f265R_R12	10	176	he	B12
f265R_R12	11	143	et	B12
f265R_R12	12	133	de	B12
f265R_R12	13	24	p	B12
f265R_R12	14	195	la	B12
f265R_R12	15	11	i	B12
f265R_R12	16	279	si	B12
f265R_R12	17	28	r	B12
f265R_R13	5	18	e	B13
f265R_R13	6	17	n	B13
f265R_R13	7	722	Milord Myddleton	B13
