page	line	pos	code	uncertain	value	grade
f28r	14	54	dbar	0	g	H
f28r	14	55	arr	0	r	H
f28r	14	56	o	0	a	H
f28r	14	57	f	0	n	H
f28r	14	58	l	0	t	H
f28r	14	59	S	0	m	H
f28r	14	60	o	0	a	H
f28r	14	61	rho	0	l	H
f28r	15	1	rho	0	l	H
f28r	15	2	psi	0	e	H
f28r	15	3	box	0	c	H
f28r	15	4	o	0	a	H
f28r	15	5	lam	0	s	H
f28r	15	6	psi	0	e	H
f28r	15	7	lam	0	s	H
f28r	15	8	l	0	t	H
f28r	15	9	arr	0	r	H
f28r	15	10	db	0	e	H
f28r	15	11	o	0	a	H
f28r	15	12	I	0	i	H
f28r	15	13	f	0	n	H
f28r	15	14	lam	0	s	H
f28r	15	15	I	0	i	H
f28r	15	16	o	0	a	H
f28r	15	17	q	0	d	H
f28r	15	18	v	0	u	H
f28r	15	19	db	0	e	H
f28r	15	20	f	0	n	H
f28r	15	21	R	0	u	H
f28r	15	22	T	0	p	H
f28r	15	23	H	1	s	M
f28r	15	24	v	0	u	H
f28r	15	25	arr	0	r	H
f28r	15	26	rho	0	l	H
f28r	15	27	psi	0	e	H
f28r	15	28	v	0	u	H
f28r	15	29	arr	0	r	H
f28r	15	30	q	0	d	H
f28r	15	31	z	0	o	H
f28r	15	32	A	0	n	C
f28r	15	33	psi	0	e	H
f28r	15	34	arr	0	r	H
f28r	15	35	o	0	a	H
f28r	15	36	L	1	[con]	M
f28r	15	37	dbar	0	g	H
f28r	15	38	f	0	n	H
f28r	15	39	z	0	o	H
f28r	15	40	I	0	i	H
f28r	15	41	lam	0	s	H
f28r	15	42	l	0	t	H
f28r	15	43	arr	0	r	H
f28r	15	44	db	0	e	H
f28r	15	45	n	0	q	H
f28r	15	46	v	0	u	H
f28r	15	47	psi	0	e	H
f28r	15	48	th	0	b	H
f28r	15	49	I	0	i	H
f28r	15	50	psi	0	e	H
f28r	15	51	f	0	n	H
f28r	15	52	lam	0	s	H
f28r	15	53	z	0	o	H
f28r	15	54	three	0	u	C
f28r	15	55	psi	0	e	H
f28r	15	56	f	0	n	H
f28r	15	57	l	0	t	H
f28r	15	58	rho	0	l	H
f28r	15	59	7	1	e	M
f28r	16	1	lam	0	s	H
f28r	16	2	dbar	0	g	H
f28r	16	3	db	0	e	H
f28r	16	4	f	0	n	H
f28r	16	5	lam	0	s	H
f28r	16	6	lam	0	s	H
f28r	16	7	o	0	a	H
f28r	16	8	o	0	a	H
f28r	16	9	v	0	u	H
f28r	16	10	lam	0	s	H
f28r	16	11	psi	0	e	H
f28r	16	12	f	0	n	H
f28r	16	13	l	0	t	H
f28r	16	14	ankh	0	a	H
f28r	16	15	lam	0	s	H
f28r	16	16	psi	0	e	H
f28r	16	17	Del	0	f	H
f28r	16	18	E	0	y	H
f28r	16	19	psi	0	e	H
f28r	16	20	arr	0	r	H
f28r	16	21	7	0	e	H
f28r	16	22	l	0	t	H
f28r	16	23	box	0	c	H
f28r	16	24	arr	0	r	H
f28r	16	25	z	0	o	H
f28r	16	26	I	0	i	H
f28r	16	27	arr	0	r	H
f28r	16	28	db	0	e	H
f28r	16	29	l	0	t	H
f28r	16	30	arr	0	r	H
f28r	16	31	z	0	o	H
f28r	16	32	T	0	p	H
f28r	16	33	7	0	e	H
f28r	16	34	l	0	t	H
f28r	16	35	f	0	n	H
f28r	16	36	db	0	e	H
f28r	16	37	lam	0	s	H
f28r	16	38	l	0	t	H
f28r	16	39	T	0	p	H
f28r	16	40	o	0	a	H
f28r	16	41	lam	0	s	H
f28r	16	42	arr	0	r	H
f28r	16	43	psi	0	e	H
f28r	16	44	lam	0	s	H
f28r	16	45	l	0	t	H
f28r	16	46	db	0	e	H
f28r	16	47	n	0	q	H
f28r	16	48	psi	0	e	H
f28r	16	49	rho	0	l	H
f28r	16	50	z	0	o	H
f28r	16	51	f	1	n	M
f28r	16	52	f	0	n	H
f28r	16	53	psi	0	e	H
f28r	16	54	f	0	n	H
f28r	16	55	o	0	a	H
f28r	16	56	E	0	y	H
f28r	16	57	l	0	t	H
f28r	17	1	ankh	0	a	H
f28r	17	2	q	0	d	H
f28r	17	3	v	0	u	H
f28r	17	4	db	0	e	H
f28r	17	5	arr	0	r	H
f28r	17	6	l	0	t	H
f28r	17	7	E	0	y	H
f28r	17	8	rho	0	l	H
f28r	17	9	o	0	a	H
f28r	17	10	z	0	o	H
f28r	17	11	v	0	u	H
f28r	17	12	7	0	e	H
f28r	17	13	lam	0	s	H
f28r	17	14	l	0	t	H
f28r	17	15	z	0	o	H
f28r	17	16	X	0	i	H
f28r	17	17	l	0	t	H
f28r	17	18	arr	0	r	H
f28r	17	19	psi	0	e	H
f28r	17	20	n	0	q	H
f28r	17	21	v	0	u	H
f28r	17	22	I	0	i	H
f28r	17	23	lam	0	s	H
f28r	17	24	7	0	e	H
f28r	17	25	l	0	t	H
f28r	17	26	db	0	e	H
f28r	17	27	f	0	n	H
f28r	17	28	l	0	t	H
f28r	17	29	psi	0	e	H
f28r	17	30	S	0	m	H
f28r	17	31	T	0	p	H
f28r	17	32	lam	0	s	H
f28r	17	33	db	0	e	H
f28r	17	34	l	1	t	M
f28r	17	35	f	0	n	H
f28r	17	36	7	0	e	H
f28r	17	37	f	0	n	H
f28r	17	38	psi	0	e	H
f28r	17	39	v	0	u	H
f28r	17	40	arr	0	r	H
f28r	17	41	db	0	e	H
f28r	17	42	f	0	n	H
f28r	17	43	l	0	t	H
f28r	17	44	X	0	i	H
f28r	17	45	o	0	a	H
f28r	17	46	S	0	m	H
f28r	17	47	ankh	0	a	H
f28r	17	48	I	0	i	H
f28r	17	49	lam	0	s	H
f28r	17	50	lamL	1	-	M
f28r	17	51	cross4	1	<cross4>	U
f28r	17	52	heart	0	[cardinal de Côme]	C
f28r	17	53	psi	0	e	H
f28r	17	54	l	0	t	H
f28r	17	55	m	0	-	H
f28r	17	56	zslash	0	u	H
f28r	17	57	lamL	1	-	M
f28r	18	1	X	0	i	H
f28r	18	2	v	0	u	H
f28r	18	3	l	0	t	H
f28r	18	4	arr	0	r	H
f28r	18	5	db	0	e	H
f28r	18	6	z	0	o	H
f28r	18	7	T	0	p	H
f28r	18	8	X	0	i	H
f28r	18	9	f	0	n	H
f28r	18	10	I	0	i	H
f28r	18	11	z	0	o	H
f28r	18	12	f	0	n	H
f28r	18	13	n	0	q	H
f28r	18	14	v	0	u	H
f28r	18	15	db	0	e	H
f28r	18	16	S	0	m	H
f28r	18	17	o	0	a	H
f28r	18	18	three	0	u	C
f28r	18	19	q	1	d	M
f28r	18	20	I	0	i	H
f28r	18	21	lam	0	s	H
f28r	18	22	psi	0	e	H
f28r	18	23	7	0	e	H
f28r	18	24	l	0	t	H
f28r	18	25	box	0	c	H
f28r	18	26	arr	0	r	H
f28r	18	27	db	0	e	H
f28r	18	28	v	0	u	H
f28r	18	29	arr	0	r	H
f28r	18	30	psi	0	e	H
f28r	18	31	f	0	n	H
f28r	18	32	l	0	t	H
f28r	18	33	l	0	t	H
f28r	18	34	arr	0	r	H
f28r	18	35	db	0	e	H
f28r	18	36	lam	0	s	H
f28r	18	37	th	0	b	H
f28r	18	38	I	0	i	H
f28r	18	39	psi	0	e	H
f28r	18	40	f	0	n	H
f28r	18	41	box	0	c	H
f28r	18	42	7	0	e	H
f28r	18	43	n	0	q	H
f28r	18	44	v	0	u	H
f28r	18	45	X	0	i	H
f28r	18	46	rho	0	l	H
f28r	18	47	rho	0	l	H
f28r	18	48	psi	0	e	H
f28r	18	49	v	0	u	H
f28r	18	50	arr	0	r	H
f28r	18	51	psi	0	e	H
f28r	18	52	f	0	n	H
f28r	18	53	Del	0	f	H
f28r	18	54	v	0	u	H
f28r	18	55	l	0	t	H
f28r	18	56	q	0	d	H
f28r	18	57	I	0	i	H
f28r	18	58	box	0	c	H
f28r	18	59	l	0	t	H
f28r	19	1	psi	0	e	H
f28r	19	2	l	0	t	H
f28r	19	3	S	0	m	H
f28r	19	4	db	0	e	H
f28r	19	5	lam	0	s	H
f28r	19	6	S	0	m	H
f28r	19	7	psi	0	e	H
f28r	19	8	S	0	m	H
f28r	19	9	7	0	e	H
f28r	19	10	f	0	n	H
f28r	19	11	l	0	t	H
f28r	19	12	n	1	q	M
f28r	19	13	bz	1	u	M
f28r	19	14	z	0	o	H
f28r	19	15	f	0	n	H
f28r	19	16	rho	0	l	H
f28r	19	17	psi	0	e	H
f28r	19	18	v	0	u	H
f28r	19	19	arr	0	r	H
f28r	19	20	arr	0	r	H
f28r	19	21	psi	0	e	H
f28r	19	22	S	0	m	H
f28r	19	23	I	0	i	H
f28r	19	24	box	0	c	H
f28r	19	25	l	0	t	H
f28r	19	26	7	0	e	H
f28r	19	27	f	0	n	H
f28r	19	28	S	0	m	H
f28r	19	29	psi	0	e	H
f28r	19	30	S	0	m	H
f28r	19	31	sq	1	o	M
f28r	19	32	I	0	i	H
f28r	19	33	arr	0	r	H
f28r	19	34	psi	0	e	H
f28r	19	35	rho	0	l	H
f28r	19	36	psi	0	e	H
f28r	19	37	l	0	t	H
f28r	19	38	z	0	o	H
f28r	19	39	v	0	u	H
f28r	19	40	arr	0	r	H
f28r	19	41	q	0	d	H
f28r	19	42	db	0	e	H
f28r	19	43	T	0	p	H
f28r	19	44	arr	0	r	H
f28r	19	45	pi	1	[Madame]	M
f28r	19	46	T	0	p	H
f28r	19	47	psi	0	e	H
f28r	19	48	arr	0	r	H
f28r	19	49	sq	0	o	H
f28r	19	50	box	0	c	H
f28r	19	51	z	0	o	H
f28r	19	52	rho	0	l	H
f28r	19	53	sq	0	o	H
f28r	19	54	A	1	n	M
f28r	19	55	psi	0	e	H
f28r	20	1	n	0	q	H
f28r	20	2	v	0	u	H
f28r	20	3	X	0	i	H
f28r	20	4	lam	0	s	H
f28r	20	5	psi	0	e	H
f28r	20	6	Del	0	f	H
f28r	20	7	psi	0	e	H
f28r	20	8	I	0	i	H
f28r	20	9	l	0	t	H
f28r	20	10	dbar	0	g	H
f28r	20	11	arr	0	r	H
f28r	20	12	o	0	a	H
f28r	20	13	f	0	n	H
f28r	20	14	l	0	t	H
f28r	20	15	db	0	e	H
f28r	20	16	l	0	t	H
f28r	20	17	lam	0	s	H
f28r	20	18	box	0	c	H
f28r	20	19	db	0	e	H
f28r	20	20	v	0	u	H
f28r	20	21	l	0	t	H
f28r	20	22	th	0	b	H
f28r	20	23	I	0	i	H
f28r	20	24	psi	0	e	H
f28r	20	25	f	0	n	H
f28r	20	26	Del	0	f	H
f28r	20	27	ankh	1	a	M
f28r	20	28	I	0	i	H
f28r	20	29	arr	0	r	H
f28r	20	30	db	0	e	H
f28r	20	31	lam	0	s	H
f28r	20	32	z	0	o	H
f28r	20	33	f	0	n	H
f28r	20	34	T	0	p	H
f28r	20	35	arr	0	r	H
f28r	20	36	z	0	o	H
f28r	20	37	v	0	u	H
f28r	20	38	x	1	f	M
f28r	20	39	X	1	i	M
f28r	20	40	box	0	c	H
f28r	20	41	l	0	t	H
f28r	20	42	q	0	d	H
f28r	20	43	db	0	e	H
f28r	20	44	lam	0	s	H
f28r	20	45	T	0	p	H
f28r	20	46	o	0	a	H
f28r	20	47	arr	0	r	H
f28r	20	48	l	0	t	H
f28r	20	49	I	0	i	H
f28r	20	50	l	0	t	H
f28r	20	51	w	0	z	H
f28r	20	52	7	0	e	H
f28r	20	53	l	0	t	H
f28r	20	54	z	0	o	H
f28r	20	55	x	1	f	M
f28r	20	56	arr	0	r	H
f28r	20	57	db	0	e	H
f28r	20	58	lam	0	s	H
f28r	21	1	n	0	q	H
f28r	21	2	v	0	u	H
f28r	21	3	I	0	i	H
f28r	21	4	rho	0	l	H
f28r	21	5	S	0	m	H
f28r	21	6	z	0	o	H
f28r	21	7	f	0	n	H
f28r	21	8	lam	0	s	H
f28r	21	9	l	0	t	H
f28r	21	10	arr	0	r	H
f28r	21	11	o	0	a	H
f28r	21	12	rho	0	l	H
f28r	21	13	v	0	u	H
f28r	21	14	E	0	y	H
f28r	21	15	ankh	0	a	H
f28r	21	16	v	0	u	H
f28r	21	17	sq	1	o	M
f28r	21	18	I	0	i	H
f28r	21	19	arr	0	r	H
f28r	21	20	psi	0	e	H
f28r	21	21	lam	0	s	H
f28r	21	22	l	0	t	H
f28r	21	23	db	0	e	H
f28r	21	24	Del	0	f	H
f28r	21	25	o	0	a	H
f28r	21	26	I	0	i	H
f28r	21	27	box	0	c	H
f28r	21	28	l	0	t	H
f28r	21	29	psi	0	e	H
f28r	21	30	lam	0	s	H
f28r	21	31	q	0	d	H
f28r	21	32	psi	0	e	H
f28r	21	33	lamL	1	-	M
f28r	21	34	box3	0	[France]	C
f28r	21	35	7	0	e	H
f28r	21	36	l	0	t	H
f28r	21	37	rho	0	l	H
f28r	21	38	psi	0	e	H
f28r	21	39	lam	0	s	H
f28r	21	40	db	0	e	H
f28r	21	41	S	0	m	H
f28r	21	42	rho	0	l	H
f28r	21	43	o	0	a	H
f28r	21	44	o	1	a	M
f28r	21	45	rho	0	l	H
f28r	21	46	o	0	a	H
f28r	21	47	psi	0	e	H
f28r	21	48	q	1	d	M
f28r	21	49	R	0	u	H
f28r	21	50	z	0	o	H
f28r	21	51	rho	0	l	H
f28r	21	52	v	0	u	H
f28r	21	53	v	0	u	H
f28r	21	54	Del	0	f	H
f28r	21	55	o	0	a	H
f28r	21	56	I	0	i	H
f28r	21	57	arr	0	r	H
f28r	21	58	7	0	e	H
f28r	22	1	rho	0	l	H
f28r	22	2	psi	0	e	H
f28r	22	3	q	1	d	M
f28r	22	4	X	0	i	H
f28r	22	5	box	0	c	H
f28r	22	6	l	0	t	H
f28r	22	7	Tbox	1	[marquis de Pesquère]	M
f28r	22	8	m	0	-	H
f28r	22	9	sq	1	o	M
f28r	22	10	v	0	u	H
f28r	22	11	R	1	u	M
f28r	22	12	arr	0	r	H
f28r	22	13	o	0	a	H
f28r	22	14	E	0	y	H
f28r	22	15	psi	0	e	H
f28r	22	16	S	0	m	H
f28r	22	17	psi	0	e	H
f28r	22	18	f	0	n	H
f28r	22	19	l	0	t	H
f28r	22	20	th	0	b	H
f28r	22	21	E	0	y	H
f28r	22	22	o	0	a	H
f28r	22	23	f	0	n	H
f28r	22	24	l	0	t	H
f28r	22	25	L	0	[con]	H
f28r	22	26	lam	0	s	H
f28r	22	27	I	0	i	H
f28r	22	28	q	0	d	H
f28r	22	29	psi	0	e	H
f28r	22	30	arr	0	r	H
f28r	22	31	psi	0	e	H
f28r	22	32	z	0	o	H
f28r	22	33	v	0	u	H
f28r	22	34	psi	0	e	H
f28r	22	35	zslash	0	u	H
f28r	22	36	T	0	p	H
f28r	22	37	psi	0	e	H
f28r	22	38	v	0	u	H
f28r	22	39	arr	0	r	H
f28r	22	40	q	0	d	H
f28r	22	41	db	0	e	H
f28r	22	42	lam	0	s	H
f28r	22	43	l	0	t	H
f28r	22	44	arr	0	r	H
f28r	22	45	db	0	e	H
f28r	22	46	q	0	d	H
f28r	22	47	psi	0	e	H
f28r	22	48	lam	0	s	H
f28r	22	49	box	0	c	H
f28r	22	50	z	0	o	H
f28r	22	51	three	0	u	C
f28r	22	52	psi	0	e	H
f28r	22	53	arr	0	r	H
f28r	22	54	l	0	t	H
f28r	22	55	R	0	u	H
f28r	22	56	z	0	o	H
f28r	23	1	E	0	y	H
f28r	23	2	o	0	a	H
f28r	23	3	f	0	n	H
f28r	23	4	l	0	t	H
f28r	23	5	rho	0	l	H
f28r	23	6	psi	0	e	H
f28r	23	7	lam	0	s	H
f28r	23	8	T	0	p	H
f28r	23	9	arr	0	r	H
f28r	23	10	o	0	a	H
f28r	23	11	l	0	t	H
f28r	23	12	I	0	i	H
f28r	23	13	box	0	c	H
f28r	23	14	n	0	q	H
f28r	23	15	v	0	u	H
f28r	23	16	db	0	e	H
f28r	23	17	lam	0	s	H
f28r	23	18	o	0	a	H
f28r	23	19	six	0	x	C
f28r	23	20	7	0	e	H
f28r	23	21	arr	0	r	H
f28r	23	22	psi	0	e	H
f28r	23	23	f	0	n	H
f28r	23	24	rho	0	l	H
f28r	23	25	z	0	o	H
f28r	23	26	f	0	n	H
f28r	23	27	dbar	0	g	H
f28r	23	28	7	0	e	H
f28r	23	29	l	0	t	H
f28r	23	30	db	0	e	H
f28r	23	31	lam	0	s	H
f28r	23	32	l	0	t	H
f28r	23	33	arr	0	r	H
f28r	23	34	psi	0	e	H
f28r	23	35	7	1	e	M
f28r	23	36	f	0	n	H
f28r	23	37	T	0	p	H
f28r	23	38	o	0	a	H
f28r	23	39	arr	0	r	H
f28r	23	40	l	0	t	H
f28r	23	41	I	0	i	H
f28r	23	42	psi	0	e	H
f28r	23	43	q	0	d	H
f28r	23	44	psi	0	e	H
f28r	23	45	lam	0	s	H
f28r	23	46	box	0	c	H
f28r	23	47	sq	0	o	H
f28r	23	48	three	0	u	C
f28r	23	49	psi	0	e	H
f28r	23	50	arr	0	r	H
f28r	23	51	l	0	t	H
f28r	23	52	db	0	e	H
f28r	23	53	lam	0	s	H
f28r	23	54	o	0	a	H
f28r	23	55	v	0	u	H
f28r	23	56	arr	0	r	H
f28r	23	57	ankh	1	a	M
f28r	24	1	bz	1	u	M
f28r	24	2	z	0	o	H
f28r	24	3	v	0	u	H
f28r	24	4	l	1	t	M
f28r	24	5	R	0	u	H
f28r	24	6	Del	0	f	H
f28r	24	7	o	0	a	H
f28r	24	8	I	0	i	H
f28r	24	9	arr	0	r	H
f28r	24	10	arr	0	r	H
f28r	24	11	psi	0	e	H
f28r	24	12	q	1	d	M
f28r	24	13	v	0	u	H
f28r	24	14	th	0	b	H
f28r	24	15	z	0	o	H
f28r	24	16	f	0	n	H
f28r	24	17	R	0	u	H
f28r	24	18	o	0	a	H
f28r	24	19	pi	1	[Madame]	M
f28r	24	20	psi	1	e	M
f28r	24	21	l	0	t	H
f28r	24	22	T	0	p	H
f28r	24	23	l	0	t	H
f28r	24	24	lam	0	s	H
f28r	24	25	psi	0	e	H
f28r	24	26	X	0	i	H
f28r	24	27	v	0	u	H
f28r	24	28	lam	0	s	H
f28r	24	29	l	0	t	H
f28r	24	30	I	0	i	H
f28r	24	31	Del	0	f	H
f28r	24	32	I	1	i	M
f28r	24	33	psi	0	e	H
f28r	24	34	arr	0	r	H
f28r	24	35	L	0	[con]	H
f28r	24	36	S	0	m	H
f28r	24	37	db	0	e	H
f28r	24	38	zslash	0	u	H
f28r	24	39	z	0	o	H
f28r	24	40	v	0	u	H
f28r	24	41	lam	0	s	H
f28r	24	42	lamL	0	-	H
f28r	24	43	pi	0	[Madame]	C
f28r	24	44	T	0	p	H
f28r	24	45	o	0	a	H
f28r	24	46	arr	0	r	H
f28r	24	47	v	1	u	M
f28r	24	48	z	0	o	H
f28r	24	49	lam	0	s	H
f28r	24	50	l	0	t	H
f28r	24	51	arr	0	r	H
f28r	24	52	db	0	e	H
f28r	24	53	dbar	0	g	H
f28r	24	54	arr	0	r	H
f28r	24	55	ankh	1	a	M
f28r	25	1	f	0	n	H
f28r	25	2	l	0	t	H
f28r	25	3	T	0	p	H
f28r	25	4	arr	1	r	M
f28r	25	5	v	0	u	H
f28r	25	6	q	0	d	H
f28r	25	7	psi	0	e	H
f28r	25	8	f	0	n	H
f28r	25	9	box	0	c	H
f28r	25	10	7	0	e	H
f28r	25	11	lam	0	s	H
f28r	25	12	box	0	c	H
f28r	25	13	o	0	a	H
f28r	25	14	v	0	u	H
f28r	25	15	arr	1	r	M
f28r	25	16	psi	0	e	H
f28r	25	17	w	0	z	H
f28r	25	18	l	0	t	H
f28r	25	19	arr	1	r	M
f28r	25	20	db	0	e	H
f28r	25	21	lam	0	s	H
f28r	25	22	th	0	b	H
f28r	25	23	I	0	i	H
f28r	25	24	psi	0	e	H
f28r	25	25	f	0	n	H
f28r	25	26	L	0	[con]	H
f28r	25	27	lam	0	s	H
f28r	25	28	I	0	i	H
f28r	25	29	q	0	d	H
f28r	25	30	psi	0	e	H
f28r	25	31	lamL	1	-	M
f28r	25	32	m	0	-	H
f28r	25	33	arr	0	r	H
f28r	25	34	db	0	e	H
f28r	25	35	cross4	1	<cross4>	U
f28r	25	36	arr	1	r	M
f28r	26	1	K	0	-	H
f28r	26	2	pi	0	[Madame]	C
f28r	26	3	lamL	1	-	M
f28r	26	4	box	0	c	H
f28r	26	5	psi	0	e	H
f28r	26	6	X	0	i	H
f28r	26	7	z	0	o	H
f28r	26	8	v	0	u	H
f28r	26	9	arr	1	r	M
f28r	26	10	q	0	d	H
f28r	26	11	E	0	y	H
f28r	26	12	v	0	u	H
f28r	26	13	E	1	y	M
f28r	26	14	S	0	m	H
f28r	26	15	o	0	a	H
f28r	26	16	l	0	t	H
f28r	26	17	X	0	i	H
f28r	26	18	f	0	n	H
f28r	26	19	7	0	e	H
f28r	26	20	lam	0	s	H
f28r	26	21	l	0	t	H
f28r	26	22	ankh	1	a	M
f28r	26	23	f	0	n	H
f28r	26	24	l	0	t	H
f28r	26	25	o	0	a	H
f28r	26	26	six	0	x	C
f28r	26	27	psi	0	e	H
f28r	26	28	q	0	d	H
f28r	26	29	psi	0	e	H
f28r	26	30	v	0	u	H
f28r	26	31	7	0	e	H
f28r	26	32	arr	1	r	M
f28r	26	33	lam	0	s	H
f28r	26	34	y	0	[le pape]	H
f28r	26	35	m	0	-	H
f28r	26	36	lamL	1	-	M
f28r	26	37	T	0	p	H
f28r	26	38	sq	1	o	M
f28r	26	39	v	0	u	H
f28r	26	40	arr	1	r	M
f28r	26	41	rho	0	l	H
f28r	26	42	ankh	1	a	M
f28r	26	43	x	1	f	M
f28r	26	44	o	0	a	H
f28r	26	45	I	0	i	H
f28r	26	46	arr	1	r	M
f28r	26	47	psi	0	e	H
f28r	26	48	q	0	d	H
f28r	26	49	psi	0	e	H
f28r	26	50	S	0	m	H
f28r	26	51	sq	1	o	M
f28r	26	52	f	0	n	H
f28r	26	53	lam	0	s	H
f28r	26	54	psi	0	e	H
f28r	26	55	I	0	i	H
f28r	26	56	dbar	0	g	H
f28r	26	57	f	0	n	H
f28r	26	58	psi	0	e	H
f28r	26	59	v	0	u	H
f28r	26	60	arr	1	r	M
f28r	27	1	rho	0	l	H
f28r	27	2	psi	0	e	H
f28r	27	3	box	0	c	H
f28r	27	4	E	0	y	H
f28r	27	5	o	0	a	H
f28r	27	6	f	0	n	H
f28r	27	7	box	0	c	H
f28r	27	8	db	0	e	H
f28r	27	9	six	0	x	C
f28r	27	10	I	0	i	H
f28r	27	11	psi	0	e	H
f28r	27	12	arr	0	r	H
f28r	27	13	l	1	t	M
f28r	27	14	z	0	o	H
f28r	27	15	v	0	u	H
f28r	27	16	box	0	c	H
f28r	27	17	E	0	y	H
f28r	27	18	o	0	a	H
f28r	27	19	f	0	n	H
f28r	27	20	l	0	t	H
f28r	27	21	lam	0	s	H
f28r	27	22	o	0	a	H
f28r	27	23	I	0	i	H
f28r	27	24	f	0	n	H
f28r	27	25	box	0	c	H
f28r	27	26	l	0	t	H
f28r	27	27	th	0	b	H
