crop_file	line_no	token_no	token	note
f28r_L06_s2.jpg	1	1	[PLAIN: "... de Venise, je m'esmerveille de vous en escripre"]	continuation line1 from s1
f28r_L06_s2.jpg	2	1	[PLAIN: "... croy, vous entendrez de mons[eigneur] le tresorier"]	continuation line2 from s1
f28r_L07_s1.jpg	1	1	[PLAIN: "Robertet, ne que par luy en escript du fo. Dhue C."]	rough reading; "Dhue"/"Dhne" abbreviation unclear, possibly a date or reference tag; line1
f28r_L07_s1.jpg	2	1	[PLAIN: "Madame vous verrez par ce quil son escript"]	rough reading, line2, ends at a virgule
f28r_L07_s1.jpg	2	2	|	visible virgule (word-division slash) in ms marking start of cipher passage
f28r_L07_s2.jpg	1	1	[PLAIN: "-ipt du fo. Dhue C."]	continuation of line1 from s1 (overlap skipped)
f28r_L07_s2.jpg	2	1	K	Latin letter K used as cipher sign
f28r_L07_s2.jpg	2	2	[C01]	bowl shape with long descending tail curling left below baseline (rho/p-like)
f28r_L07_s2.jpg	2	3	[C02]	small open rounded cup, upsilon/u-like
f28r_L07_s2.jpg	2	4	[C03]	small closed loop, theta-like; shape uncertain, may overlap with C04 -- kept separate
f28r_L07_s2.jpg	2	5	z	Latin letter z used as cipher sign
f28r_L07_s2.jpg	2	6	f	Latin letter f used as cipher sign
f28r_L07_s2.jpg	2	7	[C04]	tall looping ascender, figure-eight/cursive-l-like
f28r_L07_s2.jpg	2	8	q	Latin letter q used as cipher sign (or invented lookalike, kept literal)
f28r_L07_s2.jpg	2	9	v	Latin letter v used as cipher sign
f28r_L07_s2.jpg	2	10	[C06]	small circle bisected by a vertical stroke, phi-like
f28r_L07_s2.jpg	2	11	[C07]	solid/outline triangle, delta-like
f28r_L07_s2.jpg	2	12	o	circle/o-shape used as cipher sign
f28r_L07_s2.jpg	2	13	[C08]	bold multi-stroke X, heavier than plain x, asterisk-like
f28r_L07_s2.jpg	2	14	[C09]	hollow square/box
f28r_L07_s2.jpg	2	15	o	circle/o-shape
f28r_L07_s2.jpg	2	16	[C04]	tall looping ascender (repeat of token 7 shape)
f28r_L07_s2.jpg	2	17	T	Latin letter T used as cipher sign
f28r_L07_s2.jpg	2	18	o	circle/o-shape
f28r_L07_s2.jpg	2	19	[C06]	circle bisected by vertical stroke (repeat)
f28r_L07_s2.jpg	2	20	[C10]	inverted-V / lambda-like peak, no crossbar
f28r_L07_s2.jpg	2	21	[C11]	vertical stroke topped with small loop/flag, distinct from plain T
f28r_L07_s2.jpg	2	22	o	circle/o-shape
f28r_L07_s2.jpg	2	23	[C09]	hollow square/box (repeat)
f28r_L07_s2.jpg	2	24	[C06]	circle bisected by vertical stroke (repeat)
f28r_L07_s2.jpg	2	25	v	Latin letter v
f28r_L07_s2.jpg	2	26	[C01]	rho/p-like descender (repeat)
f28r_L07_s2.jpg	2	27	[C12]	reversed-6/script-b closed loop with tail
f28r_L07_s2.jpg	2	28	n	Latin letter n
f28r_L07_s2.jpg	2	29	v	Latin letter v
f28r_L07_s2.jpg	2	30	[C08]	bold multi-stroke X (repeat), line ends here at crop edge
f28r_L08_s1.jpg	1	1	[C10]	inverted-V no crossbar
f28r_L08_s1.jpg	1	2	[C13]	three-pronged fork/trident shape, new code
f28r_L08_s1.jpg	1	3	[C10]	inverted-V (repeat)
f28r_L08_s1.jpg	1	4	z	Latin z
f28r_L08_s1.jpg	1	5	f	Latin f
f28r_L08_s1.jpg	1	6	[C04]	loop-ascender
f28r_L08_s1.jpg	1	7	[C04]	loop-ascender (repeat, two in a row)
f28r_L08_s1.jpg	1	8	[C06]	circle bisected by vertical stroke
f28r_L08_s1.jpg	1	9	[C04]	loop-ascender (repeat)
f28r_L08_s1.jpg	1	10	[C11]	vertical stroke with small ball/cross top (tau-like)
f28r_L08_s1.jpg	1	11	[C07]	triangle
f28r_L08_s1.jpg	1	12	I	Latin capital I
f28r_L08_s1.jpg	1	13	[C06]	circle bisected by vertical stroke (repeat)
f28r_L08_s1.jpg	1	14	[C14]	wavy w/omega shape, new code
f28r_L08_s1.jpg	1	15	[C01]	descending bowl+tail
f28r_L08_s1.jpg	1	16	[C06]	circle bisected by vertical stroke, small mark above -- possibly distinct variant, kept as C06 with note
f28r_L08_s1.jpg	1	17	[C01]	descending bowl+tail (repeat)
f28r_L08_s1.jpg	1	18	[C02]	small open cup
f28r_L08_s1.jpg	1	19	E	Latin capital E (squared, distinct from rounded epsilon C15)
f28r_L08_s1.jpg	1	20	7	numeral/sign resembling 7, recurring in cipher stretch (not the plain-text et-mark context here)
f28r_L08_s1.jpg	1	21	[C04]	loop-ascender (repeat)
f28r_L08_s1.jpg	1	22	n	Latin n
f28r_L08_s1.jpg	1	23	[C02]	small open cup (repeat)
f28r_L08_s1.jpg	1	24	[C08]	bold multi-stroke X
f28r_L08_s1.jpg	1	25	[C01]	descending bowl+tail (repeat)
f28r_L08_s1.jpg	1	26	[C11]	tau/dagger-like (repeat)
f28r_L08_s1.jpg	1	27	[C04]	loop-ascender (repeat)
f28r_L08_s1.jpg	1	28	7	7-like sign (repeat)
f28r_L08_s1.jpg	1	29	f	Latin f
f28r_L08_s1.jpg	1	30	z	Latin z
f28r_L08_s1.jpg	1	31	E	Latin capital E
f28r_L08_s1.jpg	1	32	[C06]	circle bisected by vertical stroke (repeat)
f28r_L08_s1.jpg	1	33	[C04]	loop-ascender (repeat); line cut at crop edge, continues in s2
f28r_L08_s2.jpg	1	1	[C11]	tau/dagger-like (overlap-continuation, first legible new token after s1 overlap)
f28r_L08_s2.jpg	1	2	z	Latin z
f28r_L08_s2.jpg	1	3	[C15]	open-C with horizontal bar, epsilon-like, new code, distinct from C03
f28r_L08_s2.jpg	1	4	[C06]	circle bisected by vertical stroke
f28r_L08_s2.jpg	1	5	[C04]	loop-ascender
f28r_L08_s2.jpg	1	6	T	Latin capital T
f28r_L08_s2.jpg	1	7	z	Latin z
f28r_L08_s2.jpg	1	8	[C02]	small open cup
f28r_L08_s2.jpg	1	9	[C01]	descending bowl+tail; line1 ends at crop right edge
f28r_L08_s1.jpg	2	1	7	7-like sign
f28r_L08_s1.jpg	2	2	[C04]	loop-ascender
f28r_L08_s1.jpg	2	3	[C10]	inverted-V
f28r_L08_s1.jpg	2	4	I	Latin capital I
f28r_L08_s1.jpg	2	5	[C01]	descending bowl+tail
f28r_L08_s1.jpg	2	6	f	Latin f
f28r_L08_s1.jpg	2	7	[C13]	trident/psi shape
f28r_L08_s1.jpg	2	8	[C11]	tau/dagger-like
f28r_L08_s1.jpg	2	9	?	small mark, uncertain shape (possibly a house/roof C16, kept unresolved rather than merged)
f28r_L08_s1.jpg	2	10	[C06]	circle bisected by vertical stroke
f28r_L08_s1.jpg	2	11	[C04]	loop-ascender
f28r_L08_s1.jpg	2	12	o	circle/o-shape
f28r_L08_s1.jpg	2	13	[C10]	inverted-V
f28r_L08_s1.jpg	2	14	[C04]	loop-ascender
f28r_L08_s1.jpg	2	15	[C11]	tau/dagger-like
f28r_L08_s1.jpg	2	16	[C01]	descending bowl+tail; small mark, may carry a dot -- kept as C01
f28r_L08_s1.jpg	2	17	[C08]	bold multi-stroke X; line2 cut at crop edge, continues in s2
f28r_L08_s2.jpg	2	1	v	Latin v (overlap-continuation)
f28r_L08_s2.jpg	2	2	[C08]	bold multi-stroke X
f28r_L08_s2.jpg	2	3	[C01]	descending bowl+tail
f28r_L08_s2.jpg	2	4	fo	two Latin letters f,o written close together -- kept as one token, note distinguishes if reconciliation needs split
f28r_L08_s2.jpg	2	5	I	Latin capital I
f28r_L08_s2.jpg	2	6	[C15]	epsilon-like open-C
f28r_L08_s2.jpg	2	7	S	Latin capital S
f28r_L08_s2.jpg	2	8	[C15]	epsilon-like open-C (repeat)
f28r_L08_s2.jpg	2	9	I	Latin capital I
f28r_L08_s2.jpg	2	10	[C10]	inverted-V
f28r_L08_s2.jpg	2	11	[C13]	trident/psi
f28r_L08_s2.jpg	2	12	[C04]	loop-ascender
f28r_L08_s2.jpg	2	13	[C11]	tau/dagger-like
f28r_L08_s2.jpg	2	14	[C06]	circle bisected by vertical stroke
f28r_L08_s2.jpg	2	15	o	circle/o-shape
f28r_L08_s2.jpg	2	16	[C06]	circle bisected by vertical stroke (repeat)
f28r_L08_s2.jpg	2	17	v	Latin v
f28r_L08_s2.jpg	2	18	[C04]	loop-ascender
f28r_L08_s2.jpg	2	19	[C01]	descending bowl+tail
f28r_L08_s2.jpg	2	20	[C11]	tau/dagger-like
f28r_L08_s2.jpg	2	21	[C10]	inverted-V
f28r_L08_s2.jpg	2	22	n	Latin n
f28r_L08_s2.jpg	2	23	v	Latin v
f28r_L08_s2.jpg	2	24	[C06]	circle bisected by vertical stroke
f28r_L08_s2.jpg	2	25	o	circle/o-shape
f28r_L08_s2.jpg	2	26	[C11]	tau/dagger-like
f28r_L08_s2.jpg	2	27	[C01]	descending bowl+tail
f28r_L08_s2.jpg	2	28	v	Latin v
f28r_L08_s2.jpg	2	29	[C09]	hollow square/box
f28r_L08_s2.jpg	2	30	f	Latin f
f28r_L08_s2.jpg	2	31	[C15]	epsilon-like open-C
f28r_L08_s2.jpg	2	32	o	circle/o-shape
f28r_L08_s2.jpg	2	33	v	Latin v
f28r_L08_s2.jpg	2	34	[C07]	triangle
f28r_L08_s2.jpg	2	35	z	Latin z
f28r_L08_s2.jpg	2	36	I	Latin capital I
f28r_L08_s2.jpg	2	37	[C04]	loop-ascender
f28r_L08_s2.jpg	2	38	T	Latin capital T
f28r_L08_s2.jpg	2	39	o	circle/o-shape
f28r_L08_s2.jpg	2	40	v	Latin v
f28r_L08_s2.jpg	2	41	[C11]	tau/dagger-like
f28r_L08_s2.jpg	2	42	[C01]	descending bowl+tail
f28r_L08_s2.jpg	2	43	o	circle/o-shape
f28r_L08_s2.jpg	2	44	f	Latin f
f28r_L08_s2.jpg	2	45	[C04]	loop-ascender
f28r_L08_s2.jpg	2	46	S	Latin capital S
f28r_L08_s2.jpg	2	47	o	circle/o-shape
f28r_L08_s2.jpg	2	48	[C01]	descending bowl+tail; line ends at crop right edge/margin
f28r_L09_s1.jpg	1	1	[C01]	
f28r_L09_s1.jpg	1	2	[C06]	
f28r_L09_s1.jpg	1	3	[C09]	
f28r_L09_s1.jpg	1	4	o	
f28r_L09_s1.jpg	1	5	[C10]	
f28r_L09_s1.jpg	1	6	[C13]	
f28r_L09_s1.jpg	1	7	[C10]	
f28r_L09_s1.jpg	1	8	[C04]	
f28r_L09_s1.jpg	1	9	[C06]	
f28r_L09_s1.jpg	1	10	[C11]	
f28r_L09_s1.jpg	1	11	o	
f28r_L09_s1.jpg	1	12	I	
f28r_L09_s1.jpg	1	13	f	
f28r_L09_s1.jpg	1	14	[C10]	
f28r_L09_s1.jpg	1	15	I	
f28r_L09_s1.jpg	1	16	o	
f28r_L09_s1.jpg	1	17	[C01]	
f28r_L09_s1.jpg	1	18	[C02]	
f28r_L09_s1.jpg	1	19	[C11]	
f28r_L09_s1.jpg	1	20	f	
f28r_L09_s1.jpg	1	21	R	Latin capital R, new literal
f28r_L09_s1.jpg	1	22	T	
f28r_L09_s1.jpg	1	23	[C10]	
f28r_L09_s1.jpg	1	24	v	
f28r_L09_s1.jpg	1	25	[C06]	
f28r_L09_s1.jpg	1	26	[C01]	
f28r_L09_s1.jpg	1	27	[C13]	
f28r_L09_s1.jpg	1	28	v	
f28r_L09_s1.jpg	1	29	[C06]	
f28r_L09_s1.jpg	1	30	[C01]	
f28r_L09_s1.jpg	1	31	z	
f28r_L09_s1.jpg	1	32	A	Latin capital A, new literal
f28r_L09_s1.jpg	1	33	[C06]	
f28r_L09_s1.jpg	1	34	[C06]	
f28r_L09_s1.jpg	1	35	o	
f28r_L09_s1.jpg	1	36	[C08]	line cut at crop edge, continues s2
f28r_L09_s1.jpg	2	1	[C10]	
f28r_L09_s1.jpg	2	2	[C11]	
f28r_L09_s1.jpg	2	3	f	
f28r_L09_s1.jpg	2	4	[C10]	
f28r_L09_s1.jpg	2	5	o	
f28r_L09_s1.jpg	2	6	[C19]	
f28r_L09_s1.jpg	2	7	[C02]	
f28r_L09_s1.jpg	2	8	[C10]	
f28r_L09_s1.jpg	2	9	[C13]	
f28r_L09_s1.jpg	2	10	f	
f28r_L09_s1.jpg	2	11	[C04]	
f28r_L09_s1.jpg	2	12	[C06]	
f28r_L09_s1.jpg	2	13	[C07]	
f28r_L09_s1.jpg	2	14	E	
f28r_L09_s1.jpg	2	15	[C06]	
f28r_L09_s1.jpg	2	16	[C06]	
f28r_L09_s1.jpg	2	17	7	
f28r_L09_s1.jpg	2	18	[C04]	
f28r_L09_s1.jpg	2	19	[C09]	
f28r_L09_s1.jpg	2	20	[C06]	
f28r_L09_s1.jpg	2	21	z	
f28r_L09_s1.jpg	2	22	I	
f28r_L09_s1.jpg	2	23	[C06]	
f28r_L09_s1.jpg	2	24	[C11]	
f28r_L09_s1.jpg	2	25	[C04]	
f28r_L09_s1.jpg	2	26	[C06]	
f28r_L09_s1.jpg	2	27	z	
f28r_L09_s1.jpg	2	28	T	
f28r_L09_s1.jpg	2	29	7	
f28r_L09_s1.jpg	2	30	[C04]	
f28r_L09_s1.jpg	2	31	f	line cut at crop edge, continues s2
f28r_L09_s2.jpg	1	1	v	overlap-continuation
f28r_L09_s2.jpg	1	2	[C01]	
f28r_L09_s2.jpg	1	3	[C06]	
f28r_L09_s2.jpg	1	4	v	
f28r_L09_s2.jpg	1	5	[C01]	
f28r_L09_s2.jpg	1	6	[C01]	repeated bowl, uncertain if truly two tokens or one wide sign -- kept separate
f28r_L09_s2.jpg	1	7	z	
f28r_L09_s2.jpg	1	8	A	
f28r_L09_s2.jpg	1	9	[C06]	
f28r_L09_s2.jpg	1	10	[C06]	
f28r_L09_s2.jpg	1	11	o	
f28r_L09_s2.jpg	1	12	x	plain x, distinct weight from C08 -- kept literal
f28r_L09_s2.jpg	1	13	[C11]	
f28r_L09_s2.jpg	1	14	f	
f28r_L09_s2.jpg	1	15	z	
f28r_L09_s2.jpg	1	16	I	
f28r_L09_s2.jpg	1	17	[C10]	
f28r_L09_s2.jpg	1	18	[C04]	
f28r_L09_s2.jpg	1	19	[C11]	
f28r_L09_s2.jpg	1	20	n	
f28r_L09_s2.jpg	1	21	v	
f28r_L09_s2.jpg	1	22	[C06]	
f28r_L09_s2.jpg	1	23	[C19]	
f28r_L09_s2.jpg	1	24	I	
f28r_L09_s2.jpg	1	25	[C06]	
f28r_L09_s2.jpg	1	26	f	
f28r_L09_s2.jpg	1	27	[C10]	
f28r_L09_s2.jpg	1	28	z	
f28r_L09_s2.jpg	1	29	3	numeral 3, new literal
f28r_L09_s2.jpg	1	30	[C13]	
f28r_L09_s2.jpg	1	31	f	
f28r_L09_s2.jpg	1	32	[C04]	
f28r_L09_s2.jpg	1	33	[C01]	line ends at crop right margin
f28r_L09_s2.jpg	2	1	[C04]	overlap-continuation
f28r_L09_s2.jpg	2	2	[C09]	
f28r_L09_s2.jpg	2	3	o	
f28r_L09_s2.jpg	2	4	[C08]	
f28r_L09_s2.jpg	2	5	z	
f28r_L09_s2.jpg	2	6	I	
f28r_L09_s2.jpg	2	7	[C06]	
f28r_L09_s2.jpg	2	8	f	
f28r_L09_s2.jpg	2	9	[C10]	
f28r_L09_s2.jpg	2	10	z	
f28r_L09_s2.jpg	2	11	3	
f28r_L09_s2.jpg	2	12	[C13]	
f28r_L09_s2.jpg	2	13	f	
f28r_L09_s2.jpg	2	14	[C04]	
f28r_L09_s2.jpg	2	15	?	unresolved mark at far right edge, possibly cut sign
f28r_L10_s1.jpg	1	1	[C06]	
f28r_L10_s1.jpg	1	2	[C01]	
f28r_L10_s1.jpg	1	3	[C02]	
f28r_L10_s1.jpg	1	4	[C11]	
f28r_L10_s1.jpg	1	5	[C06]	
f28r_L10_s1.jpg	1	6	[C04]	
f28r_L10_s1.jpg	1	7	E	
f28r_L10_s1.jpg	1	8	[C01]	
f28r_L10_s1.jpg	1	9	o	
f28r_L10_s1.jpg	1	10	z	
f28r_L10_s1.jpg	1	11	v	
f28r_L10_s1.jpg	1	12	7	
f28r_L10_s1.jpg	1	13	[C10]	
f28r_L10_s1.jpg	1	14	[C04]	
f28r_L10_s1.jpg	1	15	z	
f28r_L10_s1.jpg	1	16	x	
f28r_L10_s1.jpg	1	17	[C04]	
f28r_L10_s1.jpg	1	18	[C06]	
f28r_L10_s1.jpg	1	19	[C13]	
f28r_L10_s1.jpg	1	20	n	
f28r_L10_s1.jpg	1	21	v	
f28r_L10_s1.jpg	1	22	I	
f28r_L10_s1.jpg	1	23	[C10]	
f28r_L10_s1.jpg	1	24	7	
f28r_L10_s1.jpg	1	25	[C04]	
f28r_L10_s1.jpg	1	26	[C11]	
f28r_L10_s1.jpg	1	27	f	
f28r_L10_s1.jpg	1	28	[C04]	
f28r_L10_s1.jpg	1	29	[C13]	
f28r_L10_s1.jpg	1	30	s	
f28r_L10_s1.jpg	1	31	T	
f28r_L10_s1.jpg	1	32	[C10]	
f28r_L10_s1.jpg	1	33	[C11]	
f28r_L10_s1.jpg	1	34	l	
f28r_L10_s1.jpg	1	35	f	
f28r_L10_s1.jpg	1	36	7	
f28r_L10_s1.jpg	1	37	f	line cut at crop edge, continues s2
f28r_L10_s1.jpg	2	1	X	Latin capital X (distinct from C08 bold-x sign; kept literal as it reads as plain serif X)
f28r_L10_s1.jpg	2	2	v	
f28r_L10_s1.jpg	2	3	[C04]	
f28r_L10_s1.jpg	2	4	[C06]	
f28r_L10_s1.jpg	2	5	[C11]	
f28r_L10_s1.jpg	2	6	z	
f28r_L10_s1.jpg	2	7	T	
f28r_L10_s1.jpg	2	8	x	
f28r_L10_s1.jpg	2	9	f	
f28r_L10_s1.jpg	2	10	I	
f28r_L10_s1.jpg	2	11	z	
f28r_L10_s1.jpg	2	12	f	
f28r_L10_s1.jpg	2	13	n	
f28r_L10_s1.jpg	2	14	v	
f28r_L10_s1.jpg	2	15	[C11]	
f28r_L10_s1.jpg	2	16	s	
f28r_L10_s1.jpg	2	17	o	
f28r_L10_s1.jpg	2	18	3	
f28r_L10_s1.jpg	2	19	[C06]	
f28r_L10_s1.jpg	2	20	I	
f28r_L10_s1.jpg	2	21	[C10]	
f28r_L10_s1.jpg	2	22	[C13]	
f28r_L10_s1.jpg	2	23	7	
f28r_L10_s1.jpg	2	24	[C04]	
f28r_L10_s1.jpg	2	25	[C09]	
f28r_L10_s1.jpg	2	26	[C06]	
f28r_L10_s1.jpg	2	27	[C11]	
f28r_L10_s1.jpg	2	28	v	
f28r_L10_s1.jpg	2	29	[C06]	
f28r_L10_s1.jpg	2	30	[C13]	
f28r_L10_s1.jpg	2	31	f	
f28r_L10_s1.jpg	2	32	[C04]	
f28r_L10_s1.jpg	2	33	[C04]	
f28r_L10_s1.jpg	2	34	[C06]	
f28r_L10_s1.jpg	2	35	[C11]	
f28r_L10_s1.jpg	2	36	[C10]	
f28r_L10_s1.jpg	2	37	[C19]	line cut at crop edge, continues s2
f28r_L10_s2.jpg	1	1	[C13]	overlap-continuation, new tokens begin
f28r_L10_s2.jpg	1	2	v	
f28r_L10_s2.jpg	1	3	[C06]	
f28r_L10_s2.jpg	1	4	[C11]	
f28r_L10_s2.jpg	1	5	f	
f28r_L10_s2.jpg	1	6	[C04]	
f28r_L10_s2.jpg	1	7	x	
f28r_L10_s2.jpg	1	8	o	
f28r_L10_s2.jpg	1	9	s	
f28r_L10_s2.jpg	1	10	[C06]	
f28r_L10_s2.jpg	1	11	I	
f28r_L10_s2.jpg	1	12	[C10]	
f28r_L10_s2.jpg	1	13	[C10]	
f28r_L10_s2.jpg	1	14	o	
f28r_L10_s2.jpg	1	15	[C11]	
f28r_L10_s2.jpg	1	16	o	
f28r_L10_s2.jpg	1	17	[C17]	heart-shaped mark, distinctive
f28r_L10_s2.jpg	1	18	[C13]	
f28r_L10_s2.jpg	1	19	[C04]	
f28r_L10_s2.jpg	1	20	m	Latin m, new literal
f28r_L10_s2.jpg	1	21	[C18]	squiggle mark
f28r_L10_s2.jpg	1	22	[C10]	line ends at crop right margin
f28r_L10_s2.jpg	2	1	I	overlap-continuation, new tokens begin
f28r_L10_s2.jpg	2	2	[C13]	
f28r_L10_s2.jpg	2	3	f	
f28r_L10_s2.jpg	2	4	[C09]	
f28r_L10_s2.jpg	2	5	7	
f28r_L10_s2.jpg	2	6	n	
f28r_L10_s2.jpg	2	7	v	
f28r_L10_s2.jpg	2	8	x	
f28r_L10_s2.jpg	2	9	[C01]	
f28r_L10_s2.jpg	2	10	[C01]	
f28r_L10_s2.jpg	2	11	[C06]	
f28r_L10_s2.jpg	2	12	v	
f28r_L10_s2.jpg	2	13	[C06]	
f28r_L10_s2.jpg	2	14	[C13]	
f28r_L10_s2.jpg	2	15	f	
f28r_L10_s2.jpg	2	16	[C07]	
f28r_L10_s2.jpg	2	17	v	
f28r_L10_s2.jpg	2	18	[C04]	
f28r_L10_s2.jpg	2	19	[C01]	
f28r_L10_s2.jpg	2	20	I	
f28r_L10_s2.jpg	2	21	[C09]	
f28r_L10_s2.jpg	2	22	[C04]	line ends at crop right margin
f28r_L11_s1.jpg	1	1	[C13]	
f28r_L11_s1.jpg	1	2	[C04]	
f28r_L11_s1.jpg	1	3	s	
f28r_L11_s1.jpg	1	4	[C11]	
f28r_L11_s1.jpg	1	5	[C10]	
f28r_L11_s1.jpg	1	6	s	
f28r_L11_s1.jpg	1	7	[C13]	
f28r_L11_s1.jpg	1	8	s	
f28r_L11_s1.jpg	1	9	7	
f28r_L11_s1.jpg	1	10	f	
f28r_L11_s1.jpg	1	11	[C04]	
f28r_L11_s1.jpg	1	12	h	Latin h, new literal (hook-topped upright, distinct from C11)
f28r_L11_s1.jpg	1	13	z	
f28r_L11_s1.jpg	1	14	z	
f28r_L11_s1.jpg	1	15	f	
f28r_L11_s1.jpg	1	16	[C01]	
f28r_L11_s1.jpg	1	17	[C13]	
f28r_L11_s1.jpg	1	18	v	
f28r_L11_s1.jpg	1	19	[C06]	
f28r_L11_s1.jpg	1	20	[C06]	
f28r_L11_s1.jpg	1	21	[C13]	
f28r_L11_s1.jpg	1	22	s	
f28r_L11_s1.jpg	1	23	I	
f28r_L11_s1.jpg	1	24	[C09]	
f28r_L11_s1.jpg	1	25	[C04]	
f28r_L11_s1.jpg	1	26	7	
f28r_L11_s1.jpg	1	27	f	
f28r_L11_s1.jpg	1	28	s	
f28r_L11_s1.jpg	1	29	[C13]	
f28r_L11_s1.jpg	1	30	s	
f28r_L11_s1.jpg	1	31	[C04]	
f28r_L11_s1.jpg	1	32	I	
f28r_L11_s1.jpg	1	33	[C06]	
f28r_L11_s1.jpg	1	34	[C13]	line cut at crop edge, continues s2
f28r_L11_s1.jpg	2	1	n	
f28r_L11_s1.jpg	2	2	v	
f28r_L11_s1.jpg	2	3	x	
f28r_L11_s1.jpg	2	4	[C10]	
f28r_L11_s1.jpg	2	5	[C13]	
f28r_L11_s1.jpg	2	6	[C07]	
f28r_L11_s1.jpg	2	7	[C13]	
f28r_L11_s1.jpg	2	8	I	
f28r_L11_s1.jpg	2	9	[C04]	
f28r_L11_s1.jpg	2	10	[C11]	
f28r_L11_s1.jpg	2	11	[C06]	
f28r_L11_s1.jpg	2	12	o	
f28r_L11_s1.jpg	2	13	f	
f28r_L11_s1.jpg	2	14	[C04]	
f28r_L11_s1.jpg	2	15	[C11]	
f28r_L11_s1.jpg	2	16	[C04]	
f28r_L11_s1.jpg	2	17	[C10]	
f28r_L11_s1.jpg	2	18	o	
f28r_L11_s1.jpg	2	19	[C11]	
f28r_L11_s1.jpg	2	20	v	
f28r_L11_s1.jpg	2	21	[C04]	
f28r_L11_s1.jpg	2	22	[C19]	
f28r_L11_s1.jpg	2	23	I	
f28r_L11_s1.jpg	2	24	[C13]	
f28r_L11_s1.jpg	2	25	f	
f28r_L11_s1.jpg	2	26	[C07]	
f28r_L11_s1.jpg	2	27	[C01]	
f28r_L11_s1.jpg	2	28	I	
f28r_L11_s1.jpg	2	29	[C06]	
f28r_L11_s1.jpg	2	30	[C11]	
f28r_L11_s1.jpg	2	31	[C10]	
f28r_L11_s1.jpg	2	32	z	
f28r_L11_s1.jpg	2	33	f	
f28r_L11_s1.jpg	2	34	T	line cut at crop edge, continues s2
f28r_L11_s2.jpg	1	1	[C01]	overlap-continuation, new tokens begin
f28r_L11_s2.jpg	1	2	[C06]	
f28r_L11_s2.jpg	1	3	[C04]	
f28r_L11_s2.jpg	1	4	z	
f28r_L11_s2.jpg	1	5	v	
f28r_L11_s2.jpg	1	6	[C06]	
f28r_L11_s2.jpg	1	7	[C01]	
f28r_L11_s2.jpg	1	8	[C11]	
f28r_L11_s2.jpg	1	9	T	
f28r_L11_s2.jpg	1	10	[C01]	
f28r_L11_s2.jpg	1	11	z	
f28r_L11_s2.jpg	1	12	[C10]	
f28r_L11_s2.jpg	1	13	T	
f28r_L11_s2.jpg	1	14	[C13]	
f28r_L11_s2.jpg	1	15	[C01]	
f28r_L11_s2.jpg	1	16	[C09]	
f28r_L11_s2.jpg	1	17	z	
f28r_L11_s2.jpg	1	18	[C01]	
f28r_L11_s2.jpg	1	19	A	
f28r_L11_s2.jpg	1	20	[C13]	line ends at crop right margin
