# BnF fr.4687 items 1-3, cipher passages on Gallica canvases 8, 9, 10 (ark:/12148/btv1b90075058).
# Generated by reconcile.py from passA.tsv, passB.tsv, passC_native.tsv. Do not edit by hand.
# Unit = sign (0-9, y = the ij-shaped sign). The scribe marks no group boundaries (NOTES.md, Segmentation).
# conf: H = A, B and the native reading agree (>=2 readings); M = otherwise. alt: other readings (- = no sign there).
# a_start/b_start: 1 = that pass began a group at this sign, 0 = mid-group, - = pass has no aligned sign.
# Covers the 16 lines both passes read plus f8_L11 (pass B only). Untranscribed cipher lines: NOTES.md.
line	pos	sign	conf	alt	a_start	b_start	note
f8_L8	36	2	H		1	1	
f8_L8	37	2	H		0	0	
f8_L8	38	6	H		0	0	
f8_L9	1	5	H		1	1	
f8_L9	2	7	H		0	0	
f8_L9	3	1	H		1	1	
f8_L9	4	9	H		0	0	
f8_L9	5	2	H		1	1	
f8_L9	6	0	H		0	0	
f8_L9	7	1	H		1	0	
f8_L9	8	4	H		0	0	
f8_L9	9	1	H		1	1	
f8_L9	10	8	H		0	0	
f8_L9	11	5	H		0	0	
f8_L9	12	4	H		1	0	
f8_L9	13	0	H		1	1	
f8_L9	14	3	H		0	0	
f8_L9	15	9	H		1	0	
f8_L9	16	4	H		0	0	
f8_L9	17	8	H		1	1	
f8_L9	18	5	H		0	0	
f8_L9	19	y	M	B:9	1	1	
f8_L9	20	6	H		1	1	
f8_L9	21	2	H		0	0	
f8_L9	22	4	M	A:9,B:9	0	0	
f8_L9	23	3	H		1	1	
f8_L9	24	0	H		1	0	
f8_L9	25	1	H		0	0	
f8_L9	26	7	H		1	0	
f8_L9	27	y	M	A:-,B:-	-	-	interlinear insertion y20, placed at a colon-like caret after 17
f8_L9	28	2	M	A:-,B:-	-	-	interlinear insertion y20
f8_L9	29	0	M	A:-,B:-	-	-	interlinear insertion y20
f8_L9	30	6	H		1	1	
f8_L9	31	7	H		0	0	
f8_L9	32	5	H		1	0	
f8_L9	33	4	H		0	0	
f8_L9	34	2	H		1	1	
f8_L9	35	4	M	A:9,B:9	0	0	
f8_L9	36	8	H	B:-	1	-	
f8_L9	37	5	H	B:-	0	-	
f8_L9	38	1	H		0	1	
f8_L9	39	8	H		1	0	
f8_L9	40	4	M	A:-,B:-	-	-	
f8_L9	41	9	H		0	0	
f8_L10	1	4	H	A:-	-	1	
f8_L10	2	9	H		1	0	
f8_L10	3	3	H		1	0	
f8_L10	4	2	H		0	0	
f8_L10	5	0	H		1	1	
f8_L10	6	5	H		0	0	
f8_L10	7	4	H		0	0	
f8_L10	8	8	H		1	1	
f8_L10	9	4	H		0	0	
f8_L10	10	y	H	B:-	1	-	
f8_L10	11	9	H		1	1	
f8_L10	12	6	H		1	0	
f8_L10	13	1	H		0	0	
f8_L10	14	8	H		0	0	
f8_L10	15	6	H		1	1	
f8_L10	16	2	H		0	0	
f8_L10	17	y	M	B:9	1	0	
f8_L10	18	5	H		1	0	
f8_L10	19	3	H	A:-	-	1	
f8_L10	20	2	H		1	0	
f8_L10	21	0	H		0	0	
f8_L10	22	4	H		0	0	
f8_L10	23	2	H		1	1	
f8_L10	24	2	H		0	0	
f8_L10	25	9	H		1	0	
f8_L10	26	4	H		0	0	
f8_L10	27	y	M	B:9	1	1	
f8_L10	28	2	H		1	0	
f8_L10	29	0	H		1	0	
f8_L10	30	2	H		0	0	
f8_L10	31	2	H		0	1	
f8_L10	32	3	H		1	0	
f8_L10	33	2	H		0	0	
f8_L10	34	y	M	B:1	1	0	
f8_L10	35	6	H		1	1	
f8_L10	36	1	H		1	0	
f8_L10	37	5	H		0	1	
f8_L10	38	1	H		1	0	
f8_L10	39	8	H		0	0	
f8_L10	40	4	H		0	0	
f8_L11	1	1	H	A:-	-	1	
f8_L11	2	7	H	A:-	-	0	
f8_L11	3	2	H	A:-	-	0	
f8_L11	4	2	H	A:-	-	1	
f8_L11	5	0	H	A:-	-	0	
f8_L11	6	8	M	A:-,B:1	-	0	
f8_L11	7	5	M	A:-,B:-	-	-	
f8_L11	8	7	M	A:-,B:-	-	-	
f8_L11	9	3	M	A:-,B:-	-	-	digit overwritten (heavy ink)
f8_L11	10	2	M	A:-,B:-	-	-	
f8_L11	11	0	M	A:-,B:-	-	-	
f8_L11	12	9	H	A:-	-	0	
f8_L11	13	9	M	A:-,B:-	-	-	
f8_L11	14	3	M	A:-,B:-	-	-	
f8_L11	15	2	M	A:-,B:-	-	-	
f8_L11	16	0	M	A:-,B:-	-	-	
f8_L11	17	2	M	A:-,B:-	-	-	
f8_L11	18	2	M	A:-,B:-	-	-	
f8_L11	19	9	M	A:-,B:-	-	-	
f8_L11	20	3	M	A:-,B:-	-	-	
f8_L11	21	1	H	A:-	-	1	
f8_L11	22	8	H	A:-	-	0	
f8_L11	23	1	H	A:-	-	0	
f8_L11	24	7	H	A:-	-	0	digit overwritten (heavy ink)
f8_L11	25	y	M	A:-,B:9	-	1	
f8_L11	26	4	H	A:-	-	0	
f8_L11	27	y	M	A:-,B:-	-	-	
f8_L11	28	6	H	A:-	-	1	
f8_L11	29	3	M	A:-,B:2	-	0	
f8_L11	30	y	M	A:-,B:-	-	-	
f8_L11	31	7	H	A:-	-	0	
f8_L11	32	9	M	A:-,B:4	-	0	
f8_L11	33	2	H	A:-	-	1	
f8_L11	34	0	H	A:-	-	0	
f8_L11	35	3	M	A:-,B:2	-	0	
f8_L11	36	9	M	A:-,B:0	-	0	
f8_L11	37	9	M	A:-,B:-	-	-	
f9_L6	1	9	M	B:0	1	1	
f9_L6	2	5	H		0	0	
f9_L6	3	7	M	A:-,B:-	-	-	thin 7-like stroke; A and B omit it
f9_L6	4	1	H		1	1	
f9_L6	5	5	H		0	0	
f9_L6	6	4	H		0	0	
f9_L6	7	2	H		1	1	
f9_L6	8	2	M	A:7	0	0	
f9_L6	9	3	H		0	0	
f9_L6	10	2	H		1	0	
f9_L6	11	0	H		0	0	
f9_L6	12	1	H		0	1	
f9_L6	13	5	H		1	0	
f9_L6	14	4	H		0	0	
f9_L6	15	2	H		1	1	
f9_L6	16	9	H		0	0	
f9_L6	17	1	H		1	1	
f9_L6	18	8	H		0	0	
f9_L6	19	4	M	A:9,B:9	0	0	
f9_L6	20	1	H		1	1	
f9_L6	21	7	H	B:-	1	-	
f9_L6	22	3	H		0	0	
f9_L6	23	5	M	A:-,B:-	-	-	
f9_L6	24	2	H		1	1	
f9_L6	25	7	H		0	1	
f9_L6	26	3	H		0	0	
f9_L6	27	1	H		1	1	
f9_L6	28	8	H		0	0	
f9_L6	29	3	H	B:-	0	-	
f9_L6	30	1	H	B:-	1	-	
f9_L6	31	5	H	B:-	0	-	
f9_L6	32	9	H	A:-	-	0	
f9_L6	33	4	H		0	0	
f9_L6	34	1	H	A:-	-	1	superscript 17 over a blotted group: scribal replacement
f9_L6	35	7	H	B:-	1	-	superscript 17 (replacement)
f9_L6	36	9	H	A:-	-	0	
f9_L6	37	5	H		0	0	
f10_L2	1	1	H		1	1	
f10_L2	2	7	H		0	0	
f10_L2	3	9	H		0	0	
f10_L2	4	4	H		1	0	
f10_L2	5	4	M	A:-,B:-	-	-	
f10_L2	6	1	H		0	1	
f10_L2	7	8	H		1	0	
f10_L2	8	y	M	A:-,B:-	-	-	
f10_L2	9	3	H		1	1	
f10_L2	10	2	H		0	0	
f10_L2	11	1	H		1	1	
f10_L2	12	4	M	A:-,B:-	-	-	
f10_L2	13	9	H		0	0	
f10_L2	14	y	M	B:9	1	1	
f10_L2	15	6	H		1	0	
f10_L2	16	9	H	A:-	-	0	
f10_L2	17	2	M	A:-,B:-	-	-	
f10_L2	18	2	H	A:-	-	0	
f10_L2	19	4	H	A:-	-	1	
f10_L2	20	2	H		0	0	
f10_L2	21	0	H		1	0	
f10_L2	22	6	H		0	1	
f10_L2	23	1	H		1	0	
f10_L2	24	8	M	B:9	0	0	
f10_L2	25	4	H	A:-	-	0	
f10_L2	26	9	H		0	1	
f10_L2	27	6	H	A:-	-	0	
f10_L2	28	1	H		1	0	
f10_L2	29	7	H		0	0	
f10_L2	30	y	M	A:-,B:-	-	-	
f10_L2	31	2	H		1	1	
f10_L2	32	0	H		0	0	
f10_L2	33	9	H		0	0	
f10_L2	34	1	H		1	0	
f10_L2	35	8	H		0	0	
f10_L2	36	5	M	A:0,B:1	0	0	
f10_L2	37	y	M	A:-,B:-	-	-	
f10_L2	38	3	H		0	0	
f10_L3	1	2	H		1	1	
f10_L3	2	0	H		0	0	
f10_L3	3	9	M	A:4	0	0	
f10_L3	4	2	H		1	1	
f10_L3	5	5	H		0	0	
f10_L3	6	1	H		1	1	
f10_L3	7	5	H		0	0	
f10_L3	8	8	H		0	0	
f10_L3	9	5	M	B:8	0	0	
f10_L3	10	1	H		1	0	
f10_L3	11	7	H		0	1	
f10_L3	12	3	H		1	0	
f10_L3	13	2	H		0	0	
f10_L3	14	9	H		1	1	
f10_L3	15	1	H		1	0	
f10_L3	16	8	H		0	0	
f10_L3	17	5	M	B:1	0	0	
f10_L3	18	3	H		0	1	
f10_L3	19	2	H		1	0	
f10_L3	20	0	H		0	0	
f10_L3	21	9	H		0	0	
f10_L3	22	8	H		1	1	
f10_L3	23	5	H		0	0	
f10_L3	24	y	M	A:-,B:9	-	0	
f10_L3	25	6	H		1	0	
f10_L3	26	2	H		0	1	
f10_L3	27	9	H		1	0	
f10_L3	28	3	H		1	0	
f10_L3	29	0	H		0	0	
f10_L3	30	7	H		1	1	
f10_L3	31	4	M	A:1,B:1	0	0	
f10_L3	32	2	M	A:3,B:5	1	0	
f10_L3	33	0	H		1	0	
f10_L3	34	3	H		0	0	
f10_L3	35	9	H		1	1	
f10_L3	36	9	H		0	0	
f10_L3	37	1	H	B:-	1	-	
f10_L3	38	4	H		0	0	
f10_L3	39	1	H		0	0	
f10_L3	40	8	H		0	0	
f10_L4	1	4	H		1	1	
f10_L4	2	1	H		0	0	
f10_L4	3	6	H		0	0	
f10_L4	4	2	H		1	1	
f10_L4	5	0	H		0	0	
f10_L4	6	3	H	B:-	0	-	
f10_L4	7	9	M	A:0,B:-	1	-	
f10_L4	8	1	H		0	0	
f10_L4	9	8	H		0	0	
f10_L4	10	3	H		1	0	
f10_L4	11	4	H		0	1	
f10_L4	12	1	M	A:y	1	0	
f10_L4	13	7	M	A:0	1	1	
f10_L4	14	6	M	A:-,B:0	-	0	
f10_L4	15	5	H		0	0	
f10_L4	16	2	H		1	0	
f10_L4	17	2	H		0	1	
f10_L4	18	6	H		0	0	
f10_L4	19	1	H		1	0	
f10_L4	20	2	H		0	0	
f10_L4	21	4	H		1	1	
f10_L4	22	y	M	A:9,B:9	0	0	
f10_L4	23	5	M	B:9	0	0	
f10_L4	24	1	H		1	0	
f10_L4	25	9	M	B:8	0	0	
f10_L4	26	2	H	B:-	1	-	
f10_L4	27	4	H	B:-	0	-	
f10_L4	28	1	H		1	1	
f10_L4	29	7	H		0	0	
f10_L4	30	4	M	A:2	1	0	
f10_L4	31	7	H		0	0	
f10_L4	32	3	H		1	0	
f10_L4	33	9	H		0	1	
f10_L4	34	4	H	B:-	1	-	
f10_L4	35	5	M	A:-,B:-	-	-	
f10_L4	36	6	M	A:-,B:-	-	-	
f10_L4	37	1	H	A:-	-	0	
f10_L4	38	8	H	A:-	-	0	
f10_L4	39	4	H	A:-	-	0	
f10_L5	1	2	H		1	1	
f10_L5	2	2	H		0	0	
f10_L5	3	4	H		0	0	
f10_L5	4	9	H		0	0	
f10_L5	5	1	H		1	1	
f10_L5	6	7	H	A:-	-	0	
f10_L5	7	9	H		0	0	
f10_L5	8	9	H	A:-	-	1	
f10_L5	9	4	M	A:-,B:1	-	0	
f10_L5	10	1	H		1	0	
f10_L5	11	8	H		0	0	
f10_L5	12	3	H		0	0	
f10_L5	13	2	H		1	1	
f10_L5	14	4	H		0	0	
f10_L5	15	1	H		1	0	
f10_L5	16	8	H		0	0	
f10_L5	17	4	M	A:9	0	0	
f10_L5	18	7	M	A:-,B:9	-	1	
f10_L5	19	6	H		1	0	
f10_L5	20	2	H		1	0	
f10_L5	21	5	H		0	1	
f10_L5	22	1	H		0	0	
f10_L5	23	7	M	A:-,B:-	-	-	
f10_L5	24	5	M	A:-,B:-	-	-	
f10_L5	25	1	H		1	0	
f10_L5	26	6	H		0	0	
f10_L5	27	9	H		0	1	
f10_L5	28	2	H		1	0	
f10_L5	29	5	H		0	0	
f10_L5	30	1	H		0	0	
f10_L5	31	6	H		1	1	
f10_L5	32	1	H		0	0	
f10_L5	33	9	H		0	0	
f10_L5	34	3	H		1	0	
f10_L5	35	1	H		1	0	
f10_L5	36	7	H		0	1	
f10_L5	37	4	H		1	0	
f10_L5	38	9	M	B:0	0	1	
f10_L5	39	5	H	A:-	-	0	
f10_L5	40	4	H	A:-	-	0	
f10_L6	1	2	H		1	1	
f10_L6	2	4	H		0	0	
f10_L6	3	2	H		1	0	
f10_L6	4	6	H		0	0	
f10_L6	5	2	H		0	1	
f10_L6	6	9	H		1	0	
f10_L6	7	6	H		0	0	
f10_L6	8	1	H		0	0	
f10_L6	9	8	H		0	1	
f10_L6	10	8	H		1	0	
f10_L6	11	4	H		0	0	
f10_L6	12	2	M	A:y	1	0	
f10_L6	13	0	H		1	1	
f10_L6	14	2	H		0	0	
f10_L6	15	2	H		0	0	
f10_L6	16	9	H		1	1	
f10_L6	17	9	H		0	0	
f10_L6	18	1	M	A:-,B:-	-	-	
f10_L6	19	7	M	A:-,B:-	-	-	
f10_L6	20	4	H		0	0	
f10_L6	21	8	H		1	0	
f10_L6	22	1	H		0	1	
f10_L6	23	5	M	A:8,B:8	0	0	
f10_L6	24	1	H		0	1	
f10_L6	25	7	M	A:0	1	0	
f10_L6	26	9	H	A:-	-	1	
f10_L6	27	1	H		0	0	
f10_L6	28	7	H	B:-	0	-	
f10_L6	29	7	H	B:-	1	-	
f10_L6	30	3	H	B:-	0	-	
f10_L6	31	y	H	B:-	1	-	
f10_L6	32	1	H		1	0	
f10_L6	33	1	M	A:4,B:-	0	-	
f10_L6	34	9	M	A:-,B:-	-	-	
f10_L6	35	6	H		1	1	
f10_L6	36	1	H		0	0	
f10_L6	37	2	H	B:-	0	-	
f10_L6	38	5	H		0	0	
f10_L6	39	6	H	B:-	1	-	
f10_L6	40	2	H		0	0	
f10_L6	41	0	H		0	1	
f10_L7	1	1	H		1	1	
f10_L7	2	7	H		0	0	
f10_L7	3	5	H		0	0	
f10_L7	4	1	H		1	0	
f10_L7	5	6	H		0	1	
f10_L7	6	1	H		0	0	
f10_L7	7	7	H		0	0	
f10_L7	8	y	M	A:9,B:9	1	0	
f10_L7	9	2	H		1	1	
f10_L7	10	0	H		0	0	
f10_L7	11	9	H		0	0	
f10_L7	12	7	H		1	1	
f10_L7	13	5	H		0	0	
f10_L7	14	0	H		0	0	
f10_L7	15	1	H		1	1	
f10_L7	16	7	H		0	0	
f10_L7	17	4	H		1	0	
f10_L7	18	0	H		0	0	
f10_L7	19	5	M	A:1	0	1	
f10_L7	20	4	H		0	0	
f10_L7	21	3	H		1	0	
f10_L7	22	y	M	B:9	1	1	
f10_L7	23	8	H		1	0	
f10_L7	24	5	H		0	0	
f10_L7	25	7	H		1	1	
f10_L7	26	6	M	A:0,B:0	0	0	
f10_L7	27	2	H		1	1	superscript 2 over a blotted digit: scribal correction
f10_L7	28	9	M	A:8,B:8	0	0	
f10_L7	29	2	M	A:-,B:-	-	-	
f10_L7	30	5	M	A:-,B:-	-	-	
f10_L7	31	1	H		0	0	
f10_L7	32	6	H		0	0	
