line	position	group	confidence
f9_L1	1	[PLAIN:"favore... sera seguito silentio... voi che anemcuan (line start possibly cropped at top edge)"]	M
f9_L2	1	[PLAIN:"brano il nome nostro fratello auria campare... nuovi"]	M
f9_L3	1	[PLAIN:"a noi per lo me ne dara aviso et rispetto... facea"]	M
f9_L4	1	[PLAIN:"fare mi mandando di dirme che me state proposso"]	M
f9_L5	1	[PLAIN:"Donna virginia per noi per ho le nostri di qua nostr"]	M
f9_L6	1	95	M
f9_L6	2	154	M
f9_L6	3	273	M
f9_L6	4	201	M
f9_L6	5	54	M
f9_L6	6	29	M
f9_L6	7	189	M
f9_L6	8	1~	L
f9_L6	9	73	L
f9_L6	10	273	M
f9_L6	11	183	M
f9_L6	12	154	M
f9_L6	13	75	M
f9_L7	1	[PLAIN:"per ho chi ve la dico esimo me cambiano il"]	M
f9_L8	1	[PLAIN:"quale non m'ha nova quello che li avete scritto le"]	M
f10_L1	1	[PLAIN:"lase le mie le posete brusare"]	M
f10_L2	1	179	M
f10_L2	2	415	M
f10_L2	3	8	L
f10_L2	4	32	M
f10_L2	5	19	M
f10_L2	6	96	M
f10_L2	7	11~	L
f10_L2	8	62	M
f10_L2	9	06	L
f10_L2	10	189	M
f10_L2	11	17	M
f10_L2	12	209	M
f10_L2	13	1803	L
f10_L3	1	204	M
f10_L3	2	25	M
f10_L3	3	1585	L
f10_L3	4	17	M
f10_L3	5	32	M
f10_L3	6	9	L
f10_L3	7	1853	L
f10_L3	8	209	M
f10_L3	9	85	M
f10_L3	10	62	M
f10_L3	11	9	L
f10_L3	12	30	M
f10_L3	13	71~	L
f10_L3	14	3	L
f10_L3	15	03	L
f10_L3	16	99	M
f10_L3	17	1418	L
f10_L4	1	416	M
f10_L4	2	203	M
f10_L4	3	018	M
f10_L4	4	34~	L
f10_L4	5	11~	L
f10_L4	6	05~	L
f10_L4	7	226	M
f10_L4	8	12~	L
f10_L4	9	49	M
f10_L4	10	15~	L
f10_L4	11	19	M
f10_L4	12	24~	L
f10_L4	13	17~	L
f10_L4	14	27~	L
f10_L4	15	301~	L
f10_L4	16	56~	L
f10_L4	17	89~	L
f10_L4	18	4~	L
f10_L5	1	224~	L
f10_L5	2	017~	L
f10_L5	3	49~	L
f10_L5	4	19~	L
f10_L5	5	183	M
f10_L5	6	24	M
f10_L5	7	189	M
f10_L5	8	6~	L
f10_L5	9	251~	L
f10_L5	10	169~	L
f10_L5	11	251~	L
f10_L5	12	619~	L
f10_L5	13	3~	L
f10_L5	14	17~	L
f10_L5	15	4~	L
f10_L5	16	019~	L
f10_L6	1	24~	L
f10_L6	2	262~	L
f10_L6	3	9618~	L
f10_L6	4	84~	L
f10_L6	5	11~	L
f10_L6	6	022~	L
f10_L6	7	9~	L
f10_L6	8	8194~	L
f10_L6	9	8181~	L
f10_L6	10	017~	L
f10_L6	11	73~	L
f10_L6	12	11~	L
f10_L6	13	14~	L
f10_L6	14	6125~	L
f10_L6	15	620~	L
f10_L7	1	175~	L
f10_L7	2	161~	L
f10_L7	3	17~	L
f10_L7	4	9~	L
f10_L7	5	209~	L
f10_L7	6	750~	L
f10_L7	7	17~	L
f10_L7	8	4014~	L
f10_L7	9	39~	L
f10_L7	10	11~	L
f10_L7	11	85~	L
f10_L7	12	704	M
f10_L7	13	3~ (small superscript numeral above this group, possibly "2" or "3")	L
f10_L7	14	2816	M
f10_L8	1	[PLAIN:"sera dove la cause mie che vi vere che sapia p thuon"]	L
f10_L9	1	[PLAIN:"vieria u modia (bottom line, cut by crop edge)"]	L
