seg	line	pos	group	plain_f68	key_1659	grade
F1	f129_L05	17	18	on	n	C
F1	f129_L05	18	39	du	du	C
F1	f129_L05	19	42	fi	fi	C
F1	f129_L05	20	16	l	l	C
F1	f129_L05	21	10	s	je	C
F1	f129_L06	1	6	a	a	C
F1	f129_L06	2	61	le	le	C
F1	f129_L06	3	18	n	n	C
F1	f129_L06	4	3	d	e	M
F1	f129_L06	5	_17	r	si	M
F1	f129_L06	6	15	oi	oi	C
F1	f129_L06	7	19	t	t	C
F1	f129_L06	8	36	de	de	M
F1	f129_L06	9	60	la	la	C
F1	f129_L06	10	66	me	me	C
F1	f129_L06	11	_11	re	re	C
F1	f129_L06	12	18	n	n	C
F1	f129_L06	13	2	e	e	C
F1	f129_L06	14	20	s	s	C
F1	f129_L06	15	19	t	t	C
F1	f129_L06	16	23	p	pr	C
F1	f129_L06	17	64	lu	lu	C
F1	f129_L06	18	20	s	s	C
F1	f129_L06	19	_17	si	si	C
F1	f129_L06	20	13	gr	gn	M
F1	f129_L06	21	_10	a	st	M
F1	f129_L07	1	18	n	n	C
F1	f129_L07	2	36	de	de	M
F1	f129_L07	3	_5	qua	estr	M
F1	f129_L07	4	7	u	ou	C
F1	f129_L07	5	_0	pa	pa	M
F1	f129_L07	6	20	s	s	C
F1	f129_L07	7	_16	se	se	C
F1	f129_L07	9	2	e	e	C
F1	f129_L07	10	19	t	t	C
F1	f129_L07	11	_6	qu	ques	M
F1	f129_L07	12	115	M.	#	M
F1	f129_L07	13	_16	se	se	M
F1	f129_L07	14	_13	r	r	C
F1	f129_L07	15	15	oi	oi	C
F1	f129_L07	16	19	t	t	C
F1	f129_L07	17	2	e	e	C
F1	f129_L07	18	18	n	n	C
F1	f129_L07	19	154	quelque	-	M
F1	f129_L07	20	_1	pe	pe	C
F1	f129_L07	21	18	n	n	C
F1	f129_L07	22	_16	se	se	M
F1	f129_L07	23	2	e	e	C
F1	f129_L08	1	36	de	de	M
F1	f129_L08	2	_16	se	se	M
F1	f129_L08	3	_11	re	re	C
F1	f129_L08	4	_22	ti	t	C
F1	f129_L08	5	_11	re	re	C
F1	f129_L08	6	21	r	r	C
F1	f129_L08	7	39	du	du	M
F1	f129_L08	8	65	ma	ma	C
F1	f129_L08	9	72	ni	-	C
F1	f129_L08	10	2	e	e	C
F1	f129_L08	11	66	me	me	C
F1	f129_L08	12	18	n	n	C
F1	f129_L08	13	19	t	t	C
F1	f129_L08	14	36	de	de	M
F1	f129_L08	15	20	s	s	C
F1	f129_L08	16	61	af	le	M
F1	f129_L08	17	40	fa	fa	C
F1	f129_L08	18	15	i	oi	C
F1	f129_L08	19	_11	re	re	C
F1	f129_L08	20	20	s	s	C
F2	f129_L09	2	4	c	c	C
F2	f129_L09	3	_10	ra	st	M
F2	f129_L09	4	15	i	oi	C
F2	f129_L09	5	18	n	n	C
F2	f129_L09	6	19	t	t	C
F2	f129_L09	7	_7	q	q	C
F2	f129_L09	8	16	uil	l	C
F2	f129_L09	9	6	a	a	C
F2	f129_L09	10	21	r	r	C
F2	f129_L09	11	_12	ri	i	C
F2	f129_L09	12	25	va	-	C
F2	f129_L09	13	20	s	s	C
F2	f129_L09	14	19	t	t	C
F2	f129_L10	1	7	u	ou	C
F2	f129_L10	2	18	n	n	C
F2	f129_L10	3	16	se	l	M
F2	f129_L10	4	17	m	m	C
F2	f129_L10	5	5	b	b	C
F2	f129_L10	6	60	la	la	C
F2	f129_L10	7	5	b	b	C
F2	f129_L10	8	61	le	le	C
F2	f129_L10	9	4	c	c	C
F2	f129_L10	11	50	ha	ha	C
F2	f129_L10	12	18	n	n	C
F2	f129_L10	13	46	ge	ge	C
F2	f129_L10	14	66	me	me	C
F2	f129_L10	15	18	n	n	C
F2	f129_L10	16	19	t	t	C
F2	f129_L10	17	73	n	n	C
F2	f129_L10	18	7	ou	ou	C
F2	f129_L10	19	20	s	s	C
F2	f129_L10	20	6	a	a	C
F2	f129_L10	21	7	u	ou	C
F2	f129_L10	22	_12	ri	i	C
F2	f129_L10	23	24	0	i	C
F2	f129_L11	1	18	on	n	C
F2	f129_L11	2	20	s	s	C
F2	f129_L11	3	36	de	de	M
F2	f129_L11	4	20	s	s	C
F2	f129_L11	5	66	me	me	C
F2	f129_L11	6	_19	su	su	C
F2	f129_L11	7	_11	re	re	C
F2	f129_L11	8	20	s	s	C
F2	f129_L11	9	6	a	a	C
F2	f129_L11	10	23	p	pr	C
F2	f129_L11	11	_11	re	re	M
F2	f129_L11	12	18	n	n	C
F2	f129_L11	13	3	d	e	M
F2	f129_L11	14	_11	re	re	M
F2	f129_L11	15	70	a	a	M
F2	f129_L11	16	61	le	le	M
F2	f129_L11	17	80	duc	-	M
F2	f129_L11	19	2	e	e	M
F2	f129_L11	20	19	t	t	M
F2	f129_L11	21	_6	qu	ques	M
F2	f129_L11	22	16	el	l	M
F2	f129_L11	23	_18	s	s	M
F2	f129_L11	24	15	oi	oi	M
F2	f129_L11	25	18	n	n	M
F2	f129_L12	1	_6	qu	ques	C
F2	f129_L12	2	61	le	le	C
F2	f129_L12	3	42	fi	fi	C
F2	f129_L12	4	16	l	l	C
F2	f129_L12	5	10	z	je	C
F2	f129_L12	7	2	e	e	C
F2	f129_L12	8	19	t	t	C
F2	f129_L12	9	60	la	la	C
F2	f129_L12	10	66	me	me	C
F2	f129_L12	11	_11	re	re	M
F2	f129_L12	13	66	me	me	C
F2	f129_L12	14	20	s	s	C
F2	f129_L12	15	66	me	me	C
F2	f129_L12	16	61	le	le	C
F2	f129_L12	17	7	u	ou	C
F2	f129_L12	18	21	r	r	C
F2	f129_L12	19	20	s	s	C
F2	f129_L12	20	23	p	pr	C
F2	f129_L12	21	_12	ri	i	C
F2	f129_L12	22	18	n	n	C
F2	f129_L12	23	32	ci	-	M
F2	f129_L12	24	_0	pa	pa	C
F2	f129_L13	1	7	u	ou	C
F2	f129_L13	2	8	x	x	C
F2	f129_L13	3	67	mi	-	C
F2	f129_L13	4	72	ni	-	C
F2	f129_L13	5	20	s	s	C
F2	f129_L13	6	19	t	t	C
F2	f129_L13	7	_11	re	re	C
F2	f129_L13	8	20	s	s	C
F2	f129_L13	9	23	p	pr	C
F2	f129_L13	10	_12	ri	i	C
F2	f129_L13	11	20	s	s	C
F2	f129_L13	12	_16	se	se	C
F2	f129_L13	13	18	n	n	C
F2	f129_L13	14	19	t	t	C
F2	f129_L13	15	36	de	de	M
F2	f129_L13	16	30	ca	ca	C
F2	f129_L13	17	4	c	c	C
F2	f129_L13	18	51	he	-	M
F2	f129_L13	19	21	r	r	M
F2	f129_L13	20	31	ce	ce	M
F2	f129_L13	21	19	t	t	C
F2	f129_L14	1	_21	te	te	C
F2	f129_L14	2	66	me	me	C
F2	f129_L14	3	20	s	s	C
F2	f129_L14	4	15	i	oi	C
F2	f129_L14	5	18	n	n	C
F2	f129_L14	6	_21	te	te	C
F2	f129_L14	7	16	ll	l	C
F2	f129_L14	8	62	i	i	C
F2	f129_L14	9	46	ge	ge	C
F2	f129_L14	10	18	n	n	C
F2	f129_L14	11	31	ce	ce	C
F2	f129_L14	12	15	i	oi	C
F2	f129_L14	13	16	l	l	C
F2	f129_L14	14	71	ne	ne	C
F2	f129_L14	15	_16	se	se	C
F2	f129_L14	16	_13	r	r	C
F2	f129_L14	17	15	oi	oi	C
F2	f129_L14	18	19	t	t	C
F2	f129_L14	19	_0	pa	pa	C
F2	f129_L14	20	20	s	s	C
F2	f129_L15	1	_7	po	q	M
F2	f129_L15	2	20	s	s	C
F2	f129_L15	3	_17	si	si	C
F2	f129_L15	4	5	b	b	C
F2	f129_L15	5	61	le	le	C
F2	f129_L15	6	_6	qu	ques	M
F2	f129_L15	7	_28	v	v	C
F2	f129_L15	8	7	ou	ou	C
F2	f129_L15	9	20	s	s	C
F2	f129_L15	10	71	ne	ne	C
F2	f129_L15	11	18	n	n	C
F2	f129_L15	12	2	e	e	C
F2	f129_L15	13	7	u	ou	C
F2	f129_L15	14	20	s	s	C
F2	f129_L15	15	_17	si	si	C
F2	f129_L15	16	2	e	e	C
F2	f129_L15	17	10	z	je	C
F2	f129_L15	18	33	c	c	M
F2	f129_L15	19	18	on	n	C
F2	f129_L15	20	73	n	n	C
F2	f129_L15	21	15	oi	oi	C
F2	f129_L15	22	20	s	s	C
F2	f129_L16	1	15	sa	oi	M
F2	f129_L16	2	18	n	n	C
F2	f129_L16	3	31	ce	ce	M
F2	f129_L16	5	_7	q	q	C
F2	f129_L16	6	6	a	a	C
F2	f129_L16	7	_26	ve	ve	C
F2	f129_L16	8	10	z	je	C
F2	f129_L16	9	6	a	a	C
F2	f129_L16	10	7	u	ou	C
F2	f129_L16	11	20	s	s	C
F2	f129_L16	12	20	s	s	C
F2	f129_L16	13	9	y	y	C
F2	f129_L16	14	6	a	a	C
F2	f129_L16	15	6	p	a	M
F2	f129_L16	16	23	p	pr	C
F2	f129_L16	17	23	l	pr	M
F2	f129_L16	18	62	i	i	C
F2	f129_L16	19	_6	qu	ques	M
F2	f129_L16	20	21	et	r	M
F2	f129_L16	21	_23	o	o	C
F2	f129_L16	22	7	u	ou	C
F2	f129_L16	23	20	s	s	C
F2	f130a_L01	1	_28	vo	v	C
F2	f130a_L01	2	10	s	je	C
F2	f130a_L01	3	_18	s	s	C
F2	f130a_L01	4	15	oi	oi	C
F2	f130a_L01	5	18	n	n	C
F2	f130a_L01	6	20	s	s	C
F2	f130a_L01	7	6	a	a	C
F2	f130a_L01	8	_1	pe	pe	C
F2	f130a_L01	9	71	ne	ne	C
F2	f130a_L01	10	19	t	t	C
F2	f130a_L01	11	_11	re	re	C
F2	f130a_L01	12	21	r	r	C
F2	f130a_L01	13	_6	qu	ques	C
F2	f130a_L01	14	16	el	l	C
F2	f130a_L01	15	61	le	le	C
F2	f130a_L01	16	_1	pe	pe	C
F2	f130a_L01	17	7	u	ou	C
F2	f130a_L01	18	19	t	t	C
F2	f130a_L01	19	2	e	e	C
F2	f130a_L01	20	20	s	s	C
F2	f130a_L02	1	62	i	i	C
F2	f130a_L02	2	18	n	n	C
F2	f130a_L02	3	42	cl	fi	M
F2	f130a_L02	4	62	i	i	C
F2	f130a_L02	5	70	a	a	C
F2	f130a_L02	6	_22	t	t	C
F2	f130a_L02	7	24	i	i	C
F2	f130a_L02	8	18	on	n	C
F2	f130a_L02	9	79	du	-	M
F2	f130a_L02	10	80	duc	-	C
F2	f130a_L02	11	_3	p	p	M
F2	f130a_L02	12	7	ou	ou	C
F2	f130a_L02	13	21	r	r	C
F2	f130a_L02	14	_16	se	se	C
F2	f130a_L02	15	65	ma	ma	C
F2	f130a_L02	16	_12	ri	i	C
F2	f130a_L02	17	2	e	e	M
F2	f130a_L02	18	21	r	r	M
F2	f130a_L03	1	7	ou	ou	C
F2	f130a_L03	2	20	r	s	M
F2	f130a_L03	3	60	la	la	C
F2	f130a_L03	4	_1	pe	pe	C
F2	f130a_L03	5	2	r	e	M
F2	f130a_L03	6	_18	s	s	C
F2	f130a_L03	7	18	on	n	C
F2	f130a_L03	8	71	ne	ne	C
F2	f130a_L03	10	2	e	e	C
F2	f130a_L03	11	19	t	t	C
F2	f130a_L03	12	_7	po	q	M
F2	f130a_L03	13	7	u	ou	C
F2	f130a_L03	14	21	r	r	C
F2	f130a_L03	15	61	le	le	C
F2	f130a_L03	16	_21	te	te	C
F2	f130a_L03	17	17	m	m	C
F2	f130a_L03	18	23	p	pr	C
F2	f130a_L03	19	20	s	s	C
F2	f130a_L03	21	2	e	e	M
F2	f130a_L04	1	31	ce	ce	M
F2	f130a_L04	2	20	s	s	C
F2	f130a_L04	3	19	t	t	C
F2	f130a_L04	4	_70	avec	-	C
F2	f130a_L04	5	154	quelque	-	M
F2	f130a_L04	6	43	fo	-	C
F2	f130a_L04	7	18	n	n	C
F2	f130a_L04	8	36	de	de	C
F2	f130a_L04	9	66	me	me	C
F2	f130a_L04	10	18	n	n	C
F2	f130a_L04	11	19	t	t	C
F2	f130a_L04	12	_6	qu	ques	C
F2	f130a_L04	13	63	lo	-	C
F2	f130a_L04	14	18	n	n	C
F2	f130a_L04	15	_4	pu	pu	C
F2	f130a_L04	16	5	b	b	C
F2	f130a_L04	17	62	i	i	C
F2	f130a_L04	18	2	e	e	M
F2	f130a_L05	1	65	ma	ma	C
F2	f130a_L05	2	35	da	da	C
F2	f130a_L05	3	68	mo	-	C
F2	f130a_L05	4	15	i	oi	C
F2	f130a_L05	5	_16	se	se	C
F2	f130a_L05	6	16	l	l	C
F2	f130a_L05	7	61	le	le	C
F2	f130a_L05	8	6	a	a	C
F2	f130a_L05	9	_11	re	re	C
F2	f130a_L05	10	18	n	n	C
F2	f130a_L05	11	39	du	du	C
F2	f130a_L05	12	19	t	t	C
F2	f130a_L05	13	_11	re	re	C
F2	f130a_L05	14	20	s	s	C
F2	f130a_L05	15	65	ma	ma	C
F2	f130a_L05	16	7	u	ou	C
F2	f130a_L05	17	_25	va	-	C
F2	f130a_L05	18	15	i	oi	C
F2	f130a_L06	1	24	so	i	M
F2	f130a_L06	2	1	f	f	M
F2	f130a_L06	3	42	fi	fi	C
F2	f130a_L06	4	31	ce	ce	C
F2	f130a_L06	5	6	a	a	C
F2	f130a_L06	6	65	ma	ma	C
F2	f130a_L06	7	35	da	da	C
F2	f130a_L06	8	68	mo	-	C
F2	f130a_L06	9	15	i	oi	C
F2	f130a_L06	10	_16	se	se	C
F2	f130a_L06	11	16	l	l	C
F2	f130a_L06	12	61	le	le	C
F2	f130a_L06	13	78	d	d	C
F2	f130a_L06	14	21	r	r	C
F2	f130a_L06	15	61	le	le	C
F2	f130a_L06	16	6	a	a	C
F2	f130a_L06	17	18	n	n	C
F2	f130a_L07	1	15	ssa	oi	M
F2	f130a_L07	2	_18	s	s	C
F2	f130a_L07	3	2	oe	e	C
F2	f130a_L07	4	7	u	ou	C
F2	f130a_L07	5	21	r	r	C
F3	f130b_L01	2	_6	qu	ques	C
F3	f130b_L01	3	31	ce	ce	C
F3	f130b_L01	4	_7	q	q	C
F3	f130b_L01	5	16	ui	l	C
F3	f130b_L01	6	37	di	di	C
F3	f130b_L01	7	19	t	t	C
F3	f130b_L01	8	36	de	de	M
F3	f130b_L01	9	60	la	la	C
F3	f130b_L01	10	66	me	me	C
F3	f130b_L01	11	20	s	s	C
F3	f130b_L01	12	15	i	oi	C
F3	f130b_L01	13	18	n	n	C
F3	f130b_L01	14	_11	e	re	C
F3	f130b_L02	1	62	i	i	C
F3	f130b_L02	2	46	ge	ge	C
F3	f130b_L02	3	18	n	n	C
F3	f130b_L02	4	31	ce	ce	C
F3	f130b_L02	5	36	de	de	M
F3	f130b_L02	6	18	n	n	C
F3	f130b_L02	7	19	t	t	C
F3	f130b_L02	8	_11	re	re	C
F3	f130b_L02	9	61	le	le	C
F3	f130b_L02	10	42	fi	fi	C
F3	f130b_L02	11	16	l	l	C
F3	f130b_L02	12	10	s	je	C
F3	f130b_L02	13	2	e	e	C
F3	f130b_L02	14	19	t	t	C
F3	f130b_L02	15	60	la	la	C
F3	f130b_L02	16	66	me	me	C
F3	f130b_L02	17	_11	re	re	C
F3	f130b_L03	1	15	oi	oi	C
F3	f130b_L03	2	19	t	t	C
F3	f130b_L03	3	_26	ve	ve	M
F3	f130b_L03	4	_12	ri	i	C
F3	f130b_L03	5	_20	ta	ta	C
F3	f130b_L03	6	5	b	b	C
F3	f130b_L03	7	61	le	le	C
F3	f130b_L03	8	_17	si	si	C
F3	f130b_L03	9	61	le	le	C
F3	f130b_L03	10	65	ma	ma	C
F3	f130b_L03	11	21	r	r	C
F3	f130b_L03	12	_7	q	q	C
F3	f130b_L03	13	20	s	s	C
F3	f130b_L03	14	36	de	de	C
F3	f130b_L03	15	_2	pi	-	C
F3	f130b_L03	16	6	a	a	C
F3	f130b_L03	17	71	ne	ne	C
F3	f130b_L03	18	10	s	je	C
F3	f130b_L04	1	36	de	de	C
F3	f130b_L04	2	66	me	me	C
F3	f130b_L04	3	7	u	ou	C
F3	f130b_L04	4	_11	re	re	C
F3	f130b_L04	5	_10	ra	st	M
F3	f130b_L04	6	4	c	c	C
F3	f130b_L04	7	51	h	-	M
F3	f130b_L04	8	2	e	e	C
F3	f130b_L04	9	36	de	de	M
F3	f130b_L04	10	20	s	s	C
F3	f130b_L04	11	61	a	le	M
F3	f130b_L04	12	1	f	f	C
F3	f130b_L04	13	40	fa	fa	C
F3	f130b_L04	14	15	i	oi	C
F3	f130b_L04	15	_11	re	re	C
F3	f130b_L04	16	20	s	s	C
F3	f130b_L04	17	24	0	i	C
F3	f130b_L04	18	7	ou	ou	C
F3	f130b_L05	1	2	e	e	C
F3	f130b_L05	2	18	n	n	C
F3	f130b_L05	3	_19	su	su	C
F3	f130b_L05	4	21	r	r	C
F3	f130b_L05	5	_7	q	q	C
F3	f130b_L05	6	61	le	le	C
F3	f130b_L05	7	80	duc	-	C
F3	f130b_L05	8	_16	se	se	C
F3	f130b_L05	9	10	p	je	M
F3	f130b_L05	10	_7	o	q	M
F3	f130b_L05	11	7	u	ou	C
F3	f130b_L05	12	21	r	r	C
F3	f130b_L05	13	_16	r	se	M
F3	f130b_L05	14	18	a	n	M
F3	f130b_L05	15	36	de	de	M
F3	f130b_L05	16	4	c	c	C
F3	f130b_L05	17	50	ha	ha	C
F3	f130b_L05	18	21	r	r	C
F3	f130b_L06	1	21	r	r	C
F3	f130b_L06	2	_8	qu	qu	C
F3	f130b_L06	3	18	on	n	C
F3	f130b_L06	4	59	ju	ju	C
F3	f130b_L06	5	46	ge	ge	C
F3	f130b_L06	6	2	e	e	C
F3	f130b_L06	7	18	n	n	C
F3	f130b_L06	8	_1	pe	pe	C
F3	f130b_L06	9	18	n	n	C
F3	f130b_L06	10	_16	se	se	C
F3	f130b_L06	11	2	e	e	C
F3	f130b_L06	12	23	p	pr	C
F3	f130b_L06	13	64	lu	lu	C
F3	f130b_L06	14	20	s	s	C
F3	f130b_L06	15	_23	o	o	C
F3	f130b_L06	16	20	s	s	C
F3	f130b_L06	17	19	t	t	C
F3	f130b_L07	1	37	di	di	C
F3	f130b_L07	2	_26	ve	ve	C
F3	f130b_L07	3	21	r	r	C
F3	f130b_L07	4	_22	ti	t	C
F3	f130b_L07	5	21	r	r	C
F3	f130b_L07	6	_6	qu	ques	C
F3	f130b_L07	7	36	de	de	C
F3	f130b_L07	8	20	s	s	C
F3	f130b_L07	9	9	y	y	C
F3	f130b_L07	10	6	a	a	C
F3	f130b_L07	11	23	p	pr	C
F3	f130b_L07	12	23	p	pr	C
F3	f130b_L07	13	62	i	i	C
F3	f130b_L07	14	_6	qu	ques	C
F3	f130b_L07	15	21	r	r	C
