line	pos	group	value	grade	f87_aligned
L06	20	31	ce	M	ce
L06	21	16	l	M	l
L07	1	61	le	C	le
L07	2	20	s	C	s
L07	3	_7	q	C	q
L07	4	16	l	M	uil
L07	5	_3	p	M	p
L07	6	7	ou	M	ou
L07	7	21	r	C	r
L07	8	_13	r	M	r
L07	9	15	oi	M	oi
L07	10	19	t	C	t
L07	11	40	fa	M	fai
L07	12	15	oi	M	re
L07	13	_11	re	M	en
L07	14	2	e	M	fr
L07	15	18	n	M	an
L07	16	19	t	M	ce
L07	17	_7	q	C	q
L07	18	16	l	M	ui
L07	19	16	l	M	ls
L07	20	_13	r	M	er
L07	21	15	oi	M	oi
L08	1	19	t	C	t
L08	2	_19	su	C	su
L08	3	21	r	C	r
L08	4	23	pr	M	pr
L08	5	_11	re	M	en
L08	6	70	a	C	a
L08	7	18	n	M	n
L08	8	19	t	C	t
L08	9	_7	q	M	q
L08	10	16	l	M	uil
L08	11	23	pr	M	pre
L08	12	_11	re	M	fe
L08	13	41	e	M	ra
L08	14	_10	st	C	st
L08	15	31	ce	M	ce
L08	16	16	l	M	l
L08	17	61	le	C	le
L08	18	60	la	C	la
L09	1	2	e	M	e
L09	2	19	t	C	t
L09	3	15	oi	M	i
L09	4	16	l	M	l
L09	5	_16	se	M	se
L09	6	_13	r	M	r
L09	7	15	oi	M	oi
L09	8	19	t	C	t
L09	9	28	b	C	b
L09	10	18	n	M	on
L09	11	[.]	.	P	
L09	12	_6	ques	M	qu
L09	13	_28	v	M	en
L09	14	7	ou	M	ou
L09	15	20	s	C	s
L09	16	2	e	M	e
L09	17	?	?	U	
L09	18	20	s	C	s
L09	19	15	oi	M	saya
L10	1	20	s	M	s
L10	2	_17	si	C	si
L10	3	2	e	M	on
L10	4	10	je	M	s
L10	5	36	de	M	de
L10	6	_1	pe	M	pe
L10	7	71	ne	M	ne
L10	8	19	t	C	t
L10	9	_11	re	M	re
L10	10	21	r	M	r
L10	11	_7	q	C	q
L10	12	64	lu	M	lu
L10	13	9	y	M	y
L10	14	2	e	M	e
L10	15	18	n	M	n
L10	16	m	a	M	a
L10	17	40	fa	C	fa
L10	18	15	oi	M	i
L11	1	70	a	C	a
L11	2	15	oi	M	i
L11	3	20	s	C	s
L11	4	19	t	C	t
L11	5	_11	re	M	re
L11	6	60	la	C	la
L11	7	40	fa	C	fa
L11	8	18	n	M	n
L11	9	_20	ta	M	t
L11	10	15	oi	M	e
L11	11	_17	si	C	si
L11	12	2	e	M	e
L11	13	[car]	car	P	
L11	14	[ce]	ce	P	
L11	15	[ne]	ne	P	
L11	16	[peut]	peut	P	
L12	1	_5	estr	C	estr
L12	2	_26	ve	M	equa
L12	3	4	c	M	uoir
L12	4	36	de	M	de
L12	5	20	s	C	s
L12	6	_16	se	C	se
L12	7	15	oi	M	i
L12	8	18	n	M	n
L12	9	36	de	M	de
L12	10	60	la	C	la
L12	11	62	i	C	i
L12	12	2	e	M	ch
L12	13	71	ne	M	e
L12	14	21	r	C	r
L12	15	36	de	M	de
L12	16	60	la	C	la
L12	17	?	?	U	ance
L13	1	31	ce	M	ce
L13	2	20	s	C	s
L13	3	19	t	C	t
L13	4	7	ou	M	u
L13	5	71	ne	M	ne
L13	6	4	c	M	c
L13	7	53	ho	C	ho
L13	8	_16	se	C	se
L13	9	_7	q	M	q
L13	10	16	l	M	uil
L13	11	40	fa	C	fa
L13	12	7	ou	M	u
L13	13	19	t	C	t
L13	14	_26	ve	C	ve
L13	15	15	oi	M	i
L13	16	16	l	M	l
L13	17	61	le	C	le
L13	18	?	?	U	r
L14	1	36	de	M	de
L14	2	23	pr	M	pr
L14	3	_11	re	M	e
L14	4	10	je	M	z
L14	5	_16	se	C	se
L14	6	45	ga	C	ga
L14	7	21	r	C	r
L14	8	35	da	C	da
L14	9	18	n	M	n
L14	10	19	t	C	t
L14	11	_3	p	M	p
L14	12	7	ou	M	ou
L14	13	21	r	C	r
L14	14	_20	ta	M	ta
L14	15	18	n	M	n
L14	16	19	t	C	t
L14	17	27	b	M	b
L15	1	36	de	M	de
L15	2	78	d	C	d
L15	3	18	n	M	on
L15	4	71	ne	M	ne
L15	5	21	r	C	r
L15	6	m	a	M	a
L15	7	33	c	M	c
L15	8	18	n	M	on
L15	9	73	n	C	n
L15	10	15	oi	M	oi
L15	11	20	s	C	s
L15	12	19	t	C	t
L15	13	_11	re	M	re
L15	14	_8	qu	C	qu
L15	15	18	n	M	oy
L15	16	9	y	M	y
L15	17	_1	pe	M	pe
L15	18	18	n	M	n
L16	1	[je]	je	P	
L16	2	[suis]	suis	P	
L16	3	[,]	,	P	
