line	pos	token	conf	alt	note
f8_L10	3	¨15	H		
f8_L10	4	£	H		
f8_L10	5	¨1	H		
f8_L10	6	¨2	M	¨a	small dotted 2-like sign
f8_L10	7	[PLAIN:lesquels noublieront]	H		clear French
f8_L10	8	£	H		
f8_L10	9	¨4	H		
f8_L11	1	m	H		
f8_L11	2	11	H		
f8_L11	3	34	H		
f8_L11	4	71	H		
f8_L11	5	_18	H		
f8_L11	6	I	H		
f8_L11	7	_21	H		
f8_L11	8	36	H		
f8_L11	9	37	H		
f8_L11	10	62	H		
f8_L11	11	46	H		
f8_L11	12	db	H		
f8_L12	1	31	H		
f8_L12	2	m	H		
f8_L12	3	_43	H		
f8_L12	4	_50	H		
f8_L12	5	q'	H		
f8_L12	6	_11	H		a short stroke also under it
f8_L12	7	39	H		
f8_L12	8	X	H		dot before it
f8_L12	9	_11	H		
f8_L12	10	123	H		
f8_L12	11	11	H		
f8_L13	1	115	H		
f8_L13	2	36	H		
f8_L13	3	¨34	H		
f8_L13	4	31	H		
f8_L13	5	tt	H		
f8_L13	6	mm	H		
f8_L13	7	11	H		
f8_L13	8	71	H		
f8_L13	9	_20	H		
f8_L13	10	db	H		
f8_L13	11	_20	H		
f8_L13	12	_22	H		
f9_L1	1	q‡	H		
f9_L1	2	db	H		
f9_L1	3	43	H		
f9_L1	4	I	H		
f9_L1	5	_21	M	_11	both passes 11; head of the first figure curls like 2
f9_L1	6	_6	H		
f9_L1	7	63	H		
f9_L1	8	θ	H		
f9_L1	9	θ	M	_o _o	one stroke runs through both o and on over the 11
f9_L1	10	_11	H		
f9_L1	11	39	H		
f9_L1	12	118	H		
f9_L1	13	36	H		
f9_L2	1	62	H		
f9_L2	2	X	H		
f9_L2	3	db	H		
f9_L2	4	40	H		
f9_L2	5	db	H		
f9_L2	6	_21	H		
f9_L2	7	65	H		
f9_L2	8	X	H		
f9_L2	9	tt	H		
f9_L2	10	_17	H		
f9_L2	11	69	H		
f9_L2	12	_13	H		
f9_L2	13	q'	H		
f9_L3	1	3	H		
f9_L3	2	14	M		one dot over the 1
f9_L3	3	£	H		double bar
f9_L3	4	_6	H		
f9_L3	5	q‡	H		
f9_L3	6	db	H		
f9_L3	7	m	H		
f9_L3	8	tt	H		
f9_L3	9	_19	H		
f9_L3	10	_11	H		
f9_L3	11	d	H		
f9_L3	12	tt	H		
f9_L3	13	mm	H		
f9_L3	14	_11	H		small, raised, at the margin
f9_L4	1	13	H		
f9_L4	2	_13	H		
f9_L4	3	tt	H		
f9_L4	4	_16	H		
f9_L4	5	m	H		
f9_L4	6	4	H		
f9_L4	7	33	H		
f9_L4	8	11	H		
f9_L4	9	4	H		
f9_L4	10	53	H		
f9_L4	11	X	H		
f9_L4	12	mm	H		
f9_L4	13	39	H		
f9_L4	14	db	H		
f9_L5	1	94	H		
f9_L5	2	61	H		
f9_L5	3	118	H		
f9_L5	4	36	H		
f9_L5	5	62	H		
f9_L5	6	db	H		
f9_L5	7	40	H		
f9_L5	8	db	H		
f9_L5	9	_21	H		
f9_L5	10	71	H		
f9_L5	11	_16	H		
f9_L5	12	_13	H		
f9_L5	13	X	H		
f9_L6	1	mm	H		
f9_L6	2	23	H		
f9_L6	3	64	H		
f9_L6	4	tt	H		
f9_L6	5	33	H		
f9_L6	6	db	H		
f9_L6	7	_17	H		
f9_L6	8	36	H		
f9_L6	9	_11	H		
f9_L6	10	33	H		
f9_L6	11	17	H		
f9_L6	12	66	H		
f9_L7	1	£	H		
f9_L7	2	¨4	M	4	dots faint
f9_L7	3	[PLAIN:yl le peut estre dans le doubte de cogn]	H		clear French
f9_L8	1	60	H		
f9_L8	2	_13	H		
f9_L8	3	X	H		
f9_L8	4	71	H		
f9_L8	5	66	H		
f9_L8	6	mm	H		
f9_L8	7	19	H		
f9_L8	8	_10	H		
f9_L8	9	m	H		
f9_L8	10	11	H		
f9_L8	11	68	H		
f9_L8	12	db	H		
f9_L8	13	36	H		
f9_L9	1	q	M	9	no cross, no loop
f9_L9	2	11	H		
f9_L9	3	70	H		
f9_L9	4	q'	H		
f9_L9	5	m	H		
f9_L9	6	db	H		
f9_L9	7	mm	H		
f9_L9	8	_6	H		
f9_L9	9	36	H		
f9_L9	10	tt	H		
f9_L9	11	95	H		
f9_L9	12	tt	H		
f9_L9	13	11	H		
f9_L9	14	_28	H		
f9_L9	15	11	H		
f9_L9	16	tt	M	t	squeezed against the margin
f9_L10	1	96	M	36	pass A 36, pass B 96; closed head like the scribe's 9
f9_L10	2	_26	H		
f9_L10	3	q'	M		large form, opening C-curve and a dot
f9_L10	4	m	H		
f9_L10	5	_26	H		
f9_L10	6	4	H		
f9_L10	7	m	H		
f9_L10	8	3	H		
f9_L10	9	_11	H		
f9_L10	10	tt	H		
f9_L10	11	_16	H		
f9_L10	12	d	H		
f9_L10	13	db	H		
f9_L11	1	_43	H		
f9_L11	2	m	H		
f9_L11	3	23	H		
f9_L11	4	23	H		
f9_L11	5	_11	H		
f9_L11	6	_51	H		
f9_L11	7	db	H		
f9_L11	8	36	H		
f9_L11	9	I	H		
f9_L11	10	m	H		
f9_L11	11	115	H		
f9_L11	12	60	H		
f9_L12	1	33	H		
f9_L12	2	db	H		
f9_L12	3	4	H		
f9_L12	4	64	H		
f9_L12	5	_17	H		
f9_L12	6	q‡	H		
f9_L12	7	db	H		
f9_L12	8	_15	H		
f9_L12	9	db	H		
f9_L12	10	tt	H		
f9_L12	11	_12	H		
f9_L12	12	d	H		
f9_L12	13	db	H		
f9_L13	1	37	H		
f9_L13	2	_11	H		
f9_L13	3	_7	H		
f9_L13	4	65	H		
f9_L13	5	I	H		
f9_L13	6	_6	H		
f9_L13	7	_6	H		
f9_L13	8	73	H		
f9_L13	9	11	H		
f9_L13	10	tt	H		
f9_L13	11	60	H		
f9_L13	12	23	H		
f9_L14	1	_11	H		
f9_L14	2	51	H		
f9_L14	3	db	H		
f9_L14	4	37	H		
f9_L14	5	q‡	H		
f9_L14	6	db	H		
f9_L14	7	tt	H		
f9_L14	8	d	H		
f9_L14	9	mm	H		
f9_L14	10	36	H		
f9_L14	11	_42	H		
f9_L14	12	d	H		
f9_L14	13	m‡	H		
f9_L15	1	61	H		
f9_L15	2	71	H		
f9_L15	3	33	H		
f9_L15	4	db	H		
f9_L15	5	_16	H		
f9_L15	6	I	H		
f9_L15	7	_26	H		
f9_L15	8	_10	H		
f9_L15	9	74	H		
f9_L15	10	m‡	H		
f9_L15	11	61	H		
f9_L16	1	_o	H		
f9_L16	2	I	H		
f9_L16	3	mm	H		
f9_L16	4	m	H		
f9_L16	5	11	H		
f9_L16	6	100	H		
f9_L16	7	_17	H		
f9_L16	8	d	H		
f9_L16	9	m‡	H		
f9_L16	10	61	H		
f9_L16	11	m	H		
f9_L16	12	_50	H		
f9_L17	1	26	H		
f9_L17	2	m‡	H		
f9_L17	3	61	H		
f9_L17	4	95	H		
f9_L17	5	31	H		
f9_L17	6	mm	H		
f9_L17	7	_21	H		
f9_L17	8	144	H		
f9_L17	9	tt	H		
f9_L17	10	_16	H		
f9_L17	11	¨4	H		
f9_L18	1	[PLAIN:nayant pas en sorte]	H		clear French
f9_L18	2	17	M	I	the flourish of 'sorte' crosses it
f9_L18	3	_15	H		
f9_L18	4	_22	H		
f9_L18	5	tt	H		
f9_L18	6	_42	H		
f9_L18	7	61	H		
f9_L18	8	tt	H		
f10_L1	1	đ	M	d	d with a bar through the ascender
f10_L1	2	_10	H		
f10_L1	3	db	H		
f10_L1	4	3	H		
f10_L1	5	tt	H		
f10_L1	6	36	H		
f10_L1	7	_18	H		
f10_L1	8	db	H		
f10_L1	9	_o	H		
f10_L1	10	X	H		
f10_L1	11	tt	H		
f10_L1	12	[PLAIN:quils ne prennent]	H		clear French
f10_L2	1	[PLAIN:aisement]	H		clear French
f10_L2	2	_o	H		
f10_L2	3	I	H		
f10_L2	4	_22	H		
f10_L2	5	36	H		
f10_L2	6	23	H		
f10_L2	7	60	H		
f10_L2	8	X	H		
f10_L2	9	_11	H		
f10_L2	10	m	H		
f10_L2	11	62	H		
f10_L3	1	X	H		
f10_L3	2	40	H		
f10_L3	3	db	H		
f10_L3	4	_21	H		
f10_L3	5	[PLAIN:Et ce nest pas chose aisee de]	H		clear French
f10_L3	6	¨4	H		
f10_L3	7	£	H		
f10_L4	1	_11	H		
f10_L4	2	£	H		
f10_L4	3	¨4	H		
f10_L4	4	đ	H		
f10_L4	5	71	H		
f10_L4	6	I	H		
f10_L4	7	65	H		
f10_L4	8	m‡	H		
f10_L4	9	đ	H		
f10_L4	10	_11	H		
f10_L4	11	61	H		
f10_L4	12	db	H		
f10_L4	13	_27	H		
f10_L4	14	db	M		top stroke crossed like £
f10_L5	1	36	H		
f10_L5	2	_23	H		
f10_L5	3	11	H		
f10_L5	4	tt	H		
f10_L5	5	72	H		
f10_L5	6	36	H		
f10_L5	7	33	H		
f10_L5	8	db	H		
f10_L5	9	_16	H		
f10_L5	10	I	H		
f10_L5	11	_26	H		
f10_L5	12	I	H		
f10_L6	1	11	H		a dot or accent above
f10_L6	2	db	H		
f10_L6	3	36	H		
f10_L6	4	_28	H		
f10_L6	5	X	H		
f10_L6	6	I	H		
f10_L6	7	d	H		
f10_L6	8	mm	H		
f10_L6	9	11	H		
f10_L6	10	db	H		
f10_L6	11	_11	H		
f10_L6	12	tt	H		
f10_L6	13	_1	M	I	overline only, no foot bar
f10_L7	1	4	H		
f10_L7	2	mm	H		
f10_L7	3	m	H		
f10_L7	4	11	H		
f10_L7	5	144	H		
f10_L7	6	_7	H		
f10_L7	7	_1	M	_7	overline only, no foot bar
f10_L7	8	11	H		
f10_L7	9	mm	H		
f10_L7	10	38	H		
f10_L7	11	db	H		
f10_L7	12	71	H		
f10_L7	13	I	H		
f10_L8	1	_16	H		
f10_L8	2	tt	H		
f10_L8	3	m	H		
f10_L8	4	θ	H		
f10_L8	5	41	H		
f10_L8	6	4	H		
f10_L8	7	_22	H		
f10_L8	8	q‡	H		
f10_L8	9	db	H		
f10_L8	10	tt	H		
f10_L8	11	m	H		
f10_L8	12	11	H		
f10_L8	13	72	M	71	
f10_L8	14	£	H		
f10_L9	1	41	H		
f10_L9	2	17	H		
f10_L9	3	66	H		
f10_L9	4	d	H		
f10_L9	5	mm	H		
f10_L9	6	_7	H		
f10_L9	7	q'	H		
f10_L9	8	d	H		
f10_L9	9	tt	H		
f10_L9	10	mm	H		
f10_L9	11	_3	H		
f10_L9	12	I	H		
f10_L10	1	_21	H		
f10_L10	2	_o	H		
f10_L10	3	I	H		
f10_L10	4	31	H		
f10_L10	5	11	H		
f10_L10	6	Z	H		
f10_L10	7	_7	H		
f10_L10	8	60	H		
f10_L10	9	23	H		
f10_L10	10	_13	H		
f10_L10	11	4	H		
f10_L11	1	51	H		
f10_L11	2	db	H		
f10_L11	3	mm	H		
f10_L11	4	31	H		
f10_L11	5	tt	H		
f10_L11	6	mm	H		
f10_L11	7	_18	H		
f10_L11	8	db	H		
f10_L11	9	m	H		
f10_L11	10	θ	H		
f10_L11	11	_43	H		
f10_L11	12	[PLAIN:et de]	H		clear French
f10_L12	1	[PLAIN:nestre point surpris]	H		clear French
f10_L12	2	d	H		
f10_L12	3	_o	H		
f10_L12	4	I	H		
f10_L12	5	61	H		
f10_L12	6	tt	H		
f10_L12	7	m	H		
f10_L12	8	tt	H		
f10_L13	1	_19	H		
f10_L13	2	_10	H		
f10_L13	3	db	H		
f10_L13	4	31	H		
f10_L13	5	tt	H		
f10_L13	6	_6	H		
f10_L13	7	61	H		
f10_L13	8	tt	H		
f10_L13	9	15	M		one dot over the 1
f10_L13	10	64	H		
f10_L13	11	q'	H		
f10_L13	12	£	H		
f10_L13	13	¨4	H		
f10_L14	1	38	H		
f10_L14	2	db	H		
f10_L14	3	71	H		
f10_L14	4	_13	H		
f10_L14	5	db	H		
f10_L14	6	mm	H		
f10_L14	7	_6	H		
f10_L14	8	m‡	H		
f10_L14	9	61	H		
f10_L14	10	m	H		
f10_L14	11	11	H		
f10_L14	12	_10	H		
f10_L14	13	60	H		
f10_L15	1	11	H		
f10_L15	2	4	H		
f10_L15	3	_23	H		
f10_L15	4	_12	H		
f10_L15	5	_21	H		dot before it
f10_L15	6	d	H		
f10_L15	7	db	H		
f10_L15	8	_22	H		
f10_L15	9	d	H		
f10_L15	10	_11	H		
f10_L15	11	_38	H		
f10_L15	12	61	H		
f10_L16	1	_o	H		
f10_L16	2	q'	H		
f10_L16	3	tt	H		
f10_L16	4	d	H		
f10_L16	5	mm	H		
f10_L16	6	_19	H		
f10_L16	7	I	H		
f10_L16	8	61	H		
f10_L16	9	tt	H		
f10_L16	10	23	H		
f10_L16	11	_12	H		
f10_L16	12	mm	H		
f10_L17	1	36	H		
f10_L17	2	62	H		
f10_L17	3	db	H		
f10_L17	4	40	H		
f10_L17	5	db	H		
f10_L17	6	_21	H		
f10_L17	7	[PLAIN:selon touttes sortes]	H		clear French
f10_L18	1	[PLAIN:dapparences nous aurons dans ce jour de ce]	H		clear French
