folio	line	pos	value	grade	reason
f129	L03	17	qu	C	f.68r "qu" = alternate key_1659 attests (modal "ques")
f129	L03	18	el	C	f.68r "el" = alternate key_1659 attests (modal "l")
f129	L03	19	le	C	f.68r agrees with key_1659
f129	L03	20	s	C	f.68r agrees with key_1659
f129	L04	1	i	C	f.68r "i" = alternate key_1659 attests (modal "oi")
f129	L04	2	l	C	f.68r agrees with key_1659
f129	L04	3	i	C	f.68r "i" = alternate key_1659 attests (modal "oi")
f129	L04	4	m	C	f.68r agrees with key_1659
f129	L04	5	po	M	f.68r has "po", key_1659 "q"
f129	L04	6	r	C	f.68r agrees with key_1659
f129	L04	7	te	C	f.68r agrees with key_1659
f129	L04	8	r	C	f.68r agrees with key_1659
f129	L04	9	oi	C	f.68r agrees with key_1659
f129	L04	10	t	C	f.68r agrees with key_1659
f129	L04	11	fo	C	code not in key_1659; f.68r gives "fo" at all 2 occurrences
f129	L04	12	r	C	f.68r agrees with key_1659
f129	L04	13	t	C	f.68r agrees with key_1659
f129	L04	14	de	M	conf M group; f.68r agrees with key_1659
f129	L04	15	s	C	f.68r agrees with key_1659
f129	L04	16	t	C	f.68r agrees with key_1659
f129	L04	17	re	C	f.68r agrees with key_1659
f129	L04	18	e	C	f.68r agrees with key_1659
f129	L04	19	s	C	f.68r agrees with key_1659
f129	L04	20	c	C	f.68r agrees with key_1659
f129	L04	21	la	C	f.68r agrees with key_1659
f129	L05	1	i	C	f.68r "i" = alternate key_1659 attests (modal "oi")
f129	L05	2	r	M	f.68r has "r", key_1659 "s"
f129	L05	3	c	C	f.68r agrees with key_1659
f129	L05	4	y	C	f.68r agrees with key_1659
f129	L05	5	s	C	f.68r agrees with key_1659
f129	L05	6	a	C	f.68r agrees with key_1659
f129	L05	7	v	C	f.68r agrees with key_1659
f129	L05	8	oi	C	f.68r agrees with key_1659
f129	L05	9	r	C	f.68r agrees with key_1659
f129	L05	10	qu	C	f.68r "qu" = alternate key_1659 attests (modal "ques")
f129	L05	11	la	C	f.68r agrees with key_1659
f129	L05	12	ff	C	f.68r "ff" = alternate key_1659 attests (modal "f")
f129	L05	13	e	C	f.68r agrees with key_1659
f129	L05	14	c	C	f.68r agrees with key_1659
f129	L05	15	t	C	f.68r agrees with key_1659
f129	L05	16	i	C	f.68r agrees with key_1659
f129	L05	17	on	C	f.68r "on" = alternate key_1659 attests (modal "n")
f129	L05	18	du	C	f.68r agrees with key_1659
f129	L05	19	fi	C	f.68r agrees with key_1659
f129	L05	20	l	C	f.68r agrees with key_1659
f129	L05	21	s	C	f.68r "s" = alternate key_1659 attests (modal "je")
f129	L06	1	a	M	f.68r has "a", key_1659 "qu"
f129	L06	2	le	C	f.68r agrees with key_1659
f129	L06	3	n	C	f.68r agrees with key_1659
f129	L06	4	d	M	f.68r has "d", key_1659 "e"
f129	L06	5	r	M	f.68r has "r", key_1659 "si"
f129	L06	6	oi	C	f.68r agrees with key_1659
f129	L06	7	t	C	f.68r agrees with key_1659
f129	L06	8	de	M	conf M group; f.68r agrees with key_1659
f129	L06	9	la	C	f.68r agrees with key_1659
f129	L06	10	me	C	f.68r agrees with key_1659
f129	L06	11	re	C	f.68r agrees with key_1659
f129	L06	12	n	C	f.68r agrees with key_1659
f129	L06	13	e	C	f.68r agrees with key_1659
f129	L06	14	s	C	f.68r agrees with key_1659
f129	L06	15	t	C	f.68r agrees with key_1659
f129	L06	16	p	C	f.68r "p" = alternate key_1659 attests (modal "pr")
f129	L06	17	lu	C	f.68r agrees with key_1659
f129	L06	18	s	C	f.68r agrees with key_1659
f129	L06	19	si	C	f.68r agrees with key_1659
f129	L06	20	gr	M	f.68r has "gr", key_1659 "gn"
f129	L06	21	a	M	f.68r has "a", key_1659 "st"
f129	L07	1	n	C	f.68r agrees with key_1659
f129	L07	2	de	M	conf M group; f.68r agrees with key_1659
f129	L07	3	qua	M	f.68r has "qua", key_1659 "estr"
f129	L07	4	u	C	f.68r "u" = alternate key_1659 attests (modal "ou")
f129	L07	5	pa	M	conf M group; f.68r agrees with key_1659
f129	L07	6	s	C	f.68r agrees with key_1659
f129	L07	7	se	C	f.68r agrees with key_1659
f129	L07	9	e	C	f.68r agrees with key_1659
f129	L07	10	t	C	f.68r agrees with key_1659
f129	L07	11	qu	M	conf M group; f.68r "qu" = alternate key_1659 attests (modal "ques")
f129	L07	12	M.	M	conf M group; f.68r agrees with key_1659
f129	L07	13	se	M	conf M group; f.68r agrees with key_1659
f129	L07	14	r	C	f.68r agrees with key_1659
f129	L07	15	oi	C	f.68r agrees with key_1659
f129	L07	16	t	C	f.68r agrees with key_1659
f129	L07	17	e	C	f.68r agrees with key_1659
f129	L07	18	n	C	f.68r agrees with key_1659
f129	L07	19	quelque	M	conf M group; code not in key_1659; f.68r gives "quelque" at all 2 occurrences
f129	L07	20	pe	C	f.68r agrees with key_1659
f129	L07	21	n	C	f.68r agrees with key_1659
f129	L07	22	se	M	conf M group; f.68r agrees with key_1659
f129	L07	23	e	C	f.68r agrees with key_1659
f129	L08	1	de	M	conf M group; f.68r agrees with key_1659
f129	L08	2	se	M	conf M group; f.68r agrees with key_1659
f129	L08	3	re	C	f.68r agrees with key_1659
f129	L08	4	ti	C	f.68r "ti" = alternate key_1659 attests (modal "t")
f129	L08	5	re	C	f.68r agrees with key_1659
f129	L08	6	r	C	f.68r agrees with key_1659
f129	L08	7	du	M	conf M group; f.68r agrees with key_1659
f129	L08	8	ma	M	f.68r has "ma", key_1659 "ar"
f129	L08	9	ni	C	code not in key_1659; f.68r gives "ni" at all 2 occurrences
f129	L08	10	e	C	f.68r agrees with key_1659
f129	L08	11	me	C	f.68r agrees with key_1659
f129	L08	12	n	C	f.68r agrees with key_1659
f129	L08	13	t	C	f.68r agrees with key_1659
f129	L08	14	de	M	conf M group; f.68r agrees with key_1659
f129	L08	15	s	C	f.68r agrees with key_1659
f129	L08	16	af	M	f.68r has "af", key_1659 "le"
f129	L08	17	fa	C	f.68r agrees with key_1659
f129	L08	18	i	C	f.68r "i" = alternate key_1659 attests (modal "oi")
f129	L08	19	re	C	f.68r agrees with key_1659
f129	L08	20	s	C	f.68r agrees with key_1659
f129	L09	2	c	C	f.68r agrees with key_1659
f129	L09	3	ra	M	f.68r has "ra", key_1659 "st"
f129	L09	4	i	C	f.68r "i" = alternate key_1659 attests (modal "oi")
f129	L09	5	n	C	f.68r agrees with key_1659
f129	L09	6	t	C	f.68r agrees with key_1659
f129	L09	7	q	C	f.68r agrees with key_1659
f129	L09	8	uil	C	f.68r "uil" = alternate key_1659 attests (modal "l")
f129	L09	9	ar	M	f.68r has "ar", key_1659 "qu"
f129	L09	10	r	C	f.68r agrees with key_1659
f129	L09	11	i	C	f.68r agrees with key_1659
f129	L09	12	va	C	code not in key_1659; f.68r gives "va" at all 1 occurrences
f129	L09	13	s	C	f.68r agrees with key_1659
f129	L09	14	t	C	f.68r agrees with key_1659
f129	L10	1	u	C	f.68r "u" = alternate key_1659 attests (modal "ou")
f129	L10	2	n	C	f.68r agrees with key_1659
f129	L10	3	se	M	f.68r has "se", key_1659 "l"
f129	L10	4	m	C	f.68r agrees with key_1659
f129	L10	5	b	C	f.68r agrees with key_1659
f129	L10	6	la	C	f.68r agrees with key_1659
f129	L10	7	b	C	f.68r agrees with key_1659
f129	L10	8	le	C	f.68r agrees with key_1659
f129	L10	9	c	C	f.68r agrees with key_1659
f129	L10	11	ha	C	f.68r agrees with key_1659
f129	L10	12	n	C	f.68r agrees with key_1659
f129	L10	13	ge	C	f.68r agrees with key_1659
f129	L10	14	me	C	f.68r agrees with key_1659
f129	L10	15	n	C	f.68r agrees with key_1659
f129	L10	16	t	C	f.68r agrees with key_1659
f129	L10	17	n	C	f.68r agrees with key_1659
f129	L10	18	ou	C	f.68r agrees with key_1659
f129	L10	19	s	C	f.68r agrees with key_1659
f129	L10	20	a	M	f.68r has "a", key_1659 "qu"
f129	L10	21	u	C	f.68r "u" = alternate key_1659 attests (modal "ou")
f129	L10	22	i	C	f.68r agrees with key_1659
f129	L10	23	0	C	f.68r "0" = alternate key_1659 attests (modal "i")
f129	L11	1	on	C	f.68r "on" = alternate key_1659 attests (modal "n")
f129	L11	2	s	C	f.68r agrees with key_1659
f129	L11	3	de	M	conf M group; f.68r agrees with key_1659
f129	L11	4	s	C	f.68r agrees with key_1659
f129	L11	5	me	C	f.68r agrees with key_1659
f129	L11	6	su	C	f.68r agrees with key_1659
f129	L11	7	re	C	f.68r agrees with key_1659
f129	L11	8	s	C	f.68r agrees with key_1659
f129	L11	9	a	M	f.68r has "a", key_1659 "qu"
f129	L11	10	p	C	f.68r "p" = alternate key_1659 attests (modal "pr")
f129	L11	11	re	M	conf M group; f.68r agrees with key_1659
f129	L11	12	n	C	f.68r agrees with key_1659
f129	L11	13	d	M	f.68r has "d", key_1659 "e"
f129	L11	14	re	M	conf M group; f.68r agrees with key_1659
f129	L11	15	a	M	conf M group; f.68r agrees with key_1659
f129	L11	16	le	M	conf M group; f.68r agrees with key_1659
f129	L11	17	duc	M	conf M group; code not in key_1659; f.68r gives "duc" at all 3 occurrences
f129	L11	19	e	M	conf M group; f.68r agrees with key_1659
f129	L11	20	t	M	conf M group; f.68r agrees with key_1659
f129	L11	21	qu	M	conf M group; f.68r "qu" = alternate key_1659 attests (modal "ques")
f129	L11	22	el	M	conf M group; f.68r "el" = alternate key_1659 attests (modal "l")
f129	L11	23	s	M	conf M group; f.68r agrees with key_1659
f129	L11	24	oi	M	conf M group; f.68r agrees with key_1659
f129	L11	25	n	M	conf M group; f.68r agrees with key_1659
f129	L12	1	qu	C	f.68r "qu" = alternate key_1659 attests (modal "ques")
f129	L12	2	le	C	f.68r agrees with key_1659
f129	L12	3	fi	C	f.68r agrees with key_1659
f129	L12	4	l	C	f.68r agrees with key_1659
f129	L12	5	z	C	f.68r "z" = alternate key_1659 attests (modal "je")
f129	L12	7	e	C	f.68r agrees with key_1659
f129	L12	8	t	C	f.68r agrees with key_1659
f129	L12	9	la	C	f.68r agrees with key_1659
f129	L12	10	me	C	f.68r agrees with key_1659
f129	L12	11	re	M	conf M group; f.68r agrees with key_1659
f129	L12	13	me	C	f.68r agrees with key_1659
f129	L12	14	s	C	f.68r agrees with key_1659
f129	L12	15	me	C	f.68r agrees with key_1659
f129	L12	16	le	C	f.68r agrees with key_1659
f129	L12	17	u	C	f.68r "u" = alternate key_1659 attests (modal "ou")
f129	L12	18	r	C	f.68r agrees with key_1659
f129	L12	19	s	C	f.68r agrees with key_1659
f129	L12	20	pr	C	f.68r agrees with key_1659
f129	L12	21	i	C	f.68r agrees with key_1659
f129	L12	22	n	C	f.68r agrees with key_1659
f129	L12	23	ci	M	conf M group; code not in key_1659; f.68r gives "ci" at all 1 occurrences
f129	L12	24	pa	C	f.68r agrees with key_1659
f129	L13	1	u	C	f.68r "u" = alternate key_1659 attests (modal "ou")
f129	L13	2	x	C	f.68r agrees with key_1659
f129	L13	3	mi	C	code not in key_1659; f.68r gives "mi" at all 1 occurrences
f129	L13	4	ni	C	code not in key_1659; f.68r gives "ni" at all 2 occurrences
f129	L13	5	s	C	f.68r agrees with key_1659
f129	L13	6	t	C	f.68r agrees with key_1659
f129	L13	7	re	C	f.68r agrees with key_1659
f129	L13	8	s	C	f.68r agrees with key_1659
f129	L13	9	pr	C	f.68r agrees with key_1659
f129	L13	10	i	C	f.68r agrees with key_1659
f129	L13	11	s	C	f.68r agrees with key_1659
f129	L13	12	se	C	f.68r agrees with key_1659
f129	L13	13	n	C	f.68r agrees with key_1659
f129	L13	14	t	C	f.68r agrees with key_1659
f129	L13	15	de	M	conf M group; f.68r agrees with key_1659
f129	L13	16	ca	C	f.68r agrees with key_1659
f129	L13	17	c	C	f.68r agrees with key_1659
f129	L13	18	he	M	code not in key_1659; f.68r gives {'he': 1, 'h': 1}
f129	L13	19	r	M	conf M group; f.68r agrees with key_1659
f129	L13	20	ce	M	conf M group; f.68r agrees with key_1659
f129	L13	21	t	C	f.68r agrees with key_1659
f129	L14	1	te	C	f.68r agrees with key_1659
f129	L14	2	me	C	f.68r agrees with key_1659
f129	L14	3	s	C	f.68r agrees with key_1659
f129	L14	4	i	C	f.68r "i" = alternate key_1659 attests (modal "oi")
f129	L14	5	n	C	f.68r agrees with key_1659
f129	L14	6	te	C	f.68r agrees with key_1659
f129	L14	7	ll	C	f.68r "ll" = alternate key_1659 attests (modal "l")
f129	L14	8	i	C	f.68r agrees with key_1659
f129	L14	9	ge	C	f.68r agrees with key_1659
f129	L14	10	n	C	f.68r agrees with key_1659
f129	L14	11	ce	C	f.68r agrees with key_1659
f129	L14	12	i	C	f.68r "i" = alternate key_1659 attests (modal "oi")
f129	L14	13	l	C	f.68r agrees with key_1659
f129	L14	14	ne	C	f.68r agrees with key_1659
f129	L14	15	se	C	f.68r agrees with key_1659
f129	L14	16	r	C	f.68r agrees with key_1659
f129	L14	17	oi	C	f.68r agrees with key_1659
f129	L14	18	t	C	f.68r agrees with key_1659
f129	L14	19	pa	C	f.68r agrees with key_1659
f129	L14	20	s	C	f.68r agrees with key_1659
f129	L15	1	po	M	f.68r has "po", key_1659 "q"
f129	L15	2	s	C	f.68r agrees with key_1659
f129	L15	3	si	C	f.68r agrees with key_1659
f129	L15	4	b	C	f.68r agrees with key_1659
f129	L15	5	le	C	f.68r agrees with key_1659
f129	L15	6	qu	M	conf M group; f.68r "qu" = alternate key_1659 attests (modal "ques")
f129	L15	7	v	C	f.68r agrees with key_1659
f129	L15	8	ou	C	f.68r agrees with key_1659
f129	L15	9	s	C	f.68r agrees with key_1659
f129	L15	10	ne	C	f.68r agrees with key_1659
f129	L15	11	n	C	f.68r agrees with key_1659
f129	L15	12	e	C	f.68r agrees with key_1659
f129	L15	13	u	C	f.68r "u" = alternate key_1659 attests (modal "ou")
f129	L15	14	s	C	f.68r agrees with key_1659
f129	L15	15	si	C	f.68r agrees with key_1659
f129	L15	16	e	C	f.68r agrees with key_1659
f129	L15	17	z	C	f.68r "z" = alternate key_1659 attests (modal "je")
f129	L15	18	c	M	conf M group; f.68r agrees with key_1659
f129	L15	19	on	C	f.68r "on" = alternate key_1659 attests (modal "n")
f129	L15	20	n	C	f.68r agrees with key_1659
f129	L15	21	oi	C	f.68r agrees with key_1659
f129	L15	22	s	C	f.68r agrees with key_1659
f129	L16	1	sa	M	f.68r has "sa", key_1659 "oi"
f129	L16	2	n	C	f.68r agrees with key_1659
f129	L16	3	ce	M	conf M group; f.68r agrees with key_1659
f129	L16	5	q	C	f.68r agrees with key_1659
f129	L16	6	uia	M	f.68r has "uia", key_1659 "qu"
f129	L16	7	ve	C	f.68r agrees with key_1659
f129	L16	8	z	C	f.68r "z" = alternate key_1659 attests (modal "je")
f129	L16	9	a	M	f.68r has "a", key_1659 "qu"
f129	L16	10	u	C	f.68r "u" = alternate key_1659 attests (modal "ou")
f129	L16	11	s	C	f.68r agrees with key_1659
f129	L16	12	s	C	f.68r agrees with key_1659
f129	L16	13	y	C	f.68r agrees with key_1659
f129	L16	14	a	M	f.68r has "a", key_1659 "qu"
f129	L16	15	p	M	f.68r has "p", key_1659 "qu"
f129	L16	16	p	C	f.68r "p" = alternate key_1659 attests (modal "pr")
f129	L16	17	l	M	f.68r has "l", key_1659 "pr"
f129	L16	18	i	C	f.68r agrees with key_1659
f129	L16	19	qu	M	conf M group; f.68r "qu" = alternate key_1659 attests (modal "ques")
f129	L16	20	et	M	f.68r has "et", key_1659 "r"
f129	L16	21	o	C	f.68r agrees with key_1659
f129	L16	22	u	C	f.68r "u" = alternate key_1659 attests (modal "ou")
f129	L16	23	s	C	f.68r agrees with key_1659
f130a	L01	1	vo	C	f.68r "vo" = alternate key_1659 attests (modal "v")
f130a	L01	2	s	C	f.68r "s" = alternate key_1659 attests (modal "je")
f130a	L01	3	s	C	f.68r agrees with key_1659
f130a	L01	4	oi	C	f.68r agrees with key_1659
f130a	L01	5	n	C	f.68r agrees with key_1659
f130a	L01	6	s	C	f.68r agrees with key_1659
f130a	L01	7	a	M	f.68r has "a", key_1659 "qu"
f130a	L01	8	pe	C	f.68r agrees with key_1659
f130a	L01	9	ne	C	f.68r agrees with key_1659
f130a	L01	10	t	C	f.68r agrees with key_1659
f130a	L01	11	re	C	f.68r agrees with key_1659
f130a	L01	12	r	C	f.68r agrees with key_1659
f130a	L01	13	qu	C	f.68r "qu" = alternate key_1659 attests (modal "ques")
f130a	L01	14	el	C	f.68r "el" = alternate key_1659 attests (modal "l")
f130a	L01	15	le	C	f.68r agrees with key_1659
f130a	L01	16	pe	C	f.68r agrees with key_1659
f130a	L01	17	u	C	f.68r "u" = alternate key_1659 attests (modal "ou")
f130a	L01	18	t	C	f.68r agrees with key_1659
f130a	L01	19	e	C	f.68r agrees with key_1659
f130a	L01	20	s	C	f.68r agrees with key_1659
f130a	L02	1	i	C	f.68r agrees with key_1659
f130a	L02	2	n	C	f.68r agrees with key_1659
f130a	L02	3	cl	M	f.68r has "cl", key_1659 "fi"
f130a	L02	4	i	C	f.68r agrees with key_1659
f130a	L02	5	a	C	f.68r agrees with key_1659
f130a	L02	6	t	C	f.68r agrees with key_1659
f130a	L02	7	i	C	f.68r agrees with key_1659
f130a	L02	8	on	C	f.68r "on" = alternate key_1659 attests (modal "n")
f130a	L02	9	du	M	conf M group; code not in key_1659; f.68r gives "du" at all 1 occurrences
f130a	L02	10	duc	C	code not in key_1659; f.68r gives "duc" at all 3 occurrences
f130a	L02	11	p	M	conf M group; f.68r agrees with key_1659
f130a	L02	12	ou	C	f.68r agrees with key_1659
f130a	L02	13	r	C	f.68r agrees with key_1659
f130a	L02	14	se	C	f.68r agrees with key_1659
f130a	L02	15	ma	M	f.68r has "ma", key_1659 "ar"
f130a	L02	16	i	C	f.68r agrees with key_1659
f130a	L02	17	e	M	conf M group; f.68r agrees with key_1659
f130a	L02	18	r	M	conf M group; f.68r agrees with key_1659
f130a	L03	1	ou	C	f.68r agrees with key_1659
f130a	L03	2	r	M	f.68r has "r", key_1659 "s"
f130a	L03	3	la	C	f.68r agrees with key_1659
f130a	L03	4	pe	C	f.68r agrees with key_1659
f130a	L03	5	r	M	f.68r has "r", key_1659 "e"
f130a	L03	6	s	C	f.68r agrees with key_1659
f130a	L03	7	on	C	f.68r "on" = alternate key_1659 attests (modal "n")
f130a	L03	8	ne	C	f.68r agrees with key_1659
f130a	L03	10	e	C	f.68r agrees with key_1659
f130a	L03	11	t	C	f.68r agrees with key_1659
f130a	L03	12	po	M	f.68r has "po", key_1659 "q"
f130a	L03	13	u	C	f.68r "u" = alternate key_1659 attests (modal "ou")
f130a	L03	14	r	C	f.68r agrees with key_1659
f130a	L03	15	le	C	f.68r agrees with key_1659
f130a	L03	16	te	C	f.68r agrees with key_1659
f130a	L03	17	m	C	f.68r agrees with key_1659
f130a	L03	18	p	C	f.68r "p" = alternate key_1659 attests (modal "pr")
f130a	L03	19	s	C	f.68r agrees with key_1659
f130a	L03	21	e	M	conf M group; f.68r agrees with key_1659
f130a	L04	1	ce	M	conf M group; f.68r agrees with key_1659
f130a	L04	2	s	C	f.68r agrees with key_1659
f130a	L04	3	t	C	f.68r agrees with key_1659
f130a	L04	4	avec	C	code not in key_1659; f.68r gives "avec" at all 1 occurrences
f130a	L04	5	quelque	M	conf M group; code not in key_1659; f.68r gives "quelque" at all 2 occurrences
f130a	L04	6	fo	C	code not in key_1659; f.68r gives "fo" at all 2 occurrences
f130a	L04	7	n	C	f.68r agrees with key_1659
f130a	L04	8	de	C	f.68r agrees with key_1659
f130a	L04	9	me	C	f.68r agrees with key_1659
f130a	L04	10	n	C	f.68r agrees with key_1659
f130a	L04	11	t	C	f.68r agrees with key_1659
f130a	L04	12	qu	C	f.68r "qu" = alternate key_1659 attests (modal "ques")
f130a	L04	13	lo	C	code not in key_1659; f.68r gives "lo" at all 1 occurrences
f130a	L04	14	n	C	f.68r agrees with key_1659
f130a	L04	15	pu	C	f.68r agrees with key_1659
f130a	L04	16	b	C	f.68r agrees with key_1659
f130a	L04	17	i	C	f.68r agrees with key_1659
f130a	L04	18	e	M	conf M group; f.68r agrees with key_1659
f130a	L05	1	quema	M	f.68r has "quema", key_1659 "ar"
f130a	L05	2	da	C	f.68r agrees with key_1659
f130a	L05	3	mo	C	code not in key_1659; f.68r gives "mo" at all 2 occurrences
f130a	L05	4	i	C	f.68r "i" = alternate key_1659 attests (modal "oi")
f130a	L05	5	se	C	f.68r agrees with key_1659
f130a	L05	6	l	C	f.68r agrees with key_1659
f130a	L05	7	le	C	f.68r agrees with key_1659
f130a	L05	8	a	M	f.68r has "a", key_1659 "qu"
f130a	L05	9	re	C	f.68r agrees with key_1659
f130a	L05	10	n	C	f.68r agrees with key_1659
f130a	L05	11	du	C	f.68r agrees with key_1659
f130a	L05	12	t	C	f.68r agrees with key_1659
f130a	L05	13	re	C	f.68r agrees with key_1659
f130a	L05	14	s	C	f.68r agrees with key_1659
f130a	L05	15	ma	M	f.68r has "ma", key_1659 "ar"
f130a	L05	16	u	C	f.68r "u" = alternate key_1659 attests (modal "ou")
f130a	L05	17	va	C	code not in key_1659; f.68r gives "va" at all 1 occurrences
f130a	L05	18	i	C	f.68r "i" = alternate key_1659 attests (modal "oi")
f130a	L06	1	so	M	f.68r has "so", key_1659 "i"
f130a	L06	2	f	M	conf M group; f.68r agrees with key_1659
f130a	L06	3	fi	C	f.68r agrees with key_1659
f130a	L06	4	ce	C	f.68r agrees with key_1659
f130a	L06	5	a	M	f.68r has "a", key_1659 "qu"
f130a	L06	6	ma	M	f.68r has "ma", key_1659 "ar"
f130a	L06	7	da	C	f.68r agrees with key_1659
f130a	L06	8	mo	C	code not in key_1659; f.68r gives "mo" at all 2 occurrences
f130a	L06	9	i	C	f.68r "i" = alternate key_1659 attests (modal "oi")
f130a	L06	10	se	C	f.68r agrees with key_1659
f130a	L06	11	l	C	f.68r agrees with key_1659
f130a	L06	12	le	C	f.68r agrees with key_1659
f130a	L06	13	d	C	f.68r agrees with key_1659
f130a	L06	14	r	C	f.68r agrees with key_1659
f130a	L06	15	le	C	f.68r agrees with key_1659
f130a	L06	16	a	M	f.68r has "a", key_1659 "qu"
f130a	L06	17	n	C	f.68r agrees with key_1659
f130a	L07	1	ssa	M	f.68r has "ssa", key_1659 "oi"
f130a	L07	2	s	C	f.68r agrees with key_1659
f130a	L07	3	oe	C	f.68r "oe" = alternate key_1659 attests (modal "e")
f130a	L07	4	u	C	f.68r "u" = alternate key_1659 attests (modal "ou")
f130a	L07	5	r	C	f.68r agrees with key_1659
f130b	L01	2	qu	C	f.68r "qu" = alternate key_1659 attests (modal "ques")
f130b	L01	3	ce	C	f.68r agrees with key_1659
f130b	L01	4	q	C	f.68r agrees with key_1659
f130b	L01	5	ui	C	f.68r "ui" = alternate key_1659 attests (modal "l")
f130b	L01	6	di	C	f.68r agrees with key_1659
f130b	L01	7	t	C	f.68r agrees with key_1659
f130b	L01	8	de	M	conf M group; f.68r agrees with key_1659
f130b	L01	9	la	C	f.68r agrees with key_1659
f130b	L01	10	me	C	f.68r agrees with key_1659
f130b	L01	11	s	C	f.68r agrees with key_1659
f130b	L01	12	i	C	f.68r "i" = alternate key_1659 attests (modal "oi")
f130b	L01	13	n	C	f.68r agrees with key_1659
f130b	L01	14	e	C	f.68r "e" = alternate key_1659 attests (modal "re")
f130b	L02	1	i	C	f.68r agrees with key_1659
f130b	L02	2	ge	C	f.68r agrees with key_1659
f130b	L02	3	n	C	f.68r agrees with key_1659
f130b	L02	4	ce	C	f.68r agrees with key_1659
f130b	L02	5	de	M	conf M group; f.68r agrees with key_1659
f130b	L02	6	n	C	f.68r agrees with key_1659
f130b	L02	7	t	C	f.68r agrees with key_1659
f130b	L02	8	re	C	f.68r agrees with key_1659
f130b	L02	9	le	C	f.68r agrees with key_1659
f130b	L02	10	fi	C	f.68r agrees with key_1659
f130b	L02	11	l	C	f.68r agrees with key_1659
f130b	L02	12	s	C	f.68r "s" = alternate key_1659 attests (modal "je")
f130b	L02	13	e	C	f.68r agrees with key_1659
f130b	L02	14	t	C	f.68r agrees with key_1659
f130b	L02	15	la	C	f.68r agrees with key_1659
f130b	L02	16	me	C	f.68r agrees with key_1659
f130b	L02	17	re	C	f.68r agrees with key_1659
f130b	L03	1	oi	C	f.68r agrees with key_1659
f130b	L03	2	t	C	f.68r agrees with key_1659
f130b	L03	3	ve	M	conf M group; f.68r agrees with key_1659
f130b	L03	4	i	C	f.68r agrees with key_1659
f130b	L03	5	ta	C	f.68r agrees with key_1659
f130b	L03	6	b	C	f.68r agrees with key_1659
f130b	L03	7	le	C	f.68r agrees with key_1659
f130b	L03	8	si	C	f.68r agrees with key_1659
f130b	L03	9	le	C	f.68r agrees with key_1659
f130b	L03	10	ma	M	f.68r has "ma", key_1659 "ar"
f130b	L03	11	r	C	f.68r agrees with key_1659
f130b	L03	12	q	C	f.68r agrees with key_1659
f130b	L03	13	s	C	f.68r agrees with key_1659
f130b	L03	14	de	C	f.68r agrees with key_1659
f130b	L03	15	pi	C	code not in key_1659; f.68r gives "pi" at all 1 occurrences
f130b	L03	16	a	M	f.68r has "a", key_1659 "qu"
f130b	L03	17	ne	C	f.68r agrees with key_1659
f130b	L03	18	s	C	f.68r "s" = alternate key_1659 attests (modal "je")
f130b	L04	1	de	C	f.68r agrees with key_1659
f130b	L04	2	me	C	f.68r agrees with key_1659
f130b	L04	3	u	C	f.68r "u" = alternate key_1659 attests (modal "ou")
