folio	line	pos	group	conf	value	grade
f129	L14	9	46	H	ge	M
f129	L14	10	18	H	n	M
f129	L14	11	31	H	ce	S
f129	L14	12	15	H	oi	M
f129	L14	13	16	H	l	M
f129	L14	14	71	H	ne	M
f129	L14	15	_16	H	se	M
f129	L14	16	_13	H	r	M
f129	L14	17	15	H	oi	M
f129	L14	18	19	H	t	M
f129	L14	19	_0	H	pa	M
f129	L14	20	20	H	s	S
f129	L15	1	_7	H	q	M
f129	L15	2	20	H	s	S
f129	L15	3	_17	H	si	S
f129	L15	4	5	H	b	M
f129	L15	5	61	H	le	S
f129	L15	6	_6	M	ques	M
f129	L15	7	_28	H	v	M
f129	L15	8	7	H	ou	M
f129	L15	9	20	H	s	S
f129	L15	10	71	H	ne	M
f129	L15	11	18	H	n	M
f129	L15	12	2	H	e	M
f129	L15	13	7	H	ou	M
f129	L15	14	20	H	s	S
f129	L15	15	_17	H	si	S
f129	L15	16	2	H	e	M
f129	L15	17	10	H	je	M
f129	L15	18	33	M	c	M
f129	L15	19	18	H	n	M
f129	L15	20	73	H	n	S
f129	L15	21	15	H	oi	M
f129	L15	22	20	H	s	S
f129	L16	1	15	H	oi	M
f129	L16	2	18	H	n	M
f129	L16	3	31	M	ce	M
f129	L16	5	_7	H	q	M
f129	L16	6	6	H	qu	S
f129	L16	7	_26	H	ve	M
f129	L16	8	10	H	je	M
f129	L16	9	6	H	qu	S
f129	L16	10	7	H	ou	M
f129	L16	11	20	H	s	M
f129	L16	12	20	H	s	M
f129	L16	13	9	H	y	M
f129	L16	14	6	H	qu	M
f129	L16	15	6	H	qu	M
f129	L16	16	23	H	pr	M
f129	L16	17	23	H	pr	M
f129	L16	18	62	H	i	M
f129	L16	19	_6	M	ques	M
f129	L16	20	21	H	r	M
f129	L16	21	_23	H	o	M
f129	L16	22	7	H	ou	M
f129	L16	23	20	H	s	S
f130a	L01	1	_28	H	v	M
f130a	L01	2	10	H	je	M
f130a	L01	3	_18	H	s	S
f130a	L01	4	15	H	oi	M
f130a	L01	5	18	H	n	M
f130a	L01	6	20	H	s	S
f130a	L01	7	6	H	qu	M
f130a	L01	8	_1	H	pe	S
f130a	L01	9	71	H	ne	M
f130a	L01	10	19	H	t	M
f130a	L01	11	_11	H	re	M
f130a	L01	12	21	H	r	M
f130a	L01	13	_6	H	ques	M
f130a	L01	14	16	H	l	M
f130a	L01	15	61	H	le	S
f130a	L01	16	_1	H	pe	M
f130a	L01	17	7	H	ou	M
f130a	L01	18	19	H	t	M
f130a	L01	19	2	H	e	M
f130a	L01	20	20	H	s	S
f130a	L02	1	62	H	i	M
f130a	L02	2	18	H	n	M
f130a	L02	3	42	H	fi	S
f130a	L02	4	62	H	i	M
f130a	L02	5	70	H	a	S
f130a	L02	6	_22	H	t	M
f130a	L02	7	24	H	i	M
f130a	L02	8	18	H	n	M
f130a	L02	9	79	M	?	U
f130a	L02	10	80	H	?	U
f130a	L02	11	_3	M	p	M
f130a	L02	12	7	H	ou	M
f130a	L02	13	21	H	r	M
f130a	L02	14	_16	H	se	M
f130a	L02	15	65	H	ar	M
f130a	L02	16	_12	H	i	S
f130a	L02	17	2	M	e	M
f130a	L02	18	21	M	r	M
f130a	L03	1	7	H	ou	M
f130a	L03	2	20	H	s	S
f130a	L03	3	60	H	la	M
f130a	L03	4	_1	H	pe	S
f130a	L03	5	2	H	e	M
f130a	L03	6	_18	H	s	M
f130a	L03	7	18	H	n	M
f130a	L03	8	71	H	ne	M
f130a	L03	10	2	H	e	M
f130a	L03	11	19	H	t	M
f130a	L03	12	_7	H	q	M
f130a	L03	13	7	H	ou	M
f130a	L03	14	21	H	r	M
f130a	L03	15	61	H	le	S
f130a	L03	16	_21	H	te	M
f130a	L03	17	17	H	m	M
f130a	L03	18	23	H	pr	M
f130a	L03	19	20	H	s	M
f130a	L03	21	2	M	e	M
f130a	L04	1	31	M	ce	M
f130a	L04	2	20	H	s	S
f130a	L04	3	19	H	t	M
f130a	L04	4	_70	H	?	U
f130a	L04	5	154	M	?	U
f130a	L04	6	43	H	fo	I
f130a	L04	7	18	H	n	M
f130a	L04	8	36	H	de	S
f130a	L04	9	66	H	me	S
f130a	L04	10	18	H	n	M
f130a	L04	11	19	H	t	M
f130a	L04	12	_6	H	ques	M
f130a	L04	13	63	H	lo	I
f130a	L04	14	18	H	n	M
f130a	L04	15	_4	H	pu	M
f130a	L04	16	5	H	b	M
f130a	L04	17	62	H	i	M
f130a	L04	18	2	M	e	M
f130a	L05	1	65	H	ar	M
f130a	L05	2	35	H	da	S
f130a	L05	3	68	H	mo	I
f130a	L05	4	15	H	oi	M
f130a	L05	5	_16	H	se	M
f130a	L05	6	16	H	l	M
f130a	L05	7	61	H	le	S
f130a	L05	8	6	H	qu	M
f130a	L05	9	_11	H	re	M
f130a	L05	10	18	H	n	M
f130a	L05	11	39	H	du	S
f130a	L05	12	19	H	t	M
f130a	L05	13	_11	H	re	M
f130a	L05	14	20	H	s	S
f130a	L05	15	65	H	ar	M
f130a	L05	16	7	H	ou	M
f130a	L05	17	_25	H	?	U
f130a	L05	18	15	H	oi	M
f130a	L06	1	24	H	i	M
f130a	L06	2	1	M	f	M
f130a	L06	3	42	H	fi	M
f130a	L06	4	31	H	ce	S
f130a	L06	5	6	H	qu	S
f130a	L06	6	65	H	ar	M
f130a	L06	7	35	H	da	S
f130a	L06	8	68	H	mo	I
f130a	L06	9	15	H	oi	M
f130a	L06	10	_16	H	se	M
f130a	L06	11	16	H	l	M
f130a	L06	12	61	H	le	S
f130a	L06	13	78	H	d	M
f130a	L06	14	21	H	r	M
f130a	L06	15	61	H	le	S
f130a	L06	16	6	H	qu	M
f130a	L06	17	18	H	n	M
f130a	L07	1	15	H	oi	M
f130a	L07	2	_18	H	s	S
f130a	L07	3	2	H	e	M
f130a	L07	4	7	H	ou	M
f130a	L07	5	21	H	r	M
f130a	L07	7	[PLAIN:Desja ie vous ay mandé ce qui s'est]	M	Desja ie vous ay mandé ce qui s'est	clear
f130b	L01	1	[PLAIN:presupposé]	H	presupposé	clear
f130b	L01	2	_6	H	ques	M
f130b	L01	3	31	H	ce	M
f130b	L01	4	_7	H	q	M
f130b	L01	5	16	H	l	M
f130b	L01	6	37	H	di	M
f130b	L01	7	19	H	t	M
f130b	L01	8	36	M	de	M
f130b	L01	9	60	H	la	M
f130b	L01	10	66	H	me	S
f130b	L01	11	20	H	s	S
f130b	L01	12	15	H	oi	M
f130b	L01	13	18	H	n	M
f130b	L01	14	_11	H	re	M
f130b	L02	1	62	H	i	M
f130b	L02	2	46	H	ge	M
f130b	L02	3	18	H	n	M
f130b	L02	4	31	H	ce	S
f130b	L02	5	36	M	de	M
f130b	L02	6	18	H	n	M
f130b	L02	7	19	H	t	M
f130b	L02	8	_11	H	re	M
f130b	L02	9	61	H	le	S
f130b	L02	10	42	H	fi	S
f130b	L02	11	16	H	l	M
f130b	L02	12	10	H	je	M
f130b	L02	13	2	H	e	M
f130b	L02	14	19	H	t	M
f130b	L02	15	60	H	la	M
f130b	L02	16	66	H	me	S
f130b	L02	17	_11	H	re	M
f130b	L03	1	15	H	oi	M
f130b	L03	2	19	H	t	M
f130b	L03	3	_26	M	ve	M
f130b	L03	4	_12	H	i	S
f130b	L03	5	_20	H	ta	M
f130b	L03	6	5	H	b	M
f130b	L03	7	61	H	le	S
f130b	L03	8	_17	H	si	M
f130b	L03	9	61	H	le	S
f130b	L03	10	65	H	ar	M
f130b	L03	11	21	H	r	M
f130b	L03	12	_7	H	q	M
f130b	L03	13	20	H	s	M
f130b	L03	14	36	H	de	M
f130b	L03	15	_2	H	?	U
f130b	L03	16	6	H	qu	M
f130b	L03	17	71	H	ne	M
f130b	L03	18	10	H	je	M
f130b	L04	1	36	H	de	M
f130b	L04	2	66	H	me	M
f130b	L04	3	7	H	ou	M
f130b	L04	4	_11	H	re	M
f130b	L04	5	_10	H	st	S
f130b	L04	6	4	H	c	M
f130b	L04	7	51	H	?	U
f130b	L04	8	2	H	e	M
f130b	L04	9	36	M	de	M
f130b	L04	10	20	H	s	S
f130b	L04	11	61	H	le	S
f130b	L04	12	1	H	f	M
f130b	L04	13	40	H	fa	M
f130b	L04	14	15	H	oi	M
f130b	L04	15	_11	H	re	M
f130b	L04	16	20	H	s	S
f130b	L04	17	24	H	i	M
f130b	L04	18	7	H	ou	M
f130b	L05	1	2	H	e	M
f130b	L05	2	18	H	n	M
f130b	L05	3	_19	H	su	S
f130b	L05	4	21	H	r	M
f130b	L05	5	_7	H	q	M
f130b	L05	6	61	H	le	M
f130b	L05	7	80	H	?	U
f130b	L05	8	_16	H	se	M
f130b	L05	9	10	H	je	M
f130b	L05	10	_7	H	q	M
f130b	L05	11	7	H	ou	M
f130b	L05	12	21	H	r	M
f130b	L05	13	_16	H	se	M
f130b	L05	14	18	H	n	M
f130b	L05	15	36	M	de	M
f130b	L05	16	4	H	c	M
f130b	L05	17	50	H	ha	S
f130b	L05	18	21	H	r	M
f130b	L06	1	21	H	r	M
f130b	L06	2	_8	H	qu	M
f130b	L06	3	18	H	n	M
f130b	L06	4	59	H	ju	M
f130b	L06	5	46	H	ge	S
f130b	L06	6	2	H	e	M
f130b	L06	7	18	H	n	M
f130b	L06	8	_1	H	pe	S
f130b	L06	9	18	H	n	M
f130b	L06	10	_16	H	se	M
f130b	L06	11	2	H	e	M
f130b	L06	12	23	H	pr	M
f130b	L06	13	64	H	lu	M
f130b	L06	14	20	H	s	S
f130b	L06	15	_23	H	o	M
f130b	L06	16	20	H	s	M
f130b	L06	17	19	H	t	M
f130b	L07	1	37	H	di	M
f130b	L07	2	_26	H	ve	M
f130b	L07	3	21	H	r	M
f130b	L07	4	_22	H	t	M
f130b	L07	5	21	H	r	M
f130b	L07	6	_6	H	ques	M
f130b	L07	7	36	H	de	S
f130b	L07	8	20	H	s	S
f130b	L07	9	9	H	y	M
f130b	L07	10	6	H	qu	M
f130b	L07	11	23	H	pr	M
f130b	L07	12	23	H	pr	M
f130b	L07	13	62	H	i	M
f130b	L07	14	_6	H	ques	M
f130b	L07	15	21	H	r	M
