line	pos	group	value	grade
L10	7	6	qu	M
L10	8	16	el	M
L10	9	10	je	M
L10	10	_11	re	M
L10	11	21	r	M
L10	12	66	me	M
L10	13	20	s	M
L10	14	115	M.	M
L10	15	_1	pe	M
L10	16	7	ou	M
L10	17	19	t	M
L11	1	m	a	C
L11	2	_28	v	C
L11	3	15	oi	M
L11	4	21	r	C
L11	5	_0	pa	C
L11	6	21	r	C
L11	7	61	le	C
L11	8	m	a	C
L11	9	31	ce	C
L11	10	7	ou	M
L11	11	8	x	C
L11	12	_7	q	C
L11	13	24	ui	M
L11	14	18	on	M
L11	15	19	t	C
L11	16	_0	pa	C
L11	17	21	r	M
L11	18	19	t	C
L11	19	71	e	M
L12	1	20	s	M
L12	2	61	le	M
L12	3	20	s	M
L12	4	m	a	M
L12	5	1	f	M
L12	6	40	fa	M
L12	7	15	oi	M
L12	8	_11	re	M
L12	9	20	s	M
L12	10	m	a	M
L12	11	42	fi	M
L12	12	18	on	M
L12	13	5	b	M
L12	14	20	s	M
L12	15	_16	se	M
L12	16	17	m	M
L12	17	9	y	M
L12	18	60	la	M
L13	1	61	le	M
L13	2	20	s	M
L13	3	37	di	M
L13	4	_26	ve	M
L13	5	21	r	M
L13	6	20	s	M
L13	7	37	di	M
L13	8	20	s	M
L13	9	33	c	M
L13	10	7	ou	M
L13	11	21	r	M
L13	12	20	s	M
L13	13	6	qu	M
L13	14	16	el	M
L13	15	61	le	M
L13	16	m	a	M
L13	17	_21	te	M
L14	1	24	ui	M
L14	2	18	on	M
L14	3	59	ju	M
L14	4	46	ge	M
L14	5	_17	si	M
L14	6	30	ca	M
L14	7	2	e	M
L14	8	20	s	M
L14	9	_21	te	M
L14	10	7	ou	M
L14	11	18	on	M
L14	12	2	e	M
L14	13	1	f	M
L14	14	41	e	M
L14	15	4	c	M
L14	16	19	t	M
L14	17	36	de	M
L15	1	59	ju	M
L15	2	20	s	M
L15	3	_22	t	M
L15	4	31	ce	M
L15	5	24	ui	M
L15	6	7	ou	M
L15	7	36	de	M
L15	8	_15	sa	M
L15	9	50	ha	M
L15	10	9	y	M
L15	11	71	e	M
L15	12	_7	q	M
L15	13	m	a	M
L15	14	9	y	M
L15	15	19	t	M
L15	16	78	d	M
L15	17	18	on	M
L16	1	62	i	M
L16	2	2	e	M
L16	3	7	ou	M
L16	4	m	a	M
L16	5	31	ce	M
L16	6	7	ou	M
L16	7	8	x	M
L16	8	_7	q	M
L16	9	24	ui	M
L16	10	18	on	M
L16	11	19	t	M
L16	12	2	e	M
L16	13	20	s	M
L16	14	21	r	M
L16	15	_4	pu	M
L16	16	9	y	M
L16	17	62	i	M
L16	18	21	r	M
