key	token_1653	count_f1_f9	key_code	key_value
key_brienne_1647	_18	5		
key_brienne_1647	_19	5		
key_brienne_1647	_22	5		
key_brienne_1647	_28	5		
key_brienne_1647	θ	5		
key_brienne_1647	115	4		
key_brienne_1647	17	4	17	SI
key_brienne_1647	37	4		
key_brienne_1647	41	4		
key_brienne_1647	_1	4	1_	LEROY
key_brienne_1647	_15	4		
key_brienne_1647	đ	4	d	S
key_brienne_1647	63	3		
key_brienne_1647	64	3		
key_brienne_1647	65	3		
key_brienne_1647	66	3		
key_brienne_1647	9	3	9	N
key_brienne_1647	_43	3	43_	CO
key_brienne_1647	_50	3	50_	FA
key_brienne_1647	¨2	3		
key_brienne_1647	118	2		
key_brienne_1647	123	2		
key_brienne_1647	144	2		
key_brienne_1647	19	2	19	SV
key_brienne_1647	38	2		
key_brienne_1647	43	2		
key_brienne_1647	46	2		
key_brienne_1647	51	2		
key_brienne_1647	68	2		
key_brienne_1647	73	2		
key_brienne_1647	94	2	94	QVV
key_brienne_1647	95	2		
key_brienne_1647	Z	2	Z	I
key_brienne_1647	_20	2		
key_brienne_1647	_3	2		
key_brienne_1647	_42	2	42_	CI
key_brienne_1647	~121	2		
key_brienne_1647	¨1	2		
key_brienne_1647	¨34	2		
key_brienne_1647	100	1		
key_brienne_1647	13	1	13	RO
key_brienne_1647	14	1	14	RV
key_brienne_1647	149	1		
key_brienne_1647	15	1	15	SA
key_brienne_1647	154	1		
key_brienne_1647	168	1		
key_brienne_1647	190	1		
key_brienne_1647	26	1	26	VE
key_brienne_1647	30	1		
key_brienne_1647	34	1		
key_brienne_1647	53	1		
key_brienne_1647	55	1		
key_brienne_1647	56	1		
key_brienne_1647	69	1		
key_brienne_1647	70	1		
key_brienne_1647	74	1		
key_brienne_1647	80	1		
key_brienne_1647	91	1	91	QVE
key_brienne_1647	96	1		
key_brienne_1647	_25	1		
key_brienne_1647	_27	1		
key_brienne_1647	_38	1	38_	BO
key_brienne_1647	_41	1	41_	CE
key_brienne_1647	_46	1	46_	DE
key_brienne_1647	_47	1	47_	DI
key_brienne_1647	_48	1	48_	DO
key_brienne_1647	_49	1	49_	DV
key_brienne_1647	_51	1	51_	FE
key_brienne_1647	_52	1	52_	FI
key_brienne_1647	_53	1	53_	FO
key_brienne_1647	_78	1	78_	MO
key_brienne_1647	_94	1		
key_brienne_1647	q	1		
key_brienne_1647	z	1		
key_brienne_1647	¨15	1		
key_brienne_1651	db	61		
key_brienne_1651	tt	46	tt	G
key_brienne_1651	11	37	11	I
key_brienne_1651	mm	36		
key_brienne_1651	36	30		
key_brienne_1651	m	30		
key_brienne_1651	_11	26	11_	IL
key_brienne_1651	d	26	d	B
key_brienne_1651	X	25		
key_brienne_1651	I	23		
key_brienne_1651	_21	20	21_	MO
key_brienne_1651	61	16	61	GE
key_brienne_1651	60	14	60	GA
key_brienne_1651	33	13		
key_brienne_1651	_13	13	13_	LA
key_brienne_1651	_16	12	16_	LO
key_brienne_1651	4	11		
key_brienne_1651	_6	11	6_	IA
key_brienne_1651	m‡	11	m+	L
key_brienne_1651	£	11		
key_brienne_1651	23	10	23	Y
key_brienne_1651	62	10	62	GI
key_brienne_1651	71	10		
key_brienne_1651	31	8		
key_brienne_1651	_10	8	10_	Y
key_brienne_1651	_26	8	26_	NOS
key_brienne_1651	q'	8	q	E
key_brienne_1651	q‡	8	q	E
key_brienne_1651	_12	7		
key_brienne_1651	_23	7	23_	NA
key_brienne_1651	_o	7		
key_brienne_1651	¨4	7		
key_brienne_1651	3	6	3	A
key_brienne_1651	39	6		
key_brienne_1651	_7	6	7_	IE
key_brienne_1651	40	5	40	CA
key_brienne_1651	72	5		
key_brienne_1651	_17	5	17_	LV
key_brienne_1651	_18	5	18_	MA
key_brienne_1651	_19	5	19_	ME
key_brienne_1651	_22	5	22_	MV
key_brienne_1651	_28	5	28_	ON
key_brienne_1651	θ	5		
key_brienne_1651	115	4		
key_brienne_1651	17	4	17	Q
key_brienne_1651	37	4		
key_brienne_1651	41	4	41	CE
key_brienne_1651	_1	4	1_	HA
key_brienne_1651	_15	4	15_	LI
key_brienne_1651	đ	4	d	B
key_brienne_1651	63	3	63	GO
key_brienne_1651	64	3	64	GV
key_brienne_1651	65	3		
key_brienne_1651	66	3		
key_brienne_1651	9	3		
key_brienne_1651	_43	3	43_	RE
key_brienne_1651	_50	3	50_	SI
key_brienne_1651	¨2	3		
key_brienne_1651	118	2		
key_brienne_1651	123	2		
key_brienne_1651	144	2		
key_brienne_1651	19	2	19	S
key_brienne_1651	38	2		
key_brienne_1651	43	2	43	CO
key_brienne_1651	46	2	46	DA
key_brienne_1651	51	2	51	ET
key_brienne_1651	68	2		
key_brienne_1651	73	2		
key_brienne_1651	94	2		
key_brienne_1651	95	2		
key_brienne_1651	Z	2	Z	D
key_brienne_1651	_20	2	20_	MI
key_brienne_1651	_3	2	3_	HI
key_brienne_1651	_42	2	42_	RA
key_brienne_1651	~121	2		
key_brienne_1651	¨1	2		
key_brienne_1651	¨34	2		
key_brienne_1651	100	1		
key_brienne_1651	13	1	13	M
key_brienne_1651	14	1	14	N
key_brienne_1651	149	1		
key_brienne_1651	15	1	15	O
key_brienne_1651	154	1		
key_brienne_1651	168	1		
key_brienne_1651	190	1		
key_brienne_1651	26	1	26	NO
key_brienne_1651	30	1		
key_brienne_1651	34	1		
key_brienne_1651	53	1		
key_brienne_1651	55	1	55	FA
key_brienne_1651	56	1	56	FE
key_brienne_1651	69	1		
key_brienne_1651	70	1		
key_brienne_1651	74	1		
key_brienne_1651	80	1		
key_brienne_1651	91	1		
key_brienne_1651	96	1		
key_brienne_1651	_25	1	25_	NI
key_brienne_1651	_27	1	27_	NV
key_brienne_1651	_38	1	38_	QVE
key_brienne_1651	_41	1	41_	QVV
key_brienne_1651	_46	1	46_	RO
key_brienne_1651	_47	1	47_	RV
key_brienne_1651	_48	1	48_	SA
key_brienne_1651	_49	1	49_	SE
key_brienne_1651	_51	1	51_	SO
key_brienne_1651	_52	1	52_	SV
key_brienne_1651	_53	1	53_	TA
key_brienne_1651	_78	1		
key_brienne_1651	_94	1		
key_brienne_1651	q	1	q	E
key_brienne_1651	z	1		
key_brienne_1651	¨15	1		
key_1659	db	61		
key_1659	tt	46		
key_1659	11	37		
key_1659	mm	36		
key_1659	36	30	36	DE
key_1659	m	30	m	A
key_1659	_11	26	_11	RE
key_1659	d	26		
key_1659	X	25		
key_1659	I	23		
key_1659	_21	20	_21	TE
key_1659	61	16	61	LE
key_1659	60	14	60	LA
key_1659	33	13	33	C
key_1659	_13	13	_13	R
key_1659	_16	12	_16	SE
key_1659	4	11	4	C
key_1659	_6	11	_6	QVES
key_1659	m‡	11		
key_1659	£	11		
key_1659	23	10	23	PR
key_1659	62	10	62	I
key_1659	71	10	71	NE
key_1659	31	8	31	CE
key_1659	_10	8	_10	ST
key_1659	_26	8	_26	VE
key_1659	q'	8		
key_1659	q‡	8		
key_1659	_12	7	_12	I
key_1659	_23	7	_23	O
key_1659	_o	7		
key_1659	¨4	7		
key_1659	3	6	3	E
key_1659	39	6	39	DV
key_1659	_7	6	_7	Q
key_1659	40	5	40	FA
key_1659	72	5		
key_1659	_17	5	_17	SI
key_1659	_18	5	_18	S
key_1659	_19	5	_19	SV
key_1659	_22	5	_22	T
key_1659	_28	5	_28	V
key_1659	θ	5		
key_1659	115	4	115	M
key_1659	17	4	17	M
key_1659	37	4	37	DI
key_1659	41	4	41	E
key_1659	_1	4	_1	PE
key_1659	_15	4	_15	SA
key_1659	đ	4		
key_1659	63	3		
key_1659	64	3	64	LV
key_1659	65	3	65	AR
key_1659	66	3	66	ME
key_1659	9	3	9	Y
key_1659	_43	3		
key_1659	_50	3		
key_1659	¨2	3		
key_1659	118	2		
key_1659	123	2		
key_1659	144	2		
key_1659	19	2	19	T
key_1659	38	2		
key_1659	43	2		
key_1659	46	2	46	GE
key_1659	51	2		
key_1659	68	2		
key_1659	73	2	73	N
key_1659	94	2		
key_1659	95	2		
key_1659	Z	2		
key_1659	_20	2	_20	TA
key_1659	_3	2	_3	P
key_1659	_42	2		
key_1659	~121	2		
key_1659	¨1	2		
key_1659	¨34	2		
key_1659	100	1		
key_1659	13	1	13	GN
key_1659	14	1		
key_1659	149	1		
key_1659	15	1	15	OI
key_1659	154	1		
key_1659	168	1		
key_1659	190	1		
key_1659	26	1	26	BE
key_1659	30	1	30	CA
key_1659	34	1		
key_1659	53	1	53	HO
key_1659	55	1	55	IA
key_1659	56	1	56	N
key_1659	69	1		
key_1659	70	1	70	A
key_1659	74	1		
key_1659	80	1		
key_1659	91	1		
key_1659	96	1		
key_1659	_25	1		
key_1659	_27	1		
key_1659	_38	1		
key_1659	_41	1		
key_1659	_46	1		
key_1659	_47	1		
key_1659	_48	1		
key_1659	_49	1		
key_1659	_51	1		
key_1659	_52	1		
key_1659	_53	1		
key_1659	_78	1		
key_1659	_94	1		
key_1659	q	1		
key_1659	z	1		
key_1659	¨15	1		
