folio	line	pos	group	conf	value	grade
f129	L09	10	21	H	r	C
f129	L09	11	_12	H	i	C
f129	L09	12	25	H	va	C
f129	L09	13	20	H	s	C
f129	L09	14	19	H	t	C
f129	L10	1	7	H	u	C
f129	L10	2	18	H	n	C
f129	L10	3	16	M	se	M
f129	L10	4	17	H	m	C
f129	L10	5	5	H	b	C
f129	L10	6	60	H	la	C
f129	L10	7	5	H	b	C
f129	L10	8	61	H	le	C
f129	L10	9	4	H	c	C
f129	L10	11	50	H	ha	C
f129	L10	12	18	H	n	C
f129	L10	13	46	H	ge	C
f129	L10	14	66	H	me	C
f129	L10	15	18	H	n	C
f129	L10	16	19	H	t	C
f129	L10	17	73	H	n	C
f129	L10	18	7	H	ou	C
f129	L10	19	20	H	s	C
f129	L10	20	6	H	a	M
f129	L10	21	7	H	u	C
f129	L10	22	_12	H	i	C
f129	L10	23	24	H	0	C
f129	L11	1	18	H	on	C
f129	L11	2	20	H	s	C
f129	L11	3	36	M	de	M
f129	L11	4	20	H	s	C
f129	L11	5	66	H	me	C
f129	L11	6	_19	H	su	C
f129	L11	7	_11	H	re	C
f129	L11	8	20	H	s	C
f129	L11	9	6	H	a	M
f129	L11	10	23	H	p	C
f129	L11	11	_11	M	re	M
f129	L11	12	18	H	n	C
f129	L11	13	3	H	d	M
f129	L11	14	_11	M	re	M
f129	L11	15	70	M	a	M
f129	L11	16	61	M	le	M
f129	L11	17	80	M	duc	M
f129	L11	19	2	M	e	M
f129	L11	20	19	M	t	M
f129	L11	21	_6	M	qu	M
f129	L11	22	16	M	el	M
f129	L11	23	_18	M	s	M
f129	L11	24	15	M	oi	M
f129	L11	25	18	M	n	M
f129	L12	1	_6	H	qu	C
f129	L12	2	61	H	le	C
f129	L12	3	42	H	fi	C
f129	L12	4	16	H	l	C
f129	L12	5	10	H	z	C
f129	L12	7	2	H	e	C
f129	L12	8	19	H	t	C
f129	L12	9	60	H	la	C
f129	L12	10	66	H	me	C
f129	L12	11	_11	M	re	M
f129	L12	13	66	H	me	C
f129	L12	14	20	H	s	C
f129	L12	15	66	H	me	C
f129	L12	16	61	H	le	C
f129	L12	17	7	H	u	C
f129	L12	18	21	H	r	C
f129	L12	19	20	H	s	C
f129	L12	20	23	H	pr	C
f129	L12	21	_12	H	i	C
f129	L12	22	18	H	n	C
f129	L12	23	32	M	ci	M
f129	L12	24	_0	H	pa	C
f129	L13	1	7	H	u	C
f129	L13	2	8	H	x	C
f129	L13	3	67	H	mi	C
f129	L13	4	72	H	ni	C
f129	L13	5	20	H	s	C
f129	L13	6	19	H	t	C
f129	L13	7	_11	H	re	C
f129	L13	8	20	H	s	C
f129	L13	9	23	H	pr	C
f129	L13	10	_12	H	i	C
f129	L13	11	20	H	s	C
f129	L13	12	_16	H	se	C
f129	L13	13	18	H	n	C
f129	L13	14	19	H	t	C
f129	L13	15	36	M	de	M
f129	L13	16	30	H	ca	C
f129	L13	17	4	H	c	C
f129	L13	18	51	H	he	M
f129	L13	19	21	M	r	M
f129	L13	20	31	M	ce	M
f129	L13	21	19	H	t	C
f129	L14	1	_21	H	te	C
f129	L14	2	66	H	me	C
f129	L14	3	20	H	s	C
f129	L14	4	15	H	i	C
f129	L14	5	18	H	n	C
f129	L14	6	_21	H	te	C
f129	L14	7	16	H	ll	C
f129	L14	8	62	H	i	C
f129	L14	9	46	H	ge	C
f129	L14	10	18	H	n	C
f129	L14	11	31	H	ce	C
f129	L14	12	15	H	i	C
f129	L14	13	16	H	l	C
f129	L14	14	71	H	ne	C
f129	L14	15	_16	H	se	C
f129	L14	16	_13	H	r	C
f129	L14	17	15	H	oi	C
f129	L14	18	19	H	t	C
f129	L14	19	_0	H	pa	C
f129	L14	20	20	H	s	C
f129	L15	1	_7	H	po	M
f129	L15	2	20	H	s	C
f129	L15	3	_17	H	si	C
f129	L15	4	5	H	b	C
f129	L15	5	61	H	le	C
f129	L15	6	_6	M	qu	M
f129	L15	7	_28	H	v	C
f129	L15	8	7	H	ou	C
f129	L15	9	20	H	s	C
f129	L15	10	71	H	ne	C
f129	L15	11	18	H	n	C
f129	L15	12	2	H	e	C
f129	L15	13	7	H	u	C
f129	L15	14	20	H	s	C
f129	L15	15	_17	H	si	C
f129	L15	16	2	H	e	C
f129	L15	17	10	H	z	C
f129	L15	18	33	M	c	M
f129	L15	19	18	H	on	C
f129	L15	20	73	H	n	C
f129	L15	21	15	H	oi	C
f129	L15	22	20	H	s	C
f129	L16	1	15	H	sa	M
f129	L16	2	18	H	n	C
f129	L16	3	31	M	ce	M
f129	L16	5	_7	H	q	C
f129	L16	6	6	H	uia	M
f129	L16	7	_26	H	ve	C
f129	L16	8	10	H	z	C
f129	L16	9	6	H	a	M
f129	L16	10	7	H	u	C
f129	L16	11	20	H	s	C
f129	L16	12	20	H	s	C
f129	L16	13	9	H	y	C
f129	L16	14	6	H	a	M
f129	L16	15	6	H	p	M
f129	L16	16	23	H	p	C
f129	L16	17	23	H	l	M
f129	L16	18	62	H	i	C
f129	L16	19	_6	M	qu	M
f129	L16	20	21	H	et	M
f129	L16	21	_23	H	o	C
f129	L16	22	7	H	u	C
f129	L16	23	20	H	s	C
f130a	L01	1	_28	H	vo	C
f130a	L01	2	10	H	s	C
f130a	L01	3	_18	H	s	C
f130a	L01	4	15	H	oi	C
f130a	L01	5	18	H	n	C
f130a	L01	6	20	H	s	C
f130a	L01	7	6	H	a	M
f130a	L01	8	_1	H	pe	C
f130a	L01	9	71	H	ne	C
f130a	L01	10	19	H	t	C
f130a	L01	11	_11	H	re	C
f130a	L01	12	21	H	r	C
f130a	L01	13	_6	H	qu	C
f130a	L01	14	16	H	el	C
f130a	L01	15	61	H	le	C
f130a	L01	16	_1	H	pe	C
f130a	L01	17	7	H	u	C
f130a	L01	18	19	H	t	C
f130a	L01	19	2	H	e	C
f130a	L01	20	20	H	s	C
f130a	L02	1	62	H	i	C
f130a	L02	2	18	H	n	C
f130a	L02	3	42	H	cl	M
f130a	L02	4	62	H	i	C
f130a	L02	5	70	H	a	C
f130a	L02	6	_22	H	t	C
f130a	L02	7	24	H	i	C
f130a	L02	8	18	H	on	C
f130a	L02	9	79	M	du	M
f130a	L02	10	80	H	duc	C
f130a	L02	11	_3	M	p	M
f130a	L02	12	7	H	ou	C
f130a	L02	13	21	H	r	C
f130a	L02	14	_16	H	se	C
f130a	L02	15	65	H	ma	M
f130a	L02	16	_12	H	i	C
f130a	L02	17	2	M	e	M
f130a	L02	18	21	M	r	M
f130a	L03	1	7	H	ou	C
f130a	L03	2	20	H	r	M
f130a	L03	3	60	H	la	C
f130a	L03	4	_1	H	pe	C
f130a	L03	5	2	H	r	M
f130a	L03	6	_18	H	s	C
f130a	L03	7	18	H	on	C
f130a	L03	8	71	H	ne	C
f130a	L03	10	2	H	e	C
f130a	L03	11	19	H	t	C
f130a	L03	12	_7	H	po	M
f130a	L03	13	7	H	u	C
f130a	L03	14	21	H	r	C
f130a	L03	15	61	H	le	C
f130a	L03	16	_21	H	te	C
f130a	L03	17	17	H	m	C
f130a	L03	18	23	H	p	C
f130a	L03	19	20	H	s	C
f130a	L03	21	2	M	e	M
f130a	L04	1	31	M	ce	M
f130a	L04	2	20	H	s	C
f130a	L04	3	19	H	t	C
f130a	L04	4	_70	H	avec	C
f130a	L04	5	154	M	quelque	M
f130a	L04	6	43	H	fo	C
f130a	L04	7	18	H	n	C
f130a	L04	8	36	H	de	C
f130a	L04	9	66	H	me	C
f130a	L04	10	18	H	n	C
f130a	L04	11	19	H	t	C
f130a	L04	12	_6	H	qu	C
f130a	L04	13	63	H	lo	C
f130a	L04	14	18	H	n	C
f130a	L04	15	_4	H	pu	C
f130a	L04	16	5	H	b	C
f130a	L04	17	62	H	i	C
f130a	L04	18	2	M	e	M
f130a	L05	1	65	H	quema	M
f130a	L05	2	35	H	da	C
f130a	L05	3	68	H	mo	C
f130a	L05	4	15	H	i	C
f130a	L05	5	_16	H	se	C
f130a	L05	6	16	H	l	C
f130a	L05	7	61	H	le	C
f130a	L05	8	6	H	a	M
f130a	L05	9	_11	H	re	C
f130a	L05	10	18	H	n	C
f130a	L05	11	39	H	du	C
f130a	L05	12	19	H	t	C
f130a	L05	13	_11	H	re	C
f130a	L05	14	20	H	s	C
f130a	L05	15	65	H	ma	M
f130a	L05	16	7	H	u	C
f130a	L05	17	_25	H	va	C
f130a	L05	18	15	H	i	C
f130a	L06	1	24	H	so	M
f130a	L06	2	1	M	f	M
f130a	L06	3	42	H	fi	C
f130a	L06	4	31	H	ce	C
f130a	L06	5	6	H	a	M
f130a	L06	6	65	H	ma	M
f130a	L06	7	35	H	da	C
f130a	L06	8	68	H	mo	C
f130a	L06	9	15	H	i	C
f130a	L06	10	_16	H	se	C
f130a	L06	11	16	H	l	C
f130a	L06	12	61	H	le	C
f130a	L06	13	78	H	d	C
f130a	L06	14	21	H	r	C
f130a	L06	15	61	H	le	C
f130a	L06	16	6	H	a	M
f130a	L06	17	18	H	n	C
f130a	L07	1	15	H	ssa	M
f130a	L07	2	_18	H	s	C
f130a	L07	3	2	H	oe	C
f130a	L07	4	7	H	u	C
f130a	L07	5	21	H	r	C
f130a	L07	7	[PLAIN:Desja ie vous ay mandé ce qui s'est]	M	Desja ie vous ay mandé ce qui s'est	clear
f130b	L01	1	[PLAIN:presupposé]	H	presupposé	clear
f130b	L01	2	_6	H	qu	C
f130b	L01	3	31	H	ce	C
f130b	L01	4	_7	H	q	C
f130b	L01	5	16	H	ui	C
f130b	L01	6	37	H	di	C
f130b	L01	7	19	H	t	C
f130b	L01	8	36	M	de	M
f130b	L01	9	60	H	la	C
f130b	L01	10	66	H	me	C
f130b	L01	11	20	H	s	C
f130b	L01	12	15	H	i	C
f130b	L01	13	18	H	n	C
f130b	L01	14	_11	H	e	C
f130b	L02	1	62	H	i	C
f130b	L02	2	46	H	ge	C
f130b	L02	3	18	H	n	C
f130b	L02	4	31	H	ce	C
f130b	L02	5	36	M	de	M
f130b	L02	6	18	H	n	C
f130b	L02	7	19	H	t	C
f130b	L02	8	_11	H	re	C
f130b	L02	9	61	H	le	C
f130b	L02	10	42	H	fi	C
f130b	L02	11	16	H	l	C
f130b	L02	12	10	H	s	C
f130b	L02	13	2	H	e	C
f130b	L02	14	19	H	t	C
f130b	L02	15	60	H	la	C
f130b	L02	16	66	H	me	C
f130b	L02	17	_11	H	re	C
f130b	L03	1	15	H	oi	C
f130b	L03	2	19	H	t	C
f130b	L03	3	_26	M	ve	M
f130b	L03	4	_12	H	i	C
f130b	L03	5	_20	H	ta	C
f130b	L03	6	5	H	b	C
f130b	L03	7	61	H	le	C
f130b	L03	8	_17	H	si	C
f130b	L03	9	61	H	le	C
f130b	L03	10	65	H	ma	M
f130b	L03	11	21	H	r	C
f130b	L03	12	_7	H	q	C
f130b	L03	13	20	H	s	C
f130b	L03	14	36	H	de	C
f130b	L03	15	_2	H	pi	C
f130b	L03	16	6	H	a	M
f130b	L03	17	71	H	ne	C
f130b	L03	18	10	H	s	C
f130b	L04	1	36	H	de	C
f130b	L04	2	66	H	me	C
f130b	L04	3	7	H	u	C
f130b	L04	4	_11	H	re	C
f130b	L04	5	_10	H	ra	M
f130b	L04	6	4	H	c	C
f130b	L04	7	51	H	h	M
f130b	L04	8	2	H	e	C
f130b	L04	9	36	M	de	M
f130b	L04	10	20	H	s	C
f130b	L04	11	61	H	a	M
f130b	L04	12	1	H	f	C
f130b	L04	13	40	H	fa	C
f130b	L04	14	15	H	i	C
f130b	L04	15	_11	H	re	C
f130b	L04	16	20	H	s	C
f130b	L04	17	24	H	0	C
f130b	L04	18	7	H	ou	C
f130b	L05	1	2	H	e	C
f130b	L05	2	18	H	n	C
f130b	L05	3	_19	H	su	C
f130b	L05	4	21	H	r	C
f130b	L05	5	_7	H	q	C
f130b	L05	6	61	H	le	C
f130b	L05	7	80	H	duc	C
f130b	L05	8	_16	H	se	C
f130b	L05	9	10	H	p	M
f130b	L05	10	_7	H	o	M
f130b	L05	11	7	H	u	C
f130b	L05	12	21	H	r	C
f130b	L05	13	_16	H	r	M
f130b	L05	14	18	H	a	M
f130b	L05	15	36	M	de	M
f130b	L05	16	4	H	c	C
f130b	L05	17	50	H	ha	C
f130b	L05	18	21	H	r	C
f130b	L06	1	21	H	r	C
f130b	L06	2	_8	H	qu	C
f130b	L06	3	18	H	on	C
f130b	L06	4	59	H	ju	C
f130b	L06	5	46	H	ge	C
f130b	L06	6	2	H	e	C
f130b	L06	7	18	H	n	C
f130b	L06	8	_1	H	pe	C
f130b	L06	9	18	H	n	C
f130b	L06	10	_16	H	se	C
f130b	L06	11	2	H	e	C
f130b	L06	12	23	H	p	C
f130b	L06	13	64	H	lu	C
f130b	L06	14	20	H	s	C
f130b	L06	15	_23	H	o	C
f130b	L06	16	20	H	s	C
f130b	L06	17	19	H	t	C
f130b	L07	1	37	H	di	C
f130b	L07	2	_26	H	ve	C
f130b	L07	3	21	H	r	C
f130b	L07	4	_22	H	ti	C
f130b	L07	5	21	H	r	C
f130b	L07	6	_6	H	qu	C
f130b	L07	7	36	H	de	C
f130b	L07	8	20	H	s	C
f130b	L07	9	9	H	y	C
f130b	L07	10	6	H	a	M
f130b	L07	11	23	H	p	C
f130b	L07	12	23	H	p	C
f130b	L07	13	62	H	i	C
f130b	L07	14	_6	H	qu	C
f130b	L07	15	21	H	r	C
