seg	line	pos	group	plain
S5	L09	1	24	t
S5	L09	2	7	ou
S5	L09	3	9	bl
S5	L09	4	62	i
S5	L09	5	2	e
S6	L09	13	36	de
S6	L09	14	_17	si
S6	L09	15	_11	re
S6	L09	16	21	r
S6	L10	1	20	s
S6	L10	2	30	ca
S6	L10	3	_28	v
S6	L10	4	15	oi
S6	L10	5	21	r
S6	L10	6	18	en
S6	L10	7	6	qu
S6	L10	8	16	el
S6	L10	9	10	st
S6	L10	10	_11	e
S6	L10	11	21	r
S6	L10	12	66	me
S6	L10	13	20	s
S6	L10	14	115	#
S6	L10	15	_1	pe
S6	L10	16	7	u
S6	L10	17	19	t
S6	L11	1	m	a
S6	L11	2	_28	v
S6	L11	3	15	oi
S6	L11	4	21	r
S6	L11	5	_0	pa
S6	L11	6	21	r
S6	L11	7	61	le
S6	L11	8	m	a
S6	L11	9	31	ce
S6	L11	10	7	u
S6	L11	11	8	x
S6	L11	12	_7	q
S6	L11	13	24	ui
S6	L11	14	18	on
S6	L11	15	19	t
S6	L11	16	_0	pa
S6	L11	17	21	r
S6	L11	18	19	t
S6	L11	19	71	dan
S6	L12	1	20	s
S6	L12	2	61	le
S6	L12	3	20	s
S6	L12	4	m	a
S6	L12	5	1	f
S6	L12	6	40	fa
S6	L12	7	15	i
S6	L12	8	_11	re
S6	L12	9	20	s
S6	L12	10	m	a
S6	L12	11	42	fi
S6	L12	12	18	nq
S6	L12	13	5	ua
S6	L12	14	20	s
S6	L12	15	_16	se
S6	L12	16	17	mb
S6	L12	17	9	la
S6	L12	18	60	nt
S6	L13	1	61	le
S6	L13	2	20	s
S6	L13	3	37	di
S6	L13	4	_26	ve
S6	L13	5	21	r
S6	L13	6	20	s
S6	L13	7	37	di
S6	L13	8	20	s
S6	L13	9	33	c
S6	L13	10	7	ou
S6	L13	11	21	r
S6	L13	12	20	s
S6	L13	13	6	qu
S6	L13	14	16	el
S6	L13	15	61	le
S6	L13	16	m	a
S6	L13	17	_21	ten
S6	L14	1	24	us
S6	L14	2	18	on
S6	L14	3	59	ju
S6	L14	4	46	ge
S6	L14	5	_17	si
S6	L14	6	30	ca
S6	L14	7	2	e
S6	L14	8	20	s
S6	L14	9	_21	te
S6	L14	10	7	u
S6	L14	11	18	n
S6	L14	12	2	e
S6	L14	13	1	ff
S6	L14	14	41	e
S6	L14	15	4	c
S6	L14	16	19	t
S6	L14	17	36	de
S6	L15	1	59	saju
S6	L15	2	20	s
S6	L15	3	_22	ti
S6	L15	4	31	ce
S6	L15	5	24	
S6	L15	6	7	ou
S6	L15	7	36	de
S6	L15	8	_15	sa
S6	L15	9	50	ha
S6	L15	10	9	yn
S6	L15	11	71	e
S6	L15	12	_7	q
S6	L15	13	m	a
S6	L15	14	9	y
S6	L15	15	19	t
S6	L15	16	78	d
S6	L15	17	18	on
S6	L16	1	62	ne
S6	L16	2	2	li
S6	L16	3	7	eu
S6	L16	4	m	a
S6	L16	5	31	ce
S6	L16	6	7	u
S6	L16	7	8	x
S6	L16	8	_7	q
S6	L16	9	24	ui
S6	L16	10	18	on
S6	L16	11	19	t
S6	L16	12	2	e
S6	L16	13	20	s
S6	L16	14	21	te
S6	L16	15	_4	pu
S6	L16	16	9	bl
S6	L16	17	62	i
S6	L16	18	21	ez
