line	pos	token	conf	alt	note
f9v_L09	9	60	H		
f9v_L10	1	_6	H		
f9v_L10	2	m‡	H		
f9v_L10	3	61	H		comma after
f9v_L10	4	_16	H		
f9v_L10	5	mm	H		
f9v_L10	6	_13	H		
f9v_L10	7	11	H		
f9v_L10	8	_28	H		
f9v_L10	9	d	M	X	cut at the margin
f9v_L11	1	mm	H		comma after
f9v_L11	2	115	H		comma after
f9v_L11	3	168	H		
f9v_L11	4	m	H		
f9v_L11	5	m‡	H		
f9v_L11	6	61	H		
f9v_L11	7	[PLAIN:et de mesnage]	H		clear French
f9v_L12	1	[PLAIN:en sorte toutes parolles]	H		clear French
f9v_L12	2	_6	H		
f9v_L12	3	63	M	67	
f9v_L12	4	11	H		
f9v_L12	5	d	M		cut at the margin
