sid	page	line	pos	x	y	w	h	rh	rw	dy	marks
f104_04_004	f104	4	4	217	452	16	14	0.636	0.727	0.000	
f104_04_005	f104	4	5	241	450	8	15	0.682	0.364	-0.068	
f104_04_006	f104	4	6	251	453	14	13	0.591	0.636	0.023	
f104_04_007	f104	4	7	266	453	13	15	0.682	0.591	0.068	
f104_04_008	f104	4	8	277	449	26	19	0.864	1.182	-0.023	
f104_04_009	f104	4	9	298	446	10	18	0.818	0.455	-0.182	
f104_04_010	f104	4	10	555	428	25	63	2.864	1.136	0.023	f104_04_m0011
f104_05_001	f104	5	1	104	532	20	39	1.773	0.909	0.795	
f104_05_002	f104	5	2	130	515	24	33	1.500	1.091	-0.114	
f104_05_003	f104	5	3	160	522	16	20	0.909	0.727	-0.091	
f104_05_004	f104	5	4	182	522	26	21	0.955	1.182	-0.068	
f104_05_005	f104	5	5	211	535	19	11	0.500	0.864	0.295	
f104_05_006	f104	5	6	222	533	63	43	1.955	2.864	0.932	
f104_05_007	f104	5	7	284	532	19	15	0.682	0.864	0.250	
f104_05_008	f104	5	8	305	536	10	12	0.545	0.455	0.364	
f104_05_009	f104	5	9	320	535	18	14	0.636	0.818	0.364	
f104_05_010	f104	5	10	339	535	12	14	0.636	0.545	0.364	
f104_05_011	f104	5	11	348	532	8	8	0.364	0.364	0.091	f104_05_m0014
f104_05_012	f104	5	12	692	500	56	64	2.909	2.545	-0.091	
f104_05_013	f104	5	13	748	506	26	25	1.136	1.182	-0.705	
f104_05_014	f104	5	14	787	518	28	15	0.682	1.273	-0.386	
f104_05_015	f104	5	15	819	498	46	40	1.818	2.091	-0.727	f104_05_m0012|f104_05_m0013
f104_05_016	f104	5	16	978	473	53	75	3.409	2.409	-1.068	
f104_05_017	f104	5	17	1062	486	102	54	2.455	4.636	-0.955	
f104_05_018	f104	5	18	1179	528	6	13	0.591	0.273	0.023	
f104_05_019	f104	5	19	1190	487	43	55	2.500	1.955	-0.886	
f104_06_001	f104	6	1	118	618	66	37	1.682	3.000	-0.250	
f104_06_002	f104	6	2	188	635	26	14	0.636	1.182	0.000	
f104_06_003	f104	6	3	223	638	13	8	0.364	0.591	0.000	
f104_06_004	f104	6	4	244	633	7	13	0.591	0.318	-0.114	
f104_06_005	f104	6	5	252	637	11	10	0.455	0.500	0.000	
f104_06_006	f104	6	6	270	636	9	12	0.545	0.409	0.000	
f104_06_007	f104	6	7	282	638	18	10	0.455	0.818	0.045	
f104_06_008	f104	6	8	299	612	29	37	1.682	1.318	-0.523	
f104_06_009	f104	6	9	323	630	11	9	0.409	0.500	-0.341	
f104_06_010	f104	6	10	340	586	23	63	2.864	1.045	-1.114	
f104_06_011	f104	6	11	363	636	18	11	0.500	0.818	-0.023	
f104_06_012	f104	6	12	390	633	19	16	0.727	0.864	-0.045	
f104_06_013	f104	6	13	404	631	52	52	2.364	2.364	0.682	
f104_06_014	f104	6	14	555	615	71	52	2.364	3.227	-0.045	
f104_07_001	f104	7	1	138	717	12	32	1.455	0.545	0.091	f104_07_m0016
f104_07_002	f104	7	2	154	723	13	14	0.636	0.591	-0.045	
f104_07_003	f104	7	3	164	688	53	54	2.455	2.409	-0.727	
f104_07_004	f104	7	4	200	723	55	46	2.091	2.500	0.682	
f104_07_005	f104	7	5	258	726	12	11	0.500	0.545	0.023	
f104_07_006	f104	7	6	266	722	8	9	0.409	0.364	-0.205	f104_07_m0015
f104_07_007	f104	7	7	532	705	78	65	2.955	3.545	0.295	
f104_08_001	f104	8	1	141	797	36	57	2.591	1.636	0.614	
f104_08_002	f104	8	2	178	807	17	9	0.409	0.773	-0.023	
f104_08_003	f104	8	3	202	806	9	14	0.636	0.409	0.045	
f104_08_004	f104	8	4	218	804	8	13	0.591	0.364	-0.068	
f104_08_005	f104	8	5	239	783	30	36	1.636	1.364	-0.500	
f104_08_006	f104	8	6	274	807	31	49	2.227	1.409	0.886	
f104_08_007	f104	8	7	304	807	24	32	1.455	1.091	0.500	
f104_08_008	f104	8	8	329	806	24	16	0.727	1.091	0.091	
f104_08_009	f104	8	9	358	809	28	17	0.773	1.273	0.250	f104_08_m0017
f104_09_001	f104	9	1	151	855	38	70	3.182	1.727	-0.273	
f104_09_002	f104	9	2	186	890	22	15	0.682	1.000	0.068	
f104_09_003	f104	9	3	214	891	8	18	0.818	0.364	0.182	
f104_09_004	f104	9	4	221	892	29	42	1.909	1.318	0.773	
f104_09_005	f104	9	5	242	889	50	31	1.409	2.273	0.386	
f104_09_006	f104	9	6	299	889	12	15	0.682	0.545	0.023	
f104_09_007	f104	9	7	312	891	13	14	0.636	0.591	0.091	
f104_09_008	f104	9	8	322	888	6	7	0.318	0.273	-0.205	f104_09_m0018
f104_09_009	f104	9	9	537	870	77	41	1.864	3.500	-0.250	
f104_10_001	f104	10	1	26	966	8	33	1.500	0.364	0.295	
f104_10_002	f104	10	2	116	965	19	22	1.000	0.864	0.000	
f104_10_003	f104	10	3	140	958	9	22	1.000	0.409	-0.318	
f104_10_004	f104	10	4	184	970	8	12	0.545	0.364	0.000	
f104_10_005	f104	10	5	194	971	10	11	0.500	0.455	0.023	
f104_10_006	f104	10	6	209	969	16	13	0.591	0.727	-0.023	
f104_10_007	f104	10	7	219	959	32	24	1.091	1.455	-0.227	
f104_10_008	f104	10	8	249	940	51	44	2.000	2.318	-0.636	
f104_10_009	f104	10	9	303	973	12	10	0.455	0.545	0.091	
f104_10_010	f104	10	10	329	964	20	22	1.000	0.909	-0.045	
f104_11_001	f104	11	1	171	1051	38	16	0.727	1.727	0.045	f104_11_m0019|f104_11_m0020
f104_11_002	f104	11	2	212	1051	22	16	0.727	1.000	0.045	
f104_11_003	f104	11	3	237	1054	10	14	0.636	0.455	0.136	
f104_11_004	f104	11	4	248	1051	19	16	0.727	0.864	0.045	
f104_11_005	f104	11	5	270	1050	8	15	0.682	0.364	-0.023	
f104_11_006	f104	11	6	355	1053	27	19	0.864	1.227	0.205	
f104_11_007	f104	11	7	524	1033	75	66	3.000	3.409	0.364	
f104_11_008	f104	11	8	691	1046	5	8	0.364	0.227	-0.364	
f104_12_001	f104	12	1	21	1101	8	227	10.318	0.364	2.932	
f104_12_002	f104	12	2	148	1131	51	26	1.182	2.318	-0.273	
f104_12_003	f104	12	3	194	1143	36	11	0.500	1.636	-0.068	f104_12_m0022
f104_12_004	f104	12	4	228	1135	33	62	2.818	1.500	0.727	f104_12_m0021
f104_12_005	f104	12	5	264	1141	19	14	0.636	0.864	-0.091	
f104_12_006	f104	12	6	285	1135	19	22	1.000	0.864	-0.182	
f104_12_007	f104	12	7	306	1145	11	12	0.545	0.500	0.045	
f104_12_008	f104	12	8	323	1145	14	11	0.500	0.636	0.023	
f104_12_009	f104	12	9	338	1142	31	70	3.182	1.409	1.227	
f104_12_010	f104	12	10	371	1143	12	13	0.591	0.545	-0.023	
f104_12_011	f104	12	11	388	1143	20	15	0.682	0.909	0.023	
f104_12_012	f104	12	12	493	1146	23	14	0.636	1.045	0.136	
f104_12_013	f104	12	13	528	1144	21	16	0.727	0.955	0.091	
f104_12_014	f104	12	14	566	1140	28	18	0.818	1.273	-0.045	
f104_13_001	f104	13	1	21	1460	9	21	0.955	0.409	-2.023	f104_13_m0023|f104_13_m0024|f104_13_m0025
f104_13_002	f104	13	2	306	1526	15	3	0.136	0.682	0.568	
f104_13_003	f104	13	3	449	1524	48	3	0.136	2.182	0.477	
f104_13_004	f104	13	4	510	1523	17	3	0.136	0.773	0.432	
f104_13_005	f104	13	5	542	1521	27	3	0.136	1.227	0.341	
f104_13_006	f104	13	6	691	1520	14	3	0.136	0.636	0.295	
f104_13_007	f104	13	7	841	1517	36	4	0.182	1.636	0.182	
f104_13_008	f104	13	8	879	1518	26	2	0.091	1.182	0.182	
f104_13_009	f104	13	9	919	1513	92	7	0.318	4.182	0.068	
f104_13_010	f104	13	10	1015	1512	47	7	0.318	2.136	0.023	
f104_13_011	f104	13	11	1087	1511	18	6	0.273	0.818	-0.045	
f104_13_012	f104	13	12	1137	1507	5	8	0.364	0.227	-0.182	
f104_13_013	f104	13	13	1160	1508	41	7	0.318	1.864	-0.159	
f104_13_014	f104	13	14	1202	1507	17	6	0.273	0.773	-0.227	
f104_13_015	f104	13	15	1220	1508	14	5	0.227	0.636	-0.205	
f105_01_001	f105	1	1	409	38	58	17	0.739	2.522	-0.022	f105_01_m0002
f105_01_002	f105	1	2	468	41	23	12	0.522	1.000	0.000	
f105_01_003	f105	1	3	502	43	15	17	0.739	0.652	0.196	
f105_01_004	f105	1	4	519	28	14	16	0.696	0.609	-0.478	
f105_01_005	f105	1	5	659	41	31	33	1.435	1.348	0.457	
f105_01_006	f105	1	6	713	40	36	16	0.696	1.565	0.043	
f105_01_007	f105	1	7	1291	24	39	12	0.522	1.696	-0.739	
f105_01_008	f105	1	8	1368	49	25	36	1.565	1.087	0.870	f105_01_m0001
f105_02_001	f105	2	1	11	68	15	50	2.174	0.652	-0.783	
f105_02_002	f105	2	2	57	101	17	14	0.609	0.739	-0.130	
f105_02_003	f105	2	3	97	100	20	27	1.174	0.870	0.109	
f105_02_004	f105	2	4	142	85	26	46	2.000	1.130	-0.130	
f105_02_005	f105	2	5	190	95	28	35	1.522	1.217	0.065	
f105_02_006	f105	2	6	242	77	20	62	2.696	0.870	-0.130	
f105_02_007	f105	2	7	292	104	27	27	1.174	1.174	0.283	
f105_02_008	f105	2	8	343	88	49	46	2.000	2.130	0.000	
f105_02_009	f105	2	9	414	98	28	19	0.826	1.217	-0.152	
f105_02_010	f105	2	10	475	69	31	53	2.304	1.348	-0.674	
f105_02_011	f105	2	11	532	74	33	43	1.870	1.435	-0.674	
f105_02_012	f105	2	12	593	98	71	26	1.130	3.087	0.000	
f105_02_013	f105	2	13	686	94	42	44	1.913	1.826	0.217	
f105_02_014	f105	2	14	747	61	29	67	2.913	1.261	-0.717	
f105_02_015	f105	2	15	798	106	26	38	1.652	1.130	0.609	
f105_02_016	f105	2	16	855	98	37	39	1.696	1.609	0.283	
f105_02_017	f105	2	17	909	73	29	66	2.870	1.261	-0.217	
f105_02_018	f105	2	18	962	109	33	26	1.130	1.435	0.478	
f105_02_019	f105	2	19	1020	99	45	33	1.435	1.957	0.196	
f105_02_020	f105	2	20	1085	81	42	57	2.478	1.826	-0.065	
f105_02_021	f105	2	21	1138	91	22	48	2.087	0.957	0.174	
f105_02_022	f105	2	22	1191	103	23	36	1.565	1.000	0.435	
f105_02_023	f105	2	23	1214	92	21	15	0.652	0.913	-0.500	
f105_02_024	f105	2	24	1247	98	48	51	2.217	2.087	0.543	
f105_02_025	f105	2	25	1321	52	46	72	3.130	2.000	-1.000	
f105_03_001	f105	3	1	7	147	24	44	1.913	1.043	0.043	f105_03_m0003
f105_03_002	f105	3	2	55	222	4	8	0.348	0.174	2.522	
f105_03_003	f105	3	3	59	135	21	34	1.478	0.913	-0.696	
f105_03_004	f105	3	4	96	150	20	18	0.783	0.870	-0.391	
f105_03_005	f105	3	5	133	137	25	31	1.348	1.087	-0.674	
f105_03_006	f105	3	6	193	153	13	14	0.609	0.565	-0.348	f105_03_m0004
f105_03_007	f105	3	7	281	158	32	44	1.913	1.391	0.522	
f105_03_008	f105	3	8	346	152	25	44	1.913	1.087	0.261	
f105_03_009	f105	3	9	415	159	6	22	0.957	0.261	0.087	
f105_03_010	f105	3	10	472	141	30	37	1.609	1.304	-0.370	
f105_03_011	f105	3	11	526	139	26	34	1.478	1.130	-0.522	
f105_03_012	f105	3	12	589	163	28	22	0.957	1.217	0.261	
f105_03_013	f105	3	13	683	163	22	18	0.783	0.957	0.174	
f105_03_014	f105	3	14	749	159	19	18	0.783	0.826	0.000	
f105_03_015	f105	3	15	798	161	25	45	1.957	1.087	0.674	
f105_03_016	f105	3	16	850	161	18	79	3.435	0.783	1.413	
f105_03_017	f105	3	17	904	166	17	17	0.739	0.739	0.283	
f105_03_018	f105	3	18	955	159	19	29	1.261	0.826	0.239	
f105_03_019	f105	3	19	1013	146	24	38	1.652	1.043	-0.130	
f105_03_020	f105	3	20	1081	160	20	24	1.043	0.870	0.174	
f105_03_021	f105	3	21	1091	190	33	35	1.522	1.435	1.717	
f105_03_022	f105	3	22	1126	165	23	21	0.913	1.000	0.326	
f105_03_023	f105	3	23	1151	199	28	34	1.478	1.217	2.087	
f105_03_024	f105	3	24	1182	161	16	27	1.174	0.696	0.283	
f105_03_025	f105	3	25	1239	177	34	37	1.609	1.478	1.196	
f105_04_001	f105	4	1	60	295	38	44	1.913	1.652	-0.652	f105_04_m0005
f105_04_002	f105	4	2	101	323	20	16	0.696	0.870	-0.043	
f105_04_003	f105	4	3	122	313	53	28	1.217	2.304	-0.217	
f105_04_004	f105	4	4	170	325	11	7	0.304	0.478	-0.152	
f105_04_005	f105	4	5	197	299	69	78	3.391	3.000	0.261	
f105_04_006	f105	4	6	267	318	68	30	1.304	2.957	0.043	
f105_04_007	f105	4	7	375	288	73	59	2.565	3.174	-0.630	
f105_05_001	f105	5	1	6	414	2	36	1.565	0.087	0.739	
f105_05_002	f105	5	2	13	362	42	61	2.652	1.826	-0.978	
f105_05_003	f105	5	3	59	406	24	16	0.696	1.043	-0.043	
f105_05_004	f105	5	4	86	409	12	13	0.565	0.522	0.022	
f105_05_005	f105	5	5	98	407	17	16	0.696	0.739	0.000	
f105_05_006	f105	5	6	176	384	41	37	1.609	1.783	-0.543	
f105_05_007	f105	5	7	212	402	13	8	0.348	0.565	-0.391	
f105_05_008	f105	5	8	234	378	91	48	2.087	3.957	-0.565	
f105_05_009	f105	5	9	326	408	43	48	2.087	1.870	0.739	
f105_05_010	f105	5	10	370	407	26	16	0.696	1.130	0.000	
f105_05_011	f105	5	11	398	409	11	15	0.652	0.478	0.065	
f105_05_012	f105	5	12	406	407	8	8	0.348	0.348	-0.174	f105_05_m0006|f105_05_m0007
f105_06_001	f105	6	1	4	497	3	9	0.391	0.130	0.109	f105_06_m0009
f105_06_002	f105	6	2	9	480	72	47	2.043	3.130	0.196	
f105_06_003	f105	6	3	82	491	67	49	2.130	2.913	0.717	f105_06_m0010
f105_06_004	f105	6	4	142	489	67	22	0.957	2.913	0.043	f105_06_m0008
f105_06_005	f105	6	5	435	467	39	58	2.522	1.696	-0.130	
f105_07_001	f105	7	1	8	551	76	53	2.304	3.304	-0.500	f105_07_m0011|f105_07_m0012|f105_07_m0015
f105_07_002	f105	7	2	88	578	26	17	0.739	1.130	-0.109	
f105_07_003	f105	7	3	118	579	46	19	0.826	2.000	-0.022	
f105_07_004	f105	7	4	164	530	51	69	3.000	2.217	-1.065	
f105_07_005	f105	7	5	204	547	52	52	2.261	2.261	-0.696	
f105_07_006	f105	7	6	258	584	66	58	2.522	2.870	1.043	
f105_07_007	f105	7	7	402	567	66	37	1.609	2.870	-0.152	
f105_07_008	f105	7	8	557	553	10	33	1.435	0.435	-0.848	
f105_07_009	f105	7	9	563	528	42	68	2.957	1.826	-1.174	
f105_07_010	f105	7	10	610	528	18	63	2.739	0.783	-1.283	
f105_07_011	f105	7	11	636	577	12	14	0.609	0.522	-0.217	
f105_07_012	f105	7	12	649	578	11	13	0.565	0.478	-0.196	
f105_07_013	f105	7	13	666	557	11	33	1.435	0.478	-0.674	
f105_07_014	f105	7	14	679	559	7	30	1.304	0.304	-0.652	
f105_07_015	f105	7	15	692	579	11	13	0.565	0.478	-0.152	
f105_07_016	f105	7	16	700	576	9	7	0.304	0.391	-0.413	f105_07_m0014
f105_07_017	f105	7	17	746	537	59	68	2.957	2.565	-0.783	
f105_07_018	f105	7	18	808	558	33	43	1.870	1.435	-0.413	f105_07_m0013
f105_07_019	f105	7	19	973	560	59	60	2.609	2.565	0.043	
f105_07_020	f105	7	20	1052	569	17	56	2.435	0.739	0.348	
f105_07_021	f105	7	21	1070	560	56	60	2.609	2.435	0.043	
f105_08_001	f105	8	1	43	633	102	62	2.696	4.435	-0.522	
f105_08_002	f105	8	2	145	671	44	59	2.565	1.913	1.065	
f105_08_003	f105	8	3	185	681	16	27	1.174	0.696	0.804	
f105_08_004	f105	8	4	197	673	11	10	0.435	0.478	0.087	f105_08_m0016
f105_08_005	f105	8	5	409	658	24	33	1.435	1.043	-0.065	
f105_09_001	f105	9	1	42	754	28	23	1.000	1.217	-0.109	
f105_09_002	f105	9	2	79	759	26	16	0.696	1.130	-0.043	
f105_09_003	f105	9	3	107	760	14	15	0.652	0.609	-0.022	
f105_09_004	f105	9	4	114	756	49	23	1.000	2.130	-0.022	
f105_09_005	f105	9	5	158	758	29	23	1.000	1.261	0.065	
f105_09_006	f105	9	6	381	739	29	65	2.826	1.261	0.152	
f105_10_001	f105	10	1	3	865	4	39	1.696	0.174	1.283	
f105_10_002	f105	10	2	60	852	13	13	0.565	0.565	0.152	f105_10_m0017|f105_10_m0018
f105_10_003	f105	10	3	71	848	11	9	0.391	0.478	-0.109	
f105_10_004	f105	10	4	95	822	72	87	3.783	3.130	0.457	
f105_10_005	f105	10	5	184	848	42	18	0.783	1.826	0.087	
f105_10_006	f105	10	6	225	837	43	71	3.087	1.870	0.761	
f105_10_007	f105	10	7	261	849	16	15	0.652	0.696	0.065	
f105_10_008	f105	10	8	278	834	28	35	1.522	1.217	-0.152	
f105_10_009	f105	10	9	377	852	8	7	0.304	0.348	0.022	f105_10_m0019
f105_10_010	f105	10	10	423	829	57	49	2.130	2.478	-0.065	
f105_10_011	f105	10	11	718	911	22	24	1.043	0.957	2.957	
f105_11_001	f105	11	1	257	1022	14	28	1.217	0.609	-0.478	f105_11_m0020|f105_11_m0025
f105_11_002	f105	11	2	317	1036	22	17	0.739	0.957	-0.109	
f105_11_003	f105	11	3	389	1055	5	7	0.304	0.217	0.500	
f105_11_004	f105	11	4	404	1037	16	15	0.652	0.696	-0.109	
f105_11_005	f105	11	5	421	1034	57	17	0.739	2.478	-0.196	
f105_11_006	f105	11	6	479	1036	10	14	0.609	0.435	-0.174	
f105_11_007	f105	11	7	519	1023	16	20	0.870	0.696	-0.609	
f105_11_008	f105	11	8	555	998	42	55	2.391	1.826	-0.935	
f105_11_009	f105	11	9	608	1002	33	51	2.217	1.435	-0.848	
f105_11_010	f105	11	10	632	1039	26	16	0.696	1.130	0.000	
f105_11_011	f105	11	11	647	1003	50	50	2.174	2.174	-0.826	
f105_11_012	f105	11	12	700	1041	15	12	0.522	0.652	0.000	
f105_11_013	f105	11	13	708	1034	29	19	0.826	1.261	-0.152	
f105_11_014	f105	11	14	740	1040	12	13	0.565	0.522	-0.022	
f105_11_015	f105	11	15	756	1037	11	14	0.609	0.478	-0.130	
f105_11_016	f105	11	16	768	984	71	74	3.217	3.087	-1.130	
f105_11_017	f105	11	17	831	1002	52	61	2.652	2.261	-0.630	
f105_11_018	f105	11	18	885	1046	12	13	0.565	0.522	0.239	
f105_11_019	f105	11	19	895	1039	19	23	1.000	0.826	0.152	
f105_11_020	f105	11	20	915	1048	21	13	0.565	0.913	0.326	
f105_11_021	f105	11	21	933	1044	22	16	0.696	0.957	0.217	
f105_11_022	f105	11	22	957	1033	23	28	1.217	1.000	0.000	
f105_11_023	f105	11	23	997	1042	31	18	0.783	1.348	0.174	
f105_11_024	f105	11	24	1031	1041	37	18	0.783	1.609	0.130	
f105_11_025	f105	11	25	1100	1034	4	15	0.652	0.174	-0.239	
f105_11_026	f105	11	26	1104	1020	18	20	0.870	0.783	-0.739	
f105_11_027	f105	11	27	1128	1002	44	58	2.522	1.913	-0.696	
f105_11_028	f105	11	28	1184	1011	33	49	2.130	1.435	-0.500	
f105_11_029	f105	11	29	1222	1039	42	22	0.957	1.826	0.130	
f105_11_030	f105	11	30	1269	1048	13	13	0.565	0.565	0.326	
f105_11_031	f105	11	31	1276	1029	112	34	1.478	4.870	-0.043	f105_11_m0021|f105_11_m0022|f105_11_m0023|f105_11_m0024
f105_12_001	f105	12	1	11	1109	21	10	0.435	0.913	-0.435	f105_12_m0026
f105_12_002	f105	12	2	68	1095	45	53	2.304	1.957	-0.109	
f105_12_003	f105	12	3	147	1065	34	60	2.609	1.478	-1.261	
f105_12_004	f105	12	4	221	1084	35	47	2.043	1.522	-0.717	
f105_12_005	f105	12	5	276	1089	58	52	2.261	2.522	-0.391	
f105_12_006	f105	12	6	360	1105	34	34	1.478	1.478	-0.087	
f105_12_007	f105	12	7	426	1107	64	41	1.783	2.783	0.152	f105_12_m0027
f105_12_008	f105	12	8	519	1115	26	31	1.348	1.130	0.283	
f105_12_009	f105	12	9	573	1118	24	15	0.652	1.043	0.065	
f105_12_010	f105	12	10	625	1111	26	49	2.130	1.130	0.500	
f105_12_011	f105	12	11	681	1116	33	20	0.870	1.435	0.087	
f105_12_012	f105	12	12	741	1105	36	33	1.435	1.565	-0.109	
f105_12_013	f105	12	13	801	1104	32	37	1.609	1.391	-0.065	
f105_12_014	f105	12	14	850	1100	53	40	1.739	2.304	-0.174	
f105_12_015	f105	12	15	926	1093	24	52	2.261	1.043	-0.217	
f105_12_016	f105	12	16	977	1107	24	36	1.565	1.043	0.043	
f105_12_017	f105	12	17	1015	1113	57	57	2.478	2.478	0.761	
f105_12_018	f105	12	18	1093	1109	31	27	1.174	1.348	-0.065	
f105_12_019	f105	12	19	1140	1104	44	38	1.652	1.913	-0.043	
f105_12_020	f105	12	20	1196	1095	40	66	2.870	1.739	0.174	
f105_12_021	f105	12	21	1261	1113	33	37	1.609	1.435	0.326	
f105_12_022	f105	12	22	1312	1079	19	57	2.478	0.826	-0.717	
f105_12_023	f105	12	23	1350	1108	69	54	2.348	3.000	0.478	
f105_13_001	f105	13	1	71	1159	27	32	1.391	1.174	-0.870	f105_13_m0028
f105_13_002	f105	13	2	143	1166	20	23	1.000	0.870	-0.761	
f105_13_003	f105	13	3	195	1151	40	39	1.696	1.739	-1.065	
f105_13_004	f105	13	4	274	1177	18	17	0.739	0.783	-0.413	f105_13_m0032
f105_13_005	f105	13	5	407	1175	39	46	2.000	1.696	0.130	
f105_13_006	f105	13	6	497	1166	31	45	1.957	1.348	-0.283	
f105_13_007	f105	13	7	567	1172	8	24	1.043	0.348	-0.478	
f105_13_008	f105	13	8	615	1173	30	30	1.304	1.304	-0.304	
f105_13_009	f105	13	9	676	1177	31	29	1.261	1.348	-0.152	f105_13_m0031
f105_13_010	f105	13	10	741	1184	30	22	0.957	1.304	0.000	
f105_13_011	f105	13	11	801	1185	23	20	0.870	1.000	0.000	
f105_13_012	f105	13	12	852	1190	25	16	0.696	1.087	0.130	
f105_13_013	f105	13	13	914	1187	26	49	2.130	1.130	0.717	
f105_13_014	f105	13	14	973	1187	19	56	2.435	0.826	0.870	
f105_13_015	f105	13	15	1017	1189	27	18	0.783	1.174	0.130	
f105_13_016	f105	13	16	1081	1184	18	30	1.304	0.783	0.174	
f105_13_017	f105	13	17	1131	1170	27	39	1.696	1.174	-0.239	f105_13_m0029
f105_13_018	f105	13	18	1191	1185	20	23	1.000	0.870	0.065	
f105_13_019	f105	13	19	1242	1190	36	54	2.348	1.565	0.957	f105_13_m0030
f105_13_020	f105	13	20	1289	1214	22	22	0.957	0.957	1.304	
f105_13_021	f105	13	21	1306	1187	18	19	0.826	0.783	0.065	
