mid	page	line	x	y	w	h	rh	rw	sid
f107_03_m0012	f107	3	672	242	9	9	0.439	0.439	f107_03_010
f107_03_m0013	f107	3	658	260	4	6	0.293	0.195	f107_03_010
f107_03_m0014	f107	3	142	289	5	4	0.195	0.244	f107_03_007
f107_04_m0015	f107	4	0	349	1	15	0.732	0.049	f107_04_001
f107_04_m0016	f107	4	428	365	6	6	0.293	0.293	f107_04_008
f107_04_m0017	f107	4	63	367	5	4	0.195	0.244	f107_04_004
f107_05_m0018	f107	5	28	457	13	12	0.585	0.634	f107_05_001
f107_05_m0019	f107	5	56	457	18	14	0.683	0.878	f107_05_001
f107_05_m0020	f107	5	133	476	4	3	0.146	0.195	f107_05_002
f107_06_m0021	f107	6	352	572	4	2	0.098	0.195	f107_06_007
f107_06_m0022	f107	6	234	607	4	3	0.146	0.195	f107_06_006
f107_07_m0023	f107	7	93	676	8	8	0.390	0.390	f107_07_003
f107_10_m0024	f107	10	374	936	6	8	0.390	0.293	f107_10_008
f107_10_m0025	f107	10	7	943	3	3	0.146	0.146	f107_10_001
f107_12_m0026	f107	12	37	1093	4	13	0.634	0.195	f107_12_001
f107_12_m0027	f107	12	1341	1108	10	7	0.341	0.488	f107_12_013
f107_13_m0028	f107	13	1433	1169	5	9	0.439	0.244	f107_13_010
f107_13_m0029	f107	13	1432	1183	5	12	0.585	0.244	f107_13_010
f107_14_m0030	f107	14	41	1253	10	16	0.780	0.488	f107_14_001
f107_14_m0031	f107	14	29	1272	25	10	0.488	1.220	f107_14_001
f107_15_m0032	f107	15	11	1329	5	10	0.488	0.244	f107_15_001
f107_15_m0033	f107	15	45	1342	10	13	0.634	0.488	f107_15_001
f107_15_m0034	f107	15	41	1356	6	5	0.244	0.293	f107_15_001
f107_16_m0035	f107	16	1438	1409	3	15	0.732	0.146	f107_16_007
f107_16_m0036	f107	16	45	1425	8	10	0.488	0.390	f107_16_001
f107_16_m0037	f107	16	286	1434	7	7	0.341	0.341	f107_16_006
f107_16_m0038	f107	16	1438	1434	2	10	0.488	0.098	f107_16_007
f107_17_m0039	f107	17	13	1499	4	7	0.341	0.195	f107_17_001
f107_17_m0040	f107	17	8	1500	4	14	0.683	0.195	f107_17_001
f107_17_m0041	f107	17	13	1508	5	6	0.293	0.244	f107_17_001
f107_17_m0042	f107	17	8	1516	10	9	0.439	0.488	f107_17_001
f107_17_m0043	f107	17	1438	1518	2	5	0.244	0.098	f107_17_009
f107_18_m0044	f107	18	33	1581	11	15	0.732	0.537	f107_18_001
f107_18_m0045	f107	18	174	1581	3	3	0.146	0.146	f107_18_002
f107_18_m0046	f107	18	30	1589	3	5	0.244	0.146	f107_18_001
f107_18_m0047	f107	18	1437	1593	1	7	0.341	0.049	f107_18_003
f107_18_m0048	f107	18	218	1601	8	10	0.488	0.390	f107_18_002
f107_19_m0049	f107	19	804	1678	4	4	0.195	0.195	f107_19_012
f107_20_m0050	f107	20	652	1894	10	9	0.439	0.488	f107_20_009
f107_20_m0051	f107	20	491	1922	3	6	0.293	0.146	f107_20_006
f107_20_m0052	f107	20	1422	1931	11	7	0.341	0.537	f107_20_018
f107_20_m0053	f107	20	350	1933	16	5	0.244	0.780	f107_20_005
f107_20_m0054	f107	20	761	1933	6	5	0.244	0.293	f107_20_011
f107_20_m0055	f107	20	323	1934	18	2	0.098	0.878	f107_20_004
f107_20_m0056	f107	20	342	1935	6	2	0.098	0.293	f107_20_005
f107_20_m0057	f107	20	510	1934	2	5	0.244	0.098	f107_20_006
f107_20_m0058	f107	20	418	1937	6	2	0.098	0.293	f107_20_005
f108_01_m0001	f108	1	640	42	3	3	0.146	0.146	f108_01_012
f108_01_m0002	f108	1	1042	43	7	2	0.098	0.341	f108_01_018
f108_01_m0003	f108	1	1451	44	5	3	0.146	0.244	f108_01_025
f108_01_m0004	f108	1	1199	49	3	3	0.146	0.146	f108_01_021
f108_01_m0005	f108	1	84	70	8	5	0.244	0.390	f108_01_001
f108_01_m0006	f108	1	946	75	3	3	0.146	0.146	f108_01_016
f108_01_m0007	f108	1	923	123	20	6	0.293	0.976	f108_01_016
f108_02_m0008	f108	2	115	204	4	3	0.146	0.195	f108_02_001
f108_03_m0009	f108	3	1201	345	3	8	0.390	0.146	f108_03_022
f108_03_m0010	f108	3	430	377	6	8	0.390	0.293	f108_03_002
f108_03_m0011	f108	3	927	385	6	7	0.341	0.293	f108_03_015
f108_03_m0012	f108	3	719	388	7	4	0.195	0.341	f108_03_009
f108_04_m0013	f108	4	1407	442	4	10	0.488	0.195	f108_04_004
f108_04_m0014	f108	4	693	467	5	6	0.293	0.244	f108_04_004
f108_05_m0015	f108	5	679	538	5	8	0.390	0.244	f108_05_012
f108_05_m0016	f108	5	82	544	17	14	0.683	0.829	f108_05_001
f108_05_m0017	f108	5	103	553	9	9	0.439	0.439	f108_05_001
f108_05_m0018	f108	5	330	572	11	6	0.293	0.537	f108_05_008
f108_06_m0019	f108	6	243	644	30	12	0.585	1.463	f108_06_005
f108_06_m0020	f108	6	1416	644	3	4	0.195	0.146	f108_06_008
f108_06_m0021	f108	6	402	662	7	7	0.341	0.341	f108_06_007
f108_07_m0022	f108	7	236	743	17	10	0.488	0.829	f108_07_005
f108_07_m0023	f108	7	39	746	5	4	0.195	0.244	f108_07_001
f108_08_m0024	f108	8	417	828	7	7	0.341	0.341	f108_08_008
f108_09_m0025	f108	9	190	892	8	6	0.293	0.390	f108_09_004
f108_09_m0026	f108	9	236	915	13	8	0.390	0.634	f108_09_006
f108_12_m0027	f108	12	1450	1157	6	7	0.341	0.293	f108_12_004
f108_12_m0028	f108	12	1450	1165	4	5	0.244	0.195	f108_12_004
f108_12_m0029	f108	12	1443	1169	4	3	0.146	0.195	f108_12_004
f108_12_m0030	f108	12	1425	1170	5	5	0.244	0.244	f108_12_004
f108_12_m0031	f108	12	121	1179	4	3	0.146	0.195	f108_12_001
f108_12_m0032	f108	12	139	1179	28	7	0.341	1.366	f108_12_001
f108_13_m0033	f108	13	1412	1257	3	3	0.146	0.146	f108_13_006
f108_14_m0034	f108	14	139	1347	4	6	0.293	0.195	f108_14_001
f108_14_m0035	f108	14	204	1373	7	6	0.293	0.341	f108_14_003
f108_15_m0036	f108	15	36	1467	5	4	0.195	0.244	f108_15_001
f108_15_m0037	f108	15	561	1471	5	7	0.341	0.244	f108_15_016
f108_15_m0038	f108	15	378	1483	7	4	0.195	0.341	f108_15_014
f108_16_m0039	f108	16	48	1572	18	4	0.195	0.878	f108_16_001
f108_16_m0040	f108	16	1419	1602	3	5	0.244	0.146	f108_16_010
f108_17_m0041	f108	17	1439	2161	12	4	0.195	0.585	f108_17_016
f108_17_m0042	f108	17	640	2166	9	9	0.439	0.439	f108_17_005
f108_17_m0043	f108	17	1276	2167	20	4	0.195	0.976	f108_17_014
f108_17_m0044	f108	17	1302	2167	14	4	0.195	0.683	f108_17_015
f108_17_m0045	f108	17	1318	2166	13	4	0.195	0.634	f108_17_015
f108_17_m0046	f108	17	1202	2169	30	6	0.293	1.463	f108_17_013
f108_17_m0047	f108	17	989	2172	26	10	0.488	1.268	f108_17_011
f108_17_m0048	f108	17	1059	2173	10	5	0.244	0.488	f108_17_012
f108_17_m0049	f108	17	1032	2175	27	4	0.195	1.317	f108_17_012
f108_17_m0050	f108	17	774	2176	6	4	0.195	0.293	f108_17_008
f108_17_m0051	f108	17	764	2179	6	2	0.098	0.293	f108_17_008
f108_17_m0052	f108	17	968	2178	4	3	0.146	0.195	f108_17_011
f108_17_m0053	f108	17	980	2178	5	3	0.146	0.244	f108_17_011
f109_03_m0001	f109	3	5	138	2	2	0.143	0.143	f109_03_001
f109_03_m0002	f109	3	1090	143	3	3	0.214	0.214	f109_03_018
f109_03_m0003	f109	3	262	144	14	8	0.571	1.000	f109_03_005
f109_04_m0004	f109	4	100	279	4	3	0.214	0.286	f109_04_001
f109_05_m0005	f109	5	7	353	2	2	0.143	0.143	f109_05_001
f109_06_m0006	f109	6	0	435	6	4	0.286	0.429	f109_06_001
f109_06_m0007	f109	6	7	443	2	3	0.214	0.143	f109_06_001
f109_06_m0008	f109	6	952	448	5	4	0.286	0.357	f109_06_004
f109_06_m0009	f109	6	1420	451	3	2	0.143	0.214	f109_06_004
f109_09_m0010	f109	9	20	692	17	11	0.786	1.214	f109_09_001
f109_09_m0011	f109	9	94	708	10	8	0.571	0.714	f109_09_002
f109_09_m0012	f109	9	1427	715	3	5	0.357	0.214	f109_09_005
f109_10_m0013	f109	10	272	796	7	5	0.357	0.500	f109_10_007
f109_13_m0014	f109	13	1231	1024	3	4	0.286	0.214	f109_13_011
f109_13_m0015	f109	13	1255	1037	3	2	0.143	0.214	f109_13_012
f109_13_m0016	f109	13	1202	1051	2	2	0.143	0.143	f109_13_011
f109_13_m0017	f109	13	76	1053	8	6	0.429	0.571	f109_13_002
f109_13_m0018	f109	13	1196	1054	5	4	0.286	0.357	f109_13_011
f109_14_m0019	f109	14	1202	1111	2	2	0.143	0.143	f109_14_013
f109_14_m0020	f109	14	29	1115	2	2	0.143	0.143	f109_14_001
f109_14_m0021	f109	14	1289	1115	5	9	0.643	0.357	f109_14_016
f109_14_m0022	f109	14	1217	1130	4	5	0.357	0.286	f109_14_014
f109_14_m0023	f109	14	298	1143	2	5	0.357	0.143	f109_14_006
f109_15_m0024	f109	15	12	1192	10	6	0.429	0.714	f109_15_001
f109_15_m0025	f109	15	1305	1197	3	4	0.286	0.214	f109_15_009
f109_15_m0026	f109	15	1342	1196	3	2	0.143	0.214	f109_15_010
f109_15_m0027	f109	15	1292	1198	3	3	0.214	0.214	f109_15_008
f109_15_m0028	f109	15	1341	1198	6	7	0.500	0.429	f109_15_010
f109_15_m0029	f109	15	1258	1200	4	3	0.214	0.286	f109_15_007
f109_15_m0030	f109	15	1272	1204	4	4	0.286	0.286	f109_15_007
f109_15_m0031	f109	15	1282	1207	3	3	0.214	0.214	f109_15_008
f109_15_m0032	f109	15	1401	1207	3	4	0.286	0.214	f109_15_015
f109_15_m0033	f109	15	61	1209	3	3	0.214	0.214	f109_15_001
f109_15_m0034	f109	15	332	1212	7	4	0.286	0.500	f109_15_005
f109_15_m0035	f109	15	241	1215	16	8	0.571	1.143	f109_15_004
f109_15_m0036	f109	15	1355	1219	5	3	0.214	0.357	f109_15_010
f109_15_m0037	f109	15	1349	1222	3	2	0.143	0.214	f109_15_010
f109_16_m0038	f109	16	1392	1273	5	7	0.500	0.357	f109_16_017
f109_16_m0039	f109	16	1366	1274	2	4	0.286	0.143	f109_16_016
f109_16_m0040	f109	16	1308	1280	4	4	0.286	0.286	f109_16_014
f109_16_m0041	f109	16	1228	1283	5	6	0.429	0.357	f109_16_012
f109_16_m0042	f109	16	1331	1282	3	4	0.286	0.214	f109_16_016
f109_16_m0043	f109	16	1410	1282	3	3	0.214	0.214	f109_16_018
f109_16_m0044	f109	16	1345	1290	5	3	0.214	0.357	f109_16_016
f109_16_m0045	f109	16	1246	1293	3	2	0.143	0.214	f109_16_012
f109_16_m0046	f109	16	1347	1296	4	4	0.286	0.286	f109_16_016
f109_16_m0047	f109	16	1402	1304	2	2	0.143	0.143	f109_16_018
f109_16_m0048	f109	16	1255	1306	2	4	0.286	0.143	f109_16_012
f109_17_m0049	f109	17	1423	1448	2	3	0.214	0.143	f109_17_008
f109_17_m0050	f109	17	1421	1455	2	3	0.214	0.143	f109_17_008
f109_17_m0051	f109	17	1419	1459	3	2	0.143	0.214	f109_17_008
f109_17_m0052	f109	17	12	1486	3	5	0.357	0.214	f109_17_001
f109_17_m0053	f109	17	261	1494	4	9	0.643	0.286	f109_17_002
f109_17_m0054	f109	17	13	1515	2	2	0.143	0.143	f109_17_001
f109_17_m0055	f109	17	343	1517	9	8	0.571	0.643	f109_17_002
f109_18_m0056	f109	18	1431	1768	1	11	0.786	0.071	f109_18_014
f109_18_m0057	f109	18	876	1780	5	5	0.357	0.357	f109_18_010
f109_18_m0058	f109	18	918	1780	2	2	0.143	0.143	f109_18_010
f109_18_m0059	f109	18	1428	1782	4	8	0.571	0.286	f109_18_014
f109_18_m0060	f109	18	17	1790	4	11	0.786	0.286	f109_18_001
f109_18_m0061	f109	18	15	1804	5	4	0.286	0.357	f109_18_001
f109_18_m0062	f109	18	1430	1810	2	9	0.643	0.143	f109_18_014
f109_18_m0063	f109	18	1430	1820	2	3	0.214	0.143	f109_18_014
f109_18_m0064	f109	18	1430	1826	2	7	0.500	0.143	f109_18_014
f109_18_m0065	f109	18	1431	1840	1	11	0.786	0.071	f109_18_014
f109_18_m0066	f109	18	812	1855	3	2	0.143	0.214	f109_18_008
f109_18_m0067	f109	18	866	1860	5	6	0.429	0.357	f109_18_009
f109_18_m0068	f109	18	796	1884	3	2	0.143	0.214	f109_18_008
f109_18_m0069	f109	18	793	1886	2	2	0.143	0.143	f109_18_008
f109_18_m0070	f109	18	817	1887	5	5	0.357	0.357	f109_18_008
f110_01_m0001	f110	1	1334	0	3	14	0.636	0.136	f110_01_019
f110_01_m0002	f110	1	840	8	3	14	0.636	0.136	f110_01_013
f110_01_m0003	f110	1	1456	50	4	11	0.500	0.182	f110_01_022
f110_01_m0004	f110	1	1455	62	5	5	0.227	0.227	f110_01_022
f110_01_m0005	f110	1	157	79	4	3	0.136	0.182	f110_01_002
f110_01_m0006	f110	1	429	108	11	13	0.591	0.500	f110_01_007
f110_01_m0007	f110	1	1457	110	3	7	0.318	0.136	f110_01_022
f110_02_m0008	f110	2	216	189	21	16	0.727	0.955	f110_02_002
f110_02_m0009	f110	2	84	191	12	13	0.591	0.545	f110_02_001
f110_02_m0010	f110	2	173	190	15	11	0.500	0.682	f110_02_001
f110_02_m0011	f110	2	361	192	15	11	0.500	0.682	f110_02_002
f110_02_m0012	f110	2	352	196	16	15	0.682	0.727	f110_02_002
f110_02_m0013	f110	2	1356	199	8	4	0.182	0.364	f110_02_016
f110_03_m0014	f110	3	211	329	3	6	0.273	0.136	f110_03_006
f110_06_m0015	f110	6	124	586	18	17	0.773	0.818	f110_06_001
f110_07_m0016	f110	7	1455	669	5	8	0.364	0.227	f110_07_005
f110_07_m0017	f110	7	35	676	5	7	0.318	0.227	f110_07_001
f110_07_m0018	f110	7	263	687	5	7	0.318	0.227	f110_07_004
f110_07_m0019	f110	7	1454	686	6	12	0.545	0.273	f110_07_005
f110_07_m0020	f110	7	183	694	6	5	0.227	0.273	f110_07_001
f110_08_m0021	f110	8	303	773	7	5	0.227	0.318	f110_08_007
f110_09_m0022	f110	9	1455	868	3	4	0.182	0.136	f110_09_002
f110_09_m0023	f110	9	328	873	9	9	0.409	0.409	f110_09_001
f110_10_m0024	f110	10	304	967	10	3	0.136	0.455	f110_10_003
f110_12_m0025	f110	12	508	1133	18	15	0.682	0.818	f110_12_009
f110_12_m0026	f110	12	463	1136	19	17	0.773	0.864	f110_12_009
f110_12_m0027	f110	12	318	1167	12	6	0.273	0.545	f110_12_006
f110_12_m0028	f110	12	161	1169	20	9	0.409	0.909	f110_12_002
f110_12_m0029	f110	12	212	1175	9	5	0.227	0.409	f110_12_003
f110_13_m0030	f110	13	1451	1243	3	4	0.182	0.136	f110_13_015
f110_14_m0031	f110	14	245	1343	3	3	0.136	0.136	f110_14_006
f110_14_m0032	f110	14	269	1355	7	5	0.227	0.318	f110_14_006
f110_14_m0033	f110	14	195	1365	7	5	0.227	0.318	f110_14_005
f110_14_m0034	f110	14	259	1364	5	4	0.182	0.227	f110_14_006
f110_15_m0035	f110	15	30	1489	2	16	0.727	0.091	f110_15_001
f110_15_m0036	f110	15	696	1494	10	17	0.773	0.455	f110_15_006
f110_15_m0037	f110	15	686	1512	10	13	0.591	0.455	f110_15_006
f110_15_m0038	f110	15	31	1522	1	10	0.455	0.045	f110_15_001
f110_15_m0039	f110	15	31	1533	2	12	0.545	0.091	f110_15_001
f110_15_m0040	f110	15	373	1550	3	7	0.318	0.136	f110_15_002
f110_16_m0041	f110	16	30	1784	2	10	0.455	0.091	f110_16_001
f110_16_m0042	f110	16	448	1855	10	4	0.182	0.455	f110_16_001
