line	pos	token	value	grade	gloss
r14	16	V	i	H	articulus
r14	17	L	c	H	articulus
r14	18	cc	u	H	articulus
r14	19	9	l	H	articulus
r14	20	cc	u	H	articulus
r14	21	Po	s	H	articulus
r14	22	V	i	H	imponetur
r14	23	U	m	H	imponetur
r14	24	4	p	H	imponetur
r15	1	Y	o	H	imponetur
r15	2	U	n	H	imponetur
r15	3	q	e	H	imponetur
r15	4	Po	t	H	imponetur
r15	5	cc	u	H	imponetur
r15	6	R	r	H	imponetur
r15	7	cc	u	H	ut
r15	8	Po	t	H	ut
r15	9	U	n	H	nullus
r15	10	cc	u	H	nullus
r15	11	9	l	H	nullus
r15	12	9	l	H	nullus
r15	13	cc	u	H	nullus
r15	14	P	s	H	nullus
r15	15	6	a	H	alius
r15	16	9	l	H	alius
r15	17	V	i	H	alius
r15	18	cc	u	H	alius
r15	19	P	s	H	alius
r15	20	V	i	H	in_istud
r15	21	U	n	H	in_istud
r15	22	V	i	H	in_istud
r15	23	P	s	H	in_istud
r16	1	Po	t	H	in_istud
r16	2	cc	u	H	in_istud
r16	3	T	d	H	in_istud
r16	4	3	f	H	fedus
r16	5	q	e	H	fedus
r16	6	T	d	H	fedus
r16	7	cc	u	H	fedus
r16	8	P	s	H	fedus
r16	9	6	a	H	acceptaretur
r16	10	L	c	H	acceptaretur
r16	11	L	c	H	acceptaretur
r16	12	q	e	H	acceptaretur
r16	13	4	p	H	acceptaretur
r16	14	Po	t	H	acceptaretur
r16	15	6	a	H	acceptaretur
r16	16	R	r	H	acceptaretur
r16	17	q	e	H	acceptaretur
r16	18	Po	t	H	acceptaretur
r16	19	cc	u	H	acceptaretur
r16	20	R	r	H	acceptaretur
r16	21	U	n	H	nisi
r16	22	V	i	H	nisi
r16	23	P	s	H	nisi
r16	24	V	i	H	nisi
r17	1	D	m	H	maiore
r17	2	6	a	H	maiore
r17	3	V	i	H	maiore
r17	4	Y	o	H	maiore
r17	5	R	r	H	maiore
r17	6	q	e	H	maiore
r17	7	4	p	H	parte
r17	8	6	a	H	parte
r17	9	R	r	H	parte
r17	10	Po	t	H	parte
r17	11	q	e	H	parte
r17	12	L	c	H	confederatorum
r17	13	Y	o	H	confederatorum
r17	14	U	n	H	confederatorum
r17	15	3	f	H	confederatorum
r17	16	q	e	H	confederatorum
r17	17	T	d	H	confederatorum
r17	18	q	e	H	confederatorum
r17	19	R	r	H	confederatorum
r17	20	6	a	H	confederatorum
r17	21	Po	t	H	confederatorum
r17	22	Y	o	H	confederatorum
r17	23	R	r	H	confederatorum
r17	24	cc	u	H	confederatorum
r17	25	D	m	H	confederatorum
r17	26	L	c	H	consentiente
r17	27	Y	o	H	consentiente
r17	28	U	n	H	consentiente
r18	1	P	s	H	consentiente
r18	2	q	e	H	consentiente
r18	3	U	n	H	consentiente
r18	4	P	t	H	consentiente
r18	5	V	i	H	consentiente
r18	6	q	e	H	consentiente
r18	7	U	n	H	consentiente
r18	8	Po	t	H	consentiente
r18	9	q	e	H	consentiente
r18	10	q	e	H	et
r18	11	Po	t	H	et
r18	12	Z	q	H	quem
r18	13	cc	u	H	quem
r18	14	q	e	H	quem
r18	15	D	m	H	quem
r18	16	L	c	S	nunq
r18	17	cc	u	S	nunq
r18	18	D	m	S	nunq
r18	19	Z	q	S	
r18	20	cc	u	S	
r18	21	q	e	S	
r18	22	D	m	H	maior
r18	23	6	a	H	maior
r18	24	V	i	H	maior
r18	25	Y	o	H	maior
r19	1	R	r	H	maior
r19	2	4	p	H	pars
r19	3	6	a	H	pars
r19	4	R	r	H	pars
r19	5	P	s	H	pars
r19	6	6	a	H	admitteret
r19	7	T	d	H	admitteret
r19	8	D	m	H	admitteret
r19	9	V	i	H	admitteret
r19	10	Po	t	H	admitteret
r19	11	Po	t	H	admitteret
r19	12	q	e	H	admitteret
r19	13	R	r	H	admitteret
r19	14	q	e	H	admitteret
r19	15	Po	t	H	admitteret
r19	18	ß	?	unread	
r19	19	L	c	H	consentiret
r19	20	Y	o	H	consentiret
r19	21	U	n	H	consentiret
r19	22	P	s	H	consentiret
r19	23	q	e	H	consentiret
r19	24	U	n	H	consentiret
r19	25	Po	t	H	consentiret
r20	1	V	i	H	consentiret
r20	2	R	r	H	consentiret
r20	3	q	e	H	consentiret
r20	4	Po	t	H	consentiret
r20	5	cc	u	H	ut
r20	6	Po	t	H	ut
r20	7	D	m	H	minor
r20	8	V	i	H	minor
r20	9	U	n	H	minor
r20	10	Y	o	H	minor
r20	11	R	r	H	minor
r20	12	4	p	H	pars
r20	13	6	a	H	pars
r20	14	R	r	H	pars
r20	15	P	s	H	pars
r20	16	6	a	H	admittere
r20	17	T	d	H	admittere
r20	18	D	m	H	admittere
r20	19	V	i	H	admittere
r20	20	Po	t	H	admittere
r20	21	Po	t	H	admittere
r20	22	q	e	H	admittere
r20	23	R	r	H	admittere
r20	24	q	e	H	admittere
r21	1	q	e	H	et
r21	2	Po	t	H	et
r21	3	L	c	H	consentire
r21	4	Y	o	H	consentire
r21	5	U	n	H	consentire
r21	6	P	s	H	consentire
r21	7	q	e	H	consentire
r21	8	U	n	H	consentire
r21	9	Po	t	H	consentire
r21	10	V	i	H	consentire
r21	11	R	r	H	consentire
r21	12	q	e	H	consentire
r21	13	Po	t	H	teneretur
r21	14	q	e	H	teneretur
r21	15	U	n	H	teneretur
r21	16	q	e	H	teneretur
r21	17	R	r	H	teneretur
r21	18	q	e	H	teneretur
r21	19	Po	t	H	teneretur
r21	20	cc	u	H	teneretur
r21	21	R	r	H	teneretur
r22	2	Po	t	H	tractari
r22	3	R	r	H	tractari
r22	4	6	a	H	tractari
r22	5	L	c	H	tractari
r22	6	Po	t	H	tractari
r22	7	6	a	H	tractari
r22	8	R	r	H	tractari
r22	9	V	i	H	tractari
r22	10	L	c	H	cum
r22	11	cc	u	H	cum
r22	12	D	m	H	cum
r22	13	Π	h	H	his
r22	14	V	i	H	his
r22	15	P	s	H	his
r22	16	Z	q	H	qui
r22	17	cc	u	H	qui
r22	18	V	i	H	qui
r22	19	U	n	H	non
r22	20	Y	o	H	non
r22	21	U	n	H	non
r23	3	3	f	H	fedus
r23	4	q	e	H	fedus
r23	5	T	d	H	fedus
r23	6	cc	u	H	fedus
r23	7	P	s	H	fedus
r23	8	6	a	H	aut
r23	9	cc	u	H	aut
r23	10	Po	t	H	aut
r23	12	6	a	H	amicitiam
r23	13	D	m	H	amicitiam
r23	14	V	i	H	amicitiam
r23	15	L	c	H	amicitiam
r23	16	V	i	H	amicitiam
r23	17	L	t	H	amicitiam
r23	18	V	i	H	amicitiam
r23	19	6	a	H	amicitiam
r23	20	D	m	H	amicitiam
r23	21	L	c	H	cum
r23	22	cc	u	H	cum
r24	1	D	m	H	cum
r24	2	K	=christianissimus	H	chrmo
r24	3	cc	u	H	ut
r24	4	Po	t	H	ut
r24	5	P	s	H	speciale
r24	6	4	p	H	speciale
r24	7	q	e	H	speciale
r24	8	L	c	H	speciale
r24	9	V	i	H	speciale
r24	10	6	a	H	speciale
r24	11	9	l	H	speciale
r24	12	q	e	H	speciale
r24	13	3	f	H	fedus
r24	14	q	e	H	fedus
r24	15	T	d	H	fedus
r24	16	cc	u	H	fedus
r24	17	P	s	H	fedus
r24	18	3	f	H	fiat
r24	19	V	i	H	fiat
r24	20	6	a	H	fiat
r24	21	Po	t	H	fiat
r25	4	P	s	H	securum
r25	5	q	e	H	securum
r25	6	L	c	H	securum
r25	7	cc	u	H	securum
r25	8	R	r	H	securum
r25	9	cc	u	H	securum
r25	10	D	m	H	securum
r25	11	P	s	H	sit
r25	12	V	i	H	sit
r25	13	Po	t	H	sit
r25	14	g		M	
r25	16	9	l	H	longe
r25	17	Y	o	H	longe
r25	18	U	n	H	longe
r25	19	+	g	H	longe
r25	20	q	e	H	longe
r25	21	D	m	H	maior
r25	22	6	a	H	maior
r25	23	V	i	H	maior
r25	24	Y	o	H	maior
r26	1	R	r	H	maior
r26	2	4	p	H	pars
r26	3	6	a	H	pars
r26	4	R	r	H	pars
r26	5	P	s	H	pars
r26	9	4	p	H	pro
r26	10	R	r	H	pro
r26	11	Y	o	H	pro
r26	12	K	=christianissimus	H	chrmo
r26	13	g		M	
r27	1	K	=christianissimus	H	chrmus
r27	2	Π	h	H	hoc
r27	3	Y	o	H	hoc
r27	4	L	c	H	hoc
r27	5	3	f	H	fedus
r27	6	q	e	H	fedus
r27	7	T	d	H	fedus
r27	8	cc	u	H	fedus
r27	9	P	s	H	fedus
r27	10	4	p	H	petat
r27	11	q	e	H	petat
r27	12	Po	t	H	petat
r27	13	6	a	H	petat
r27	14	Po	t	H	petat
r27	15	cc	u	H	velle
r27	16	q	e	H	velle
r27	17	9	l	H	velle
r27	18	9	l	H	velle
r27	19	q	e	H	velle
r27	20	V	i	H	inire
r27	21	U	n	H	inire
r27	22	V	i	H	inire
r27	23	R	r	H	inire
r27	24	q	e	H	inire
r28	7	q	e	H	esse
r28	8	P	s	H	esse
r28	9	P	s	H	esse
r28	10	q	e	H	esse
r28	11	V	i	H	in
r28	12	U	n	H	in
r28	13	3	f	H	federe
r28	14	q	e	H	federe
r28	15	T	d	H	federe
r28	16	q	e	H	federe
r28	17	R	r	H	federe
r28	18	q	e	H	federe
r29	1	L	r	H	rum
r29	2	cc	u	H	rum
r29	3	?BLOT	?	unread	rum
r29	4	K	=christianissimus	H	chrmo
r29	7	6	a	H	astricti
r29	8	P	s	H	astricti
r29	9	Po	t	H	astricti
r29	10	R	r	H	astricti
r29	11	V	i	H	astricti
r29	12	L	c	H	astricti
r29	13	Po	t	H	astricti
r29	14	V	i	H	astricti
r29	15	q	e	H	erunt
r29	16	R	r	H	erunt
r29	17	cc	u	H	erunt
r29	18	U	n	H	erunt
r29	19	Po	t	H	erunt
r29	20	q	e	H	esse
r29	21	P	s	H	esse
r29	22	P	s	H	esse
r30	1	q	e	H	esse
r30	2	L	c	H	confederatores
r30	3	Y	o	H	confederatores
r30	4	U	n	H	confederatores
r30	5	3	f	H	confederatores
r30	6	q	e	H	confederatores
r30	7	T	d	H	confederatores
r30	8	q	e	H	confederatores
r30	9	R	r	H	confederatores
r30	10	6	a	H	confederatores
r30	11	Po	t	H	confederatores
r30	12	Y	o	H	confederatores
r30	13	R	r	H	confederatores
r30	14	q	e	H	confederatores
r30	15	P	s	H	confederatores
r30	16	q	e	S	
r30	17	P	s	S	
r30	18	K	=christianissimus	H	chrmi
v01	9	D	m	H	maiorem
v01	10	6	a	H	maiorem
v01	11	V	i	H	maiorem
v01	12	Y	o	H	maiorem
v01	13	R	r	H	maiorem
v01	14	q	e	H	maiorem
v01	15	D	m	H	maiorem
v02	1	9	l	H	ligam
v02	2	V	i	H	ligam
v02	3	+	g	H	ligam
v02	4	6	a	H	ligam
v02	5	D	m	H	ligam
v02	6	g		M	
v02	7	q	e	H	et
v02	8	Po	t	H	et
v02	9	L	c	H	confederationem
v02	10	Y	o	H	confederationem
v02	11	U	n	H	confederationem
v02	12	3	f	H	confederationem
v02	13	q	e	H	confederationem
v02	14	T	d	H	confederationem
v02	15	q	e	H	confederationem
v02	16	R	r	H	confederationem
v02	17	6	a	H	confederationem
v02	18	L	t	H	confederationem
v02	19	V	i	H	confederationem
v02	20	Y	o	H	confederationem
v02	21	U	n	H	confederationem
v02	22	q	e	H	confederationem
v02	23	D	m	H	confederationem
v02	24	V	i	H	infauorem
v02	25	U	n	H	infauorem
v02	26	3	f	H	infauorem
v02	27	6	a	H	infauorem
v02	28	cc	u	H	infauorem
v02	29	Y	o	H	infauorem
v02	30	R	r	H	infauorem
v03	1	q	e	H	infauorem
v03	2	D	m	H	infauorem
v03	3	K	=christianissimus	H	chrmi
v03	6	V	i	H	in
v03	7	U	n	H	in
v03	8	Po	t	H	tota
v03	9	Y	o	H	tota
v03	10	Po	t	H	tota
v03	11	6	a	H	tota
v03	12	+	g	H	germania
v03	13	q	e	H	germania
v03	14	R	r	H	germania
v03	15	D	m	H	germania
v03	16	6	a	H	germania
v03	17	U	n	H	germania
v03	18	V	i	H	germania
v03	19	6	a	H	germania
v03	20	g		M	
v03	21	o		M	
v04	3	F	=marchio	H	marchio
v04	4	O	=Luneburg	H	luneburg
v05	7	6	a	S	
v05	8	K	=christianissimus	H	chr
v05	9	4	p	H	pensionem
v05	10	q	e	H	pensionem
v05	11	U	n	H	pensionem
v05	12	P	s	H	pensionem
v05	13	V	i	H	pensionem
v05	14	Y	o	H	pensionem
v05	15	U	n	H	pensionem
v05	16	q	e	H	pensionem
v05	17	D	m	H	pensionem
v05	18	o		M	
v05	19	g		M	
v05	20	V	i	H	ipsis
v05	21	4	p	H	ipsis
v05	22	P	s	H	ipsis
v06	1	V	i	H	ipsis
v06	2	P	s	H	ipsis
v06	3	4	p	H	promittatur
v06	4	R	r	H	promittatur
v06	5	Y	o	H	promittatur
v06	6	D	m	H	promittatur
v06	7	V	i	H	promittatur
v06	8	Po	t	H	promittatur
v06	9	Po	t	H	promittatur
v06	10	6	a	H	promittatur
v06	11	Po	t	H	promittatur
v06	12	cc	u	H	promittatur
v06	13	R	r	H	promittatur
v06	14	g		M	
v06	15	Z	q	S	
v06	18	F	=marchio	H	marchioni
v07	3	+	g	H	gallum
v07	4	6	a	H	gallum
v07	5	9	l	H	gallum
v07	6	9	l	H	gallum
v07	7	cc	u	H	gallum
v07	8	D	m	H	gallum
v07	9	g		M	
v07	10	Z	q	S	
v07	11	K	=christianissimus	H	chrus
v08	7	4	p	H	principibus
v08	8	R2	r	H	principibus
v08	9	V	i	H	principibus
v08	10	U	n	H	principibus
v08	11	L	c	H	principibus
v08	12	V	i	H	principibus
v08	13	4	p	H	principibus
v08	14	V	i	H	principibus
v08	15	7	b	H	principibus
v08	16	cc	u	H	principibus
v09	1	P	s	H	principibus
v09	2	g		M	
v09	6	3	f	H	fedus
v09	7	q	e	H	fedus
v09	8	T	d	H	fedus
v09	9	cc	u	H	fedus
v09	10	P	s	H	fedus
v09	11	g		M	
v09	12	V	i	H	inter
v09	13	U	n	H	inter
v09	14	Po	t	H	inter
v09	15	q	e	H	inter
v09	16	R	r	H	inter
v09	17	q	n	H	nos
v09	18	Y	o	H	nos
v09	19	P	s	H	nos
v10	1	3	f	H	factum
v10	2	6	a	H	factum
v10	3	L	c	H	factum
v10	4	Po	t	H	factum
v10	5	cc	u	H	factum
v10	6	D	m	H	factum
v10	7	P	s	H	sit
v10	8	V	i	H	sit
v10	9	Po	t	H	sit
v10	14	K	=christianissimus	H	chrmus
v10	15	V	i	H	ingrediatur
v10	16	U	n	H	ingrediatur
v10	17	+	g	H	ingrediatur
v10	18	R	r	H	ingrediatur
v10	19	q	e	H	ingrediatur
v10	20	T	d	H	ingrediatur
v10	21	V	i	H	ingrediatur
v10	22	6	a	H	ingrediatur
v11	1	Po	t	H	ingrediatur
v11	2	cc	u	H	ingrediatur
v11	3	R	r	H	ingrediatur
v11	5	K	=christianissimus	H	chrmus
