# one row per glossed cipher token whose gloss word aligns letter for letter (or a word sign)
line	pos	token	value	gloss
r20	9	U	n	minor
r20	10	Y	o	minor
r20	11	R	r	minor
r20	12	4	p	pars
r20	13	6	a	pars
r20	14	R	r	pars
r20	15	P	s	pars
r20	16	6	a	admittere
r20	17	T	d	admittere
r20	18	D	m	admittere
r20	19	V	i	admittere
r20	20	Po	t	admittere
r20	21	Po	t	admittere
r20	22	q	e	admittere
r20	23	R	r	admittere
r20	24	q	e	admittere
r21	1	q	e	et
r21	2	Po	t	et
r21	3	L	c	consentire
r21	4	Y	o	consentire
r21	5	U	n	consentire
r21	6	P	s	consentire
r21	7	q	e	consentire
r21	8	U	n	consentire
r21	9	Po	t	consentire
r21	10	V	i	consentire
r21	11	R	r	consentire
r21	12	q	e	consentire
r21	13	Po	t	teneretur
r21	14	q	e	teneretur
r21	15	U	n	teneretur
r21	16	q	e	teneretur
r21	17	R	r	teneretur
r21	18	q	e	teneretur
r21	19	Po	t	teneretur
r21	20	cc	u	teneretur
r21	21	R	r	teneretur
r22	2	Po	t	tractari
r22	3	R	r	tractari
r22	4	6	a	tractari
r22	5	L	c	tractari
r22	6	Po	t	tractari
r22	7	6	a	tractari
r22	8	R	r	tractari
r22	9	V	i	tractari
r22	10	L	c	cum
r22	11	cc	u	cum
r22	12	D	m	cum
r22	13	Π	h	his
r22	14	V	i	his
r22	15	P	s	his
r22	16	Z	q	qui
r22	17	cc	u	qui
r22	18	V	i	qui
r22	19	U	n	non
r22	20	Y	o	non
r22	21	U	n	non
r23	3	3	f	fedus
r23	4	q	e	fedus
r23	5	T	d	fedus
r23	6	cc	u	fedus
r23	7	P	s	fedus
r23	8	6	a	aut
r23	9	cc	u	aut
r23	10	Po	t	aut
r23	12	6	a	amicitiam
r23	13	D	m	amicitiam
r23	14	V	i	amicitiam
r23	15	L	c	amicitiam
r23	16	V	i	amicitiam
r23	17	L	t	amicitiam
r23	18	V	i	amicitiam
r23	19	6	a	amicitiam
r23	20	D	m	amicitiam
r23	21	L	c	cum
r23	22	cc	u	cum
r24	1	D	m	cum
r24	2	K	=chrmo	chrmo
r24	3	cc	u	ut
r24	4	Po	t	ut
r24	5	P	s	speciale
r24	6	4	p	speciale
r24	7	q	e	speciale
r24	8	L	c	speciale
r24	9	V	i	speciale
r24	10	6	a	speciale
r24	11	9	l	speciale
r24	12	q	e	speciale
r24	13	3	f	fedus
r24	14	q	e	fedus
r24	15	T	d	fedus
r24	16	cc	u	fedus
r24	17	P	s	fedus
r24	18	3	f	fiat
r24	19	V	i	fiat
r24	20	6	a	fiat
r24	21	Po	t	fiat
r25	4	P	s	securum
r25	5	q	e	securum
r25	6	L	c	securum
r25	7	cc	u	securum
r25	8	R	r	securum
r25	9	cc	u	securum
r25	10	D	m	securum
r25	11	P	s	sit
r25	12	V	i	sit
r25	13	Po	t	sit
r25	16	9	l	longe
r25	17	Y	o	longe
r25	18	U	n	longe
r25	19	+	g	longe
r25	20	q	e	longe
r25	21	D	m	maior
r25	22	6	a	maior
r25	23	V	i	maior
r25	24	Y	o	maior
r26	1	R	r	maior
r26	2	4	p	pars
r26	3	6	a	pars
r26	4	R	r	pars
r26	5	P	s	pars
r26	9	4	p	pro
r26	10	R	r	pro
r26	11	Y	o	pro
r26	12	K	=chrmo	chrmo
r27	1	K	=chrmus	chrmus
r27	2	Π	h	hoc
r27	3	Y	o	hoc
r27	4	L	c	hoc
r27	5	3	f	fedus
r27	6	q	e	fedus
r27	7	T	d	fedus
r27	8	cc	u	fedus
r27	9	P	s	fedus
r27	10	4	p	petat
r27	11	q	e	petat
r27	12	Po	t	petat
r27	13	6	a	petat
r27	14	Po	t	petat
r27	15	cc	u	velle
r27	16	q	e	velle
r27	17	9	l	velle
r27	18	9	l	velle
r27	19	q	e	velle
r27	20	V	i	inire
r27	21	U	n	inire
r27	22	V	i	inire
r27	23	R	r	inire
r27	24	q	e	inire
r28	7	q	e	esse
r28	8	P	s	esse
r28	9	P	s	esse
r28	10	q	e	esse
r28	11	V	i	in
r28	12	U	n	in
r28	13	3	f	federe
r28	14	q	e	federe
r28	15	T	d	federe
r28	16	q	e	federe
r28	17	R	r	federe
r28	18	q	e	federe
r29	1	L	r	rum
r29	2	cc	u	rum
r29	3	?BLOT	m	rum
r29	4	K	=chrmo	chrmo
r29	7	6	a	astricti
r29	8	P	s	astricti
r29	9	Po	t	astricti
r29	10	R	r	astricti
r29	11	V	i	astricti
r29	12	L	c	astricti
r29	13	Po	t	astricti
r29	14	V	i	astricti
r29	15	q	e	erunt
r29	16	R	r	erunt
r29	17	cc	u	erunt
r29	18	U	n	erunt
r29	19	Po	t	erunt
r29	20	q	e	esse
r29	21	P	s	esse
r29	22	P	s	esse
r30	1	q	e	esse
r30	2	L	c	confederatores
r30	3	Y	o	confederatores
r30	4	U	n	confederatores
r30	5	3	f	confederatores
r30	6	q	e	confederatores
r30	7	T	d	confederatores
r30	8	q	e	confederatores
r30	9	R	r	confederatores
r30	10	6	a	confederatores
r30	11	Po	t	confederatores
r30	12	Y	o	confederatores
r30	13	R	r	confederatores
r30	14	q	e	confederatores
r30	15	P	s	confederatores
r30	18	K	=chrmi	chrmi
v01	9	D	m	maiorem
v01	10	6	a	maiorem
v01	11	V	i	maiorem
v01	12	Y	o	maiorem
v01	13	R	r	maiorem
v01	14	q	e	maiorem
v01	15	D	m	maiorem
v02	1	9	l	ligam
v02	2	V	i	ligam
v02	3	+	g	ligam
v02	4	6	a	ligam
v02	5	D	m	ligam
v02	7	q	e	et
v02	8	Po	t	et
v02	9	L	c	confederationem
v02	10	Y	o	confederationem
v02	11	U	n	confederationem
v02	12	3	f	confederationem
v02	13	q	e	confederationem
v02	14	T	d	confederationem
v02	15	q	e	confederationem
v02	16	R	r	confederationem
v02	17	6	a	confederationem
v02	18	L	t	confederationem
v02	19	V	i	confederationem
v02	20	Y	o	confederationem
v02	21	U	n	confederationem
v02	22	q	e	confederationem
v02	23	D	m	confederationem
v02	24	V	i	infauorem
v02	25	U	n	infauorem
v02	26	3	f	infauorem
v02	27	6	a	infauorem
v02	28	cc	u	infauorem
v02	29	Y	o	infauorem
v02	30	R	r	infauorem
v03	1	q	e	infauorem
v03	2	D	m	infauorem
v03	3	K	=chrmi	chrmi
v03	6	V	i	in
v03	7	U	n	in
v03	8	Po	t	tota
v03	9	Y	o	tota
v03	10	Po	t	tota
v03	11	6	a	tota
v03	12	+	g	germania
v03	13	q	e	germania
v03	14	R	r	germania
v03	15	D	m	germania
v03	16	6	a	germania
v03	17	U	n	germania
v03	18	V	i	germania
v03	19	6	a	germania
v04	3	F	=marchio	marchio
v04	4	O	=luneburg	luneburg
v05	8	K	=chr	chr
v05	9	4	p	pensionem
v05	10	q	e	pensionem
v05	11	U	n	pensionem
v05	12	P	s	pensionem
v05	13	V	i	pensionem
v05	14	Y	o	pensionem
v05	15	U	n	pensionem
v05	16	q	e	pensionem
v05	17	D	m	pensionem
v05	20	V	i	ipsis
v05	21	4	p	ipsis
v05	22	P	s	ipsis
v06	1	V	i	ipsis
v06	2	P	s	ipsis
v06	3	4	p	promittatur
v06	4	R	r	promittatur
v06	5	Y	o	promittatur
v06	6	D	m	promittatur
v06	7	V	i	promittatur
v06	8	Po	t	promittatur
v06	9	Po	t	promittatur
v06	10	6	a	promittatur
v06	11	Po	t	promittatur
v06	12	cc	u	promittatur
v06	13	R	r	promittatur
v06	18	F	=marchioni	marchioni
v07	3	+	g	gallum
v07	4	6	a	gallum
v07	5	9	l	gallum
v07	6	9	l	gallum
v07	7	cc	u	gallum
v07	8	D	m	gallum
v07	11	K	=chrus	chrus
v08	7	4	p	principibus
v08	8	R2	r	principibus
v08	9	V	i	principibus
v08	10	U	n	principibus
v08	11	L	c	principibus
v08	12	V	i	principibus
v08	13	4	p	principibus
v08	14	V	i	principibus
v08	15	7	b	principibus
v08	16	cc	u	principibus
v09	1	P	s	principibus
v09	6	3	f	fedus
v09	7	q	e	fedus
v09	8	T	d	fedus
v09	9	cc	u	fedus
v09	10	P	s	fedus
v09	12	V	i	inter
v09	13	U	n	inter
v09	14	Po	t	inter
v09	15	q	e	inter
v09	16	R	r	inter
v09	17	q	n	nos
v09	18	Y	o	nos
v09	19	P	s	nos
v10	1	3	f	factum
v10	2	6	a	factum
v10	3	L	c	factum
v10	4	Po	t	factum
v10	5	cc	u	factum
v10	6	D	m	factum
v10	7	P	s	sit
v10	8	V	i	sit
v10	9	Po	t	sit
v10	14	K	=chrmus	chrmus
v10	15	V	i	ingrediatur
v10	16	U	n	ingrediatur
v10	17	+	g	ingrediatur
v10	18	R	r	ingrediatur
v10	19	q	e	ingrediatur
v10	20	T	d	ingrediatur
v10	21	V	i	ingrediatur
v10	22	6	a	ingrediatur
v11	1	Po	t	ingrediatur
v11	2	cc	u	ingrediatur
v11	3	R	r	ingrediatur
v11	5	K	=chrmus	chrmus
# unaligned gloss items (no vote)
# r02	oppidum@10-15	Y 4 V T cc D	6 tokens vs 7 letters
# r03	ma?ch??@23	HHH	illegible or over clear words
# r05	joachim@11-16	V Y L Π V U	6 tokens vs 7 letters
# r18	nunq@16-18	L cc D	3 tokens vs 4 letters
