code	value	grade	n	source	note
6)	n	C	6	period	this worker's own pixel-verified count of L06 (P6, the one glossed line where the gloss-letter count exactly equals the group count, 20/20, no word-signs) plus 2/5 agreement in passB's own tally elsewhere ({'n': 2, 'k': 1, 'u': 1, 'o': 1})
)6	y	C	5	period	passB gloss tally {'y': 4, 'z': 1} (4/5 = 80%)
)8	a	M	5	period	passB gloss tally {'a': 2, 'l': 1, 'c': 1, 'm': 1} (2/5 = 40%)
16	e	C	5	period	this worker's own pixel-verified count of L06 (P6, the one glossed line where the gloss-letter count exactly equals the group count, 20/20, no word-signs) plus 2/4 agreement in passB's own tally elsewhere ({'n': 1, 'e': 2, 'y': 1})
30	u	M	5	period	passB gloss tally {'u': 2, 'v': 1, 'e': 1, 'g': 1} (2/5 = 40%)
32	y	C	5	period	this worker's own pixel-verified count of L06 (P6, the one glossed line where the gloss-letter count exactly equals the group count, 20/20, no word-signs) plus 3/4 agreement in passB's own tally elsewhere ({'y': 3, 'e': 1})
45	n	M	5	period	passB gloss tally {'n': 3, 'e': 2} (3/5 = 60%)
94	[?]	U	5		tied {'q': 1, 'i': 1, 's': 1, 'r': 1, 'e': 1}, no majority in passB's own gloss -- left uncoded
)2	r	M	4	period	passB gloss tally {'s': 1, 'r': 2, 'p': 1} (2/4 = 50%)
12	a	M	4	period	passB gloss tally {'a': 2, 'p': 1, 'm': 1} (2/4 = 50%)
15	d	M	4	period	passB gloss tally {'l': 1, 'd': 2, 'y': 1} (2/4 = 50%)
2)	r	C	4	period	passB gloss tally {'r': 3, 'n': 1} (3/4 = 75%)
3)	d	C	4	period	passB gloss tally {'e': 1, 'd': 3} (3/4 = 75%)
36	c	C	4	period	this worker's own pixel-verified count of L06 (P6, the one glossed line where the gloss-letter count exactly equals the group count, 20/20, no word-signs) plus 1/3 agreement in passB's own tally elsewhere ({'c': 1, 'r': 1, 'e': 1})
4)	p	C	4	period	this worker's own pixel-verified count of L06 (P6, the one glossed line where the gloss-letter count exactly equals the group count, 20/20, no word-signs) plus 2/3 agreement in passB's own tally elsewhere ({'p': 2, 'd': 1})
49	n	C	4	period	this worker's own pixel-verified count of L06 (P6, the one glossed line where the gloss-letter count exactly equals the group count, 20/20, no word-signs) plus 1/3 agreement in passB's own tally elsewhere ({'r': 1, 'n': 1, 'u': 1})
54	y	C	4	period	passB gloss tally {'y': 3, 'z': 1} (3/4 = 75%)
59	d	M	4	period	passB gloss tally {'d': 2, 'o': 1, 'n': 1} (2/4 = 50%)
8	o	C	4	period	this worker's own pixel-verified count of L06 (P6, the one glossed line where the gloss-letter count exactly equals the group count, 20/20, no word-signs) plus 2/3 agreement in passB's own tally elsewhere ({'o': 2, 'p': 1})
)0	u	M	3	period	passB gloss tally {'u': 2, 'q': 1} (2/3 = 67%)
24	[?]	U	3		tied {'o': 1, 'i': 1, 'l': 1}, no majority in passB's own gloss -- left uncoded
25	[?]	U	3		tied {'a': 1, 'u': 1, 'p': 1}, no majority in passB's own gloss -- left uncoded
31	x	C	3	period	this worker's own pixel-verified count of L06 (P6, the one glossed line where the gloss-letter count exactly equals the group count, 20/20, no word-signs) plus 1/2 agreement in passB's own tally elsewhere ({'d': 1, 'x': 1})
34	[?]	U	3		tied {'s': 1, 'd': 1, 'a': 1}, no majority in passB's own gloss -- left uncoded
46	o	M	3	period	passB gloss tally {'o': 2, 'e': 1} (2/3 = 67%)
5	[?]	U	3		tied {'e': 1, 's': 1, 'd': 1}, no majority in passB's own gloss -- left uncoded
51	[?]	U	3		tied {'t': 1, 'a': 1, 'e': 1}, no majority in passB's own gloss -- left uncoded
68	o	C	3	period	this worker's own pixel-verified count of L06 (P6, the one glossed line where the gloss-letter count exactly equals the group count, 20/20, no word-signs) plus 2/2 agreement in passB's own tally elsewhere ({'o': 2})
)3	[?]	U	2		tied {'t': 1, 'o': 1}, no majority in passB's own gloss -- left uncoded
11	[?]	U	2		tied {'a': 1, 's': 1}, no majority in passB's own gloss -- left uncoded
13	b	C	2	period	passB gloss tally {'b': 2} (2/2 = 100%)
14	[?]	U	2		tied {'l': 1, 'e': 1}, no majority in passB's own gloss -- left uncoded
21	l	C	2	period	passB gloss tally {'l': 2} (2/2 = 100%)
22	m	C	2	period	this worker's own pixel-verified count of L06 (P6, the one glossed line where the gloss-letter count exactly equals the group count, 20/20, no word-signs) plus 1/1 agreement in passB's own tally elsewhere ({'m': 1})
26	[?]	U	2		tied {'q': 1, 'u': 1}, no majority in passB's own gloss -- left uncoded
29	[?]	U	2		tied {'a': 1, 't': 1}, no majority in passB's own gloss -- left uncoded
33	[?]	U	2		tied {'z': 1, 'n': 1}, no majority in passB's own gloss -- left uncoded
35	b	C	2	period	passB gloss tally {'b': 2} (2/2 = 100%)
43	l	C	2	period	passB gloss tally {'l': 2} (2/2 = 100%)
65	[?]	U	2		tied {'y': 1, 'a': 1}, no majority in passB's own gloss -- left uncoded
81	a	C	2	period	passB gloss tally {'a': 2} (2/2 = 100%)
82	[?]	U	2		tied {'e': 1, 'd': 1}, no majority in passB's own gloss -- left uncoded
93	r	C	2	period	passB gloss tally {'r': 2} (2/2 = 100%)
95	[?]	U	2		tied {'e': 1, 'a': 1}, no majority in passB's own gloss -- left uncoded
96	[?]	U	2		tied {'o': 1, 'n': 1}, no majority in passB's own gloss -- left uncoded
98	[?]	U	2		tied {'y': 1, 'a': 1}, no majority in passB's own gloss -- left uncoded
[blot]	[?]	U	2		tied {'m': 1, 'e': 1}, no majority in passB's own gloss -- left uncoded
[triangle]	a	C	2	period	this worker's own pixel-verified count of L06 (P6, the one glossed line where the gloss-letter count exactly equals the group count, 20/20, no word-signs) plus 1/1 agreement in passB's own tally elsewhere ({'a': 1})
)10	e	M	1	period	passB gloss tally {'e': 1} (1/1 = 100%)
)4	y	M	1	period	passB gloss tally {'y': 1} (1/1 = 100%)
)5	e	M	1	period	passB gloss tally {'e': 1} (1/1 = 100%)
)52	a	M	1	period	passB gloss tally {'a': 1} (1/1 = 100%)
)9	b	M	1	period	passB gloss tally {'b': 1} (1/1 = 100%)
18	g	M	1	period	passB gloss tally {'g': 1} (1/1 = 100%)
2	u	M	1	period	passB gloss tally {'u': 1} (1/1 = 100%)
20	a	M	1	period	passB gloss tally {'a': 1} (1/1 = 100%)
21)	n	M	1	period	passB gloss tally {'n': 1} (1/1 = 100%)
36)	e	M	1	period	passB gloss tally {'e': 1} (1/1 = 100%)
40	e	M	1	period	passB gloss tally {'e': 1} (1/1 = 100%)
44	y	M	1	period	passB gloss tally {'y': 1} (1/1 = 100%)
52	a	M	1	period	passB gloss tally {'a': 1} (1/1 = 100%)
55	b	M	1	period	passB gloss tally {'b': 1} (1/1 = 100%)
58	j	M	1	period	passB gloss tally {'j': 1} (1/1 = 100%)
66	e	M	1	period	passB gloss tally {'e': 1} (1/1 = 100%)
69	s	M	1	period	passB gloss tally {'s': 1} (1/1 = 100%)
8)	p	M	1	period	passB gloss tally {'p': 1} (1/1 = 100%)
88	m	M	1	period	passB gloss tally {'m': 1} (1/1 = 100%)
9	a	M	1	period	passB gloss tally {'a': 1} (1/1 = 100%)
90	o	M	1	period	passB gloss tally {'o': 1} (1/1 = 100%)
99	z	M	1	period	passB gloss tally {'z': 1} (1/1 = 100%)
[T]	o	M	1	period	passB gloss tally {'o': 1} (1/1 = 100%)
[X]	e	M	1	period	passB gloss tally {'e': 1} (1/1 = 100%)
[Z]	y	M	1	period	passB gloss tally {'y': 1} (1/1 = 100%)
[circle]	r	M	1	period	passB gloss tally {'r': 1} (1/1 = 100%)
[square]	n	M	1	period	passB gloss tally {'n': 1} (1/1 = 100%)
[tilde]	a	M	1	period	passB gloss tally {'a': 1} (1/1 = 100%)
