line	pos	group	gloss	conf
L13	7	24	l	H
L13	8	65	a	H
L13	9	12	m	H
L13	10	66	e	H
L13	11	60	n	H
L13	12	89	t	H
L13	13	51	e	H
L13	14	16	y	H
L13	15	96	n	H
L13	16	23		M
L14	0	28	p	H
L14	1	3	o	H
L14	2	)9	b	M
L14	3	[blot]	E	M
L14	4	)1	r	M
L14	5	10	e	H
L14	6	)2	r	M
L14	7	36	e	H
L14	8	2)	n	M
L14	9	54	y	H
L14	10	)3	o	M
L14	11	46	e	H
L14	12	[square]	n	M
L14	13	45	e	H
L14	14	10	s	H
L14	15	28	t	H
L14	16	95	a	H
L14	17	34		M
L18	0	61		
L18	1	68		
L18	2	2)		
L18	3	88		
L18	4	)8		
L19	0	[triangle]		
L19	1	59		
L19	2	24		
L19	3	[n]		
L19	4	34		
L19	5	[tilde]		
L19	6	6)		
L19	7	51		
L19	8	68		
L19	9	?9		
L19	10	32		
L19	11	6		
L19	12	3)		
L19	13	16		
L19	14	12		
L19	15	65		
L19	16	13		
L19	17	56		
L19	18	6)		
L19	19	54		
L19	20	8)		
L19	21	65		
L19	22	11		
