line	position	code	confidence	left_context	right_context
0032_L9	13	D.79	M	30. 48.	63.
0032_L9	14	63	H	48. D.79.	müßen; das
0032_L10	1	69	H		42.
0032_L10	2	42	H	69.	28.
0032_L10	3	28	H	69. 42.	12.
0032_L10	4	12	M	42. 28.	30.
0032_L10	5	30	H	28. 12.	57.
0032_L10	6	57	H	12. 30.	66.
0032_L10	7	66	H	30. 57.	26.
0032_L10	8	26	H	57. 66.	dii:[?]
0032_L10	10	X.69	H	66. 26. dii:[?]	B.90.
0032_L10	11	B.90	H	dii:[?] X.69.	126.
0032_L10	12	126	M	X.69. B.90.	O.93.
0032_L10	13	O.93	H	B.90. 126.	P.[?]
0032_L10	14	P.[?]	L	126. O.93.	Und das
