line	pos	group	conf	alt	note
p3L8	5	2^	M	B:2	digit majority 2, mark disputed
p3L8	6	6	H		
p3L8	7	10	M	B:10^	digit majority 10, mark disputed
p3L8	8	[mark]	H		
p3L8	9	10	H		
p3L8	10	3	H		
p3L8	11	9	H		
p3L8	12	21	H		
p3L8	13	23^	M	B:23	digit majority 23, mark disputed
p3L8	14	5	H		
p3L8	15	3	H		
p3L8	16	[mark]	H		
p3L8	17	2	H		
p3L8	18	13	H		
p3L8	19	23^	M	B:23	digit majority 23, mark disputed
p3L8	20	5	H		
p3L8	21	1	H		
p3L8	22	10	H		
p3L8	23	8^	M	B:8	digit majority 8, mark disputed
p3L8	24	[mark]	H		
p3L8	25	24^	M	B:24	digit majority 24, mark disputed
p3L9	1	20^	M	B:20	digit majority 20, mark disputed
p3L9	2	8	H		
p3L9	3	9	M	B:9^	digit majority 9, mark disputed
p3L9	4	9^	H		
p3L9	5	13	H		
p3L9	6	7	H		
p3L9	7	22	H		
p3L9	8	3	H		
p3L9	9	8	H		
p3L9	10	4	H		
p3L9	11	14	H		
p3L9	12	[mark]	M		only A read this line
p3L9	13	11	M	B:[mark]11	digit majority 11, mark disputed
p3L9	14	19	H		
p3L9	15	7	H		
p3L9	16	15	H		
		8	M		insertion by passB after A idx 109, not in A
		[mark]	M		insertion by L1 after A idx 35, not in A
		8	M		insertion by L1 after A idx 105, not in A
		8	M		insertion by L1 after A idx 109, not in A
		10	M		insertion by L1 after A idx 4, not in A
		17	M		insertion by L1 after A idx 79, not in A
