# Pass C (blind second reader) vs ciphertext.txt, f.35r-v, 24 Sept 2026. Only rows where the two differ after a naming crosswalk (see NOTES.md "Second reader f.35"). yours = pass C sign mapped to the committed code names. NOT applied.
line	index	committed	yours	image_evidence	proposed_change
V14	5	w:Cependant	w:dependant	clear-hand word; spelling/reading difference only, not a cipher sign	no
V14	7	w:bien	w:huy	clear-hand word; spelling/reading difference only, not a cipher sign	no
V15	4	w:peussiez	w:puissiez	clear-hand word; spelling/reading difference only, not a cipher sign	no
V16	12	w:Roy	w:loy	clear-hand word; spelling/reading difference only, not a cipher sign	no
V17	1	w:moy	w:mey	clear-hand word; spelling/reading difference only, not a cipher sign	no
V17	20	fdx	pdx	not re-examined at 2x; pass C confidence M; with stroke through descender	no
V18	7	rx	eps	not re-examined at 2x; pass C confidence L; small epsilon, stem unclear	no
V18	-	(none)	del	sign present in one reading only; not re-examined (pass C L)	no (recheck)
V18	16	loop	hk	not re-examined at 2x; pass C confidence L; J-shape with dot either side	no
V18g	2	O	del	not re-examined at 2x; pass C confidence H	no
V19	2	pd	(none)	sign present in one reading only; not re-examined (pass C -)	no (recheck)
V20	2	fdl	fd	not re-examined at 2x; pass C confidence L; heavy f with tick/tilde below; could be pd with tilde	no
V20	10	bbar	bd	not re-examined at 2x; pass C confidence M; lozenge with tall double stem	no
V20	18	w:tels	w:par	clear-hand word; spelling/reading difference only, not a cipher sign	no
V21	4	w:tenyr	w:temps	clear-hand word; spelling/reading difference only, not a cipher sign	no
V23	4	loop	s9	pass C L: c-bowl/curl form, not clearly the q-shape; left as committed	no
V23	20	dt	et	not re-examined at 2x; pass C confidence H	no
V23	23	eps	s9	bowl-left on straight descender (pass C M)	yes (M)
V24	11	ls	loop	same tall long-s stroke; the difference is which key cell (long s vs null loop), not the glyph	no (key question)
V24	13	xN	xA	not re-examined at 2x; pass C confidence H	no
V26	3	fdl	lsx	not re-examined at 2x; pass C confidence M; tall long s crossed at foot	no
V26	18	xinf	O	heavy closed oval with an inner stroke, as the committed O in R05; not a crossed double loop	yes (M)
V26	22	g8	x8	not re-examined at 2x; pass C confidence H	no
V26	28	g7	ring7	not re-examined at 2x; pass C confidence L; no o above	no
V27	5	w:de	(none)	clear-hand word; spelling/reading difference only, not a cipher sign	no
V27	10	loop	s9	pass C L: c-bowl/curl form, not clearly the q-shape; left as committed	no
V27	20	fdx	fd	not re-examined at 2x; pass C confidence H	no
V27	23	llam	lam	not re-examined at 2x; pass C confidence H	no
V28	10	q4	g7	not re-examined at 2x; pass C confidence L; small 7	no
V28	11	eps	s9	q-shape: one bowl on straight descender (pass C H), same form as V04/V06	yes (M)
V28	12	bl	b6	not re-examined at 2x; pass C confidence H	no
V28	16	g8	x8	not re-examined at 2x; pass C confidence H	no
V28	25	rt	llt	not re-examined at 2x; pass C confidence M; pound-t with tilde above	no
V28	27	loop	s9	pass C L: c-bowl/curl form, not clearly the q-shape; left as committed	no
V29	3	eps	s9	zoom of passC_crops V04/V06/V29 at 2x: single round bowl on a straight descender (q-shape), distinct from the two-lobed epsilon-with-stem beside it on V06	yes (H)
V29	4	ep	rt	not re-examined at 2x; pass C confidence L; small r/c-hook with tilde above	no
V29	7	ae	xst	not re-examined at 2x; pass C confidence L; dark x with cross; could be ae	no
V29	8	a1	pi	not re-examined at 2x; pass C confidence L; omega-like with curl beneath	no
V29	22	eps	s9	q-shape: one bowl on straight descender (pass C H), same form as V29 pos 3	yes (M)
V29	29	xk	LRD	not re-examined at 2x; pass C confidence L; large L/Z with e; le sign or LRD	no
