name	funder	kind	amount_or_value	open_to_individuals_without_affiliation	residency_or_citizenship_limits	deadline_or_rolling	what_it_funds	application_effort_hours	fit_1to5	url	date_read
Newberry Library -- Arthur and Lila Weinberg Fellowship for Independent Scholars	Newberry Library	fellowship	$5,000/month, 9-12 months (long-term fellowship rate)	"yes -- ""for an independent scholar or researcher who wishes to participate in the rich and varied scholarly and public programming of the Newberry"""	requires residency in Chicago for the fellowship period	3 January annually	a long, funded residency; large stipend but a near-full-year commitment away from other work	15	3 -- very well-funded and explicitly for independent scholars, but the year-long residency is a large commitment relative to this project's remote, distributed way of working, and needs a Newberry-relevant target	https://www.newberry.org/research/fellowships/long-term-fellowships	24 Sept 2026
Experiment.com science crowdfunding	Experiment (Experiment.com)	cash	all-or-nothing crowdfunding; platform takes 8% + ~3-5% payment processing on successfully funded projects	yes -- open platform, no institutional affiliation required to start a project	none found stated	rolling; campaign runs a set time frame chosen by the project	whatever the campaign proposes (e.g. an archive copy-order fund)	10 (campaign build) + ongoing promotion	3 -- no gatekeeping at all and the project has a genuine public-interest story (15 N4 readings), but it means naming the project publicly and running an outreach campaign, a different kind of effort than the other rows	https://experiment.com/faq	24 Sept 2026
British Library free Reader Pass	The British Library	access	free (in-person registration only, since a cyber-attack removed online pre-registration)	"yes -- ""Anyone aged 18 or over can use the Reading Rooms... all you need is a free Reader Pass"""	none stated, but registration is in person only, at St Pancras (London) or Boston Spa (Yorkshire)	n/a, valid 3 years once issued	free physical access to BL manuscripts and reading rooms (not digitisation or copy costs, which are billed separately)	1 (if already able to travel to London/Boston Spa)	3 -- free and open to anyone, but requires in-person travel to register and does not itself cover copy orders or digitisation, which remain the person's REQUEST.md items	https://www.bl.uk/visit/reader-pass	24 Sept 2026
Wikimedia Research Fund	Wikimedia Foundation	cash	over $2,000, up to $50,000 (Type 1/3) or $150,000 (Type 2)	"unclear -- open to ""individuals, groups, and organizations with research interests on or about Wikimedia projects"", but applicants ""should be established Wikimedia researchers (i.e., people with a history of conducting research related to Wikimedia projects)"""	none found stated	rolling (Rapid Funds) and periodic rounds	research about Wikimedia projects, not general historical/cryptographic research	6	2 -- this project is not research about Wikimedia projects; a stretch unless framed as a study of open-knowledge contribution practices, which would misrepresent the work	https://meta.wikimedia.org/wiki/Grants:Programs/Wikimedia_Research_%26_Technology_Fund/Wikimedia_Research_Fund	24 Sept 2026
IHR Scouloudi Historical Awards	Institute of Historical Research / Scouloudi Foundation	fellowship	full-year and half-year fellowships, or smaller research/publication awards (amount not confirmed on the pages read)	"no -- ""Candidates must be UK citizens or graduates of UK universities with honours or postgraduate degrees in history"""	"UK citizenship or a UK university degree required; one source notes the fellowship round ""will not be held"" in at least one recent year -- confirm current status before relying on it"	not confirmed active for the current cycle	advanced historical research intended for publication	6	2 -- hard nationality/degree gate and uncertain whether the award is currently running; low priority unless the owner holds a UK degree	https://www.history.ac.uk/join-ihr/fellowships/awards-bursaries-and-prizes/scouloudi-historical-awards-publication-awards	24 Sept 2026
Society of Antiquaries of London -- Minor Research Grants	Society of Antiquaries of London	cash	"not confirmed on the pages read (described as ""minor grants"")"	"no -- ""Minor grants are open to fellows and UK citizens who are not fellows"""	UK citizenship (or SAL Fellowship) required	see sal.org.uk for current round	antiquarian/historical research and travel	5	2 -- UK-citizen gate; relevant to manuscript/antiquarian work in principle but excludes non-UK applicants	https://www.sal.org.uk/what-we-do/grants/our-grant-programmes/	24 Sept 2026
NEH Public Scholars Program	National Endowment for the Humanities (US)	fellowship	not confirmed on the pages read (a stipended book-length-project award)	"yes on affiliation -- ""accepts applications from individuals, whether they have an affiliation with a scholarly institution or not... NEH encourages submissions from independent scholars"" -- but gated on prior publication: ""must have written and published a nonfiction book with a university press or trade press; OR... at least three nonfiction articles or essays in general-interest publications"""	US citizens, and foreign nationals resident in the US or its jurisdictions for the 3 years before the deadline	"22 April 2026 for the 2026 round (already past); 2026 competition restricted to ""American history and culture and Western civilization"" topics only"	a book-length work of humanities scholarship for a general audience	20	2 -- no affiliation gate, but the project's readings are not yet a publishable book and the owner has no qualifying prior publication on file here; also outside this cycle's restricted topic and past its 2026 deadline	https://www.neh.gov/grants/research/public-scholar-program	24 Sept 2026
Anthropic AI for Science	Anthropic	credits	up to $20,000 in API credits over 6 months	"no -- ""researchers attached to research institutions"" is the stated eligibility; independent, unaffiliated researchers are not mentioned as eligible"	none stated beyond the institutional requirement	"rolling, evaluated ""the first Monday of each month"""	Claude API access (standard models only) for high-impact scientific research	3	2 -- by far the largest credit amount found and a strong topical fit (more Claude usage), but blocked on the explicit institutional-affiliation requirement; the strongest case in this list for the affiliation-unlocks-it note below	https://support.claude.com/en/articles/11199177-anthropic-s-ai-for-science-program	24 Sept 2026
OpenAI Researcher Access Program	OpenAI	credits	up to $1,000 in API credits, valid 12 months	"no -- ""Researcher(s) with an active affiliation to an academic institution or other research organization, as well as nonprofits conducting research activities"" are eligible; independents without such affiliation are not"	"""applicants must be based in countries supported by our API"""	reviewed quarterly (March, June, September, December)	OpenAI API usage for responsible-AI-deployment research	3	2 -- affiliation-gated, and the project is built on Claude, not OpenAI models, so the fit is weak even if eligible	https://openai.com/form/researcher-access-program/	24 Sept 2026
Google Cloud Research Credits	Google Cloud / Google for Education	credits	up to $5,000 (faculty/postdoc/nonprofit-lab researcher) or $1,000 (PhD student)	"no -- ""Applicants must be faculty, PhD students, or postdoctoral researchers at regionally accredited academic institutions or nonprofit research institutions"""	none found stated beyond the institutional requirement	rolling, 6-8 week review	Google Cloud compute for a research proposal	5	2 -- clean institutional gate excludes an unaffiliated individual outright; would need a nonprofit-lab wrapper to qualify	https://edu.google.com/programs/credits/research/	24 Sept 2026
AWS Cloud Credit for Research	Amazon Web Services	credits	student awards capped at $5,000; faculty/staff awards uncapped	"no -- ""Researchers at accredited research institutions can apply, defined as full-time faculty, full-time research staff, or graduate, post-graduate or PhD students enrolled at an accredited research institution"""	"worldwide except the ""greater China region"""	rolling, 30-60 day review	AWS compute for a cloud-hosted proof-of-concept, tool, or data migration	5	2 -- institutional gate excludes an unaffiliated individual; the project also runs on Claude/local tooling rather than AWS-hosted infrastructure	https://pages.awscloud.com/aws-cloud-credit-for-research.html	24 Sept 2026
BnF Pass Recherche (reader card)	Bibliotheque nationale de France	access	paid (1-day, 5-day or annual unlimited rate; exact tariff not confirmed on the pages read); reduced rate for under-25s/students under 35	yes in principle -- open registration via inscriptionbilletterie.bnf.fr, with a consultation interview to set the pass duration; no institutional affiliation required for the standard researcher pass	none found stated	n/a, rolling registration	physical/onsite access to BnF's research reading rooms (manuscripts already reached online via Gallica IIIF do not need this)	2	2 -- useful mainly if a target ever needs an onsite BnF consultation beyond what Gallica's IIIF API already serves (which is most current use); low priority while the API route works	https://www.bnf.fr/en/research-pass	24 Sept 2026
Modal for Academics	Modal Labs	credits	reported up to $10,000-25,000 historically; program described as currently paused	"no -- ""available to university faculty, postdocs, PhD students, and course instructors at accredited institutions""; secondary sources say the academic grant tier is currently paused with a waitlist"	none found stated beyond the institutional requirement	waitlist only (paused) as of the pages read	serverless GPU compute	2	1 -- institutional gate plus reportedly paused; not actionable now	https://modal.com/startups	24 Sept 2026
Microsoft Accelerate Foundation Models Research (AFMR)	Microsoft Research	credits	previously up to $20,000 in Azure credits	"not applicable -- ""The Accelerating Foundation Models Research program has reached its conclusion"""	n/a, program closed	closed	was Azure OpenAI / foundation-model access for academic research	0	1 -- program concluded; listed only because the brief named it and to record that it is no longer open	https://www.microsoft.com/en-us/research/collaboration/accelerating-foundation-models-research/	24 Sept 2026
Google for Startups Cloud Program	Google for Startups	credits	startup-tier cloud credits (varies by program stage)	no -- requires registering as a startup company (funded or pre-seed with a registered entity), not an individual research project	varies by regional programme	rolling, per programme	Google Cloud usage for an incorporated startup	n/a	1 -- this project is not a company and has no plan to become one; included only because the brief named it	https://cloud.google.com/startup	24 Sept 2026
American Cryptogram Association	American Cryptogram Association	fellowship	none found	not applicable -- no grant, scholarship, or research-funding program was found on the ACA's own site or in search results; it is a hobbyist cipher-solving membership organisation (newsletter, tools, word lists)	n/a	n/a	n/a	0	1 -- no funding program exists to apply to; worth membership only for the community/word-list resources, not money	https://www.cryptogram.org/	24 Sept 2026
Sloan Foundation Open Source in Science	Alfred P. Sloan Foundation	cash	not stated for individual projects	"no in practice -- the program states it does not fund ""individual open source development projects"" but rather ""tooling, institutions, economic models, and incentives"" at an ecosystem level; a two-page letter of inquiry is the entry point"	none found stated	rolling letters of inquiry	ecosystem-level open-source-in-research infrastructure, not a single project's compute or archive costs	4 (letter of inquiry)	1 -- explicitly not the kind of individual-project grant this work needs	https://sloan.org/programs/digital-technology/open-source-in-science	24 Sept 2026
Mozilla Technology Fund / Fellowship	Mozilla Foundation	cash	MOSS/Technology Fund up to $50,000 for open-source teams; Fellowship is a stipended placement	"unclear/closed -- ""MOSS applications are currently closed... appears to be on indefinite hiatus""; the 2026 Fellowship nomination process is nomination-only and ""now closed"""	none found stated	closed / nomination-only, not open application	public-interest open-source software projects, or a fellow's own project during a placement	n/a while closed	1 -- both routes are closed or nomination-only right now; revisit if MOSS reopens	https://www.mozillafoundation.org/en/what-we-do/grantmaking/	24 Sept 2026
Gale State Papers Online -- individual access	Gale/Cengage	access	institutional subscription only; one source cites roughly GBP 300,000 for a university-wide licence, no individual price found	"no -- sold only as an institutional subscription; ""State Papers Online packages are simply unaffordable for many institutions""; no individual-researcher purchase route was found"	n/a	n/a	n/a -- not purchasable by an individual	n/a	1 -- confirms this route needs an institutional partner (e.g. a library that already subscribes) rather than a grant; see README partnership note	https://www.gale.com/intl/primary-sources/state-papers-online	24 Sept 2026
DECRYPT project / HistoCrypt community	Swedish Research Council (DECRYPT, 2019-2024, concluded) / HistoCrypt conference series	access	no direct funding found; DECRYPT itself already ended and was never open to outside applicants	not applicable as a funding source -- DECRYPT was a closed academic grant (2018-06074) already concluded; HistoCrypt is a conference and community (the DECODE database this project already uses), not a grant body	n/a	n/a	n/a for funding; the value here is the DECODE database and the HistoCrypt community/citation network this project already draws on	0	1 -- not a funding route; listed to record that none was found, and that the practical value (DECODE, citations) is already being used per CLAUDE.md's outreach rules	https://de-crypt.org/	24 Sept 2026
