line	plain_A	plain_B	sign_code_A	sign_code_B	note_A	note_B
1	o	o	UNLISTED	K18	cross with an extra short bar partway up the stem, F-like	
1	p	p	K19	K33	"zigzag resembling a backward 3 or Z; matches the K19 ""Z4""-style exemplar well"	
1	q	q	UNLISTED	K31	small loop atop a short vertical stroke, E/P-like	
1	r	r	UNLISTED	K17	small cross with a circle/loop sitting at the top	
1	s	s	UNLISTED	K35	open trapezoid / number-4-like shape with no crossbar	repeats the code given for e (pos5); either two visually similar but distinct signs were merged into one atlas cluster, or this reading is misaligned -- needs a crop-level check of positions 5 and 18 side by side
1	t	t	UNLISTED		small comma-like hook stroke	no atlas K-code on f104 line1 pos19 (cluster 17 unlabeled) -- note cluster17 elsewhere maps to K31 (used for q and x below); this specific pos19 sign was not matched to that cluster by the atlas, unclear why
1	v	v	UNLISTED	K32	T/pi-shaped cross with a small dot above it	
1	x	x	K23	K31	small 4-armed cross/x shape, simpler than the fuller star exemplars shown for K23; tentative	repeats the code given for q (pos16); same caveat as s/e above -- needs a crop-level check of positions 16 and 21
1	y	y	UNLISTED		cursive curled loop with a long descending swash tail; sits at the very end of the line near the page's deckle edge. No distinct sign for z was found on this row -- the row may only run a-y (22 signs), or z may not be separately marked; see also note on plain-letter row itself (images/f104_L02.jpg), which likewise shows only 22 letter-glyphs (a...y, no separate z) after omitting j, u, w.	row ends at 21 signs for 23 plain letters; no corresponding sign found for this letter at all. Straight positional (rank-order) mapping of line1 pos1-21 to letters a..x (positions 1-21 of a,b,c,d,e,f,g,h,i,k,l,m,n,o,p,q,r,s,t,v,x) leaves y and z with no sign. An x-coordinate nearest-neighbour check suggests the shortfall may instead sit mid-row (i/k/l and m/n cluster close together in x), not at the row end, in which case y and z could have signs and an earlier letter is the one that goes uncoded -- genuinely unresolved by this pass, needs the two rows viewed side by side at native res
3	Le conte palatin	Le conte palatin	K27		"clean 2x2 grid/hashtag shape (two verticals crossed by two horizontals); matches the ""##""-style exemplar given for K27 well"	"compound grid sign (two crossed pairs of strokes, a lattice/fence shape); no f104 exemplar listed for the visually closest atlas family (K27, cluster 48, a grid shape seen on f105-f110 only). The K28/K3 codes the atlas assigns to positions within this line fall inside the cursive name text itself (""palatin""), not the code sign -- likely mis-clustered name letters. Needs crop-level re-segmentation of the grid sign as its own unit"
6	Brandebourg	Brandebourg	K19	K22	"stylised Z/3 shape with an extra vertical stroke; matches the K19 ""Z4"" exemplar closely. Plain spelling uncertain letter-by-letter in secretary hand (visually closer to ""Branulibonug"") but the intended elector Brandenburg is unambiguous given the list context"	"matches the correspondent named in NOTES.md's catalogue description (""Joachin de Moltzau ... marquis de Brandebourg"", ""François de Bordeaux ... marquis de Brandebourg"")"
9	Hongrie	Hongrie	K17	K20	"small loop connected by a short horizontal stroke to a vertical crossbar (o + t shape); tentative match to the K17 ""t with o"" exemplar. Plain reading's ending is ambiguous, could be read ""Hongrou"""	
4	Treues	Trèves	UNLISTED	K10	"sign is a vertical stem with a small loop at the top and a second small loop at the bottom, like a stretched figure-8 or barbell; no atlas code shows this two-loop pattern as a single cluster. Plain reading uncertain in secretary hand (looks like ""Tveues""/""Tvenus""); intended place is very likely Trèves (Trier), an ecclesiastical electorate, consistent with the list's other electors"	
5	Mugance.	Maguence	K34	NEW?	"box/rectangle shape attached to a vertical stem with a curling foot; tentative match to the K34 bucket (which includes a similar boxy ""丹""-style exemplar). Intended place is Mugance = Mayence/Mainz, an ecclesiastical electorate"	"name read tentatively (Mayence/Mainz); code sign is a single vertical stroke with two horizontal crossbars near the top, resembling a serifed ""I"" or ladder shape; no atlas K-code matched any position on this line (all unlabeled clusters)"
8	Poulougne	Poulongne	K14	K4	"long single horizontal top bar with two vertical descenders (flat-topped pi/TT shape); tentative match to the K14 ""pi""-style exemplar, though ours lacks the small loop seen on that exemplar's leg"	"Pologne/Poland; position 1 of this line also clusters to K3, but that is the cursive capital ""P"" of the name itself, not a second code"
10	L'archiduc	[name unclear]	UNLISTED|K34		"sign appears to be in two parts: (1) a horizontal top stroke ending in a loop at the right, with a short approach serif on the left -- no good atlas match, UNLISTED; (2) below it, a vertical stem crossed by a horizontal bar with a loop on the right and a curling foot -- tentative match to K34. Plain reading of the name itself is uncertain in secretary hand (letters read roughly as ""l'archidue"" with a final flourish); given the list's context (electors, neighbouring kingdoms, then this entry, then ""Catholicque""), the Archduke (Ferdinand of Austria) is the most likely intended referent"	"cursive name not confidently read (roughly resembles ""medovr"" or similar); code sign is a vertical stroke with a small loop at the top and two crossbars below; no atlas K-code matched any position on this line (all unlabeled). Needs a fresh higher-zoom crop and possibly correlation with the catalogue's remaining correspondent list (grand archdeacon of Sens / legate in Germany, per NOTES.md Source section)"
11	France Lempereur	Francisque	UNLISTED	K14	"sign is a vertical stem crossed by two stacked horizontal bars with a small diagonal tick above, like a two-barred (patriarchal/Lorraine) cross; no atlas code shows this double-crossbar pattern. Plain reading is two words, ""France"" clear, second word uncertain -- a tall ascender-descender ligature followed by ""pr"" with a suspension mark, read tentatively as an abbreviation for ""l'Empereur""; in the context of the 1519 imperial election this most plausibly denotes the King of France (Francis I) as a rival candidate for Emperor"	"matches NOTES.md's ""captaine Francisque"" from the volume's later correspondence (fol.173-179 heading)"
12	Catholicque	[name unclear]	UNLISTED	NEW?	"no clear cipher sign follows the name; instead there are three small comma-like hook marks in a row, repeated identically. These may be an abbreviation for ""&c."" (et cetera) rather than an assigned invented sign, or an unfinished/placeholder entry; flagged here rather than guessing an atlas code. Intended referent is very likely ""le Roy catholicque"", i.e. the King of Spain (Charles), the other candidate/eventual winner of the 1519 imperial election"	"cursive name not confidently read (roughly resembles ""Catspelaigne""/""Cattespaligne""); code is three small loop/circle strokes (""ooo"") -- two of the three loops partially match atlas codes K6 and K7 (both members of the small-loop cluster-19 family used elsewhere only for other correspondents' codes, e.g. Poulongne=K4 is also cluster 19), the third loop is unlabeled. Possibly three separate marks (more nulls, or a null continuation) rather than one compound code for a single correspondent -- needs settling from the image"
