code	leaf	line	position	left_context	right_context	class	word	confidence
25	0032	0032_L6	13	73. 91. 48.	60.	unclear		H
60	0032	0032_L6	14	91. 48. 25.	sein sonders,	function word		H
155	0032	0032_L7	8	dass ist gut der apparent daß	mit fließt X.X. oder	unclear		M
64	0032	0032_L8	1		22.	unclear		H
22	0032	0032_L8	2	64.	26.	unclear		M
26	0032	0032_L8	3	64. 22.	16.	unclear		H
16	0032	0032_L8	4	22. 26.	30.	unclear		L
30	0032	0032_L8	5	26. 16.	21.	unclear		H
21	0032	0032_L8	6	16. 30.	70.	unclear		M
70	0032	0032_L8	7	30. 21.	15.	unclear		H
15	0032	0032_L8	8	21. 70.	26.	unclear		H
26	0032	0032_L8	9	70. 15.	16.	unclear		H
16	0032	0032_L8	10	15. 26.	44.	unclear		L
44	0032	0032_L8	11	26. 16.	Und damit	function word		H
12	0032	0032_L8	17	exfahret nach	70.	noun		M
70	0032	0032_L8	18	nach 12.	15.	noun		H
15	0032	0032_L8	19	12. 70.	90.	unclear		H
90	0032	0032_L8	20	70. 15.	zusehen; das	unclear		M
133	0032	0032_L9	4	liance gefloßen, wirdt	16.	function word		M
16	0032	0032_L9	5	wirdt 133.	22.	function word		L
22	0032	0032_L9	6	133. 16.	26.	unclear		M
26	0032	0032_L9	7	16. 22.	15.	unclear		H
15	0032	0032_L9	8	22. 26.	11.	unclear		H
11	0032	0032_L9	9	26. 15.	D.10.	unclear		H
D.10	0032	0032_L9	10	15. 11.	30.	unclear		M
30	0032	0032_L9	11	11. D.10.	48.	unclear		H
48	0032	0032_L9	12	D.10. 30.	D.79.	unclear		H
D.79	0032	0032_L9	13	30. 48.	63.	unclear		M
63	0032	0032_L9	14	48. D.79.	müßen; das	function word		H
69	0032	0032_L10	1		42.	unclear		H
42	0032	0032_L10	2	69.	28.	unclear		H
28	0032	0032_L10	3	69. 42.	12.	unclear		H
12	0032	0032_L10	4	42. 28.	30.	unclear		M
30	0032	0032_L10	5	28. 12.	57.	unclear		H
57	0032	0032_L10	6	12. 30.	66.	unclear		H
66	0032	0032_L10	7	30. 57.	26.	unclear		H
26	0032	0032_L10	8	57. 66.	dii:[?]	unclear		H
X.69	0032	0032_L10	10	66. 26. dii:[?]	B.90.	unclear		H
B.90	0032	0032_L10	11	dii:[?] X.69.	126.	unclear		H
126	0032	0032_L10	12	X.69. B.90.	O.93.	unclear		M
O.93	0032	0032_L10	13	B.90. 126.	P.[?]	unclear		H
P.[?]	0032	0032_L10	14	126. O.93.	Und das	function word		L
27	0033	0033_L1	11	sollt gleichwohl	48.	unclear		H
48	0033	0033_L1	12	gleichwohl 27.	30.	unclear		H
30	0033	0033_L1	13	27. 48.	19.	unclear		H
19	0033	0033_L1	14	48. 30.	21.	unclear		H
21	0033	0033_L1	15	30. 19.	29.	unclear		M
29	0033	0033_L1	16	19. 21.	30.	unclear		H
30	0033	0033_L1	17	21. 29.	85.	unclear		H
85	0033	0033_L1	18	29. 30.	56.	unclear		H
56	0033	0033_L1	19	30. 85.	11.	unclear		H
11	0033	0033_L1	20	85. 56.	26.	unclear		H
26	0033	0033_L1	21	56. 11.	27.	unclear		H
27	0033	0033_L1	22	11. 26.		unclear		H
16	0033	0033_L2	1		63.	unclear		H
63	0033	0033_L2	2	16.	j[?]	unclear		H
j[?]	0033	0033_L2	3	16. 63.	T.48.	unclear		L
T.48	0033	0033_L2	4	63. j[?].	63.	unclear		M
63	0033	0033_L2	5	j[?]. T.48.	70.	unclear		H
70	0033	0033_L2	6	T.48. 63.	64.	unclear		H
64	0033	0033_L2	7	63. 70.	32.	unclear		H
32	0033	0033_L2	8	70. 64.	69.	unclear		H
69	0033	0033_L2	9	64. 32.	13.	unclear		H
13	0033	0033_L2	10	32. 69.	12.	unclear		H
12	0033	0033_L2	11	69. 13.	93.	unclear		H
93	0033	0033_L2	12	13. 12.	22.	unclear		H
22	0033	0033_L2	13	12. 93.	11.	unclear		M
11	0033	0033_L2	14	93. 22.	30.	unclear		H
30	0033	0033_L2	15	22. 11.	83.	unclear		H
83	0033	0033_L2	16	11. 30.	13.	unclear		H
13	0033	0033_L2	17	30. 83.	11.N	unclear		H
11.N	0033	0033_L2	18	83. 13.	mit GG. A.A.	noun		M
F.13	0033	0033_L8	2	[triangle mark]	123.	unclear		M
123	0033	0033_L8	3	[triangle mark] F.13.	5. April. 1637 [date, excluded]	unclear		M
Y.22	0033	0033_L9	12	...und Engelland	73.	unclear		M
73	0033	0033_L9	13	Engelland Y.22.	D.13.	unclear		H
D.13	0033	0033_L9	14	Y.22. 73.	48.	unclear		M
48	0033	0033_L9	15	73. D.13.	21.	unclear		H
21	0033	0033_L9	16	D.13. 48.	30.	unclear		M
30	0033	0033_L9	17	48. 21.	27.	unclear		H
27	0033	0033_L9	18	21. 30.		unclear		H
24	0033	0033_L10	1		63.	unclear		H
63	0033	0033_L10	2	24.	51.	unclear		H
51	0033	0033_L10	3	24. 63.	79.	unclear		M
79	0033	0033_L10	4	63. 51.	25.	unclear		H
25	0033	0033_L10	5	51. 79.	gefahr	unclear		H
77	0033	0033_L10	7	25. gefahr	61.	unclear		H
61	0033	0033_L10	8	gefahr 77.	75.	unclear		M
75	0033	0033_L10	9	77. 61.	90.	unclear		H
90	0033	0033_L10	10	61. 75.	70.	unclear		H
70	0033	0033_L10	11	75. 90.	57.	unclear		H
57	0033	0033_L10	12	90. 70.	48.	unclear		H
48	0033	0033_L10	13	70. 57.	46.	unclear		H
46	0033	0033_L10	14	57. 48.	11.	unclear		M
11	0033	0033_L10	15	48. 46.	83.	unclear		H
83	0033	0033_L10	16	46. 11.	29.	unclear		H
29	0033	0033_L10	17	11. 83.	16.	unclear		H
16	0033	0033_L10	18	83. 29.	24.	unclear		H
24	0033	0033_L10	19	29. 16.	42.	unclear		H
42	0033	0033_L10	20	16. 24.	10.	unclear		H
10	0033	0033_L10	21	24. 42.	mit	noun		H
11	0033	0033_L10	23	10. mit	haben sie in Land	unclear		H
11	0033	0033_L11	3	hab gemacht	O.28.	function word		H
O.28	0033	0033_L11	4	hab gemacht 11.	H.16.	function word		H
H.16	0033	0033_L11	5	11. O.28.	13.	unclear		H
13	0033	0033_L11	6	O.28. H.16.	24.	unclear		H
24	0033	0033_L11	7	H.16. 13.	57.	unclear		H
57	0033	0033_L11	8	13. 24.	77.	unclear		H
77	0033	0033_L11	9	24. 57.	89.	unclear		H
89	0033	0033_L11	10	57. 77.	31.Z	unclear		H
31.Z	0033	0033_L11	11	77. 89.		unclear		M
21	0033	0033_L15	1		73.	unclear		H
73	0033	0033_L15	2	21.	D.24.	unclear		H
D.24	0033	0033_L15	3	21. 73.	35.	unclear		M
35	0033	0033_L15	4	73. D.24.	156.	unclear		H
156	0033	0033_L15	5	D.24. 35.	17./27. Mart. 1637 [date, excluded]	unclear		M
63	0028	L36		79.	hiet daß alles so muß zu fordern	unclear		M-src-bMAL28B
54	0028	L36		...handtlich (clause end, uncertain)	61. zz(22). S. W.	unclear		M-src-bMAL28B
22	0028	L39		16.	wollest das fromm gutschreiben nach massgab	function word		M-src-bMAL28B
71	0028	L39		...alßfort seyn (clause end)	83. zz6(226).	unclear		M-src-bMAL28B
