group_a	group_b	count	likely_transcription_noise	positions
29	84	1	no	f28#85~f30#71
29	z8	1	no	f28#109~f30#89
29	48	1	no	f28#133~f30#114
3	18	1	no	f28#49~f30#37
30	3i	1	no	f28#118~f30#98
30	87	1	no	f28#150~f30#124
30	ziz	1	no	f28#185~f30#162
30	zz379	1	no	f28#257~f30#234
30	40	1	no	f28#309~f30#291
303z	zz	1	no	f28#497~f30#464
35	u	1	no	f28#94~f30#76
36	z6	1	no	f28#160~f30#134
37	36	1	no	f28#190~f30#167
37	3z	1	no	f28#389~f30#375
39	4z	1	no	f28#44~f30#32
39	89	1	no	f28#201~f30#178
39	38	1	no	f28#263~f30#240
39	9z239	1	no	f28#347~f30#330
3i	zi	1	no	f28#33~f30#28
4	Vin	1	no	f28#454~f30#439
40	73	1	no	f28#50~f30#38
40	46	1	no	f28#84~f30#70
40	i8	1	no	f28#436~f30#421
43	z40	1	no	f28#96~f30#78
43	4z	1	no	f28#355~f30#339
44	i6	1	no	f28#194~f30#171
44	84	1	no	f28#205~f30#182
48	83	1	no	f28#226~f30#204
4tt	ct	1	no	f28#254~f30#231
4ud	i	1	no	f28#427~f30#412
4z	7z	1	no	f28#159~f30#133
4z	44	1	no	f28#202~f30#179
500	98	1	no	f28#455~f30#440
51	z	1	no	f28#186~f30#163
54	4	1	no	f28#125~f30#105
54	37	1	no	f28#224~f30#202
57	37	1	no	f28#13~f30#7
5i	ib	1	no	f28#46~f30#34
5i	z5	1	no	f28#62~f30#49
5z	79	1	no	f28#53~f30#41
5z	z78	1	no	f28#189~f30#166
6	b	1	no	f28#206~f30#183
65	z6	1	no	f28#47~f30#35
65	55	1	no	f28#304~f30#286
66	60	1	no	f28#259~f30#236
66	68	1	no	f28#299~f30#281
66	8i	1	no	f28#323~f30#305
68	66	1	no	f28#7~f30#1
6i	130	1	no	f28#184~f30#161
6i	10	1	no	f28#193~f30#170
6i	i	1	no	f28#425~f30#409
6z	60	1	no	f28#308~f30#290
7	F	1	no	f28#113~f30#93
7	79	1	no	f28#249~f30#226
7	77	1	no	f28#278~f30#257
70	7b	1	no	f28#22~f30#16
70	76	1	no	f28#252~f30#229
70	407i	1	no	f28#277~f30#256
71	74	1	no	f28#20~f30#14
73	z3	1	no	f28#83~f30#69
73	9	1	no	f28#187~f30#164
73	53	1	no	f28#219~f30#197
73	3i	1	no	f28#233~f30#210
73	40	1	no	f28#276~f30#255
73	4z	1	no	f28#366~f30#350
73	i6	1	no	f28#421~f30#405
75	73	1	no	f28#241~f30#218
77	v6	1	no	f28#128~f30#109
77	zz77	1	no	f28#221~f30#199
77	47	1	no	f28#301~f30#283
7755	55	1	no	f28#279~f30#258
7773	73	1	no	f28#298~f30#280
78	i78	1	no	f28#351~f30#335
78	98	1	no	f28#378~f30#363
78	4z	1	no	f28#422~f30#406
7997	97	1	no	f28#385~f30#371
7z	777z	1	no	f28#129~f30#110
7z	93	1	no	f28#285~f30#266
8	48	1	no	f28#423~f30#407
83	63	1	no	f28#103~f30#83
83	85	1	no	f28#315~f30#297
86	9d	1	no	f28#291~f30#272
87	b7	1	no	f28#265~f30#242
87	84	1	no	f28#303~f30#285
87	i3	1	no	f28#383~f30#369
88	99	1	no	f28#465~f30#450
89	85	1	no	f28#441~f30#426
8d	8i	1	no	f28#173~f30#148
8i	55	1	no	f28#99~f30#81
8i	d	1	no	f28#232~f30#209
8z	2d3	1	no	f28#346~f30#329
91	9i	1	yes	f28#448~f30#433
93	73	1	no	f28#79~f30#66
94	04	1	no	f28#319~f30#301
95	93	1	no	f28#21~f30#15
98	88	1	no	f28#105~f30#85
99	4i	1	no	f28#52~f30#40
9i	6i	1	no	f28#334~f30#316
9z	8z	1	no	f28#424~f30#408
A	ct	1	no	f28#242~f30#219
A	N	1	no	f28#287~f30#268
A	ft	1	no	f28#358~f30#342
A	H	1	no	f28#397~f30#382
C	G	1	no	f28#446~f30#431
C	q	1	no	f28#464~f30#449
Ct	pl	1	no	f28#28~f30#22
D	d	1	no	f28#8~f30#2
D	5	1	no	f28#231~f30#208
E	e	1	no	f28#209~f30#186
F	24	1	no	f28#238~f30#215
Fz	44	1	no	f28#82~f30#68
G	9	1	no	f28#352~f30#336
Hf	hf	1	no	f28#58~f30#46
K	X	1	no	f28#235~f30#212
M	ILLEGIBLE	1	yes	f28#93~f30#75
M	63	1	no	f28#345~f30#328
N	z6	1	no	f28#45~f30#33
N	n	1	no	f28#76~f30#63
N	79	1	no	f28#234~f30#211
O	63	1	no	f28#95~f30#77
O	p	1	no	f28#188~f30#165
O	z	1	no	f28#370~f30#354
Q	ILLEGIBLE	1	yes	f28#32~f30#27
Rib	76	1	no	f28#127~f30#108
T	L	1	no	f28#318~f30#300
T	4i	1	no	f28#393~f30#378
T	Z	1	no	f28#442~f30#427
V	v	1	no	f28#57~f30#45
V	Y	1	no	f28#341~f30#323
V	y	1	no	f28#399~f30#384
Vz	77	1	no	f28#170~f30#145
W	148	1	no	f28#239~f30#216
X	79	1	no	f28#192~f30#169
Zoo	z00	1	no	f28#470~f30#455
bLS	iew	1	no	f28#288~f30#269
du	i	1	no	f28#213~f30#191
i	j	1	no	f28#350~f30#334
i6	i5	1	no	f28#166~f30#140
ib	i6	1	no	f28#247~f30#224
ii	N	1	no	f28#191~f30#168
ii	4y	1	no	f28#255~f30#232
tt	14	1	no	f28#135~f30#116
tt	ii	1	no	f28#223~f30#201
ttt	itt	1	no	f28#253~f30#230
tz	j	1	no	f28#273~f30#251
tz	44	1	no	f28#307~f30#289
yi	7i	1	no	f28#198~f30#175
z	43	1	no	f28#143~f30#120
z	Z	1	no	f28#450~f30#435
z1z	5i	1	no	f28#237~f30#214
z3	73	1	no	f28#119~f30#99
z5	z3	1	no	f28#386~f30#372
z5	26	1	no	f28#475~f30#461
z53	i	1	no	f28#236~f30#213
z6	b	1	no	f28#30~f30#25
z6	76	1	no	f28#162~f30#136
z6	i6	1	no	f28#171~f30#146
z6	36	1	no	f28#373~f30#358
z6	40	1	no	f28#414~f30#399
z7	zz	1	no	f28#377~f30#362
z73	273	1	no	f28#469~f30#454
z8	8z78	1	no	f28#458~f30#443
zoo	p	1	no	f28#212~f30#190
zz	78	1	no	f28#51~f30#39
zz	56	1	no	f28#54~f30#42
zz	zz7	1	no	f28#59~f30#47
